PUBLISHED_DATE,DOCUMENTS_INDEX,PUBLISHER,TOPIC,BYLINE,SECTION,SOURCE,LENGTH,DATELINE,SUMMARY,LOAD_DATE,LANGUAGE,CORRECTION_DATE,CORRECTION,GRAPHIC,TYPE,DOCUMENT_TYPE,PUBLISH_TYPE,COPYRIGHT
"June 25, 1997",2 of 217 DOCUMENTS,Austin American-Statesman (Texas),"Global warming threatens parks, report warns",,News; Pg. A14,,350 words,,,"June 25, 1997",ENGLISH,,,,,,,Copyright 1997 The Austin American-Statesman
,national,park,global,warming,report,*,study,effect,group,wildlife,area,glacier,everglade,change,climate,forest,meadow,already,surface,become,largely,overlook,potentially,alarming,development,debate,release,tuesday,respected,environmental,warn,increase,temperature,threaten,height,seashore,bring,noticeable,shift,wildflower,sea,shorebird,number,accord,world,fund,add,new,home,element,pressure,put,administration,restrict,emission,greenhouse,gas,merely,future,impact,faraway,place,sign,detect,back,yard,alarmingly,many,cherish,natural,clearly,feeling,draw,skeptical,response,director,tion,question,existence,feel,science,still,much,doubt,among,predict,beginning,vake,fame,alpine,retreat,document,melting,permafrost,beneath,land,sinkhole,unable,support
,fire,forest,report,destroy,burn,acre,Indonesia,area,country,WWF,Brazil,world,worst,1997,million,several,percent,set,try,government,protect,*,Jeanrenaud,effect,record,respiratory,wildlife,habitat,insurance,future,land,alone,vast,part,el,nino,phenomenon,warming,disrupt,rain,naturally,occur,least,problem,warn,spew,international,damage,risk,Australia,homeowner,child,orangutans,elephant,feeling,adverse,tropical,time,history,sow,death,illness,pollution,wide,fund,tuesday,catch,jeanrenaud,head,program,much,12.4,region,"45,000",large,preface,director,general,call,planetary,disaster,cyclical,temperature,climate,pattern,delay,monsoon,usually,extinguish,many,century,deliberately,often,multinational,company,clear,plant,development,grow
,15,14,9,6,5,5,5,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"August 7, 1997",88 of 217 DOCUMENTS,Austin American-Statesman (Texas),"Federal Reserve survey finds economy expanding; Economy expands, Fed",John D. McClain,Business; Pg. D1,,491 words,,,"August 8, 1997",ENGLISH,,,,,,,Copyright 1997 The Austin American-Statesman
,market,rate,price,survey,report,labor,growth,wage,sale,economy,expand,remain,stable,economic,although,energy,percent,moderately,nation,despite,tighter,federal,activity,moderate,many,district,july,several,wednesday,rise,industry,worker,oil,field,manufacturing,increase,retailer,strength,slower,loan,competition,lend,home,interest,last,may,bank,meet,committee,quarter,analyst,Texas,Fed,much,reserve,show,generally,june,brisk,summary,regional,business,condition,tightened,scatter,pressure,note,accord,release,goods,indicate,lumber,agricultural,lead,boom,solid,gain,especially,skill,stir,competitor,hire,people,away,shopping,around,find,varied,usual,demand,strong,banker,stiff,particularly,commercial,auto,less,lively,improvement
,7,6,5,5,5,4,4,4,4,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"October 24, 1997",92 of 217 DOCUMENTS,Austin American-Statesman (Texas),U.S. global-warming plan received coolly by allies,WILLIAM DROZDIAK,News; Pg. A6,,613 words,,,"October 24, 1997",ENGLISH,,,,,,,Copyright 1997 The Austin American-Statesman
,Clinton,level,nation,percent,world,gas,emission,1990,U.S.,plan,global,warming,goal,greenhouse,develop,Japan,environment,minister,administration,rise,decade,Europe,United_States,curb,measure,responsibility,lead,seek,2012,accept,sacrifice,prime,enough,ambitious,final,negotiation,treaty,official,formula,reduce,growth,economy,propose,end,Germany,Kyoto,Bonn,major,ally,criticize,president,thursday,weak,ineffectual,claim,protect,polluter,lone,superpower,skeptical,response,package,incentive,modest,stabilize,2008,reflect,new,light,begin,assess,leadership,war,era,term,scrutinize,willing,cope,commensurate,overwhelming,influence,yardstick,prescription,curtail,short,court,opinion,call,proposal,disappointing,insufficient,lament,might,room,effort,deputy,go,far,urge
,7,6,6,6,5,5,5,5,5,4,4,4,4,4,4,4,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"December 13, 1997",97 of 217 DOCUMENTS,Austin American-Statesman (Texas),Brazil sits on data about rain forest; As evidence of accelerated,MICHAEL ASTOR,News; Pg. A21,,371 words,,,"December 13, 1997",ENGLISH,,,,,,,Copyright 1997 The Austin American-Statesman
,government,Amazon,figure,deforestation,satellite,report,percent,number,image,log,rate,square,mile,three,1994,official,go,estimate,release,information,need,area,cut,moratorium,Brazil,Vianna,dispute,rain,forest,shrink,fast,mystery,political,hot,potato,new,congressional,committee,investigate,foreign,company,vanish,"20,000",time,last,available,wilderness,already,scientist,loss,mainly,wildfire,add,greenhouse,effect,believe,cause,global,warming,nothing,do,entire,within,author,rep,gilney,vianna,leftist,party,state,although,hard,refute,without,another,problem,wrap,nearly,promise,dec.,withheld,data,type,vegetation,affect,determine,extent,job,national,space,research,institute,analyze,reveal,229,cover,capture,percentage,climb
,6,6,4,4,4,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"August 24, 1997",100 of 217 DOCUMENTS,Austin American-Statesman (Texas),UT reopens amid troubling racial shift,"Mary Ann Roser, A. Phillips Brooks",Metro/State; Pg. B1,,1462 words,,,"August 25, 1997",ENGLISH,,,The face of Texas higher education.,,,,Copyright 1997 The Austin American-Statesman
,student,minority,school,state,Texas,white,law,Hopwood,action,race,court,many,affirmative,college,black,rule,admission,issue,ut,university,percent,UT,change,hispanic,public,education,far,decision,program,other,people,implication,life,go,real,effect,scholarship,use,graduate,*,admit,think,reason,diversity,higher,work,committee,give,study,qualified,Texans,Mexican_Americans,Houston,next,order,group,expect,2030,predict,sen,recruitment,especially,enroll,consideration,attorney,lawyer,follow,undergraduate,medical,enrol,four,americans,flagship,probably,never,agree,leader,back,injustice,way,area,better,score,grade,important,choose,must,disadvantage,pipeline,leadership,among,director,show,beyond,economic,income,poor,University,California
,16,14,14,13,10,9,9,9,8,7,7,7,7,6,6,6,6,6,6,5,5,5,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"November 3, 1997",103 of 217 DOCUMENTS,Austin American-Statesman (Texas),All eyes on Houston's affirmative action law; In Tuesday's,A. Phillips Brooks,News; Pg. A1,,1297 words,,,"November 3, 1997",ENGLISH,,,"Edward Blum: Broker who got issue on ballot said the law amounts to discrimination against white companies. // Bob Lanier: Houston's reputation is on the line, mayor says.",,,,Copyright 1997 The Austin American-Statesman
,action,Houston,affirmative,city,proposition,Blum,business,ballot,contract,Lanier,program,law,help,percent,support,issue,need,award,woman,racial,group,minority,go,show,California,campaign,last,week,eliminate,keep,preference,president,opponent,blum,initiative,contribute,effort,language,change,margin,American,American_Civil_Rights_Initiative,Texas,mayor,lanier,term,preserve,tuesday,discrimination,white,wealthy,firm,whether,ban,contest,public,aim,government,pass,people,director,push,209,executive,texas,1984,1995,goal,percentage,state,district,favor,"20,000",voter,civil,rights,vote,gender,cite,figure,raise,community,contractor,poll,include,ordinance,economic,defeat,probably,end,minority_owned,Washington,City_Council,female_owned,bob,ineligible,fourth,trail,time
,17,17,16,15,13,12,11,9,8,8,7,6,6,6,6,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1
"January 4, 1997",105 of 217 DOCUMENTS,Austin American-Statesman (Texas),'97 power shifts in religion will reflect attitude changes,Clark Morphew,Lifestyle; Pg. C2,,271 words,,,"January 4, 1997",ENGLISH,,,,,,,Copyright 1997 The Austin American-Statesman
,religion,grow,world,become,young,new,group,longer,member,internal,power,dissident,change,slowly,greatest,think,appropriate,totell,ahead,1997,american,community,buddhism,americanize,priest,organize,temple,meditative,ritual,many,land,scientology,similar,take,another,step,toward,respectable,go,practice,preying,lonely,people,novice,isolate,force,long,hour,service,gurus,faith,system,remain,alive,continue,prosper,illness,death,overtake,leader,struggle,bring,example,kick,man,allegation,surface,child,abuse,brutal,punishment,challenge,strident,project,late,cardinal,joseph,bernardin,stronger,win,concession,dialogue,top,church,official,amid,revolution,someday,climate,transformation,reformation,era,happen,swiftly,time,move,today,participate,shift
,6,3,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"March 25, 1997                               Correction Appended",108 of 217 DOCUMENTS,Austin American-Statesman (Texas),UT engineer to lead NASA satellite project; International effort to,Dick Stanley,Metro/State; Pg. B1,,755 words,,,"March 27, 1997",ENGLISH,"March 26, 1997","A story on Page B1 of Tuesday's editions, about development of satellites to study Earth's gravitational field, should have said gravity is possessed by all objects in the universe in proportion to their mass, while Earth's iron core influences its magnetic field.",Byron Tapley: Leading effort to measure variations in Earth's gravity.,,,,Copyright 1997 The Austin American-Statesman
,center,satellite,field,gravity,Tapley,mission,ut,planet,measure,variation,spacecraft,German,gravitational,space,launch,run,researcher,orbit,research,data,Earth,NASA,new,aerospace,engineering,precision,study,develop,2001,schedule,project,climate,plan,control,flight,process,something,manpower,high,polar,around,distance,rotation,make,help,improve,whose,ocean,estimate,web,Texas,American,five_year,Space_Research,Russia,Austin,university,engineer,choose,lead,million,international,professor,direct,effort,affect,time,have,organized,dean,college,lot,implication,weather,possible,explanation,whole,variety,environmental,issue,spend,decade,detail,extensive,experience,robot,director,exciting,chance,little,bit,sobering,responsibility,buck,essentially,stop,home,caller,hold
,11,9,9,7,7,5,5,5,4,4,4,4,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"July 26, 1997",114 of 217 DOCUMENTS,Austin American-Statesman (Texas),"1997 market similar to, yet differs from, 1987; Interest rates and",Robert O'Brien,Weekly Business Review; Pg. 1,,916 words,,,"July 27, 1997",ENGLISH,,,,,,,Copyright 1997 The Austin American-Statesman
,1987,market,percent,price,stock,current,inflation,summer,way,ago,high,corporate,company,share,billion,today,gold,investor,crash,look,reach,july,business,growth,difference,economic,equity,june,increase,level,economy,bull,U.S.,sure,true,easy,dismiss,good,thing,back,industry,new,time,pace,hit,show,host,merger,sweep,record,half,characteristic,happen,condition,particularly,backdrop,early,consumer,rise,number,strong,comparison,ounce,low,nearly,profit,encourage,fundamental,make,household,technology,suggest,mutual,fund,Wall_Street,prediction,give,autumn,treat,blizzard,story,commemorate,10th,anniversary,topic,picking,lazy,commentator,journalist,include,probably,certainly,hesitation,fear,anybody,memory,right,love,adore
,10,10,8,7,6,5,5,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"December 7, 1997",118 of 217 DOCUMENTS,Austin American-Statesman (Texas),"LOOK WHAT'S UNDER THE TREE; It's oh, so easy to hunt down that",MIKE LEGGETT,Sports; Pg. C8,,1191 words,,,"December 8, 1997",ENGLISH,,,"Christmas ideas: Boyt canvas travel bag, $215; Filson canvas shooting bag, $78.25; Bushnell Laser Ranging System, $298; Leatherman Super Tool, $75; Leupold Lenspen, $14.20; Gerber Gator knife, $30.95. And this is just a sampling.",,,,Copyright 1997 The Austin American-Statesman
,make,sell,model,market,gun,shotgun,go,range,cost,around,browning,quality,available,box,hunt,figure,list,new,case,shoot,use,best,cotton,bag,unit,take,shell,though,version,money,popular,knife,everything,pistol,fabric,keep,outdoor,100,shirt,wax,pants,right,buy,worm,Filson,thing,clothing,gift,place,time,every,outdoors,many,especially,away,variety,gadget,clothes,equipment,today,might,help,christmas,angler,mean,bell,whistle,buck,manufacturer,tool,price,something,among,include,standard,other,basic,system,look,gerber,little,long,oil,good,store,kit,start,rifle,lense,product,less,have,accessory,jacket,200,field,wool,glove,never
,10,9,8,7,7,6,6,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"March 27, 1997",123 of 217 DOCUMENTS,Austin American-Statesman (Texas),A healthy group of non-surfers decline to test the Net waters,gregory kallenberg,XL Ent; Pg. 6,,1000 words,,,"March 28, 1997",ENGLISH,,,,,,,Copyright 1997 The Austin American-Statesman
,internet,people,think,know,web,site,show,place,couple,time,interface,egg,really,cool,use,virtual,Beth,Brad,information,might,online,part,still,write,communication,thing,life,design,Jason,deal,superhighway,mean,land,line,care,book,person,right,play,local,band,call,feel,net,need,sell,album,make,we,rule,easy,development,valuable,view,many,playground,user,love,enough,another,take,learn,medium,point,necessary,speed,embrace,find,electric,drill,reaction,graphic,mandel,address,idea,hunt,look,winner,e_mail,David_Cook,information_gathering,Cook,easier_to_use,GUIs,Papermag,tell,mythical,dark,big,term,nothing,excite,slightly,warm,cockle,inhabitant,heart,full,difference
,15,11,9,7,7,7,7,6,5,5,5,5,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"July 16, 1997",132 of 217 DOCUMENTS,Austin American-Statesman (Texas),"Clinton foibles are overplayed, CNN chief says",Diane Holloway,Lifestyle; Pg. E7,,611 words,,,"July 17, 1997",ENGLISH,,,,,,,Copyright 1997 The Austin American-Statesman
,president,Clinton,scandal,reporter,go,cover,think,White_House,personal,CNN,private,government,people,report,seem,voter,political,Blitzer,ask,question,official,know,week,much,public,remain,impact,service,news,change,past,case,deter,dismiss,press,power,take,try,keep,become,relationship,restrict,decline,party,media,calif,today,likely,affair,foreign,policy,respectfully,duty,ignore,great,deal,tell,tv,critic,sex,life,figure,unless,far,important,function,cable,channel,trio,involved,reflect,occur,decade,politics,journalism,greater,scrutiny,foible,1992,embarrassing,allegation,campaign,funding,endless,amount,excruciating,sometimes,sordid,detail,never,'96,election,show,negative,story,popularity,relatively,high,poll
,9,8,7,5,5,5,5,5,4,4,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"September 16, 1997",139 of 217 DOCUMENTS,Austin American-Statesman (Texas),Colombia's coffee perks up; Higher prices have given small farms a,Paul Haven,Business; Pg. D1,,931 words,,,"September 16, 1997",ENGLISH,,,An agronomist inspects a coffee tree at the Sebastopol farm near San Peregrino in Colombia's coffee-growing region at the end of July. High international prices and a promising 1997 harvest are cheering up Colombia's coffee growers.,,,,Copyright 1997 The Austin American-Statesman
,coffee,farm,price,Colombia,tree,industry,make,farmer,harvest,federation,least,pound,cost,row,money,fall,bad,people,sell,belt,time,less,world,end,crisis,fruit,pay,Lopez,hand,sit,international,eight,ago,worse,yield,crop,higher,hold,still,drop,lot,buy,go,stuck,promise,hit,produce,percent,seven,revenue,nearly,el,nino,leader,region,decade,put,food,offer,cut,take,lead,always,pick,bean,near,minimum,wealth,far,country,export,million,fund,everything,life,Cardenas,Colombian,cup,modest,house,surround,count,lucky,regularly,lose,accord,nation,apart,send,free,dring,disease,matter,several,second,production,sharply,steady,lopez
,31,10,10,10,6,6,5,5,5,5,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"December 22, 1997",143 of 217 DOCUMENTS,Austin American-Statesman (Texas),The Great Switch; The fathers of the transistor followed a dramatic,KEVIN COUGHLIN,Business; Pg. C1,,2172 words,,,"December 22, 1997",ENGLISH,,,"The original point-contact transistor used nonmetallic germanium.//Key researchers involved in developing transistors, from left: John Bardeen, William Shockley and Walter H. Brattain.John // When his friend Walter Brattain asked for a catchy name for his new invention 50 years ago, science fiction writer John Pierce, above, came up with transistor.// At left, pages in one of Walter Brattain's lab notebooks describe the first transistor, which he and John Bardeen invented 50 years ago.",,,,Copyright 1997 The Austin American-Statesman
,transistor,Shockley,Bardeen,switch,Brattain,Bell_Labs,man,electrical,make,semiconductor,germanium,computer,Moore,brattain,telephone,age,cowboy,gain,power,technology,silicon,number,charge,become,material,work,use,Kelly,walter,device,change,world,invention,take,call,current,way,put,inventor,company,Hochheiser,physicist,share,patent,digital,write,circuit,quiet,give,story,part,zero,researcher,system,time,vacuum,tube,think,might,pass,team,field,friend,try,side,new,eight,contribution,though,find,today,research,among,Intel,Shockley_Semiconductor,notebook,office,page,value,100,actually,quality,explain,information,technological,economy,immediately,controversial,idea,calif,end,go,combination,history,start,president,focus,improve,amplify
,30,20,14,12,11,11,7,7,6,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"May 9, 1997",148 of 217 DOCUMENTS,Austin American-Statesman (Texas),"Bikes, cars must coexist",,Editorial; Pg. A14,,385 words,,,"May 10, 1997",ENGLISH,,,,,,,Copyright 1997 The Austin American-Statesman
,Austin,cyclist,street,driver,bike,cycle,traffic,city,go,change,enough,highway,make,mean,travel,parking,bicycling,type,wheel,coexistence,always,lane,area,may,wind,good,time,reflect,grow,need,motorist,bicyclist,coexist,peacefully,conflict,impatient,inconsiderate,everyday,occurence,mode,transportation,stay,rider,fulminate,still,compact,major,west,prefer,thousand,live,work,town,central,location,absence,adequate,around,encourage,advantage,numerous,pollute,provide,great,exercise,require,space,add,mild,climate,increase,hassle,perfect,recipe,enjoyable,fall,broad,category,cautious,aware,considerate,find,trail,behind,important,situation,much,pedal,tiny,minority,among,auto,futile,argue,greater,right,regional,planner,give
,7,6,5,4,4,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"June 3, 1997",150 of 217 DOCUMENTS,Austin American-Statesman (Texas),Philly fanatics fight Cold War,BY KEITH GAVE,Sports; Pg. C3,,828 words,,,"June 3, 1997",ENGLISH,,,,,,,Copyright 1997 The Austin American-Statesman
,city,player,team,flyer,game,Russian,series,play,much,Detroit,nyet,hatred,nearly,use,star,russian,tell,people,whose,hate,fan,try,Philadelphia,Flyers,cold,brotherly,stanley,cup,final,feel,honor,abuse,greatest,stick,break,ankle,1972,hockey,set,back,really,build,new,red,way,win,end,target,we,jersey,wing,go,arguably,ed,ice,best,today,bear,comfortable,import,Soviet,NHL,war,least,cradle,liberty,love,celebrate,surprised,think,commemorate,front,page,local,newspaper,revere,compel,defend,continent,physically,visit,refuse,finish,perhaps,sport,hero,superpower,begin,public,rally,refer,dirty,stink,rotten,detente,preoccupy,sen,joe,mccarthy
,8,7,6,5,5,5,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"June 8, 1997",151 of 217 DOCUMENTS,Austin American-Statesman (Texas),"Settling tobacco litigation rests on one lawyer; Matthew Myers,",SHERYL GAY STOLBERG,News; Pg. A36,,1680 words,,,"June 8, 1997",ENGLISH,,,"Matthew Myers: Should he abandon negotiations, all bargains are off.",,,,Copyright 1997 The Austin American-Statesman
,myer,tobacco,industry,Myers,talk,public,cigarette,health,deal,state,last,agree,warning,smoking,executive,president,foe,advocate,settlement,manufacturer,know,agreement,issue,lawsuit,go,history,label,pack,place,mission,man,long,people,back,kid,negotiate,important,person,former,federal,lawyer,sue,whether,willing,percent,take,advertising,chairman,commission,change,leave,Tobacco_Free,White_House,Scruggs,look,battle,colleague,vice,center,hardly,meeting,never,participate,group,individual,table,knowledge,negotiator,without,support,nation,decade,represent,official,player,early,week,attorney,general,demand,publicly,oppose,rights,smoker,part,war,seek,longtime,other,work,story,wrong,negotiation,architect,ban,believe,pressure,cigarett,stronger
,19,15,15,12,9,8,8,6,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"June 14, 1997",156 of 217 DOCUMENTS,Austin American-Statesman (Texas),Home schooling gains acceptance across Texas; Texas home schools make,Sharon Jayson,News; Pg. A1,,1429 words,,,"June 14, 1997",ENGLISH,,,"Sharon Toups takes her five children, the three oldest of whom she schools at home, to learn about civic duties Thursday at the East Rural Community Center in Manor, where they volunteer to sort clothing.",,,,Copyright 1997 The Austin American-Statesman
,home,school,student,parent,teach,public,schooling,learn,state,kid,lot,spend,today,diploma,http,Texas,family,way,time,education,need,college,admission,home_school,live,schooler,issue,bad,give,child,work,mother,legal,offer,director,national,program,Austin,room,computer,area,figure,estimate,make,acceptance,tool,become,seek,educational,find,teacher,peer,special,music,practice,view,good,part,bring,book,material,sure,president,organization,try,number,department,people,take,thing,outside,oldest,hear,grow,fast,near,gain,class,decision,curriculum,include,talent,entrance,exam,four,hour,study,house,church,private,know,son,grade,ceremony,graduate,right,look,score,transcript
,21,17,13,10,8,7,7,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"July 8, 1997",161 of 217 DOCUMENTS,Austin American-Statesman (Texas),"Relax, you're just under stress; Drawbacks to running in the heat can",BROM HOBAN,Sports; Pg. C2,,337 words,,,"July 8, 1997",ENGLISH,,,,,,,Copyright 1997 The Austin American-Statesman
,runner,heat,summer,run,become,still,evening,july,Run_Tex,ok,tough,last,six,stress,work,muscle,early,difference,race,meet,event,information,hot,north,part,training,winter,close,test,people,exercise,often,shake,head,pass,truth,difficult,body,ability,supply,blood,heart,harder,maintain,easy,workout,pace,wear,monitor,notice,elevate,rate,however,acclimation,kick,week,point,train,efficient,cool,chemistry,sweat,actually,change,dilute,course,hydration,always,factor,many,think,avoid,water,big,mistake,injury,cramp,kidney,problem,overall,fatigue,await,chronically,dehydrated,have,hear,million,time,true,best,morning,late,manage,5:30,a.m.,whole,different,climate,sure
,5,5,4,4,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"July 27, 1997",166 of 217 DOCUMENTS,Austin American-Statesman (Texas),Foreigners pump out $1 billion yearly to sway U.S. policy the legal,Andrew Mollison,News; Pg. A1,,1095 words,,,"July 29, 1997",ENGLISH,,,,,,,Copyright 1997 The Austin American-Statesman
,foreign,U.S.,spend,million,legal,group,government,political,party,activity,influence,money,campaign,trip,*,United_States,policy,illegal,contribution,congressional,organization,billion,include,official,trade,show,country,China,American,make,business,open,attempt,public,former,employee,subsidiary,center,outside,1996,law,everybody,take,half,lobbyist,client,Americans,Mexico,leader,last,senator,whether,suppose,way,foreigner,gift,expensive,lobbying,work,tourism,promotion,candidate,corporation,treasury,nonpartisan,agent,hearing,committee,try,people,domestic,much,within,however,another,tempt,target,executive,pick,hire,relation,pay,member,dozen,Chinese,Middle_East,Turkey,really,plan,change,greatly,underestimate,cost,sway,allege,plot,yet,clarify,ever
,18,13,12,10,9,9,8,8,7,7,7,6,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1
"August 14, 1997",169 of 217 DOCUMENTS,Austin American-Statesman (Texas),KTBC axes weatherman Kimmel,Diane Holloway,Metro/State; Pg. B1,,578 words,,,"August 15, 1997",ENGLISH,,,"Troy Kimmel: Meteorologist ousted from second local television at which he's worked after refusing to cancel a planned vacation.  I'll find something else here eventually. I'm definitely not leaving Austin.' KTBC fires, replaces weatherman Kimmel",,,,Copyright 1997 The Austin American-Statesman
