PUBLISHED_DATE,DOCUMENTS_INDEX,PUBLISHER,TOPIC,BYLINE,SECTION,SOURCE,LENGTH,DATELINE,SUMMARY,LOAD_DATE,LANGUAGE,CORRECTION_DATE,CORRECTION,GRAPHIC,TYPE,DOCUMENT_TYPE,PUBLISH_TYPE,COPYRIGHT
"April 23, 2006 Sunday",1 of 97 DOCUMENTS,Austin American-Statesman (Texas),WARMING SIGNS,Brad Buchholz AMERICAN-STATESMAN STAFF,INSIGHT; Pg. H01,,2698 words,,,"July 20, 2006",ENGLISH,,,,,,Newspaper,Copyright 2006 The Austin American-Statesman                               All Rights Reserved
,go,change,warming,people,have,species,climate,global,butterfly,think,coral,life,warm,thing,lot,bear,response,human,temperature,degree,happen,percent,mean,every,greenhouse,really,world,Parmesan,live,time,talk,effect,polar,glacier,ocean,make,tree,hurricane,can,know,poor,take,million,actually,reef,sea,animal,habitat,lose,high,way,food,place,checkerspot,show,many,rise,point,last,gass,water,little,nation,better,everything,nature,need,power,ground,oh,native,planet,definitely,question,might,depress,almost,papers,lecture,move,ice,die,range,event,new,100,cover,frog,melting,absolutely,average,start,put,expect,four,warmer,evolve,basically,urban
,6,5,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"January 3, 2006 Tuesday",37 of 97 DOCUMENTS,Austin American-Statesman (Texas),New year forecast same as '05: dry,"Dick Stanley, AMERICAN-STATESMAN STAFF",METRO/STATE; Pg. B8,,502 words,,,"January 3, 2006",ENGLISH,,,,,,Newspaper,Copyright 2006 The Austin American Statesman
,pattern,dry,prediction,Texas,meteorologist,dring,normal,record,precipitation,change,june,drought,look,least,late,summer,winter,texas,good,rise,center,temperature,august,april,rain,last,degree,great,hurricane,season,bring,we,Kimmel,Austin,driest,much,forward,except,feeling,half,authority,might,fall,teach,meteorology,agree,give,feel,sure,continue,balance,spring,weather,tricky,predict,advance,almanac,forecast,central,already,laugh,usually,make,beyond,seven,shy,away,recent,take,stand,march,call,warm,foresee,equal,chance,abnormal,willing,extend,past,old,current,stick,less,risky,have,rainfall,although,start,without,become,international,airport,plenty,hot,culminate,warmest,september,100
,5,5,5,5,4,4,4,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"April 6, 2006 Thursday",40 of 97 DOCUMENTS,Austin American-Statesman (Texas),LETTERS,,EDITORIAL; Pg. A10,,1060 words,,,"July 20, 2006",ENGLISH,,,,,,Newspaper,Copyright 2006 The Austin American-Statesman                               All Rights Reserved
,Texas,district,go,DeLay,school,money,delay,corruption,member,friend,drive,we,march,editorial,commission,know,justice,investigation,innocence,prediction,protest,resign,era,texas,quit,thank,body,politic,honor,least,leave,drink,many,people,bar,beer,long,stay,respect,harass,away,rights,play,public,worry,point,nothing,waste,time,open,record,request,wrong,*,look,government,system,innocent,case,criminal,happen,change,global,warming,1970,present,climate,bill,U.S.,Tom,Republican,office,fix,glad,rep,tom,deserve,father,old,10th,congressional,butcher,reinstate,represent,fairly,congress,earning,lesson,maybe,learn,mess,result,headline,race,prompt,cleansing,schadenfreude,max,caballero
,7,6,6,6,5,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"November 27, 2006 Monday",41 of 97 DOCUMENTS,Austin American-Statesman (Texas),Austin quiet on coal plant questions,Asher Price AMERICAN-STATESMAN STAFF,NEWS; Pg. A01,,1085 words,,,"November 27, 2006",ENGLISH,,,,,,Newspaper,Copyright 2006 The Austin American-Statesman                               All Rights Reserved
,plant,Austin,utility,city,energy,company,group,state,include,join,environmental,power,coalition,air,own,mayor,member,issue,new,million,coal_fired,federal,clean,lawmaker,call,permit,electrical,involved,private,direct,accord,ton,part,protest,Texas,Dallas,Austin_Energy,Miller,Wynn,government,remain,build,population,local,quality,last,area,statewide,grid,need,make,provider,stay,lobby,reason,push,far,deregulation,pass,resolution,oppose,people,think,emission,carbon,dioxide,industry,coal,list,either,official,global,climate,municipally,association,construction,share,Central_Texas,Texas_Cities,Clean_Air_Coalition,Gay,Fayette,often,green,conspicuously,aloof,shape,biggest,fight,proposal,throughout,draw,large,small,"8,232",ant,"500,000",challenge,opponent
,19,18,15,10,8,7,7,6,6,6,5,5,5,5,5,5,5,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"January 22, 2006 Sunday",42 of 97 DOCUMENTS,Austin American-Statesman (Texas),"Long on energy; Cliff Redd, the man orchestrating the Long Center development, has enthusiasm -- and a Midas touch","Jeanne Claire van Ryzin, AMERICAN-STATESMAN ARTS WRITER",LIFESTYLE; Pg. K1,,2902 words,,,"January 22, 2006",ENGLISH,,,"Despite the long hours Cliff Redd puts in as director of the Long Center development, he still finds time to spend with his poodles Geoffrey, center, and Drake. At Lanier High School, Redd was a member of the school's theater troupe. Cliff Redd, center, chats with Will Steakley, left, and Sean Fric at a cocktail reception with members of Catalyst 8, a group of young professionals. 'Since arriving, Cliff's brought an optimism to his position that is contagious,' says Ballet Austin's Cookie Ruiz.",,,Newspaper,Copyright 2006 The Austin American Statesman
,Redd,theater,redd,art,Austin,people,director,Long_Center,family,bring,love,think,Texas,father,way,executive,time,make,job,thing,take,million,long,work,friend,remember,find,Mathes_Redd,talk,start,plan,community,course,late,big,along,audience,ambition,capital,give,project,arrive,group,home,position,indeed,every,play,house,career,show,something,go,professional,learn,couple,money,support,without,performance,together,Cliff,building,everything,dream,stage,speech,emerge,new,another,city,current,july,campaign,early,center,become,many,anything,raise,high,put,around,affair,although,b.,son,consider,life,despite,fact,part,department,end,tell,decade,actor,production,gay
,38,16,14,14,13,12,11,11,10,8,8,8,8,7,7,7,7,7,6,6,6,6,6,6,6,6,6,6,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
"September 18, 2006 Monday",43 of 97 DOCUMENTS,Austin American-Statesman (Texas),"With shift in focus, Dell is trying to bounce back",Dan Zehr AMERICAN-STATESMAN STAFF,TECH MONDAY; Pg. D01,,971 words,,,"September 18, 2006",ENGLISH,,,,,,Newspaper,Copyright 2006 The Austin American-Statesman                               All Rights Reserved
,Dell,dell,customer,company,consumer,business,relationship,sale,call,2.0,point,store,take,product,really,word,corporate,percent,thing,analyst,computer,put,turn,problem,growth,give,way,service,enterprise,market,next,share,run,U.S.,past,sort,rival,offer,fuel,industry,transaction,challenge,especially,efficiency,develop,build,provide,revenue,try,better,research,firm,far,pc,bring,technology,shelf,mall,order,open,go,lead,online,effort,direct,model,customize,experiment,similar,experience,work,little,include,able,long,allow,dedicated,individual,manufacturing,ago,tech_support,Hunter,serious,lump,pound,reflective,mood,reflect,top,executive,critical,eye,every,nook,cranny,search,limited,renew,vigor
,14,11,11,10,9,8,7,6,5,5,5,5,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"November 21, 2006 Tuesday",44 of 97 DOCUMENTS,Austin American-Statesman (Texas),Letters,,EDITORIAL; Pg. A12,,1125 words,,,"November 21, 2006",ENGLISH,,,,,,Newspaper,Copyright 2006 The Austin American-Statesman                               All Rights Reserved
,bridge,teacher,Bush,Austin,look,fund,system,attack,president,show,old,people,need,austin,nov,article,state,spend,company,idea,money,cause,corruption,warm,degree,TRS,try,cartoon,stuck,opportunity,put,mean,friend,republican,history,send,find,close,beautiful,work,location,man,take,turn,project,good,pastor,someone,church,sense,know,love,lot,behalf,victim,pension,startup,gov,keep,already,investment,retire,fewer,last,retirement,bad,gamble,invest,fail,letter,woman,think,frontal,ad,hominem,debate,shiv,rib,voter,congress,oh,vote,ut,biologist,planet,question,period,average,temperature,extinction,Iraq,Kerry,Congress,Rick_Perry,start_up,Murtha,magical,pen,depict
,6,6,6,6,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1
"December 1, 2006 Friday",45 of 97 DOCUMENTS,Austin American-Statesman (Texas),BEST BETS,- Lauren Dimitry,LIFE & ARTS; Pg. D02,,551 words,,,"December 1, 2006",ENGLISH,,,,,,Newspaper,Copyright 2006 The Austin American-Statesman                               All Rights Reserved
,show,p.m.,album,Marley,include,blue,love,play,solo,young,experience,musician,reggae,release,religion,feature,new,traditional,tour,gift,enjoy,comedy,comic,st,ut,campus,Grammy_Award,Melody_Makers,Austin,Velveeta_Room,Blanton_Museum,warm,sit,recording,session,old,originally,formative,father,legendary,eventually,join,three,sibling,form,win,group,learn,creatively,blend,bly,course,decade,band,dragonfly,2003,lyric,explore,social,political,issue,childhood,july,second,instrument,expand,theme,musically,base,spice,bass,beat,global,kick,summer,land,tonight,share,season,listen,winner,perform,holiday,music,duo,together,favorite,holy,night,tingstad,guitarist,woodwind,player,critical,acclaim,foremost,acoustic,part,2203
,6,6,5,5,4,4,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"February 11, 2006 Saturday",47 of 97 DOCUMENTS,Austin American-Statesman (Texas),"In China town, a road changes life","Craig Simons, INTERNATIONAL STAFF",NEWS; Pg. A26,,853 words,,,"February 12, 2006",ENGLISH,,,Pingyao's South Big Street has gone from hub to quiet roadway and back to hub again. China's booming roadway initiative is rapidly changing the economics and environment of the country.,,,Newspaper,Copyright 2006 The Austin American Statesman
,China,highway,Chinese,Pingyao,road,new,cost,Beijing,city,percent,car,economy,grow,United_States,province,today,much,ago,open,people,hotel,manager,use,mobility,Shanghai,country,become,however,expand,include,number,director,spur,build,national,system,combine,mile,size,accord,auto,last,next,network,poor,travel,fuel,concern,oil,rapid,logistical,major,building,million,protest,decade,sale,drive,world,expert,expect,roughly,within,South_Big_Street,Guangzhou,offer,economics,lesson,quiet,lane,eastern,heart,finance,1800,converge,industrious,merchant,set,bank,serve,trader,1930,railroad,bypass,backwater,look,100,gray,brick,mansion,roof,intricately,carve,tile,crowd,temple,small,artisan,stand
,13,11,9,8,6,6,6,6,5,5,5,4,4,4,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"March 4, 2006 Saturday",48 of 97 DOCUMENTS,Austin American-Statesman (Texas),"Bush battered by video, report, ports and polls",Scott Shepard WASHINGTON BUREAU,NEWS; Pg. A04,,805 words,,,"July 20, 2006",ENGLISH,,,,,,Newspaper,Copyright 2006 The Austin American-Statesman                               All Rights Reserved
,poll,percent,Bush,republican,week,show,political,bush,presidency,approval,GOP,president,mood,ago,war,popularity,tough,approve,job,today,rating,feb,margin,error,percentage,point,support,add,lose,series,another,new,threat,last,civil,low,congressional,election,national,attack,pollster,strategist,thing,change,right,second,term,performance,cnn,usa,gallup,adult,march,latest,though,among,the,base,data,sign,take,voter,nationwide,conservative,thursday,2006,americans,Washington,Gallup,White_House,Fox_News,Republican,tour,subcontinent,administration,buffet,storm,home,darkening,fellow,envision,majority,rule,least,generation,video,surface,brief,pose,levee,report,publish,intelligence,analyst,warn,collapse,additionally,burgeon,controversy
,14,10,8,7,6,5,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"April 16, 2006 Sunday",49 of 97 DOCUMENTS,Austin American-Statesman (Texas),KLRU HIGHLIGHTS,,SHOWWORLD; Pg. 03,,713 words,,,"July 20, 2006",ENGLISH,,,,,,Newspaper,Copyright 2006 The Austin American-Statesman                               All Rights Reserved
,p.m.,var,world,thursday,life,friday,show,become,global,planet,tuesday,cat,war,international,family,april,thousand,three,city,experience,look,warming,grow,dimming,discovery,future,new,we,answer,wednesday,around,animal,program,change,happen,deep,phoenician,source,texas,noon,billfish,garden,tour,San_Francisco,American,Earth,Austin_City_Limits,Texas,masterpiece,theatre,sunday,adaptation,bestseller,age,tale,ii,evacuation,girl,brother,strict,1906,destroy,earthquake,fire,kill,ten,leave,homeless,later,rebuilt,ash,monday,destruction,rebirth,part,folklore,turn,heat,researcher,stun,discover,actually,dimmer,alarming,twist,concern,solving,problem,greatly,accelerate,melting,ice,cap,flooding,coastal,nova,sun,examine,baffling
,16,14,6,5,4,4,4,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"September 13, 2006 Wednesday",52 of 97 DOCUMENTS,Austin American-Statesman (Texas),FRIEND OR FOE?,Cedric Golden AMERICAN-STATESMAN STAFF,SPORTS; Pg. C01,,817 words,,,"September 13, 2006",ENGLISH,,,,,,Newspaper,Copyright 2006 The Austin American-Statesman                               All Rights Reserved
,coach,Applewhite,pass,quarterback,game,season,yard,offense,Texas,coordinator,thing,rice,rank,point,go,school,hand,take,make,football,try,last,clement,three,recruiting,Davis,Graham,conversation,job,struggle,offensive,throw,former,follow,major,talk,later,national,championship,applewhite,assistant,saturday,defensive,second,loss,record,career,touchdown,per,change,open,time,summer,work,challenge,lose,high,bring,we,life,far,better,can,else,Major_Applewhite,Syracuse,Rice,Owls,sit,hotel,hour,deep,phone,mentor,issue,whether,leave,program,transition,listen,patiently,couple,homespun,analogy,encourage,star,heart,best,wife,beg,mind,turn,fine,top,win,title,new,introduce,youngest
,12,10,8,6,5,5,5,5,5,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"January 8, 2006 Sunday",56 of 97 DOCUMENTS,Austin American-Statesman (Texas),Taxpayers deserved the details on Frost Tower lease deal,"Rich Oppel, EDITOR, AUSTIN AMERICAN-STATESMAN",EDITORIAL; Pg. J3,,712 words,,,"January 8, 2006",ENGLISH,,,,,,Newspaper,Copyright 2006 The Austin American Statesman
,lease,Hendricks,UTIMCO,downtown,move,tenant,Frost_Tower,building,deal,rent,release,Cousins,last,ask,agree,cousin,square,foot,clause,contract,we,money,general,Cousins_Properties,may,describe,lawyer,look,business,floor,frost,tower,competition,among,rate,market,new,exist,renter,sign,space,endowment,confidentiality,taxpayer,know,spend,system,attorney,property,lawsuit,information,lot,game,importance,percent,affidavit,article,base,estimate,expense,least,University,Burgdorf,word,relationship,plaintiff,intervener,almost,nothing,call,senior,vice,president,meet,dispute,gentleman,warm,hazy,winter,toward,talk,journalism,minute,conference,room,11th,explain,intense,office,owner,401,n.,congress,ave,fight,keep,secret,rental,huge
,7,7,7,6,5,5,5,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"January 23, 2006 Monday",57 of 97 DOCUMENTS,Austin American-Statesman (Texas),"'Prison is the new slavery,' advocate says","Joshunda Sanders, AMERICAN-STATESMAN STAFF",METRO/STATE; Pg. B1,,424 words,,,"January 29, 2006",ENGLISH,,,"Marian Wright Edelman, a longtime advocate for children, gave the keynote address Sunday to wrap up this year's local Martin Luther King Jr. Celebration. The Grammy-winning group Sounds of Blackness, which includes Gary Hines, left, performed for an hour Sunday during the event honoring slain civil rights leader the Rev. Martin Luther King Jr.",,,Newspaper,Copyright 2006 The Austin American Statesman
,child,help,every,Edelman,sunday,defense,fund,civil,rights,king,group,poor,prison,black,today,three,go,event,leader,ask,we,legal,bear,change,back,degree,work,neglect,without,health,insurance,seconds,kill,Children,greatest,threat,legacy,rev,jr.,cradle,cycle,boy,chance,jail,nation,lead,advocate,new,slavery,founder,honor,slain,celebrate,remember,dr.,let,god,deliver,keynote,address,13th,annual,celebration,organized,evening,include,mention,local,die,2005,hourlong,performance,appearance,cap,week,observance,life,lesson,edelman,serve,counsel,campaign,segregate,bennettsville,s.c.,grow,racial,climate,historic,v.,board,decision,overturn,segregation,school,sweeping,usher,movement,advocacy
,12,4,4,4,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"April 14, 2006 Friday",66 of 97 DOCUMENTS,Austin American-Statesman (Texas),"America, framed by Wenders",Brad Buchholz AMERICAN-STATESMAN STAFF,LIFE & ARTS; Pg. E01,,1282 words,,,"July 20, 2006",ENGLISH,,,,,,Newspaper,Copyright 2006 The Austin American-Statesman                               All Rights Reserved
,film,Paris,Texas,make,movie,sort,way,go,music,story,wender,time,little,know,America,feel,man,set,really,Howard,lose,write,long,life,something,play,front,everything,director,kind,wander,yet,knock,cowboy,scene,morning,end,we,gift,thing,always,drive,tone,shoot,place,American,Sam,wanderer,well,much,break,love,street,sky,theme,spirit,another,rock,roll,give,feeling,right,imagine,open,actor,phantom,talk,bar,delicate,light,last,night,sit,look,lot,eye,toward,great,maybe,career,never,believe,narrative,flow,simple,river,apart,ingredient,have,musical,word,ry,score,stand,screen,run,guitar,departure,shot
,17,11,11,9,8,8,8,8,7,7,6,6,6,6,6,5,5,5,5,5,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"May 22, 2006 Monday",70 of 97 DOCUMENTS,Austin American-Statesman (Texas),PREGNANT PAUSE? HARDLY.,Pamela LeBlanc AMERICAN-STATESMAN STAFF,LIFE & ARTS; Pg. E01,,1254 words,,,"July 20, 2006",ENGLISH,,,,,,Newspaper,Copyright 2006 The Austin American-Statesman                               All Rights Reserved
,exercise,pregnancy,Turner,weight,time,baby,pregnant,walk,body,woman,way,personal,trainer,fetus,minute,keep,light,feel,try,shift,make,sport,back,swim,many,late,help,fit,instead,maintain,fitness,doctor,ball,yoga,use,good,something,rate,level,scuba,diving,give,birth,past,stay,swimmer,training,pace,fewer,obstetrician,go,consider,session,work,client,child,side,play,mom,machine,regimen,step,matzorkis,grow,always,naturally,delivery,recovery,move,increase,next,include,take,brisk,activity,run,become,uncomfortable,pass,different,sometimes,exceed,maximum,heart,140,clapp,easier,quicker,cyclist,especially,early,exertion,can,sense,remember,temperature,injury,oxygen,better
,24,17,11,9,8,8,7,6,6,5,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"June 19, 2006 Monday",72 of 97 DOCUMENTS,Austin American-Statesman (Texas),KEEP AUSTIN WAIKIKI,Pamela LeBlanc AMERICAN-STATESMAN STAFF,LIFE & ARTS; Pg. E01,,1223 words,,,"July 20, 2006",ENGLISH,,,,,,Newspaper,Copyright 2006 The Austin American-Statesman                               All Rights Reserved
,paddle,outrigger,water,canoe,boat,paddler,club,back,Austin,forward,feel,sport,everyone,take,help,person,ocean,work,time,call,pull,past,McGuire,Brooks,think,motion,little,seat,stroke,side,along,element,place,someone,member,race,go,live,front,arm,Town_Lake,five,cool,fly,body,fad,next,dig,captain,start,second,switch,pontoon,sea,surf,break,donate,use,last,good,thing,cost,wooden,much,island,travel,aloha,spirit,matter,pick,turtle,learn,move,spiritual,plant,season,regular,welcome,set,let,know,four,sweat,group,right,blade,hour,shore,overhead,hang,imagine,chair,mile,six_person,Hawaii,moment,shut,eye,listen
,25,22,16,15,13,9,9,7,7,6,6,6,5,5,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1
"July 23, 2006 Sunday",75 of 97 DOCUMENTS,Austin American-Statesman (Texas),They're not from here . . .,Michael Corcoran AMERICAN-STATESMAN STAFF,LIFE & ARTS; Pg. K01,,2598 words,,,"July 23, 2006",ENGLISH,,,,,,Newspaper,Copyright 2006 The Austin American-Statesman                               All Rights Reserved
,Austin,play,move,musician,band,music,go,make,find,night,feel,act,country,place,gig,people,open,big,trucker,live,Insley,cleave,start,scene,many,singer,help,local,city,way,think,have,Cleaves,know,happen,hit,home,take,long,town,club,folk,become,front,back,media,audience,grow,group,record,heart,whose,talent,career,well,Zee,Benson,hear,three,four,really,player,musical,never,pay,bill,still,job,new,break,national,show,transplant,call,part,nobody,tell,time,recent,early,enough,booker,give,always,meet,best,songwriter,great,weber,artist,sometimes,l.a.,la,Bay_Area,Nashville,Truckers,Lucero,Fisher,mike
,37,16,14,13,13,11,10,10,8,8,8,8,7,7,7,7,6,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2
"September 21, 2006 Thursday",77 of 97 DOCUMENTS,Austin American-Statesman (Texas),Clinton summit aimed at making world a better place,David Ho NEW YORK BUREAU,NEWS; Pg. A09,,406 words,,,"September 21, 2006",ENGLISH,,,,,,Newspaper,Copyright 2006 The Austin American-Statesman                               All Rights Reserved
,million,people,summit,commitment,billion,group,water,pump,pledge,keep,clean,Clinton,Africa,president,world,leader,wednesday,fund,program,global,poverty,goal,provide,make,attend,include,nonprofit,energy,last,system,child,Bush,lady,kick,annual,political,business,event,collect,combat,ill,largest,107,500,help,poor,work,way,2012,part,larger,raise,loan,savings,training,100,while,certainly,lot,zero,behind,consider,hundred,past,smaller,budget,large,impact,indeed,"1,000",philanthropic,tycoon,kofi,annan,current,former,head,state,expect,participant,carter,cycle,champion,ceo,rupert,murdoch,workshop,meeting,intend,produce,four,area,climate,change,reduction,religious,ethnic,conflict,resolution
,6,6,5,5,4,4,4,4,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"September 21, 2006 Thursday",78 of 97 DOCUMENTS,Austin American-Statesman (Texas),"At UT, Shell Oil chief defends industry, touts alternatives",Claudia Grisales AMERICAN-STATESMAN STAFF,BUSINESS; Pg. D04,,391 words,,,"September 21, 2006",ENGLISH,,,,,,Newspaper,Copyright 2006 The Austin American-Statesman                               All Rights Reserved
,energy,oil,company,fuel,hofmeister,price,gas,employee,every,U.S.,Hofmeister,tour,conservation,strategy,percent,promote,find,source,greenhouse,reduce,emission,alternative,feel,Austin,Texas,American,head,co.,barnstorming,country,hope,spread,viewpoint,issue,confront,backlash,high,wednesday,speak,tout,renewable,nontraditional,approach,boost,supplies,conventional,answer,tell,luncheon,crowd,outline,assure,secure,future,president,operation,giant,employ,"14,100",people,beneath,gulf,seventh,stop,top,executive,try,convince,consumer,regulator,policymaker,enemy,view,policy,among,point,buy,theory,world,run,easy,inexpensive,mostly,invest,shale,formation,sand,costly,process,linkage,climate,change,time,debate,past,call,national,carbon,dioxide
,9,7,4,4,4,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"September 29, 2006 Friday",79 of 97 DOCUMENTS,Austin American-Statesman (Texas),Sex and balances,Chris Garcia AMERICAN-STATESMAN FILM WRITER,LIFE & ARTS; Pg. E01,,1196 words,,,"September 29, 2006",ENGLISH,,,,,,Newspaper,Copyright 2006 The Austin American-Statesman                               All Rights Reserved
