PUBLISHED_DATE,DOCUMENTS_INDEX,PUBLISHER,TOPIC,BYLINE,SECTION,SOURCE,LENGTH,DATELINE,SUMMARY,LOAD_DATE,LANGUAGE,CORRECTION_DATE,CORRECTION,GRAPHIC,TYPE,DOCUMENT_TYPE,PUBLISH_TYPE,COPYRIGHT
"October 30, 1999, Saturday",1 of 144 DOCUMENTS,Austin American-Statesman (Texas),Earth's no stranger to quick climate shifts,Paul Recer,News; Pg. A2,,474 words,,,"November 1, 1999",ENGLISH,,,,,,,Copyright 1999 The Austin American-Statesman
,change,ice,temperature,climate,study,warming,warm,Earth,Greenland,age,end,suggest,decade,global,gas,much,may,sudden,greenhouse,carbon,dioxide,Severinghaus,thousand,new,publish,friday,world,happen,expert,p.,severinghaus,trap,last,abrupt,increase,still,take,scientist,effect,might,tans,many,cause,core,OKokay,grip,abruptly,soar,accord,finding,prompt,fresh,concern,suddenly,method,analyze,show,air,rapidly,"15,000",ago,degree,lead,author,journal,science,within,couple,old,idea,find,faster,rapid,touch,surge,current,bring,melting,trend,vast,sheet,cover,hundred,recede,start,great,thaw,think,tippy,prone,stable,long,period,subject,right,condition,know,next,100
"February 27, 1999",55 of 144 DOCUMENTS,Austin American-Statesman (Texas),Treasure hunt on the lake; High-tech team to search for sunken racing,Dick Stanley,News; Pg. A1,,1186 words,,,"February 27, 1999",ENGLISH,,,"Somewhere out there, in the main basin of Lake Travis, is Steve Starr's sunken sailboat. A group that searches the Gulf of Mexico for historical wrecks plans to find it using sonar and specially trained divers. // Steve Starr's 22-foot sailboat IIObscure, in happier days. It's at the bottom of Lake Travis now.",,,,Copyright 1999 The Austin American-Statesman
,boat,Starr,water,IIObscure,sailboat,sink,diver,use,find,sank,lake,turn,try,bottom,go,race,deep,think,group,newsgroup,crew,wind,sail,spinnaker,buoy,infrare,Lake_Travis,Gronquist,almost,cold,attach,work,gronquist,part,surface,old,tree,still,search,quickly,sonar,sailor,recover,starr,raise,camera,bag,area,Steve_Starr,undersea,help,jan,later,lose,foot,quite,grow,hundred,president,historical,know,"6,500",training,ship,sport,near,large,grove,pecan,wait,commercial,dangerous,member,family,keep,happen,full,racing,thing,gust,condition,call,mast,far,weight,roll,hold,look,upright,visibility,attempt,along,detector,device,identify,method,recovery,team,site
,21,12,11,10,8,8,8,8,7,6,6,6,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"July 7, 1999, Wednesday",58 of 144 DOCUMENTS,Austin American-Statesman (Texas),"Enjoy it now; Once women's soccer grows, fun will diminish",Mike Penner,Sports; Pg. C1,,1022 words,,,"July 8, 1999",ENGLISH,,,"Up, up and away: China's goalie, Gao Hong, is one of the world's most acrobatic and athletic, ranging far and jumping high to save potential goals. Gao is preparing to stop the United States in Saturday's Women's World Cup championship game.",,,,Copyright 1999 The Austin American-Statesman
,man,woman,world,cup,soccer,play,team,game,U.S.,coach,Women,fan,best,give,back,hear,many,attack,defensively,forward,front,American,United_States,Brazil,begin,sit,early,talk,next,match,watch,return,home,television,hold,goal,action,entertaining,brand,league,final,half,second,stadium,become,new,history,level,sport,player,without,enter,compare,generation,behind,stage,defensive,tournament,look,round,win,keep,free,put,sophisticated,happen,defender,capable,point,America,France,spend,road,thing,airport,terminal,probably,knowledgeable,fly,catch,rather,walk,outside,boy,riff,topic,think,beat,semifinal,victory,phone,editor,indifferent,enthusiastically,unlike,interest,start,finish,near
,20,19,16,13,12,10,9,8,8,7,7,4,4,4,4,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"February 23, 1999",67 of 144 DOCUMENTS,Austin American-Statesman (Texas),Texas pops up in Top 25 polls; Longhorns make first appearance in AP,Randy Riggs,Sports; Pg. C1,,908 words,,,"February 23, 1999",ENGLISH,,,,,,,Copyright 1999 The Austin American-Statesman
,big,coach,Texas,Barnes,poll,league,tournament,contract,Longhorns,team,conference,monday,ut,school,man,week,title,new,take,move,eight,change,have,join,UT,Kansas_City,victory,earn,basketball,national,"75,000",bonus,clinch,least,south,well,incentive,call,make,"25,000",win,share,"50,000",reach,another,game,season,certainly,talk,different,staff,do,really,rotate,somewhere,else,guarantee,old,suggest,god,beat,University,Kansas,regular_season,NCAA,Mack_Brown,Dallas,Baylor,saturday,ranking,major,substantial,spend,money,jump,press,defeat,aggy,improve,record,combine,loss,give,tie,division,crown,overall,hey,right,unaware,inform,reporter,practice,meanwhile,status,appearance,preseason,rank,22nd
,10,10,9,8,7,7,6,5,5,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"March 24, 1999, Wednesday",69 of 144 DOCUMENTS,Austin American-Statesman (Texas),"Women at UT less likely to get tenure, high pay, report says",Mary Ann Roser,Metro/State; Pg. B1,,656 words,,,"March 24, 1999",ENGLISH,,,"John Beckworth//Charles Fraser, Jr.//C. Kim Goodwin//Robert Rodriguez//From maverick filmmaker to heart surgeon to attorney to financier, these UT graudates have one thing in common - being named 1999's Outstanding Young Texas Exes.",,,,Copyright 1999 The Austin American-Statesman
,woman,female,faculty,professor,tenure,ut,UT,member,percent,MIT,job,disparity,endow,show,problem,university,man,administrator,although,make,professorship,president,data,committee,compare,status,gender,field,difference,report,tuesday,bias,think,associate,climate,policy,allow,time,engineering,improve,department,take,study,student,work,campus,pay,rank,provide,average,teach,likely,award,place,prestigious,fix,substantial,progress,break,glass,ceiling,promote,full,radio,television,film,support,staiger,share,compile,406,hold,chair,add,past,boost,number,win,protect,grow,dramatically,fifteen,ago,today,reason,among,complex,reflect,discrimination,academia,attract,retain,certain,lack,mentor,society,still,bear,brunt
,16,10,10,9,6,6,6,5,4,4,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"April 8, 1999, Thursday",70 of 144 DOCUMENTS,Austin American-Statesman (Texas),"25 years ago, Aaron hit a goal that had become a . . .Painful",Karen Rosen,Sports; Pg. C1,,1226 words,,,"April 8, 1999",ENGLISH,,,,,,,Copyright 1999 The Austin American-Statesman
,Aaron,record,McGwire,home,run,season,never,media,know,today,game,chase,make,go,break,hit,aaron,baseball,mail,happy,little,people,Sosa,Atlanta,play,receive,hate,let,remember,end,last,think,man,hold,time,player,still,piece,stand,call,pitch,Braves,career,later,white,teammate,force,commissioner,much,moment,course,enough,715,celebration,ago,wish,enjoy,cardinal,spring,training,ty,envious,black,excitement,1973,1974,yet,bit,sport,comparison,official,henry,writer,guy,happen,take,choice,three,bat,book,former,back,swing,lot,crowd,fan,thank,climate,Hank_Aaron,Babe_Ruth,Ruth,Cincinnati,Don_Fehr,Plimpton,imagine,bear,spend,night,room
,23,13,8,7,7,7,6,6,6,6,5,5,5,5,5,5,5,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1
"May 1, 1999, Saturday",72 of 144 DOCUMENTS,Austin American-Statesman (Texas),Struggling Mazda rests hopes on redesigned '99 Protege,Pete Szilagyi,Lifestyle; Pg. D7,,755 words,,,"May 1, 1999",ENGLISH,,,"The redesigned Protege is the first of a new generation of Mazdas. The '99 Protege has more attractive styling, with creased lines, chrome accents and clear 'jeweled' headlights.",,,,Copyright 1999 The Austin American-Statesman
,protege,*,car,mazda,new,es,line,price,option,transmission,front,Mazda,percent,work,se,automatic,drive,equipment,brake,base,redesign,1999,compact,trim,model,next,sedan,solid,continue,small,style,look,competitor,acceptable,available,dx,four,engine,make,automobile,handle,body,balance,space,generous,radio,climate,quality,high,standard,include,information,payment,credit,union,anti_lock,cause,smile,introduce,last,wonder,ever,matter,variety,reason,downhill,slide,lose,million,dollar,annually,raising,serious,concern,whether,moxie,survive,ford,motor,company,owner,stock,rescue,capital,management,help,force,refocuse,mix,marketing,result,move,ad,campaign,churn,generation,july,slick,minivan
,16,13,6,5,5,5,4,4,4,4,4,4,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"May 16, 1999, Sunday",74 of 144 DOCUMENTS,Austin American-Statesman (Texas),New airport's history full of detours; Years of bickering put city on slow road to Bergstrom,Kelly Daniel,Insight; Pg. H1,,1703 words,,,"May 16, 1999",ENGLISH,,,"Picketers at Austin's City Council Chambers support building a new airport near Manor -- a project approved by voters in 1987 but stalled at the time of this picture by political wrangling and the possibility of taking over Bergstrom Air Force Base.//In April of 1989, about 250 area residents -- including Henry Umshield at the microphone -- gathered at Manor High School to hear Austin city officials report on progress for their plans to build a new airport near the town east of Austin. A year later, that plan was effectively dead.",,,,Copyright 1999 The Austin American-Statesman
,airport,Austin,new,Bergstrom,manor,city,think,take,many,council,decide,voter,approve,location,build,vote,base,public,project,decision,resident,land,back,open,put,official,million,work,site,sometimes,member,another,1990,debate,keep,change,favor,military,never,long,Todd,Manor,Mueller,City_Council,point,ever,decade,much,major,make,time,yet,1993,building,announcement,close,political,locate,question,follow,give,need,downtown,near,choice,air,later,promise,percent,may,politically,Bergstrom_Air_Force_Base,Watson,delay,constant,journey,largest,complete,start,whether,argue,leadership,three,reject,1985,reverse,1987,faction,several,former,convenient,ample,space,group,regional,leave,body,mayor,400
,31,22,16,16,15,12,8,7,7,7,7,7,7,7,6,6,6,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"August 4, 1999, Wednesday",76 of 144 DOCUMENTS,Austin American-Statesman (Texas),"Software. Change is in the air; After years on the fringes, software",Timothy Ziegler,Special -- High Tech Austin Style; Pg. E1,,979 words,,,"August 4, 1999",ENGLISH,,,Origin Systems founder Richard Garriott says Austin's slow-growing software climate in the late 1980s was not all bad -- he found home-grown work force to be loyal and less costly. Garriott is shown in front of a scene from the company's recent hit Ultima Online.,,,,Copyright 1999 The Austin American-Statesman
,software,Austin,company,local,business,people,traffic,industry,cost,early,computer,grow,find,salary,compare,time,employee,research,technology,open,raise,job,leave,make,game,talent,problem,drive,another,good,housing,high_tech,Lenat,California,Silicon_Valley,hardware,semiconductor,run,show,growth,past,fast,1993,number,almost,employ,new,startup,last,million,capital,money,much,town,recent,city,1980,work,many,similar,counterpart,look,offer,furthermore,experience,difficult,1990,world,draw,change,upward,have,keep,challenge,firm,still,lower,quality,life,center,activity,rush,hour,rise,Origin,Garriott,MCC,beginning,1970,stake,claim,builder,personal,today,code,everything,space,shuttle,toaster
,24,16,13,10,8,7,6,5,5,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1
"August 8, 1999, Sunday",79 of 144 DOCUMENTS,Austin American-Statesman (Texas),"Slumping prices another blow to cotton farmers; In Low Cotton,",Heather Cocks,Business; Pg. J1,,1290 words,,,"August 8, 1999",ENGLISH,,,"Donald Stolte displays a blooming cotton bulb in his Taylor cotton field. While yields should be good, slumping prices will have many farmers struggling to survive. // Donald Stolte of Taylor has been farming in Texas for 20 years. Having endured the inevitable ups and downs of the weather, the current price slump under ideal climate conditions is troubling. 'It's like rubbing salt in our wound. I don't know who's going to survive this,' he said.",,,,Copyright 1999 The Austin American-Statesman
,price,cotton,farmer,accord,million,Texas,cost,government,farm,state,crop,market,acre,cent,dring,commodity,receive,pound,economic,bale,sell,fall,1996,aid,shirt,wit,Vorwerk,American,Stolte,past,field,1997,profit,condition,producer,plant,per,hard,drop,surplus,country,almost,billion,1998,national,problem,much,low,weather,help,agree,'95,'98,Anderson,U.S.,Etheridge,family,four,good,grow,seem,time,pay,percent,production,struggle,number,half,global,know,go,survive,demand,suddenly,international,textile,yield,still,own,world,raw,grower,actual,counteract,financial,economy,industry,loss,agriculture,unpredictable,make,unusual,texas,county,federal,department,dry,include,step
,23,21,19,9,7,7,6,6,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"August 26, 1999, Thursday",81 of 144 DOCUMENTS,Austin American-Statesman (Texas),"No guts; Hollywood, which eats its young, is now regurgitating its",glenn lovell,XL Ent; Pg. 54,,1115 words,,,"October 12, 1999",ENGLISH,,,"The Thomas Crown Affair, 1999, 1968 ; Stigmata, 1999 ; The Exorcist, 1973 ; Jaws, 1975",,,,Copyright 1999 The Austin American-Statesman
,movie,jaw,take,Hollywood,remake,deep,go,nostalgia,back,audience,look,time,real,young,argue,1978,thing,film,political,easy,taxi,driver,Exorcist,producer,blockbuster,the,show,kind,original,thriller,end,open,exorcist,1973,let,tip,likewise,recycl,period,current,summer,set,detroit,rock,city,school,shoot,new,anything,today,spin,generation,change,climate,mark,rider,mm,three,people,box_office,Blue_Sea,hurtle,warp,suddenly,wherever,turn,multiplex,late,retread,telltale,remnant,polyester,shirt,grumpy,shark,paranoia,deja,vur,veteran,partner,usher,era,sting,thomas,crown,affair,paucity,creativity,sad,point,absurdity,millennium,blurt,jesus,dr,doolittle,1967,cost,job
,11,6,6,5,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"November 12, 1999, Friday",84 of 144 DOCUMENTS,Austin American-Statesman (Texas),"Tune in for drama, passion and . . . family planning",Ellen Goodman,Editorial; Pg. A15,,774 words,,,"November 16, 1999",ENGLISH,,,,,,,Copyright 1999 The Austin American-Statesman
,family,soap,make,plan,opera,China,sell,become,try,small,Chinese,child,young,greenleaf,ordinary,people,show,marriage,population,policy,education,preference,son,daughter,another,propaganda,success,'em,cry,wait,clear,social,change,ms,television,screen,watch,keep,million,nation,theme,message,name,buy,wife,brother,bride,late,woe,government,give,part,world,drama,new,question,right,cultural,tradition,sister,behind,girl,tool,find,course,person,story,woman,Mr._Wrong,Chen,Greenleaf,Tanzania,doyenne,ask,share,recipe,sudsy,offer,three,ingredient,em,laugh,whether,purpose,beyond,detergent,somewhere,along,way,enter,character,onto,rainy,fall,morning,sit,beside,state,commission
,11,9,7,7,6,5,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"January 7, 1999",88 of 144 DOCUMENTS,Austin American-Statesman (Texas),Citing Hopwood ruling; UT ends faculty minority-hiring program,Mary Ann Roser,Metro/State; Pg. B1,,877 words,,,"January 7, 1999",ENGLISH,,,,,,,Copyright 1999 The Austin American-Statesman
,//,faculty,program,hire,black,minority,Hopwood,percent,official,ut,use,Texas,UT,hispanic,rule,member,make,number,campus,action,include,court,end,student,decision,university,University,Austin,Hispanic,tenure_track,dismantle,help,lure,professor,1997,school,decade,without,several,system,regent,meeting,wednesday,affirmative,recruitment,apply,former,general,lead,president,broad,provost,last,white,recruiting,create,position,hispanics,five,compare,tenure,109,**,***,figure,Houston,Romo,quietly,"300,000",record,1988,benefit,target,fall,victim,climate,1996,federal,know,discuss,progress,woman,surprised,hear,effect,effectively,admission,scholarship,retention,tutor,across,interpret,opinion,express,attorney,dan,morale,counsel,ray
,25,16,15,13,10,10,8,7,6,6,5,5,5,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"January 11, 1999",90 of 144 DOCUMENTS,Austin American-Statesman (Texas),"Nigerian state elections called peaceful, well-run",By Norimitsu Onishi,News; Pg. A3,,454 words,,,"January 11, 1999",ENGLISH,,,"A man votes Saturday in Ikate Elegushi, Nigeria, in state elections, which experts say bode well for the presidential vote.",,,,Copyright 1999 The Austin American-Statesman
,Nigeria,election,state,victory,former,official,monitor,voting,political,gen,Tinubu,step,toward,presidential,next,last,military,force,change,nation,result,race,show,party,exile,sudden,death,return,another,hundred,People,Democratic_Party,positive,historic,countrywide,sunday,generally,peaceful,represent,improvement,local,meddle,armed,coup,long,part,politics,army,hold,power,independence,1960,finally,preliminary,saturday,governor,legislator,three,major,score,ethnic,geographic,basis,lead,continue,solidify,national,stand,win,gubernatorial,half,strengthen,likelihood,olusegun,obasanjo,prominent,member,become,president,spend,past,four,measure,dramatically,climate,six,dictator,sani,abacha,journey,today,triumph,rough,difficult,speech,senator,successor,abdulsalami,abubakar
,7,5,4,4,4,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"February 2, 1999",92 of 144 DOCUMENTS,Austin American-Statesman (Texas),"SOONER, notion, Oklahoma's hopes high as hole is deep",John Maher American-Statesman Staff,Sports; Pg. C1,,1689 words,,,"February 2, 1999",ENGLISH,,,"The task of improving Oklahoma's football fortunes falls on the shoulders of new head coach Bob Stoops, formerly the Florida defensive coordinator. To help the cause, Stoops hired former Texas assistant Bobby Jack Wright, regarded as the best recruiter on former Longhorn head coach David McWilliams' staff.; Barry Switzer once boasted that he could win a national championship by recruiting in the Houston area alone.  But today, the Sooners no longer have a strong foothold anywhere in the Lone Star State. Fact box/chart at bottom main hed doesn't have to say Sooner notion, but it needs to be a grabby label type",,,,Copyright 1999 The Austin American-Statesman
,Oklahoma,Texas,sooner,season,game,coach,player,decade,go,time,Switzer,recruiting,school,Sooner,Sooners,team,football,make,program,change,oklahoma,still,four,three,win,former,big,expect,top,long,last,1990,national,lose,state,ou,play,back,break,Stoops,Oklahoma_State,include,try,use,kind,way,head,number,championship,1980,texas,recruit,winner,million,conference,eight,1988,bowl,run,1950,Burton,Missouri,leave,start,fan,staff,work,class,rise,monster,feed,sport,reason,finally,late,hang,best,half,history,ever,glory,stoops,woeful,1985,fall,six,without,almost,1970,grand,athlete,close,nfl,draft,final,name,well,accord,population
,32,19,12,11,9,8,8,8,8,8,8,7,7,7,7,6,6,6,6,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"February 5, 1999",93 of 144 DOCUMENTS,Austin American-Statesman (Texas),Looking behind words,,Editorial; Pg. A14,,473 words,,,"February 5, 1999",ENGLISH,,,,,,,Copyright 1999 The Austin American-Statesman
,welfare,child,people,reform,percent,Texas,low_income,roll,state,family,report,average,need,condition,national,canary,economic,work,time,president,federal,number,caseload,test,whether,improve,ask,seek,reach,hour,study,parent,compare,nation,health,well_being,Child_Trends,climate,word,evoke,image,mother,bustling,zippy,announcement,pour,human,service,department,incredibly,shrink,plummete,nationally,sign,bill,1996,drop,nearly,8.4,million,fall,"148,750",september,"285,632",january,1994,find,steady,job,encourage,point,inception,advocate,concerned,happen,cut,incentive,chop,reduction,truest,best,sense,real,circumstance,assure,last,important,question,december,researcher,university,survey,former,recipient,aid,receive,telephone,"3,000",half
,10,8,5,4,4,4,4,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"March 20, 1999, Saturday",99 of 144 DOCUMENTS,Austin American-Statesman (Texas),"Fossils claimed on 2 more meteors; NASA scientist says microbial patterns were found in 'Mars rocks' that fell in India, Egypt",,Metro/State; Pg. B7,,559 words,,,"March 20, 1999",ENGLISH,,,,,,,Copyright 1999 The Austin American-Statesman
,meteorite,McKay,bacteria,life,Mars,team,find,fossilize,prove,NASA,Nakhla,contain,finding,scientist,structure,rock,Earth,evidence,meteor,similar,remnant,presentation,research,mar,latest,past,fall,near,researcher,feature,bear,resemblance,know,wrong,still,observe,orbit,Martian,billion_year_old,Shergotty,Antarctic,microbial,claim,appear,believe,accord,lead,geologist,present,thursday,planetary,science,conference,cautious,require,mission,plan,next,decade,place,lander,return,soil,sample,make,within,six,samples,1.3,1911,165,1865,opinion,turn,true,microfossil,count,many,convert,ask,though,people,keep,open,mind,august,1996,announce,discovery,tiny,crevice,1984,resemble,reproductive,phase,note,flak,remain,slimy
,7,7,6,5,5,4,4,4,4,4,4,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"April 7, 1999, Wednesday",101 of 144 DOCUMENTS,Austin American-Statesman (Texas),Kid Twins turn some heads in opener,,Sports; Pg. C4,,1065 words,,,"April 7, 1999",ENGLISH,,,,,,,Copyright 1999 The Austin American-Statesman
,Ripken,game,monday,start,hit,inning,season,back,double,Twins,third,lineup,time,Miller,night,right,rooky,team,pitch,tuesday,second,include,seventh,good,lose,go,follow,last,deal,manager,march,pitcher,lower,may,leave,something,bunt,Toronto,two_run,pre_game,least,allow,lead,three,rookie,make,ticket,another,batter,infield,score,shallow,center,career,ceremony,bat,still,mark,baseman,opener,early,stiffness,player,need,today,pain,condition,ripken,problem,think,take,know,however,extend,spasm,additional,injury,begin,end,return,spring,spend,father,discomfort,fielder,play,real,Minnesota,Lawton,Gates,Streak,kid,four,contend,playoff,stellar,performance,triple,win
,18,8,8,6,6,6,6,6,5,5,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1
"June 12, 1999, Saturday",108 of 144 DOCUMENTS,Austin American-Statesman (Texas),Can't Fight City Hall? Now She Leads It; New Georgetown mayor is not,Brad Reagan,Metro/State; Pg. B1,,1269 words,,,"June 16, 1999",ENGLISH,,,Bill Masterson of Georgetown confers Friday with Mayor MaryEllen Kersch at a City Council retreat. Kersch was sworn in last week.,,,,Copyright 1999 The Austin American-Statesman
,Kersch,city,Georgetown,mayor,water,park,although,deal,election,run,development,make,local,home,call,support,go,leave,Wood,plan,time,need,community,resident,work,county,find,council,political,politics,career,help,organize,public,Minnesota,Power_Computing,march,way,read,offer,leo,file,later,unlikely,result,history,newspaper,open,government,friendly,toward,though,by,god,love,willing,begin,member,may,issue,process,anything,show,woman,four,daughter,hearing,circumstance,stay,husband,program,commissioner,office,change,feel,end,taste,worse,use,corporation,economic,deadline,cost,reputation,modest,realistic,agenda,code,Pig_Farm_Lady,arrive,church,brunch,buy,paper,startle,bond,developer,soon,wood
,20,14,10,6,6,6,6,5,5,5,5,5,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1
"July 11, 1999, Sunday",111 of 144 DOCUMENTS,Austin American-Statesman (Texas),"Euphoria, anxiety can cause poor investing choices",Charles A. Jaffe,Business; Pg. J2,,870 words,,,"July 12, 1999",ENGLISH,,,,,,,Copyright 1999 The Austin American-Statesman
,fund,market,money,stock,people,investment,move,time,invest,portfolio,review,performance,save,defensive,good,industry,investor,go,spend,company,retirement,side,bond,feel,much,significant,pace,group,high,level,euphoria,anxiety,research,real,something,least,might,individual,return,cautious,stop,last,ability,pick,comfortable,buy,rather,case,asset,run,position,risk,longer,less,temptation,let,pay,goal,a.,jaffe,mid_year,New_York,Boston,Boston_Globe,concentrate,fit,bigger,trend,thus,far,1999,redemption,speed,sell,redistributed,safer,haven,lot,presumably,support,national,increase,consumer,meanwhile,new,slow,strong,cash,largest,provider,plan,fidelity,plus,janus,flow,number,euphoric,anxious,estate
,21,12,10,10,8,7,7,6,6,5,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"July 12, 1999, Monday",112 of 144 DOCUMENTS,Austin American-Statesman (Texas),Scores could soar at cranky Carnoustie,Clifton Brown,Sports; Pg. C3,,519 words,,,"July 12, 1999",ENGLISH,,,,,,,Copyright 1999 The Austin American-Statesman
