PUBLISHED_DATE,DOCUMENTS_INDEX,PUBLISHER,TOPIC,BYLINE,SECTION,SOURCE,LENGTH,DATELINE,SUMMARY,LOAD_DATE,LANGUAGE,CORRECTION_DATE,CORRECTION,GRAPHIC,TYPE,DOCUMENT_TYPE,PUBLISH_TYPE,COPYRIGHT
"June 16, 2004 Wednesday",1 of 103 DOCUMENTS,Austin American-Statesman (Texas),Rising seas erode Britain's coastline; Climate change doesn't seem to be waiting until the day after tomorrow,"Don Melvin, INTERNATIONAL STAFF",NEWS; Pg. A17,,774 words,,,"July 18, 2004",ENGLISH,,,,,,Newspaper,Copyright 2004 The Austin American Statesman
,sea,rise,report,Britain,global,warming,may,government,London,release,scientist,protect,flooding,level,problem,abandon,effort,coast,billion,threat,warn,might,city,foot,change,official,trust,recently,effect,country,lead,coastline,eat,away,threaten,expert,home,title,grow,retreat,part,study,go,century,warning,leader,security,write,head,weapon,terrorism,climate,area,inland,barrier,local,environmental,coordinate,policy,mile,National_Trust,British,climate_change,Samuels,Aberdeen_City_Council,point,movie,sudden,melt,polar,ice,cap,extent,tide,five,story,high,crash,less,visually,spectacular,believe,horrifying,perhaps,fact,rather,fiction,island,nation,shrink,private,charity,buys,shoreline,countryside,stretch,simply,wait,assortment
,state,plan,politician,article,need,flag,Mueller,country,enough,june,vote,austin,may,service,Iraq,United_States,Austin,problem,sad,bad,president,change,government,right,hear,many,election,call,citizen,we,system,district,approach,million,solution,human,community,constitution,amendment,mueller,Bush,American,situation,know,terrorist,do,past,much,time,support,read,count,important,ask,voting,voice,make,party,college,editorial,electoral,affair,show,lie,free,desperation,barrel,per,develop,alliance,benefit,issue,uninsured,mean,honor,generation,respect,defend,let,keep,master,retail,process,Texas,Mexico,Travis_County,nobody,care,sit,shut,minute,agree,damage,ever,divide,weaken,foundation,go,walk
,9,7,6,6,6,6,6,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1
"July 22, 2004 Thursday",39 of 103 DOCUMENTS,Austin American-Statesman (Texas),"Hello, Austin! You're looking good today; It's goodbye, dark clothes, as I shift my focus from Madison Avenue to Congress Avenue","Jean Scheidnes, AMERICAN-STATESMAN STAFF",LIFESTYLE; Pg. E1,,817 words,,,"August 2, 2004",ENGLISH,,,,,,Newspaper,Copyright 2004 The Austin American Statesman
,work,style,wear,New_York,think,Austin,wardrobe,change,shoulder,woman,bag,every,boot,Texas,poor,drive,make,nothing,never,black,uniform,right,go,still,man,fashion,call,attire,might,girly,bar,home,place,blueshirt,friend,another,reporter,read,life,far,car,addition,music,bad,new,store,chamber,isolation,arrive,subway,impractical,shoe,lot,match,white,look,hat,miss,cowboy,favorite,Tokyo,please,excuse,manners,exceedingly,dark,promise,anyone,suspect,plan,image,fear,believe,slack,blue,oxford,shirt,loafer,unisex,midtown,office,dreary,pathetic,girl,pad,essentially,try,dress,guilty,cover,industry,reuter,time,understate,really,stiff,boring,recently,marvel
,5,5,5,5,4,4,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"August 1, 2004 Sunday",40 of 103 DOCUMENTS,Austin American-Statesman (Texas),"A family's distant hope; Aiming for legal status, migrant faces 10 years apart from wife, son","Juan Castillo, Susan Ferriss, AMERICAN-STATESMAN STAFF",NEWS; Pg. A1,,2285 words,,,"August 10, 2004",ENGLISH,,,"Courtney Garcia plays with her 2-year-old son, Maylo Domingo Garcia, at her mother's apartment in South Austin. Courtney is separated from her husband, Fernando, a former illegal immigrant who left the country in an effort to become a legal resident and is now barred from returning. Fernando Garcia lives in Rio Laja, Guanajuato, separated from his American wife and son by 700 miles. They tried living together in Mexico in a house without running water, but Courtney and Maylo fell ill, and the family had little money.
While Courtney and Maylo are separated from Fernando, they stay in touch through phone calls every three or four days and e-mail. Courtney doesn't want to live apart from her husband. 'If we have to (live in Mexico), then that's what we're going to have to do,' she says. Until then, she's living at her mother's apartment in South Austin, saving money and looking for officials who can help reunite her family. Fernando, seen here with Maylo, returned to Mexico so he could apply for pe",,,Newspaper,Copyright 2004 The Austin American Statesman
,Fernando,immigration,law,courtney,U.S.,maylo,immigrant,United_States,country,work,Austin,family,try,live,leave,people,return,Courtney,Garcias,back,illegally,undocument,find,bar,couple,mother,father,know,illegal,home,go,Mexico,state,spend,hope,barred,least,citizen,time,start,job,hardship,thing,future,save,life,school,little,earn,money,art,marry,officer,apply,legally,three,Rio_Laja,phone,border,native,never,become,1996,enter,million,young,love,mean,poverty,together,care,much,group,town,sick,die,enough,meet,run,give,choose,permanent,lawyer,break,present,stay,paint,help,weekend,factory,food,Guanajuato,mile,son,six,learn,happen,right,step
,33,20,18,13,13,12,12,12,10,10,10,9,8,8,8,8,8,8,8,7,7,7,7,7,6,6,6,6,6,6,6,6,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2
"September 8, 2004 Wednesday",41 of 103 DOCUMENTS,Austin American-Statesman (Texas),Letters,,EDITORIAL; Pg. A14,,1088 words,,,"September 8, 2004",ENGLISH,,,"John Champagne Texas Secretary of State Geoff Connor gives Surood Ahmad a document proclaiming her an 'honorary Texan.' Ahmad, an Iraqi citizen, said that with Saddam Hussein gone, 'Now I can study. I can dream. I can have hopes.'",,,Newspaper,Copyright 2004 The Austin American Statesman
,warming,office,people,take,need,court,bush,administration,global,emission,resource,center,Bush,U.S.,Iraq,editorial,last,human,carbon,dioxide,cause,think,still,election,natural,issue,woman,hope,troops,family,use,public,courthouse,county,United_States,long,2000,promise,plan,curb,harm,problem,every,close,measure,atmospheric,scientific,point,sure,limit,pollution,fee,enough,desire,target,money,share,news,bury,find,page,liberal,president,war,veteran,service,heart,kid,support,know,across,make,austin,new,civil,district,justice,clerk,space,JOHN,China,Travis_County_Courthouse,Children,aug.,reversal,welcome,seem,bit,welcoming,encourage,appear,barely,minimal,recognition,reality,role,activity,play,little
,6,6,6,5,5,5,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"December 2, 2004 Thursday",45 of 103 DOCUMENTS,Austin American-Statesman (Texas),"Their home for the holidays; One way to end elaborate hosting trend? A unique Austin experience,","Katy Barron, AMERICAN-STATESMAN STAFF",LIFESTYLE; Pg. E1,,803 words,,,"December 3, 2004",ENGLISH,,,"Need ideas for a guest oasis? Check 'A Gracious Welcome: Etiquette and Ideas for Entertaining Houseguests.' Awaken your guests with the sounds of Austin, found on this CD sold by the Austin Convention and Visitors Bureau.",,,Newspaper,Copyright 2004 The Austin American Statesman
,guest,host,Austin,make,leave,include,go,change,time,basket,room,chocolate,breakfast,hand,sheet,put,towel,water,bedside,along,read,home,marshall,thank,blame,uh,oprah,feature,elaborate,work,gracious,welcome,bath,herbal,list,alarm,clock,serve,evening,bed,morning,freshly,pillow,high,parent,fill,play,visit,experience,cube,do,DeBarge_Goonan,Visitors_Bureau,holiday,house,likely,either,never,easy,much,harder,ago,really,need,clean,today,consummate,keep,bottle,sink,sugar,almond,table,assortment,material,style,expert,discount,retailer,hot,trend,seem,boutique,hotel,base,fall,marketing,campaign,around,theme,sea,etiquette,point,finger,anyone,whose,name,end,sound
,11,7,7,4,4,4,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"February 19, 2004, Thursday",47 of 103 DOCUMENTS,Austin American-Statesman (Texas),Barnett's fingerprints on CU mess,Kirk Bohls,Sports; Pg. C1,,1030 words,,,"February 20, 2004",ENGLISH,,,,,,,Copyright 2004 The Austin American Statesman
,Barnett,Colorado,player,rape,football,program,school,go,coach,university,can,party,guilty,behavior,right,wednesday,least,fire,lineman,recruiting,bad,woman,recruit,way,take,action,athlete,job,charge,pay,control,time,state,become,record,last,appear,high,defensive,weekend,sex,another,best,news,seem,point,call,sexually,harass,teammate,three,court,hnida,terrible,look,nothing,excess,campus,change,whose,put,probation,million,seriously,allegation,team,issue,college,100,head,pick,responsible,student,300,culture,Boulder,NCAA,wrong,stand,trial,previously,solid,reputation,besmirch,file,embattle,place,administrative,leave,clearly,accuse,run,cavalier,mired,controversy,veer,threaten,stain,liberal
,19,10,9,9,7,7,6,6,5,5,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"May 13, 2004 Thursday",52 of 103 DOCUMENTS,Austin American-Statesman (Texas),"Another round for Texas brews?; Some craft beers have had it tough in the Lone Star State (or rather,the Bud Light state), but local brewmeisters see a hoppy future","Mark Lisheron, AMERICAN-STATESMAN STAFF",XL ENT; Pg. 16,,1961 words,,,"May 14, 2004",ENGLISH,,,"At its Blanco facility, Real Ale Brewing Co. is churning out beer at full speed. From left, Angus Shuurman, Tim Schwartz and Chris Nuez stand at the production line. Mack Hardman packages bottles of Real Ale at the Blanco brewery. The Central Texas beer maker saw a production increase of 16 percent for 2003. Real Ale founder Brad Farbstein, left, with Tim Schwartz atop the brewery's new brewhouse vessels, doubled the size of the company's work force.",,,Newspaper,Copyright 2004 The Austin American Statesman
,beer,Texas,brewer,craft,brew,brewery,state,barrel,percent,go,sell,people,country,brewpub,new,co.,brow,texan,sale,McElroy,time,festival,make,think,million,market,always,Cartwrights,Live_Oak,drinker,ale,microbrewery,equipment,micro,good,accord,every,overall,last,increase,amy,pour,wheat,tasting,name,another,much,live,oak,amber,lager,grow,know,culture,texas,decade,number,2003,drink,ago,far,back,bottle,Austin,Texas_Craft_Brewers_Festival,Anderson,Houston,St._Arnold,California,Wagner,Real_Ale,await,saturday,pale,brown,feel,store,may,keep,big,bark,try,enough,soon,co,might,step,street,can,call,founder,run,open,four,remain,include,lose,five,six
,60,26,17,16,14,12,12,11,10,9,9,8,7,7,6,6,6,6,6,6,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"May 19, 2004 Wednesday",54 of 103 DOCUMENTS,Austin American-Statesman (Texas),2 sets of chefs to work on next school recipe,"Ben Wear, AMERICAN-STATESMAN STAFF",METRO/STATE; Pg. B1,,1319 words,,,"May 20, 2004",ENGLISH,,,Lt. Gov. David Dewhurst: He and House speaker due to name panel members today.,,,Newspaper,Copyright 2004 The Austin American Statesman
,tax,yes,plan,property,House,Perry,school,Senate,prospect,state,pass,slot,increase,bill,committee,district,support,vote,percent,franchise,finance,lawmaker,include,cut,rate,business,payroll,pay,sale,session,monday,gov,group,member,reach,per,100,split,set,require,excellent,statewide,make,machine,floor,money,reportedly,expand,take,teacher,incentive,governor,special,case,three,six,revenue,element,find,panel,idea,package,week,proposal,question,deep,value,legal,roll,different,billion,fee,replace,give,show,local,educator,amendment,good,allow,least,chamber,put,way,source,employer,corporation,expansion,close,loophole,democrat,everyone,base,**,***,entertainment,Rick_Perry,Craddick,nobody
,35,24,22,12,12,12,11,11,8,8,7,7,7,6,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1
"June 27, 2004 Sunday",56 of 103 DOCUMENTS,Austin American-Statesman (Texas),"What will we do when the oil wells run dry?; End of petroleum-based energy is closer than thought, authors argue","Bruce Hight, AMERICAN-STATESMAN STAFF",INSIGHT; Pg. H1,,1548 words,,,"June 27, 2004",ENGLISH,,,"Gas is still relatively inexpensive in the United States. But there will come a day, the authors of two new books on the dwindling supply of oil argue, when filling up your tank becomes prohibitively expensive.",,,Newspaper,Copyright 2004 The Austin American Statesman
,oil,energy,price,world,peak,gasoline,production,Roberts,gas,rise,supply,natural,fuel,problem,need,nation,time,cost,book,warn,petroleum,coal,go,Goodstein,well,mile,technology,much,decline,find,motor,decade,market,carbon,milk,million,americans,vehicle,move,something,home,quickly,sooner,push,end,write,nuclear,use,fossil,work,1970,drop,begin,ever,car,may,robert,solve,keep,emission,start,drink,cafe,au,lait,carton,consider,weigh,every,cheap,gallon,less,water,probably,think,make,drive,steadily,message,release,recently,age,true,author,vice,child,grandchild,edge,perilous,new,issue,environment,type,hydrogen,significance,life,fact,we,data
,22,14,10,10,10,9,9,9,8,7,7,7,7,7,6,6,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"July 11, 2004 Sunday",57 of 103 DOCUMENTS,Austin American-Statesman (Texas),"CHAIRMAN OFTHE BOARD; From his Wimberley home, Rupert Neve's name continues to resound across the recording industry","Michael Corcoran, AMERICAN-STATESMAN STAFF",LIFESTYLE; Pg. K1,,2349 words,,,"July 11, 2004",ENGLISH,,,"Rupert Neve, who works as an audio design consultant in Wimberley, is well-respected in the music industry for his work designing mixing consoles. Neve, right, works with technical assistant Michael Glass at Neve's one-room workshop in Wimberley. 'My work is my hobby,' Neve says. The former Briton moved to the Central Texas town 10 years ago. When Evelyn and Rupert Neve started their own company in 1957, she took care of the business details so he could concentrate on designing. Today, the couple have settled comfortably into Wimberley.",,,Newspaper,Copyright 2004 The Austin American Statesman
,Neve,neve,console,company,design,Rupert_Neve,man,studio,sound,Wimberley,new,recording,board,system,radio,way,give,make,move,couple,old,need,work,buy,name,world,start,business,build,sell,digital,Rupert,England,tape,dollar,hour,know,speaker,home,still,tell,live,son,product,listen,use,unit,audio,signal,show,well,go,much,talk,music,industry,father,fader,room,owner,whose,town,run,speech,visit,place,grow,time,switch,later,stop,store,money,think,do,god,call,record,recall,own,period,analog,process,Evelyn,Neves,Evelyn_Neve,phone,recorder,soon,possible,sort,fellow,break,realize,end,rate,thousand,brand,unaware
,36,17,12,12,12,11,9,9,8,8,7,7,7,7,7,7,6,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2
"July 13, 2004 Tuesday",58 of 103 DOCUMENTS,Austin American-Statesman (Texas),Freescale's offering expected Thursday; Shares of Motorola's former chip unit will debut in a market that is growing cool to new stocks,STAFF AND WIRE REPORTS,BUSINESS; Pg. D1,,555 words,,,"July 13, 2004",ENGLISH,,,,,,Newspaper,Copyright 2004 The Austin American Statesman
,company,raise,Freescale,billion,stock,million,percent,share,go,offering,sell,expect,public,thursday,2.7,market,new,chip,week,offer,include,sale,initial,issue,worth,price,co.,monday,back,ipo,plan,shareholder,total,transaction,half,range,Domino,IPO,U.S.,first_day,Motorola,inc,seek,much,active,somewhat,cool,operation,three,along,investment,fund,affiliate,buyout,firm,report,comment,aspect,date,monitor,service,happen,far,16.2,compare,2003,accord,twelve,deck,dizzy,gain,average,increase,return,additionally,time,bloom,tech,several,warn,lower,profit,analyst,downgraded,industry,concern,slack,demand,oversupply,typical,candidate,startup,investor,postpone,climate,improve,large,part,dictate
,8,7,7,6,6,5,4,4,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"July 14, 2004 Wednesday",59 of 103 DOCUMENTS,Austin American-Statesman (Texas),Gay aides to some in Congress being 'outed',"Bob Dart, WASHINGTON BUREAU",NEWS; Pg. A1,,659 words,,,"July 14, 2004",ENGLISH,,,,,,Newspaper,Copyright 2004 The Austin American Statesman
,gay,amendment,marriage,people,outing,support,work,member,go,aide,vote,rights,sen,many,issue,outings,activist,closet,staffer,debate,family,we,effort,campaign,cause,help,difficult,group,community,president,create,proposal,defeat,back,shall,man,woman,union,Aravosis,Congress,near,constitutional,ban,homosexual,congress,frankly,give,good,value,political,consultant,make,citizen,aid,abet,another,leader,expose,hypocrisy,however,tactic,denounce,advocate,angst,among,lesbian,worker,fear,job,pete,domenici,founder,change,mind,satisfy,constituent,conviction,personal,process,emotionally,psychologically,fair,oppose,use,sexual,orientation,weapon,echoe,spokesman,nation,largest,conduct,separate,target,congressional,office,key,lawmaker,exposing
,14,6,6,6,5,5,4,4,4,4,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"July 31, 2004 Saturday",61 of 103 DOCUMENTS,Austin American-Statesman (Texas),"Thongs not wrong, schools rule; Austin students can wear flip-flops, officials decide; just don't try to go to class in a hat","Raven L. Hill, AMERICAN-STATESMAN STAFF",METRO/STATE; Pg. B1,,564 words,,,"August 8, 2004",ENGLISH,,,A proposed rule banning flip-flops wasn't part of the final dress code approved for Austin students. But teachers still can't wear them.,,,Newspaper,Copyright 2004 The Austin American Statesman
,student,school,wear,teacher,dress,code,may,short,top,must,principal,education,district,employee,use,cap,hat,campus,religious,skirt,forgione,staff,member,physical,ban,leave,Austin,still,rule,slipper,baggy,pants,strapless,clothes,alcohol,drug,inside,building,except,jeans,designate,include,community,exception,require,shop,course,task,force,lunch,clothing,reason,enough,shirt,official,issue,friday,finalize,take,effect,start,aug,change,popular,thong,sandal,discourage,slippery,sole,outlaw,fear,however,continue,forbid,bear,vulgar,obscene,language,advertise,tobacco,purpose,cause,distraction,good,judgment,respect,other,demonstrate,modesty,select,attire,superintendent,pat,prepare,statement,apparel,subject,similar,provision
,12,7,7,6,5,5,5,5,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"September 21, 2004 Tuesday",67 of 103 DOCUMENTS,Austin American-Statesman (Texas),Letters,,EDITORIAL; Pg. A10,,908 words,,,"September 22, 2004",ENGLISH,,,Murry Hammond of the Old 97's performs Saturday at the Austin City Limits Music Festival at Zilker Park.,,,Newspaper,Copyright 2004 The Austin American Statesman
,church,child,we,austin,honor,recent,terrorist,Austin,sept,become,world,pastor,mother,person,people,end,put,tv,Iraqi,picture,page,share,great,integrity,member,rev,presbyterian,ago,pass,sinner,marry,sadden,three,life,love,rather,use,bay,wrong,fight,security,give,read,kill,resistance,police,change,forever,vote,politician,liberal,choice,moderate,political,party,take,extremely,side,majority,writer,ask,might,answer,turn,view,performance,statesman,ownership,question,Live_Music_Capital,American_Statesman,Jim_Rigby,Rigby,Iraq,Bush,BILL,sum,photograph,"75,000",swarm,acl,fest,front,icon,congratulation,photo,newspaper,recognize,hopefully,soon,work,chamber,publication,site,billboards,advertisement,music,capital,gary
,5,5,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"September 25, 2004 Saturday",68 of 103 DOCUMENTS,Austin American-Statesman (Texas),Mazda's slippery RX-8 is dressed to the nines with charm,"Pete Szilagyi, SPECIAL TO THE AMERICAN-STATESMAN",LIFESTYLE; Pg. E5,,887 words,,,"September 26, 2004",ENGLISH,,,"Finally, a contemporary sports car with charisma to spare.",,,Newspaper,Copyright 2004 The Austin American Statesman
,car,seat,rotary,engine,drive,sport,look,rear,mazda,leather,driver,Mazda,build,low,though,door,passenger,black,red,system,morning,charisma,high,include,yet,still,headlight,friendly,light,pattern,smooth,cabin,back,enough,bucket,make,family,advantage,trunk,occupant,upholstery,cocktail,lounge,test,insert,steering,wheel,instead,dashboard,control,navigation,power,expensive,speed,balance,transmission,short,option,engines,information,base,percent,payment,mileage,fuel,side,airbags,credit,union,MG_B,distress,call,usually,6:30,always,foggy,misty,a.m.,class,garage,lift,hood,yellow,dry,ignition,part,vroom,owner,woman,know,early,1970,issue,allow,overlook,today,later,dependable,solidly
,11,8,6,6,5,5,4,4,4,4,4,4,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"October 1, 2004 Friday",69 of 103 DOCUMENTS,Austin American-Statesman (Texas),"Cooler days, cooler nights -- ah, it must be autumn; Front expected tonight, bringing rain, a chance to prop open windows","Dick Stanley, AMERICAN-STATESMAN STAFF",METRO/STATE; Pg. B1,,290 words,,,"October 5, 2004",ENGLISH,,,,,,Newspaper,Copyright 2004 The Austin American Statesman
,front,low,high,saturday,expect,cool,degree,sunday,chance,rain,forecast,begin,week,tuesday,area,overnight,little,stay,tonight,daytime,drop,bring,percent,shower,50s,october,weather,Central_Texas,Austin,summer,fade,push,lower,afternoon,summery,change,significant,cold,season,blow,temperature,today,warmer,real,nice,meteorologist,influence,air,weekend,fall,upper,rural,probably,last,time,central,may,appear,happen,yet,morning,city,monday,september,welcome,way,another,sweep,slight,next,remain,wind,good,definition,accord,prediction,center,update,outlook,thursday,cooler,wetter,usual,thanks,weak,el,nio,maker,building,equatorial,pacific,dstanley,statesman.com,KXAN_TV,Jim_Spencer,Camp_Mabry,Spencer,drier_than_normal,Climate
,5,5,5,5,4,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"November 10, 2004 Wednesday",72 of 103 DOCUMENTS,Austin American-Statesman (Texas),Let them stew in Houston,AMERICAN-STATESMAN STAFF,EDITORIAL; Pg. A16,,532 words,,,"November 15, 2004",ENGLISH,,,,,,Newspaper,Copyright 2004 The Austin American Statesman
,trial,skilling,Enron,Houston,executive,move,survey,attorney,motion,defendant,city,great,Skilling,try,course,serious,former,chief,federal,find,name,account,question,nearly,economic,still,judge,venue,people,lose,company,scandal,life,hotel,expense,Lay,Causey,Atlanta,Denver,New_Orleans,scene,disaster,resort,almost,comic,effort,favorable,climate,deadly,officer,face,criminal,count,court,include,fraud,conspiracy,insider,trading,proof,need,cite,do,resident,connect,various,pejorative,clear,news,ask,third,poll,associate,word,pig,snake,terrorist,beg,whether,sim,lake,grant,chairman,accountant,join,change,accord,population,remain,prospective,unbiased,juror,fear,wrath,harm,collapse,shell,game,investor
,9,7,7,6,4,4,4,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"November 22, 2004 Monday",73 of 103 DOCUMENTS,Austin American-Statesman (Texas),Letters,,EDITORIAL; Pg. A10,,1131 words,,,"November 22, 2004",ENGLISH,,,"Y.S. Rajasekhar Reddy, chief minister of India's Andhra Pradesh state, officially opens Microsoft Corp.'s Software Development Center near Hyderabad, India, with Microsoft chief executive Steve Ballmer, right.",,,Newspaper,Copyright 2004 The Austin American Statesman
,school,public,republican,nov,people,make,moral,India,DeLay,worker,go,government,spend,money,fund,marine,value,article,story,job,work,editorial,difference,give,need,education,take,think,militant,family,rule,protect,delay,irony,service,legal,Microsoft,SafePlace,open,ceo,show,other,another,plant,state,really,level,idea,aid,fail,woman,time,life,hand,rather,write,break,hurt,help,excuse,underperforming,charter,interested,cut,shoe,violence,kill,war,man,try,accept,troops,president,lie,austin,change,tom,ethic,guilty,democrat,voter,power,notice,society,legislator,donate,contribute,we,amount,American,Texas,House,GOP,plenty,talent,campus,grow,outsource,operation
,8,8,6,5,5,5,5,5,5,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1
"December 8, 2004 Wednesday",75 of 103 DOCUMENTS,Austin American-Statesman (Texas),Drug safety is critical; keep politics out of it,"Christopher Clark, LOCAL CONTRIBUTOR",EDITORIAL; Pg. A15,,702 words,,,"May 15, 2005",ENGLISH,,,,,,Newspaper,Copyright 2004 The Austin American Statesman
