PUBLISHED_DATE,DOCUMENTS_INDEX,PUBLISHER,TOPIC,BYLINE,SECTION,SOURCE,LENGTH,DATELINE,SUMMARY,LOAD_DATE,LANGUAGE,CORRECTION_DATE,CORRECTION,GRAPHIC,TYPE,DOCUMENT_TYPE,PUBLISH_TYPE,COPYRIGHT
29 November 2018,1 of 144 DOCUMENTS,Austin American-Statesman (Texas),POLITIFACT; Cold spells don't negate climate change big picture,John Kruzel PolitiFact.com,TX NEWS; Pg. A2,,592 words,,,"February 26, 2019",ENGLISH,,,,,Article,,Copyright 2018                               All Rights Reserved
,global,temperature,drop,climate,Pletka,biggest,scientist,we,claim,2016,last,change,tell,average,trend,coldest,part,false,climatologist,article,event,degree,NASA,two_year,human,go,know,cool,1980,100,misleading,data,show,time,2017,warmest,record,take,place,february,c.,term,understanding,anything,long_term,Climate,impact,uncheck,warming,inflict,devastating,effect,environment,economy,public,health,warn,government,report,week,hear,national,assessment,blare,distress,call,other,less,alar,meet,press,foreign,policy,expert,conservative,allow,happen,hasten,add,cause,fact,main,contributor,argue,issue,subject,hysteria,certain,weather,phenomena,period,overlook,mainstream,media,narrative,need,recognize,talk,agenda
,election,migrant,president,people,vote,scientist,way,country,American,Trump,voter,fraud,clerk,concerned,claim,create,process,base,make,sure,believe,climate,we,forget,caravans,tear,gas,cross,home,violence,Burnet_County,Central,worried,serve,feel,yell,fire,crowded,theater,fear,doubt,fact,suggest,volunteer,local,office,train,go,training,every,able,check,balance,place,person,correctly,record,virtually,impossible,observe,discrepancy,provisional,limited,ballot,valid,highest,confidence,official,kudo,great,public,servant,work,hard,ensure,secure,accurate,count,nov,article,land,mar,jubilant,engineer,fantastic,feat,exploring,weep,joy,find,cure,cancer,yawn,present,scientific,finding,change,dire,consequence
,6,5,4,4,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"February 18, 2018 Sunday",52 of 144 DOCUMENTS,Austin American-Statesman (Texas),A community weighs in on Amazon's HQ2 impact,Sebastian Herrera and Omar L. Gallaga American-Statesman Staff,BUSI; Pg. F1,,3224 words,,,"February 19, 2018",ENGLISH,,,,,,Newspaper,Copyright 2018 The Austin American-Statesman                               All Rights Reserved
,Austin,Amazon,HQ2,city,voice,job,need,school,area,project,development,impact,go,new,film,already,move,have,tech,make,people,help,change,find,restaurant,build,industry,grow,work,housing,transportation,live,think,student,filmmaker,create,resident,austin,system,income,retail,Henry,AISD,plan,look,hq2,cost,keep,home,time,company,major,program,business,right,rail,way,add,talent,service,game,Ekerdt,Oropez,Gonzales,"50,000",sector,apartment,place,side,include,become,great,we,next,put,technology,engineering,corporate,increase,drive,still,creative,type,Wilkins,Peart,Scheberle,Hartstein,SXSW,Cirkiel,Henderson,potential,across,throughout,population,entertainment,real,estate,show,recent
,51,29,24,20,14,13,12,12,11,11,10,10,10,9,9,8,8,8,8,8,8,8,8,8,8,7,7,7,7,7,7,7,7,7,7,6,6,6,6,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3
28 October 2018,55 of 144 DOCUMENTS,Austin American-Statesman (Texas),The highlights of happening Helsinki,Rick Steves Special to the AmericanStatesman,TX FEATURES; Pg. D11,,827 words,,,"February 26, 2019",ENGLISH,,,,,Article,,Copyright 2018                               All Rights Reserved
,Helsinki,city,harbor,sauna,church,helsinki,fin,Finnish,capital,design,take,long,Europe,Russia,hold,architecture,love,best,ferry,park,little,time,new,eye,grand,300,island,ship,reminder,almost,town,everyone,local,sidewalk,home,trend,game,sit,inside,restaurant,million,spot,warm,Nordic,Suomenlinna,Swedes,Russian,youngest,northernmost,feel,outpost,lack,cutesy,cobble,aristocratic,set,stockholm,futuristic,vibe,among,creative,spirit,zest,steamy,perhaps,way,understand,origin,short,ride,across,popular,catch,superpower,chess,move,big,neighbor,dominate,country,medieval,1809,lose,russian,1917,build,suomenlinna,counter,rise,power,peter,create,nearby,mile,wall,hundred,cannon,guard,squelch
,8,6,6,5,4,4,4,4,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"May 6, 2018 Sunday",57 of 144 DOCUMENTS,Austin American-Statesman (Texas),Republicans race to right in 21st Congressional District,Jonathan Tilove American-Statesman Staff,MAIN; Pg. A1,,2738 words,,,"May 7, 2018",ENGLISH,,,,,,Newspaper,Copyright 2018 The Austin American-Statesman                               All Rights Reserved
,McCall,Roy,district,vote,go,know,Texas,Smith,government,roy,run,people,U.S.,Trump,ask,make,think,Washington,take,tell,time,campaign,poll,Congress,Cruz,congressional,runoff,forum,â,push,try,spend,three,republican,cruz,federal,state,never,candidate,committee,liberal,House,Chip,Growth,21st,way,president,conservative,tea,party,primary,love,part,call,percent,better,political,opponent,really,elect,truth,super,club,support,mailer,Club,McIntosh,2016,rep.,decade,may,back,question,win,chief,sen,citizen,election,senator,voter,right,country,march,work,leader,have,need,thing,ever,long,half,victory,last,man,live,raise,side,lie,look
,38,18,14,13,12,12,11,11,9,9,9,9,9,9,8,8,8,8,7,7,7,7,7,7,7,6,6,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
"May 15, 2018 Tuesday",58 of 144 DOCUMENTS,Austin American-Statesman (Texas),Chamber starts petition to alter liquor laws in part of city,Round Rock Leader Staff,METR; Pg. B2,,368 words,,,"May 15, 2018",ENGLISH,,,,,,Newspaper,Copyright 2018 The Austin American-Statesman                               All Rights Reserved
,chamber,law,accord,regulation,restaurant,alcohol,city,stricter,sale,within,portion,voter,current,approve,Odom,change,mix,drink,petition,force,create,club,membership,liquor,signature,put,business,area,west,north,road,a.w,last,Round_Rock,announce,effort,serve,launch,dissolve,least,customer,purchase,collect,"6,500",july,rule,november,ballot,economic,climate,fairness,issue,news,release,time,patchwork,set,hurt,keep,we,realize,full,potential,extend,interstate,east,past,texas,130,map,provide,arterial,detrimental,establishment,ring,intersection,grime,unfair,disadvantage,wrong,side,spend,much,"20,000",remain,compliance,state,service,stem,reach,back,end,prohibition,early,1930,1983,limit,several,later
,9,8,6,5,5,5,4,4,4,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"June 24, 2018 Sunday",59 of 144 DOCUMENTS,Austin American-Statesman (Texas),Earth really is on a long hot streak,W. Gardner Selby American-Statesman Staff,METR; Pg. B1,,745 words,,,"June 25, 2018",ENGLISH,,,,,,Newspaper,Copyright 2018 The Austin American-Statesman                               All Rights Reserved
,temperature,may,average,global,20th_century,consecutive,2018,record,mark,degree,NOAA,401st,report,Spencer,Nielsen_Gammon,reader,spencer,straight,20th,century,401,post,state,least,warmest,researcher,291,much,data,ask,statement,42nd,land,ocean,nominally,part,assessment,across,run,well,highest,begin,climatologist,accurately,analyze,time,streak,write,399,figure,mean,estimate,warming,rate,exceed,claim,Jim_Spencer,North_America,Texas,inquire,weathercaster,planet,swelter,hundred,last,week,weather,forecast,heat,go,400,call,april,400th,official,track,video,broadcast,make,point,june,blog,launch,tell,we,rely,information,online,surface,1.44,fahrenheit,58.6,rank,among,five,2016,1.58,for,serve
,16,15,12,11,8,7,6,5,5,5,5,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
21 October 2018,62 of 144 DOCUMENTS,Austin American-Statesman (Texas),Community news in brief,,TX NEWS; Pg. B2,,660 words,,,"February 26, 2019",ENGLISH,,,,,Article,,Copyright 2018                               All Rights Reserved
,park,challenge,host,program,community,p.m.,war,city,encourage,wednesday,e.,long,plan,district,world,ii,third,information,house,open,give,resident,support,saturday,library,veteran,turn,group,annual,green,celebrate,member,participate,pound,water,nearly,walter,meeting,provide,feedback,metropolitan,concept,include,area,price,input,available,survey,school,student,team,thursday,Austin,Walter,Small_Area_Plan_Program,Fellas_Foodfest,Georgetown,lender,win,recently,cup,october,recognition,business,time,compete,track,impact,sustainability,action,able,avoid,"8,400",greenhouse,gas,emission,save,almost,"35,000",gallon,divert,"1,000",waste,landfill,set,master,8104,decker,lane,event,future,additional,create,base,previous,comment,west,texas,130
,6,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
17 November 2018,65 of 144 DOCUMENTS,Austin American-Statesman (Texas),you say,,TX OPINION; Pg. A13,,425 words,,,"February 26, 2019",ENGLISH,,,,,Article,,Copyright 2018                               All Rights Reserved
,many,school,finance,governor,tax,science,organization,lead,fix,nov,letter,editor,top,issue,know,current,property,urban,area,cause,texan,policy,reason,rank,freedom,conservative,expert,person,experience,medical,world,member,knowledgeable,Texas,must,appeal,solve,echo,people,biggest,confront,texas,resident,recapture,practice,impact,particularly,implementation,unaffordability,crisis,express,concern,force,older,retire,sell,home,live,relocate,sometimes,result,separation,immediate,family,need,make,reform,priority,next,legislative,session,provide,leadership,necessary,permanently,problem,tom,wilson,think,pretty,free,worth,noting,annual,survey,state,dead,last,personal,big,medieval,drug,law,lock,em,throw,away,key,attitude
,5,4,4,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
28 November 2018,67 of 144 DOCUMENTS,Austin American-Statesman (Texas),you say,,TX OPINION; Pg. A9,,510 words,,,"February 26, 2019",ENGLISH,,,,,Article,,Copyright 2018                               All Rights Reserved
,country,America,long,school,right,media,follow,trump,moral,human,rights,money,Trump,funding,nov,legislature,pay,weather,prove,global,warming,war,politics,educator,news,entertainment,industry,television,young,people,watch,capitalism,great,government,liberalism,crown,prince,murder,lack,White_House,U.S.,fix,overdue,commentary,finance,reform,2019,session,editorial,imploring,public,financing,previous,decide,kick,road,far,continue,reliance,local,property,tax,lion,share,punitive,discriminatory,quality,child,education,depend,upon,zip,code,gary,gius,change,thing,current,occupant,tweet,shatter,whatever,happen,million,time,bear,repeat,bout,particularly,cold,hot,dry,wet,disprove,occur,term,empirical,data,science
,5,5,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
30 December 2018,70 of 144 DOCUMENTS,Austin American-Statesman (Texas),Of course not.,,TX OPINION; Pg. A19,,662 words,,,"February 26, 2019",ENGLISH,,,,,Article,,Copyright 2018                               All Rights Reserved
,lose,nation,we,remember,way,mean,loss,turn,time,whose,make,people,long,back,government,wave,America,American,lend,certain,personal,yes,child,public,president,bridge,2018,go,may,value,sang,walk,home,thing,seem,voter,political,springsteen,woman,youth,femininity,color,understand,hope,course,tick,final,hour,old,acquaintance,front,mind,sometimes,painfully,melancholy,sweetness,whole,ritual,mark,milestone,reach,along,dad,friend,husband,sister,memory,moment,sen,former,h.w,bush,tower,statesmen,die,statesmanship,short,supply,raw,serrate,vocal,lift,temptation,cloud,nine,voice,kinetic,fire,burn,away,everything,truth,man,lee,creative,genius,generation,believe,spider
,7,7,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"February 25, 2018 Sunday",71 of 144 DOCUMENTS,Austin American-Statesman (Texas),Sport's iceberg awaits,Kirk Bohls American-Statesman Staff,SPOR; Pg. C1,,815 words,,,"February 26, 2018",ENGLISH,,,,,,Newspaper,Copyright 2018 The Austin American-Statesman                               All Rights Reserved
,coach,player,college,basketball,need,head,program,school,work,change,well,sport,agent,pay,iceberg,FBI,Davis,assistant,carburetor,business,many,runner,athlete,payment,allegation,way,Texas,Smart,division,big,sit,road,catch,fix,four,follow,shell,lot,name,anyone,think,ask,probably,clean,know,long,take,suspend,saturday,game,star,teammate,win,might,wiretap,record,del,conte,model,rule,regulation,ASM_Sports,AAU,desperately,recruit,fill,gap,roster,dispatch,top,scope,chance,office,soon,receive,call,eager,message,willing,aide,cost,200,sign,another,presumably,decade,ago,much,although,car,job,whole,cash,dirty,consequently,biggest,shock,investigation,least
,9,9,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"April 29, 2018 Sunday",83 of 144 DOCUMENTS,Austin American-Statesman (Texas),GUARDIANS OR WARRIORS?,Tony Plohetski American-Statesman Staff,MAIN; Pg. A1,,2490 words,,,"April 30, 2018",ENGLISH,,,,,,Newspaper,Copyright 2018 The Austin American-Statesman                               All Rights Reserved
,cadet,police,officer,training,academy,Austin,instructor,department,former,law,enforcement,time,community,force,work,guardian,warrior,Spisak,teach,tell,people,still,use,Manley,change,job,face,experience,city,three,need,make,prepare,situation,require,take,ready,happen,leave,go,boot,recruit,concern,letter,group,put,move,culture,mentality,state,facility,yell,license,week,become,class,expletive,career,arrest,fight,camp,woman,professional,speak,recent,fear,account,report,many,attorney,behind,may,give,profession,man,might,practice,complaint,include,expert,treat,â,end,either,meet,interview,graduate,injure,person,show,respond,percent,Gibbons,Murray,Rahr,tech,test,next,disappointed
,34,30,30,30,19,19,17,12,11,10,8,8,8,7,7,7,7,7,6,6,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2
"May 25, 2018 Friday",85 of 144 DOCUMENTS,Austin American-Statesman (Texas),THE ARTS,American-Statesman Staff,AUSTIN360; Pg. T12,,2841 words,,,"May 25, 2018",ENGLISH,,,,,,Newspaper,Copyright 2018 The Austin American-Statesman                               All Rights Reserved
,p.m.,a.m.,june,work,show,saturday,may,sunday,blvd,art,noon,feature,new,w.,artist,st,st.,friday,painting,e.,gallery,create,take,use,comedy,lamar,sculpture,American,Thursday_Saturday,free,find,speak,sign,sixth,open,Austin,Monday_Saturday,city,theatre,present,life,passion,s.,produce,603,n.,bookpeople.com,thursday,display,exhibit,congress,suite,solo,event,BookPeople,Tuesday_Friday,Monday_Friday,theater,dream,audience,production,airport,cast,piece,love,way,writer,literary,7:30,world,change,paper,include,local,object,body,color,plus,july,martin,luther,king,story,ave,subject,road,explore,photograph,look,much,live,Tuesday_Saturday,dance,family,result,exploring,set,telenovela,1110
,74,28,24,15,15,14,13,12,12,12,12,10,10,9,9,9,8,7,7,7,7,7,6,6,6,6,6,6,6,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2
27 October 2018,90 of 144 DOCUMENTS,Austin American-Statesman (Texas),A state toxicologist who downplayed the health effects of smog is appointed to board,Asher Price asherprice@statesman.com,TX NEWS; Pg. A10,,870 words,,,"February 26, 2019",ENGLISH,,,,,Article,,Copyright 2018                               All Rights Reserved
,EPA,environmental,science,Texas,smog,state,member,agency,scientific,commission,last,Lange,advisory,board,health,administration,appointment,standard,include,name,work,part,effort,air,toxicology,set,ozone,scientist,workshop,people,committee,opinion,remake,long,Smith,key,toxicologist,former,tie,federal,rule,water,issue,division,provide,advice,public,continue,pollutant,2015,present,analysis,literature,criticism,discussion,comment,chairman,epa,example,regulation,quality,suggest,legacy,administrator,Trump,Texas_Commission,Environmental_Quality,among,newly,deputy,whose,criticize,downplay,effect,least,third,person,current,either,advise,loosen,latest,sign,often,loggerhead,regulator,inside,contribute,experience,approach,act,section,manager,policymaker,limit,protect,lange,expert,critical
,12,9,8,8,7,6,5,5,5,5,5,5,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5 December 2018,93 of 144 DOCUMENTS,Austin American-Statesman (Texas),Green Gate 's East Austin farm to close for a year to make way for development,Addie Broyles abroyles@statesman.com,TX FEATURES; Pg. D1,,775 words,,,"February 26, 2019",ENGLISH,,,,,Article,,Copyright 2018                               All Rights Reserved
,property,farm,Flynn,new,farmer,home,acre,move,Austin,agrihood,still,East_Austin,buy,spend,next,tiny,farmstand,include,live,flynn,production,csa,river,change,space,livestock,well,barn,people,hub,school,group,turn,close,developer,building,market,call,neighborhood,build,center,land,old,already,serve,plan,three,remain,continue,vegetable,flower,time,open,city,involved,original,become,community,host,Green_Gate_Farms,Connett,Colorado_River,Green_Gate,decade,east,austin,locavore,beginning,2006,historic,bergstrom,relative,namesake,airport,organic,eastern,edge,couple,greenhouse,cafe,amenity,around,agricultural,size,shrink,nearly,many,country,intentionally,develop,several,urban,locate,establish,vision,project,family,120,600
,13,13,8,6,5,5,5,5,5,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"January 11, 2018 Thursday",96 of 144 DOCUMENTS,Austin American-Statesman (Texas),THE LONG WEEKEND FIVE THINGS TO DO,American-Statesman Staff,LIFE; Pg. D2,,546 words,,,"January 11, 2018",ENGLISH,,,,,,Newspaper,Copyright 2018 The Austin American-Statesman                               All Rights Reserved
,p.m.,jan.,marry,free,Pinthouse_Pizza,wheel,make,proximity,new,local,different,stage,open,7:30,st.,much,street,include,drink,save,narwhal,a.m.,good,celebrating,art,Sierra_Nevada,Jalisco,speak,3201,s.,lamar,blvd,brokenspokeaustintx.net,unstoppable,western,swing,machine,roll,plenty,regional,national,touring,horizon,2018,begin,go,though,rare,appearance,story,leader,head,dangerous,low,ceiling,2017,largely,partnership,dale,ray,record,album,due,summer,play,gig,march,june,when,jan,sunday,additional,performance,feb.,901,trinity,differentstagestheatre.org,take,j.b,priest,ley,comedy,three,couple,parker,highly,respected,pillar,community,longer,cha,pel,gather,celebrate,25th,wed,ding,anniversary,horror
,5,4,4,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"January 12, 2018 Friday",97 of 144 DOCUMENTS,Austin American-Statesman (Texas),"Mark MLK Day all weekend long with movies, march and more",American-Statesman Staff,LIFE; Pg. D2,,587 words,,,"January 12, 2018",ENGLISH,,,,,,Newspaper,Copyright 2018 The Austin American-Statesman                               All Rights Reserved
,host,mlk,screen,a.m.,austin,free,contemporary,monday,king,honor,cultural,p.m.,poetry,MLK,Pinthouse_Pizza,jr.,birthday,event,center,start,selma,celebration,make,2018,program,march,begin,admission,open,mic,road,new,barre,jan,save,good,art,Martin_Luther_King,George_Washington_Carver_Museum,Sierra_Nevada,jan.,happen,fall,actual,civil,rights,hero,group,business,around,town,special,friday,film,museum,go,beyond,discover,man,eye,prize,vol,power,promise,sunday,fundraiser,follow,panel,discussion,inclusive,city,science,feature,keynote,message,indianapolis,representative,nation,lecacy,25th,community,festival,move,statue,campus,south,step,capitol,short,marcher,continue,university,activity,plan,3:00,presidential,library,visitor,night
,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"January 21, 2018 Sunday",100 of 144 DOCUMENTS,Austin American-Statesman (Texas),Abbott's picks don't reflect diverse state,Editorial Board American-Statesman Staff,INST; Pg. E2,,913 words,,,"January 22, 2018",ENGLISH,,,,,,Newspaper,Copyright 2018 The Austin American-Statesman                               All Rights Reserved
,Abbott,board,percent,state,make,appointment,commission,diversity,Texas,people,population,look,gender,governor,appointee,account,policy,Express_News,African_Americans,justice,qualification,ethnic,racial,show,appoint,diverse,tell,qualified,need,fairness,practice,use,reflect,analysis,2015,man,donor,contribute,political,similarly,asians,woman,enough,university,step,report,contribution,take,term,exclude,limit,minority,service,lame,question,serve,walk,life,might,texan,industry,among,fair,reason,business,African_American,Gordon,Hinojosa,gov,best,along,give,record,clearly,happen,measure,better,889,elevate,chairmanship,january,become,nearly,anglo,male,go,break,race,ethnicity,campaign,figure,16.4,6.6,3.3,consider,hispanics,39.1,twice,percentage
,14,12,12,11,9,8,8,7,7,6,6,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"February 18, 2018 Sunday",103 of 144 DOCUMENTS,Austin American-Statesman (Texas),Ellsworth Kelly crowns Austin with an artistic jewel,Michael Barnes American-Statesman Staff,LIFE; Pg. D1,,1080 words,,,"February 19, 2018",ENGLISH,,,,,,Newspaper,Copyright 2018 The Austin American-Statesman                               All Rights Reserved
,austin,art,Kelly,Blanton,building,wall,new,work,window,design,artist,open,Austin,color,white,minute,project,city,ellsworth,exterior,inside,feb,kelly,form,east,chapel,visit,museum,Ellsworth_Kelly,black,barrel,vault,hue,monumental,campus,make,public,interior,late,modern,place,university,put,together,know,sometimes,world,international,rather,limestone,curve,quarry,panel,already,experience,fascinate,grid,glass,facade,toward,construction,plate,architecture,mall,go,include,service,spirit,wing,foster,acquire,complete,anticipate,free,admission,Texas,Blanton_Museum,Art,Houston,black_and_white,Capitol,Wicha,France,Carter,patch,drip,ever,slowly,pool,onto,smooth,granite,floor,sunny,tall,swim,iridescence,intense,migrate
,11,10,10,6,5,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"May 3, 2018 Thursday",110 of 144 DOCUMENTS,Austin American-Statesman (Texas),"Cap Metro to add hours, free rides",Ben Wear American-Statesman Staff,MAIN; Pg. A1,,789 words,,,"May 3, 2018",ENGLISH,,,,,,Newspaper,Copyright 2018 The Austin American-Statesman                               All Rights Reserved
,Clarke,agency,Capital_Metro,fare,free,ridership,service,student,transit,june,add,a.m.,saturday,percent,weekend,board,run,pilot,program,Austin,fall,summer,wednesday,boarding,extend,operating,may,memo,child,million,cost,bus,last,MetroRail,look,community,four,make,school,announce,hour,august,trip,capital,metro,president,director,city,result,train,ask,idea,case,leave,budget,revenue,expect,eliminate,people,much,downtown,music,provide,sunday,ride,already,family,system,Central_Texas,Ridership,build,goodwill,primary,secondary,official,combine,12.4,2013,level,another,effort,boost,team,feel,increase,reaffirm,commitment,vision,zero,initiative,keep,distraught,fatigue,impair,driver,road,staff,analyze,report
,12,11,9,8,8,7,6,5,5,5,5,5,5,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"August 26, 2018 Sunday",120 of 144 DOCUMENTS,Austin American-Statesman (Texas),Letters to the editor,American-Statesman Staff,INST; Pg. E2,,735 words,,,"August 27, 2018",ENGLISH,,,,,,Newspaper,Copyright 2018 The Austin American-Statesman                               All Rights Reserved
,press,opponent,debate,liberal,propaganda,Trump,justice,give,place,aug,seem,believe,look,can,truth,nazi,machine,people,media,writer,never,along,another,attorney,we,community,understanding,right,lawyer,judge,social,indeed,challenge,read,include,eye,meanwhile,serious,stage,rice,farmer,water,plan,interest,letter,editor,best,impersonation,comfortable,president,report,call,wind,cost,expensive,future,world,Bishop,McCarthy,Red_Mass,Dan_Patrick,LCRA,champion,forget,summon,morning,mccarthy,directive,begin,rollout,coincide,open,fall,term,supreme,court,legal,pray,imbue,wisdom,fortitude,counsel,administration,position,guide,pursuit,value,rule,law,special,occupy,commitment,issue,unyielding,bless,sorely,miss,janet,montero
