PUBLISHED_DATE,DOCUMENTS_INDEX,PUBLISHER,TOPIC,BYLINE,SECTION,SOURCE,LENGTH,DATELINE,SUMMARY,LOAD_DATE,LANGUAGE,CORRECTION_DATE,CORRECTION,GRAPHIC,TYPE,DOCUMENT_TYPE,PUBLISH_TYPE,COPYRIGHT
"June 10, 2002, Monday",2 of 65 DOCUMENTS,Austin American-Statesman (Texas),What we can do to cut energy use,American-Statesman,Editorial; Pg. A10,,547 words,,,"June 10, 2002",ENGLISH,,,,,,,Copyright 2002 The Austin American Statesman
,energy,wind,fossil,fuel,air,source,power,take,alternative,though,solar,use,light,web,site,report,role,human,play,change,bush,debate,consumer,federal,look,number,good,leave,instead,rely,appliance,save,keep,bulb,footprint,Bush,Austin_Energy,last,week,administration,send,time,clearly,acknowledge,existence,global,warming,cause,phenomenon,burn,much,harm,already,do,president,nothing,except,adapt,onslaught,criticism,begin,conservative,liberal,alike,distance,finding,spokesman,ari,fleischer,fall,back,earlier,campaign,rhetoric,cite,uncertainty,science,climate,scientific,political,continue,however,need,wait,resolve,action,curb,foul,question,pollute,pollution,literally,drive,being,regulatory,commission,chairman,pat,wood
,12,12,11,10,9,9,8,7,7,7,6,6,6,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"February 22, 2002, Friday",25 of 65 DOCUMENTS,Austin American-Statesman (Texas),Austin Inc.,"Shonda Novak, Lori Hawkins and Amy Schatz, American-Statesman",Business; Pg. D1,,323 words,,,"February 22, 2002",ENGLISH,,,"This building on Barton Springs Road has been home to eateries such as Peso's, Maggie Moo's and, soon, Wanfu Too!",,,,Copyright 2002 The Austin American Statesman
,luck,restaurant,show,open,everything,name,mean,wanfu,road,business,tech,award,cancel,honor,people,leave,million,Wanfu,Tran,might,art,building,near,curse,location,home,cafe,ice,cream,shop,think,plan,next,former,bound,succeed,especially,"10,000",fu,own,original,chinese,lot,stand,amid,nearby,eatery,worried,ongoing,construction,cause,headach,work,north,side,wrap,soon,move,opposite,lane,shakeout,many,austin,startup,entrepreneur,go,popular,annual,put,past,four,create,recognize,company,200,fewer,employee,much,movement,town,new,st,jame,chief,executive,organization,flux,give,volatile,economic,climate,decide,wait,return,2003,overhear,change,founder,raz
,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"March 4, 2002, Monday",26 of 65 DOCUMENTS,Austin American-Statesman (Texas),U.S. Olympics berets for just a little gold,Jane Greig American-Statesman,Lifestyle; Pg. E1,,800 words,,,"March 5, 2002",ENGLISH,,,,,,,Copyright 2002 The Austin American Statesman
,ticket,sell,go,best,olympic,beret,retail,300,weather,change,leave,nice,available,noon,minute,guide,outdoor,summer,camp,austin,512,Roots,Paramount,notice,many,athlete,wear,navy,red,trim,surprise,hit,hawk,high,leah,hoguel,source,popular,"150,000",contact,manufacturer,ltd,800,suffer,fibromyalgia,sufferer,often,tie,painful,aslike,cold,storm,front,afford,escape,climate,fewest,world,exactly,probably,really,vacation,might,difficult,call,search,data,provide,www4.ncdc.noaa,gov,recently,buy,music,concert,become,friday,website,web,site,ask,end,seat,several,row,back,wing,donate,money,chance,officially,sale,ron,brown,fortunate,spokeswoman,upshot,update,uproar,need
,6,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"April 1, 2002, Monday",27 of 65 DOCUMENTS,Austin American-Statesman (Texas),"Bare-bones bliss, Lean times build better companies, startups say","Lori Hawkins, American-Statesman Staff",Tech Monday; Pg. D1,,1442 words,,,"April 1, 2002",ENGLISH,,,"(esp. oneself) to succeed without the help of others Joe Senner, left, and Timothy Wall are using a 150-square-foot office at the Austin Technology Incubator and forgoing salaries while trying to get their company, BuildForge Inc., off the ground // When he couldn't raise any venture capital, Keith Jones sold his BMW and began to build his company himself. His living room was the company's first headquarters, and he persuaded three programmers to develop the first version of the software for free by promising them stock options. // boot-strapping: to cause",,,,Copyright 2002 The Austin American Statesman
,company,venture,money,raise,go,entrepreneur,million,capitalist,business,valuation,Menell,capital,investor,startup,help,build,customer,take,new,time,better,work,Jones,software,initial,way,without,long,give,we,receive,start,public,instead,room,product,stock,salary,make,lot,last,less,service,many,idea,need,raising,Austin,high_tech,plan,much,bring,ground,evaluate,merger,change,office,live,three,sale,stronger,generation,bootstrapping,launch,savings,small,little,investment,already,around,run,something,chief,invest,perficient,tech,grow,online,fine,credit,equity,learn,pay,become,loan,sign,expect,revenue,another,horrible,point,higher,typically,must,whether,depend,always,do,funding
,27,17,14,9,9,9,8,7,7,7,7,6,6,6,6,6,6,5,5,5,5,5,5,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"April 6, 2002, Saturday",28 of 65 DOCUMENTS,Austin American-Statesman (Texas),"Bush looks beyond Arafat President welcomes Blair to ranch for talks on Mideast, terrorism","Bob Deans, Washington Bureau",News; Pg. A9,,859 words,,,"April 6, 2002",ENGLISH,,,"British Prime Minister Tony Blair, left, and President Bush get into Bush's pickup after Blair arrives at the Bush ranch near Crawford on Friday. Bush and Blair began three days of talks focusing on the rise of violence in the Middle East. The war on terrorism is also on the agenda.",,,,Copyright 2002 The Austin American Statesman
,Bush,Blair,Arafat,president,leader,plan,Powell,friday,Palestinian,mission,region,week,meet,continue,offensive,peace,reach,begin,prime,minister,go,talk,ranch,today,suicide,bomber,Israel,Middle_East,West_Bank,Israeli,Arab,military,part,diplomatic,next,summit,need,war,weekend,wear,reporter,reflect,relationship,join,network,people,operation,night,expect,campaign,soon,tell,support,gunman,last,attack,change,policy,wife,group,rally,Yasser_Arafat,British,Iraqi,show,patience,pressured,without,secretary,alternative,leadership,open,reiterate,aim,build,coalition,topple,dictator,conflict,terrorism,dominate,arrive,flight,nation,mourn,death,dark,suit,tie,step,helicopter,bush,blue,jeans,work,boot,drive,scene,white
,17,10,8,6,6,6,6,5,5,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"May 5, 2002, Sunday",29 of 65 DOCUMENTS,Austin American-Statesman (Texas),High-tech slump has scorched some high-end eateries,"Shonda Novak, AMERICAN-STATESMAN STAFF",Business; Pg. J7,,707 words,,,"May 8, 2002",ENGLISH,"May 8, 2002, Wednesday",An article on Page J7 of Sunday's Business section about the economic slowdown's effect on high-end restaurants was incorrect in stating that Girasole Fine Italian Dining showed only one reservation on a recent weekday night.  The restaurant reports there were more than one.  The article also erred in saying that the master chef had been laid off for economic reasons and that a dish had been removed from the menu.,"Travis Land, left, Megan Field, Clint Burrus, Katie Kirkendall and Joe Alexander celebrate Burrus' birthday at Trulucks, where business is actually up this year, mostly because it is now open for lunch.",,,,Copyright 2002 The Austin American Statesman
,restaurant,sale,eat,business,percent,Austin,many,wave,people,economy,last,open,partner,Roy,reservation,dining,eatery,riding,worker,region,downtown,chief,executive,startup,four,night,week,prime,filet,money,big,bar,area,spend,person,good,thing,per,2000,january,liquor,2002,rebound,truffle,average,although,go,operating,climate,steady,think,high_end,Giles,Ruth,Central_Texas,Girasole,Fleming,p.m.,wednesday,book,entry,better,bring,restaurateur,flock,crash,litter,corpse,place,feel,impact,close,recent,other,reportedly,teeter,brink,example,upscale,use,regularly,noshing,lobster,rib,well,new,financing,largely,twice,pizza,burger,employ,"35,000",expect,generate,2.3,billion,accord,pump
,12,9,6,6,6,6,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"May 5, 2002, Sunday",30 of 65 DOCUMENTS,Austin American-Statesman (Texas),"Europe's rising right Crime, immigration have changed political climate","Don Melvin, INTERNATIONAL STAFF",Insight; Pg. H1,,1433 words,,,"May 5, 2002",ENGLISH,,,Jean-Marie Le Pen: Far-right French presidential candidate in runoff today,,,,Copyright 2002 The Austin American Statesman
,country,party,right,immigration,Le_Pen,European,Europe,take,political,concern,issue,people,last,lose,election,conservative,French,le,mainstream,leader,crime,leave,percent,immigrant,far_right,Italy,Austria,Brown,poll,pen,presidential,defeat,racist,change,dismiss,hard,part,world,many,critical,national,government,success,ago,socialist,vote,increase,accord,voter,show,power,coalition,asylum,strongly,2000,may,application,France,Pavoncello,Chirac,Blair,candidate,today,landslide,incumbent,four,politics,long,strength,analyst,population,wonder,look,euro,identity,become,war,shift,new,fail,much,far,agree,international,prime,minister,run,campaign,espouse,note,million,office,use,well,expect,parliamentary,june,call,ally
,11,9,9,9,9,9,8,7,7,7,7,7,6,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"July 14, 2002, Sunday",31 of 65 DOCUMENTS,Austin American-Statesman (Texas),Nordstrom's plans add sparkle to Austin eyes A good fit for mall; Barton Creek Square eager for new tenant,"Michelle Breyer, AMERICAN-STATESMAN STAFF",Business; Pg. J1,,2327 words,,,"July 14, 2002",ENGLISH,,,"Shoppers at the flagship Nordstrom department store in downtown Seattle pause for a free makeup application. Nordstrom prides itself on customer service. // Peter Nordstrom, president of the 83 Nordstrom full-line stores, says the retailer will have to earn a place in the Austin market. The Barton Creek Square store will be smaller than this Seattle flagship but will have many of the same departments. // Fenced-in mounds of dirt are all that remain of the former Montgomery Ward store at Barton Creek Square mall. Mall owner Simon Property Group is building a two-story, 144,000-square-foot store for esteemed retailer Nordstrom Inc. plus 40,000 square feet for retailers that want to locate nearby.",,,,Copyright 2002 The Austin American Statesman
,store,Nordstrom,customer,sale,company,department,nordstrom,shoe,retailer,new,mall,open,retail,go,make,president,service,executive,percent,merchandise,market,ago,name,associate,system,back,Austin,feel,area,expand,every,find,people,although,size,growth,rather,right,better,buy,work,stock,top,analyst,inventory,Central_Texas,wash,already,wing,near,plan,taste,box,major,chain,developer,we,vice,arrival,site,include,foot,within,place,business,downtown,seattle,large,next,time,shopping,range,call,may,grow,million,management,family,last,comparable,Barton_Creek_Square,Barton_Creek,full_line,Texas,manager,local,climate,attract,anchor,good,another,regional,sell,square,change,mix,allow,follow,might
,41,29,19,18,17,15,13,13,11,10,10,9,8,8,7,7,7,7,6,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"July 18, 2002, Thursday",32 of 65 DOCUMENTS,Austin American-Statesman (Texas),Congress must punish corporate fraud,American-Statesman,Editorial; Pg. A14,,450 words,,,"July 23, 2002",ENGLISH,,,,,,,Copyright 2002 The Austin American Statesman
,corporate,much,corporation,bill,fraud,Congress,little,do,consumer,investor,executive,greed,information,House,debate,company,member,protect,stock,confidence,look,shareholder,business,financial,necessary,honestly,americans,invest,system,option,Senate,Greenspan,whether,government,police,matter,intense,nation,capitol,boardroom,despite,bleating,week,question,enough,evidence,obvious,fall,market,flag,blunt,statement,chairman,alan,greenspan,many,succumb,instead,pass,separate,crack,conference,committee,meeting,fashion,compromise,legislation,gop,complain,go,far,harm,chance,make,responsible,accuracy,include,prison,time,knowingly,disseminate,false,create,body,oversee,accounting,industry,assist,involved,provision,overdue,hardly,ask,demand,act,give,accurate,analyst,representative
,5,4,4,4,4,4,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"November 10, 2002, Sunday",35 of 65 DOCUMENTS,Austin American-Statesman (Texas),"U.S. ally Malaysia feels pressure of opposition Islamic party's rising popularity challenges nation's ruler, who has backed war on terror","Julie Chao, INTERNATIONAL STAFF",News; Pg. A17,,1155 words,,,"November 16, 2002",ENGLISH,,,A booth at a Kuala Lumpur political rally for the Pan-Malaysian Islamic Party offers tapes and videodiscs of the opposition party's speakers.,,,,Copyright 2002 The Austin American Statesman
,PAS,Malaysia,state,Islamic,Mahathir,Islam,islamic,war,make,country,religion,head,party,religious,terrorism,Muslim,people,emphasize,population,rule,result,hold,ethnic,run,islam,require,woman,change,scarf,Hadi,Iraq,opposition,majority,long,moderate,support,power,minister,many,try,percent,go,political,call,leader,police,militant,last,center,can,appear,cause,introduce,include,conservative,revival,government,accord,message,terengganu,we,ago,live,freedom,wear,mean,constitution,yet,aspect,Chinese,United_States,West,Kuala_Terengganu,Terengganu,non_Muslims,stone,death,commit,adultery,hand,amputate,steal,point,media,southeast,nation,know,multiracial,society,business,climate,hope,establish,grow,emerge,greatest,challenge,prime,ruler
,15,12,9,7,7,7,6,5,5,5,5,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"January 5, 2002, Saturday",38 of 65 DOCUMENTS,Austin American-Statesman (Texas),"So long as he's winning, Brown will be phone call away from NFL",Kirk Bohls,Sports; Pg. C1,,668 words,,,"January 7, 2002",ENGLISH,,,"Since his arrival at Texas, football coach Mack Brown, left, has been linked to NFL job openings with Cleveland and Minnesota.",,,,Copyright 2002 The Austin American Statesman
,Brown,Texas,job,next,coach,season,call,friday,least,make,game,win,happy,tell,time,team,Vikings,McCombs,NFL,owner,take,week,never,offer,thing,long,longhorn,decade,leave,three,national,championship,every,less,problem,Longhorns,North_Carolina,red,mccomb,either,bank,deposit,right,"150,000",bonus,earn,save,room,vault,big,raise,businessman,biggest,benefactor,connect,hip,cell,phone,speak,honorary,captain,home,write,preface,new,book,heartbeat,turn,opportunity,always,hover,around,top,five,today,mean,go,somewhere,else,tomorrow,notre,dame,unofficially,put,feeler,toward,december,gauge,interest,bite,retire,sometime,shock,grad,maybe,hopefully,stick,people,forget
,17,7,5,5,5,5,4,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"January 12, 2002, Saturday",39 of 65 DOCUMENTS,Austin American-Statesman (Texas),"In Lubbock, Democratic candidates skip sniping Governor hopefuls put up with each other, focus on issues, incumbent","Ken Herman, American-Statesman Staff",Metro/State; Pg. B1,,744 words,,,"January 15, 2002",ENGLISH,,,,,,,Copyright 2002 The Austin American Statesman
,Sanchez,Perry,state,candidate,friday,night,issue,way,know,Spanish,Morales,Texas,gubernatorial,spend,event,dinner,share,language,speak,think,nomination,november,contact,job,stuck,believe,better,speech,education,care,proud,opt,go,do,anything,economy,head,incumbent,business,offer,policy,economic,take,idea,work,process,may,company,Democratic,GOP,Enron,democratic,week,engage,increasingly,hostile,snipe,play,nice,attend,together,among,several,statewide,show,stage,shook,hand,greet,pass,hallway,immediately,brief,encounter,debate,question,rival,fluency,can,good,completely,ignorant,neither,make,reference,remark,tone,change,monday,schedule,compete,influential,endorsement,whose,president,backer,well,lawyer,businessman
,10,8,6,5,5,4,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"February 25, 2002, Monday",40 of 65 DOCUMENTS,Austin American-Statesman (Texas),"Chip industry has tough climate to endure, research analyst says",Kirk Ladendorf American-Statesman Staff,Business; Pg. D2,,818 words,,,"March 12, 2002",ENGLISH,,,Mark Edelstone: Morgan Stanley analyst is optimistic about Texas Instruments and Silicon Laboratories.,,,,Copyright 2002 The Austin American Statesman
,industry,go,recovery,market,chip,communication,right,second,product,quarter,half,drive,2001,pretty,recover,company,AMD,analyst,wireless,edelstone,technology,last,take,environment,tough,spend,consumer,lot,actually,strong,think,processor,really,Hammer,semiconductor,research,expect,worldwide,sale,flat,percent,2002,equipment,bottom,accelerate,good,news,hole,awhile,healthy,start,stronger,price,great,economy,ok,weak,digital,survive,performance,late,challenge,position,nail,Silicon_Laboratories,Intel,Athlon,endure,devastating,downturn,face,slow,uneven,period,accord,lead,range,slowly,pick,plunge,billion,three,major,personal,computer,turn,soft,detail,outlook,tuesday,luncheon,sponsor,pricewaterhousecoopers,base,recognize,outstanding,coverage,magazine,cite
,10,9,7,7,6,6,6,6,5,5,5,5,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"March 2, 2002, Saturday",41 of 65 DOCUMENTS,Austin American-Statesman (Texas),Oilman gives UT-Austin $150 million estate Bequest from Dallas philanthropist is largest single gift to a U.S. public university,"Sharon Jayson, American-Statesman Staff",News; Pg. A1,,1653 words,,,"March 5, 2002",ENGLISH,,,"John Jackson: Widower unable to make trip from Dallas to Austin for the announcement. // John A. Jackson, a retired Dallas oilman, says leaving his $150 million estate to the University of Texas at Austin is an investment in 'the continued study and understanding of geology.' // The John A. and Katherine G. Jackson School of Geosciences at UT-Austin was named for the Dallas couple because of their contributions.",,,,Copyright 2002 The Austin American Statesman
,million,university,Jackson,Texas,UT_Austin,billion,support,UT,gift,ut,give,150,campaign,name,public,geology,building,state,include,money,2001,University,estate,bequest,make,degree,last,couple,future,top,foundation,president,announce,today,child,fund,1997,total,resource,mean,receive,continue,department,donation,a.,institution,school,student,focus,research,fellowship,construction,accord,important,report,program,area,library,capital,effort,endow,donor,box,Dallas,John,Katherine,Jackson_School,Fisher,age,oilman,nation,largest,single,value,official,friday,late,wife,estimate,campus,ahead,schedule,raising,past,goal,latest,word,point,leave,citizen,oil,1940,engineering,alumnus,contribution,use,g.,geoscience,addition
,37,17,12,10,10,9,8,8,7,7,6,6,6,6,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"March 21, 2002, Thursday",43 of 65 DOCUMENTS,Austin American-Statesman (Texas),Mayoral races shape up to grab attention Last-minute filing in Round Rock means Maxwell faces a challenger four compete in Georgetown race,"Tony Plohetski, Carter Nelsen, Kate Alexander and Bob Banta American-Statesman Staff",Metro/State; Pg. B1,,970 words,,,"March 27, 2002",ENGLISH,"March 26, 2002","Correction: In Thursday's Metro & State section, a story about Williamson County election candidates included an error in describing the background of Gabe Sansing, who is running for Georgetown City Council. He is a current member of the planning and zoning commission.","Earl Hairston, left, whom voters booted from the Round Rock City Council, will face Nyle Maxwell in the mayoral race.",,,,Copyright 2002 The Austin American Statesman
,run,council,district,member,mayor,race,school,board,wednesday,unopposed,seat,Round_Rock,seek,city,last,candidate,president,three,trustee,Hairston,former,mayoral,bid,resident,political,announce,help,computer,consultant,place,state,manager,system,Georgetown,give,contest,office,likely,four,surprise,file,round,rock,term,auto,pro,tem,lead,plan,time,new,newcomer,recall,voter,community,activist,supporter,end,face,election,several,purpose,vacate,winner,incumbent,let,another,challenger,vacant,leave,work,City_Council,last_minute,Williamson_County,Maxwell,Kersch,re_election,Leander,Cedar_Park,move,shape,among,may,georgetown,job,little,feisty,climate,deadline,100,position,director,municipal,utility,earl,declare,candidacy,morning,second
,16,10,9,8,8,7,7,7,5,5,5,5,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"May 6, 2002, Monday",45 of 65 DOCUMENTS,Austin American-Statesman (Texas),"Lobbying from Austin favors wits over glitz Local agencies find ways to shape bills in D.C., bring home cash","Chuck Lindell, AMERICAN-STATESMAN STAFF",News; Pg. A1,,1652 words,,,"May 7, 2002",ENGLISH,,,"Joseph Guzzo, lobbyist for Texas' Department of Transportation, says lobbyists identify lawmakers who will be influential years before they become important.// Barbara McCall: Monitors legislation on behalf of Austin, Dallas, Lubbock and other cities. // Missy Mandell: LCRA's adviser for federal affairs says it's important that Texas lawmakers work together.",,,,Copyright 2002 The Austin American Statesman
,Austin,Washington,city,work,Texas,lobbyist,people,money,Congress,congressional,agency,state,highway,federal,LCRA,aide,lobbying,take,delegation,million,line,legislation,office,trip,hire,know,bill,every,organization,lawmaker,effort,issue,throw,lunch,represent,local,government,much,still,can,without,building,legislator,legislative,affair,pull,grant,representative,senator,care,important,last,spend,identify,go,prepare,job,though,make,visit,policy,pay,energy,chamber,Central_Texas,McCall,Mandell,a.m.,rock,band,sweet,speak,key,environmental,hold,carry,county,hearing,build,cost,move,do,afford,let,typically,large,success,mean,fact,influence,need,lever,part,three,adviser,president,fly,support,sign
,14,13,10,9,9,7,7,7,7,6,6,6,6,6,6,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"May 26, 2002, Sunday",46 of 65 DOCUMENTS,Austin American-Statesman (Texas),Triathlon boasts scenic route for spectators,"Brom Hoban, AMERICAN-STATESMAN CORRESPONDENT",Sports; Pg. C12,,567 words,,,"May 26, 2002",ENGLISH,,,,,,,Copyright 2002 The Austin American Statesman
,race,swim,event,triathlete,bike,run,location,Austin,capital,competitor,monday,spectator,beginner,support,Texas_Triathlon,age_group,Bonney,course,downtown,great,past,include,bridge,begin,leg,number,elite,people,consist,three,local,club,700,training,community,sport,Town_Lake,Olympic_distance,sprint_distance,Davison,RunTex,befit,name,take,pass,front,give,grow,distinctive,set,boost,hope,future,look,bring,together,real,flavor,director,oversee,austin,excitement,backdrop,triathlon,stage,variety,loop,360,entrant,total,"1,500",almost,double,sure,change,lot,interest,much,likely,head,way,country,plus,really,actually,competition,make,tri,involve,part,effort,restructure,cater,hidden,mecca,hill,good,area,temperate
,10,6,5,5,5,5,4,4,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"June 6, 2002, Thursday",47 of 65 DOCUMENTS,Austin American-Statesman (Texas),Aides: Global warming view unchanged White House restates stance after Bush criticizes EPA report,Amy Schatz AMERICAN-STATESMAN STAFF,News; Pg. A5,,455 words,,,"June 6, 2002",ENGLISH,,,,,,,Copyright 2002 The Austin American Statesman
,Bush,global,warming,report,administration,president,dismiss,environmental,increase,greenhouse,gas,make,week,treaty,reduce,White_House,bureaucracy,wednesday,downplay,suggestion,change,tuesday,appear,human,activity,fuel,reason,policy,earlier,call,economy,proposal,plan,voluntary,growth,emission,group,EPA,Kyoto,study,protection,agency,product,mend,fence,view,distance,burn,coal,oil,fossil,main,cause,ask,reply,read,put,remark,conservative,talk,radio,host,blast,shift,headline,across,country,reiterate,opposition,mandatory,reduction,industrial,nation,severely,damage,accept,face,criticism,find,official,cite,due,large,part,spokesman,bottom,line,number,believe,problem,protect,criticize,heavily,international,community,refuse,sign,ratify,last
,9,8,8,5,5,4,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"June 9, 2002, Sunday",48 of 65 DOCUMENTS,Austin American-Statesman (Texas),"Immigrants drawn to Austin's creativity Foreign-born residents crucial to economy, culture and vice versa","Mark Lisheron, Bill Bishop, AMERICAN-STATESMAN STAFF",News; Pg. A1,,2403 words,,,"June 9, 2002",ENGLISH,,,"India immigrants Vijay Sankaran, left, Anupam Govil and Satyendra Rana often lunch at this Burger King on West Braker Lane in North Austin because it is across the street from the Austin Technology Incubator, where the three entrepreneurs presently run a software startup, Inventes Inc.",,,,Copyright 2002 The Austin American Statesman
,Austin,city,immigrant,business,country,idea,people,entrepreneur,Belady,work,place,culture,start,economic,development,American,make,economy,creative,find,United_States,technology,software,resident,attract,many,company,study,success,foreign_born,Silicon_Valley,Rana,help,computer,live,population,region,1990,cultural,skilled,organization,capital,home,become,high_tech,way,reason,however,new,kind,class,include,research,larger,part,accord,worker,less,percent,2000,professor,write,immigration,international,process,director,around,world,tremendous,venture,engineering,buy,return,today,found,sell,president,indian,life,smell,he,real,estate,marketplace,American_Statesman,U.S.,University,Saxenian,TiE,Hungary,occasional,series,mass,keep,house,full,opportunity,internationally,pioneer
