PUBLISHED_DATE,DOCUMENTS_INDEX,PUBLISHER,TOPIC,BYLINE,SECTION,SOURCE,LENGTH,DATELINE,SUMMARY,LOAD_DATE,LANGUAGE,CORRECTION_DATE,CORRECTION,GRAPHIC,TYPE,DOCUMENT_TYPE,PUBLISH_TYPE,COPYRIGHT
"October 18, 2011 Tuesday",5 of 119 DOCUMENTS,Austin American-Statesman (Texas),Researchers object to way TCEQ wants to edit report,Farzad Mashhood AMERICAN-STATESMAN STAFF,METRO; Pg. B01,,733 words,,,"October 22, 2011",ENGLISH,,,,,,Newspaper,Copyright 2011 The Austin American-Statesman                               All Rights Reserved
,report,Anderson,agency,publish,sea,level,change,state,chapter,rise,commission,take,commissioner,Galveston_Bay,climate,cut,include,research,scientific,center,Lester,researcher,environmental,official,human,bay,we,write,coast,keep,public,manager,section,article,2002,argue,editor,document,current,talk,delete,gonzalez,ask,work,theory,fine,alternative,never,fact,science,long_term,Houston_Advanced_Research_Center,Texas,Soward,unclear,health,balk,request,remove,reference,involvement,issue,characterization,nonprofit,group,pursue,regional,sustainability,statement,disagree,certain,part,irresponsible,whatever,send,rice,university,oceanographer,upper,attempt,censor,misinform,that,philosophy,absurd,senior,water,quality,division,propose,drastic,much,copy,receive,rename,originally,title,impact,half
,18,18,15,13,10,10,9,7,7,7,7,7,6,5,5,5,5,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"January 23, 2011 Sunday",55 of 119 DOCUMENTS,Austin American-Statesman (Texas),Technology to capture carbon put to UT test,Asher Price AMERICAN-STATESMAN STAFF,MAIN; Pg. A01,,2565 words,,,"January 23, 2011",ENGLISH,,,,,,Newspaper,Copyright 2011 The Austin American-Statesman                               All Rights Reserved
,carbon,plant,coal,capture,research,dioxide,company,project,money,million,researcher,power,emission,Rochelle,storage,sponsor,group,work,technology,go,oil,corporate,Luminant,underground,Texas,government,use,clean,continue,ut,scientist,pay,utility,lot,limit,industry,take,we,include,make,environmental,question,keep,experiment,other,show,cost,much,new,student,tell,job,important,answer,time,bureau,store,pass,building,contribute,global,warming,pipe,scale,commercial,head,future,invest,billion,exist,gulf,write,know,examine,call,provide,program,comment,problem,publish,result,process,state,associate,buy,people,sponsorship,whether,recovery,lawmaker,tax,bill,University,Economic_Geology,Hovorka,Bureau,coal_fired,test,burn
,44,24,21,20,19,19,15,14,13,12,11,11,10,10,9,9,9,9,8,8,8,8,8,7,7,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2
"January 30, 2011 Sunday",57 of 119 DOCUMENTS,Austin American-Statesman (Texas),green shift,Asher Price AMERICAN-STATESMAN STAFF,INSIGHT; Pg. D01,,1213 words,,,"January 30, 2011",ENGLISH,,,,,,Newspaper,Copyright 2011 The Austin American-Statesman                               All Rights Reserved
,energy,university,student,forum,ut,fuel,work,UT,research,petroleum,engineering,new,change,department,hire,environmental,way,engineer,carbon,good,University,Texas,campus,oil,organized,gas,interdisciplinary,remain,fossil,recent,science,director,problem,professor,2009,government,lead,know,webber,alumnus,U.S.,long,well,week,challenge,panel,bring,sustainable,alternative,head,steering,lot,major,balance,many,school,course,nation,percent,chair,source,hard,degree,found,focus,faculty,around,break,state,issue,water,use,develop,go,conference,reason,clean,economy,magazine,report,a.m.,p.m.,education,Energy,oil_and_gas,Patzek,Energy_Institute,building,bulletin,board,ground,floor,belong,society,simply,keep,drilling,rig,emblem
,17,14,8,7,6,6,6,6,5,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1
"February 12, 2011 Saturday",58 of 119 DOCUMENTS,Austin American-Statesman (Texas),"Georgetown may exit LCRA deal, seek clean power",Claire Osborn AMERICAN-STATESMAN STAFF,METRO; Pg. B01,,444 words,,,"February 12, 2011",ENGLISH,,,,,,Newspaper,Copyright 2011 The Austin American-Statesman                               All Rights Reserved
,city,contract,LCRA,power,energy,percent,Briggs,Georgetown,renewable,provide,source,use,plan,current,people,million,manager,termination,march,terminate,official,rate,least,change,new,generate,customer,authority,Tuma,look,expand,end,due,expire,2017,cover,"55,000","15,000",outside,range,annually,assistant,talk,decision,likely,give,formal,notice,april,penalty,early,require,decide,june,whether,intend,nuclear,2035,sign,1946,pursue,several,provider,negotiate,company,include,j.p.,morgan,commodity,group,e.on,climate,resource,hard,predict,utility,cost,resident,main,goal,reduce,risk,stable,next,mind,2021,significant,retail,service,territory,base,know,currently,control,choose,winner,seek,shorter,direction
,11,10,10,8,6,6,6,5,4,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"February 23, 2011 Wednesday",59 of 119 DOCUMENTS,Austin American-Statesman (Texas),Comedian wants you to talk back,Brian Gaar AMERICAN-STATESMAN STAFF,LIFESTYLE; Pg. D02,,1437 words,,,"February 28, 2011",ENGLISH,,,,,,Newspaper,Copyright 2011 The Austin American-Statesman                               All Rights Reserved
,p.m.,show,stuff,season,saturday,talk,part,a.m.,Texas,new,free,Lions_Gate,Paramount,pay,comedy,memoir,today,never,record,cd,go,hour,people,drink,sunday,7:30,art,slave,event,week,set,road,channel,make,famous,funny,due,someone,book,fitzsimmon,perform,time,have,work,couple,place,really,guy,experience,heckler,something,stand,feel,create,somebody,crowd,back,top,premiere,cw,concert,music,w.,read,novel,documentary,blvd,performance,e.,ave,exhibit,collection,former,narrative,play,include,st,noon,geek,may,sundays,friday,museum,pick,criterion,arthouse,bros,run,picture,wait,last,superman,Greg_Fitzsimmons,Fitzsimmons,Austin,Houston,Boo,Art,Blu_ray
,18,6,6,6,5,5,5,5,5,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"March 25, 2011 Friday",61 of 119 DOCUMENTS,Austin American-Statesman (Texas),"Tight budget, fewer jobs?",Barry Harrell and Tim Eaton AMERICAN-STATESMAN STAFF,MAIN; Pg. A01,,979 words,,,"March 27, 2011",ENGLISH,,,,,,Newspaper,Copyright 2011 The Austin American-Statesman                               All Rights Reserved
,budget,job,state,economy,disappear,analysis,legislative,government,report,tax,Texas,board,effect,propose,spend,accord,total,lawmaker,percent,cut,House,thousand,next,appropriation,expect,project,employment,Weinstein,hundred,bill,create,2012,2013,private,sector,impact,revenue,money,plan,show,creation,economist,current,proposal,level,calculate,result,"271,746",fewer,"335,244","335,000",position,vote,group,increase,use,reflect,federal,economic,rep.,change,consequence,however,suffer,raise,start,grow,director,number,call,decrease,account,go,negative,statesman.com,Legislature,stand,look,general,combination,people,lose,ripple,release,thursday,cumulative,"189,000","146,000",intend,give,information,member,week,provide,little,clarity,interest,side,debate
,24,19,13,9,7,7,7,7,7,7,7,6,6,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"April 17, 2011 Sunday",62 of 119 DOCUMENTS,Austin American-Statesman (Texas),Tech center dreams,Laylan Copelin and Lori Hawkins AMERICAN-STATESMAN STAFF,BUSINESS; Pg. E01,,1098 words,,,"April 17, 2011",ENGLISH,,,,,,Newspaper,Copyright 2011 The Austin American-Statesman                               All Rights Reserved
,Austin,technology,Perry,Sullivan,Silicon_Valley,California,business,visit,company,university,governor,state,venture,people,job,center,culture,place,lot,capital,industry,start,million,money,startup,recent,become,development,course,pretty,talk,local,ingredient,leader,go,billion,Stanford,University,last,value,research,faculty,lure,next,capitalist,south,dean,cool,think,know,quality,live,include,innovation,music,cultural,innovator,engineering,ask,miss,replicate,stand,homegrown,move,grow,talent,need,new,ut,total,percent,change,conversation,help,thing,tax,regulation,economic,2010,2009,degree,Boston,Southwest,Texas,gov,comment,throwaway,line,perry,discover,vibe,sure,interview,try,answer,critic,question,much,tenure
,13,12,12,11,8,7,6,6,6,5,5,5,5,5,5,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"May 13, 2011 Friday",63 of 119 DOCUMENTS,Austin American-Statesman (Texas),"Outages, hail, funnel clouds, but only a drop in the bucket",Isadora Vail AMERICAN-STATESMAN STAFF,MAIN; Pg. A01,,638 words,,,"May 15, 2011",ENGLISH,,,,,,Newspaper,Copyright 2011 The Austin American-Statesman                               All Rights Reserved
,rain,power,school,thursday,storm,dring,cause,outage,high,Austin,inch,city,meteorologist,several,area,low,total,weather,Rose,part,make,pelt,find,still,term,dry,much,temporary,may,point,change,record,without,night,week,leave,bring,cat,dog,50s,Camp_Mabry,fall,single,september,dent,region,various,size,hail,thousand,household,cloud,report,along,texas,123,around,none,touch,morning,wave,pressure,favorable,atmospheric,condition,authority,long,way,go,relief,least,short,green,thing,sort,drop,bucket,october,really,generate,real,runoff,lake,aquifer,absorb,overall,though,improvement,summer,approach,likelihood,end,soon,slim,highest,chance,big,pattern,yet
,9,7,7,6,5,4,4,4,4,4,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"July 29, 2011 Friday",66 of 119 DOCUMENTS,Austin American-Statesman (Texas),HIGHER EDUCATION,Compiled from staff reports,METRO; Pg. B02,,581 words,,,"August 1, 2011",ENGLISH,,,,,,Newspaper,Copyright 2011 The Austin American-Statesman                               All Rights Reserved
,student,college,course,law,research,transition,open,program,school,financial,aid,education,receive,dean,free,high,graduate,class,cover,without,acc,stipend,go,earn,least,credit,meet,thursday,rule,paredes,make,state,change,new,unit,estuarine,estuary,professor,name,ut,Transitions_Program,TEXAS,Texas_Grant,Marine_Science_Institute,community,prep,ease,application,period,prepare,diploma,holder,read,write,math,study,strategy,career,counseling,sure,continue,ged,enable,look,different,light,give,preparation,actually,beginning,process,cost,textbook,assessment,exam,fee,complete,100,250,accord,news,release,begin,sept,mondays,5:45,9:30,p.m.,campus,3401,webberville,road,current,former,developmental,encourage,apply,sign,information
,7,6,5,5,4,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"August 14, 2011 Sunday",67 of 119 DOCUMENTS,Austin American-Statesman (Texas),The remaking of the world,Charles Ealy AMERICAN-STATESMAN STAFF,INSIGHT; Pg. D04,,966 words,,,"August 15, 2011",ENGLISH,,,,,,Newspaper,Copyright 2011 The Austin American-Statesman                               All Rights Reserved
,mann,history,new,world,trade,Europe,globalization,much,cause,Mann,argue,1493,ecological,describe,part,try,century,begin,introduction,malaria,change,deal,effect,potatoe,dry,China,c.,hole,conventional,wisdom,challenge,think,last,revel,voyage,point,research,environmental,write,`,european,able,big,take,bring,gain,social,indigenous,people,meeting,researcher,section,rise,silver,explore,sweet,mainly,slave,time,disease,population,become,better,way,superiority,lead,happen,profound,occur,tree,growth,water,America,Columbian_Exchange,American,Africans,Columbus,poke,five,ago,1491,notion,native,society,far,populate,sophisticated,previously,release,week,continue,put,spin,past,1492,mark,discovery,creation,primarily
,10,8,5,5,5,5,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"August 15, 2011 Monday",68 of 119 DOCUMENTS,Austin American-Statesman (Texas),"Amid cost-cutting, some area districts rehiring teachers, mulling pay raises",Melissa B. Taboada AMERICAN-STATESMAN STAFF,MAIN; Pg. A01,,1822 words,,,"August 21, 2011",ENGLISH,,,,,,Newspaper,Copyright 2011 The Austin American-Statesman                               All Rights Reserved
,district,budget,million,tax,school,cut,Austin,new,teacher,rate,job,state,debt,program,pay,cent,take,propose,operation,position,last,increase,raise,impact,1.04,Hays,save,eliminate,salary,federal,include,employee,early,point,public,funding,money,enrollment,owner,home,exemption,key,average_value,140,rehired,plan,area,education,leave,hire,laid,may,reserve,student,official,cost,hearing,p.m.,class,size,many,spend,percent,lawmaker,week,change,board,elementary,anticipate,cap,remain,staff,previous,go,property,adoption,Central_Texas,Pflugerville,still,strategic,full,prekindergarten,ago,much,worker,superintendent,compare,slash,grant,add,ground,better,give,we,3.6,previously,think,need,administrator
,40,26,24,17,16,16,16,15,14,14,13,12,12,11,10,10,9,9,9,8,8,7,7,7,7,7,6,6,6,6,6,6,6,6,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"January 15, 2011 Saturday",75 of 119 DOCUMENTS,Austin American-Statesman (Texas),GARDEN CARLENDAR,Nicole Alvarado AMERICAN-STATESMAN STAFF,LIFESTYLE; Pg. E03,,621 words,,,"January 23, 2011",ENGLISH,,,,,,Newspaper,Copyright 2011 The Austin American-Statesman                               All Rights Reserved
,free,a.m.,2220,Barton_Springs_Road,p.m.,Zilker_Botanical_Garden,meeting,noon,gardening,today,call,garden,jan.,feb,www.tcmastergardeners.org,feb.,8648,old,bee,cave,road,confirm,class,outdoors,seating,limited,www.naturalgardeneraustin.com,well,plant,Natural_Gardener,Free,`,fruit,branch,drive,guest,speaker,pruning,www.thegardenclubofaustin.org,rose,bring,jungle,907,kramer,lane,www.itsajungleaustin.com,sunshine,Texas,Garden,Garden_Club,Austin,central,texas,101,www.,tcmaster,gardeners.org,grow,berry,present,agrilife,extension,specialist,taniguchi,japanese,www.bamboocentral.net,guild,library,150001,port,wblibrary.org,monday,visitor,welcome,www.austinpondsociety.org,tuesday,room,805,n.,capital,loop,360,native,society,chapter,www.npsot.org,austin,bird,backyard,thursday,3208,exposition,blvd,www.travisaudubon.org,grape,www.begonias.org,new,tool,9:30
,17,13,9,9,8,8,7,6,5,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"February 12, 2011 Saturday",78 of 119 DOCUMENTS,Austin American-Statesman (Texas),Report: Perry blames comptroller in Amazon row,Barry Harrell AMERICAN-STATESMAN STAFF,BUSINESS; Pg. B06,,472 words,,,"February 12, 2011",ENGLISH,,,,,,Newspaper,Copyright 2011 The Austin American-Statesman                               All Rights Reserved
,state,Amazon,sale,tax,Texas,online,million,last,send,make,decision,lose,269,comptroller,seek,demand,business,close,distribution,center,uncollected,accord,letter,company,friday,tell,collect,presence,require,office,purchase,lawsuit,file,Perry,Combs,total,119,people,job,retail,giant,amazon.com,suburban,amid,dispute,gov,visit,criticize,amazon,bill,work,legislator,try,prevent,leave,website,independently,pursue,problem,suggest,need,look,perspective,good,news,town,biennial,session,hopefully,someone,able,craft,legislation,actually,walk,door,facility,unfavorable,regulatory,climate,responsible,include,plus,penalty,interest,2005,2009,money,irve,1992,supreme,court,physical,mean,potentially,transaction,legal,expert,payment
,11,11,7,7,7,5,5,5,4,4,4,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"February 17, 2011 Thursday",79 of 119 DOCUMENTS,Austin American-Statesman (Texas),"Amazon tax bill no secret, Combs says",Barry Harrell AMERICAN-STATESMAN STAFF,BUSINESS; Pg. B05,,780 words,,,"February 17, 2011",ENGLISH,,,,,,Newspaper,Copyright 2011 The Austin American-Statesman                               All Rights Reserved
,tax,Amazon,Combs,sale,state,Texas,letter,office,collect,business,assessment,storefront,retailer,million,make,engage,last,wednesday,dispute,online,uncollected,code,close,send,irve,distribution,decision,require,without,ask,information,place,contention,explain,arrive,must,cite,entity,lawsuit,detail,audit,week,center,internet,court,physical,unfair,tell,accept,taxation,additional,write,law,clear,define,need,section,issue,Gallego,Castro,Farrar,Perry,three,lawmaker,amazon.com,inc.,rebut,assertion,gov,among,other,part,debate,amid,effort,legislator,budget,shortfall,estimate,lose,600,269,world,largest,respond,deny,use,determine,amount,cut,119,job,accuse,unfavorable,regulatory,climate,tuesday,rep,pete
,15,15,13,11,10,8,7,7,6,6,5,5,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"March 22, 2011 Tuesday",80 of 119 DOCUMENTS,Austin American-Statesman (Texas),LETTERS,AUSTIN AMERICAN-STATESMAN,EDITORIAL; Pg. A08,,1182 words,,,"March 27, 2011",ENGLISH,"March 23, 2011","* A letter published Tuesday contained an editing error in a dollar amount. It should have said: There are about 4,400 residents of Williamson County who receive an annuity from the Teacher Retirement System, thereby bringing approximately $99 million into our local economy.",,,,Newspaper,Copyright 2011 The Austin American-Statesman                               All Rights Reserved
,teacher,tax,consent,medical,procedure,money,spend,power,woman,mean,ask,support,national,government,nuclear,abortion,state,education,school,pay,income,retire,Texas,march,lawmaker,think,may,bill,follow,way,austin,mine,score,per,student,go,track,work,legislature,funding,art,public,experiment,fail,provide,base,today,need,new,time,sonogram,problem,inform,voluntary,question,unnecessary,force,plan,image,listen,law,equal,better,sit,less,we,live,start,health,care,local,business,never,many,let,act,take,ever,thing,consider,article,coffee,unlikely,sale,system,please,family,four,hutchison,lead,economy,country,cut,join,budget,Williamson_County,editorial,touch,endless
,10,10,6,6,6,6,6,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1
"March 26, 2011 Saturday",81 of 119 DOCUMENTS,Austin American-Statesman (Texas),Bills would take illegal sodomy ban off books,Ben Wermund AMERICAN-STATESMAN STAFF,MAIN; Pg. A01,,1142 words,,,"March 26, 2011",ENGLISH,,,,,,Newspaper,Copyright 2011 The Austin American-Statesman                               All Rights Reserved
,bill,gay,legislation,Texas,law,sexual,crime,man,issue,book,base,orientation,file,committee,homosexual,people,rights,state,use,change,session,Farrar,conduct,still,rule,unconstitutional,line,face,bullying,hate,director,el,paso,restaurant,police,cite,city,time,language,rep.,code,lawmaker,act,democrat,try,lesbian,bisexual,transgender,group,community,U.S.,Houston,Berman,`,supreme,court,bring,protection,create,leave,kick,2009,kiss,public,sex,engage,today,wording,ban,officer,tell,though,citizen,become,major,political,long,race,category,number,pass,make,already,hard,republican,allow,reflect,include,probably,opposition,school,student,earlier,single,nobody,Legislature,Chico,Tacos,Ellis
,13,10,9,8,7,7,6,6,6,5,5,5,5,5,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"April 24, 2011 Sunday",84 of 119 DOCUMENTS,Austin American-Statesman (Texas),Pulling the plug,Barry Harrell AMERICAN-STATESMAN STAFF,BUSINESS; Pg. E01,,2048 words,,,"April 24, 2011",ENGLISH,,,,,,Newspaper,Copyright 2011 The Austin American-Statesman                               All Rights Reserved
,affiliate,Amazon,sale,state,tax,online,retailer,marketer,Texas,business,collect,go,bill,use,presence,industry,force,physical,New_York,tie,job,traditional,last,operate,many,relationship,lose,law,pass,measure,know,large,collection,million,revenue,texas,move,issue,include,nexus,center,marketing,way,Krewson,Naishtat,brick_and_mortar,House,website,make,part,might,send,concern,whether,seller,look,site,estimate,cut,family,billion,aim,court,constitute,sever,however,different,click,much,impact,establish,simply,group,small,take,stay,Austin,Collins,price,shopper,toward,live,plan,find,among,thousand,worried,fight,comptroller,office,269,uncollected,national,debate,merchant,obvious,model,unfair,advantage
,35,28,25,23,23,18,18,17,17,12,10,10,9,9,9,8,8,8,8,7,7,6,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"May 25, 2011 Wednesday",86 of 119 DOCUMENTS,Austin American-Statesman (Texas),Spring's bumper crop of green tomatoes is ripe with possibility,RENEE STUDEBAKER AMERICAN-STATESMAN STAFF,LIFESTYLE; Pg. D01,,1040 words,,,"May 25, 2011",ENGLISH,,,,,,Newspaper,Copyright 2011 The Austin American-Statesman                               All Rights Reserved
,tomatoe,grill,chop,pepper,green,slice,tbsp,oil,tsp,peach,onion,side,cook,garlic,salad,olive,salt,cup,vinaigrette,place,tomato,heat,season,roast,lightly,pork,make,recipe,good,taste,extra,medium,sea,leave,half,minute,vinegar,finely,fresh,charr,set,note,drain,cheese,freshly,maple,cut,add,cooking,top,white,pan,almost,big,garden,plus,squirrel,go,finally,right,large,serve,favorite,early,ripe,enjoy,give,next,start,might,peel,wedge,ground,arugula,wash,goat,mince,wood,chip,optional,sunflower,sprout,bacon,crisp,prepare,refrigerate,brown,tray,close,use,caramelize,soft,tender,plate,couple,flavor,wine,bowl,hour
,19,16,11,10,9,9,9,8,8,7,7,7,6,6,6,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"July 24, 2011 Sunday",91 of 119 DOCUMENTS,Austin American-Statesman (Texas),Execs: Austin's great for talent shopping,Kirk Ladendorf AMERICAN-STATESMAN STAFF,BUSINESS; Pg. E01,,598 words,,,"July 24, 2011",ENGLISH,,,,,,Newspaper,Copyright 2011 The Austin American-Statesman                               All Rights Reserved
,Austin,talent,PayPal,top,business,company,operation,spielman,growth,global,nead,hire,job,senior,technology,offer,well,best,great,four,attract,eBay,executive,employee,include,plan,million,director,development,fill,look,range,candidate,graduate,seasoned,management,drive,leadership,institution,grow,value,focus,innovation,enjoy,vibrant,market,strong,excited,projection,continue,community,time,American_Statesman,subsidiary,committed,major,expansion,already,austin,center,250,promise,april,add,"1,000",next,deal,1.2,incentive,city,much,2.8,terence,recently,respond,email,question,product,general,manager,billing,payment,accountable,revenue,collection,ebay.com,merchant,service,affiliate,online,ticket,marketplace,sport,concert,theater,entertainment,event,try,qualified
,15,9,8,6,6,5,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"July 24, 2011 Sunday",92 of 119 DOCUMENTS,Austin American-Statesman (Texas),LETTERS,AUSTIN AMERICAN-STATESMAN,EDITORIAL; Pg. D06,,871 words,,,"July 24, 2011",ENGLISH,,,,,,Newspaper,Copyright 2011 The Austin American-Statesman                               All Rights Reserved
,debt,water,limit,july,district,service,vote,help,solution,column,move,second,rep.,base,state,job,people,demand,tax,reduce,profit,thus,article,issue,deal,dring,estimate,Texas,new,may,seek,think,old,hispanic,hope,someone,really,cause,run,republican,never,destroy,billion,school,business,economics,owner,rise,price,output,private,jet,away,clock,section,power,borrow,money,pay,make,use,today,future,time,leader,crisis,allow,word,callegari,proactive,pipeline,fresh,1.5,million,gallon,per,Great_Lakes,motivation,ken,herman,trouble,blood,appal,irreverent,tone,skewer,behind,title,consider,lloyd,doggett,extensive,experience,exemplary,count,favor,certainly,age,gender
,7,7,5,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"August 4, 2011 Thursday",93 of 119 DOCUMENTS,Austin American-Statesman (Texas),how dry is it?,Farzad Mashhood AMERICAN-STATESMAN STAFF,MAIN; Pg. A01,,1192 words,,,"August 7, 2011",ENGLISH,,,,,,Newspaper,Copyright 2011 The Austin American-Statesman                               All Rights Reserved
