PUBLISHED_DATE,DOCUMENTS_INDEX,PUBLISHER,TOPIC,BYLINE,SECTION,SOURCE,LENGTH,DATELINE,SUMMARY,LOAD_DATE,LANGUAGE,CORRECTION_DATE,CORRECTION,GRAPHIC,TYPE,DOCUMENT_TYPE,PUBLISH_TYPE,COPYRIGHT
"October 24, 2017 Tuesday",2 of 95 DOCUMENTS,Austin American-Statesman (Texas),Gore lauds Georgetown's use of renewables,Bob Sechler American-Statesman Staff,BUSINESS; Pg. B5,,584 words,,,"October 24, 2017",ENGLISH,,,,,,Newspaper,Copyright 2017 The Austin American-Statesman                               All Rights Reserved
,Gore,climate,change,energy,renewable,city,Georgetown,Ross,president,monday,water,documentary,something,republican,go,fact,gore,threat,global,conference,example,recently,use,fuel,storm,atmosphere,hurricane,gulf,many,opt,follow,â,business,decision,win,argument,issue,Texas,U.S.,Hurricane_Harvey,al,deliver,warning,hold,progress,make,alleviate,crisis,operate,solely,biggest,power,entirely,source,wind,solar,displace,speak,litany,data,point,paint,picture,induce,burn,fossil,human,activity,catastrophe,drought,fire,famine,earth,really,thin,shell,around,planet,kind,open,sewer,seven,half,billion,people,link,destruction,wring,along,coast,ocean,boost,well,irma,harvey,cross,degree,warmer,normal
,9,6,6,5,5,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"November 26, 2017 Sunday",35 of 95 DOCUMENTS,Austin American-Statesman (Texas),Statesman probe prompts reviews of dams' safety,Ralph K.M. Haurwitz American-Statesman Staff,MAIN; Pg. A1,,910 words,,,"November 27, 2017",ENGLISH,,,,,,Newspaper,Copyright 2017 The Austin American-Statesman                               All Rights Reserved
,dam,standard,people,state,flood,life,safety,need,Austin,look,put,area,council,city,go,six,other,property,infrastructure,make,include,massive,amount,attention,rain,past,let,future,worst_case,Watson,legislature,mayor,investigation,revisit,rep.,action,have,report,add,interim,manager,tell,we,whether,find,several,hundred,upstream,populate,breach,peril,previously,impound,water,rush,downstream,whose,number,death,sen,agree,know,exist,think,part,review,protect,something,certain,type,pay,potential,without,storm,mechanism,might,program,improvement,ask,move,upgrade,four,design,texas,climate,American_Statesman,House_Committee,Adler,Statesman,Central_Texas,Perry,Harvey,key,member,regulation,reveal,shortcoming,issue,deal
,16,9,7,6,6,6,5,5,5,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1
"January 5, 2017 Thursday",36 of 95 DOCUMENTS,Austin American-Statesman (Texas),THE PLANNER,American-Statesman Staff,LIFE; Pg. D2,,495 words,,,"January 5, 2017",ENGLISH,,,,,,Newspaper,Copyright 2017 The Austin American-Statesman                               All Rights Reserved
,p.m.,¦,jan.,show,st,include,sculpture,artist,explore,nature,jan,a.m.,e.,folly,new,plus,thursday,free,bring,favorite,film,history,tour,center,docent,statesman.com,Austin,Esther,Grain,Broken_Spoke,Bullock_Museum,solidfriend,solo,display,figurative,create,seek,depth,relationship,digital,age,process,form,play,superficial,fleeting,modern,friendship,contrast,complex,case,other,open,reception,saturday,979,springdale,road,ste,99.dimensiongallery.org,lumen,several,dialogue,regard,work,inquire,life,noon,sunday,2213,cesar,chavez,grayduckgallery.com,jocular,journey,enter,2017,bang,lot,sketch,inaugural,party,glitter,entertain,newly,appoint,cabinet,well,surprise,guest,hillary,pull,kanye,challenge,magician,ray,anderson,unveil,sultry
,8,4,4,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"January 18, 2017 Wednesday",37 of 95 DOCUMENTS,Austin American-Statesman (Texas),"OBIT: PITTMAN, Paul",Austin American-Statesman,METR; Pg. B4,,305 words,,,"January 18, 2017",ENGLISH,,,,,,Newspaper,Copyright 2017 The Austin American-Statesman                               All Rights Reserved
,pittman,study,e.,Austin,june,rudd,january,2017,early,recovery,p.,memorial,environmental,Texas,Mr._Pittman,Biochemistry,University,age,bear,september,1955,parent,die,small,child,become,fascinate,chemistry,lifelong,pursuit,teens,sustain,disabling,injury,accident,long,resume,earn,bachelor,degree,1980,follow,move,continue,focus,ultimately,turn,feedback,dynamics,involved,climate,change,mo,survive,mother,father,charle,sister,l.,nephew,macdonald,niece,christopher,piazza,well,aunt,uncle,numerous,cousin,miss,extraordinarily,kind,heart,generosity,compassion,astute,wit,unmatchable,sense,humor,commitment,truth,fact,gentle,sturdy,strength,service,celebrate,life,hold,10:00,a.m.,thursday,funeral,home,3125,lamar,blvd,tx
,4,4,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"April 16, 2017 Sunday",39 of 95 DOCUMENTS,Austin American-Statesman (Texas),THIS WEEK IN LIFE & ARTS,American-Statesman Staff,LIFE; Pg. D2,,427 words,,,"April 17, 2017",ENGLISH,,,,,,Newspaper,Copyright 2017 The Austin American-Statesman                               All Rights Reserved
,sign,speak,p.m.,blvd,603,n.,lamar,BookPeople,author,world,book,saturday,read,look,global,6:30,613,w.,29th,wednesday,young,adult,thursday,bob,Malvern_Books,Barnes,recommede,go,pretty,interesting,next,decade,shake,formerly,1600,pennsylvania,ave,really,nice,apartment,become,deeply,private,citizen,probably,run,office,well,work,ok,folk,except,recently,right,discuss,aim,whose,parent,teacher,little,wake,topic,cover,include,poverty,education,climate,change,402,page,might,help,build,develop,bicep,former,daughter,gross,event,week,st.,jenna,martin,opperman,monday,poet,shatter,new,monster,bio,logic,tuesday,time,bestsel,mississippi,blood,kill,christopher,goodman
,12,11,9,9,8,8,8,8,6,4,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"August 28, 2017 Monday",41 of 95 DOCUMENTS,Austin American-Statesman (Texas),Revisiting some past claims about storms,W. Gardner Selby American-Statesman Staff,METR; Pg. B1,,1061 words,,,"August 28, 2017",ENGLISH,,,,,,Newspaper,Copyright 2017 The Austin American-Statesman                               All Rights Reserved
,hurricane,claim,fund,federal,oil,damage,aid,money,major,Perry,mansion,disaster,state,approve,Texas,make,spill,rate,storm,victim,lawmaker,billion,Christie,2008,offshore,cause,real,intend,study,find,help,governor,take,divert,million,insurance,policy,natural,place,vote,Louisiana,Belleville,back,accuracy,hit,think,time,remind,difficulty,within,environmental,politifact,floor,work,2010,wake,conclude,service,platform,ad,away,remodel,fire,much,whether,amount,second,describe,call,protect,look,purpose,prove,tell,economic,commentator,climate,change,point,true,record,senior,center,McCain,Rita,Katrina,PunditFact,Hurricane_Katrina,Congress,Hurricane_Sandy,New_Jersey,far,gauge,factual,remnant,apt,put,test,sen
,14,10,8,7,6,6,6,6,6,6,5,5,5,5,5,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1
"November 29, 2017 Wednesday",45 of 95 DOCUMENTS,Austin American-Statesman (Texas),"Joanna Gaines' cookbook outsells Barefoot Contessa, Pioneer Woman",Addie Broyles American-Statesman Staff,LIFE; Pg. D1,,1062 words,,,"May 16, 2018",ENGLISH,,,,,,Newspaper,Copyright 2017 The Austin American-Statesman                               All Rights Reserved
,use,sugar,corn,week,recipe,cup,heat,book,cooking,baking,teaspoon,broth,top,bread,add,pan,butter,large,cut,coconut,simmer,cookbook,include,banana,make,optional,cool,salt,combine,minute,let,chad,sarno,dumpling,event,p.m.,fresh,lime,juice,plant_based,Chad_Sarno,table,collection,gather,29.99,sell,copy,sale,star,enjoy,kid,time,later,serve,square,prepare,loaf,muffin,stick,treat,ask,video,food.blog.austin360.com,brown,egg,vanilla,bananas,flour,soda,mixer,bowl,mix,another,ingredient,additional,warm,room,temperature,wick,author,host,demo,library,brother,percent,chef,global,work,free,animal,june,corncob,milk,lemongrass,ear,quart,water,remove,clove
,8,7,7,6,6,6,6,5,5,5,5,5,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"March 3, 2017 Friday",47 of 95 DOCUMENTS,Austin American-Statesman (Texas),Senate confirms Perry as energy secretary,Jonathan Tilove American-Statesman Staff,MAIN; Pg. A1,,721 words,,,"March 3, 2017",ENGLISH,,,,,,Newspaper,Copyright 2017 The Austin American-Statesman                               All Rights Reserved
,Perry,energy,U.S.,president,confirmation,Trump,vote,sen,state,agency,Texas,issue,department,economic,scientist,need,thursday,confirm,governor,secretary,cabinet,run,without,tenure,last,make,among,democratic,democrat,oppose,hearing,believe,debate,order,lead,gov,become,economy,top,administration,remember,quiet,go,send,Senate,Energy,Cornyn,senate,history,twice,success,beat,indictment,accuse,abuse,power,tail,end,fall,brief,exuberant,dancing,star,choice,win,though,less,special,animus,new,nominee,process,pick,senator,angus,king,independent,caucuse,supporter,include,sit,nuclear,waste,storage,facility,press,definitive,answer,earlier,dr.,ben,carson,housing,seek,smooth,hard,edge,environmental,climate
,14,8,7,5,5,5,4,4,4,4,4,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"March 10, 2017 Friday",48 of 95 DOCUMENTS,Austin American-Statesman (Texas),Bill scales back system that grades schools with A-F,Julie Chang American-Statesman Staff,METR; Pg. B5,,443 words,,,"March 10, 2017",ENGLISH,,,,,,Newspaper,Copyright 2017 The Austin American-Statesman                               All Rights Reserved
,school,grade,system,district,bill,A_F,campuse,student,state,accountability,letter,category,back,assign,number,eliminate,well,overall,file,change,public,make,push,implementation,reduce,campus,performance,still,low_income,Chairman_Huberty,thursday,scale,new,rep.,dan,huberty,chairman,criticize,propose,2015,go,effect,yet,january,show,perform,use,official,unhappy,implement,august,2018,unfairly,penalize,large,stigmatize,provide,little,useful,information,proponent,transparent,comprehensive,way,among,appreciate,willing,work,improve,flaw,applaud,hb,2019,allow,time,develop,better,mccreary,prepare,career,college,gap,progress,climate,engage,community,part,integrate,exist,base,preliminary,review,weigh,heavily,standardize,test,disproportionately,hurt,high
,11,9,9,9,7,7,6,5,4,4,4,4,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"May 13, 2017 Saturday",52 of 95 DOCUMENTS,Austin American-Statesman (Texas),SB4's passage has nonprofits fearful,Nancy Flores American-Statesman Staff,MAIN; Pg. A1,,1034 words,,,"May 15, 2017",ENGLISH,,,,,,Newspaper,Copyright 2017 The Austin American-Statesman                               All Rights Reserved
,community,nonprofit,client,law,people,service,SAFE,percent,drop,assault,report,hispanic,immigration,february,staff,el,bue,samaritano,sexual,raid,fear,local,organization,enforcement,health,police,Gilman,make,city,provide,official,try,receive,maintain,safe,leader,focus,victim,department,effect,White,aftermath,ice,run,immigrant,family,leave,time,group,serve,notice,sanctuary,federal,country,fearful,mean,future,clinic,visit,ceo,central,have,reach,contact,call,go,require,difficult,many,number,new,rights,monthly,know,training,program,attendance,triple,violence,compare,despite,forensic,exam,accord,lot,climate,passage,review,necessary,build,trust,we,state,funding,various,already,last,really,become
,10,10,9,9,8,8,8,7,6,6,6,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"May 21, 2017 Sunday",53 of 95 DOCUMENTS,Austin American-Statesman (Texas),Farewell to Brackenridge,Michael Barnes American-Statesman Staff,METR; Pg. D1,,2930 words,,,"May 22, 2017",ENGLISH,,,,,,Newspaper,Copyright 2017 The Austin American-Statesman                               All Rights Reserved
,hospital,Brack,city,care,public,Austin,patient,street,new,become,people,Louis,go,open,doctor,pay,health,many,serve,Texas,grow,help,building,daughter,medical,mcqueary,later,take,Dryden,Seton,father,never,nurse,build,1984,east,teach,dr.,time,part,work,camp,always,we,state,know,die,ut,leader,Brackenridge_Hospital,room,move,austinite,call,15th,start,door,local,bear,use,place,county,old,history,center,make,family,school,sister,community,keep,City_Hospital,Charity,emergency,dryden,physician,without,stop,next,dedicated,well,may,structure,across,good,early,1900,remember,brick,charity,everyone,among,feeling,name,long,plan,area,include,still
,37,24,20,12,11,11,10,10,10,8,8,8,7,7,7,7,7,7,7,7,6,6,6,6,6,6,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
"September 21, 2017 Thursday",54 of 95 DOCUMENTS,Austin American-Statesman (Texas),Man deported after ICE grab slain in Mexico,Ryan Autullo and Taylor Goldenstein American-Statesman Staff,MAIN; Pg. A1,,1064 words,,,"September 22, 2017",ENGLISH,,,,,,Newspaper,Copyright 2017 The Austin American-Statesman                               All Rights Reserved
,Coronilla_Guerrero,wife,family,immigration,Austin,federal,people,U.S.,kill,death,charge,without,change,arrest,husband,take,back,live,immigrant,authorization,court,child,Mexico,government,deportation,find,fear,know,return,suspect,gang,attorney,deport,point,hold,tell,love,violence,make,work,sentence,often,warn,true,body,de,la,paz,six,step,criminal,illegal,move,safety,go,happen,trafficking,armed,intruder,night,man,house,home,bed,son,father,worry,police,information,report,local,time,misdemeanor,use,country,never,jail,inmate,official,policy,honor,request,face,give,better,Juan,San_Luis,Travis_County,ICE,Mexican,judge,spring,follow,prediction,last,week,three,former,resident
,19,12,10,7,7,6,6,6,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1
"October 3, 2017 Tuesday",55 of 95 DOCUMENTS,Austin American-Statesman (Texas),Garza's new album brings together Austinites from around the globe,Nancy Flores American-Statesman Staff,LIFE; Pg. D1,,477 words,,,"October 3, 2017",ENGLISH,,,,,,Newspaper,Copyright 2017 The Austin American-Statesman                               All Rights Reserved
,Garza,album,song,name,artist,release,connection,musician,world,music,bring,help,language,Spanish,know,find,el,unico,para,mi,something,many,place,important,mean,new,life,aunt,garza,time,interest,always,try,make,another,human,we,speak,lot,performer,change,feel,divisive,political,climate,formerly,especially,meaningful,recently,focus,forge,feature,create,beyond,broaden,scope,aworld,vision,imagine,without,border,creative,geopolitical,moment,history,art,seem,particularly,symbol,unity,2012,debut,la,americana,late,eva,internationally,recognize,catapult,stardom,1940,1950,whose,hit,strengthen,presence,market,reinterpret,three,repertoire,highlight,seven,original,extra,musical,muscle,composer,deep,dive
,7,6,4,4,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"January 31, 2017 Tuesday",57 of 95 DOCUMENTS,Austin American-Statesman (Texas),Austin ad veteran starts new agency,Gary Dinges American-Statesman Staff,BUSINESS; Pg. B5,,557 words,,,"January 31, 2017",ENGLISH,,,,,,Newspaper,Copyright 2017 The Austin American-Statesman                               All Rights Reserved
,Alcocer,work,agency,world,need,make,talent,brand,start,Austin,advertising,back,way,rest,multicultural,represent,go,together,many,live,thing,expert,business,president,creative,ad,bring,take,big,country,skin,tone,new,help,attract,choose,city,account,project,already,opportunity,structure,LatinWorks,Rest,Boden,heavy,hitter,industry,sabbatical,spend,chief,officer,launch,name,base,debut,primarily,target,young,audience,people,overlook,company,always,know,sector,idea,best,put,something,different,stand,initially,staff,six,ultimately,envision,team,employee,smaller,focus,recruiting,diverse,time,view,better,harmoniously,strengthen,venture,instead,traditional,location,deliberate,decision,think,catch,happen,future,much
,8,7,7,6,6,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"March 19, 2017 Sunday",62 of 95 DOCUMENTS,Austin American-Statesman (Texas),Top Local Business Stories of the week,American-Statesman Staff,BUSI; Pg. F2,,648 words,,,"March 20, 2017",ENGLISH,,,,,,Newspaper,Copyright 2017 The Austin American-Statesman                               All Rights Reserved
,cancer,Stratus,Biden,work,need,review,company,value,president,conference,government,silo,talk,center,include,million,problem,current,Southwest,vice,fight,former,prevent,forward,initiative,plan,life,do,different,break,people,way,share,help,mind,world,future,austin,approach,buyer,indicate,interested,offer,process,stratus,nature,sale,create,portfolio,opportunity,asset,participant,interest,certain,South,Lakeway,push,end,division,hamper,emotional,speech,last,week,describe,frustration,research,move,wife,moonshot,devote,rest,topic,presentation,take,stage,amid,divisive,political,climate,spend,bulk,spelling,go,particular,wall,erect,discipline,philanthropy,medicine,nothing,greater,collaboration,system,arrange,intentionally,extend,lot,example
,8,8,7,6,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"April 3, 2017 Monday",64 of 95 DOCUMENTS,Austin American-Statesman (Texas),Are these classic Austin fries the best in US or overrated?,Eric Webb American-Statesman staff,LIFE; Pg. D2,,1047 words,,,"April 3, 2017",ENGLISH,,,,,,Newspaper,Copyright 2017 The Austin American-Statesman                               All Rights Reserved
,fries,tequila,cloud,magazine,best,list,town,Austin,restaurant,great,food,staff,pigeon,AMERICAN_STATESMAN,know,fry,side,dish,make,call,place,location,'em,rain,display,use,hold,edible,small,South,Washington,Willie,go,well,burger,locally,serve,name,wine,treat,potatoe,french,without,cheese,rather,form,mist,report,real,fill,marijuana,start,take,time,launch,enjoy,weekend,downtown,shop,character,beautiful,around,campus,birth,control,school,French,Hyde_Park_Bar,US,Mexico,German,DAVE_THOMAS,else,endorphinrushing,satisfaction,national,culinary,praise,beloved,grill,among,country,accolade,hyde,park,many,people,chicken,soaking,cut,buttermilk,batter,mayo,kick,jalapelos,dill,possibly,famous,deservedly
,13,10,10,7,6,6,6,6,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"April 4, 2017 Tuesday",65 of 95 DOCUMENTS,Austin American-Statesman (Texas),Austin's warmest March ever extends 2017 streak,Marty Toohey American-Statesman Staff,METR; Pg. B1,,579 words,,,"April 4, 2017",ENGLISH,,,,,,Newspaper,Copyright 2017 The Austin American-Statesman                               All Rights Reserved
,record,temperature,degree,high,rain,warmest,march,weather,average,inch,damage,Camp_Mabry,Austin,three,set,cause,waterspout,Austin_Bergstrom,Central_Texas,station,1907,meteorologist,spring,airport,normal,wind,enough,rainfall,create,far,fall,norm,include,storm,percent,pattern,sunday,rip,area,roof,determine,tornado,March,Rose,Lake_Travis,turn,cliché,ear,overcooked,lamb,go,wet,lion,main,edg,authority,68.6,follow,winter,put,another,way,start,little,lot,61.5,international,61.9,surpass,1990,previous,59.6,spike,drive,usually,either,low,persistently,warmer,aside,minimum,warm,bring,brief,period,heighten,wildfire,concern,risk,exacerbate,people,dumb,throw,cigarette,butt,window,mostly,spared,dring
,8,8,5,5,5,4,4,4,4,4,4,4,4,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"April 23, 2017 Sunday",67 of 95 DOCUMENTS,Austin American-Statesman (Texas),"10,000 rally at Capitol, march to defend science in Trump era",Taylor Goldenstein American-Statesman Staff,METR; Pg. B1,,680 words,,,"April 24, 2017",ENGLISH,,,,,,Newspaper,Copyright 2017 The Austin American-Statesman                               All Rights Reserved
,science,march,people,cut,scientific,scientist,saturday,policy,many,point,hold,research,heart,sign,read,think,"10,000",supporter,administration,a.m.,organizer,rally,last,marcher,take,funding,need,support,back,university,speech,use,value,important,make,capitol,include,silence,go,global,word,letter,child,feel,damage,Capitol,Trump,Austin,Earth,Texas,Markman,Poe,alike,flock,state,champion,voice,concern,600,satellite,plan,city,worldwide,kick,lawn,teach,various,table,set,educational,activity,coincide,accident,austin,police,estimate,attend,begin,tell,week,president,trend,logic,evidence,displace,ideology,public,square,still,acknowledge,impetus,aim,propose,policymaker,believe,climate,change,community,traditionally
,15,6,4,4,4,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"May 15, 2017 Monday",68 of 95 DOCUMENTS,Austin American-Statesman (Texas),"Herman, UT push Horns on Twitter",Cedric Golden American-Statesman Staff,SPOR; Pg. C1,,764 words,,,"May 15, 2017",ENGLISH,,,,,,Newspaper,Copyright 2017 The Austin American-Statesman                               All Rights Reserved
,coach,Texas,football,tweet,Herman,have,game,staff,play,everybody,enthusiasm,four,web,media,program,change,hype,go,player,give,hunt,wolf,take,locker,national,plan,nearly,full,message,spring,social,time,summer,twitter,offseason,around,world,particularly,account,week,video,former,notice,defensive,include,fall,question,win,great,school,current,photo,real,together,culture,all_in,Oklahoma,Michelle,palpable,season,opener,axe,old,neuhaus,room,house,champion,model,"10,000",apiece,auspices,new,confidence,unapologetic,swagger,accountability,return,excellence,hear,never,conduct,formal,interview,annual,promotional,machine,steam,ahead,via,need,press,conference,public,appearance,gauge,feeling,today,climate,considerably
,12,10,6,6,6,5,5,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"May 31, 2017 Wednesday",70 of 95 DOCUMENTS,Austin American-Statesman (Texas),What we can learn from old nutrition books about eating healthy today,Addie Broyles American-Statesman Staff,LIFE; Pg. D1,,1540 words,,,"May 31, 2017",ENGLISH,,,,,,Newspaper,Copyright 2017 The Austin American-Statesman                               All Rights Reserved
,eat,book,cookbook,diet,food,body,community,make,Agnew,much,go,we,way,nutrition,binge,hour,today,drive,sugar,fat,many,weight,bad,idea,health,use,agnew,finish,bag,three,piece,spend,take,fry,chicken,set,look,add,need,try,meal,feel,think,every,have,fall,healthy,box,pick,school,collection,word,restrict,personal,week,keep,physical,stress,overall,dietitian,teach,student,big,plate,client,habit,hold,always,popcorn,chocolate,dinner,lunch,sandwich,still,obesity,crave,hungry,culture,cycle,part,another,sort,disorder,listen,hunger,focus,satiat,full,later,though,adult,similar,recent,break,old,among,statistic,protein,lead
,16,16,15,11,9,7,7,6,6,5,5,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"June 3, 2017 Saturday",72 of 95 DOCUMENTS,Austin American-Statesman (Texas),"Amid 'America First' age, some in Austin say world is all connected",Juan Castillo American-Statesman Staff,MAIN; Pg. A11,,787 words,,,"June 5, 2017",ENGLISH,,,,,,Newspaper,Copyright 2017 The Austin American-Statesman                               All Rights Reserved
,child,school,world,U.S.,education,million,we,around,aid,advocate,ask,family,many,work,hope,life,kid,volunteer,percent,Austin,RESULTS,young,people,high,college,degree,graduate,good,job,number,263,attend,accord,poverty,southern,age,classroom,time,economic,contribute,he,might,live,educate,country,money,go,partnership,building,give,connect,propose,budget,foreign,likely,help,understand,make,Coats,Zimbabwe,Congress,Patterson,ten,thousand,stride,proudly,across,stage,collect,whoop,cheer,prouder,parent,fulfill,something,take,grant,promise,whose,three,daughter,land,accountant,architect,geographic,information,system,equip,compete,modern,economy,better,universal,struggle,part,globe,reach,vast,indeed
