PUBLISHED_DATE,DOCUMENTS_INDEX,PUBLISHER,TOPIC,BYLINE,SECTION,SOURCE,LENGTH,DATELINE,SUMMARY,LOAD_DATE,LANGUAGE,CORRECTION_DATE,CORRECTION,GRAPHIC,TYPE,DOCUMENT_TYPE,PUBLISH_TYPE,COPYRIGHT
"November 2, 2005 Wednesday",1 of 83 DOCUMENTS,Austin American-Statesman (Texas),Just how warm does our planet have to get?,"Kate Galbraith, LOCAL CONTRIBUTOR",EDITORIAL; Pg. A13,,723 words,,,"November 2, 2005",ENGLISH,,,,,,Newspaper,Copyright 2005 The Austin American Statesman
,emission,warming,record,take,global,greenhouse,gas,need,climate,change,due,hurricane,start,something,power,scientist,recent,Austin,talk,weather,run,name,last,storm,hottest,2003,many,president,promise,work,carbon,plant,seriously,happen,save,whether,much,report,2001,rise,temperature,write,require,company,polluter,trading,world,reduce,americans,state,vehicle,time,right,without,Atlantic,Europe,anyone,notice,fall,place,fleeting,glory,season,busiest,meteorological,guy,assign,letter,properly,strongest,ever,2005,course,measurement,begin,round,top,five,1998,2002,2004,sweat,september,superlative,politician,office,curb,dioxide,major,nothing,introduction,laughable,voluntary,program,justified,inaction,learn,really,cause
,TAB,letter,candidate,voter,corporate,money,Hammond,Colyandro,use,Contact_America,phone,lawyer,tax,Texans,bank,mail,likely,list,political,state,law,never,mailing,send,work,Republican_Majority,Taylor,group,election,gop,call,bill,business,campaign,endorsement,plan,Texas,legislative,effort,support,activity,ago,organization,void,check,democrat,identify,word,write,new,believe,duck,together,pay,Austin,Feldman,select,vote,2002,target,create,committee,leader,document,coordinate,individual,indict,consultant,last,criminal,investigation,tab,show,circumvent,spend,amendment,speech,million,race,stand,todd,baxter,agree,understand,importance,low,good,climate,printer,magic,help,telephone,"65,175",hammond,audience,ultimately,need,California,Republican
,17,13,11,11,9,8,8,8,7,7,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"February 12, 2005 Saturday",34 of 83 DOCUMENTS,Austin American-Statesman (Texas),Athletes not making the grade hit UT hard,"John Maher, AMERICAN-STATESMAN STAFF",NEWS; Pg. A1,,1185 words,,,"February 13, 2005",ENGLISH,,,"Men's basketball: P.J. Tucker, sophomore forward: Tucker was the team's leading scorer and rebounder when he was declared ineligible. Texas has lost four of five games since then. Football: Selvin Young, junior running back; Larry Dibbles, junior defensive tackle; Erick Jackson, freshman cornerback: All three will miss spring practice but are expected to return next season. Young's absence may be the most crucial: He missed almost all of the 2004 season with a broken ankle but is favored to be the starting tailback next season. Baseball: Hunter Harris, senior outfielder; Sam LeCure, junior pitcher: LeCure, who was dismissed from school, was expected to have been the team's top starting pitcher. He unsuccessfully asked a federal judge to intervene, claiming that the university did not give him suitable accommodations for a learning disability. Three other baseball players -- sophomore Nick Peoples, sophomore transfer Thomas Incaviglia and freshman Preston Clark -- have not played because of academic",,,Newspaper,Copyright 2005 The Austin American Statesman
,athlete,NCAA,academic,rate,Dodds,team,football,percent,school,ut,make,student,university,graduation,standard,program,report,UT,lose,spring,credit,bad,official,have,hour,fall,week,academics,nine,recent,man,poor,grade,everybody,semester,spend,meet,time,score,support,problem,among,past,issue,call,athletic,director,basketball,lead,baseball,without,pitcher,run,point,story,rule,must,require,degree,second,new,world,admission,average,use,trap,news,player,pass,remain,dismiss,2.0,try,stay,system,set,much,per,include,look,change,athletics,four,counselor,addition,department,sure,study,hall,class,example,tougher,put,real,job,card,worst,recruiting,penalty
,14,11,10,9,9,8,8,8,7,6,6,6,6,6,5,5,5,5,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"March 26, 2005 Saturday",35 of 83 DOCUMENTS,Austin American-Statesman (Texas),Accord Hybrid has stuff you can't refuse,"Pete Szilagyi, SPECIAL TO THE AMERICAN-STATESMAN",LIFESTYLE; Pg. E5,,781 words,,,"March 26, 2005",ENGLISH,,,"For a hybrid, Honda's Accord has plenty of power.",,,Newspaper,Copyright 2005 The Austin American Statesman
,hybrid,car,system,Honda,fuel,accord,driver,option,price,front,drive,mileage,battery,airbags,Accord_Hybrid,Accord,powertrain,gas,seat,navigation,steady,power,electric,motor,much,level,"2,000",base,another,view,save,honda,luxury,least,top,line,test,2005,"32,655",full,28.8,typically,estimate,city,highway,mpg,welcome,number,speed,need,switch,charge,engine,vehicle,leave,brake,three,pretty,small,range,equipment,wheel,air,compressor,high,quality,tax,provide,information,percent,payment,finally,dealership,surprised,learn,intelligently,conceive,execute,model,company,know,smart,product,environmentally,conscious,effective,overdue,way,reduce,greenhouse,accountant,appear,bundle,higher,sticker,cynic,talk,fair,do
,10,9,8,8,7,5,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"April 6, 2005 Wednesday",36 of 83 DOCUMENTS,Austin American-Statesman (Texas),"Salut, Texas; Drink a toast to the 20th food and wine festival with three of its founders","Kitty Crider, Dale Rice, AMERICAN-STATESMAN STAFF",LIFESTYLE; Pg. E1,,1935 words,,,"April 12, 2005",ENGLISH,,,"Stephan Pyles, Star Canyon founder Susan Auler, Fall Creek Vineyards vintner Robert Del Grande, Cafe Annie Susan and Ed Auler of Fall Creek Vineyards needed the festival to help promote the area as a place for winemaking. Hill Country vineyards such as Fall Creek are now beyond Bordeaux and into global variety. Stephan Pyles pulls from many styles in dishes such as his Pineapple and Chile Glazed Pork Tenderloin Tostada with sweet potatoes. Pyles was an up-and-coming Dallas chef when the festival started in 1986. Robert Del Grande goes beyond tostadas with yellowfin tuna, seared red chiles and preserved lemons. Robert Del Grande was one of the celebrity chefs at the first wine and food festival.",,,Newspaper,Copyright 2005 The Austin American Statesman
,Texas,chef,wine,food,cuisine,today,restaurant,festival,people,winery,time,event,influence,Southwestern,many,ago,texas,bring,back,beyond,reflect,region,Food_Festival,Auler,Dallas,week,four,new,become,country,make,family,call,still,roast,menu,go,state,chile,Texas_Hill_Country_Wine,Robert_Del_Grande,Hill_Country,French,Pyles,1986,group,culinary,create,barbecue,serve,village,along,ticket,industry,grape,experiment,help,area,early,flavor,well,take,cook,dish,much,past,open,different,kitchen,honor,Susan_Auler,Lone_Star,Houston,Del_Grande,small,pioneer,showcase,attract,fine,music,spring,fest,mark,world,three,founder,vintner,good,sunday,include,list,put,found,auler,fall,nearly,100,winemaker,texan
,22,19,17,15,14,14,14,13,8,8,7,7,7,7,6,6,6,6,6,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"April 24, 2005 Sunday",39 of 83 DOCUMENTS,Austin American-Statesman (Texas),OLD VS. MOD; New digs on the block don't have to clash with Central Austin neighborhoods,"Jeanne Claire van Ryzin, AMERICAN-STATESMAN ARCHITECTURE CRITIC",LIFESTYLE; Pg. K1,,2037 words,,,"May 13, 2005",ENGLISH,,,"Seen from the side, this West Mary Street house doesn't overpower despite its two stories. A loggia and porch connect it to the outdoors. Charles Moore and Arthur Andersson took a modest Tarrytown bungalow and deftly transformed it into a multistructure compound. Because of careful attention to scale, a modern home designed by the Austin architecture firm KRDB fits in well with neighboring older homes on West Mary Street in South Austin. Large windows create a friendly connection with the street and preserve a view of an established tree. While traditional in terms of architectural style, a trio of new homes on West Johanna Street overpowers the older neighborhood with their enormous scale. In the 1950s, A.D. Stenger designed and built dozens of modernist homes in Austin. They are characterized by simple forms and low horizontal lines.",,,Newspaper,Copyright 2005 The Austin American Statesman
,house,new,architecture,neighborhood,traditional,design,neighbor,modern,style,home,building,Austin,build,architect,front,old,New_Urbanism,roof,urban,much,bungalow,good,scale,city,community,form,indeed,older,austin,street,center,example,take,consider,window,plan,porch,many,perhaps,guideline,though,architectural,offer,landscaping,area,celebrate,addition,large,glass,threat,cottage,well,moore,study,sit,lot,make,historic,site,surroundings,local,gobble,story,project,decorative,modernist,movement,early,direct,influence,use,ranch,horizontal,urbanist,way,town,public,redevelopment,shape,flat_roofed,Moore_Center,Mueller,sleek,association,faust,exterior,side,flat,bold,hope,view,angular,happen,family,other,important,eclectic,central,go
,26,18,13,12,10,9,9,8,8,8,8,8,7,7,7,6,6,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"May 22, 2005 Sunday",40 of 83 DOCUMENTS,Austin American-Statesman (Texas),When policy defines identity; State's stand on issues like stem cells affects who opts to live here,"Bill Bishop, AMERICAN-STATESMAN STAFF",NEWS; Pg. A1,,2389 words,,,"May 22, 2005",ENGLISH,,,,,,Newspaper,Copyright 2005 The Austin American Statesman
,cell,state,stem,research,vote,people,political,scientist,issue,Texas,California,researcher,politics,go,legislation,ban,work,embryonic,pass,use,initiative,tell,election,policy,live,place,leave,Kansas,several,can,school,science,presidential,city,democrat,ask,past,community,become,side,make,law,world,mancini,group,last,proposal,grow,district,Mancini,Bush,Rosenthal,happen,university,week,begin,republican,increasingly,consider,country,decision,choose,union,2004,culture,democratic,president,national,early,new,nation,send,signal,influence,jellyfish,protein,keep,government,oppose,legislator,find,way,support,legislature,referendum,ago,voter,local,less,deter,University,Connecticut,Congress,Houston,Cooney,Austin,Darnovsky,wait,committee
,32,31,29,27,14,13,11,10,10,10,10,8,8,8,7,7,7,6,6,6,6,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2
"June 13, 2005 Monday",41 of 83 DOCUMENTS,Austin American-Statesman (Texas),Changing of the guard; Texas command put in new hands,"Sarah Coppola, AMERICAN-STATESMAN STAFF",METRO/STATE; Pg. B1,,499 words,,,"August 7, 2005",ENGLISH,,,"A crowd turns out Sunday at Camp Mabry to watch Gov. Rick Perry, center, swear in a new adjutant general, Maj. Gen. Charles Rodriguez, right. They also said goodbye to the previous adjutant, Lt. Gen. Wayne Marty, left. Departing Lt. Gen. Wayne Marty leaves the field after completing his last inspection Sunday and saying thank you to the assembled troops.",,,Newspaper,Copyright 2005 The Austin American Statesman
,Marty,crowd,new,military,man,Rodriguez,member,adjutant,marty,sunday,job,woman,work,color,flag,moment,leader,top,general,gen.,ceremony,family,welcome,maj,rodriguez,force,service,include,director,serve,back,people,look,care,Guard,Perry,Texas,quiet,field,group,stand,attention,bright,blue,sky,smatter,vibrantly,suddenly,four,fighter,jet,swoop,roar,overhead,mark,rever,replace,another,goodbye,commander,lt,wayne,charle,swear,gov,absolute,certainty,fight,stronger,freedom,flourishing,home,abroad,responsible,lead,"21,000",hold,2002,retire,deputy,preparedness,hispanic,post,pray,summon,wisdom,courage,final,inspection,riding,tall,vehicle,survey,line,receive,last,time,ceremonial,pass
,6,4,4,4,4,4,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"September 7, 2005 Wednesday",44 of 83 DOCUMENTS,Austin American-Statesman (Texas),"In Mexico, satire is must-see TV; Series that parodies president draws viewers, political ads","Susan Ferriss, MEXICO CITY BUREAU",NEWS; Pg. A17,,817 words,,,"September 7, 2005",ENGLISH,,,Alfonso Villalpando plays a buffoonish president and Raquel Pankowsky plays his materialistic wife in 'The Privilege of Power.',,,Newspaper,Copyright 2005 The Austin American Statesman
,show,Mexico,president,politician,actor,time,Fox,privilege,Villalpando,million,play,tell,writer,political,party,election,Televisa,monday,mexicans,meeting,script,lopez,program,tv,air,july,commercial,every,new,television,top,popular,producer,spoof,hope,satirize,materialistic,democracy,open,network,talk,policy,five,meet,write,huge,vote,pri,favor,begin,night,portray,expensive,candidate,2006,audience,campaign,toussaint,change,makeup,secretary,week,invite,freedom,speech,go,continue,Lopez,Marta,Mexican,city,evening,sit,guffaw,something,comedy,figuratively,eviscerate,lady,nation,el,privilegio,de,mandar,ambitious,figure,exposure,better,none,contact,beg,powerful,enough,already,rate,mockery,clamoring,discreetly,influence
,12,10,8,8,7,6,6,5,5,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"November 20, 2005 Sunday",46 of 83 DOCUMENTS,Austin American-Statesman (Texas),A war of words over going to war; Administration tinkers with truth in countering critics of conflict in Iraq,FROM STAFF AND WIRE REPORTS,INSIGHT; Pg. H1,,1074 words,,,"November 20, 2005",ENGLISH,,,"President Bush has repeatedly asserted that members of Congress 'looked at the same intelligence I did' when they voted in October 2002 to authorize the use of force against Iraq. In fact, Congress only had access to intelligence reports cleared by the White House.",,,Newspaper,Copyright 2005 The Austin American Statesman
,Iraq,intelligence,Bush,war,administration,report,weapon,assessment,threat,critic,member,vote,use,Congress,official,2002,authorize,al,support,many,find,evidence,White_House,U.S.,accuse,look,october,force,diplomatic,give,military,resolution,pressure,agency,agree,Saddam_Hussein,Senate,veterans,speech,president,democrat,rewrite,turn,assertion,country,bush,campaign,record,launch,continue,leader,believe,yet,claim,true,national,estimate,lawmaker,access,secretary,oversaw,gather,former,make,chemical,biological,nation,learn,qaeda,change,remove,power,security,pose,exhaust,option,time,political,bipartisan,investigation,community,judgment,key,committee,panel,commission,world,Cheney,Republican,WMD,CIA,Qaeda,Saddam,Iraqi,past,play,politics,vice,rhetoric
,21,16,15,12,12,9,7,6,6,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1
"November 28, 2005 Monday",47 of 83 DOCUMENTS,Austin American-Statesman (Texas),East Austin changes raise old questions that need new answers,AMERICAN-STATESMAN STAFF,EDITORIAL; Pg. A8,,773 words,,,"November 28, 2005",ENGLISH,,,,,,Newspaper,Copyright 2005 The Austin American Statesman
,neighborhood,resident,member,residential,council,much,change,East_Austin,City_Council,east,still,study,boom,time,make,business,old,answer,new,tax,five_minute,interstate,popsicle,retail,take,problem,use,sometimes,force,store,city,lot,talk,look,pretty,political,demand,downtown,housing,go,question,inevitably,transition,accommodate,basic,stay,abatement,program,least,redevelopment,break,leave,run,incentive,candidate,service,serious,unlike,past,mom_and_pop,Austin,back,early,1960,area,north,poor,person,version,modern,urbanist,ideal,walk,away,densely,populate,beautiful,backdrop,lake,tree,cloak,air,calm,natural,beauty,people,sit,outside,visit,enjoy,evening,breeze,advantage,agreeable,climate,course,commercial,peaceful,neighbor
,8,6,5,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"June 12, 2005 Sunday",49 of 83 DOCUMENTS,Austin American-Statesman (Texas),LETTERS,,EDITORIAL; Pg. H2,,1146 words,,,"June 12, 2005",ENGLISH,,,"A U.S. military ship patrols in front of Camp Delta in Guantanamo Bay, Cuba. Cody",,,Newspaper,Copyright 2005 The Austin American Statesman
,gulag,editorial,camp,prisoner,dog,prison,fact,detention,warming,Guantanamo_Bay,june,quite,point,miss,include,issue,labor,talk,look,keep,comparison,take,great,lose,earth,life,child,story,Amnesty_International,Soviets,term,refer,merely,detainee,access,might,case,hold,outside,continue,austin,conservative,head,away,americans,system,house,world,many,country,government,judicial,review,whether,million,either,guess,tell,vote,seem,percent,party,hate,wonder,global,time,still,article,death,bring,dig,try,rest,correlation,page,week,busy,crime,sexual,predator,disturbing,job,United_States,Iraq,Abu_Ghraib,Afghanistan,America,Earth,use,entire,worldwide,network,run,facility,various,undisclosed,location,ghost,deny
,11,10,9,6,6,5,5,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1
"October 22, 2005 Saturday",50 of 83 DOCUMENTS,Austin American-Statesman (Texas),PLANT OF THE WEEK,"Skip Richter, SPECIAL TO THE AMERICAN-STATESMAN",LIFESTYLE; Pg. F12,,175 words,,,"October 22, 2005",ENGLISH,,,,,,Newspaper,Copyright 2005 The Austin American Statesman
,bloom,Mutabilis,rise,rose,disease,shade,full,new,growth,grow,old,garden,reputation,able,survive,thrive,despite,stress,pest,central,texas,climate,lean,soil,foolproof,resilience,compare,long,season,originating,prior,1894,produce,fragrant,single,flower,start,sulfur,yellow,change,orange,pink,finally,crimson,bush,look,cover,multicolere,butterfly,earning,nickname,color,attractive,mutabilis,resistant,without,protective,spray,give,sun,best,result,unlike,take,allow,plenty,room,reach,foot,height,width,form,beautiful,shrub,worthy,prominent,place,landscape,afraid,shear,back,often,promote,bushy,flush,skip,richter,China,Butterfly_Rose,Bronze
,3,3,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"January 9, 2005 Sunday",53 of 83 DOCUMENTS,Austin American-Statesman (Texas),"School finance looming large; Of all the issues facing lawmakers, biggest is how to pay for education","Jason Embry, AMERICAN-STATESMAN STAFF",INSIGHT; Pg. H1,,1495 words,,,"January 9, 2005",ENGLISH,,,,,,Newspaper,Copyright 2005 The Austin American Statesman
,tax,lawmaker,business,school,pay,state,system,Texas,district,rate,property,likely,new,issue,finance,make,per,million,revenue,income,whether,legislative,debate,student,current,spend,cut,increase,look,may,leader,sale,local,terminal,cent,session,public,give,meet,money,need,small,raise,many,try,much,provision,highest,share,type,plan,put,billion,source,avoid,hurt,percent,country,family,generate,Shapiro,2005,way,education,time,legislature,three,reason,little,basis,candidate,maximum,1.50,politician,voter,call,lower,past,provide,include,instance,rural,member,another,often,eliminate,level,operation,order,necessary,rely,gov,throw,fail,have,work,growth,bill,increasingly
,46,17,15,14,13,13,11,10,7,7,7,7,6,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"January 29, 2005 Saturday",55 of 83 DOCUMENTS,Austin American-Statesman (Texas),"Before you plant, think noninvasive","Julie Bonnin, SPECIAL TO THE AMERICAN-STATESMAN",LIFESTYLE; Pg. E12,,722 words,,,"January 29, 2005",ENGLISH,,,Nandina Ligustrum Mimosa Pampas grass,,,Newspaper,Copyright 2005 The Austin American Statesman
,plant,native,problem,instead,nandina,redbud,Texas,along,trail,fear,grow,guide,substitute,Austin,Mexican,berry,list,ban,holly,foundation,vine,tree,invasive,gardener,city,landscape,ligustrum,good,type,Simmons,shrub,vegetation,prohibit,elephant,ear,periwinkle,cover,mustang,grape,many,prove,much,green,adapt,make,ash,juniper,land,use,potential,accord,go,nursery,little,educated,add,grass,oak,sage,leave,Town_Lake_Trail_Foundation,Wildflower_Center,Central_Texas,Town_Lake,United_States,Chinese,hard,think,crimson,yet,guideline,garden,plot,near,include,although,advise,major,minor,perky,ground,blue,purplish,flower,problematic,begin,program,uproot,threaten,might,hear,similar,recommendation,publish,champion,indigenous,case,species,ecologist
,26,9,6,6,5,5,5,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"February 2, 2005 Wednesday",56 of 83 DOCUMENTS,Austin American-Statesman (Texas),The perfect teammate? No. 81 fits bill,"Kirk Bohls, AMERICAN-STATESMAN STAFF",SPORTS; Pg. D1,,771 words,,,"February 20, 2005",ENGLISH,,,"Say what you will about Terrell Owens; without him and Donovan McNabb, there's no way the Eagles would be in Jacksonville. A throng of reporters surrounds Philadelphia receiver Terrell Owens on Tuesday. Don't expect the colorful Owens to be on the sidelines Sunday when his Eagles play in Super Bowl XXXIX.",,,Newspaper,Copyright 2005 The Austin American Statesman
,Owens,play,team,receiver,owen,percent,go,touchdown,Eagles,may,number,ever,catch,tuesday,game,eagle,time,teammate,Terrell_Owens,sure,sunday,stage,sit,star,wide,end,best,take,yard,pro,bowl,quarterback,deal,give,season,eight,without,yes,leave,field,never,big,receive,three,knock,back,Super_Bowl,McNabb,fla,healthy,100,181,mathematically,challenge,definitely,change,favor,doubt,playful,certain,perform,sport,grandest,right,oh,miss,symmetry,jersey,degree,medical,condition,real,confused,pop,bizarre,midair,fumble,zone,worst,difference,depend,definition,probably,favorite,pick,bar,none,"1,200",confirm,need,know,1980,largely,land,lopsided,sell,defensive,choice,kid
,12,7,6,6,5,4,4,4,4,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"February 21, 2005 Monday",57 of 83 DOCUMENTS,Austin American-Statesman (Texas),"In Europe, Bush will urge unity; Visit aimed at moving beyond rift, seeking help for Iraq, Mideast","Bob Deans, WASHINGTON BUREAU",NEWS; Pg. A1,,844 words,,,"February 22, 2005",ENGLISH,,,"President Bush: Speech set for today will focus on past alliances, new opportunities. Jacques Chirac: French leader and critic of Iraq war will dine with Bush tonight. An alliance of 88 environmental, human rights, peace and other groups has planned two days of protests in Brussels to demand 'no European complicity' in a U.S.-designed world order. Sunday's protest featured a caricature of President Bush, right, who arrived in Belgium on Sunday.",,,Newspaper,Copyright 2005 The Austin American Statesman
,Bush,Europe,bush,alliance,Iraq,war,speech,peace,European,call,new,unity,help,expect,NATO,president,european,we,deliver,security,remark,ally,mission,across,last,leader,meet,talk,Washington,sunday,difference,era,power,earth,ever,divide,today,counterpart,toward,democracy,ask,additional,decade,past,debate,oppose,country,troops,major,widely,people,strong,number,capital,regard,plan,world,officer,meeting,opposition,persuade,support,way,tuesday,Belgium,United_States,trans_Atlantic,White_House,Middle_East,Germany,Brussels,European_Union,Iran,arrive,plea,set,aside,pledge,pitch,tangible,political,economic,aid,troubled,march,end,bloodsh,fade,great,duty,become,clear,let,begin,release,greatest,opportunity,immediate,goal
,16,9,6,6,6,5,5,5,5,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"February 21, 2005 Monday",58 of 83 DOCUMENTS,Austin American-Statesman (Texas),"In speech to Europe, Bush to press for unity; Visit intended to heal rift over Iraq war, seek help on Mideast peace","Bob Deans, WASHINGTON BUREAU",NEWS; Pg. A6,,673 words,,,"February 22, 2005",ENGLISH,,,"Jacques Chirac An alliance of 88 environmental, human rights, peace and other groups has planned two days of protests in Brussels to demand 'no European complicity' in a U.S.-designed world order. Sunday's protest featured a caricature of President Bush, right, who arrived in Belgium on Sunday.",,,Newspaper,Copyright 2005 The Austin American Statesman
,Bush,Europe,war,speech,bush,Iraq,European,peace,alliance,call,new,unity,we,deliver,security,help,remark,expect,across,talk,Washington,president,sunday,european,difference,era,power,earth,ever,divide,today,toward,democracy,additional,decade,past,debate,ally,oppose,mission,troops,major,widely,strong,number,capital,plan,leader,opposition,persuade,support,way,Belgium,United_States,trans_Atlantic,White_House,Middle_East,NATO,Iran,arrive,plea,set,aside,pledge,counterpart,pitch,tangible,political,economic,aid,troubled,march,ask,end,bloodsh,fade,great,duty,become,clear,let,begin,release,greatest,opportunity,immediate,goal,pick,overseas,trip,second,term,deliberate,step,reach,well,country,back,combat
,13,9,5,5,5,5,5,4,4,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"February 21, 2005 Monday",59 of 83 DOCUMENTS,Austin American-Statesman (Texas),"Businesses, Pflugerville wants you; Bedroom community knows it needs to boost its tax base, but it's still trying to figure out how","Marty Toohey, AMERICAN-STATESMAN STAFF",METRO/STATE; Pg. B1,,1247 words,,,"February 22, 2005",ENGLISH,,,"Rick Murphy of the Pflugerville Community Development Corp. is seeking businesses that can capitalize on Texas 130, the toll road that's rising behind the Falcon Pointe neighborhood. The city needs a bigger tax base to serve a population that has grown from 745 in 1980 to 26,000-plus.",,,Newspaper,Copyright 2005 The Austin American Statesman
