PUBLISHED_DATE,DOCUMENTS_INDEX,PUBLISHER,TOPIC,BYLINE,SECTION,SOURCE,LENGTH,DATELINE,SUMMARY,LOAD_DATE,LANGUAGE,CORRECTION_DATE,CORRECTION,GRAPHIC,TYPE,DOCUMENT_TYPE,PUBLISH_TYPE,COPYRIGHT
"September 5, 2008 Friday",1 of 126 DOCUMENTS,Austin American-Statesman (Texas),Is global climate change linked to shift in illnesses?,Asher Price American-Statesman Staff,MAIN; Pg. A01,,883 words,,,"September 9, 2008",ENGLISH,"September 9, 2008",* A Page One article Friday about possible connections between global warming and increased incidence of illnesses misstated the period during which scientists say the Earth has warmed at least 1.1 degrees Fahrenheit. That occurred over the past century.,,,,Newspaper,Copyright 2008 The Austin American-Statesman                               All Rights Reserved
,disease,change,climate,outbreak,mosquitoe,warming,accord,West_Nile,typhus,virus,pattern,fever,carry,summer,state,much,control,scientist,may,increase,dengue,infection,flea,many,area,travis,county,resident,illness,suspect,bear,epidemiologist,sanitation,far,incidence,animal,report,federal,potentially,fatal,early,people,number,breeding,ut,medical,make,official,weather,ago,think,tick,spread,Texas,United_States,Travis_County,State_Health_Services,disease_bearing,Tesh,leave,other,recent,whooping,cough,plague,event,explanation,hot,signal,broader,drive,differ,blame,laid,overarch,phenomenon,global,expert,point,improvement,technological,advance,go,epidemics,least,decade,steering,clear,lay,specifics,predict,ultimately,shift,alter,distribution,intensity,plant,pest,june
,plan,recycl,city,material,Austin,garbage,business,zero_waste,landfill,reduce,reuse,write,rate,program,zero,waste,take,trash,goal,percent,plastic,commission,member,ban,San_Francisco,Liss,dramatically,boost,send,compost,country,focus,way,place,increase,produce,product,achieve,change,big,recyclable,curbside,sell,compel,use,container,pickup,Gary_Liss,long_term,launch,effort,try,within,generation,hire,firm,spend,six,strategy,amount,instead,several,solid,1992,tend,holistic,view,reduction,prevent,example,might,recommend,penalize,customer,offer,incentive,encourage,back,package,per,capita,2012,international,standard,set,2040,global,warming,past,community,seem,feel,comfortable,adop,calif,affect,climate,methane,flow
,12,11,9,9,8,7,6,6,5,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"May 25, 2008 Sunday",50 of 126 DOCUMENTS,Austin American-Statesman (Texas),the new superbrains,Kirk Ladendorf AMERICAN-STATESMAN STAFF,MAIN; Pg. A01,,1857 words,,,"May 25, 2008",ENGLISH,,,,,,Newspaper,Copyright 2008 The Austin American-Statesman                               All Rights Reserved
,computer,supercomputer,research,science,machine,Ranger,scientist,new,work,researcher,build,center,help,big,compute,project,use,part,many,powerful,national,software,time,decade,performance,team,foundation,company,world,federal,hundred,million,enable,model,data,top,university,chip,smaller,node,run,deliver,include,kind,among,University,Austin,Blue_Waters,Ghattas,ice,without,result,modeling,complex,make,engineering,major,three,key,technology,ranger,thousand,might,need,well,ut,grant,nearly,processor,do,technical,UT,Boisseau,IBM,look,sheet,mile,size,start,sea,ago,level,much,foot,sure,provide,better,picture,campus,problem,several,dollar,climate,expert,detailed,computational,earth,recently,field
,22,14,13,13,13,13,12,11,9,8,7,7,6,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"March 20, 2008 Thursday",55 of 126 DOCUMENTS,Austin American-Statesman (Texas),Agency staff: Nuclear dump bid inadequate,Asher Price AMERICAN-STATESMAN STAFF,MAIN; Pg. A01,,1414 words,,,"March 20, 2008",ENGLISH,,,,,,Newspaper,Copyright 2008 The Austin American-Statesman                               All Rights Reserved
,radioactive,waste,application,WCS,state,write,issue,site,company,byproduct,staff,material,dump,agency,memo,license,wind,bury,september,process,disposal,uranium,director,preliminary,address,decision,commission,low_level,end,regulator,consultant,change,radiation,review,rule,open,people,2007,high,report,draft,make,million,area,contaminate,canister,foot,office,dispose,hazardous,data,contain,West_Texas,Texas_Commission,Environmental_Quality,Andrews,Perry,plan,meeting,2006,engineering,health,environmental,lucrative,market,accord,submit,october,late,relate,geology,part,support,technical,information,employee,geologist,plant,weigh,cover,eventually,political,commissioner,governor,spokeswoman,property,nuclear,cubic,operate,letter,base,incomplete,applicant,treat,landfill,100,erosion,monitor,contradiction
,15,15,13,11,10,10,9,9,8,7,7,7,7,7,6,6,6,5,5,5,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"May 25, 2008 Sunday",56 of 126 DOCUMENTS,Austin American-Statesman (Texas),how to turn an ice sheet into code,Kirk Ladendorf AMERICAN-STATESMAN STAFF,MAIN; Pg. A13,,511 words,,,"May 25, 2008",ENGLISH,,,,,,Newspaper,Copyright 2008 The Austin American-Statesman                               All Rights Reserved
,ice,sheet,model,computer,estimate,condition,different,movement,take,force,part,time,past,create,software,equation,point,affect,base,run,West_Antarctic_Ice_Sheet,downhill,gravity,subject,shear,slide,earth,water,bottom,cause,within,interrelate,express,many,vary,account,much,large,researcher,complex,accurate,data,ut,team,layer,likely,climate,UT,show,might,change,decade,sense,puzzle,enormous,half,million,cubic,mile,pull,split,section,faster,other,chill,snowfall,warm,beneath,friction,right,melt,collect,physical,law,momentum,heat,flow,differ,temperature,series,attempt,describe,top,greatly,sensitive,difference,result,dramatically,stress,strain,operating,behavior,work,power,billion,detailed,measurement,thickness,need
,22,14,8,5,5,5,5,5,5,4,4,4,4,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"July 21, 2008 Monday",58 of 126 DOCUMENTS,Austin American-Statesman (Texas),Brackenridge's overlooked lab,AUSTIN AMERICAN-STATESMAN EDITORIAL AMERICAN-STATESMAN STAFF,EDITORIAL; Pg. A10,,482 words,,,"July 21, 2008",ENGLISH,,,,,,Newspaper,Copyright 2008 The Austin American-Statesman                               All Rights Reserved
,lab,field,tract,brackenridge,study,university,future,academic,valuable,program,use,habitat,value,course,save,bumper,sticker,overlook,life,science,ecology,climate,species,attack,observation,experimentation,urban,make,unique,consider,ut,regent,plan,easily,UT,Cooper,Robertson,intense,discussion,along,draw,attention,golfer,neighbor,stir,pot,keep,know,open,duffer,inexpensive,cost,play,muny,already,around,town,somewhat,conversation,land,operation,part,integrative,biology,highly,rank,undergraduate,graduate,student,change,evolution,plant,animal,time,span,fly,fire,ant,experiment,wasp,invasive,cane,grass,four,decade,produce,database,biologist,ecologist,set,close,proximity,major,bus,line,intensely,laboratory,country,doubt
,12,7,5,4,4,4,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"January 28, 2008 Monday",59 of 126 DOCUMENTS,Austin American-Statesman (Texas),THE WEEK AHEAD,,MAIN; Pg. A01,,320 words,,,"January 28, 2008",ENGLISH,,,,,,Newspaper,Copyright 2008 The Austin American-Statesman                               All Rights Reserved
,p.m.,U.S.,new,basketball,state,president,time,last,climate,open,texas,tax,friday,job,saturday,Austin,Texas,Erwin_Center,today,union,bush,sketch,plan,final,office,tuesday,presidential,vote,primary,crunch,candidate,focus,rival,compete,earlier,contest,music,release,travel,vivaaerobus,disclose,schedule,fare,air,service,several,city,wednesday,feed,meet,banking,official,reduce,interest,rate,week,cut,talk,change,summit,response,process,\,2191,collide,thursday,border,crossing,citizen,older,must,present,government,photo,id,proof,citizenship,enter,land,sea,port,deadline,homeowner,pay,property,without,penalty,bangle,girl,group,humanitarian,speak,international,aid,program,project,hope,lecture,global
,6,4,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"February 23, 2008 Saturday",60 of 126 DOCUMENTS,Austin American-Statesman (Texas),"Debut of 'Ranger,' UT's world-class supercomputer, draws a crowd",Kirk Ladendorf AMERICAN-STATESMAN STAFF,BUSINESS; Pg. G01,,213 words,,,"February 23, 2008",ENGLISH,,,,,,Newspaper,Copyright 2008 The Austin American-Statesman                               All Rights Reserved
,research,scientist,Ranger,powerful,friday,operation,grant,world,machine,national,include,chief,executive,compute,leader,dignitary,closer,look,new,supercomputer,go,j.j.,pickle,campus,ranger,back,million,computer,dedicated,open,science,build,house,serve,ut,network,call,speed,study,field,climate,astrophysics,energy,dedication,event,"16,000",advanced,chip,really,championship,center,director,jay,boisseau,campaign,win,put,500,around,involved,use,sun,add,power,next,help,task,visualize,vast,amount,data,kladendorf,statesman.com,Tech,Austin,University,Texas,National_Science_Foundation,Sun_Microsystems_Inc.,Texas_Advanced_Computing_Center,TeraGrid,Sun_Microsystems,Jonathan_Schwartz,Hector_Ruiz,Advanced_Micro_Devices_Inc.
,6,4,4,3,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"August 2, 2008 Saturday",65 of 126 DOCUMENTS,Austin American-Statesman (Texas),UNDER THE DOME,AMERICAN-STATESMAN STAFF,METRO; Pg. B02,,429 words,,,"August 2, 2008",ENGLISH,,,,,,Newspaper,Copyright 2008 The Austin American-Statesman                               All Rights Reserved
,state,bus,static,group,chat,room,blue,facebook,Noriega,town,hall,friday,start,soon,drow,participant,member,response,think,really,county,know,Williamson_County_Young_Democrats,plague,interference,toppling,web,cam,tidal,wave,laid,siege,senate,hopeful,virtual,meeting,afternoon,rep.,noriega,webcast,recap,energy,policy,present,last,week,voice,online,electronically,wincing,pain,order,restore,minute,later,webcam,front,topple,staff,finger,appear,onscreen,block,face,keep,back,question,pose,break,internet,sen,john,zapped,conference,setup,oh,streak,notice,percent,voter,support,w.,bush,president,2004,unlike,neighbor,senator,representative,name,represent,republican,capitol,turn,morning,outnumber,seven,signal,future
,6,5,4,4,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"October 23, 2008 Thursday",70 of 126 DOCUMENTS,Austin American-Statesman (Texas),Adults pay attention; Campbell kids excel,Molly Bloom AMERICAN-STATESMAN STAFF,MAIN; Pg. A01,,1256 words,,,"October 24, 2008",ENGLISH,"October 24, 2008","* A story on Thursday's Page One incorrectly reported that Campbell Elementary School was the first elementary school in East Austin since 2003 to receive the state's 'exemplary' rating. It is the first East Austin school in the Austin district to receive that rating. The University of Texas Elementary School , a charter school in East Austin, was also rated exemplary in 2007.",,,,Newspaper,Copyright 2008 The Austin American-Statesman                               All Rights Reserved
,school,Campbell,student,teacher,parent,nah,family,rating,district,work,child,high,exemplary,success,staff,support,feel,campus,job,value,state,elementary,help,rate,principal,teach,level,make,Austin,Andrews,schedule,science,hey,receive,earn,poor,keep,subject,goal,test,successful,administrator,take,move,office,time,need,higher,urban,better,clothes,Nichols,Barrett,math,group,read,start,performance,percent,2008,official,replicate,pass,campuse,lowest,academically,lead,end,last,score,plan,happen,forward,former,create,much,spend,classroom,learn,meeting,look,many,faculty,important,include,colleague,climate,study,week,instruction,tailored,proportion,ensure,specialist,able,care,breakfast,stock,baby
,33,23,19,16,12,8,8,7,7,6,6,6,6,6,6,6,6,5,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"October 26, 2008 Sunday",71 of 126 DOCUMENTS,Austin American-Statesman (Texas),A Raw gem revisited,Brad Buchholz AMERICAN-STATESMAN STAFF,LIFESTYLE; Pg. J01,,1099 words,,,"October 26, 2008",ENGLISH,,,,,,Newspaper,Copyright 2008 The Austin American-Statesman                               All Rights Reserved
,Raw_Deal,place,take,writer,people,Austin,Lopez,Boone,open,know,close,photo,wall,find,hang,photographer,go,late,great,little,time,another,think,Wilson,joint,edge,downtown,play,music,work,dining,patron,despite,hangout,student,home,sure,something,wife,regular,bob,house,1970,always,around,front,door,talk,change,crowd,sell,comptroller,menu,pretty,leave,effort,restaurant,fletcher,role,fill,love,second,raw,deal,today,frame,photograph,storage,lot,third,Billy_Lee_Brammer,Russell_Lee,Ann_Richards,Armadillo,Browne,steamy,scruffy,eastern,pork,chop,kind,fancy,border,cantina,jukebox,nothing,vintage,instrumental,table,maybe,six,stool,bar,steak,cost,couple,buck,air,conditioning
,19,11,6,5,5,5,5,5,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"November 19, 2008 Wednesday",72 of 126 DOCUMENTS,Austin American-Statesman (Texas),India's layers of flavor,ADDIE BROYLES AMERICAN-STATESMAN STAFF,LIFESTYLE; Pg. D01,,2712 words,,,"November 19, 2008",ENGLISH,,,,,,Newspaper,Copyright 2008 The Austin American-Statesman                               All Rights Reserved
,make,add,powder,cup,Indian,rice,tbsp,spice,tsp,use,oil,water,minute,seed,chop,cumin,flour,turmeric,rao,onion,pan,large,cooking,mix,heat,lentil,masala,chili,curry,well,cook,butter,sauté,coriander,dish,salt,medium,flame,Rao,garam,leave,class,many,cardamom,paste,serve,ingredient,food,garlic,cilantro,sheet,ginger,finely,find,call,flavor,cuisine,chutney,bean,tomatoe,ghee,juice,sugar,dal,samosa,meat,vegetable,bread,dough,fill,fry,place,India,home,kitchen,store,mustard,traditional,meal,keep,dosa,cut,include,saambhar,green,chile,potatoe,tortilla,milk,six,boil,bottom,culinary,blender,bind,peas,lemon,divide,low
,24,24,22,22,22,19,19,18,18,16,15,15,15,14,14,13,13,12,12,12,12,11,11,11,11,10,10,10,10,10,10,10,10,9,9,9,9,9,9,8,8,8,8,8,8,8,7,7,7,7,7,7,7,6,6,6,6,6,6,6,6,6,6,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
"December 15, 2008 Monday",73 of 126 DOCUMENTS,Austin American-Statesman (Texas),Perry says his legacy is more than longevity,W. Gardner Selby American-Statesman Staff,MAIN; Pg. A01,,1725 words,,,"December 15, 2008",ENGLISH,,,,,,Newspaper,Copyright 2008 The Austin American-Statesman                               All Rights Reserved
,state,Perry,Texas,governor,tax,work,perry,business,term,go,policy,office,child,record,make,school,move,conservative,institution,last,toll,road,pay,spend,need,service,include,serve,job,believe,economy,never,leave,care,several,second,republican,set,elect,voter,cut,place,do,fund,public,university,agenda,legislature,legislator,flagship,2007,re_election,four_year,week,become,highway,congestion,yet,agency,question,federal,touch,shortfall,abuse,neglect,opportunity,full,vote,bet,campaign,2010,lobbyist,absolutely,can,thing,great,longevity,gov,start,limited,launch,perfect,usher,legislation,unusual,congressional,redistricting,revision,property,consider,big,story,texas,people,2009,refer,ask,well,interested
,24,23,21,19,9,8,7,7,6,6,6,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"January 31, 2008 Thursday",78 of 126 DOCUMENTS,Austin American-Statesman (Texas),LEARNING CALENDAR,Alex Dotte AMERICAN-STATESMAN STAFF,LIFESTYLE; Pg. E02,,376 words,,,"January 31, 2008",ENGLISH,,,,,,Newspaper,Copyright 2008 The Austin American-Statesman                               All Rights Reserved
,p.m.,speak,a.m.,today,lecture,free,austin,host,e.,st,present,class,meeting,tuesday,wednesday,sixth,Austin,Texas,structure,workshop,noon,city,development,program,201,second,include,light,breakfast,material,www.ci.austin.tx.us,sbdp,dr.,cain,hope,felder,university,commencement,africa,hall,p.m,new,frontier,chapel,900,www.htu.edu,winter,seasonal,bird,visit,abode,rei,gateway,9901,capital,n.,loop,360,public,affair,forum,11:30,sunday,gary,keith,eckhardt,congressman,4700,grover,ave,www.austinuu.org,jay,banner,environmental,science,institute,climate,change,karst,aquifer,3700,lake,blvd,www.texas.sierraclub,.org,engage,7:30,leadership,plant,grow,entrepreneur,entrepreneurial,support,network,feature,guest,speaker,5406,www.leadershipaustin.org
,5,5,4,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"February 18, 2008 Monday",83 of 126 DOCUMENTS,Austin American-Statesman (Texas),Superpowerful 'Ranger' has scientists lining up,Kirk Ladendorf American-Statesman Staff,BUSINESS; Pg. D01,,855 words,,,"February 18, 2008",ENGLISH,,,,,,Newspaper,Copyright 2008 The Austin American-Statesman                               All Rights Reserved
,scientist,computer,Ghattas,machine,Ranger,supercomputer,work,compute,science,center,across,powerful,research,researcher,ago,past,many,better,deliver,detail,scientific,use,power,million,country,ut,Texas_Advanced_Computing_Center,UT,high_speed,Boisseau,wave,visualization,earthquake,100,take,four,create,new,campus,five,time,field,level,building,performance,expect,cost,foundation,decade,almost,group,natural,help,advanced,pay,system,sun,space,deal,excited,talent,collaboration,have,world,go,Sun,color,ripple,screen,laptop,geoscientist,replay,show,seismic,energy,rippling,simulate,along,mile,away,nickname,j.j.,pickle,anything,translate,case,simulation,twice,resolution,do,previously,mean,understanding,practical,knowledge,temblor,affect,area,peak
,9,8,8,7,7,6,6,5,5,5,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"March 6, 2008 Thursday",84 of 126 DOCUMENTS,Austin American-Statesman (Texas),UT to design science classes at Saudi school,Ralph K.M. Haurwitz AMERICAN-STATESMAN STAFF,MAIN; Pg. A01,,748 words,,,"March 9, 2008",ENGLISH,,,,,,Newspaper,Copyright 2008 The Austin American-Statesman                               All Rights Reserved
,Saudi,university,research,ut,science,partnership,institution,school,king,faculty,student,University,UT,help,earth,engineering,member,academic,official,researcher,problem,Ghattas,establish,collaborate,make,computer,agreement,graduate,lead,open,kingdom,flavor,admission,whether,professor,serve,basis,include,support,really,take,require,Texas,KAUST,Berkeley,post_doctoral,receive,million,next,five,fledgle,program,computational,educational,abbreviate,call,select,organize,curriculum,conference,matter,arrangement,public,wednesday,similar,focus,apply,math,mechanical,announce,tuesday,base,reputation,development,emphasize,international,collaboration,lately,reach,last,host,president,jr.,delegation,past,encourage,economic,cooperation,technology,endowment,construction,bank,schedule,september,2009,hope,position,quickly,world
,14,13,8,7,6,5,5,5,4,4,4,4,4,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"May 26, 2008 Monday",92 of 126 DOCUMENTS,Austin American-Statesman (Texas),Factors pump up the cost of diesel,PETER MONGILLO AMERICAN-STATESMAN STAFF,LIFESTYLE; Pg. E01,,657 words,,,"May 26, 2008",ENGLISH,,,,,,Newspaper,Copyright 2008 The Austin American-Statesman                               All Rights Reserved
,animal,diesel,fuel,take,gasoline,hit,call,injure,lightning,cost,around,gallon,demand,price,department,course,station,cent,s.,distillate,higher,accord,tax,per,may,whether,owner,road,stick,situation,way,shelter,contact,shower,storm,true,water,pipe,electrical,home,well,computer,class,austin,basic,512,University,Texas,Energy,seem,cruder,much,cheaper,produce,premium,several,factor,make,expensive,winter,traditionally,heating,oil,effect,lag,spring,country,grow,recent,new,greener,type,process,old,word,project,manager,federal,excise,average,week,almost,4.50,oppose,3.79,expect,soften,increase,summer,proper,action,pet,neighborhood,street,decide,driver,job,look,tag
,11,9,8,6,5,4,4,4,4,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"June 29, 2008 Sunday",94 of 126 DOCUMENTS,Austin American-Statesman (Texas),AMERICAN DIGEST,AMERICAN-STATESMAN STAFF,INSIGHT; Pg. G01,,410 words,,,"June 29, 2008",ENGLISH,,,,,,Newspaper,Copyright 2008 The Austin American-Statesman                               All Rights Reserved
,well,fight,mo,make,manager,congressional,hearing,jesus,baby,mary,recent,we,bush,affluent,name,city,plant,crime,fighter,fire,know,word,sunday,story,China,'none,fellow,americans,court,government,sanction,lawlessness,sen,chris,dodd,connecticut,democrat,speak,surveillance,bill,shield,telecommunication,company,lawsuit,cooperate,administration,warrantless,wiretapp,program,learn,thing,fuelberg,rep,henry,waxman,unflattering,comparison,leave,former,general,dictator,right,electric,other,divinity,exclude,humanity,call,image,mother,rehabilitate,article,l'osservatore,romano,official,newspaper,ask,worshipper,less,prudish,painting,work,art,depict,toast,hansen,director,path,take,response,global,warming,scientist,sound,alarm,climate,change,june,1988
,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"June 30, 2008 Monday",95 of 126 DOCUMENTS,Austin American-Statesman (Texas),LETTERS,,EDITORIAL; Pg. A08,,865 words,,,"June 30, 2008",ENGLISH,,,,,,Newspaper,Copyright 2008 The Austin American-Statesman                               All Rights Reserved
,oil,per,religious,people,death,childhood,cause,support,fuel,car,cancer,"100,000",let,issue,nuclear,power,promote,lead,country,sen,pass,pay,freedom,june,view,child,tree,decide,industry,refine,increase,liberalism,drilling,tax,best,side,go,independence,economy,energy,endorse,program,know,dump,transit,reveal,recent,still,gas,ride,cost,trip,commentary,trample,clarify,belief,fund,research,rate,run,campaign,staff,raze,150,mistake,Pump,Clinton,price,mean,politicize,clearly,define,predominant,political,philosophy,conservatism,remove,restriction,government,use,paralyze,produce,insist,prohibiting,exploration,actually,penalize,accomplish,eliminate,enthusiastically,mind,hash,public,arena,ask,november,direction,wish,elect
,6,6,6,5,5,5,5,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"July 6, 2008 Sunday",96 of 126 DOCUMENTS,Austin American-Statesman (Texas),"'New American Talent' artists tackle the world, piece by piece",Jeanne Claire van Ryzin AMERICAN-STATESMAN ARTS CRITIC,LIFESTYLE; Pg. J12,,676 words,,,"July 6, 2008",ENGLISH,,,,,,Newspaper,Copyright 2008 The Austin American-Statesman                               All Rights Reserved
,new,artist,talent,american,world,p.m.,present,project,much,art,attorney,detainee,family,solar,a.m.,exhibit,work,emerge,select,seem,perhaps,image,client,way,message,play,baby,less,go,organization,panel,Arthouse,Herster,Guantánamo,Whitney_Houston,summer,mean,next,iteration,annual,jury,feature,across,country,long,competition,become,form,pop,culture,entertainment,mention,anyone,better,version,sharper,ever,curator,nonprofit,commission,innovative,public,kudo,sorting,"1,000",entry,identify,curious,able,lush,mystery,often,altogether,transparent,sixteen,seven,refresh,aspect,curiosity,sense,timeliness,topicality,call,curse,graduate,school,end,addle,can,produce,anything,well,percolate,contemporary,issue,climate,change,war,consequence
,7,6,6,4,4,4,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"July 16, 2008 Wednesday",98 of 126 DOCUMENTS,Austin American-Statesman (Texas),Banking fears hit Guaranty's stock,Kirk Ladendorf AMERICAN-STATESMAN STAFF,BUSINESS; Pg. D01,,641 words,,,"July 16, 2008",ENGLISH,,,,,,Newspaper,Copyright 2008 The Austin American-Statesman                               All Rights Reserved
,loan,company,Guaranty,percent,security,stock,investor,financial,million,share,value,home,billion,bank,industry,tuesday,close,drop,institution,business,asset,market,decline,stray,Austin_based,mortgage_backed,Texas,Carpenter,inc.,rise,price,include,capital,raise,concern,consulting,firm,housing,go,problem,trouble,cullen,frost,increase,disclose,face,Temple_Inland,California,turmoil,nation,banking,jolt,send,sharply,lower,much,12.4,3.59,spun,december,sudden,underscored,grow,fear,climate,weak,real,estate,fall,mortgage,concentrate,march,filing,builder,hit,hard,foreclosure,sink,sale,16.4,time,10.1,4.9,investment,process,raising,600,new,billionaire,agitate,breakup,turn,independent,transaction,yet,complete,separately,seek,147
