PUBLISHED_DATE,DOCUMENTS_INDEX,PUBLISHER,TOPIC,BYLINE,SECTION,SOURCE,LENGTH,DATELINE,SUMMARY,LOAD_DATE,LANGUAGE,CORRECTION_DATE,CORRECTION,GRAPHIC,TYPE,DOCUMENT_TYPE,PUBLISH_TYPE,COPYRIGHT
"July 3, 2016 Sunday",75 of 88 DOCUMENTS,Austin American-Statesman (Texas),TOP LOCAL BUSINESS STORIES OF THE WEEK,American-Statesman Staff,BUSI; Pg. F2,,763 words,,,"July 5, 2016",ENGLISH,,,,,,Newspaper,Copyright 2016 The Austin American-Statesman                               All Rights Reserved
,tech,firm,industry,quarter,activity,report,council,improve,business,company,policy,lobbying,effort,relationship,oil,gas,second,continue,spend,change,group,vote,coalition,local,build,member,Austin_Technology_Council,Brunner,back,decline,start,modestly,hold,sector,accord,week,index,exploration,production,support,service,swing,expand,energy,albeit,contraction,represent,certainly,outlook,recent,pricing,go,launch,last,entrepreneur,official,though,often,campaign,endorse,time,proposal,lobby,involved,include,community,City_Hall,Google,City_Council,Austin,Austin_City_Council,texas,struggle,remain,bounced,sharp,raising,hope,higher,commodity,price,recover,new,federal,reserve,bank,statewide,among,sharply,read,13.8,prior,three,greater,positive,figure,suggest,period,steady
,13,8,6,6,5,5,5,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"July 4, 2016 Monday",76 of 88 DOCUMENTS,Austin American-Statesman (Texas),New book offers in-depth examination of landscapes and ecosystems in Texas,Asher Price American-Statesman Staff,METR; Pg. B1,,556 words,,,"July 5, 2016",ENGLISH,,,,,,Newspaper,Copyright 2016 The Austin American-Statesman                               All Rights Reserved
,Texas,state,book,conservation,Todd,include,author,project,story,history,environmental,Ogren,fire,ant,pollution,big,thursday,university,growth,texas,spread,instance,across,mean,section,invasive,species,plant,serve,Texas_Landscape_Project,BookPeople,coal,mining,light,monarch,butterfly,spring,dam,bend,topic,appear,small,inclusion,seemingly,victorian,ambition,magisterial,tome,nature,people,recall,encyclopedias,yesteryear,date,dozen,photo,map,illegal,release,1880,2013,natural,disaster,area,june,2011,way,present,sequel,courage,oral,20th,century,struggle,shift,rural,urban,civil,rights,movement,stir,industrialization,boom,publish,press,full,meticulously,cite,empirical,observation,chapter,highway,migration,example,factoid,report,many,town,find
,9,5,4,4,4,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"August 18, 2016 Thursday",78 of 88 DOCUMENTS,Austin American-Statesman (Texas),"Very different concerts from Stapleton, Hank Williams Jr.",Jake Harris American-Statesman Staff,SPOR; Pg. C2,,502 words,,,"August 18, 2016",ENGLISH,,,,,,Newspaper,Copyright 2016 The Austin American-Statesman                               All Rights Reserved
,Stapleton,show,set,stage,know,crowd,night,feel,song,Williams,jr.,end,country,music,rain,take,audience,tradition,Hank_Williams,might,saturday,certainly,different,amphitheater,traveller,start,launch,perform,sing,party,musical,cover,ready,Stapeton,chis,add,current,tour,summer,name,singer,beginning,roar,much,louder,probably,people,leave,midway,watch,performance,austin,360,experience,completely,opposite,spectrum,desire,effect,prove,hot,ticket,item,moment,cut,album,still,put,surprise,appearance,thing,straight,nobody,blame,assist,weather,constant,drizzle,combine,earthy,sound,outlaw,state,mind,create,intimate,time,sunshine,dim,lighting,wife,morgane,sit,around,haunt,campfire,three,popular,date
,10,6,6,5,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"August 26, 2016 Friday",79 of 88 DOCUMENTS,Austin American-Statesman (Texas),Austin director Jeff Nichols' 'Loving' will open Austin Film Fest,Joe Gross American-Statesman Staff,A360; Pg. T33,,776 words,,,"August 26, 2016",ENGLISH,,,,,,Newspaper,Copyright 2016 The Austin American-Statesman                               All Rights Reserved
,premiere,writer,director,film,loving,world,annual,plan,story,force,family,take,raider,open,whose,become,struggle,make,aff,include,announce,cast,mallory,couple,romantic,weekend,face,home,situation,find,spiritual,retreat,college,friend,ryan,colucci,dealer,release,documentary,adaptation,Richard,Mildred_Loving,Joel_Edgerton,Ruth_Negga,Virginia,AFF,Mallory,Harvest_Run,American,filmmaker,latest,october,midnight,special,best,movie,premier,may,look,civil,rights,case,v.,history,everybody,love,creator,frequent,flyer,host,kickoff,benefit,complete,list,programming,23rd,short,competition,title,conference,panel,second,wave,night,jeff,nichol,ruth,negga,star,true,wage,legal,battle,lead,overturning,state,law,prohibiting,interracial
,9,9,9,7,5,5,4,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"September 18, 2016 Sunday",82 of 88 DOCUMENTS,Austin American-Statesman (Texas),Temporary fixes can aid school funding,American-Statesman Staff,INST; Pg. E2,,896 words,,,"September 21, 2016",ENGLISH,,,,,,Newspaper,Copyright 2016 The Austin American-Statesman                               All Rights Reserved
,district,state,school,local,education,recapture,system,cost,Austin,percent,property_rich,funding,financing,property,tax,public,student,overhaul,taxpayer,include,use,allotment,Band_Aid,Eanes,make,total,superintentent,rise,index,increase,payment,Lake_Travis,Georgetown,Marble_Falls,Texas,fix,urge,lawmaker,apply,rely,heavily,share,take,financial,much,serve,pay,method,tool,money,value,billion,start,help,give,political,legislature,lack,chief,without,basic,program,keep,employee,primary,current,transportation,teacher,allow,many,property_poor,oftentime,rather,biggest,problem,contrast,shrunk,41.4,remainder,10.6,federal,government,â,particularly,beat,matter,worse,revenue,stay,legal,steer,poorer,enable,shirk,responsibility,evade,accountability,trustee,hot
,21,15,15,10,9,9,8,8,8,7,7,6,5,5,5,5,5,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"November 18, 2016 Friday",84 of 88 DOCUMENTS,Austin American-Statesman (Texas),"Loss adds to leadership flux in city, county",Philip Jankowski American-Statesman Staff,MAIN; Pg. A1,,816 words,,,"November 18, 2016",ENGLISH,,,,,,Newspaper,Copyright 2016 The Austin American-Statesman                               All Rights Reserved
,chief,new,Acevedo,police,city,Austin,local,opportunity,search,manager,interim,department,Houston,Adler,think,group,take,select,permanent,casaday,job,Hart,Manley,leader,leave,create,transition,government,worried,uncertainty,council,thought,larger,stamp,mayor,activist,thursday,give,departure,kind,feel,work,position,public,name,union,recently,advocacy,keep,national,conduct,launch,accord,call,discipline,City_Council,announcement,art,acevedo,head,place,state,flux,visible,former,span,three,prepare,seat,district,attorney,sheriff,extraordinary,amount,law,enforcement,change,other,look,shape,era,incredible,voice,disparate,idea,engage,community,really,put,move,forward,steve,impression,founder,accountability,current,political,climate,nationally
,14,12,12,11,8,6,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"December 10, 2016 Saturday",86 of 88 DOCUMENTS,Austin American-Statesman (Texas),San Marcos gay bar emerges as LGBT hub,Anna Herod American-Statesman Staff,METR; Pg. B1,,839 words,,,"December 12, 2016",ENGLISH,,,,,,Newspaper,Copyright 2016 The Austin American-Statesman                               All Rights Reserved
,community,bar,Stonewall,Kennedy,place,drag,feel,LGBT,Rue,local,people,performer,support,safe,go,stonewall,together,Camina,open,become,really,home,club,leave,San_Marcos,door,gay,2014,city,pride,gather,attack,trump,administration,might,rights,safety,nothing,know,base,take,important,student,serve,time,grieve,issue,still,target,try,assault,nov,assailant,ever,election,street,include,meeting,family,President_elect,Trump,air,celebration,late,paint,color,rainbow,parade,many,symbol,social,progress,previously,severely,underserved,area,term,general,manager,chris,rue,last,amid,concern,represent,cornerstone,budd,network,queen,native,remember,lgbt,hop,yearn,common,mean,specifically,several,recognize
,10,8,8,8,7,6,6,6,6,5,5,4,4,4,4,4,4,4,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"December 14, 2016 Wednesday",87 of 88 DOCUMENTS,Austin American-Statesman (Texas),Trump to tap Perry as energy nominee,Jonathan Tilove American-Statesman Staff,MAIN; Pg. A1,,1096 words,,,"December 14, 2016",ENGLISH,,,,,,Newspaper,Copyright 2016 The Austin American-Statesman                               All Rights Reserved
,Perry,secretary,energy,campaign,Trump,presidential,lead,state,serve,gov,job,Texas,administration,2015,perry,company,Rick_Perry,U.S.,Energy_Transfer_Partners,man,department,eliminate,name,spokesman,big,nuclear,describe,agency,government,third,experience,creation,tie,president_elect,choice,warn,nomination,place,transition,team,tuesday,ceo,rex,tillerson,go,economic,security,nation,think,talk,second,republican,debate,2011,ask,agenda,buy,president,make,find,gas,oil,staff,encourage,pipeline,disqualify,industry,become,office,accord,give,super,Trump_Cabinet,Miller,Sullivan,join,doom,call,remember,yet,formally,announce,stay,tune,tell,reporter,announcement,another,texan,irve,addition,next,cabinet,bereft,decidedly,accent,roam,globe,behalf
,22,11,11,8,8,7,6,6,6,5,5,5,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"December 16, 2016 Friday",88 of 88 DOCUMENTS,Austin American-Statesman (Texas),Interior Secretary Jewell says little about Trump's pick to succeed her,Sean Collins Walsh American-Statesman Staff,METR; Pg. B3,,345 words,,,"December 16, 2016",ENGLISH,,,,,,Newspaper,Copyright 2016 The Austin American-Statesman                               All Rights Reserved
,land,state,work,public,Interior,Zinke,secretary,jewell,assess,local,use,many,include,criticize,record,project,conservation,Montana,Austin,Jewell,Land,Water_Conservation_Fund,morning,name,rep.,ryan,zinke,successor,u.,sally,yet,handle,job,close,enough,together,weigh,youthwork,office,reach,congratulate,offer,service,praise,support,assist,government,purchase,fiercely,defend,conservationist,supportive,something,have,push,hard,permanent,reauthorization,help,protect,city,national,park,former,ceo,retailer,rei,fact,helpful,lead,department,oversee,federally,own,number,tribal,community,big,part,report,earlier,week,consider,interior,environmentalist,choice,noting,mix,management,issue,administration,effort,fight,climate,change,federal,impact,global,warming
,5,4,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
