PUBLISHED_DATE,DOCUMENTS_INDEX,PUBLISHER,TOPIC,BYLINE,SECTION,SOURCE,LENGTH,DATELINE,SUMMARY,LOAD_DATE,LANGUAGE,CORRECTION_DATE,CORRECTION,GRAPHIC,TYPE,DOCUMENT_TYPE,PUBLISH_TYPE,COPYRIGHT
"February 13, 2010 Saturday",1 of 65 DOCUMENTS,The Tampa Tribune (Florida),Rubio questions climate change,"WILLIAM MARCH, wmarch@tampatrib.com",LOCAL NEWS; Pg. 7,,562 words,,,"March 2, 2010",ENGLISH,,,,,,Newspaper,Copyright 2010 Times Publishing Company
,Rubio,plan,change,issue,climate,evidence,global,Crist,cap_and_trade,scientific,warming,state,legislation,House,campaign,crist,position,justify,whether,always,scientist,criticize,gov,stance,march,tampatrib.com,friday,accept,deny,emission,interview,static,make,back,2008,attempt,energy,rubio,man_made,reject,finding,wmarch,candidate,hint,charlie,switch,general,specifically,limit,carbon,nomination,tribune,subject,call,believer,think,ask,undergo,respond,never,question,cause,activity,economically,destructive,government,regulation,previously,outright,publish,statement,december,tell,qualified,decision,significant,dispute,use,paraphrase,direct,quote,prepare,challenge,camp,accuse,lead,pass,mandate,manager,flavor,appeal,right,wing,2007,speech,opportunity,pursue,bold,policy
,hurricane,la,niña,season,storm,water,cooler,el,niño,wind,name,Florida,Pacific,tampatrib.com,normal,scientist,already,develop,temperature,fall,winter,prediction,grow,may,form,last,august,atmosphere,condition,make,2010,change,busy,Pacific_Ocean,Godsey,njohnson,equatorial,quickly,switch,warmer,add,predict,produce,prodigious,number,bring,higher,less,rain,state,meteorologist,center,unusually,warm,2009,expect,continue,summer,across,vast,stretch,near,equator,2007,june,2008,fad,opposite,effect,weather,late,undergo,blowing,west,high,diminish,create,easier,cause,increase,main,reason,past,relatively,tranquil,nine,wane,possibility,major,factor,eight,average,six,take,couple,show,probably,reflect,besides
,9,8,8,7,4,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"August 12, 2010 Thursday",27 of 65 DOCUMENTS,The Tampa Tribune (Florida),Expedition aims to check on Gulf,"ROB SHAW, rshaw@tampatrib.com",LOCAL NEWS; Pg. 4,,638 words,,,"September 1, 2010",ENGLISH,,,,,,Newspaper,Copyright 2010 Times Publishing Company
,oil,gulf,go,study,Greenpeace,photo,spill,effect,wednesday,scientist,energy,Arctic_Sunrise,trip,water,shaw,tampatrib.com,change,news,conference,ship,marine,biologist,jo,billup,find,monitor,researcher,crab,dead,well,decade,campaign,director,much,let,greenpeace,shoreline,take,call,cleaner,leave,voyage,science,peter,willcox,prepare,Mexico,Paul_Horsman,Horsman,Florida_Keys,U.S.,Dan_Howells,various,rshaw,st.,protest,whaling,chase,people,illegally,fishing,toothfish,climate,icebreaker,own,head,sea,nearly,three,172,million,gallon,schedule,depart,early,today,deep,steamy,hull,mission,believe,majority,recover,around,world,fact,know,music,teacher,ala,wash,recently,weekend,limb,think,home,other,sit,front
,8,7,7,5,5,4,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"January 20, 2010 Wednesday",30 of 65 DOCUMENTS,The Tampa Tribune (Florida),Freezing temperatures keep anglers in port and kill fish,FRED EVERSON,SOUTH SHORE; Pg. 18,,547 words,,,"February 4, 2010",ENGLISH,,,,,,Newspaper,Copyright 2010 Times Publishing Company
,cold,weather,fish,back,fishing,water,degree,snook,go,stay,may,trout,photo,New_Year,everson,kill,temperature,sure,lot,well,have,dead,spadefish,mullet,variety,baitfish,jack,winter,boat,yet,rise,thing,heat,foot,live,ago,think,good,catch,warm,wet,without,guide,FRED,Little_Manatee_River,Florida,literally,local,prolong,spell,drop,gulf,lose,many,species,wide,crevalle,floundering,surface,state,shock,look,major,start,much,global,warming,might,indeed,byproduct,hotter,summer,colder,associate,phenomenon,accord,marine,research,scientist,guru,stray,lift,air,put,normal,probably,check,power,plant,expect,crowded,seek,foremost,among,cobia,shark,ladyfish,normally,flip
,5,5,4,4,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"January 6, 2010 Wednesday",31 of 65 DOCUMENTS,The Tampa Tribune (Florida),Like a field of dreams,"COURTNEY CAIRNS PASTOR, cpastor@tampatrib.com",CARROLLWOOD; Pg. 9,,656 words,,,"January 28, 2010",ENGLISH,,,,,,Newspaper,Copyright 2010 Times Publishing Company
,butterfly,garden,plant,attract,photo,bee,Schatz,student,school,o'sullivan,wasp,teacher,child,help,pastor,science,landscape,architect,grant,work,last,Lake_Magdalene,Comolli,Green_Team,pollinator,addition,pollinate,tampatrib.com,land,elementary,spot,red,sage,cassia,scarlet,milkwee,keep,journal,class,look,project,start,join,research,site,find,service,club,build,reach,minimal,leave,COURTNEY,CAIRNS,third_grade,Allison_Comolli,Shannon,Earthwatch,after_school,fifth_graders,Brian_Schatz,Photo_Credit,Lake_Magdalene_Elementary,cpastor,unuse,swath,live,lesson,transform,classroom,wing,shortly,end,really,blossomed,begin,report,chrysalis,firsthand,caterpillar,become,receive,participate,expedition,nonprofit,organization,let,volunteer,scientific,team,assistant,worldwide,take,study,climate,change,affect,mammal,trip
,16,12,8,7,7,6,6,5,5,5,4,4,4,4,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"January 10, 2010 Sunday",32 of 65 DOCUMENTS,The Tampa Tribune (Florida),Races a chance to see globe trotters,"LAURA KINSLER, lkinsler@tampatrib.com",PASCO; Pg. 1,,522 words,,,"January 28, 2010",ENGLISH,,,,,,Newspaper,Copyright 2010 Times Publishing Company
,event,steeplechase,team,course,race,competition,little,everglade,ranch,compete,area,combine,drive,host,spectator,photo,Sharon_Blanchard,kinsler,tampatrib.com,across,world,start,promise,popular,afford,prize,money,weekend,organizer,qualify,every,sport,saturday,gate,obstacle,Equestrian,Dade_City,four_day,Little_Everglades,Bob_Blanchard,Gasparilla,Florida,Blanchard,Jack_Russell,replace,lkinsler,travel,international,jan,provide,taste,atmosphere,make,county,tourist,owner,cancel,poor,economic,climate,force,several,longtime,sponsor,back,can,subsidize,anymore,family,plan,take,build,differ,horse,pull,carriage,people,ask,we,well,height,award,"100,000",draw,"15,000",smaller,fan,base,fall,busiest,schedule,determine,equestrian,federation,really,pick,worse,try,three
,10,6,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"January 10, 2010 Sunday",33 of 65 DOCUMENTS,The Tampa Tribune (Florida),Bean faces budgetary challenge,"MIKE SALINERO, msalinero@tampatrib.com",LOCAL NEWS; Pg. 5,,1075 words,,,"January 28, 2010",ENGLISH,,,,,,Newspaper,Copyright 2010 Times Publishing Company
,county,Bean,commissioner,service,budget,plan,tax,financial,without,cut,last,government,goal,rating,administrator,2009,present,commission,million,percent,revenue,way,objective,must,bean,despite,performance,another,several,make,board,give,recession,reduce,look,efficiency,money,strategic,need,team,bond,gap,severely,salinero,tampatrib.com,pat,judge,subpar,face,feb,prepare,meeting,next,expect,go,provide,maintain,spring,deep,resident,pay,top,continue,save,increase,innovation,require,measurable,really,lack,agree,operate,higginbotham,propose,animal,park,well,nonprofit,organization,fiscal,group,ability,bounce,back,staff,ago,example,department,result,general,obligation,credit,percentage,better,photo,Ferlita,Higginbotham,AAA,Norman
,21,16,14,12,10,6,6,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"February 28, 2010 Sunday",34 of 65 DOCUMENTS,The Tampa Tribune (Florida),California idea worth copying? Abso-darn-lutely,"Tom Jackson, tjackson@tampatrib.com",PASCO; Pg. 1,,544 words,,,"April 13, 2010",ENGLISH,,,,,,Newspaper,Copyright 2010 Times Publishing Company
,week,resolution,without,pass,tampatrib.com,lift,ahead,invite,couple,attempt,social,bear,foul,language,live,world,consider,Tom_Jackson,tjackson,legislature,count,final,hour,annual,session,clear,plenty,heavy,ok,mix,metaphor,cent,billion,budget,require,trimming,economy,cry,expansion,diversification,education,system,beg,reform,energy,policy,ripe,rational,free,hysteria,tax,code,tweak,add,intend,remind,nation,name,have,mighty,full,table,still,wonder,room,item,comfortably,small,except,ability,ridicule,certain,smug,corner,bereft,controversy,engage,better,angel,we,muck,quagmire,best,cost,dime,implement,refer,quaint,little,movement,sprout,green,shoot,around,globe,design,reduce,stamp,altogether
,4,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"March 1, 2010 Monday",35 of 65 DOCUMENTS,The Tampa Tribune (Florida),NOTEBOOK,Bill Ward,SPECIAL SPORTS; Pg. 2,,593 words,,,"April 13, 2010",ENGLISH,,,,,,Newspaper,Copyright 2010 Times Publishing Company
,race,marathon,run,sunday,half,runner,final,city,record,photo,start,harmel,make,weekend,saturday,total,three,master,division,condition,time,weather,many,along,director,cancel,service,event,staff,without,combine,mark,challenge,morning,hour,finish,nearly,medal,Gasparilla_Marathon,Tampa,Gasparilla,Litton,ideal,feature,difficult,everything,hot,humid,cold,windy,seem,fitting,10th,meet,almost,perfect,temperature,a.m.,downtown,tampa,unlike,cool,wind,serious,factor,reason,board,decide,result,call,strain,lead,end,ask,use,26.2,mile,street,announcement,light,current,economic,climate,budget,cut,reduce,believe,decision,right,thing,provide,police,road,barricade,waste,management,charge,major,change
,10,10,6,6,5,5,4,4,4,4,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"March 6, 2010 Saturday",36 of 65 DOCUMENTS,The Tampa Tribune (Florida),Pragmatic Crist launches offensive blitz,"WILLIAM MARCH, wmarch@tampatrib.com",VIEWS; Pg. 1,,1198 words,,,"March 19, 2010",ENGLISH,,,,,,Newspaper,Copyright 2010 Times Publishing Company
,Crist,Rubio,campaign,conservative,crist,opponent,political,call,state,party,primary,governor,run,win,rubio,race,Sansom,poll,back,attack,strategy,interview,2006,go,negative,proclaim,people,point,however,ad,support,stimulus,accuse,money,accept,credit,card,criticize,honest,accurate,senate,march,tampatrib.com,gov,charlie,fight,career,though,speaker,elect,emphasize,week,tuesday,night,clear,line,draw,add,guy,candidate,try,ally,definitely,work,recent,much,among,give,include,*,in,theme,1970,arrest,news,bush,term,president,charge,vote,plan,use,seek,may,stop,different,personal,former,budget,hangar,benefit,appropriation,feel,photo,reminiscent,camp,desperate,attempt,Marco_Rubio
,28,15,11,8,8,7,7,7,7,7,6,6,6,6,5,5,5,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"March 8, 2010 Monday",38 of 65 DOCUMENTS,The Tampa Tribune (Florida),Federal energy program needs some Florida reality,"JAY LILES, Special To The Tampa Tribune",LOCAL NEWS; Pg. 17,,288 words,,,"March 19, 2010",ENGLISH,,,,,,Newspaper,Copyright 2010 Times Publishing Company
,home,program,include,mitigation,protect,reduce,storm,Obama,Homestar,provide,rebate,make,retrofit,energy,hurricane,funding,safe,important,savings,greenhouse,gas,help,Tampa_Tribune,president,recently,unveiled,detail,billion,proposal,cash,homeowner,improvement,know,extend,efficient,incentive,major,weather,event,time,lack,additional,force,florida,expire,last,summer,seek,stimulus,especially,disaster,resistance,achieve,simultaneously,greatly,emission,daily,need,replace,reason,administration,consider,expand,nearly,"33,000",various,implement,nationwide,result,every,spend,support,federal,level,devastating,effect,state,exposure,catastrophic,damage,urge,congressional,delegation,understand,importance,part,country,vulnerable,citizen,environment,jay,lile,policy,advocate,copyright,©,2010,may,republish
,7,5,4,4,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"April 5, 2010 Monday",39 of 65 DOCUMENTS,The Tampa Tribune (Florida),"Taking the air out of farming, ranching","JOHN HOBLICK, Special To The Tampa Tribune",LOCAL NEWS; Pg. 21,,289 words,,,"June 2, 2010",ENGLISH,,,,,,Newspaper,Copyright 2010 Times Publishing Company
,regulation,business,cost,make,economic,time,add,greenhouse,gas,agriculture,new,process,EPA,farmer,rancher,americans,struggle,end,meet,troubling,well,fare,effort,take,importance,fellow,citizen,ill,afford,skyrocket,food,list,challenge,propose,emission,poorly,overwhelming,affect,industry,small,large,throughout,state,comply,rule,force,expensive,renovation,exist,structure,purchase,building,equipment,additionally,lead,lengthy,permit,potential,grind,halt,unless,nation,agree,adhere,standard,face,competitive,disadvantage,world,marketplace,largest,organization,represent,nearly,"140,000",member,committed,fight,harmful,recently,delegate,adopt,resolution,urging,pass,legislation,stop,set,ultimately,cultivate,harvest,crop,impact,every,we,check,grocery,store,president
,5,4,3,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"May 12, 2010 Wednesday",41 of 65 DOCUMENTS,The Tampa Tribune (Florida),Pinellas considers plan to add $5 vehicle fee at Fort De Soto Park,"STEPHEN THOMPSON, spthompson@tampatrib.com",LOCAL NEWS; Pg. 5,,296 words,,,"June 11, 2010",ENGLISH,,,,,,Newspaper,Copyright 2010 Times Publishing Company
,fee,commissioner,park,county,support,vehicle,four,charge,photo,proposal,thompson,tampatrib.com,express,access,go,Pinellas_County,Fort_De_Soto,spthompson,st.,family,outing,likely,become,little,expensive,appear,verge,enact,popular,tuesday,seven,initially,pitch,high,yet,settle,issue,administrator,lasala,expect,return,board,final,include,suggest,well,currently,assess,cent,toll,money,state,department,transportation,unqualified,commission,chair,interested,exploring,oppose,think,economic,climate,lot,people,whose,entertainment,however,recent,public,hearing,resident,realize,nothing,free,anymore,echoe,sentiment,mind,pay,reporter,stephen,reach,727,credit,staff,hosk,visitor,enjoy,beach,propose,copyright,©,2010,may,republish,without,permission,library
,6,5,5,4,4,4,3,3,3,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"May 29, 2010 Saturday",42 of 65 DOCUMENTS,The Tampa Tribune (Florida),"Rail backers, foes prep strategy","TED JACKOVICS, tjackovics@tampatrib.com",LOCAL NEWS; Pg. 1,,1554 words,,,"June 18, 2010",ENGLISH,,,,,,Newspaper,Copyright 2010 Times Publishing Company
,tax,rail,group,transportation,transit,county,percent,bus,increase,support,plan,cent,sale,fund,public,measure,run,city,voter,vote,system,along,people,economic,light_rail,high_speed,light,campaign,similar,nationwide,pass,area,initiative,development,tampa,use,Hillsborough_County,Guetzloe,effort,know,whether,surcharge,referendum,advocacy,business,expect,hone,referendums,three,fail,provide,state,regional,strategy,move,report,behind,may,train,operate,Tampa,HART,decide,improvement,jackovics,tampatrib.com,new,authority,ago,help,official,however,summer,survey,2009,raise,draw,approve,1997,hillsborough,nation,route,line,resident,road,add,education,make,need,happen,success,stake,region,begin,indicate,propose,whose,among,department
,16,16,12,11,10,10,9,8,7,7,7,6,6,6,6,6,6,6,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"June 6, 2010 Sunday",43 of 65 DOCUMENTS,The Tampa Tribune (Florida),LUXURY FOR LESS,"TED JACKOVICS, tjackovics@tampatrib.com",BUSINESS; Pg. 1,,991 words,,,"July 2, 2010",ENGLISH,,,,,,Newspaper,Copyright 2010 Times Publishing Company
,hotel,rate,room,occupancy,price,percent,industry,business,photo,Ritz_Carlton,may,april,traveler,recession,ago,average,summer,2008,nationwide,decline,report,market,good,meeting,billion,distress,Florida,force,hotelier,cut,boost,night,impact,book,2010,able,lot,demand,problem,deal,jackovics,tampatrib.com,stay,naple,take,cost,difference,leisure,great,especially,hospitality,investment,provide,past,sign,begin,major,time,real,property,service,include,unlikely,debt,bankruptcy,nice,go,slow,season,many,financial,drop,budget,lender,much,owner,operating,credit,file,think,Smith_Travel_Research,pent_up,Tampa,Amelia_Island_Plantation,effort,tjackovics,consider,340,look,resident,199,golf,resort,119,instead,307,list,tourbook,depth
,19,11,10,9,8,8,6,6,6,6,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"June 14, 2010 Monday",45 of 65 DOCUMENTS,The Tampa Tribune (Florida),LETTERS,,LOCAL NEWS; Pg. 15,,475 words,,,"July 9, 2010",ENGLISH,,,,,,Newspaper,Copyright 2010 Times Publishing Company
,voter,pay,conspiracy,gasoline,oil,Scott,pro_life,scott,money,campaign,fraud,yet,give,mansion,company,history,support,abortion,benefite,financially,every,minute,cloud,regulate,greenhouse,gas,price,barometer,gold,gary,leak,enough,deceive,oppose,enormous,amount,funding,advertisement,repulse,system,positive,glance,sit,governor,well,run,become,poster,child,example,biggest,medicare,case,taxpayer,pure,simple,conservative,atwitter,gov,crist,drop,reference,web,site,best,knowledge,legislation,limited,never,procedure,elective,perform,hospital,point,investor,refuse,invest,mind,claim,success,manager,accountability,stance,sucker,bear,hopefully,keep,particular,birth,rate,low,contribute,global,warming,thus,dangerous,water,vapor,epa
,4,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"July 14, 2010 Wednesday",46 of 65 DOCUMENTS,The Tampa Tribune (Florida),Ruskin youth wins state FFA office,"LOIS KINDLE, lkindle@tampatrib.com",SOUTH SHORE; Pg. 4,,535 words,,,"July 30, 2010",ENGLISH,,,,,,Newspaper,Copyright 2010 Times Publishing Company
,Liles,agriculture,FFA,political,state,Florida,elect,female,commissioner,take,become,school,trip,leadership,conference,agricultural,attend,hope,represent,kindle,tampatrib.com,class,graduate,goal,national,area,president,high,learn,active,group,office,meeting,write,apply,experience,april,member,813,Area,Nicole_Liles,Washington,lkindle,head,major,communication,science,normal,circumstance,start,fall,postponing,move,step,closer,ultimate,toward,end,spend,next,ffa,organization,six,vice,covet,role,someone,finalist,statewide,competition,job,excited,aspiration,passion,industry,history,think,people,grant,child,veterinarian,seventh,grade,join,remain,club,bug,h.,bronson,field,tallahassee,2009,know,go,side,essay,climate,change,legislation
,7,6,5,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"August 31, 2010 Tuesday",49 of 65 DOCUMENTS,The Tampa Tribune (Florida),Tampa's 'greening' effort wilts,"CHRISTIAN M. WADE, cwade@tampatrib.com",LOCAL NEWS; Pg. 1,,691 words,,,"September 17, 2010",ENGLISH,,,,,,Newspaper,Copyright 2010 Times Publishing Company
,business,program,city,green,participate,photo,Tampa,grade,four,certified,environmental,environmentally,lot,office,design,recycl,use,center,tampatrib.com,partner,reduce,adopt,sustainable,practice,local,go,oversee,participation,work,well,seek,expand,run,energy,base,waste,reduction,water,fee,set,system,install,toilet,lighting,marketing,percent,money,have,put,clean,Florida_Business_Interiors,Sustany_Foundation,cwade,ago,consulting,firm,certify,strive,greenhouse,gas,emission,goal,tout,mayor,pam,iorio,proof,leader,movement,recognize,encourage,follow,suit,date,however,really,excited,think,onboard,whose,sign,fall,apart,deputy,director,officer,acknowledge,lack,attribute,change,leadership,nonprofit,committed,make,still,alive,try,regroup,word
,17,15,9,7,7,6,5,4,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"September 12, 2010 Sunday",50 of 65 DOCUMENTS,The Tampa Tribune (Florida),"To create jobs, cut the uncertainty",,VIEWS; Pg. 2,,586 words,,,"September 17, 2010",ENGLISH,,,,,,Newspaper,Copyright 2010 Times Publishing Company
,tax,spend,make,taxpayer,Obama,economy,propose,new,bank,independent,break,domestic,sound,remain,slow,business,next,economic,president,increase,energy,producer,infrastructure,good,point,money,invest,appear,may,future,project,oil,gas,investment,exist,car,idea,credit,expire,extend,rate,cut,growth,Congress,Democratic,Tax_Foundation,leader,worried,go,happen,nation,lose,faith,fix,unusually,uncertain,federal,reserve,boss,ben,bernanke,characterize,outlook,ago,step,public,appearance,campaign,season,give,hunger,stability,predictability,instead,unsettled,climate,little,round,vague,irrational,election,partisan,solidarity,billion,stimulus,beginning,crack,sen,lot,unspent,use,partnership,add,deficit,thing,seem,gimmick,expense,member
,15,5,5,5,5,4,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"September 25, 2010 Saturday",51 of 65 DOCUMENTS,The Tampa Tribune (Florida),New rules will make it easier to rack up frequent-flier miles,"TED JACKOVICS, tjackovics@tampatrib.com",BUSINESS; Pg. 1,,314 words,,,"October 6, 2010",ENGLISH,,,,,,Newspaper,Copyright 2010 Times Publishing Company
,Tampa,flight,American_Airlines,frequent_flier,airways,British,London,British_Airways,claim,program,service,jackovics,tampatrib.com,fly,change,mile,trip,traveler,make,passenger,award,choose,travel,week,American,Carson,count,credit,tjackovics,people,soon,benefit,regulatory,allow,connect,destination,head,negotiation,along,airlines,alliance,obtain,antitrust,immunity,july,enable,offer,coordinate,current,plane,leg,new,place,october,november,whichever,suit,company,arrangement,employee,sign,contract,handle,air,development,announce,increase,nonstop,five,seven,beginning,march,daily,encourage,business,percent,flier,originate,leisure,reporter,ted,reach,813,copyright,©,2010,may,republish,without,permission,library,TED,TAMPA,European,Iberia,Oneworld,Greece,London_Greece,Trudy_Carson
,6,5,5,5,4,4,4,4,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"September 27, 2010 Monday",52 of 65 DOCUMENTS,The Tampa Tribune (Florida),LETTERS,,LOCAL NEWS; Pg. 17,,580 words,,,"October 6, 2010",ENGLISH,,,,,,Newspaper,Copyright 2010 Times Publishing Company
,job,rail,light,create,nuclear,U.S.,building,government,9/11,sept,party,Iran,question,round,construction,line,around,commercial,service,keep,option,continue,attack,president,sanction,may,crist,senate,march,reporter,U.N.,Marco_Rubio,Tampa_Tribune,debate,easy,become,confused,someone,exactly,return,chamber,annual,benchmarking,trip,visit,answer,firsthand,hillsborough,need,hire,worker,contract,engineer,potentially,span,duration,six,complete,real,estate,develop,residential,pop,station,many,point,retail,position,shop,restaurant,richer,climate,competitive,market,voting,countywide,transportation,future,p.,baumann,jr.,tampa,open,leader,demonstrate,bizarre,erratic,behavior,accuse,engineering,ahmadinejad,tell,stage,nation,world,allow,madman,weapon,assure
,7,6,5,5,4,4,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"October 3, 2010 Sunday",53 of 65 DOCUMENTS,The Tampa Tribune (Florida),We just need a snarling psychic marsupial,"Mike Winter, Pop and Circumstance",GETAWAY; Pg. 1,,542 words,,,"October 18, 2010",ENGLISH,,,,,,Newspaper,Copyright 2010 Times Publishing Company
