PUBLISHED_DATE,DOCUMENTS_INDEX,PUBLISHER,TOPIC,BYLINE,SECTION,SOURCE,LENGTH,DATELINE,SUMMARY,LOAD_DATE,LANGUAGE,CORRECTION_DATE,CORRECTION,GRAPHIC,TYPE,DOCUMENT_TYPE,PUBLISH_TYPE,COPYRIGHT
"March 30, 2008 Sunday",2 of 140 DOCUMENTS,The Tampa Tribune (Florida),Lawmakers Can't Hide From Climate Change,PAM MCVETY And ELLIE WHITNEY,COMMENTARY; Pg. 3,,720 words,,,"April 9, 2008",ENGLISH,,,,,,Newspaper,Copyright 2008 Times Publishing Company
,climate,change,reduction,emission,science,mandate,greenhouse_gas,legislator,governor,scientist,last,real,issue,let,mcvety,many,lead,threaten,stake,threat,serious,scientific,report,ice,sea,may,quickly,respond,billion,site,facility,goal,percent,2050,face,reason,understand,hope,know,really,think,world,help,write,Arctic,whitney,refuse,follow,curb,keep,voluntary,huge,gamble,family,community,enormous,matter,politics,group,"2,000",meteorologist,oceanographer,physicist,highly,qualified,review,literature,decade,november,plain,declare,largely,major,organization,whose,member,expertise,bear,directly,statement,effect,recent,papers,sheet,melting,faster,predict,summer,go,within,mit,state,grow,next,policy,technological,advance,combat,cost
"May 20, 2008 Tuesday",55 of 140 DOCUMENTS,The Tampa Tribune (Florida),LETTERS,,NATION/WORLD; Pg. 12,,1060 words,,,"June 5, 2008",ENGLISH,,,,,,Newspaper,Copyright 2008 Times Publishing Company
,president,world,war,upset,miss,new,time,party,democrat,Bush,Congress,tampa,go,may,control,big,bush,remark,obama,nation,appeasement,ii,elect,senator,enter,demand,talk,record,million,hear,republican,evil,conservative,policy,lead,tax,propose,downtown,wait,last,pride,regard,anyone,do,long,recent,peace,speak,end,congress,without,presidential,hold,right,people,race,vote,continue,change,majority,gas,health,lose,service,percent,gop,denial,find,maybe,voter,three,seat,gun,every,cartoon,liberal,care,veterans,arrogance,pass,income,spend,choose,lobbyist,Barack_Obama,America,John_McCain,Iraq,Mississippi,project,dream,night,friend,visit,show,boom,beginnings,bay,history
,8,6,6,6,6,5,5,5,5,5,5,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1
"June 6, 2008 Friday",56 of 140 DOCUMENTS,The Tampa Tribune (Florida),Practical Steps To Safeguard Florida From Global Warming,,NATION/WORLD; Pg. 14,,562 words,,,"June 18, 2008",ENGLISH,,,,,,Newspaper,Copyright 2008 Times Publishing Company
,state,water,coastal,global,warming,recommendation,scientist,rise,storm,reef,economy,report,prepare,protect,minimize,development,photo,Florida,flood,higher,temperature,coral,marine,weather,prediction,increase,find,sea,include,regardless,public,area,natural,buffer,insurance,encourage,ocean,credit,Floridians,correct,outlook,grim,seas,wash,away,beach,marshland,leave,community,expose,surge,saltwater,intrusion,ruin,municipal,supplies,kill,spread,disease,plague,intense,drought,severe,fluctuation,always,accompany,degree,skepticism,foolish,simply,ignore,warning,sign,already,experience,1960,concentration,atmosphere,cause,become,acidic,likely,contribute,bleach,underpin,warmer,enable,mangrove,rarely,north,expand,thus,importance,practicality,coalition,environmental,group,organization,offer
,9,6,5,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"September 21, 2008 Sunday",58 of 140 DOCUMENTS,The Tampa Tribune (Florida),Where Do Candidates Stand On The Issues?,,NATION/WORLD; Pg. 11,,3180 words,,,"September 23, 2008",ENGLISH,,,,,,Newspaper,Copyright 2008 Times Publishing Company
,support,percent,federal,tax,poll,obama,mccain,americans,favor,pay,oppose,accord,money,state,plan,billion,find,increase,president,propose,drilling,presidential,public,vote,think,bill,gas,fund,cost,government,credit,marriage,McCain,candidate,abortion,restriction,raise,homeowner,insurance,give,research,Iraq,ban,legal,law,spend,million,help,make,cut,war,oil,everglade,gun,take,friday,campaign,accept,family,2007,open,penalty,mortgage,energy,include,warming,coverage,worker,Gallup,U.S.,issue,constitutional,amendment,force,troop,limit,apply,lobbyist,financing,refuse,april,price,program,opinion,measure,ease,community,mandate,financial,crisis,school,offshore,global,greenhouse,emission,people,border,income,Obama
,27,27,26,26,23,22,19,18,16,15,14,13,12,12,12,11,10,10,10,10,10,9,9,9,9,9,9,8,8,8,8,8,8,7,7,7,7,7,7,7,7,7,6,6,6,6,6,6,6,6,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
"November 30, 2008 Sunday",60 of 140 DOCUMENTS,The Tampa Tribune (Florida),Cleaner Florida Cars Make Good Sense,"DAVID GUEST, Special to the Tribune",VIEWS; Pg. 5,,659 words,,,"December 2, 2008",ENGLISH,,,,,,Newspaper,Copyright 2008 Times Publishing Company
,car,cleaner,Florida,proposal,standard,vehicle,cut,emission,energy,make,new,technology,photo,Crist,crist,efficient,percent,automobile,model,revolution,tribune,take,step,vote,charlie,run,know,tailpipe,global,warming,floridian,require,instead,state,use,hear,lobbyist,industry,consider,estimate,cost,less,planet,leader,ready,let,plan,push,automaker,tuesday,chance,major,forward,toward,independence,gov,people,pollution,main,culprit,vulnerable,rise,sea,level,powerful,hurricane,sense,we,something,sooner,rather,later,governor,heart,matter,create,incentive,2012,2016,carbon,dioxide,passenger,light,truck,work,important,place,start,individual,meet,average,sell,emergency,service,military,exempt,efficiency,requirement,expect
,13,7,7,5,5,5,4,4,4,4,4,4,4,4,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"February 5, 2008 Tuesday",67 of 140 DOCUMENTS,The Tampa Tribune (Florida),OBITUARIES,,METRO; Pg. 6,,3921 words,,,"January 17, 2009",ENGLISH,,,,,,Newspaper,Copyright 2008 Times Publishing Company
,february,2008,Tampa,survive,service,family,p.m.,may,daughter,pass,husband,away,friend,grandchild,make,member,place,take,wife,brother,a.m.,sister,home,funeral,die,bear,wednesday,child,son,loving,n.,mother,thursday,serve,january,include,church,ave.,follow,nephew,fla,retire,survivor,memorial,lieu,flower,donation,love,receive,813,niece,n.j.,Temple_Terrace,three,view,life,resident,jr.,e.,ave,many,stanford,grand_children,Garden,James,contribution,miss,granddaughter,precede,ol,care,pa.,sunday,five,great_grandchildren,John,Maxine,Ruskin,six,visitation,sign,death,celebration,word,comfort,express,always,parent,lake,interment,chapel,hospice,gonzalez,gordon,s.,highway,give,special,never
,46,46,40,25,21,21,19,18,17,17,17,16,16,15,14,14,13,12,12,12,11,11,11,11,10,10,10,10,10,10,9,9,9,8,8,8,8,8,8,8,7,7,7,7,7,7,7,7,7,7,7,7,7,6,6,6,6,6,6,6,6,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
"February 28, 2008 Thursday",68 of 140 DOCUMENTS,The Tampa Tribune (Florida),"Not Too Hot, Not Too Cold, Plant City Is Just Right","JAN HOLLINGSWORTH, The Tampa Tribune",NATION/WORLD; Pg. 1,,1530 words,,,"March 10, 2008",ENGLISH,,,PHOTO 8 CHART MAP,,,Newspaper,Copyright 2008 Times Publishing Company
,berry,strawberry,lot,parking,winter,Plant_City,family,grow,plant,crop,production,photo,area,fruit,world,industry,acre,require,school,festival,Hillsborough_County,Florida,produce,county,p.m.,ticket,climate,time,eastern,late,city,back,show,use,field,replace,right,purchase,gate,admission,concert,seat,tribune,make,special,queen,crowned,town,prepare,pay,annual,map,today,run,war,perfect,capital,ever,percent,farm,dover,land,place,freeze,president,fragile,railroad,record,ship,state,center,shift,labor,child,public,schedule,hillsborough,summer,operation,cent,per,quart,cover,straw,later,threat,acreage,"6,000",earn,large,train,1930,provide,technology,preserve,remain,cold,second,business
,24,15,15,14,10,10,7,7,6,6,6,6,5,5,5,5,5,5,5,5,5,5,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"August 27, 2008 Wednesday",71 of 140 DOCUMENTS,The Tampa Tribune (Florida),Time Ripe For Berries,"JAN HOLLINGSWORTH, The Tampa Tribune",PLANT CITY; Pg. 10,,1519 words,,,"September 12, 2008",ENGLISH,"September 10, 2008",Two photographs that appeared in the Aug. 27 edition of the Plant City Courier & Tribune showed fields planted in tomatoes. The photo captions said they were planted in a different crop.,,,,Newspaper,Copyright 2008 Times Publishing Company
,photo,berry,field,methyl,plant,grow,bromide,credit,tribune,Grooms,acre,produce,soil,grower,farm,grocery,use,strawberry,plastic,last,find,another,fumigant,file,Williford,farmer,way,variety,new,chemical,conventional,food,iodide,need,fight,Florida,GREG,world,row,go,weed,crop,long,make,yet,market,local,fumigate,layer,production,try,organic,cost,bring,scientist,worker,apply,face,chain,consumer,Campbell,time,sheet,feed,tomatoe,among,cover,earth,ground,red,early,sweet,succulent,festival,follow,firm,conducive,shipping,later,store,tractor,soon,constant,seal,freshly,sterilize,noxious,spore,seed,fungus,substitute,threat,alternative,double,call,product,plan,test,promise
,24,21,13,10,9,8,8,8,8,8,7,7,7,7,7,6,6,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"December 14, 2008 Sunday",73 of 140 DOCUMENTS,The Tampa Tribune (Florida),Crist Will 'Fight For Florida',"CATHERINE DOLINSKI, cdolinski@tampatrib.com",LOCAL NEWS; Pg. 16,,1220 words,,,"December 17, 2008",ENGLISH,,,,,,Newspaper,Copyright 2008 Times Publishing Company
,think,Florida,people,right,state,know,thing,go,feel,important,continue,economy,billion,budget,way,fund,reflect,challenge,last,week,2008,2009,take,job,still,million,have,public,mean,look,spot,call,time,priority,able,floridian,lot,support,project,many,love,Carole,tampatrib.com,gov,trade,spend,much,fight,provide,economic,criticize,less,q.,land,speaker,pass,confidence,integrity,realize,life,appear,may,dark,challenging,marry,point,view,yet,tougher,legislative,service,among,live,within,emission,need,lawmaker,industry,plug,shortfall,fiscal,next,ought,suggest,help,input,issue,whether,plan,track,liability,proposal,though,change,perspective,worthy,hurt,percent,Tampa_Tribune
,15,11,9,5,5,5,5,5,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"January 4, 2008 Friday",74 of 140 DOCUMENTS,The Tampa Tribune (Florida),Area Ready To Catch Lacrosse Fever,"CHRIS ERRINGTON, Tribune correspondent",PASCO; Pg. 1,,579 words,,,"January 16, 2008",ENGLISH,,,,,,Newspaper,Copyright 2008 Times Publishing Company
,team,championship,champion,tournament,defend,Gross,sport,national,make,bracket,champ,weekend,represent,play,game,Pasco_County,Canada,Florida,correspondent,goods,know,high,school,lacrosse,official,difficult,reach,back,favorite,compete,although,state,three,pool,saturday,northern,p.m.,photo,Dick,Tampa_Tribe,Wesley_Chapel_District_Park,U.S.,Edge,tourney,hold,sale,public,relation,manager,spokesman,event,problem,eager,provide,solution,boy,beginning,qualify,complete,change,need,start,date,many,finalize,plan,able,give,time,raise,fund,move,january,find,location,warm,climate,thankfully,line,four,rise,include,local,edge,senior,elite,recent,temperature,visit,feel,though,pa.,last,site,hope,permanent,home,field,along
,15,6,6,5,5,5,4,4,4,4,4,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"January 18, 2008 Friday",81 of 140 DOCUMENTS,The Tampa Tribune (Florida),Date Change Should Benefit Outback's April Tournament,"MICK ELLIOTT, The Tampa Tribune",SPORTS; Pg. 10,,275 words,,,"January 31, 2008",ENGLISH,,,,,,Newspaper,Copyright 2008 Times Publishing Company
,think,season,move,we,Florida,champion,tour,golf,consecutive,swing,stop,week,event,way,time,condition,lot,good,Tampa_Tribune,Outback_Steakhouse,Pro_Am,elliott,fan,expect,senior,warm,february,include,need,slight,adjustment,remain,little,different,route,start,tournament,feb,feb.,late,march,previous,date,april,schedule,president,part,probably,perfect,give,flexibility,daylight,course,firmer,faster,positive,plague,poor,weather,past,find,improve,climate,greater,appeal,celebrity,competitor,however,question,buzz,create,later,immediately,follow,master,concerned,timing,people,watch,excited,hurt,enhance,copyright,©,2008,may,republish,without,permission,library,tampatrib.com,MICK,TAMPA,four_week,TPC,Tampa_Bay,early_season,Hawaii,Champions_Tour
,4,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"January 27, 2008 Sunday",82 of 140 DOCUMENTS,The Tampa Tribune (Florida),SHOP AND SAVE THE WORLD,"RUSSELL RAY, The Tampa Tribune",BUSINESS; Pg. 7,,1381 words,,,"February 9, 2008",ENGLISH,,,,,,Newspaper,Copyright 2008 Times Publishing Company
,store,energy,Wal_Mart,retailer,company,million,Publix,use,percent,light,bulb,environment,cut,truck,save,product,reduce,green,program,publix,environmentally,ton,electricity,cost,package,fluorescent,photo,Mills,help,power,retail,fuel,environmental,new,go,routine,design,compact,good,Case,Patten,reduction,effort,line,less,savings,big,amount,keep,require,friendly,customer,greenwashing,claim,sell,consumption,we,older,cooler,door,open,gas,efficiency,mile,week,recycl,plan,typical,2007,tribune,high_efficiency,make,beef,ray,experiment,conserve,inc.,need,delivery,many,increase,people,supplier,better,plastic,example,transportation,lighting,look,conscious,guilty,six,find,every,case,location,2001,643,kilowatt
,18,15,14,10,9,9,9,8,8,8,8,7,7,7,7,7,7,7,6,6,6,6,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"February 7, 2008 Thursday",85 of 140 DOCUMENTS,The Tampa Tribune (Florida),2 Districts Limit Athlete Transfers,"MARILYN BROWN, The Tampa Tribune",NATION/WORLD; Pg. 1,,1490 words,TAMPA,,"February 19, 2008",ENGLISH,,,CHART,,,Newspaper,Copyright 2008 Times Publishing Company
,school,student,district,transfer,rule,athletic,boundary,policy,parent,sit,appeal,eligibility,high,play,move,state,Miami_Dade,Brevard,athlete,committee,Hester,coach,team,require,tell,every,kid,athletics,principal,Florida,take,championship,go,attend,outside,new,hear,may,choice,home,stay,way,switch,time,enter,ninth,grade,people,special,sport,plan,scholarship,competition,make,member,reason,board,Tampa_Tribune,FHSAA,fair,equitable,change,brown,official,find,free,county,lose,still,lie,sure,line,senior,director,liberal,program,eligible,assignment,many,player,put,deny,somebody,suppose,issue,florida,balance,everyone,six,approve,family,another,reward,address,live,recruiting,fix,have,other
,39,17,15,15,12,11,10,9,9,9,9,7,7,7,7,7,7,7,6,6,6,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"February 8, 2008 Friday",86 of 140 DOCUMENTS,The Tampa Tribune (Florida),BUSINESS BRIEFS,A staff and wire report,BUSINESS; Pg. 1,,436 words,,,"February 21, 2008",ENGLISH,,,,,,Newspaper,Copyright 2008 Times Publishing Company
,company,valve,paper,consumer,deposit,heart,glass,chapter,bankruptcy,protection,may,lay,employee,plan,newspaper,move,edition,thursday,operation,editor,borrowing,slow,make,home,technology,check,use,business,replacement,human,child,report,a.m.,all_Internet,bay,area,longtime,tampa,distributor,file,notify,state,113,todd,elozory,general,manager,hope,reorganize,approve,survive,rehire,hurt,downturn,residential,housing,market,afternoon,april,announce,prominence,daily,senior,publisher,produce,free,print,job,cut,program,1983,change,necessary,keep,viable,face,decline,circulation,increase,december,slowest,pace,eight,additional,evidence,economic,activity,significantly,end,last,2007,credit,rise,fastest,clip,three,online,banking,service
,6,5,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"February 23, 2008 Saturday",91 of 140 DOCUMENTS,The Tampa Tribune (Florida),Physicians Group Gains Support,"MARINELLA MOZZICATO, Tribune correspondent",NORTHEAST; Pg. 6,,344 words,,,"March 5, 2008",ENGLISH,,,,,,Newspaper,Copyright 2008 Times Publishing Company
,chapter,Ringenberg,doctor,physician,nuclear,member,student,Tampa,PSR,form,result,testing,health,people,establish,Florida,USF,Social_Responsibility,PSR_Tampa_Bay,correspondent,nearly,ago,help,find,trace,radioactive,waste,child,tooth,atmospheric,1963,recognize,impact,weapon,public,really,organization,energize,bring,together,pediatrician,neurosurgeon,discover,"1,500",register,psr,state,similar,value,close,hold,event,6:30,p.m.,tuesday,college,author,man,speak,diplomacy,ringenberg,six,professor,department,pediatrics,main,goal,educate,danger,war,climate,change,group,base,office,downtown,tampa,although,found,third,"32,400",nation,remainder,professional,citizen,concerned,issue,join,long,well,medical,able,focus,way,improve,environment,campus,install,light
,6,5,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"March 1, 2008 Saturday",93 of 140 DOCUMENTS,The Tampa Tribune (Florida),Happiness Is A Personal Choice,"LYN ROCHE, Tribune correspondent",4YOU; Pg. 11,,590 words,,,"March 12, 2008",ENGLISH,,,,,,Newspaper,Copyright 2008 Times Publishing Company
,live,upstairs,can,keep,help,make,control,attitude,lyn,apartment,damp,complain,know,elderly,mother,may,life,new,still,involved,move,mom,july,health,downstairs,call,basement,window,humidity,bedroom,many,love,go,family,however,certainly,loss,part,depression,have,pet,caring,become,view,other,lovin,California,correspondent,dear,beloved,1957,needless,climate,shock,otherwise,great,fix,place,lake,whole,front,huge,dehumidifier,indicator,room,run,normal,low,find,couch,morning,swear,sleep,etc,carpete,cozy,floor,hardwood,cool,cold,try,ignore,happy,back,suggest,happiness,personal,choice,member,young,healthy,everything,adjustment,period,likely,homesick,frustrated,change,probably
,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"March 6, 2008 Thursday",95 of 140 DOCUMENTS,The Tampa Tribune (Florida),USA Softball On Farewell Tour,"JOE HENDERSON, The Tampa Tribune",SPORTS; Pg. 1,,875 words,,,"March 19, 2008",ENGLISH,,,,,,Newspaper,Copyright 2008 Times Publishing Company
,team,softball,game,reason,vs.,include,make,go,take,can,today,field,competition,olympic,gold,medal,think,political,clearwater,decision,tournament,know,usa,feel,do,adult,child,senior,6:30,8:30,leave,United_States,Beijing,celebrate,athlete,woman,national,eliminate,stance,least,almost,drop,summer,may,though,turn,dominate,every,start,although,continue,international,2012,top,2004,athen,might,bound,popular,something,helpless,bad,usf,invitational,usfseries.com,admission,weekend,pass,schedule,p.m.,exit,right,photo,credit,getty,Tampa_Tribune,Europe,USA,South_Florida,Armour,Images_Photo,tourney,begin,henderson,ambassador,salut,excellence,show,instead,certainly,list,follow,many,suggest,riding,wave,sentiment,reaction,war
,12,11,8,6,6,5,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"March 10, 2008 Monday",98 of 140 DOCUMENTS,The Tampa Tribune (Florida),LETTER,,NATION/WORLD; Pg. 12,,1097 words,,,"March 22, 2008",ENGLISH,,,,,,Newspaper,Copyright 2008 Times Publishing Company
,noise,fuel,gas,tax,government,think,refuel,tanker,tank,fee,job,regard,march,billion,gallon,know,car,oil,MacDill,city,people,cost,company,tampa,new,map,time,we,hear,inventory,owner,full,something,Metro,Air_Force,Tampa,save,point,lower,correct,obviously,voter,maintain,service,little,take,energy,technologically,boe,military,require,never,percent,mission,life,emission,produce,aircraft,last,1996,massive,place,improvement,live,meeting,island,center,traffic,four,well,go,real,neighborhood,make,much,large,short,without,congress,help,talk,good,work,child,happy,state,Airbus,Florida,raising,poise,property,reform,revenue,mayor,iorio,raise,worker,laid,feel
,7,6,6,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1
"March 12, 2008 Wednesday",99 of 140 DOCUMENTS,The Tampa Tribune (Florida),Propagating Produce,"LIZ BLEAU, The Tampa Tribune",SOUTH SHORE; Pg. 10,,705 words,,,"March 26, 2008",ENGLISH,,,,,,Newspaper,Copyright 2008 Times Publishing Company
,grow,produce,organic,Shrump,use,greenhouse,hydroponic,system,tomatoe,photo,vegetable,farmer,meet,formula,several,black,farm,help,sell,along,fertilizer,variety,zucchini,restaurant,tomato,plant,start,bleau,make,find,seven,plan,success,seed,develop,food,lettuce,blueberry,strawberry,papaya,mangoe,although,unusual,color,flavorful,chef,upscale,work,broker,deadline,turn,home,seedling,need,room,mixture,different,three,pesticide,813,tampatrib.com,check,hold,elchin,Tampa_Tribune,Wimauma,Steve_Shrump,Heirloom_Organic_Farms,Florida,European,busy,ready,other,long,know,supplier,nation,fruit,hope,mark,world,agriculture,supply,begin,certified,department,mean,go,great,deal,trouble,sure,government,standard,label,adaptation,select,test,climate
,13,11,10,9,8,7,6,6,6,6,5,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"March 14, 2008 Friday",100 of 140 DOCUMENTS,The Tampa Tribune (Florida),Crist Should Kill Secretive CSX Deal To Send Signal About Transparency,,NATION/WORLD; Pg. 16,,804 words,,,"March 27, 2008",ENGLISH,,,,,,Newspaper,Copyright 2008 Times Publishing Company
,deal,state,rail,commuter,reason,CSX,DOT,governor,lawmaker,project,Orlando,Florida,crist,government,federal,fund,contract,influence,transportation,confidentiality,agreement,approve,plan,track,point,Lakeland,region,system,suggest,end,good,floridian,besides,need,shot,transit,give,grow,close,people,railroad,affect,community,another,sen,chair,call,mile,orlando,million,taxpayer,freight,report,train,time,make,part,process,private,dollar,firm,secure,secret,top,look,start,demand,Tampa_Bay,Polk_County,Crist,gov,charlie,kill,sweetheart,forget,building,believe,consider,can,renegotiate,question,red,herring,clout,delegation,reject,example,worst,strike,behind,door,tie,alone,back,away,qualified,support,remarkably,planner
,14,9,8,6,5,5,5,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"March 25, 2008 Tuesday",102 of 140 DOCUMENTS,The Tampa Tribune (Florida),"Trees, Shrubs Could Fall To Budget Ax","RICH SHOPES, The Tampa Tribune",NATION/WORLD; Pg. 1,,1133 words,,,"April 5, 2008",ENGLISH,,,,,,Newspaper,Copyright 2008 Times Publishing Company
,county,median,landscaping,state,maintenance,city,tree,shrub,maintain,hillsborough,chamber,agreement,business,give,u.s.,Riverview,road,mile,cut,hand,highway,interstate,avenue,Brandon,crepe,myrtle,save,cost,group,take,back,official,member,pay,upkeep,301,transportation,government,enter,landscape,plan,unless,think,photo,Florida,shope,amendment,willing,yank,tend,civic,association,commerce,least,unusual,hope,already,turn,try,duty,three,576,line,intersection,go,budget,director,action,whether,architect,hear,local,put,tampa,rule,step,sod,service,honor,flower,plant,help,park,area,tampatrib.com,tribune,MEDIAN,Tampa_Tribune,Commerce,Bloomingdale_Avenue,Gibsonton_Drive,U.S.,Ruskin,Valrico_Road,Beaumont_Center_Boulevard,Memorial_Highway,County_Road,Pasco_County,Nebraska
,14,11,10,10,8,8,7,7,7,6,6,6,6,5,5,5,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"April 29, 2008 Tuesday",107 of 140 DOCUMENTS,The Tampa Tribune (Florida),Tampa Creating Affordable Housing Board,Ellen Gedalius,METRO; Pg. 4,,218 words,,,"May 12, 2008",ENGLISH,,,,,,Newspaper,Copyright 2008 Times Publishing Company
