PUBLISHED_DATE,DOCUMENTS_INDEX,PUBLISHER,TOPIC,BYLINE,SECTION,SOURCE,LENGTH,DATELINE,SUMMARY,LOAD_DATE,LANGUAGE,CORRECTION_DATE,CORRECTION,GRAPHIC,TYPE,DOCUMENT_TYPE,PUBLISH_TYPE,COPYRIGHT
"October 21, 2013 Monday",1 of 141 DOCUMENTS,The Tampa Tribune (Florida),Cold spell near? Geologist digs deeper on climate change,FRANK WILSON; The Philadelphia Inquirer,NATION & WORLD; Views; Pg. 15,,769 words,,,"October 21, 2013",ENGLISH,,,,,,Newspaper,Copyright 2013 Times Publishing Company                               All Rights Reserved
,period,cold,change,climate,report,global,temperature,well,last,long,Peters,increase,confidence,model,half,thing,trend,data,point,ice,make,much,place,book,call,peter,geologist,note,warm,end,Europe,panel,mean,warming,low,regard,dring,summary,accord,lack,knowledge,really,computer,evidence,planet,little,couple,million,bitter,brief,warmth,interval,begin,yard,quite,Climate,smercornish,column,front,forecast,seem,cloudiness,least,impression,rational,observer,latest,intergovernmental,true,declare,high,reproduce,general,feature,annual,surface,historical,include,second,20th,century,appear,remain,confident,chapter,express,sign,magnitude,and,or,frequency,flood,scale,observe,severe,weather,phenomena,hail,thunderstorm
,ozone,hole,average,scientist,air,september,temperature,record,man_made,Newman,Butler,high,shrink,percent,warm,upper,1990,degree,globe,cloud,chlorine,cookie,global,wednesday,worse,can,last,South_Pole,NASA,Pac_Man,credit,altitude,october,help,near,ever,slightly,area,atmosphere,low,concentration,normally,largest,time,cover,8.1,million,square,mile,season,smaller,concern,shield,earth,ultraviolet,radiation,chief,atmospheric,a.,main,reason,result,local,weather,almost,lower,normal,southernmost,region,lead,fewer,polar,stratospheric,bromine,product,nibble,away,watch,eat,atom,director,monitor,division,new,figure,sort,encourage,news,good,sign,stop,late,add,yet,recovery,tell,whether,change,related
,8,5,5,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"February 25, 2013 Monday",43 of 141 DOCUMENTS,The Tampa Tribune (Florida),Advancing the case for fiscal liberalism,"JASON WILSON, Special to The Tampa Tribune",VIEWS & NEWS; Pg. 13,,900 words,,,"February 27, 2013",ENGLISH,,,,,,Newspaper,Copyright 2013 Times Publishing Company                               All Rights Reserved
,fiscal,liberalism,social,individual,liberal,middle,class,without,waste,tax,policy,support,conservatism,growth,economic,president,instead,conservative,dollar,use,government,create,debt,subsidy,cut,understand,sound,demonstrate,imply,somehow,make,monetary,public,case,fairness,turn,opportunity,base,republican,advocate,big,business,large,issue,health,care,equality,gun,control,climate,change,solution,avoid,medical,illness,burden,price,love,country,take,child,future,real,hillsborough,must,recently,domestic,partner,registry,help,effort,democrat,budget,service,city,sign,division,Tampa_Tribune,Obama,top_down,oratory,inauguration,state,address,describe,unapologetically,however,advancing,serious,progressive,philosophy,struggle,namely,closely,knit,concept,depend,upon,another
,14,11,7,6,5,5,5,5,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"April 21, 2013 Sunday",44 of 141 DOCUMENTS,Tampa Tribune (Florida),United States needs to fixits flawed disaster plan,"DAVID R. CONRAD, Special to the Los Angeles Times",VIEWS & NEWS; Pg. 3,,834 words,,,"April 22, 2013",ENGLISH,,,,,,Newspaper,Copyright 2013 Times Publishing Company                               All Rights Reserved
,government,disaster,federal,community,way,natural,billion,flood,policy,reduce,go,loss,make,development,incentive,insurance,standard,goal,spend,better,take,cost,area,building,rebuild,victim,assistance,program,Sandy,respect,conrad,reform,life,americans,bill,relief,effort,estimate,forward,decade,act,although,change,may,major,plan,mitigation,implement,measure,save,next,taxpayer,little,risk,continue,offer,future,ensure,help,hazard,management,available,minimum,system,safe,money,support,Los_Angeles_Times,Hurricane_Katrina,natural_hazard,flood_plain,special,highest,fiscal,idea,fit,improve,respond,grow,number,become,increasingly,costly,term,toll,direct,mount,response,150,far,committed,superstorm,best,neighborhood,constant,dollar,less,ago,account
,14,14,11,6,5,5,5,5,5,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"July 11, 2013 Thursday",46 of 141 DOCUMENTS,The Tampa Tribune (Florida),Rail disaster and Keystone XL,,NATION & WORLD; Views; Pg. 12,,531 words,,,"September 24, 2013",ENGLISH,,,,,,Newspaper,Copyright 2013 Times Publishing Company                               All Rights Reserved
,pipeline,oil,rail,train,tragedy,environmental,much,crude,people,increase,Canadian,Lac_Megantic,Keystone,disaster,explosion,think,carry,least,number,official,victim,police,spill,river,yet,alternative,go,little,use,threat,stop,keystone,fossil,fuel,climate,change,nation,U.S.,saturday,human,give,president,opponent,derailment,destroy,incinerating,dozen,building,force,evacuation,"1,000",fatality,uncertain,fifteen,confirm,dead,estimate,miss,many,likely,identification,difficult,tell,news,find,burn,bone,addition,"26,000",gallon,chaudiere,flow,st,lawrence,rightly,bring,renew,scrutiny,campaign,deliver,gulf,port,project,depict,monster,heavily,regulate,sure,hardly,provide,safe,transport,columnist,point,account,half,spillage,railway,basis
,9,7,4,4,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"October 17, 2013 Thursday",48 of 141 DOCUMENTS,The Tampa Tribune (Florida),We need rational discussion,,METRO; Pg. 5,,1528 words,,,"October 17, 2013",ENGLISH,,,,,,Newspaper,Copyright 2013 Times Publishing Company                               All Rights Reserved
,work,community,issue,move,country,opportunity,particularly,need,people,believe,little,center,everywhere,change,area,county,every,interested,make,politician,look,lead,realize,time,board,management,rare,world,company,many,regulation,may,fairly,longer,process,right,try,reader,concerned,think,take,grant,common,Pinellas,column,bryce,ago,watch,grow,small,road,major,boulevard,swampland,quiet,town,large,bedroom,shopping,sprung,best,school,plant,undergone,several,name,back,real,ranch,radically,densely,populate,transformation,bring,challenge,variety,immediate,ongoing,deserve,thoughtful,discussion,find,week,taxpayer,parent,educational,child,safety,citizen,pinellas,thrive,business,place,live,play,average,joe,care,yes
,14,8,8,6,6,6,6,6,6,6,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"January 30, 2013 Wednesday",52 of 141 DOCUMENTS,The Tampa Tribune (Florida),"Huge chunkof Highlands, DeSoto for sale","WILLIAM MARCH, Tribune staff",METRO; Pg. 5,,424 words,,,"February 1, 2013",ENGLISH,,,,,,Newspaper,Copyright 2013 Times Publishing Company                               All Rights Reserved
,sale,company,future,Alexander,Atlantic_Blue,Alico,acre,former,plan,sell,land,department,corridor,area,development,announcement,"65,000",path,state,county,citrus,grove,identify,transportation,highway,south,toll,road,serve,include,write,along,ceo,current,change,tax,law,tell,asset,2013,tampatrib.com,Highlands,DeSoto,march,tribune,staff,link,sen,jd,alexander,much,cattle,pasture,run,north,east,idea,criticize,resident,contribute,sprawl,support,other,parkway,need,formerly,chairman,powerful,budget,committee,deny,push,legislator,suggest,return,call,comment,tuesday,engage,commercial,real,estate,service,firm,manage,describe,spokesman,extend,mile,border,"40,500",ranch,related,grow,agricultural,empire,build,grandfather,legendary
,5,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"November 2, 2013 Saturday",56 of 141 DOCUMENTS,The Tampa Tribune (Florida),VA workers train to deal with unruly clientele; Patient mortally shot last week a first for 80-year-old Bay Pines,HOWARD ALTMAN AND STEPHEN THOMPSON; Tribune staff,NATION & WORLD; NationWorld; Pg. 1,,3053 words,,,"November 2, 2013",ENGLISH,,,,,,Newspaper,Copyright 2013 Times Publishing Company                               All Rights Reserved
,Young,van,accord,Bay_Pines,room,police,employee,report,wife,hospital,deputy,hear,system,young,die,cancer,lobby,work,VA,Sam_Brooks,investigation,take,act,go,incident,assault,person,couple,find,bedroom,patient,Musgrove,medical,emergency,record,request,FBI,center,domestic,arrest,tell,friend,veterans,treat,make,president,respond,door,disorderly,conduct,obtain,force,spokesman,use,safety,neighbor,state,husband,break,drunk,training,response,type,shot,shoot,every,tribune,freedom,information,train,violence,p.m.,oct.,event,four,union,represent,nearly,lock,inside,sometimes,across,drill,result,likely,deadly,mobile,home,seem,troubled,office,man,custody,psychiatric,evaluation,baker,way,daughter,recently
,28,25,23,20,19,19,15,14,14,13,12,12,11,10,10,10,10,10,10,10,9,9,9,8,8,8,8,8,8,8,8,8,7,7,7,7,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
"October 16, 2013 Wednesday",61 of 141 DOCUMENTS,The Tampa Tribune (Florida),Justices will review EPA's global warming rules; Court to decide how far agency's authority extends,The Associated Press,NATION & WORLD; NationWorld; Pg. 22,,333 words,WASHINGTON,,"October 16, 2013",ENGLISH,,,,,,Newspaper,Copyright 2013 Times Publishing Company                               All Rights Reserved
,gas,EPA,administration,global,warming,power,plant,regulation,rule,factory,whether,emission,authority,2007,Supreme_Court,review,plan,justice,federal,appeal,six,question,case,automobile,greenhouse,air,stem,climate,decision,v.,conclude,use,source,president,exist,pollution,pass,Obama,Massachusetts,Congress,curb,agree,tuesday,decide,block,key,aspect,aim,cut,blame,unanimous,court,upheld,government,unprecedented,regulate,pollutant,apply,argue,early,2014,change,hinge,limit,vehicle,later,release,endangered,human,health,welfare,find,extend,beyond,large,stationary,give,next,summer,propose,largest,unregulated,decline,take,larger,pose,include,epa,overturn,work,2011,landmark,act,sign,1970,control,fierce,criticism,republican
,6,6,5,4,4,4,4,4,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"December 17, 2013 Tuesday",65 of 141 DOCUMENTS,The Tampa Tribune (Florida),"Fidel Castro in 'excellent health,' journalist says; Ex-leader's well-being questioned when he didn't comment on Mandela's death",The Associated Press,NATION & WORLD; NationWorld; Pg. 3,,270 words,HAVANA,,"December 17, 2013",ENGLISH,,,,,,Newspaper,Copyright 2013 Times Publishing Company                               All Rights Reserved
,Castro,Ramonet,photo,president,alert,speak,current,event,last,monday,former,health,leave,hand,ramonet,friday,climate,find,everything,Venezuelan,healthy,reporter,½,hour,week,journalist,discussion,appear,official,media,speculation,fuel,comment,publicly,death,close,ally,thanks,back,fighter,battle,force,support,previous,african,government,1980,show,seat,wear,blue,sweatsuit,look,intensely,writer,gesture,website,cubadebate,take,discuss,wide,range,topic,include,politics,change,excellent,good,mood,physically,mentally,psychologically,power,suffer,serious,intestinal,bleed,2006,duty,brother,raul,write,extensively,late,die,cancer,interested,environment,crisis,interest,top,lot,19th,anniversary,leader,meeting,clear,forget,maintain
,6,4,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"March 12, 2013 Tuesday",68 of 141 DOCUMENTS,The Tampa Tribune (Florida),SECTION: VIEWS & NEWS; Pg. 10,,,,850 words,,,"March 14, 2013",ENGLISH,,,,,,Newspaper,Copyright 2013 Times Publishing Company                               All Rights Reserved
,ticket,care,people,article,state,hospital,rate,percent,per,new,go,president,unemployment,job,give,client,help,weather,warming,period,know,governor,health,provide,Dobson,regard,march,include,work,week,lowest,actually,"236,000",need,pick,note,claim,we,sale,have,sport,event,business,team,past,away,scalper,buc,fan,certainly,enjoy,unprecedented,another,study,show,fossil,specific,without,figure,lie,reality,trap,believe,federal,pay,cost,expansion,accept,plan,law,insurance,medicaid,money,option,fund,compensate,along,Tampa_Tribune,Associated_Industries,Florida,jobless,low,front,page,economy,disservice,reader,official,fact,7.7,worker,little,hour,although,december,2008,labor,force,participation
,9,7,6,5,5,5,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"December 27, 2013 Friday",70 of 141 DOCUMENTS,The Tampa Tribune (Florida),SECTION: FRIDAY EXTRA; Pg. 16,,,,1584 words,,,"December 27, 2013",ENGLISH,,,,,,Newspaper,Copyright 2013 Times Publishing Company                               All Rights Reserved
,813,sauce,Tampa,chicken,cheese,include,menu,pizza,make,wine,selection,shrimp,red,n.,try,cake,homemade,serve,choice,pepper,pork,soup,meal,salad,fry,lunch,small,fish,dinner,choose,start,another,order,sandwich,burger,eat,fresh,top,variety,beer,chocolate,cuisine,grill,lobster,garlic,good,list,white,side,w.,offer,chili,crab,mix,sure,dessert,entrée,cook,appetizer,along,feature,filet,go,dish,downtown,prepare,onion,sausage,barbecue,ave,black,perhaps,Peruvian,big,taste,solid,tapa,plato,mussel,saut,jumbo,tasty,steak,leave,finish,café,crust,ave.,style,option,long,specialty,roll,dip,seafood,best,nicely,st,new
,13,13,13,11,11,9,8,7,7,7,6,6,6,6,6,6,6,6,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"July 14, 2013 Sunday",88 of 141 DOCUMENTS,The Tampa Tribune (Florida),SECTION: GO!; Friday Extra; Pg. 7,,,,1419 words,,,"September 24, 2013",ENGLISH,,,,,,Newspaper,Copyright 2013 Times Publishing Company                               All Rights Reserved
,include,sauce,pizza,Tampa,chicken,menu,813,sandwich,cheese,make,salad,homemade,bar,prepare,shrimp,pie,list,enough,meal,roll,four,choice,steak,beef,mix,dessert,small,taste,selection,garlic,seafood,child,good,eat,cake,order,chocolate,wine,offer,along,beer,olife,roast,top,fresh,dinner,lobster,red,crust,pasta,serve,cook,choose,specialty,white,addition,entree,appetizer,favorite,dish,recommend,chili,another,sure,sushi,feature,stuff,really,pork,ham,turkey,tuna,hot,mushroom,green,bean,broccoli,carrot,bay,cream,option,blvd,size,big,solid,cuisine,tapa,plato,grill,saut,jumbo,tasty,leave,café,go,save,room,try,hit
,14,12,12,10,9,9,9,8,8,8,7,6,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"December 15, 2013 Sunday",89 of 141 DOCUMENTS,The Tampa Tribune (Florida),Add spice to your favorite cook's life; Cookbooks make a great present for food lovers,JEFF HOUCK; Tribune staff,BAYLIFE AND TRAVEL; Baylife; Pg. 5,,756 words,,,"December 15, 2013",ENGLISH,,,,,,Newspaper,Copyright 2013 Times Publishing Company                               All Rights Reserved
,recipe,suggest,food,take,cooking,find,make,book,cookbook,duck,24.99,chop,meat,eat,good,seasonal,dessert,butter,include,sweet,bakery,Irish,column,love,favorite,life,author,protein,world,way,cut,second,well,chef,island,delicious,vegetarian,irresistible,29.99,treat,think,vegan,reader,spiritual,baked,goods,great,Ten_Speed_Press,Kevin_Dundon,jeff,houck,lose,holiday,perfect,time,give,someone,break,usual,format,season,lover,wild,shaw,blog,hunter,angler,gardener,cook,fresh,approach,goose,today,forget,feast,americans,enjoy,free,shake,fist,notion,fat,enemy,breast,live,22.95,pork,finest,human,hope,pig,always,wise,choice,handle,third,taste,affordable,relative
,18,10,7,7,7,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"March 6, 2013 Wednesday",98 of 141 DOCUMENTS,The Tampa Tribune (Florida),"Claiming success, Scott charts new course","WILLIAM MARCH, Tribune staff",NATION/WORLD; Pg. 6,,1014 words,,,"March 11, 2013",ENGLISH,,,,,,Newspaper,Copyright 2013 Times Publishing Company                               All Rights Reserved
,teacher,Scott,state,raise,Florida,public,school,manufacturing,equipment,good,education,tax,expansion,performance,speech,proposal,take,reward,improve,work,job,care,may,result,war,make,exemption,House,face,opposition,address,gov,different,tone,office,invest,economy,pay,priority,"2,500",sale,decision,family,financially,child,think,money,federal,comment,approval,democrat,bench,still,past,mean,bad,better,move,special,president,have,hear,leadership,funding,we,include,tenure,student,begin,ago,increase,interest,produce,million,many,business,insurance,party,nothing,tampatrib.com,Medicaid,Rick_Scott,anti_tax,anti_spending,gop,colleague,march,tribune,staff,tuesday,rhetoric,speak,instead,overall,message,policy,succeed,revive,conservativechange
,14,12,11,7,6,5,5,5,5,5,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"May 12, 2013 Sunday",100 of 141 DOCUMENTS,The Tampa Tribune (Florida),Florida's economic recovery merits applause and caution,,VIEWS & NEWS; Pg. 2,,553 words,,,"May 13, 2013",ENGLISH,,,,,,Newspaper,Copyright 2013 Times Publishing Company                               All Rights Reserved
,state,growth,Florida,job,recession,rate,economic,challenge,gain,add,news,service,economy,area,housing,tax,opportunity,best,leader,need,transportation,2012,seem,number,people,good,accompany,many,must,gov,manufacturing,unemployment,metro,march,2013,increase,education,Rick_Scott,prospect,bright,crash,turn,world,warm,climate,low,air,combine,folk,move,emergency,pass,florida,resident,well,advise,think,accommodate,impressive,jettison,management,regulation,remember,rule,develop,prevent,runaway,generating,massive,bill,taxpayer,already,backlog,2010,rank,sixth,among,percentage,population,2.75,percent,larger,total,grow,distant,fourth,return,ensure,adequate,network,natural,resource,underpin,appeal,sacrifice,bottoming,serve,forceful,reminder
,11,7,7,6,5,5,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"June 16, 2013 Sunday",101 of 141 DOCUMENTS,The Tampa Tribune (Florida),"2 out of 3 people face hunger as Haiti woes mountAP Photo PAP301, PAP304, PAP305, PAP307, PAP306, PAP303, PAP302, PAP311, PAP310, PAP309, PAP308",The Associated Press,NationWorld; Pg. 0,,978 words,"BELLE ANSE, Haiti",,"September 25, 2013",ENGLISH,,,,,,Newspaper,Copyright 2013 Times Publishing Company                               All Rights Reserved
,Haiti,food,child,hunger,many,look,million,people,eat,decade,government,import,rice,Haitian,malnutrition,problem,country,percent,much,little,last,crop,sit,village,hurt,farmer,area,U.S.,Ganthier,home,mountain,coast,stomach,half,humanitarian,worker,stem,ravage,three,help,build,dollar,haitian,enough,today,can,limited,dring,follow,storm,political,decision,new,mother,dirt,hand,lose,goat,sell,hold,harvest,depend,buy,less,feed,capital,time,wage,tree,make,rainfall,pastor,bean,schoolhouse,foot,Mabriole,Hurricane_Sandy,Jean,hardship,abound,amid,stone,hut,along,southern,hair,turn,patchy,orangish,balloon,size,head,age,sign,town,official,fear,death,imminent
,13,9,6,5,5,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"July 7, 2013 Sunday",107 of 141 DOCUMENTS,The Tampa Tribune (Florida),"It's smooth sailing for Norwegian CEO [JUMP]Sheehan helps cruise line through economic hardship, image crisis; Sheehan helps cruise line through economic hardship, image crisis",The Miami Herald,BUSINESS; Pg. 1,,1007 words,,,"September 25, 2013",ENGLISH,,,,,,Newspaper,Copyright 2013 Times Publishing Company                               All Rights Reserved
,ship,Sheehan,Norwegian,company,cruise,new,travel,agent,line,take,make,experience,industry,passenger,epic,january,right,percent,do,improve,build,second,feature,restaurant,employee,trade,Norwegian_Cruise_Line,night,president,delivery,three,last,aboard,2010,try,work,contrast,past,problem,place,public,reputation,breakaway,tenure,economic,recession,bad,start,competitor,go,stock,price,hit,giant,increase,earning,customer,time,serious,poor,service,job,probably,entertainment,include,bathroom,six,team,communicate,nearly,marketing,France,CEO,Hawaii,Partners_First,look,ahead,late,april,celebrate,cocktail,party,difference,inaugural,recall,much,different,scene,previous,ready,debut,chase,thousand,frenchmen,symbolic,transition,previously,refer,undergone
,15,8,8,7,7,6,6,6,5,5,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"July 13, 2013 Saturday",109 of 141 DOCUMENTS,The Tampa Tribune (Florida),"Bob Van Sickler, retired exec",,NEIGHBORS/NORTH; Neighbors_N; Pg. 2,,555 words,,,"September 24, 2013",ENGLISH,,,,,,Newspaper,Copyright 2013 Times Publishing Company                               All Rights Reserved
,Tampa_Palms,answer,city,neighbor,club,plan,lot,community,choose,road,many,have,b.,downs,frog,Bruce,longtime,resident,life,decade,make,winter,development,early,better,great,continue,become,regret,disappointment,go,wildlife,critter,different,ohio,retiree,reflect,ago,week,chat,retire,general,electric,executive,former,president,wife,research,retirement,1992,trip,locale,provide,relief,itinerary,include,ala,en,route,unschedule,overnight,stop,prompt,explore,target,list,seek,endure,initial,enter,maturity,found,1986,move,village,today,compare,turn,hope,potential,start,together,solve,problem,sense,accomplishment,owner,association,efficient,management,team,maintain,lush,character,buy,improve,common,area,reduce
,12,5,4,4,4,4,4,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"July 20, 2013 Saturday",111 of 141 DOCUMENTS,The Tampa Tribune (Florida),SECTION: NEIGHBORS/TAMPA; Neighbors_S; Pg. 1,,,,329 words,,,"October 7, 2013",ENGLISH,,,,,,Newspaper,Copyright 2013 Times Publishing Company                               All Rights Reserved
,p.m.,ticket,n.,film,ballet,summer,Tampa_Theatre,thing,toy,annual,family,festival,enjoy,music,go,711,franklin,st,classic,series,story,call,813,green,screen,present,listing,section,today,yuletide,july,needy,kid,highlight,fourth,spell,backward,7:30,401,channelside,drive,winter,wonderland,experience,donation,new,donate,receive,game,immediately,follow,cool,giant,snow,slide,take,photo,food,ride,holiday,detail,metromin,org,sunday,moulin,magic,mcgregor,star,time,add,modern,movie,lineup,instant,hit,ago,feature,historical,along,popular,20th,century,general,admission,member,available,box,office,information,www.tampatheatre.org,thursday,second,continue,fierce,fire,live,planet,6:30,roosevelt
,4,4,4,4,4,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"July 23, 2013 Tuesday",112 of 141 DOCUMENTS,The Tampa Tribune (Florida),"As cable networks nose-dive, it's all Zimmerman, all the time",PETER DYKSTRA; The Sacramento Bee,NATION & WORLD; Views; Pg. 13,,813 words,,,"September 24, 2013",ENGLISH,,,,,,Newspaper,Copyright 2013 Times Publishing Company                               All Rights Reserved
,news,trial,cable,tv,coverage,journalism,offer,Fox_News,turn,show,way,compete,take,we,viewer,nets,break,live,smart,morning,CNN,George_Zimmerman,MSNBC,Zimmerman,ago,something,broadcast,network,obsessive,nothing,new,case,point,report,event,many,inform,democracy,decline,shrink,government,average,ad,younger,audience,stay,lunch,run,know,dedicated,journalist,good,million,thrive,make,sake,let,Egypt,Daily_Show,Colbert_Report,NPR,oped,week,flip,midmorn,usually,verge,coup,need,update,work,price,right,mind,o.j,hijack,newscast,cnn,nearly,hold,heel,dozen,mark,real,lose,cover,play,constructive,role,truly,important,human,amuse,amusement,odd,form,car,chase,iphone
,18,10,9,6,5,5,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
