PUBLISHED_DATE,DOCUMENTS_INDEX,PUBLISHER,TOPIC,BYLINE,SECTION,SOURCE,LENGTH,DATELINE,SUMMARY,LOAD_DATE,LANGUAGE,CORRECTION_DATE,CORRECTION,GRAPHIC,TYPE,DOCUMENT_TYPE,PUBLISH_TYPE,COPYRIGHT
"November 14, 2005 Monday",1 of 81 DOCUMENTS,The Tampa Tribune (Florida),Breaking The Ice,"KURT LOFT, kloft@tampatrib.com",NATION/WORLD; Pg. 10,,679 words,,,"November 30, 2005",ENGLISH,,,"PHOTO 5 U.S. Coast Guard photos Researchers spent six weeks collecting data on the Arctic ecosystem, and observed a polar bear feasting on a seal. The crew of the Healy takes a break on the ice, basking in the relative warmth of 10 degrees Fahrenheit. Arctic summers are much warmer than winters, but temperatures can still freeze deck ropes solid. (2) The U.S. Coast Guard icebreaker Healy and the Swedish vessel Oden make the arduous trip through the ice of the Arctic Ocean's Canadian Basin, where they encountered pancake ice, below. The journey was to study how receding ice could affect global climate patterns.",,,Newspaper,Copyright 2005 Times Publishing Company                               All Rights Reserved
,ice,summer,region,ship,sea,climate,floe,degree,wind,Arctic,Swift,factor,global,heavy,often,temperature,long,break,Arctic_Ocean,scientist,receding,become,pattern,loft,tampatrib.com,change,healy,better,understand,ocean,make,slowly,chill,cover,retreat,trip,thick,early,crew,dip,fahrenheit,big,slow,might,affect,solar,energy,absorb,may,large,greenhouse,gas,side,compression,icebreaker,Oden,Earth,exploring,remote,kloft,pair,recently,voyage,top,world,study,traverse,coast,guard,vessel,plow,dense,sheet,effort,role,system,much,research,take,compile,publish,thing,immediately,clear,lose,indication,retreate,rate,percent,per,decade,team,member,researcher,near,still,continue,trend,remarkable
,Ladimir,soccer,season,boy,tennis,coach,Hudson,change,next,program,wife,son,team,district,North_Carolina,North,seven,longer,take,heat,associate,job,humidity,desire,scenery,resign,relocate,family,1993,graduate,leave,teach,math,girl,set,open,fall,new,school,mile,evolve,division,ii,player,though,opportunity,establish,intrigue,reaffirm,primary,reason,move,milder,climate,native,couple,something,experience,tuesday,tournament,hudson,career,formally,end,hot,enjoy,considerable,success,tenure,four,crown,reach,region,final,pair,conference,championship,copyright,©,2005,may,republish,without,permission,library,tampatrib.com,HUDSON,Ron_Ladimir,Union_County,Porter_Ridge_High,Wingate_University,All_American,New_York,Cynthia,Cleveland,Nathan,Class,2A_District,Florida
,6,4,3,3,3,3,3,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"May 5, 2005 Thursday",32 of 81 DOCUMENTS,The Tampa Tribune (Florida),A Copying Original,Ted Jackovics,MONEYSENSE; Pg. 1,,1420 words,TAMPA,,"May 7, 2005",ENGLISH,,,"PHOTO 3 Tribune photos by JASON BEHNKEN ""Our [company] culture is based on profits and productivity, not sales and size,"" Chairman Tom Johnson says. An award in Johnson's office demonstrates his quiet corporate and personal support of local charities and social service agencies. A University of Florida graduate, Tom Johnson says, ""We are doing the same thing here successful coaches are doing.""",,,Newspaper,Copyright 2005 Times Publishing Company                               All Rights Reserved
,company,business,office,image,management,Global_Imaging,sell,profit,global,technology,people,culture,Florida,system,billion,market,back,become,make,network,employee,focus,revenue,sale,never,look,home,move,generally,three,equipment,today,copy,put,attach,rather,copier,software,help,customer,middle,lose,maintain,work,run,better,team,coach,try,model,percent,price,Xerox,Ikon,Danka,Johnson,Tampa,go,way,inc.,consider,behind,base,biggest,chairman,executive,number,value,important,result,operation,headquarters,start,much,good,cost,dealership,state,successful,preserve,outlet,we,well,buy,change,past,ago,desk,productive,pc,use,productivity,fortune,growth,acquisition,quarter,per,performance,size
,17,11,8,7,7,7,6,6,5,5,5,5,5,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"May 12, 2005 Thursday",33 of 81 DOCUMENTS,The Tampa Tribune (Florida),Progress Announces Pollution Initiative,"WILL RODGERS, wjrodgers@tampatrib.com",MONEYSENSE; Pg. 1,,751 words,ST. PETERSBURG,,"May 19, 2005",ENGLISH,"May 13, 2005","Boston Common Asset Management, on behalf of Brethren Benefit Trust, filed a shareholder resolution asking Progress Energy to assess its environmental position. A story in Thursday's MoneySense section named the wrong shareholder group.",PHOTO Bob McGehee CEO answers concerns with pledge to clean air.,,,Newspaper,Copyright 2005 Times Publishing Company                               All Rights Reserved
,environmental,energy,company,Progress_Energy,progress,plant,shareholder,carbon,dioxide,power,billion,air,worst,warming,study,federal,McGehee,Tampa_Electric,cut,include,polluter,meeting,rank,global,report,emission,Progress_Energy_Florida,Smith,inc.,plan,invest,executive,annual,florida,subsidiary,take,seriously,customer,group,contribute,emit,million,still,generate,consider,electricity,help,clear,technology,work,government,sue,utility,look,reach,impact,renewable,Florida,coal_burning,Citrus_County,Environmental_Integrity_Project,Crystal_River,Tampa_Bay,Brethren_Benefit_Trust,petersburg,pollution,improvement,activist,claim,nation,chairman,chief,officer,announce,response,concern,other,base,morning,make,investment,headquarters,state,important,understand,risk,go,forward,owe,pledge,advocate,earlier,sixth,among,director,emitter,release,wednesday,advocacy
,9,7,7,6,5,5,5,5,5,5,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"May 19, 2005 Thursday",34 of 81 DOCUMENTS,The Tampa Tribune (Florida),Bean's Reshuffling Criticized,"MARK HOLAN, mholan@tampatrib.com",METRO; Pg. 1,,567 words,TAMPA,,"May 20, 2005",ENGLISH,,,"PHOTO 3 Pat Bean She announced reorganization May 9. Tom Scott Work conditions worry commissioner. Ronda Storms She questions fairness in hiring, promotions.",,,Newspaper,Copyright 2005 Times Publishing Company                               All Rights Reserved
,Bean,county,commissioner,reorganization,Blair,manager,issue,department,job,become,place,budget,performance,director,auditor,Scott,work,holan,tampatrib.com,wednesday,question,top,suggest,make,resource,management,effect,hire,commission,may,pay,new,report,worker,unfilled,internal,office,Tampa_Tribune,better,warn,mholan,hillsborough,blast,propose,dozen,resignation,lose,reshuffling,jeopardize,service,poison,workplace,concerned,climate,environment,tom,sure,atmosphere,people,feel,threaten,intimidate,criticize,proposal,reassign,water,team,agree,move,hold,review,switch,human,administrator,go,today,ronda,storm,fairness,equity,promotion,concern,continue,chairman,jim,unsuccessful,negative,next,evaluation,last,vote,renew,contract,comment,article,detailed,campaign,contribution,health
,11,7,6,6,5,4,4,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"June 28, 2005 Tuesday",36 of 81 DOCUMENTS,The Tampa Tribune (Florida),Plan Now For Fall Bowling,"LEE DIEKEMPER, Tribune correspondent",PASCO; Pg. 10,,682 words,LUTZ,,"June 30, 2005",ENGLISH,,,PHOTO Tribune photo by ANDY JONES Darren Baginski practices his game at Lane Glo Bowling Center. Now is the time to check the condition of your equipment.,,,Newspaper,Copyright 2005 Times Publishing Company                               All Rights Reserved
,ball,bowler,Titer,equipment,league,check,bowling,shoe,game,minute,fall,pro,shop,weight,hole,fit,thumb,senior,last,sure,roll,july,begin,cause,bag,sweat,wait,make,weekend,manager,suggest,pick,winter,may,discover,change,lose,gain,summer,longer,work,titer,explain,injury,tend,good,stick,quick,people,high,school,pair,oil,test,week,register,tournament,per,727,perfect,series,300,Hudson_Bowl,ready,diekemper,tribune,correspondent,remain,away,early,think,upcoming,generally,around,recreational,spend,competition,start,end,significant,late,still,bowl,well,discomfort,scenario,worst,case,big,squeeze,feel,heavier,blister,irritate,finger,mainly,time,happen,worse
,16,13,8,6,6,5,5,5,5,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"July 16, 2005 Saturday",37 of 81 DOCUMENTS,The Tampa Tribune (Florida),Storm Season's Early Pace Not Likely To Slow Soon,"NEIL JOHNSON, njohnson@tampatrib.com",NATION/WORLD; Pg. 1,,955 words,TAMPA,,"July 18, 2005",ENGLISH,,,"MAP CHART Tribune map; Sources: Accuweather, National Hurricane Center STORM PATHS The Caribbean and Gulf of Mexico have seen five tropical storms and hurricanes this season. Here is a look at their paths.",,,Newspaper,Copyright 2005 Times Publishing Company                               All Rights Reserved
,storm,hurricane,season,total,tropical,august,september,form,Atlantic,five,july,condition,wind,high,move,north,normally,development,scientist,area,number,rainfall,Florida,Caribbean,Bell,1997,peak,many,jet,stream,farther,affect,develop,tropic,across,atlantic,predict,pressure,path,hit,ridge,june,tampatrib.com,three,instead,set,expect,weather,might,toward,point,several,water,reach,degree,temperature,atmosphere,east,mph,normal,key,indication,early,grow,gulf,wave,coast,far,center,may,turn,northward,cause,strike,ripe,busy,indicate,near,good,higher,latitudes,system,lack,hinder,allow,1995,2005,*,Miami,Landsea,Pacific_Ocean,njohnson,end,follow,make,quietest,past,decade,count
,22,21,12,11,9,9,8,7,7,6,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1
"October 12, 2005 Wednesday",39 of 81 DOCUMENTS,The Tampa Tribune (Florida),Intelligent Design Debate Brews,"RONNIE BLAIR and ALLYSON BIRD, The Tampa Tribune",METRO; Pg. 1,,1477 words,TAMPA,,"October 20, 2005",ENGLISH,,,"PHOTO 3 Tribune photo by CHRIS URSO Hudson High School biology teacher Yvonne Whatley gives a lecture during class. Whatley says students should be taught evolution even if they don't agree with it. Tribune photos by CHRIS URSO Evolution is taught in Florida schools as fact, but backers of intelligent design say both should be taught. Yvonne Whatley, a biology teacher at Hudson High School, teaches evolution in her classroom, though she says she believes intelligent design more accurately explains life on Earth.",,,Newspaper,Copyright 2005 Times Publishing Company                               All Rights Reserved
,intelligent,design,evolution,teach,school,science,teacher,standard,student,creationism,parent,statement,review,debate,biology,class,within,may,state,whether,Woodward,happen,though,department,subject,know,microevolution,macroevolution,district,president,view,life,take,place,next,side,scientific,people,scientist,hold,process,name,public,movement,include,organization,talk,change,question,time,think,problem,can,Pinellas_County,Florida,Earth,ACLU,Christian,supervisor,begin,make,thing,trial,expect,go,try,2005,much,controversy,community,detail,concept,natural,selection,difference,court,rule,effort,classroom,choose,revision,education,comment,might,anyone,else,discuss,among,creationist,evidence,distinction,species,deal,understand,high,mention,present,social,study
,27,27,18,16,14,14,9,7,6,6,6,6,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"November 15, 2005 Tuesday",40 of 81 DOCUMENTS,The Tampa Tribune (Florida),ACROSS PASCO,Tribune staff,PASCO; Pg. 3,,914 words,,,"December 1, 2005",ENGLISH,,,"PHOTO Tribune photo by ANDY JONES She Just Has To Face It: This Boxer Has Her Licked Debbie Callegari, of Holiday, meets Jaxie, a boxer, at the Boxer Bash on Sunday at the Gulf Highlands Civic Center. Jaxie's owners are Chris and Ellie Burt, background left, and it looks as though their other dogs Buffie, on the floor, and Maggie want a piece of the action. The event featured food, music and even a boxer kissing booth.",,,Newspaper,Copyright 2005 Times Publishing Company                               All Rights Reserved
,home,flag,defibrillator,police,outstanding,city,thursday,department,use,device,global,change,community,warming,provide,fundraiser,business,Holidays,office,fly,staff,road,officer,new,port,receive,donation,hospital,check,buy,give,heart,help,club,donate,organization,expedition,world,p.m.,make,scientist,symposium,realty,host,auction,program,ticket,tropical,giveaway,food,2005,honoree,philanthropist,volunteer,leader,wednesday,2006,Kabul,Camp_Phoenix,North_Pole,Garrity,Seven_Springs_Golf,Country_Club,Carrabba,Italian_Grill,National_Philanthropy,Pasco_County,u.,hoist,district,ii,headquarters,sgt,native,alumnus,present,sheriff,honor,guard,a.m.,bo,36409,state,camp,sept,fourth,anniversary,terrorist,attack,reedy,noncommissioned,charge,medical,clinic,serve,leave,lisa,a.,recently
,6,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"November 23, 2005 Wednesday",41 of 81 DOCUMENTS,The Tampa Tribune (Florida),Political Climate May Save Student Aid,"KEVIN BEGOS and ADAM EMERSON, The Tampa Tribune",NATION/WORLD; Pg. 1,,661 words,,,"December 12, 2005",ENGLISH,,,PHOTO Jessica Kennedy USF biology major needs federal loans to be able to afford school.,,,Newspaper,Copyright 2005 Times Publishing Company                               All Rights Reserved
,aid,student,federal,budget,last,cut,loan,propose,education,go,financial,state,program,next,committee,reform,million,job,tampatrib.com,Senate,Gude,USF,emerson,deficit,pass,republican,find,deal,wait,president,take,director,change,award,stafford,higher,may,system,receive,school,source,semester,help,reporter,reach,Tampa_Tribune,U.S._House,University,Sabato,deHaven_Smith,plenty,talk,huge,seem,high,list,target,week,call,14.5,billion,five,leader,order,oversee,report,group,sound,alarm,expert,meaningful,attempt,might,new,office,2009,election,center,politics,already,nervous,doubt,ton,sacrifice,ask,large,note,conference,agree,final,surprised,along,think,punt,political,hot,potatoe,future,make
,10,9,7,5,5,5,5,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"February 1, 2005 Tuesday",43 of 81 DOCUMENTS,The Tampa Tribune (Florida),5 QUESTIONS WITH ... Mary Jane Stanley,Kevin Wiatrowski,PASCO; Pg. 2,,986 words,,,"February 4, 2005",ENGLISH,,,PHOTO (Mary Jane Stanley),,,Newspaper,Copyright 2005 Times Publishing Company                               All Rights Reserved
,PEDC,county,business,new,development,employment,center,Pasco,investor,company,board,industry,job,land,expect,create,organization,major,state,growth,resident,Pasco_County,improve,economy,recruit,local,marketing,conduct,area,2001,professional,industrial,work,census,council,director,role,assist,expansion,economic,investment,several,employer,dollar,recruitment,change,term,plan,include,regional,market,effort,primary,product,make,advantage,developer,throughout,many,understand,road,next,site,develop,way,increase,need,residential,pasco,ensure,process,place,permit,commute,figure,2010,continue,number,"15,000",Pasco_Economic,New_River_Partners,Tampa_Bay,president,chief,executive,officer,announce,recently,"10,000",automatic,seat,shape,position,community,fulfil,mission,attract,retain,promote
,16,11,9,9,7,7,7,7,6,6,5,5,5,5,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"February 9, 2005 Wednesday",45 of 81 DOCUMENTS,The Tampa Tribune (Florida),Northwest Wineries Grow Quality Reputation In Short Time,"KEN COLLURA, winespeak@elmontesagrado.com",BAYLIFE FLAVOR; Pg. 5,,681 words,,,"February 11, 2005",ENGLISH,,,,,,Newspaper,Copyright 2005 Times Publishing Company                               All Rights Reserved
,winery,wine,state,Washington,grape,plant,pinot,Oregon,make,time,white,acre,vine,vineyard,California,have,taste,table,always,cab,today,offering,best,available,2002,vintage,although,level,must,cooler,merlot,often,style,vinifera,varietal,chardonnay,riesl,label,percent,variety,name,permit,favorite,include,follow,blanc,sauvignon,fruit,Chateau_Ste,Michelle,collura,winespeak,elmontesagrado.com,much,emphasis,place,folk,sometimes,forget,vino,notoriety,rightly,recently,bottle,sit,proudly,case,checker,past,especially,remember,tout,find,thin,pale,meager,muscleless,knowledge,bring,strength,yet,core,vibrancy,lush,finish,note,recall,still,insipid,overacidify,pricing,edg,toward,region,astute,choice,avoid,disappointment,enjoy
,8,7,6,6,5,5,4,4,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"March 13, 2005 Sunday",46 of 81 DOCUMENTS,The Tampa Tribune (Florida),"Training, Placement Service On Campus","STEVEN ISBITTS, sisbitts@tampatrib.com",PINELLAS; Pg. 8,,287 words,TARPON SPRINGS,,"March 17, 2005",ENGLISH,,,MAP Tribune map One Stop Career Center,,,Newspaper,Copyright 2005 Times Publishing Company                               All Rights Reserved
,center,pinellas,service,employer,WorkNet,open,college,last,community,tampatrib.com,worknet,county,job,training,career,campus,north,presence,director,percent,727,netpinellas.org,sisbitt,spring,placement,prospective,employee,launch,stop,week,facility,38500,u.s.,n.,complex,acquire,ago,new,staff,familiar,need,student,office,complete,room,row,computer,location,list,284,try,stronger,area,especially,plan,development,business,representative,recruit,regular,basis,utilized,hire,someone,ed,peachey,executive,organization,goal,every,st,petersburg,june,decision,unrelated,change,economic,climate,unemployment,rate,stable,3.5,information,call,visit,www.,work,reporter,steven,isbitt,reach,copyright,©,2005,may,republish,without,permission,library
,5,4,4,4,4,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"March 23, 2005 Wednesday",47 of 81 DOCUMENTS,The Tampa Tribune (Florida),"Hernando County Planners Suggest $10,000 Impact Fee","FRED HIERS, Hernando Today",PASCO; Pg. 10,,779 words,BROOKSVILLE,,"March 28, 2005",ENGLISH,,,,,,Newspaper,Copyright 2005 Times Publishing Company                               All Rights Reserved
,fee,impact,increase,county,home,cost,commissioner,board,school,double,planner,new,approve,service,propose,building,government,property,last,house,construction,library,million,another,Hernando,Wieczorek,hernando,tuesday,charge,owner,build,summer,homeowner,jump,hike,pay,real,estate,market,significant,factor,land,resident,value,price,consider,park,law,enforcement,collect,windfall,represent,8.6,already,"200,000","300,000",buyer,find,Pasco,Hernando_County,first_time,hier,today,brooksville,submit,recommendation,amount,area,"4,894","10,124",tax,impose,design,offset,require,affect,buy,previously,own,late,2002,week,neighbor,joint,workshop,agree,consultant,tischler,md,study,recommend,report,detach,"1,600","4,300",mobile,multifamily,town,duplex
,26,25,13,11,11,10,7,6,6,5,5,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"March 31, 2005 Thursday",48 of 81 DOCUMENTS,The Tampa Tribune (Florida),Improving Image Among City's Priorities,"MICHAEL DUNN, mdunn@tampatrib.com",NORTHEAST; Pg. 1,,734 words,TEMPLE TERRACE,,"April 1, 2005",ENGLISH,,,PHOTO 3 Joe Affronti Seeks involvement from community Ken Halloway Wants city to build on natural assets Glenda Venable Sees more residents coming forward,,,Newspaper,Copyright 2005 Times Publishing Company                               All Rights Reserved
,city,community,think,image,redevelopment,people,area,thing,need,plan,Temple_Terrace,leader,good,town,center,important,much,do,continue,charter,session,tampatrib.com,identity,goal,2005,mayor,council,priority,provide,hope,many,56th,street,build,enhance,whole,region,make,process,involvement,input,resident,forward,realize,improvement,progress,ask,later,perhaps,reach,ever,annexation,information,channel,call,service,begin,support,senior,may,Halloway,Affronti,attend,dunn,mdunn,terrace,improve,rank,among,top,set,meet,annual,last,week,framework,paint,prettier,picture,smallest,municipality,grow,regional,player,congest,councilman,ken,halloway,natural,asset,riverfront,oak,tree,golf,course,cultivate,friendly,retailer,economic
,18,8,7,5,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"April 13, 2005 Wednesday",49 of 81 DOCUMENTS,The Tampa Tribune (Florida),LETTERS,,NATION/WORLD; Pg. 12,,1030 words,,,"April 16, 2005",ENGLISH,,,,,,Newspaper,Copyright 2005 Times Publishing Company                               All Rights Reserved
,memo,Martinez,know,political,martinez,aide,remember,death,many,make,world,read,senator,deliver,support,way,state,tampa,without,U.S.,Mel_Martinez,life,contrast,conservative,work,take,religious,extremist,seem,god,today,homosexual,big,write,front,page,april,list,sen,really,another,go,pocket,politician,lame,excuse,mel,nothing,toe,good,continue,refuse,control,glory,lesson,tactic,dictator,president,string,recall,think,position,long,either,may,shame,already,misstep,anything,Christian,Terri_Schiavo,Senate,Cuban,Castro,Florida,no_thing,golden,rule,thanks,extensive,balance,coverage,accomplishment,strike,philosophy,government,expert,much,opposite,true,christianity,have,despise,group,jew,prostitute,sinner,welcome,love
,12,8,7,6,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"April 16, 2005 Saturday",50 of 81 DOCUMENTS,The Tampa Tribune (Florida),First-Aid Month Encourages Preparation,"KRISTEN LEVINE, Tribune correspondent",BAYLIFE AT HOME; Pg. 10,,1231 words,,,"April 22, 2005",ENGLISH,,,CHART 4,,,Newspaper,Copyright 2005 Times Publishing Company                               All Rights Reserved
,pet,emergency,animal,veterinary,number,veterinarian,accident,dog,813,injure,help,family,keep,injury,may,727,prepare,medical,travel,kit,medication,cat,wound,small,transport,hospital,car,chart,county,human,system,take,aid,problem,common,home,safely,clinic,vet,water,cream,use,watch,pad,bandage,allergy,contact,seat,safety,crash,ask,make,muzzle,service,center,phone,American_Red_Cross,ill,time,owner,friend,outdoor,along,course,care,happen,soap,secure,ingest,unless,quickly,source,sustain,clean,antibiotic,direct,pressure,immediately,ace,serve,wrap,deep,open,cause,burn,skin,area,ride,always,distraction,percent,frighten,restrain,available,member,pain,necessary,towel,apply
,41,22,10,8,7,7,6,6,6,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"April 24, 2005 Sunday",52 of 81 DOCUMENTS,The Tampa Tribune (Florida),"Fair Districts? It's A Fine Idea, But Not Soon","RICK BARRY, rbarry@tampatrib.com",PINELLAS; Pg. 1,,586 words,ST. PETERSBURG,,"April 28, 2005",ENGLISH,,,,,,Newspaper,Copyright 2005 Times Publishing Company                               All Rights Reserved
,term,turn,district,draw,legislator,eight,sure,lot,better,tampatrib.com,petersburg,state,sebesta,break,take,bite,right,limit,public,lobbyist,note,legislature,institution,amendment,campaign,quality,good,last,pass,make,guarantee,long,defeat,democrat,fiefdom,republican,maybe,extension,fairly,ask,Sebesta,barry,rbarry,st.,sen,jim,go,boldly,forth,new,ground,bull,horn,bullet,blaze,trail,man,dare,venture,we,give,four,trough,call,nearly,enough,extend,senator,representative,stay,allow,tireless,servant,obtain,necessary,institutional,knowledge,need,survive,treacherous,capitol,everyone,manipulate,know,staff,member,entire,executive,branch,employee,seek,wisdom,work,lifetime,merely,short,figure,particular,problem
,6,5,5,5,4,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"June 5, 2005 Sunday",53 of 81 DOCUMENTS,The Tampa Tribune (Florida),Study May Pay Off For Deputies,"CANDACE J. SAMOLINSKI, csamolinski@tampatrib.com",PASCO; Pg. 1,,934 words,,,"June 13, 2005",ENGLISH,,,CHART,,,Newspaper,Copyright 2005 Times Publishing Company                               All Rights Reserved
,current,propose,salary,increase,employee,study,pay,agency,raise,percent,system,county,hire,million,deputy,start,keep,sheriff,recommend,job,people,time,cody,budget,give,include,major,recommendation,make,change,base,commissioner,office,longevity,turnover,"35,669",overall,earn,last,take,6.6,2001,range,lieutenant,captain,rank,average,position,annual,among,go,"66,056","88,000",level,step,may,toward,approve,benefit,rate,1999,director,strong,new,help,plan,number,nix,suggestion,period,thing,put,money,evaluation,"33,945","37,452","29,328",supervisor,"30,804","22,921",coordinator,Pasco,cost_of_living,Nienhuis,thousand,dollar,less,counterpart,surround,consulting,firm,assess,find,roughly,field,taxpayer,additional,3.8,follow
,16,16,13,9,8,8,8,7,7,6,6,5,5,5,5,5,5,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
