PUBLISHED_DATE,DOCUMENTS_INDEX,PUBLISHER,TOPIC,BYLINE,SECTION,SOURCE,LENGTH,DATELINE,SUMMARY,LOAD_DATE,LANGUAGE,CORRECTION_DATE,CORRECTION,GRAPHIC,TYPE,DOCUMENT_TYPE,PUBLISH_TYPE,COPYRIGHT
"January 22, 2016 Friday",1 of 94 DOCUMENTS,The Tampa Tribune (Florida),"A look at our frightened, fragmented world in one map",Mark Gilbert; Bloomberg View,NATION & WORLD; Views; Pg. 13,,540 words,,,"January 22, 2016",ENGLISH,,,,,,Newspaper,Copyright 2016 Times Publishing Company                               All Rights Reserved
,world,risk,threat,worry,survey,global,top,failure,climate,change,WEF,terrorism,though,regional,accord,economic,way,environmental,likely,crisis,involuntary,migration,dominate,weather,refuge,threaten,result,mitigation,give,good,temperature,large_scale,state,plenty,anxious,moment,pandemic,disturbing,splinter,basis,11th,edition,annual,report,produce,forum,deem,troubling,hope,leader,eliminate,almost,750,expert,draw,business,academia,civil,society,public,sector,rank,respondent,ask,view,likelihood,impact,divide,five,category,societal,technological,geopolitical,seem,geographically,disperse,arguably,reflect,truism,politics,local,americans,hack,recent,company,include,extramarital,affair,website,put,cyber,attack,anxiety,menu,peril,endure,kleptocracy,corruption,make
,Clinton,Florida,Sanders,people,make,many,state,primary,campaign,work,x2756,free,take,job,education,hillary,family,rally,health,area,support,republican,include,energy,Democratic,Michigan,barrier,crowd,sander,pledge,infrastructure,election,student,candidate,vote,win,lead,every,climate,change,right,need,care,higher,hour,million,give,democrat,former,voter,poll,Ohio,commitment,break,florida,arrive,car,thousand,political,opponent,thursday,fight,tampa,enthusiastic,better,insurance,woman,decision,show,attack,likely,general,think,last,large,face,establishment,tuesday,contest,run,still,big,delegate,base,earn,speech,americans,improve,risk,rise,end,renewable,have,income,rights,progressive,introduce,universal,focus
,19,13,11,9,9,8,8,7,7,6,6,6,5,5,5,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"March 16, 2016 Wednesday",31 of 94 DOCUMENTS,The Tampa Tribune (Florida),"U.S. bans oil drilling off coast of Atlantic; Environmentalists cheer the reversal in policy, but business groups criticize it",MATTHEW DALY; The Associated Press,NATION & WORLD; NationWorld; Pg. 4,,418 words,WASHINGTON,,"March 16, 2016",ENGLISH,,,,,,Newspaper,Copyright 2016 Times Publishing Company                               All Rights Reserved
,drilling,oil,president,group,republican,state,administration,tuesday,decision,gas,production,proposal,governor,Atlantic_Coast,Atlantic,step,climate,change,coastal,leasing,criticize,call,natural,land,gulf,plan,open,democratic,oppose,coast,Obama,U.S.,Virginia,North,South_Carolina,major,reversal,bar,move,cheer,environmentalist,consistent,aggressive,combat,secretary,sally,jewell,protect,future,generation,listen,thousand,people,community,time,start,business,another,example,executive,overreach,despite,surge,past,seven,help,push,gasoline,price,gallon,industry,impose,unnecessary,regulation,especially,federal,boom,occur,private,long,center,offshore,reverse,make,last,float,broad,swath,january,2015,site,mile,earlier,2021,likely,become,issue,2016,presidential
,10,6,5,5,4,4,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"March 27, 2016 Sunday",32 of 94 DOCUMENTS,The Tampa Tribune (Florida),Unlocking polar secrets [JUMP]Aircraft at MacDill helps track Earth's shrinking ice a world away; Aircraft at MacDill helps track Earth's shrinking ice a world away,HOWARD ALTMAN Tribune staff,NATION & WORLD; NationWorld; Pg. 1,,1865 words,,,"March 31, 2016",ENGLISH,,,,,,Newspaper,Copyright 2016 Times Publishing Company                               All Rights Reserved
,Miss_Piggy,fly,NASA,ice,mission,x2756,test,laser,plane,Kahn,flight,science,system,crew,foot,team,Greenland,MacDill,last,use,equipment,project,go,week,price,engine,sea,data,level,take,window,maneuver,Woods,measure,melting,three,polar,glacier,rise,set,scientist,manager,land,turn,pitch,properly,ahead,work,plan,p.m.,yoke,Yungel,another,hydraulic,fluid,valve,hurricane,track,program,next,pilot,help,reach,200,roll,much,time,around,four,small,terabyte,degree,pull,back,guide,pass,NASA_NOAA,Arctic,morning,joint,leak,later,takeoff,fire,stuck,man,map,sit,outside,orion,attempt,information,storm,part,ever,climate,change,sheet,collect
,18,16,14,13,12,12,10,10,10,10,8,7,7,7,7,7,7,7,6,6,6,6,6,6,6,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"April 10, 2016 Sunday",34 of 94 DOCUMENTS,The Tampa Tribune (Florida),"Despite reputation, Catholic Church has strong relationship with science; Persecution of Galileo still haunts Vatican's image",SETH BORENSTEIN; The Associated Press,NATION & WORLD; NationWorld; Pg. 18,,985 words,,,"April 10, 2016",ENGLISH,,,,,,Newspaper,Copyright 2016 Times Publishing Company                               All Rights Reserved
,science,church,Galileo,x2756,religion,big,Catholic,Catholic_Church,warming,galileo,bang,theory,evolution,scientist,pope,global,new,often,astronomy,include,creation,sun,historian,work,century,world,make,climate,feel,look,astronomer,president,academy,Pope_Francis,Numbers,add,twist,complicated,relationship,genetics,field,cleric,member,reject,lay,think,thing,way,good,faith,scientific,use,contradict,evolve,issue,moral,fight,find,common,ground,truth,show,inquisition,conflict,back,book,thanks,priest,development,Ramanathan,Heilbron,Consolmagno,Vatican,dance,sometimes,tango,supportive,walt,introduce,start,entire,aspect,genesis,begin,clergy,fit,story,people,usually,mind,prosecution,heresy,insist,circle,around,uneven,always,congenial,write
,20,14,12,9,6,5,5,5,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"April 28, 2016 Thursday",35 of 94 DOCUMENTS,The Tampa Tribune (Florida),The outrageous AG attack on Exxon Mobil,,CLEARWATER GAZETTE; CGA; Pg. 7,,510 words,,,"April 28, 2016",ENGLISH,,,,,,Newspaper,Copyright 2016 Times Publishing Company                               All Rights Reserved
,Exxon_Mobil,company,green,attorney,general,climate,law,subpoenae,Schneiderman,campaign,power,enforcement,fraud,alarmist,view,find,become,work,official,leave,use,fossil_fuel,pickup,easy,make,world,biggest,sympathetic,victim,collection,state,lead,manage,launch,transparent,nay,explicit,attempt,punish,dissent,change,member,demonstrating,understanding,responsibility,entrust,meter,maid,let,alone,top,position,last,purport,investigation,allege,offense,less,global,warming,clerisy,deem,acceptable,constitute,unclear,investor,allur,maintain,planet,danger,uninhabitable,reason,oil,miraculously,efficient,source,energy,close,replace,consumer,fill,car,product,regardless,surely,feel,defraud,gasoline,kid,soccer,practice,advertise,usually,charge,least,try,obscure,political,motivation
,8,6,5,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"January 4, 2016 Monday",37 of 94 DOCUMENTS,The Tampa Tribune (Florida),Cheap oil's downside,STEVE YETIV; Los Angeles Times,NATION & WORLD; Views; Pg. 10,,600 words,,,"January 4, 2016",ENGLISH,,,,,,Newspaper,Copyright 2016 Times Publishing Company                               All Rights Reserved
,oil,price,U.S.,low,global,market,trader,cut,production,dollar,economy,may,believe,back,long,American,Iran,downside,barrel,political,problem,energy,lower,demand,happen,attack,decide,probably,boom,hurt,producer,much,million,likely,interest,rate,strong,finally,agreement,country,follow,investment,raising,remain,climate,change,send,message,China,Saudis,cheap,fall,dramatically,105,per,2014,extraordinarily,affect,stock,big,exporter,consumer,worldwide,explain,crash,head,doldrum,world,biggest,importer,appear,plague,structural,economic,overcome,next,agency,therefore,forecast,rattle,rise,buy,future,hope,sell,later,profit,action,increase,eventually,derivative,gasoline,heating,pessimistic,usually,circumstance,supply,side,boost
,25,17,6,5,5,4,4,4,4,4,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"January 29, 2016 Friday",40 of 94 DOCUMENTS,The Tampa Tribune (Florida),"A win for climate, free markets",Bloomberg View,NATION & WORLD; Views; Pg. 16,,437 words,,,"January 29, 2016",ENGLISH,,,,,,Newspaper,Copyright 2016 Times Publishing Company                               All Rights Reserved
,power,demand,market,electricity,use,consumer,federal,Supreme_Court,U.S.,emission,grid,pay,megawatt,energy,wholesale,rule,climate,make,cut,carbon,decision,law,supply,peak,need,quickly,try,reduce,encourage,regulate,issue,company,generator,take,retail,government,victory,environmental,principle,easier,rest,proposition,address,change,background,imagine,manage,access,enough,meet,customer,hour,hot,august,afternoon,way,cope,sudden,jump,can,increase,instead,big,widget,factory,less,strategy,call,response,perspective,operator,avoid,brownout,consume,helpful,extra,produce,environment,unit,unuse,superior,create,dioxide,top,benefit,ratepayer,cost,building,new,plant,kind,trade,regulatory,commission,2011,negotiate,agreement,large,necessary
,7,6,6,5,4,4,4,4,4,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"March 11, 2016 Friday",43 of 94 DOCUMENTS,The Tampa Tribune (Florida),"Obama, Trudeau emphasize camaraderie, cooperation; They show like-minded beliefs on trade, fighting climate change",ROB GILLIES and KEVIN FREKING; The Associated Press,NATION & WORLD; NationWorld; Pg. 4,,437 words,WASHINGTON,,"March 11, 2016",ENGLISH,,,,,,Newspaper,Copyright 2016 Times Publishing Company                               All Rights Reserved
,Obama,Trudeau,prime,minister,leader,effort,percent,Canada,office,start,president,thing,share,common,trade,change,decade,announce,make,easier,trudeau,theme,last,obama,big,stage,wife,three,work,goods,border,reduce,methane,emission,Canadian,United_States,leave,soon,bask,mutual,affection,thursday,emphasize,ground,combate,climate,official,visit,nearly,new,curb,global,warming,country,another,appear,enjoy,company,play,role,elder,statesman,sounding,youthful,hope,campaign,seven,ago,perspective,son,late,october,election,borrowing,optimism,learn,lot,somebody,heart,brain,able,count,friend,live,many,encounter,political,international,great,comfort,beginning,ornate,arrival,ceremony,welcome,child,find,time,levity
,8,4,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"May 1, 2016 Sunday",44 of 94 DOCUMENTS,The Tampa Tribune (Florida),Intrigue at governor's mansion,,METRO; Pg. 21,,538 words,,,"May 1, 2016",ENGLISH,,,,,,Newspaper,Copyright 2016 Times Publishing Company                               All Rights Reserved
,Scott,state,governor,job,insurance,go,chief,try,seem,x2756,cabinet,scott,McCarty,commissioner,citizen,around,take,multiple,agree,give,long,company,spark,change,never,style,force,news,choice,second,release,govern,mean,Rick_Scott,Bailey,Atwater,column,important,every,usually,something,people,talk,dinner,table,normal,rule,apply,manage,create,political,theatre,succeed,outgoing,finally,friday,deputy,altmaier,top,praise,um,short,answer,everything,complicated,involved,this,back,resign,early,january,much,tumult,oversaw,deal,four,hurricane,2004,sharp,spike,rate,insurer,always,verge,collapse,adapt,seismic,health,market,well,faint,heart,mccarty,hang,though,probably,due,small,measure
,9,7,6,5,5,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"February 4, 2016 Thursday",45 of 94 DOCUMENTS,The Tampa Tribune (Florida),Legislators can learn from history - and former legislators,,NATION & WORLD; Views; Pg. 31,,759 words,,,"February 4, 2016",ENGLISH,,,,,,Newspaper,Copyright 2016 Times Publishing Company                               All Rights Reserved
,legislator,political,legislative,former,lobbyist,serve,many,lack,change,leadership,committee,bill,experience,hear,member,respect,term,limit,work,effort,take,party,money,we,include,attend,reunion,state,institutional,knowledge,big,thing,battle,camaraderie,whose,process,something,learn,issue,put,think,repeat,around,policy,although,opinion,ban,cup,coffee,use,lead,relationship,race,influence,give,make,sense,way,amount,new,five,republican,Legislature,House,column,blunt,assessment,budget,trepidation,decide,2016,glad,colleague,currently,warm,welcoming,despite,rebuke,happen,capital,representative,senator,past,decade,1960,treasure,trove,folklore,storytel,personality,fascinating,tell,story,do,back,inspiring,collegial,heat,enjoy
,11,7,5,5,5,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"January 16, 2016 Saturday",46 of 94 DOCUMENTS,The Tampa Tribune (Florida),"Wal-Mart closing 259 stores in tumultuous retail climate [JUMP]Some of the 16,000 affected workers may transfer to other sites; Some of the 16,000 affected workers may transfer to other sites",SAMANTHA MASUNAGA The Los Angeles Times,METRO; Business; Pg. 23,,445 words,,,"January 16, 2016",ENGLISH,,,,,,Newspaper,Copyright 2016 Times Publishing Company                               All Rights Reserved
,store,Wal_Mart,close,U.S.,company,closure,club,employee,retail,statement,retailer,new,Sam,country,globally,include,difficult,location,affect,take,transfer,pay,customer,neighborhood,market,supercenter,seven,expand,across,analyst,cut,make,change,pick_up,Walmart,walmart,inc.,friday,269,154,look,reposition,climate,"16,000","10,000",three,place,none,area,jan,ark,percent,within,mile,another,hope,provide,unable,severance,eligible,decision,care,associate,impact,chief,executive,doug,invest,considerable,time,assess,lightly,shut,102,express,pilot,program,start,2011,appeal,six,discount,center,four,focus,service,open,fiscal,2017,way,capitalize,food,sale,strategy,allow,online,purchase,believe,announcement
,14,9,7,6,5,4,4,4,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"February 19, 2016 Friday",48 of 94 DOCUMENTS,The Tampa Tribune (Florida),150K penguins in Antarctica killed after giant iceberg blocked access to food; Commonwealth Bay had been ideal for Adelie colonies,LUIS ANDRES HENAO; The Associated Press,NATION & WORLD; NationWorld; Pg. 14,,258 words,"SANTIAGO, Chile",,"February 19, 2016",ENGLISH,,,,,,Newspaper,Copyright 2016 Times Publishing Company                               All Rights Reserved
,penguin,area,Adelie,scientist,iceberg,block,access,food,study,colony,mile,natural,know,Antarctica,B09B,Commonwealth_Bay,estimate,"150,000",adelie,wipe,cape,denison,five,giant,main,recently,publish,journal,crash,stuck,rarely,cover,make,ideal,"1,120",square,feed,beginning,december,2010,huge,piece,ice,force,bird,walk,search,gradually,reduce,population,thousand,lot,dead,carcass,particularly,young,terrible,really,important,thing,back,survey,conduct,along,find,throughout,sociable,gather,group,well,appearance,classic,tuxedo,researcher,hard,long,take,recolonize,scenario,without,breeding,cycle,lack,new,member,die,Antarctic_Science,Mertz_Glacier_Tongue,sea_ice,Chris_Fogwill,co_author,Fogwill,Climate_Change_Research_Center,University,New_South_Wales,Australia,New_Zealand,West_Coast_Penguin_Trust,worst_case
,7,5,3,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"March 19, 2016 Saturday",49 of 94 DOCUMENTS,The Tampa Tribune (Florida),The public benefits of public transit,KENT BAILEY; Special to The Tampa Tribune,NATION & WORLD; Views; Pg. 30,,540 words,,,"March 19, 2016",ENGLISH,,,,,,Newspaper,Copyright 2016 Times Publishing Company                               All Rights Reserved
,public,transit,health,new,cost,bus,transportation,development,area,system,lose,opportunity,auto,exhaust,create,increase,require,funding,option,good,pay,price,many,drive,plan,subsidize,essential,attract,economy,ignore,community,subsidy,motor,fuel,air,pollution,although,include,electric,recharge,power,less,commuter,environment,rail,go,tax,Hillsborough_County,Tampa,benefit,region,high,remain,major,metropolitan,without,viable,economic,growth,suffer,expensive,issue,due,pedestrian,cyclist,fatality,rate,shameful,traffic,largest,single,source,carbon,emission,bay,climate,change,sea,level,rise,threaten,unimaginable,damage,permissive,policy,sprawling,subdivision,frustrate,vast,agricultural,land,severely,impact,natural,landscape,taxpayer,depress,value,home
,9,6,5,5,5,5,4,4,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"March 28, 2016 Monday",50 of 94 DOCUMENTS,The Tampa Tribune (Florida),Highway deaths will skyrocket as 54.5 mpg standard takes effect,WILLIAM F. SHUGHART II; Tribune News Service,NATION & WORLD; Views; Pg. 11,,570 words,,,"March 31, 2016",ENGLISH,,,,,,Newspaper,Copyright 2016 Times Publishing Company                               All Rights Reserved
,standard,fuel,car,truck,vehicle,economy,mile,per,gallon,less,way,may,EPA,light,meet,average,oil,drive,automaker,produce,mileage,model,place,new,54.5,today,mpg,sell,reduce,mean,soon,efficiency,ratings,run,engines,gasoline,highway,fall,mark,much,2008,bureaucrat,effect,cost,consumer,tougher,mandate,make,lighter,rule,death,price,gas,CAFE,American,epa,june,begin,multistep,midterm,review,2025,put,august,2012,require,2016,34.5,enact,1975,follow,embargo,corporate,voter,dependence,import,uncontroversial,fossil,consumption,save,planet,climate,change,important,recognize,mostly,stuff,fiction,base,motorist,anytime,still,long,post,side,window,determine,various,indoor
,12,8,7,5,5,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"January 13, 2016 Wednesday",55 of 94 DOCUMENTS,The Tampa Tribune (Florida),'The future we want is within our reach' [JUMP]President says change is possible 'if we fix our politics',JULIE PACE The Associated Press,NATION & WORLD; NationWorld; Pg. 1,,727 words,,,"January 13, 2016",ENGLISH,,,,,,Newspaper,Copyright 2016 Times Publishing Company                               All Rights Reserved
,Obama,republican,call,action,take,nation,back,White_House,must,future,security,work,address,keep,democrat,national,we,better,Islamic_State,end,presidency,americans,change,declare,country,division,hold,fix,include,economic,voice,look,word,campaign,law,seek,policy,office,war,vow,group,claim,power,world,many,need,push,president,GOP,Haley,ISIL,eye,urge,tuesday,night,rekindle,belief,promise,carry,allow,fear,insist,within,reach,opportunity,family,happen,together,politics,add,goal,rise,standard,live,sustainable,peaceful,planet,kid,final,state,heart,lawmaker,television,audience,implicit,third,straight,term,time,sarcastically,strike,rival,challenge,stewardship,political,hot,air,swipe,presidential
,8,7,5,5,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"January 20, 2016 Wednesday",56 of 94 DOCUMENTS,The Tampa Tribune (Florida),"Tampa and other cities need Clinton's plan, experience, backbone",,NATION & WORLD; Views; Pg. 25,,678 words,,,"January 20, 2016",ENGLISH,,,,,,Newspaper,Copyright 2016 Times Publishing Company                               All Rights Reserved
,infrastructure,plan,city,time,economic,funding,investment,Tampa,every,state,traffic,family,mean,make,need,federal,billion,support,Hillary,across,mayor,many,experience,flood,average,water,tampa,spend,sit,lead,mobility,have,improve,republican,floridian,job,growth,president,candidate,already,new,stand,put,foot,money,freight,project,type,help,community,climate,well,simply,Republican,Hillary_Clinton,American,buckhorn,lie,awake,night,worry,thing,deteriorate,problem,face,daily,yet,often,powerless,solve,coastal,history,damaging,eight,pipeline,break,contain,four,nation,biggest,bottleneck,surprise,driver,commute,hour,life,gridlock,lose,add,frustration,financial,consequence,business,increasingly,tie,actual,less,earning,live
,6,6,5,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"January 24, 2016 Sunday",58 of 94 DOCUMENTS,The Tampa Tribune (Florida),BRINGING ITSouth Florida real estate booms again as region looks more attractive to Latin American investors,JOSH BOAK [#x2028]AND JENNIFER KAY The Associated Press,BUSINESS; Pg. 1,,1125 words,,,"January 24, 2016",ENGLISH,,,,,,Newspaper,Copyright 2016 Times Publishing Company                               All Rights Reserved
,Miami,percent,real,estate,money,economy,cash,help,condo,average,country,government,time,buyer,go,South_Florida,miami,investment,face,wealthy,tower,area,pay,level,benefit,people,plan,million,wealth,purchase,accord,company,may,luxury,long,rise,beach,international,risk,art,home,almost,drive,stop,foreign,past,developer,expect,yet,wage,drop,worker,unemployment,national,housing,income,local,director,lose,opportunity,access,asset,turn,sale,start,abroad,debt,last,foreigner,spend,nationally,identify,property,grow,use,price,ago,question,compare,data,show,change,expert,draw,bubble,sea,think,many,finish,state,currency,instead,American,Florida_International_University,New_York_City,teeter,brazilian,pour,increasingly
,13,12,11,9,6,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1
"February 2, 2016 Tuesday",59 of 94 DOCUMENTS,The Tampa Tribune (Florida),SECTION: NATION & WORLD; NationWorld; Pg. 19,,,,324 words,,,"February 2, 2016",ENGLISH,,,,,,Newspaper,Copyright 2016 Times Publishing Company                               All Rights Reserved
,ago,make,drug,world,president,report,tornadoe,five,feb.,1914,charle,chaplin,movie,debut,comedy,short,live,release,co.,1653,new,incorporate,1887,punxsutawney,hold,groundhog,festival,1925,legendary,end,last,series,dog,musher,bring,treatment,scene,diphtheria,epidemic,six,leave,nenana,1943,remainder,force,battle,surrender,major,victory,war,ii.,1964,ranger,lunar,probe,launch,crash,onto,surface,moon,plan,fail,send,back,tv,image,1971,idi,amin,seize,power,proclaim,1980,nbc,news,conduct,sting,operation,target,member,use,phony,businessmen,become,know,code,name,protest,kill,people,grim,lead,climate,scientist,government,official,global,warming,severe
,3,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"February 25, 2016 Thursday",61 of 94 DOCUMENTS,The Tampa Tribune (Florida),Marco Rubio: 'Eyes wide shut',,CLEARWATER GAZETTE; CGA; Pg. 11,,465 words,,,"February 25, 2016",ENGLISH,,,,,,Newspaper,Copyright 2016 Times Publishing Company                               All Rights Reserved
,world,rank,country,U.S.,know,time,health,good,economic,place,mobility,Rubio,America,exactly,three,try,make,rest,much,care,develop,nation,organization,best,infrastructure,quality,life,top,ten,greater,marco,measure,inequality,social,love,Obama,United_States,American,marty,moore,pickup,stumble,crux,difference,democrat,republican,embarrassingly,laid,president,inside,six,minute,fourth,shortly,thereafter,debate,dispel,meme,opponent,pounce,call,constant,repetition,robotic,tightly,scrip,leave,sort,real,message,rubio,defend,talk,point,change,we,pay,37th,outcome,think,idea,take,student,performance,report,development,30th,math,23rd,science,20th,read,literacy,look,include,road,bridge,rail,port
,6,5,4,4,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"January 23, 2016 Saturday",65 of 94 DOCUMENTS,The Tampa Tribune (Florida),MacDill officials remind visitors of rules; The base posted restrictions for AirFest on its Facebook page,HOWARD ALTMAN; Tribune staff,METRO; NationWorld; Pg. 20,,609 words,TAMPA,,"January 23, 2016",ENGLISH,,,,,,Newspaper,Copyright 2016 Times Publishing Company                               All Rights Reserved
,base,device,home,gate,include,people,MacDill,bring,leave,drone,show,official,command,many,allow,military,U.S.,march,gun,air,run,war,permit,weapon,knife,prohibit,drug,except,container,food,may,think,either,sign,pet,yet,institute,ban,part,act,state,review,aerial,aircraft,special,seem,operation,Middle_East,Air_Force,list,stuff,plan,head,airfest,set,open,remind,visitor,post,information,facebook,page,firearm,conceal,recognize,base.visitor,advise,replica,toy,stun,electrical,discharge,box,cutter,cut,army,laser,pointer,sharp,object,baton,pepper,spray,mace,chemical,dispense,firework,receive,gift,holiday,season,word,airshow,mean,christmas,drine,welcome,alcohol,control
