PUBLISHED_DATE,DOCUMENTS_INDEX,PUBLISHER,TOPIC,BYLINE,SECTION,SOURCE,LENGTH,DATELINE,SUMMARY,LOAD_DATE,LANGUAGE,CORRECTION_DATE,CORRECTION,GRAPHIC,TYPE,DOCUMENT_TYPE,PUBLISH_TYPE,COPYRIGHT
"December 15, 2004 Wednesday",3 of 89 DOCUMENTS,The Tampa Tribune (Florida),Colder Weather Brings Fish Seeking Warmth,"FRANK SARGEANT, fsargean@tampabay.rr.com",SPORTS; Pg. 2,,732 words,,,"December 17, 2004",ENGLISH,,,,,,Newspaper,Copyright 2004 Times Publishing Company All Rights Reserved
,water,fish,winter,temperature,warmer,bay,snook,area,north,degree,stay,shore,river,wind,flat,fact,low,around,black,inside,spring,outflow,red,catch,plant,warm,captain,grouper,seminar,many,gauge,cold,december,monday,record,outside,bar,school,lot,deep,heat,sink,gather,mangrove,snapper,largemouth,bass,find,affect,along,bottom,common,big,stack,protect,near,power,world,thursday,813,sargeant,fsargean,tampabay.rr.com,angler,depend,amazing,array,electronics,range,position,radar,underwater,television,camera,sonar,yard,either,side,tool,make,enough,use,however,simple,thermometer,show,wide,spread,time,species,sensitive,include,follow,tourist,head,interstate,south,night,strong
,run,Yankees,Boston,game,series,Pedro,Red_Sox,martinez,yankee,night,Martinez,New_York,sox,hit,lead,team,daddy,six,inning,manager,give,take,lieber,outpitch,tampatrib.com,wednesday,exactly,young,man,may,know,starter,club,create,need,right,pitch,three,strike,seven,score,five,back,make,limited,eighth,leadoff,single,ground,ball,rivera,chant,walk,home,thing,play,tonight,Red,Yankee_Stadium,Joe_Torre,gaddis,igaddis,pedro,consider,corporal,punishment,slap,wrist,lecture,really,stern,reminder,wear,pinstripe,pants,around,oedipal,impulse,bring,mound,championship,squelch,combination,timely,dominant,performance,uncle,move,red,nation,wait,lifeline,reel,baseball,friday,paternity,test,prove,positive
,7,6,6,5,5,5,5,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"October 30, 2004 Saturday",29 of 89 DOCUMENTS,The Tampa Tribune (Florida),Church Presents Fall Festival,"DIANE LOEBEL, dloebel@tampatrib.com",PASCO; Pg. 10,,492 words,HUDSON,,"November 1, 2004",ENGLISH,,,"PHOTO CHART Tribune photo by CHRISTINE DeLESSIO The Rev. Deborah Allen says members are ""dedicated to helping each other and the community.""",,,Newspaper,Copyright 2004 Times Publishing Company All Rights Reserved
,church,group,lead,meet,festival,tampatrib.com,congregation,state,road,p.m.,sunday,call,a.m.,dloebel,rev,worship,hold,degree,dedicated,activity,move,sanctuary,child,craft,youth,aplin,may,pumpkin,patch,barbecue,feature,mile,727,Hudson,Allen,Faith,Praise_Band,Tampa_Tribune,loebel,time,june,all,grow,graduate,bachelor,education,master,divinity,seminary,ky,appointment,pastor,warm,friendly,people,help,community,lucky,part,found,december,1977,modular,building,property,build,1980,use,fellowship,hall,classroom,landing,care,center,present,2000,choir,director,organist,quilter,sundays,sue,king,kid,elementary,youngster,evening,support,work,annual,corn,october,14th,fall,today,chair,charge,menu,cost
,7,5,4,4,4,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"May 4, 2004 Tuesday",31 of 89 DOCUMENTS,The Tampa Tribune (Florida),Lawmakers Perform Basics During Another Ugly Session,,NATION/WORLD; Pg. 10,,396 words,,,"May 5, 2004",ENGLISH,,,,,,Newspaper,Copyright 2004 Times Publishing Company All Rights Reserved
,session,key,lawmaker,funding,Byrd,give,many,fail,last,bicker,display,instead,way,end,issue,change,budget,system,little,republican,education,hillsborough,governor,straight,ugly,gov,jeb,bush,desperately,legislative,leader,reassure,collegiality,election,bilious,friday,leave,unresolved,toughen,standard,private,school,voucher,find,protect,state,constitution,frivolous,adopt,force,plan,five,another,embarrassing,feud,bitter,rebound,economy,spared,tough,choice,face,largely,blame,acrimonious,climate,keep,hear,legislator,represent,talent,building,consensus,win,loyalty,colleague,citizen,unbending,harsh,example,try,undo,legislation,push,result,rise,phone,rate,support,project,kill,among,casualty,badly,need,sewer,house,infuriate,tactic
,5,4,4,4,4,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"May 26, 2004 Wednesday",32 of 89 DOCUMENTS,The Tampa Tribune (Florida),"Mayors Put Bets On Table, Talk Trash",Andy Reid,NATION/WORLD; Pg. 8,,198 words,TAMPA,,"May 27, 2004",ENGLISH,,,"PHOTO Pam Iorio Mayor bet oranges, pastries and cigars on the Lightning series.",,,Newspaper,Copyright 2004 Times Publishing Company All Rights Reserved
,Iorio,city,lightning,Bronconnier,hockey,mayor,guava,game,wager,box,pay,Calgary,trash,talk,easy,pam,iorio,describe,tuesday,call,calgary,dave,bronconnier,make,traditional,duel,championship,worried,never,quip,comeback,global,warming,lead,climatic,change,might,become,real,tell,fan,enthusiastic,lose,stanley,cup,final,promise,crate,orange,platter,pastry,cigar,counter,three,case,big,rock,beer,chocolate,five,variety,sausage,new,ethic,code,require,ticket,seat,husband,cost,700,leftover,campaign,money,©,2004,may,republish,without,permission,library,tampatrib.com,TAMPA,Canadian,Tampa_Bay_Lightning,Calgary_Flames,Alberta,Ybor_City,Bernard_Callebaut,Spolumbo,Luxury,Andy_Reid_Copyright,Tampa_Tribune,E_mail
,4,3,3,3,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"June 4, 2004 Friday",33 of 89 DOCUMENTS,The Tampa Tribune (Florida),CAMPAIGN FOR THE CORRIDOR Precinct's Voters Stand By Their President,"BRAD SMITH, bsmith@tampatrib.com",NATION/WORLD; Pg. 1,,1612 words,VALRICO,,"October 2, 2004",ENGLISH,,,"PHOTO 4 CHART MAP Tribune photo by KATHY MOORE-LENGELL Fred AuBuchon, left, and John Fleming are both retired businessmen and work out at the River Hills Country Club. Their political opinions differ. Ian Knox, 22, supports John Kerry. ""If you're running for office, you have an obligation to serve the people and not the private sector,"" he says. Playing with his granddaughter, Jackie, Joe DiVincenzo voiced solid support of the president. ""I think he's a good man. He has good people around him."" Michelle Quinn, 34, says Kerry doesn't have enough experience for her. ""I just don't feel Kerry knows the ropes enough,"" she says. ""Bush has a history."" (MAP) Map detail - Hillsborough County Precinct 814",,,Newspaper,Copyright 2004 Times Publishing Company All Rights Reserved
,Bush,security,national,think,Iraq,Kerry,know,democrat,go,president,better,vote,retire,bush,voter,area,much,thing,wing,precinct,republican,do,lot,issue,good,change,run,AuBuchon,DiVincenzo,hard,814,seem,mind,hold,pool,golf,course,population,register,last,invade,policy,intelligence,view,show,flem,leader,history,along,corridor,election,man,record,war,job,country,feel,Vietnam,smith,tampatrib.com,side,tell,work,yet,politics,divide,campaign,stand,advantage,largely,private,mile,east,census,world,fight,bad,advice,have,around,flow,resignation,head,start,waver,bear,although,agree,interstate,carry,surround,might,kerry,political,serve,may,recent,people,continue
,21,12,11,11,11,10,8,7,7,6,6,6,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"July 9, 2004 Friday",35 of 89 DOCUMENTS,The Tampa Tribune (Florida),WORTH THE RENT New Reporters,Bob Ross,FRIDAY EXTRA!; Pg. 38,,625 words,,,"July 10, 2004",ENGLISH,,,"PHOTO Tribune file photo Bill Murray plays a bored weatherman doomed to live through the same day again and again in ""Groundhog Day.""",,,Newspaper,Copyright 2004 Times Publishing Company All Rights Reserved
,reporter,story,tv,we,comedy,look,play,news,editor,time,whether,better,think,movie,president,man,page,smart,life,good,change,hold,1976,important,question,lead,cast,superb,set,suspense,1940,give,star,remake,headline,reader,investigator,part,culture,worse,business,journalist,range,hardworking,heroes,clueless,clown,character,anchorman,review,accord,constantly,swap,quip,cover,wear,expensive,outfit,live,luxurious,penthouse,real,airwave,rack,newsgathering,remain,staple,filmmaker,always,favorite,example,groundhog,1993,perfect,bored,pennsylvania,weatherman,find,repeat,endless,frustrating,ultimately,enlightening,loop,bear,almost,limitless,repetition,l.a.,1991,another,amusing,weather,guy,unhappy,misfit,land,woman,vapid
,7,7,5,4,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"July 21, 2004 Wednesday",36 of 89 DOCUMENTS,The Tampa Tribune (Florida),Zambrano Gets Lesson In Toughness From Sheffield,"JOE HENDERSON, jhenderson@tampatrib.com",SPORTS; Pg. 1,,792 words,ST. PETERSBURG,,"July 22, 2004",ENGLISH,,,,,,Newspaper,Copyright 2004 Times Publishing Company All Rights Reserved
,Sheffield,hit,time,pitch,Zambrano,run,plate,sheffield,game,pitcher,throw,think,Rays,make,drip,away,shoulder,homer,win,ball,wise,fastball,guy,last,play,team,season,take,go_ahead,at_bat,tampatrib.com,zambrano,afternoon,sixth,inning,well,course,lead,probably,gary,guess,tuesday,trip,bat,tell,stop,bad,watch,nibbling,hitter,challenge,answer,miss,little,bit,keep,shot,stay,hurt,need,walk,Derek_Jeter,Yankees,Torre,Williams,jhenderson,st,petersburg,victor,turn,pleasant,ballpark,sour,flash,hand,start,ray,bring,best,move,human,heartburn,especially,name,acid,tear,stomach,lining,pain,leave,throb,much,basically,limited,let,loose,choose,inside,confines
,7,6,6,5,5,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"October 31, 2004 Sunday",39 of 89 DOCUMENTS,The Tampa Tribune (Florida),Florida Endures In Climate Of Change,"GARY MORMINO, Special to The Tampa Tribune",COMMENTARY; Pg. 1,,1385 words,,,"November 3, 2004",ENGLISH,,,"PHOTO 2 AP photo/Florida Today After Jeanne swept through Barefoot Bay, Jeb Bush was both governor and consoler to 91-year-old Dorothy Dombrow. Tribune photo by JAY CONNER Gary R. Mormino, the Frank E. Duckwall Professor of History, teaches at the University of South Florida's St. Petersburg campus.",,,Newspaper,Copyright 2004 Times Publishing Company All Rights Reserved
,hurricane,Florida,storm,become,state,wind,community,political,2004,new,nature,island,home,history,local,blow,old,beach,way,go,across,take,learn,war,leave,natural,million,people,rich,place,mobile,county,class,2000,real,red,change,powerful,roar,level,many,cultural,past,americans,cover,approach,bent,palm,tree,surge,emergency,coast,damage,disaster,landscape,to,hurr,severe,power,barometric,pressure,strike,population,teach,geography,stranger,need,park,help,another,poor,emerge,slice,mansion,retirement,polk,politician,river,phosphate,citrus,may,upon,hundred,water,role,play,replace,expensive,law,physics,sewage,land,Sunshine_State,Pensacola_Bay,Miami,Modern,Charley,Frances,Ivan
,20,17,12,6,6,5,5,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"October 31, 2004 Sunday",40 of 89 DOCUMENTS,The Tampa Tribune (Florida),An Election With Outcomes Predetermined,"RICK BARRY, rbarry@tampatrib.com",PINELLAS; Pg. 1,,579 words,ST. PETERSBURG,,"November 3, 2004",ENGLISH,,,,,,Newspaper,Copyright 2004 Times Publishing Company All Rights Reserved
,state,election,race,thing,way,look,versus,people,percent,fear,change,tampatrib.com,st,petersburg,eve,wrong,well,close,much,professor,government,estimate,legislator,anything,make,decision,reason,interest,defeat,feel,free,elect,party,pass,company,word,hope,may,enough,Paulson,barry,rbarry,time,though,scary,scribe,lean,back,stare,ceiling,opine,finger,stubby,predict,beat,upcoming,horse,fun,involve,heavy,lift,lab,animal,risk,..,easy,none,congressional,local,ok,national,pretty,have,hear,entirely,already,bottom,ballot,barely,interesting,liz,mccallum,kare,seel,likely,maybe,judge,affair,truly,unfortunate,strew,type,across,space,sad,indicator,health,body,politic
,5,4,4,4,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"November 28, 2004 Sunday",42 of 89 DOCUMENTS,The Tampa Tribune (Florida),"Squalor In ""The Scrub'","LELAND HAWES, lhawes@tampatrib.com",BAYLIFE; Pg. 12,,795 words,,,"December 1, 2004",ENGLISH,,,"PHOTO 3 (C) John F. Germany Public Library, used with special permission Living conditions in ""The Scrub,"" a predominantly black section of Tampa north of downtown, were poor in the 1920s. Many residents used privies, and garbage service was scarce. Photos from John F. Germany Public Library Lula Street, with its sandy, unpaved road, typified The Scrub in the early 1950s. Hundreds of people lived in shanties, many without water connections. Lula Street no longer exists. Many women in The Scrub ""took in washing"" and dried sheets and clothing on backyard clotheslines. This photograph was taken in 1951.",,,Newspaper,Copyright 2004 Times Publishing Company All Rights Reserved
,black,Tampa,report,area,condition,resident,live,1927,white,Central_Park_Village,many,today,street,later,know,Raper_Report,go,decade,tampatrib.com,follow,civil,housing,project,authority,continue,consider,photographer,take,evidence,without,water,connection,call,light,time,secretary,name,interracial,little,author,hospital,bond,issue,facility,population,own,sewer,worst,foot,income,city,privileged,citizen,change,Burgert,Scrub,trouble,back,hawe,lhawe,settle,turbulent,war,number,transition,north,downtown,bordering,site,sprawling,urban,renewal,raze,earlier,structure,1960,focus,renew,controversy,next,incarnation,recently,postpone,decision,family,deplorable,standard,section,epitomize,ultimate,slum,picture,page,show,endure,late,half,20th,century
,9,9,6,5,5,5,4,4,4,4,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"December 10, 2004 Friday",43 of 89 DOCUMENTS,The Tampa Tribune (Florida),Court Probation Officers Hit The Street,"LISA A. DAVIS, ldavis@tampatrib.com",METRO; Pg. 4,,1088 words,,,"December 13, 2004",ENGLISH,,,"PHOTO Tribune photo by VICTOR JUNCO The state wants court probation officers, such as Maureen Watson in Hillsborough County, supervising probationers.",,,Newspaper,Copyright 2004 Times Publishing Company All Rights Reserved
,probation,officer,case,judge,court,courtroom,violation,circuit,offender,Ivey,move,judicial,defendant,official,county,make,information,Brucia,a.,street,6th,public,supervising,provide,cost,state,report,office,abduction,murder,charge,however,show,Corrections,Smith,McCabe,davis,tampatrib.com,include,put,past,six,dec.,issue,duty,hearing,question,direct,jail,august,supervision,home,without,role,death,change,correction,arrest,violate,send,base,fire,effect,decision,need,chief,letter,tell,go,person,demer,write,system,may,reporter,high_profile,Florida_Department,Sarasota,Deltona,DeLand,Victorino,cite,object,ldavis,homicide,slay,part,reason,remove,certified,back,test,run,today,comprising,longer,assign,another,transfer
,27,23,14,12,8,7,7,6,6,6,5,5,5,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"March 17, 2004 Wednesday",45 of 89 DOCUMENTS,The Tampa Tribune (Florida),John Kerry And Porter Goss Have Same Record On Intelligence,Tony Coelho,NATION/WORLD; Pg. 11,,588 words,,,"September 18, 2004",ENGLISH,,,,,,Newspaper,Copyright 2004 Times Publishing Company All Rights Reserved
,intelligence,cut,president,approve,new,funding,percent,reader,budget,order,support,staff,commission,Clinton,Congress,America,coelho,political,presidential,campaign,march,fact,former,colleague,record,1990,bipartisan,majority,vote,overseas,operation,bush,republican,national,community,serve,unanimous,threat,world,enemy,party,House,Kerry,Goss,Congressman_Goss,turn,space,last,week,treat,latest,mythology,need,ask,selective,omission,key,leave,false,impression,oppose,sen,kerry,endorse,closer,look,demonstrate,young,earn,overwhelming,house,strong,position,often,call,simple,voice,congressme,right,cancel,core,decline,fail,mention,include,17.5,charge,write,1992,office,1993,unsuccessfully,seek,million,specialize,language,training,heel,spy
,14,8,7,5,5,4,4,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"March 20, 2004 Saturday",46 of 89 DOCUMENTS,The Tampa Tribune (Florida),RARIN' TO GROW,"JOHN C. ALLEYNE, Tribune correspondent",BAYLIFE AT HOME; Pg. 1,,830 words,LARGO,,"March 23, 2004",ENGLISH,,,"PHOTO 3 University of Florida Institute of Food and Agricultural Sciences (TREE OF GOLD: a showy tree that covers itself in bright yellow, trumpet-shaped flowers.) University of Florida Institute of Food and Agricultural Sciences The red maple can grow to 80 feet tall, although it is usually smaller in home landscapes. Photo by DAVID M. SAVERCOOL The Southern magnolia's blossom is one of the biggest flowers. It often is used as a table decoration.",,,Newspaper,Copyright 2004 Times Publishing Company All Rights Reserved
,tree,grow,foot,area,soil,flower,tall,leave,red,Florida,often,site,spring,cover,pine,elm,maple,plant,full,may,small,yellow,foliage,find,best,Bay,sustain,environment,damage,green,air,keep,temperature,home,species,thrive,attain,quickly,disease,follow,condition,yard,select,summer,bark,cluster,white,fruit,magnolia,large,evergreen,fragrant,wet,bright,turn,drop,winter,live,spread,well,slash,rapidly,type,make,sun,gold,bloom,information,woody,horticulture,Southern,Pinus,Tabebuia,trumpet_shaped,well_drained,Jacaranda,University,urban,forest,help,alleyne,tribune,correspondent,draw,people,industry,attract,research,show,urbanization,result,decline,space,worsen,quality,popular,way,restore,increase
,22,13,9,7,7,7,5,5,5,5,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"March 23, 2004 Tuesday",47 of 89 DOCUMENTS,The Tampa Tribune (Florida),5 QUESTIONS WITH ... Alison Morano,Geoff Fox,PASCO; Pg. 2,,717 words,,,"March 25, 2004",ENGLISH,,,PHOTO Alison Morano,,,Newspaper,Copyright 2004 Times Publishing Company All Rights Reserved
,Wesley_Chapel,area,business,community,county,hope,growth,need,make,official,chapel,chamber,live,work,look,anything,development,people,Florida,internet,several,board,husband,five,still,group,resident,idea,take,meeting,every,future,land,government,affair,committee,together,initial,ago,grow,home,find,lifestyle,technology,top,have,enough,preserve,great,developer,without,life,bookstore,real,build,Wesley,Pasco_County,marketer,belong,organization,include,chairwoman,woman,association,native,n.y.,much,talk,lately,incorporate,leader,exploring,incorporation,back,burner,discuss,additionally,continue,vision,lay,mainly,point,view,chairman,write,statement,record,present,serve,blueprint,toward,prosperous,meet,twice,expand,report,best,a.,love
,12,8,7,7,6,5,4,4,4,4,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"March 27, 2004 Saturday",48 of 89 DOCUMENTS,The Tampa Tribune (Florida),Franchisor Buys Out Thrifty Outlets,"JO-ANN JOHNSTON, jfjohnston@tampatrib.com",MONEYSENSE; Pg. 1,,418 words,TAMPA,,"March 29, 2004",ENGLISH,,,,,,Newspaper,Copyright 2004 Times Publishing Company All Rights Reserved
,franchise,company,thrifty,brand,business,purchase,dollar,automotive,group,Thrifty,Orlando,Tampa_International_Airport,corporate,airport,market,Laser_Leasing,tampatrib.com,operate,car,rental,outlet,franchisor,may,people,work,owner,employee,notify,sale,decide,buy,TAMPA,Tampa,Tulsa,Benitez,job,secure,jfjohnston,sell,buyer,okla,expect,employ,almost,323,base,biggest,concern,respect,benitez,orlando,lawyer,represent,118,tampa,run,additional,205,three,area,alert,state,labor,department,impend,acquisition,require,law,director,property,contract,term,disclose,own,separate,counter,give,total,control,growth,rather,affiliate,fewer,resource,promote,interested,high,volume,tourist,traffic,profitable,executive,available,friday,comment,fit,pattern,key,news
,7,5,5,5,4,4,4,4,4,4,4,4,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"May 16, 2004 Sunday",51 of 89 DOCUMENTS,The Tampa Tribune (Florida),Schools Grapple With Confederate Flag Issue,"STEVEN ISBITTS, sisbitts@tampatrib.com",PINELLAS; Pg. 1,,458 words,LARGO,,"May 18, 2004",ENGLISH,,,,,,Newspaper,Copyright 2004 Times Publishing Company All Rights Reserved
,student,flag,school,issue,board,symbol,continue,display,member,code,principal,among,need,work,Brown,decision,allow,discussion,tampatrib.com,offensive,campus,ban,distraction,language,whether,particular,today,way,progress,committee,conflict,include,expect,may,sisbitt,source,pride,other,confederate,battle,controversial,administrator,january,suspension,protest,presence,prevalence,spark,peaceful,organized,debate,high,countywide,passionate,dialogue,open,consider,unanimously,agree,wednesday,create,environmental,climate,learn,highest,achievement,part,slight,change,current,specify,prohibit,final,clothing,policy,place,involve,campaign,educate,side,best,go,fully,understand,black,problem,probably,story,have,hear,parent,ago,sign,insignia,think,perfectly,mary,outspoken,potentially
,9,7,7,5,5,5,4,4,4,4,4,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"May 25, 2004 Tuesday",54 of 89 DOCUMENTS,The Tampa Tribune (Florida),The Lightning's Incredible Rise,,NATION/WORLD; Pg. 10,,490 words,,,"May 27, 2004",ENGLISH,,,"PHOTO Tampa hockey fans, old and new, surely agree with David Devine of Lakeland.",,,Newspaper,Copyright 2004 Times Publishing Company All Rights Reserved
,sport,NHL,lightning,fan,hockey,marketing,team,championship,area,game,franchise,stick,ago,take,league,win,go,south,many,run,need,tough,form,potential,professor,view,great,Tampa_Bay,Tribune,hard,believe,worst,surge,cellar,final,nothing,short,incredible,saturday,memorable,event,history,equally,important,people,think,icing,frosting,cake,debate,penalty,box,old,bar,know,rule,intricacy,offended,guide,jump,bandwagon,earlier,thankful,familiarization,basic,puck,drop,back,1992,sell,border,1892,enough,winter,actually,ice,mean,kid,unlike,neighbor,north,little,opportunity,skate,local,pond,pickup,six,1967,subtropical,climate,primary,goal,ought,drive,rink,david,carter,expert
,7,7,5,5,4,4,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"June 9, 2004 Wednesday",55 of 89 DOCUMENTS,The Tampa Tribune (Florida),Retaining Players Becomes Priority,"SCOTT CARTER, scarter@tampatrib.com",SPORTS; Pg. 6,,570 words,TAMPA,,"June 6, 2005",ENGLISH,,,"PHOTO CHART The Associated Press Coach John Tortorella, right, can expect the Bolts to offer regular-season scoring champion Martin St. Louis a long-term contract this summer.",,,Newspaper,Copyright 2004 Times Publishing Company All Rights Reserved
,lightning,club,season,million,free,agent,st,louis,core,keep,player,cup,expect,another,future,contract,option,unrestrict,around,tampatrib.com,impossible,long,win,stanley,playoff,intact,next,think,league,top,make,july,raise,nikolai,khabibulin,return,sign,restrict,rw,martin,cory,brad,NHL,Feaster,hope,build,group,carter,scarter,do,seem,ago,miss,rebuild,project,coach,general,manager,jay,feaster,envision,peak,earlier,nearly,task,today,professional,sport,climate,run,whenever,reach,peace,labor,front,time,good,hand,include,name,winner,thursday,list,thing,offseason,deal,qualify,offer,deadline,attempt,scoring,champion,1.5,final,command,put,yearly,salary,range
,8,6,6,6,6,6,5,5,4,4,4,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"June 10, 2004 Thursday",56 of 89 DOCUMENTS,The Tampa Tribune (Florida),WHAT'S DEVELOPING,"IVAN J. HATHAWAY, ihathaway@tampatrib.com",SOUTH TAMPA; Pg. 2,,587 words,SOUTH TAMPA,,"June 12, 2004",ENGLISH,,,,,,Newspaper,Copyright 2004 Times Publishing Company All Rights Reserved
