PUBLISHED_DATE,DOCUMENTS_INDEX,PUBLISHER,TOPIC,BYLINE,SECTION,SOURCE,LENGTH,DATELINE,SUMMARY,LOAD_DATE,LANGUAGE,CORRECTION_DATE,CORRECTION,GRAPHIC,TYPE,DOCUMENT_TYPE,PUBLISH_TYPE,COPYRIGHT
"February 1, 2007 Thursday",2 of 182 DOCUMENTS,The Tampa Tribune (Florida),IS THE SKY FALLING?,"KEVIN BEGOS, The Tampa Tribune",NATION/WORLD; Pg. 1,,1205 words,,,"February 6, 2007",ENGLISH,,,CHART PHOTO,,,Newspaper,Copyright 2007 Times Publishing Company All Rights Reserved
,global,warming,report,insurance,change,hurricane,company,insurer,much,uncertainty,may,make,storm,need,climate,last,temperature,Valverde,coastal,policy,friday,model,industry,higher,Scott,raising,rate,spokesman,part,have,issue,due,release,reinsurance,cost,though,draft,stronger,suggest,take,Florida,new,convinced,bego,major,expect,warmer,human,likely,percent,scientific,debate,already,pay,fact,ocean,private,answer,process,state,risk,play,far,yet,huge,average,loss,billion,increase,business,catastrophe,price,weather,help,although,situation,example,accord,link,enough,powerful,data,cooler,1930,spike,decade,contribute,component,many,public,modeling,project,greenhouse,gas,ground,happen,solution,require,mean
,12,7,7,7,6,6,6,5,5,5,5,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"December 1, 2007 Saturday",64 of 182 DOCUMENTS,The Tampa Tribune (Florida),Can I Prevent Allergy Problems On Vacation?,"RICHARD F. LOCKEY, M.D., Tribune correspondent",4YOU; Pg. 29,,576 words,,,"December 11, 2007",ENGLISH,,,,,,Newspaper,Copyright 2007 Times Publishing Company All Rights Reserved
,travel,allergy,asthma,plan,pollen,medication,may,avoid,season,medical,home,food,ask,take,allergen,pet,photo,lockey,tribune,vacation,help,count,peak,ragwee,allergic,grass,daily,air,prescribe,need,plane,long,allergist,immunologist,leave,make,room,best,dog,cat,Allergy,Immunology,f.,m.d,correspondent,mean,relax,sightsee,perhaps,enjoy,recreation,woodland,near,mountain,water,last,thing,trip,ruin,attack,ahead,minimize,effect,change,climate,foliage,accommodation,trigger,pay,investigate,destination,visit,example,sensitive,wise,september,height,likewise,spring,proliferating,www.weather.com,report,quality,forecast,across,pack,luggage,consider,physical,sometimes,increase,dose,patient,backup,program,begin,fail,use,flow
,8,7,5,5,5,5,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"March 8, 2007 Thursday",66 of 182 DOCUMENTS,The Tampa Tribune (Florida),GOP Leaders Say It's Easy Being Green,"KEVIN BEGOS, The Tampa Tribune",METRO; Pg. 1,,594 words,,,"March 9, 2007",ENGLISH,,,PHOTO,,,Newspaper,Copyright 2007 Times Publishing Company All Rights Reserved
,Florida,state,talk,energy,Crist,alternative,think,California,crist,leader,environmental,director,partnership,Pattison,may,bego,activist,gov,charlie,speech,greenhouse,gas,time,people,head,direction,several,change,form,address,much,support,still,business,million,tampatrib.com,Tampa_Tribune,Century_Commission,Associated_Industries,profitable,decade,liberal,progress,slow,worst,nonexistent,use,bully,pulpit,green,twist,might,speed,thing,opportunity,pursue,bold,policy,good,environment,actually,make,money,open,legislative,session,tuesday,pledge,put,forefront,grow,worldwide,movement,reduce,national,produce,hearing,word,dream,true,fantastic,executive,1000,friend,have,stuff,real,honestly,right,work,recipe,involve,political,sustainable,2005,legislature,study,option,future
,10,6,5,5,5,4,4,4,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"March 12, 2007 Monday",67 of 182 DOCUMENTS,The Tampa Tribune (Florida),LETTERS,,NATION/WORLD; Pg. 14,,1080 words,,,"March 17, 2007",ENGLISH,"March 13, 2007","Jim Lyman's March 12 letter should have read that new digital billboards would change every eight seconds, not 80.",,,,Newspaper,Copyright 2007 Times Publishing Company All Rights Reserved
,tax,property,sale,county,new,increase,school,need,homeowner,pay,chance,home,eliminate,march,penny,budget,2007,go,move,create,raise,real,estate,system,child,progressive,Florida,another,regard,let,lovely,idea,enough,mess,ad,change,every,insurance,lutz,next,official,find,population,percent,yet,million,continue,add,city,spend,local,government,future,time,already,lose,resident,must,rubio,far,fair,editorial,work,people,ownership,double,current,question,proposal,give,individual,study,hope,vote,oppose,problem,legislature,cent,food,rent,rate,expansion,boon,economic,income,premise,may,many,largest,market,state,service,solution,voter,JIM,driver,distraction,digital,marvelous
,31,11,9,7,5,5,5,5,5,5,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1
"April 22, 2007 Sunday",71 of 182 DOCUMENTS,The Tampa Tribune (Florida),Putting The Focus On Learning,"RONNIE BLAIR, The Tampa Tribune",PASCO; Pg. 1,,1451 words,NEW PORT RICHEY,,"April 23, 2007",ENGLISH,,,PHOTO 4,,,Newspaper,Copyright 2007 Times Publishing Company All Rights Reserved
,school,student,learn,teacher,focus,method,district,strategy,teach,training,lesson,question,Newton,begin,way,subject,photo,classroom,many,essential,time,Strategies,new,tell,concept,take,know,display,summarize,principal,title,allow,thing,exemplary,feel,wall,Fiorentino,Pasco,Webb,change,train,introduce,use,educator,academic,administrator,superintendent,fiorentino,make,decline,without,plan,best,practice,involve,group,initial,research,consortium,study,credit,federal,Learning,Meacher,Marlowe_Elementary,Thompson,blair,elementary,lead,among,january,2006,give,end,every,heather,improve,top,priority,president,introduction,morale,involved,staff,complete,burden,act,help,good,ago,company,call,return,pull,together,sift,unimportant,tie,well
,24,22,21,16,15,12,12,11,10,8,7,7,7,6,6,6,6,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"March 17, 2007 Saturday",85 of 182 DOCUMENTS,The Tampa Tribune (Florida),Admiral Brings fresh View To Centcom,"RICHARD LARDNER, The Tampa Tribune",NATION/WORLD; Pg. 1,,1186 words,,,"March 20, 2007",ENGLISH,,,PHOTO 4 CHART,,,Newspaper,Copyright 2007 Times Publishing Company All Rights Reserved
,Army,command,july,photo,Iraq,Abizaid,Fallon,war,gen,commander,gen.,aug.,U.S.,troops,fallon,strategic,plan,retire,Gates,friday,ceremony,military,adm,2003,general,abizaid,nov.,Centcom,Afghanistan,change,reference,focus,central,officer,william,move,force,go,time,make,country,situation,navy,ground,operation,perspective,credit,Middle_East,John_Abizaid,Natter,thousand,nearly,broader,challenge,new,avoid,expect,leader,gate,call,use,enemy,never,responsible,without,we,reach,robert,natter,former,interview,larger,political,problem,arise,nuclear,admiral,may,work,have,think,reporter,col,career,lead,1983,movie,thank,staff,field,family,kelley,march,1981,*,1985,1988,1991,p.
,12,9,8,8,8,8,8,6,6,6,6,6,6,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"May 3, 2007 Thursday",89 of 182 DOCUMENTS,The Tampa Tribune (Florida),Cultivating Interest In A Green Earth,"YVETTE C. HAMMETT, The Tampa Tribune",BRANDON; Pg. 1,,449 words,,,"May 5, 2007",ENGLISH,,,PHOTO 2,,,Newspaper,Copyright 2007 Times Publishing Company All Rights Reserved
,tree,Earth,poem,generation,student,much,maple,ham,plant,photo,vow,c.,hammett,air,forest,prepare,take,gift,program,gather,red,read,use,youngster,school,importance,message,without,tall,oak,tampatrib.com,jane,Tampa_Tribune,Alafia_Elementary_School,Arbor,tree_planting,Ham,arbor,pollute,climate,change,disappearing,woe,member,produce,medicine,people,around,friday,commemorate,destruction,oath,care,grow,incorporate,lesson,science,ceremony,foundation,promote,green,infrastructure,urban,suburban,area,lead,charge,reconnect,nature,pick,cause,provide,teach,packet,voucher,information,every,stress,do,hot,job,caring,really,believe,need,food,shade,keep,we,cool,give,shelter,animal,family,yard,add,able,live,carbon
,15,5,4,4,4,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"August 4, 2007 Saturday",91 of 182 DOCUMENTS,The Tampa Tribune (Florida),WILL THIS WORK WHEN YOU NEED IT?,"ELLEN GEDALIUS, The Tampa Tribune",NATION/WORLD; Pg. 1,,1714 words,,,"August 10, 2007",ENGLISH,,,PHOTO 3 CHART,,,Newspaper,Copyright 2007 Times Publishing Company All Rights Reserved
,hydrant,fire,water,department,city,inspect,work,inspection,firefighter,problem,make,show,state,law,pay,record,maintain,chief,sure,pipe,Jones,fact,annual,time,three,die,per,county,report,Tampa,Baird,Vaughan,require,pressure,annually,percent,accord,fail,nearly,july,ensure,official,flow,area,target,need,service,responsible,repair,notify,may,dad,find,week,last,know,people,division,ago,expert,employee,photo,Tampa_Tribune,gedalius,probably,least,despite,collect,maintenance,million,many,check,every,2005,properly,blaze,concern,critical,2001,case,concerned,obviously,past,director,reason,assign,responsibility,worker,cap,well,prevent,cost,roughly,unincorporated,hillsborough,go,recommend,hear,part
,64,30,27,26,24,18,15,9,8,7,7,6,6,6,6,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"October 9, 2007 Tuesday",96 of 182 DOCUMENTS,The Tampa Tribune (Florida),Republicans Ramping Up To Cultivate Minorities,"WILLIAM MARCH, The Tampa Tribune",METRO; Pg. 1,,1019 words,,,"October 18, 2007",ENGLISH,,,,,,Newspaper,Copyright 2007 Times Publishing Company All Rights Reserved
,black,republican,voter,minority,party,Greer,*,election,outreach,effort,crist,vote,show,among,candidate,make,GOP,reach,plan,leave,attempt,political,community,state,council,hispanics,head,percent,change,democrat,hispanic,future,inclusion,go,Republican_Party,march,chairman,jim,greer,include,conference,independent,walk,mean,never,have,engage,new,department,directly,mix,prospect,time,side,exit,poll,trend,toward,number,active,reason,dominate,decline,die,please,former,people,season,may,right,perceive,tampatrib.com,Tampa_Tribune,Florida_Republican_Party,Tallahassee,Cuban_American,Orlando,Hispanic,Florida,South_Florida,MacManus,NAACP,organize,aim,set,begin,describe,major,next,thousand,gov,office,question,recognition,importance,hear,become,viable,force
,16,12,11,9,8,8,6,6,5,5,5,5,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"October 10, 2007 Wednesday",97 of 182 DOCUMENTS,The Tampa Tribune (Florida),Coal's Future Fading To Black,"RUSSELL RAY, The Tampa Tribune",BUSINESS; Pg. 1,,1299 words,,,"October 18, 2007",ENGLISH,,,,,,Newspaper,Copyright 2007 Times Publishing Company All Rights Reserved
,coal,plant,state,electricity,power,Florida,gas,carbon,demand,utility,dioxide,natural,build,emission,near,energy,plan,expensive,coal_fired,use,project,drop,meet,nuclear,photo,oil,source,generate,without,percent,significantly,fuel,company,deny,Tampa_Electric,governor,another,greenhouse,reject,option,electric,less,*,require,executive,gasification,produce,appeal,unit,Crist,clean_coal,Black,United_States,cleaner,ray,nation,five,crist,megawatt,million,need,turn,reliable,almost,rise,department,new,generation,group,though,wind,can,always,risky,bad,president,way,level,concern,know,cause,still,ton,change,capture,store,rule,limiting,finalize,grow,may,include,august,propose,issue,decision,billion,spokeswoman,order
,23,19,14,12,12,12,10,9,9,8,7,7,7,7,7,6,6,6,6,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"October 18, 2007 Thursday",98 of 182 DOCUMENTS,The Tampa Tribune (Florida),Land of Dreams: A Short History,"WALT BELCHER, The Tampa Tribune",BAYLIFE; Pg. 1,,1420 words,,,"October 26, 2007",ENGLISH,,,,,,Newspaper,Copyright 2007 Times Publishing Company All Rights Reserved
,Florida,state,million,photo,history,film,war,population,world,people,Florida_Dream,many,1950,paradise,dream,change,ii,air,water,make,resident,home,half,soldier,1949,credit,go,young,2.7,cover,channel,interview,trace,social,economic,end,community,tourism,future,tax,professor,note,another,lose,development,military,training,conditioning,growth,1960,open,walt,Elliston,Cape_Canaveral,Mormino,belcher,wonderful,able,beautiful,tree,discover,postcard,tropical,sun,stand,orange,next,decade,grow,18.5,tonight,use,cultural,force,shape,producer,florida,lot,housing,boom,cuban,fleeing,everglade,image,continue,face,issue,bigger,historian,mormino,poor,put,condominium,book,live,have,become,highway,better
,28,22,15,13,8,7,7,6,6,6,6,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"December 9, 2007 Sunday",103 of 182 DOCUMENTS,The Tampa Tribune (Florida),'Everyone Turns Out To Be Something',"PENNY CARNATHAN AND GARY R. MORMINO, The Tampa Tribune",BAYLIFE; Pg. 1,,2330 words,,,"December 19, 2007",ENGLISH,,,,,,Newspaper,Copyright 2007 Times Publishing Company All Rights Reserved
,photo,newsboy,work,child,Tony,little,tom,picture,valenti,produce,Tampa,three,manning,brother,Tony_Valenti,time,boy,find,name,life,make,father,family,Valenti,1913,newspaper,old,library,story,take,know,live,Hine,Tony_Pizzo,back,photograph,city,tell,photographer,search,everyone,sell,school,directory,die,leave,tribune,might,street,portrait,identify,book,bear,something,nothing,another,information,go,group,tony,business,mother,Joe,Sexton,buff,labor,stare,shot,many,anonymous,historian,descendant,fact,grow,tampa,include,a.m.,night,list,every,gather,anyone,become,tycoon,son,still,never,talk,good,believe,often,enough,hour,credit,right,Lewis_Hine,Tribune,Garcia_Avenue,Camp
,18,14,14,13,13,11,11,10,10,10,10,9,9,9,9,8,8,8,8,7,7,7,7,7,6,6,6,6,6,6,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
"January 3, 2007 Wednesday",108 of 182 DOCUMENTS,The Tampa Tribune (Florida),Polar Bears' Significance To Florida,,NATION/WORLD; Pg. 10,,364 words,,,"January 16, 2007",ENGLISH,,,PHOTO,,,Newspaper,Copyright 2007 Times Publishing Company All Rights Reserved
,bear,polar,melting,ice,century,global,warming,nation,photo,concern,floridian,endangered,temperature,arctic,increase,sea,level,scientist,estimate,need,greenhouse,recent,past,researcher,save,may,Florida,plight,whether,love,wildlife,department,list,species,number,plummete,higher,hunt,grounds,dwindle,time,enough,disastrous,predict,beach,wipe,away,rise,inch,next,scientific,give,continue,200,square,mile,local,land,probably,protection,inundation,erosion,price,tag,stagger,share,kinship,predator,realize,dispute,reality,particularly,significance,gas,minority,new,evidence,appear,shore,case,report,find,risen,degree,call,unprecedented,development,study,link,stronger,hurricane,conclude,decade,20th,warmest,400,potentially,several,thousand
,5,4,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"February 11, 2007 Sunday",113 of 182 DOCUMENTS,The Tampa Tribune (Florida),LETTERS,,PASCO; Pg. 2,,1104 words,,,"February 14, 2007",ENGLISH,,,,,,Newspaper,Copyright 2007 Times Publishing Company All Rights Reserved
,people,go,animal,control,attack,dog,happen,neighborhood,think,warming,family,adult,store,let,move,land,kid,road,county,zone,leave,child,fiction,global,time,democracy,project,U.S.,American,video,sell,community,without,we,north,u.s.,state,however,word,spread,petition,present,law,business,another,block,change,future,regard,end,barn,try,message,reply,still,take,someone,anything,start,fire,tax,gear,story,spray,cause,natural,age,liberal,hear,ever,war,terror,snow,found,father,folk,fretful,plan,military,citizen,use,unfettered,official,appear,new,tennis,evacuation,route,Pasco_County,Gore,Earth,Wesley_Chapel,threaten,great,buy,home,picture,point,oh
,6,6,6,6,6,5,5,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1
"February 12, 2007 Monday",114 of 182 DOCUMENTS,The Tampa Tribune (Florida),FAST FORWARD,Kurt Loft,NATION/WORLD; Pg. 10,,475 words,,,"April 5, 2007",ENGLISH,,,PHOTO,,,Newspaper,Copyright 2007 Times Publishing Company All Rights Reserved
,skin,keep,may,rock,answer,bacteria,scientist,study,live,science,carbon,dioxide,time,stumper,many,find,human,previously,population,body,way,play,role,atmosphere,today,world,high,concentration,gas,global,warming,hand,possible,offer,correct,air,enzyme,react,tannin,tampatrib.com,University,five_card,feeling,itchy,wonder,zoo,home,180,kind,new,molecular,plethora,creepy,thing,eight,unknown,species,accord,various,diverse,think,shed,light,symbiotic,relationship,small,creature,host,appear,permanent,resident,other,transient,adapt,microbiologist,disease,bacterial,stable,critical,part,good,health,read,fret,become,icy,orb,long,ago,oldest,sedimentary,greenhouse,probably,early,earth,freezing,researcher,analyze,ancient
,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"March 4, 2007 Sunday",117 of 182 DOCUMENTS,The Tampa Tribune (Florida),Don't Underestimate The Costs Of Rail,DON CRANE,COMMENTARY; Pg. 1,,864 words,,,"March 6, 2007",ENGLISH,,,PHOTO 2,,,Newspaper,Copyright 2007 Times Publishing Company All Rights Reserved
,system,rail,cost,transportation,plan,area,transit,bus,city,station,total,Tampa_Bay,large,regional,neighborhood,photo,project,light,parking,garage,real,test,land,highway,many,car,walk,use,Turanchik,forward,course,disagree,public,bring,difficult,estimate,support,circulator,add,world,tell,build,ridership,must,experience,call,local,allow,couple,integrate,travel,direction,destination,density,make,far,expensive,access,resident,propose,traffic,road,crossing,crane,Transportation_Committee,long,thoughtful,enthusiastic,political,leader,visionary,patience,discipline,move,big,idea,important,courage,stay,spite,opposition,spear,enamor,might,hard,thought,express,paper,feb,take,exception,grand,present,go,due,commuter,emerge,rapid,feed
,21,17,11,10,9,7,7,7,5,5,5,5,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"March 29, 2007 Thursday",119 of 182 DOCUMENTS,The Tampa Tribune (Florida),Resource Recovery A Burning Success,JIM NORMAN,NATION/WORLD; Pg. 13,,559 words,,,"April 2, 2007",ENGLISH,,,PHOTO,,,Newspaper,Copyright 2007 Times Publishing Company All Rights Reserved
,waste,landfill,facility,gas,need,plant,electricity,recovery,greenhouse,atmosphere,county,solid,less,resource,garbage,result,use,environmental,impact,generate,renewable,fact,sustainable,fuel,oil,modern,process,system,reduce,material,space,raw,bury,methane,million,decision,energy_from_waste,Hillsborough_County,benefit,mark,anniversary,expansion,significant,ever,today,heighten,concern,build,eastern,hillsborough,meeting,disposal,create,far,environment,conventional,power,decrease,dependence,enough,serve,"30,000",family,business,partner,operator,earn,work,well,three,other,ability,household,mean,rely,fossil,coal,federal,acknowledge,produce,almost,source,temperature,exceed,"1,800",degree,combustion,exhaust,rout,sophisticated,pollution,control,formation,nitrogen,oxide,safely,capture,acid,compound
,7,7,6,5,4,4,4,4,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"March 31, 2007 Saturday",121 of 182 DOCUMENTS,The Tampa Tribune (Florida),BUSINESS BRIEFS,A staff and wire report,BUSINESS; Pg. 1,,403 words,,,"April 4, 2007",ENGLISH,,,,,,Newspaper,Copyright 2007 Times Publishing Company All Rights Reserved
,company,Tampa,president,report,site,Outback,area,resign,late,friday,sell,plan,condominium,unemployment,percent,rate,group,walmart.com,buy,a.m.,OSI,Super_Bowl,Wal_Mart,bay,outback,join,january,short,statement,parent,personal,reason,chief,operating,officer,paul,avery,assume,leadership,brand,interim,basis,change,stockholder,schedule,vote,april,whether,effort,host,xliii,2009,name,oversee,mammoth,football,event,native,help,organize,basketball,tournament,1998,director,operation,xxx,task,force,2001,pull,plug,luxury,hotel,conference,center,klauber,tell,port,official,proceed,explain,development,cost,increase,unit,probably,quickly,project,earlier,stay,static,state,3.3,february,encompass,hillsborough,county,3.4,ago
,4,4,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"April 28, 2007 Saturday",127 of 182 DOCUMENTS,The Tampa Tribune (Florida),An Instrumental Teacher,"FELIX L. MARTINEZ, The Tampa Tribune",BRANDON; Pg. 1,,1053 words,RUSKIN,,"May 1, 2007",ENGLISH,,,PHOTO 6,,,Newspaper,Copyright 2007 Times Publishing Company All Rights Reserved
,music,Davis,school,band,photo,program,make,student,teacher,new,high,play,director,John_Davis,trombone,davis,among,move,Lennard_High,Hillsborough_County,player,direct,lennard,open,position,orchestra,teach,serve,go,2002,enjoy,Ruskin,Pennsylvania,Oest,challenge,l.,martinez,recently,moment,right,patience,mr.,department,dr.,earl,j.,little,experience,person,give,reward,unique,throughout,system,oversee,chorus,native,really,feel,good,principal,interview,look,job,population,south,live,musician,degree,honor,college,find,uniform,small,money,funding,county,reach,tampatrib.com,credit,tribune,spooneybarger,Tampa_Tribune,Barbara_Davis,James_Madison_University,Hope,MICHAEL,form,passionate,patient,share,class,recall,carefully,watch,remove,glass,relive,note
,20,18,16,9,9,8,7,6,6,5,5,5,5,5,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1
"June 12, 2007 Tuesday",135 of 182 DOCUMENTS,The Tampa Tribune (Florida),THE INSIDE SCOOP,,NATION/WORLD; Pg. 2,,860 words,,,"June 14, 2007",ENGLISH,,,PHOTO 4,,,Newspaper,Copyright 2007 Times Publishing Company All Rights Reserved
,page,Apple,computer,boomer,report,rate,age,percent,photo,Safari,software,developer,free,sale,othe,business,today,higher,child,help,housing,2007,mortgage,may,include,world,try,take,conference,steve,job,announce,apple,monday,release,version,operating,system,plan,make,october,program,standard,go,new,call,feature,let,user,find,document,file,view,baby,less,generation,fewer,likely,economist,begin,last,remain,major,grow,lender,start,credit,history,early,million,bill,price,improve,fuel,efficiency,use,open,face,nation,parent,autistic,claim,vaccination,issue,error,tampatrib.com,golf,tournament,iPhone,U.S.,Tampa_Tribune,officer,move,aim,boost,reach,relevance,internet,browser
,6,5,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1
"June 13, 2007 Wednesday",136 of 182 DOCUMENTS,The Tampa Tribune (Florida),Where The Wild Things Are,"JOYCE McKENZIE, The Tampa Tribune",NORTHEAST; Pg. 8,,901 words,,,"June 15, 2007",ENGLISH,,,PHOTO 4,,,Newspaper,Copyright 2007 Times Publishing Company All Rights Reserved
,water,survival,classroom,camp,photo,solar,plastic,Nature,Balthazor,student,learn,science,teach,way,make,leave,use,hole,still,summer,many,kid,session,school,part,heat,teacher,shelter,find,important,help,skill,great,workshop,mckenzie,evapotranspiration,turbidity,foreign,adult,time,wild,four,include,three,district,adventure,thirst,a.e,always,identify,plant,technique,purify,drink,child,extract,process,collect,sock,parasite,dig,understand,thing,know,project,color,easier,hike,hour,wilderness,tampatrib.com,june,Tampa_Tribune,sixth_graders,Benito_Middle_School,Stefan_Cevallos,Anna,Ten_year_old,survive,outdoors,giardia,term,believe,familiar,jargon,bent,live,tell,tale,case,group,across,county,converge,offer,site,nestle,bank,environmental
