PUBLISHED_DATE,DOCUMENTS_INDEX,PUBLISHER,TOPIC,BYLINE,SECTION,SOURCE,LENGTH,DATELINE,SUMMARY,LOAD_DATE,LANGUAGE,CORRECTION_DATE,CORRECTION,GRAPHIC,TYPE,DOCUMENT_TYPE,PUBLISH_TYPE,COPYRIGHT
"September 27, 1999, Monday",1 of 88 DOCUMENTS,The Tampa Tribune (Florida),Study links warming to bigger hurricanes;,"JAN HOLLINGSWORTH, of The Tampa Tribune;","NATION/WORLD, Pg. 1",,579 words,,,"September 28, 1999",ENGLISH,,,,,,,Copyright 1999 Times Publishing Company                               All Rights Reserved
,storm,hurricane,report,global,warming,temperature,climate,nin,system,Atlantic,warm,world,number,surface,weather,grow,future,cycle,accord,air,may,increase,wildlife,fund,establish,link,rise,dramatic,late,1990,activity,record,1998,heat,phenomenon,severe,water,formation,critter,recent,past,state,el,of,la,regular,mean,frequent,intense,atlantic,new,uncheck,pollution,planet,spark,destructive,warn,publish,set,threaten,coast,period,unprecedented,form,1995,time,century,four,churn,sept,think,cause,gas,power,plant,car,industry,trap,close,spawn,controversy,degree,affect,life,earth,whether,researcher,predict,lead,flood,drought,blizzards,general,climatic,instability,other,challenge,evidence,call
"August 18, 1999, Wednesday",32 of 88 DOCUMENTS,The Tampa Tribune (Florida),"""There's no new news here';",,"FLORIDA/METRO, Pg. 6",,423 words,,,"August 19, 1999",ENGLISH,,,,,,,Copyright 1999 Times Publishing Company                               All Rights Reserved
,state,action,affirmative,governor,make,access,initiative,over,form,discriminate,opportunity,review,policy,eliminate,mean,abolish,position,employment,contracting,change,sure,reach,do,people,thing,think,create,debate,appointment,follow,comment,gov,jeb,bush,plan,quota,preference,intend,new,news,candidate,consistently,ask,every,aspect,preferential,treatment,price,race,group,either,executive,order,go,legislature,suggestion,essentially,system,hire,top,administration,ensure,many,element,program,right,define,rubric,emphasize,work,better,different,a.,connerly,responsibility,lead,carry,important,problem,despite,good,intention,divide,confusion,divisive,climate,harder,we,accomplish,try,avoid,public,happy,third,way,middle,ground,place,passionate
,6,6,5,4,4,4,4,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"August 21, 1999, Saturday",33 of 88 DOCUMENTS,The Tampa Tribune (Florida),Can you help?;,Beth Dolan;,"BAYLIFE AT HOME, Pg. 1",,524 words,,,"August 27, 1999",ENGLISH,,,"PHOTO (2C),  (C) (clothesline)
NOTES: ODDS & ENDS",,,,Copyright 1999 Times Publishing Company                               All Rights Reserved
,use,decorator,heat,bath,kitchen,Christie,plant,free,volunteer,among,greenhouse,sale,school,guide,p.m.,staff,call,information,dryer,honor,20th,century,auction,200,work,cool,warming,save,energy,unit,shade,water,web,include,Reader,Los_Angeles,time,marie,selby,botanical,garden,811,s.,palm,ave,look,spot,open,groomer,bookshop,people,inventory,monitor,interpreter,educational,display,learn,center,tour,child,grade,kindergarten,middle,grounds,hour,generally,a.m.,may,determine,need,training,provide,coordinator,941,tip,week,hair,blow,dust,fragile,object,flower,arrangement,suggest,author,1988,top,interior,house,innovator,sept.,approximately,create,highlight,custom,piece,decorative,de,wolf
,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"August 24, 1999, Tuesday",34 of 88 DOCUMENTS,The Tampa Tribune (Florida),"To those who have to work outside, Florida's summer heat is more than uncomfortable: It's; downright dangerous.;","JEROME R. STOCKFISCH, of The Tampa Tribune;","BUSINESS & FINANCE, Pg. 1",,1009 words,,,"August 25, 1999",ENGLISH,,,"CHART; PHOTO (2C),  (C) Allen Yergovich, general manager of the Snug Harbor Boat Yard in Madeira Beach, sands the rudder housing of a boat. ""You just get used to suffering through it."" GARY RINGS, Tribune photo",,,,Copyright 1999 Times Publishing Company                               All Rights Reserved
,heat,worker,work,drink,occur,boat,temperature,water,yard,stress,take,fluid,period,body,job,cool,around,summer,people,exhaustion,core,think,attention,occupational,cause,increase,depletion,employer,rest,Steven_Field,allow,part,finish,standard,general,humidity,we,time,disorder,construction,break,strategy,word,use,suffer,physician,health,state,climate,risk,syncope,cramp,stroke,play,much,band,conditioning,plenty,offer,outdoor,can,condition,northern,safety,hazard,loss,consciousness,become,though,salt,employee,prompt,begin,symptom,require,wear,supervisor,workplace,know,sign,medical,train,Yergovich,Busch_Gardens,Field,Health_Administration,swelter,owner,install,deck,bottom,crew,find,man,couple,hour,later,groggy,stretch
,26,11,7,6,6,5,5,5,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1
"August 30, 1999, Monday",36 of 88 DOCUMENTS,The Tampa Tribune (Florida),Laggard storm season hits stride;,"NEIL JOHNSON, of The Tampa Tribune;","NATION/WORLD, Pg. 5",,711 words,,,"August 31, 1999",ENGLISH,,,,,,,Copyright 1999 Times Publishing Company                               All Rights Reserved
,storm,hurricane,season,tropical,Bell,active,condition,form,three,major,Landsea,Atlantic,august,work,predict,become,june,produce,gulf,move,percent,much,expert,four,wind,really,window,away,far,long,grow,cluster,meteorologist,help,together,impact,atmosphere,place,september,thing,create,high,shift,slightly,north,moisture,water,develop,virtually,favorable,Mexico,Africa,usually,late,oct,lollygagging,almost,tropic,punch,time,clock,second,half,unfolding,pretty,accord,script,describe,back,spring,continue,earlier,hyperactive,powerful,normal,folk,wonder,researcher,scientist,professor,activity,gray,expect,111,mph,greater,call,least,typical,six,though,stretch,nov.,do,aug,oct.,period,limited,opportunity
,22,14,12,7,7,6,6,5,4,4,4,4,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"December 2, 1999, Thursday",38 of 88 DOCUMENTS,The Tampa Tribune (Florida),The right climate; The West Shore business district combines convenient location with a small-town atmosphere.;,"JANIS D. FROELICH, of The Tampa Tribune;","NORTHWEST, Pg. 1",,931 words,,,"December 3, 1999",ENGLISH,,,"PHOTO (2C); MAP (C),  (C) Tom Miles, WestShore Plaza general manager, visits the food court filled with customers. The food court is scheduled to expand to 521 seats by Christmas 2000.  FRED FOX, Tribune photo",,,,Copyright 1999 Times Publishing Company                               All Rights Reserved
,mall,business,area,West_Shore,office,worker,work,downtown,court,district,number,Westshore,place,client,space,close,lunch,parking,cover,home,change,food,make,expect,Stokes,near,drive,reach,director,look,corporate,future,run,building,atmosphere,find,appeal,salesman,dining,shop,store,right,firm,detailing,spot,open,6:30,another,company,traffic,bring,much,construction,location,minute,stay,go,metamorphosis,grow,service,live,1995,2020,growth,stoke,commute,Tampa_International_Airport,Westshore_Alliance,WestShore_Plaza,Castellanos,Hillsborough_County,shore,33607,top,world,america,whose,alliance,betterment,member,north,east,largest,market,outside,"83,000",mostly,white,collar,labor,forest,mirror,park,quality,typically,associate,small,convenience,short
,8,7,7,7,6,6,5,5,5,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"February 11, 1999, Thursday",44 of 88 DOCUMENTS,The Tampa Tribune (Florida),Bad conduct is universal;,,"NATION/WORLD, Pg. 18",,1402 words,,,"February 12, 1999",ENGLISH,,,,,,,Copyright 1999 Times Publishing Company                               All Rights Reserved
,physician,care,manage,rate,president,great,reimbursement,elect,poll,Clinton,justice,company,column,democrat,opinion,trial,individual,group,article,woman,correct,contract,resign,force,leave,jury,country,read,pope,advocate,public,impeach,matter,impeachment,North_Carolina,Tampa,Ruth,need,jan,doubt,conduct,anyone,abuse,percent,appear,worry,fail,contracting,take,huge,control,next,antitrust,law,doctor,use,insurance,simply,judge,guarantee,increase,pay,higher,fact,play,tampa,gem,every,best,last,local,wit,enjoy,rev,besides,think,harbor,opportunity,help,leader,life,party,removal,constitution,face,congressme,we,voting,people,hope,man,particular,bring,close,cause,show,lie,grand,Washington
,10,8,6,6,6,5,5,5,5,5,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"February 13, 1999, Saturday",45 of 88 DOCUMENTS,The Tampa Tribune (Florida),NEW TAMPA;,AMY LELAND;,"UNIVERSITY/NEW TAMPA, Pg. 12",,636 words,,,"February 15, 1999",ENGLISH,,,"SIGNATURE 2
NOTES: BIZ BRIEFS",,,,Copyright 1999 Times Publishing Company                               All Rights Reserved
,business,p.m.,SBDC,a.m.,call,chamber,office,offer,plan,information,feb.,fee,resort,open,blvd,wednesday,director,board,free,small,receive,copy,book,next,march,condominium,house,center,farm,tuesday,thursday,noon,meeting,tampa,name,member,new,yoga,class,training,seminar,week,marketing,tip,p.m,go,cultural,start,step,learn,attendee,send,Commerce,hate,leave,lovable,rover,home,work,relief,pebble,creek,pet,doggie,care,groom,boarding,service,provide,feature,control,climate,environment,large,dog,run,kitty,cat,lounge,miniature,live,area,range,size,town,veterinary,technician,fish,tank,watch,affiliate,storefront,away,19651,b.,downs,grand,celebration,complete
,11,7,7,5,5,5,5,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"March 2, 1999, Tuesday",47 of 88 DOCUMENTS,The Tampa Tribune (Florida),"Lebanese, Israelis brace for more attacks;",Compiled from Tribune wires;,"NATION/WORLD, Pg. 12",,589 words,,,"March 3, 1999",ENGLISH,,,,,,,Copyright 1999 Times Publishing Company                               All Rights Reserved
,monday,Israeli,fear,mile,iron,phytoplankton,Lebanon,Piccard,former,bombing,keep,city,border,bomb,fight,guerrilla,take,begin,kill,four,south,new,filing,plankton,researcher,ocean,hope,greenhouse,gas,team,food,global,scientist,carbon,dioxide,need,balloon,drift,toward,pick,jet,stream,across,set,orbiter,island,capital,riot,Israel,Antarctic,New_Zealand,California,round_the_world,Elson,Christian,Ambon,warplane,roar,overhead,fighter,seal,remain,base,destroy,airstrike,night,embark,campaign,crowd,smaller,usual,main,market,"200,000",north,parent,child,home,school,northern,town,resident,celebrating,jewish,holiday,crowded,shelter,war,side,sunday,roadside,israelis,rocket,fire,unidentified,hit,neighborhood,run,report
,8,5,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"March 6, 1999, Saturday",48 of 88 DOCUMENTS,The Tampa Tribune (Florida),CO2-induced warming is on;,,"NATION/WORLD, Pg. 17",,223 words,,,"March 7, 1999",ENGLISH,,,,,,,Copyright 1999 Times Publishing Company                               All Rights Reserved
,average,increase,state,temperature,issue,coal,produce,electricity,little,doubt,part,percent,scientist,worldwide,heat,carbon,greenhouse,warming,pbs,air,program,western,antarctic,ice,sheet,wreak,havoc,coastline,especially,number,extreme,climatic,event,unfortunately,descend,upon,related,slight,global,national,geographic,last,may,clearly,july,soon,100,degree,fahrenheit,citizen,must,become,educated,topic,elect,representative,responsible,inform,we,dioxide,emission,combustion,contribute,significant,portion,150,million,ton,co2,emit,nationally,recently,cement,plant,own,block,burn,tire,hope,ignite,statewide,trend,v.,cunilio,st,leo,writer,center,dioxide_induced,melt_down,Florida,Deep_South,Carbon,Jacksonville,Gainesville,Orlando,Tampa,Florida_Rock,Alachua_County_Commission
,3,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"March 8, 1999, Monday",49 of 88 DOCUMENTS,The Tampa Tribune (Florida),Plane contrails;,Compiled by Kurt Loft;,"NATION/WORLD, Pg. 6",,516 words,,,"March 9, 1999",ENGLISH,,,"SIGNATURE (C); PHOTO (C),  (C) ""The Living Sea"" includes shots of the diverse marine life found off the islands of Palau, including these colorful corals.
NOTES: FAST FORWARD SCI TECH",,,,Copyright 1999 Times Publishing Company                               All Rights Reserved
,study,believe,researcher,contrail,light,sand,music,accord,include,new,subject,atmosphere,world,d.c,track,jet,square,mile,cloud,scientist,plan,make,fluorescent,take,use,ocean,film,note,hearing,older,people,age,perceive,frequency,Washington,University,wispy,trail,condensation,leave,wake,airplane,larger,impact,report,watch,institute,satellite,data,expand,thousand,rather,dissipating,evolve,cirrus,trap,heat,upper,research,team,single,spread,"4,000",six,hour,million,commercial,military,flight,alone,problem,lead,percent,increase,cloudiness,1960,agency,climate,work,way,beach,class,chemical,virtually,identical,may,basis,environmentally,friendly,home,office,television,computer,laptop,display,chemist,find,photoluminescent,silicate
,5,4,4,4,4,4,4,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"March 20, 1999, Saturday",51 of 88 DOCUMENTS,The Tampa Tribune (Florida),Internet access served at cafe;,,"UNIVERSITY/NEW TAMPA, Pg. 1",,486 words,,,"March 21, 1999",ENGLISH,,,"SIGNATURE (C)
NOTES: WHAT'S DEVELOPING",,,,Copyright 1999 Times Publishing Company                               All Rights Reserved
,facility,bank,Website_Cafe,cafe,street,zone,company,request,area,building,SouthTrust,Bearss_Avenue,restaurant,bar,open,e.,across,feature,station,full,around,site,branch,near,b.,downs,132nd,avenue,allow,project,storage,foot,USF,Gallo,Bruce,University,Wilkinson,mini_storage,slated,monday,2811,fowler,ave,private,internet,booth,patron,relax,surf,net,computer,color,monitor,venue,eight,game,four,virtual,reality,designer,seat,250,people,offer,menu,soup,salad,sandwich,plus,wide,array,dessert,specialty,coffee,liquor,live,entertainment,weekend,decor,center,worldwide,motif,image,scenery,globe,information,call,813,check,web,wwww.vrcafe.com,plan,build,location,boulevard,campus,apply,change,1.6
,4,4,4,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"March 23, 1999, Tuesday",52 of 88 DOCUMENTS,The Tampa Tribune (Florida),Choice rally raps abortion proposals;,"MICHELLE PELLEMANS, of The Tampa Tribune;","FLORIDA/METRO, Pg. 6",,425 words,,,"March 24, 1999",ENGLISH,,,"PHOTO,  The Rev. Katherine Hancock Ragsdale says pending abortion bills in the Florida Legislature threaten religious liberty and endanger the lives of young women. COLIN HACKLEY, TRIBUNE photo
NOTES: LEGISLATURE '99",,,,Copyright 1999 Times Publishing Company                               All Rights Reserved
,abortion,group,choice,Ragsdale,Florida,woman,religious,life,doctor,violence,priest,often,favor,monday,reproductive,bill,speak,americans,issue,clinic,parental,notification,registration,sometimes,reason,license,choose,plate,state,Religious_Coalition,legislative,effort,curb,create,climate,breed,claim,though,use,argue,antiabortion,side,debate,religion,moral,dilemma,united,step,national,organization,denomination,go,offensive,pend,liberty,threaten,people,erroneously,purport,behalf,rev,episcopal,chairwoman,young,endangered,must,assert,form,rights,coalition,member,former,president,become,1993,number,attack,provider,recently,vandalism,last,clearwater,accord,legislation,consideration,minor,seek,provide,dangerous,teens,good,stupid,refuse,talk,parent,find,way,anyway,illegal
,12,5,4,4,4,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"March 27, 1999, Saturday",53 of 88 DOCUMENTS,The Tampa Tribune (Florida),Commission divides development into 2 separate zoning districts;,Tom Brennan;,"BRANDON, Pg. 2",,401 words,,,"March 28, 1999",ENGLISH,,,,,,,Copyright 1999 Times Publishing Company                               All Rights Reserved
,acre,foot,U.S.,rezon,301,corner,install,speed,hump,use,development,square,west,Apollo_Beach,follow,separate,commercial,exist,northeast,rental,continue,operate,let,leasing,facility,street,e.,avenue,300,south,boat,part,store,Harbor_Bay,approve,change,tuesday,regional,impact,zone,district,plan,allow,ltd,rezone,718,southwest,add,107,southern,boundary,consolidate,project,"1,750",residential,unit,"260,000",space,"40,000",office,extend,subdivision,east,onto,divide,lot,conventional,mobile,home,211,dr.,martin,luther,king,jr.,boulevard,heavy,equipment,tool,center,land,owner,build,intensive,76th,broadway,23rd,road,open,storage,trailer,adjacent,sale,operation,granting,special,vested,rights,permit
,8,7,6,5,5,4,4,4,4,4,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"April 2, 1999, Friday",55 of 88 DOCUMENTS,The Tampa Tribune (Florida),Worth the rent Steve Martin;,Bob Ross;,"FRIDAY EXTRA!, Pg. 36",,1520 words,,,"April 3, 1999",ENGLISH,,,"SIGNATURE (C); PHOTO (2C),  (2C) Above: Martin goes on an ill-fated road trip in ""Planes, Trains and Automobiles."" Right: Martin is a con man in ""Dirty Rotten Scoundrels."" Tribune file photos
NOTES: WORTH THE RENT VIDEO",,,,Copyright 1999 Times Publishing Company                               All Rights Reserved
,Martin,director,play,star,comedy,make,film,movie,write,man,love,show,try,base,move,1991,watch,go,create,give,become,small,feature,fan,home,include,expect,millionaire,plot,body,comic,whose,laugh,role,update,help,father,bear,family,young,age,realize,tv,original,live,add,job,four,great,start,comedian,title,let,slapstick,name,worth,romp,remake,video,favorite,reiner,martin,fly,along,way,humor,follow,musical,drama,starr,wife,new,girlfriend,tale,less,important,brain,stuck,vicious,find,1984,physical,performance,example,pass,surprisingly,romantic,life,little,1986,appearance,three,1987,act,we,end,know,travel,story
,28,7,7,7,7,6,6,5,5,5,5,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"April 11, 1999, Sunday",56 of 88 DOCUMENTS,The Tampa Tribune (Florida),"Sightseeing, fine dining and sports lure visitors;",,"TRAVEL, Pg. 2",,890 words,,,"April 12, 1999",ENGLISH,,,"PHOTO,  The cafes, shops and other businesses nestled around the waterfront in the St. Bart town of Gustavia are made for exploring on foot. Photo from Suzanne Murphy-Larronde
NOTES: SPECIAL SECTION ON THE CARIBBEAN",,,,Copyright 1999 Times Publishing Company                               All Rights Reserved
,hotel,winter,de,Gustavia,available,room,range,dinner,include,percent,airport,week,must,island,double,great,harbor,priced,price,check,fresh,lobster,la,water,St._Jean,air,service,plus,major,car,rental,company,rate,350,fall,summer,reservation,stay,bring,suite,place,meal,drink,high,boast,fine,view,resort,begin,150,house,small,reasonably,season,drop,september,make,people,call,le,dish,salad,chicken,moderate,expensive,quai,popular,hill,sport,hat,good,currency,shopping,St._Martin,French,best,bet,via,hop,plane,fare,run,offer,daily,flight,ii,equip,night,arrival,ferryboat,tax,around,vehicle,advance,advise,wheel,unless,plan,camp
,6,5,5,5,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"April 18, 1999, Sunday",57 of 88 DOCUMENTS,The Tampa Tribune (Florida),"How ""Yankee strangers' lured newcomers to Florida; After the Civil War, transplanted Northerners encouraged migration in an effort to moderate the; state's attitudes.;","LELAND HAWES, of The Tampa Tribune ;","BAYLIFE, Pg. 10",,1268 words,,,"April 19, 1999",ENGLISH,,,"PHOTO 3,  Stowe family members were pictured on the veranda at their home in Mandarin. Note the roof running around the oak tree.  Photo from Florida State Photographic Archives
NOTES: HISTORY & HERITAGE",,,,Copyright 1999 Times Publishing Company                               All Rights Reserved
,Florida,beecher,new,Swaim,Jacksonville,article,state,author,write,make,Yankee,Beecher_Stowe,stowe,stranger,start,black,house,become,governor,brother,Harrison_Reed,South,war,book,bring,begin,minister,follow,john,buy,col,resident,John_Swaim,Northern,Stowe,Chloe_Merrick,uncle,help,northerner,wife,transformation,professor,anthropology,develop,diary,draw,religious,life,slave,publication,pitch,course,area,1867,st,river,visitor,orange,south,spread,yankee,traditional,man,early,teacher,teach,federal,troops,soon,control,orphanage,commissioner,know,reconstruction,meet,jame,former,prove,railroad,different,vision,florida,rate,immigration,create,newcomer,cotton,st.,countryside,among,well,1869,position,appoint,superintendent,public,education,lead,another
,22,8,7,7,7,6,6,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"April 29, 1999, Thursday",58 of 88 DOCUMENTS,The Tampa Tribune (Florida),Pastor opposes bar show;,"BILL THOMPSON, of The Tampa Tribune;","PASCO, Pg. 1",,786 words,,,"April 30, 1999",ENGLISH,,,,,,,Copyright 1999 Times Publishing Company                               All Rights Reserved
,show,dancer,good,Happy_Days,woman,Woodard,Randall,bar,male,business,county,commissioner,think,randall,time,view,area,ordinance,adult,lownd,Dade_City,owner,dance,body,bomp,patron,look,yes,affect,value,review,image,community,past,church,four,young,chippendale,friday,however,call,attract,feature,take,may,local,new,sex,code,deal,semi_nude,Young,preacher,try,figure,stake,picture,crowded,dimly,light,taut,muscular,writh,rhythm,tribal,beat,torso,glistening,sweat,bead,pop,profusely,forehead,eagerly,wait,stuff,portrait,dead,president,lingerie,rather,eye,patch,helmet,watch,troupe,gyrate,seem,fun,other,erstwhile,candidate,neither,display,immoral,attend,encourage,drink,drive
,10,8,8,7,6,6,6,5,5,4,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"May 23, 1999, Sunday",59 of 88 DOCUMENTS,The Tampa Tribune (Florida),USS Forrestal; Tampa can look to other cities for lessons as it considers a plan to bring an aircraft carrier; to downtown.;,"MICHAEL FECHTER, GEORGE CORYELL and JACQUELINE SOTEROPOULOS, of The Tampa Tribune;","NATION/WORLD, Pg. 1",,2836 words,,,"May 25, 1999",ENGLISH,,,"PHOTO 3 (2C); CHART,  (FINAL) (3) There's room enough on the Forrestal's hangar deck, above, to stage conventions. But paint peeling from the ceiling, below left, gives an indication of how much maintenance the supercarrier requires. At night, Robert McDougall, the carrier's Newport, R.I. site manager, checks part of the crews' sleeping quarters.  DAVE GEIGER, Tribune photo",,,,Copyright 1999 Times Publishing Company                               All Rights Reserved
,ship,Forrestal,carrier,group,museum,million,money,tourist,war,Lexington,Martin,visitor,forrestal,make,project,exhibit,work,world,draw,attraction,much,go,cost,area,director,lease,Intrepid,Yorktown,support,ticket,1985,bring,give,public,debt,city,official,need,admission,ii,repair,pay,aquarium,Tampa,Patriots_Point,history,private,bond,consultant,six,well,offer,use,revenue,audit,maintenance,paint,state,budget,dock,float,projection,percent,Fisher,know,naval,create,sale,lead,july,later,still,interested,take,lot,early,next,building,mayor,board,think,report,back,look,record,run,government,struggle,last,without,break,site,annual,similar,cold,leave,may,away,port
,29,23,18,18,16,15,14,12,10,10,9,8,8,8,8,8,7,7,7,7,7,7,6,6,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
"July 28, 1999, Wednesday",63 of 88 DOCUMENTS,The Tampa Tribune (Florida),On safe ground;,"MILTON D. CARRERO, of The Tampa Tribune;","NATION/WORLD, Pg. 1",,1085 words,,,"July 29, 1999",ENGLISH,,,"PHOTO 3 (2C),  Tampa helps Colombians assimilate American lifestyles, says Myriam Angulo.",,,,Copyright 1999 Times Publishing Company                               All Rights Reserved
,colombian,Colombia,Miami,people,political,Tampa,Colombian,U.S.,civil,war,need,help,leave,asylum,protection,government,Pardo,many,country,work,find,make,job,United_States,Zapata,professional,situation,try,move,arrive,permanent,go,president,policy,immigrant,status,phone,call,last,guerrilla,family,kidnap,provide,massacre,economic,know,without,tampa,home,grow,child,other,certain,area,hispanics,seek,number,recent,visit,visa,hope,residency,miami,time,recently,obtain,immigration,stay,prove,persecute,back,threat,encourage,threaten,intensify,lawyer,pass,exam,ago,front,remember,escape,ask,temporary,give,receive,English,Florida,Hammer,American_Service_Association,Pastrana,watch,native,disintegrate,maelstrom,kidnapping,murder,chaos,psychologist
