PUBLISHED_DATE,DOCUMENTS_INDEX,PUBLISHER,TOPIC,BYLINE,SECTION,SOURCE,LENGTH,DATELINE,SUMMARY,LOAD_DATE,LANGUAGE,CORRECTION_DATE,CORRECTION,GRAPHIC,TYPE,DOCUMENT_TYPE,PUBLISH_TYPE,COPYRIGHT
"June 9, 2002, Sunday",1 of 34 DOCUMENTS,The New York Post,THE EPA'S HOT AIR,,All Editions; Pg. 024,,462 words,,,"June 13, 2002",ENGLISH,,,,,,,"Copyright 2002 N.Y.P. Holdings, Inc. All rights reserved."
,change,report,human,activity,much,EPA,last,cause,president,gas,climate,world,America,global,warming,greenhouse,put,bureaucracy,science,due,administration,know,create,temperature,take,answer,truly,economy,affect,Kyoto,monday,notify,accept,notion,real,next,stop,happily,appear,bush,quickly,dismiss,protocol,mean,reduce,industrial,use,blueprint,economic,catastrophe,doubt,quick,characterize,notification,though,technically,face,fierce,criticism,otherwise,ally,call,with,ouch,however,flap,seem,misinterpretation,accord,describe,serious,issue,seek,opinion,undecided,problem,blame,state,observe,several,decade,likely,mostly,rule,significant,part,reflection,natural,variability,word,course,concern,might,go,wobbly,understandable,barely,week,ago
,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"August 19, 2002, Monday",21 of 34 DOCUMENTS,The New York Post,NUMBERS TO CHEW ON - COSI IPO SHOWS WHY INVESTORS SHOULD READ FINE PRINT,Christopher Byron,All Editions; Pg. 035,,1239 words,,,"August 19, 2002",ENGLISH,,,"Andy Stenzler - CEO, Cosi/Zando",,,,"Copyright 2002 N.Y.P. Holdings, Inc. All rights reserved."
,company,business,stock,market,million,last,offer,investor,financial,IPO,ipo,cosi,anyone,buy,every,seem,bull,take,place,yet,grow,plenty,crook,put,money,know,simply,right,next,stuff,people,week,wait,go,name,loss,1990,certainly,sandwich,black,public,percent,real,report,share,revenue,deal,five,fast_food,need,back,point,time,hearing,have,look,chain,coffee,shop,thing,kind,thanks,soar,price,play,moment,co,future,hardly,launch,perfectly,sort,trash,chase,fact,white,home,connection,bother,read,filing,much,fall,still,1996,estate,news,world,per,include,enough,tech,value,nearly,200,debt,inc.,annually,operating
,11,9,9,9,9,8,8,7,7,7,5,5,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"August 27, 2002, Tuesday",22 of 34 DOCUMENTS,The New York Post,EEK! ASBESTOS!,,All Editions; Pg. 024,,265 words,,,"August 27, 2002",ENGLISH,,,,,,,"Copyright 2002 N.Y.P. Holdings, Inc. All rights reserved."
,union,asbestos,200,firetruck,trade,find,safety,apparatus,time,go,way,great,job,maybe,bravest,enough,mind,represent,work,overtime,make,matter,worse,complain,upwards,may,contaminate,lethal,residue,collapse,world,center,almost,ago,study,commission,activist,watchdog,group,five,rigs,contain,level,federal,standard,extrapolate,finding,set,present,varying,length,proclaim,potential,emergency,ho,hum,certain,type,demonstrate,factor,lung,cancer,ingest,lengthy,period,plutonium,fiber,squirt,rig,firehose,guess,away,seat,cushion,vacuum,air,conditioner,change,filter,problem,solve,understand,mischief,9/11,heroism,mystery,health,officer,respects,locate,dead,do,respect,live,create,climate,firefighter,pay,raise
,4,4,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"September 27, 2002, Friday",23 of 34 DOCUMENTS,The New York Post,TO BETTER FIGHT TERROR,,All Editions; Pg. 030,,444 words,,,"September 27, 2002",ENGLISH,,,,,,,"Copyright 2002 N.Y.P. Holdings, Inc. All rights reserved."
,restriction,political,9/11,police,information,NYPD,agency,terrorist,administration,ask,federal,ability,cripple,department,terrorism,consent,file,activist,different,public,law,enforcement,know,local,city,critically,share,urgent,Bloomberg,law_enforcement,City_Hall,press,home,new,reality,court,judge,lift,right,monitor,activity,harsh,merely,inconvenience,job,impose,unrealistic,limit,combat,date,1986,agreement,arise,1969,lawsuit,several,radical,include,late,abbie,hoffman,member,creation,age,climate,widespread,distrust,base,disclosure,domestic,spy,program,length,cooperate,plaintiff,forbid,cop,photograph,videotaping,attend,gather,without,specific,advance,crime,plan,stop,keep,group,people,clearly,condition,restraint,time,become,increasingly,sophisticated,nation,face
,5,4,4,4,4,4,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"October 5, 2002, Saturday",24 of 34 DOCUMENTS,The New York Post,WEITZ OBIT STUNS FASHIONISTAS,,All Editions; Pg. 010,,1076 words,,,"October 8, 2002",ENGLISH,,,DUSTIN HOFFMAN JESSE VENTURA,,,,"Copyright 2002 N.Y.P. Holdings, Inc. All rights reserved."
,Weitz,much,Fairchild,obituary,foundation,Cartier,put,tell,hour,call,Hitler,Streisand,many,drop,read,designer,former,man,still,mention,trade,late,fairchild,know,make,name,talk,several,include,whose,people,watch,later,little,give,vote,sept,busy,night,band,feature,event,magazine,charity,time,million,really,feel,longer,WWD,Ventura,fashionable,jaw,unlocked,morning,elegant,urbane,writer,die,age,quote,publisher,wear,daily,fear,fashionistas,buzzing,career,write,waspishly,high,society,with,nom,de,plume,countess,louise,ban,rag,bible,show,cover,product,survive,cold,shoulder,run,successful,business,friend,privately,complain,bigger,expunge,good,company,disappear,mercurial
,8,5,5,4,4,4,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"November 8, 2002, Friday",25 of 34 DOCUMENTS,The New York Post,"NO PRETENDING ; TO CHRISSIE HYNDE, EARTH'S IN CRITICAL CONDITION",Dan Aquilante,All Editions; Pg. 056,,924 words,,,"November 8, 2002",ENGLISH,,,"Chrissie Hynde is tough, smart, political and not afraid to speak her mind.",,,,"Copyright 2002 N.Y.P. Holdings, Inc. All rights reserved."
,hynde,post,pretender,environment,talk,speak,must,song,know,give,live,political,mind,chrissie,relax,believe,within,population,late,really,start,fool,go,walk,hypocrite,Chrissie_Hynde,Earth,tough,smart,afraid,flag,stick,communist,show,kindness,another,back,little,seven,eight,lose,support,roll,stone,still,last,album,may,think,people,store,ago,war,disease,pestilence,freedom,feel,hear,guitar,have,lesson,die,stop,line,environmental,group,matter,offensive,situation,way,involved,contamination,voice,dissent,two_thirds,Hynde,anything,shy,express,radical,view,public,maybe,compassion,archetypal,rock,chick,intention,mellow,currently,tour,fist,raise,cover,band,viva,el,amore,visit
,18,15,5,5,5,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"November 10, 2002, Sunday",26 of 34 DOCUMENTS,The New York Post,STREET'S REVENGE - BANKS NOW SCOFF AT SWALLOWING RADICAL REFORM,BETH PISKORA and JESSICA SOMMAR,All Editions; Pg. 029,,719 words,,,"November 14, 2002",ENGLISH,,,ELIOT SPITZER.  NY Post: Steven Hirsch SANFORD WEILL.  AP,,,,"Copyright 2002 N.Y.P. Holdings, Inc. All rights reserved."
,Wall_Street,research,settlement,regulator,firm,source,talk,panel,security,back,fight,industry,table,oversight,control,proposal,independent,investor,fund,brokerage,go,Spitzer,start,victory,propose,negotiate,involved,government,new,term,time,pay,financial,demand,house,lot,thursday,create,consortium,unit,close,negotiation,delay,appear,may,think,Citicorp,beaten,congressional,committee,bite,embolden,tuesday,election,chairman,resignation,slow,roll,onerous,condition,conflict,analyst,development,likely,produce,climate,let,opportunity,pass,accord,place,list,include,elimination,monitor,practice,reduction,nearly,billion,fine,seek,greater,way,reform,seem,ambitious,positively,unthinkable,ago,combination,sec,major,republican,capture,legislative,agenda,give,breathing,room
,11,9,8,6,6,6,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"September 24, 2002, Tuesday",27 of 34 DOCUMENTS,The New York Post,REEBOK DISCOVERS HOT NEW LOOK WITH SINGER SHAKIRA,LISA MARSH,All Editions; Pg. 026,,273 words,,,"September 24, 2002",ENGLISH,,,"WORLD FEET: Crossover pop star Shakira has signed on to market Reebok's ""Classic"" line of shoes and sportswear.  Reuters",,,,"Copyright 2002 N.Y.P. Holdings, Inc. All rights reserved."
,Shakira,Reebok,world,join,shoe,apparel,style,marketing,young,around,music,global,belly,dancing,campaign,Colombian,shakin,stuff,international,pop,tart,athlete,all,iverson,endorse,athletic,company,classic,collection,active,shakira,distinct,flair,exude,extraordinary,level,confidence,determination,succeed,chief,officer,vibrant,integral,part,today,youth,culture,success,inspiration,million,man,woman,add,reebok,understand,people,statement,team,able,fuse,product,connect,audience,truly,songstress,birth,descent,speak,three,language,allow,communicate,much,incorporate,diverse,heritage,performance,especially,spicy,use,sound,sport,start,appear,tv,print,spot,spring,2003,associate,songbird,feature,range,price,sportswear,item,crop,perfect,100
,4,4,3,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"December 15, 2002, Sunday",28 of 34 DOCUMENTS,The New York Post,SILVER BELLES: HOW TO GLOW THIS WINTER,FARRAH WEINSTEIN,All Editions; Pg. 059,,474 words,,,"December 18, 2002",ENGLISH,,,Model Carmen Kass sported silver eyeshadow at the Carolina Herrera Spring 2003 show this fall.  WireImage.com,,,,"Copyright 2002 N.Y.P. Holdings, Inc. All rights reserved."
,silver,shimmer,wear,eye,available,shadow,keep,MAC,makeup,body,lip,gloss,lipstick,face,Kagan,Sephora,color,go,really,use,way,skin,warm,look,cheekbone,shoulder,blush,mouth,pencil,12.50,store,hottest,season,solid,gucci,introduce,glitter,runway,model,spring,2003,fashion,show,fall,proof,officially,trend,ubiquitous,j.lo,new,video,jenny,forefront,right,beauty,director,magazine,start,paparazzi,shot,celebrity,sexy,dramatic,fun,girlie,glamorous,holiday,variety,creme,moisturizers,lotion,give,expose,futuristic,glow,smoky,eyeliner,add,best,spot,time,reflect,light,everyone,able,mirror,kind,man,wait,happen,dot,neck,rest,subtle,remember,simple,sophisticated,dump,dcolletage
,14,7,6,6,5,4,4,4,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"December 18, 2002, Wednesday",29 of 34 DOCUMENTS,The New York Post,WIDGETS OF AHS ; TOP CHEFS PICK THEIR BEST TOOLS,CYNTHIA KILIAN,All Editions; Pg. 045,,726 words,,,"December 18, 2002",ENGLISH,,,Le Bernardin chef Eric Ripert and his Vita-Mix blender.N.Y. Post: David Rentas Chef Wylie Dufresne sits atop a custom-made Bonnet oven in his soon-to-open WD-50 restaurant.N.Y. Post: Jennifer Weisbord,,,,"Copyright 2002 N.Y.P. Holdings, Inc. All rights reserved."
,chef,use,knife,kitchen,cup,make,tool,call,around,small,blender,cook,life,know,cooking,gadget,top,blade,global,sashimi,keep,yet,enough,really,way,open,egg,tong,hand,pasta,silicone,baking,sauce,cool,work,spaetzle,maker,quick,bonnet,oven,heart,19.99,800,start,French,Vita_Mix,custom_made,remember,b.c,value,great,better,pro,ask,city,favorite,range,stock,stuffer,dream,machine,naturally,warm,les,hall,confess,dearly,love,object,unparalleled,beauty,never,actually,admit,tv,eat,adventurer,gaze,admiringly,force,behind,time,honesuki,thick,chop,thing,wide,still,rock,regular,useful,neat,raw,perfect,circle,leave,cap,fill,goody
,6,6,5,4,4,4,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"May 28, 2002, Tuesday",30 of 34 DOCUMENTS,The New York Post,NEW YORK RECRUITS ARE THE APPLE CORPS,NEIL GRAVES Post Correspondent,All Editions; Pg. 003,,284 words,,,"May 28, 2002",ENGLISH,,,,,,,"Copyright 2002 N.Y.P. Holdings, Inc. All rights reserved."
,war,recruit,cop,walk,give,business,Bronx,Romero,s.c.,yorker,hundred,wave,goodbye,civilian,life,prepare,payback,terrorism,many,choose,average,joe,stand,helplessly,city,take,cheap,shot,among,"9,000",nine,week,slogg,mud,eat,chow,wood,climb,dominate,feel,volunteer,basic,training,motivate,eight,soldier,have,never,committed,patriotism,play,world,policeman,problem,global,gustavo,ritschl,imagine,serve,hallow,grounds,fall,tower,still,warm,private,hiroshima,hard,explain,feeling,pause,try,conjure,word,adequately,describe,horror,unbelievable,building,go,minute,juan,operation,desert,storm,end,much,recall,tell,president,dad,leave,unfinished,may,resume,early,next,accord,report
,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"June 28, 2002, Friday",31 of 34 DOCUMENTS,The New York Post,TWO RAINMAKERS EXIT GRUBB & ELLIS,LOIS WEISS and STEVE CUOZZO,All Editions; Pg. 034,,406 words,,,"June 28, 2002",ENGLISH,,,"-ROBERT EMDEN Quit G&E. (s, lcf) -BRUCE MOSLER C&W's U.S. boss.
-NBA STORE - Rock Center (m)",,,,"Copyright 2002 N.Y.P. Holdings, Inc. All rights reserved."
,new,executive,leave,Markman,break,talk,firm,real,estate,week,director,USI,grubb,lose,top,name,chairman,ago,with,time,among,operation,client,manage,company,plan,former,merger,Ellis,New_York,heel,acquisition,rival,brokerage,dealmaker,space,producer,rank,nationwide,last,industry,giant,go,mandate,build,team,9/11,everyone,priority,change,think,lot,people,short,amount,maximize,moment,success,spearhead,leasing,theme,store,head,different,level,platform,feel,best,serve,effective,way,exit,follow,hour,departure,position,service,bold,expansion,protege,late,beloved,s.,gordon,ellis,reason,better,opportunity,ceo,admit,radar,rep,purchase,city,corporate,include,meanwhile,clearly,transition
,4,4,4,4,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"August 2, 2002, Friday",32 of 34 DOCUMENTS,The New York Post,PARTYING ON A SINKING SHIP,JESSICA SOMMAR,All Editions; Pg. 002,,375 words,,,"August 2, 2002",ENGLISH,,,Cruise ship.  Michael Sofronski,,,,"Copyright 2002 N.Y.P. Holdings, Inc. All rights reserved."
,WorldCom,event,employee,company,oz,booze,expect,cruise,keep,sale,monday,filet,call,outing,source,director,expense,hide,cold,talk,fiddle,burn,bankrupt,service,provider,plan,struggle,party,wrap,disgrace,financial,officer,arrest,learn,worldcom,staffer,office,board,ritzy,cruiser,unlimited,food,dime,dine,salmon,mignon,prime,rib,roast,ostrich,chocolate,strawberry,set,telecom,back,"6,000",disgusting,shocked,sniff,right,layoff,sake,worker,manager,concerned,trip,stand,public,scrutiny,guest,invite,phone,rather,word,slipping,describe,gather,global,implementation,location,mask,true,nature,boat,regulator,tap,next,week,thursday,team,cut,work,take,home,game,return,comment,schedule,charge
,6,5,4,4,4,3,3,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"September 29, 2002, Sunday",33 of 34 DOCUMENTS,The New York Post,IT'S ALL IN THE STARS,CYNTHIA VESPERENY,All Editions; Pg. 033,,431 words,,,"October 10, 2002",ENGLISH,,,WEINGARTEN Financial astrologer.,,,,"Copyright 2002 N.Y.P. Holdings, Inc. All rights reserved."
,Weingarten,stock,people,market,war,star,astrologer,investor,real,estate,plunge,soon,whose,prediction,include,july,gain,represent,home,big,make,manage,investment,million,expect,still,sector,favor,aerospace,energy,biotechnology,gold,next,U.S.,Iraq,Jupiter,Cancer,IBM,need,convincing,frothy,write,accord,financial,recent,powerful,rally,488,point,correction,housing,typically,follow,convinced,peak,recently,leave,growth,value,hammer,anytime,many,disregard,astrological,other,truly,believe,ability,predict,event,earth,mix,message,future,military,action,president,bush,mar,horoscope,noting,god,birthday,likely,wage,2003,hobby,director,fund,inc.,choice,base,use,fundamental,technical,analysis,addition,astrology,directly
,5,4,4,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"November 12, 2002, Tuesday",34 of 34 DOCUMENTS,The New York Post,A FINE WAY TO FIGHT TERROR,,All Editions; Pg. 026,,313 words,,,"November 12, 2002",ENGLISH,,,,,,,"Copyright 2002 N.Y.P. Holdings, Inc. All rights reserved."
,al,terrorist,strike,carry,operation,Yemen,Qaeda,predator,six,operative,believe,bombing,war,enemy,terror,network,way,Ali,recent,successful,missile,unmanned,aircraft,vehicle,qaeda,sure,warm,heart,man,obliterate,a.k.,abu,ali,senior,official,suspect,key,player,2000,link,oct,tanker,coast,reportedly,may,unexpected,boon,death,kamal,darwish,traitorous,citizen,recruiter,ringleader,sleeper,cell,discover,upstate,lackawanna,choose,hang,share,fate,spare,americans,civil,liberty,remember,operating,presidential,find,give,covert,bin,triumph,combine,indicate,commendably,proactive,approach,team,global,welcome,refusal,bound,outmode,rule,fight,stateless,ruthless,send,message,safe,cold,anger,distant,relatively,lawless,land
,4,4,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
