PUBLISHED_DATE,DOCUMENTS_INDEX,PUBLISHER,TOPIC,BYLINE,SECTION,SOURCE,LENGTH,DATELINE,SUMMARY,LOAD_DATE,LANGUAGE,CORRECTION_DATE,CORRECTION,GRAPHIC,TYPE,DOCUMENT_TYPE,PUBLISH_TYPE,COPYRIGHT
"September 30, 1999, Thursday",1 of 26 DOCUMENTS,The New York Post,"HE JUST DOESN'T GET IT: THE GORE CAMPAIGN'S PROBLEM ISN'T THE HQ, IT'S THE CANDIDATE",Dick Morris,All Editions; Pg. 037,,635 words,,,"September 30, 1999",ENGLISH,,,,,,,"Copyright 1999 N.Y.P. Holdings, Inc. All rights reserved."
,need,Gore,Bradley,Clinton,gore,change,move,al,headquarters,consultant,find,debate,former,well,vice,president,substance,new,vision,staff,another,spend,television,scenery,boss,speech,town,meeting,anything,focus,mechanic,pay,man,idea,enough,campaign,seem,right,senator,likely,willing,problem,cash,lease,cost,America,Nashville,New_Jersey,last,awaken,realize,fight,life,presidential,nomination,unfortunately,choose,style,cope,unexpected,challenge,shrink,city,stop,money,malady,afflict,solve,separate,speak,voice,matter,dull,boring,write,whether,give,important,articulate,goal,priority,far,might,easily,include,next,state,attention,incredibly,insecure,believe,stake,success,failure,ahead,entire,nation,global,warming
,man,Sal_Maglie,game,arm,sal,maglie,home,run,hit,way,pitch,inning,ball,time,make,know,series,strike,batter,right,throw,around,score,walk,tell,Maglie,frost,summer,cold,old,world,live,pay,we,leave,go,matter,august,field,president,manager,team,luck,past,single,curve,mantle,across,dugout,tie,double,third,warm,back,give,fourth,Yankees,Jackie_Robinson,Yogi_Berra,drift,clasp,harden,muscle,freeze,water,use,dream,patient,become,spectacular,desire,obscurity,hard,beat,toy,concerned,silly,reporter,pageant,arrange,kill,afternoon,unimportant,shall,change,life,move,jerkily,body,ach,sad,appearance,earn,prolong,boyhood,consider,glorious,small,artist
,9,9,7,6,6,6,6,6,6,5,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"December 30, 1999, Thursday",20 of 26 DOCUMENTS,The New York Post,WEDDED DISS AS NYERS LOSE ITCH TO HITCH,MAGGIE HABERMAN,Sport+Late City Final; Pg. 020,,437 words,,,"December 30, 1999",ENGLISH,,,,,,,"Copyright 1999 N.Y.P. Holdings, Inc. All rights reserved."
,city,death,wedding,people,number,drop,low,marriage,last,Haub,new,live,longer,time,license,1998,wait,teatum,much,couple,note,effect,go,population,nationwide,marry,business,shop,yorker,many,alone,big,apple,figure,show,mere,"53,661",issue,compare,"80,027",accord,annual,report,birth,rate,use,active,practically,back,onto,deputy,clerk,raymond,quieter,hitch,1977,"52,804",explain,sudden,downturn,demographic,expert,thousand,make,mad,dash,altar,1996,1997,hope,avoid,complicated,change,federal,immigration,law,take,april,absolute,murder,sale,demographer,nonprofit,reference,bureau,decline,huge,part,reflective,national,trend,speculate,do,million,bear,age,youngest,industry,feel
,6,5,4,4,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"August 15, 1999, Sunday",21 of 26 DOCUMENTS,The New York Post,THE HIDDEN LIFE OF RADIO TALK QUEEN DR. LAURA,,All Editions; Pg. 022,,2270 words,,,"August 16, 1999",ENGLISH,,,"THOUGH DR. LAURA ADVISES ON HOW TO RELATE TO PARENTS AND SIBLINGS, SHE ADMITS SHE DIDN'T GROW UP IN A HAPPY, HEALTHY HOME. AP About 20 million people across the nation tune in Dr. Laura's radio show every weekday to listen to the guru's dose of moral wisdom and common-sense advice, which are often sprinkled with verbal abuse and put-downs.AP",,,,"Copyright 1999 N.Y.P. Holdings, Inc. All rights reserved."
,Laura,laura,dr.,mother,tell,go,people,Ballance,thing,time,recall,marriage,woman,family,pregnant,little,Jennifer,show,every,dr,life,event,ever,know,relationship,parent,Dallas,speak,kid,kind,divorce,child,good,ligation,need,Kassanoff,Lundy,call,admit,schlessinger,l.,bane,radio,angry,professor,welcome,different,leave,home,put,moral,caller,live,wedlock,listen,confess,marry,together,yeah,explain,intercourse,answer,look,tubal,think,hospital,deny,give,try,office,take,question,believe,type,Vickie,Lieberman,New_York,nearly,million,across,really,turn,reveal,tremendously,rageful,forum,dump,lieberman,psychiatry,door,feel,1997,warm,son,house,mom,career,host,expect
,31,24,21,11,10,10,9,8,7,7,7,7,6,6,6,6,6,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"October 20, 1999, Wednesday",22 of 26 DOCUMENTS,The New York Post,MIGHTY ATLAS LIFTS CENTRAL PARK SOUTH,Steve Cuozzo,All Editions; Pg. 034,,676 words,,,"October 20, 1999",ENGLISH,,,"At 6-week-old Atlas, on Central Park South, a world-class staff has created a contemporary American menu tinged with the usual ""global accents."" G. N. Miller",,,,"Copyright 1999 N.Y.P. Holdings, Inc. All rights reserved."
,Atlas,table,leave,night,hotel,grill,genuflect,ask,four,restaurant,wallet,serve,meal,return,friend,call,good,full,accent,we,wine,foie,gras,roast,black,cheese,Central_Park_South,Ice_Cargots,'they,waitress,joke,colleague,crawl,explain,man,lose,though,surely,steal,sympathetic,crew,give,last,look,around,early,best,meat,dish,ever,taste,later,belt,lady,room,messenger,behave,remarkably,worry,jinx,welcome,avenue,host,turban,fellow,stand,front,decent,try,watchman,culinarily,blight,block,cram,joint,pyramid,luggage,new,close,instantly,beloved,old,obliterate,nod,loss,dessert,list,include,ice,cream,sorbet,combo,play,name,owner,hemmerdinger,family,run,real
,6,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"December 15, 1999, Wednesday",23 of 26 DOCUMENTS,The New York Post,IS THIS COLD WAR II?  U.S.-RUSSIAN RELATIONS THREATENED BY STATE DEPARTMENT BUG SCANDAL,NILES LATHEM,All Editions; Pg. 036,,1254 words,,,"December 15, 1999",ENGLISH,,,"Once-warm relations between Russian leader Boris Yeltsin (above, left) and President Clinton may be threatened by revelations about espionage in the State Department. Reuters;AP
The FBI announced the arrest of Wen Ho Lee - who's charged with selling nuclear secrets to Beijing - a day after Russian and Chinese leaders pledged to work together to stop America's global dominance. AP",,,,"Copyright 1999 N.Y.P. Holdings, Inc. All rights reserved."
,Russian,U.S.,official,last,arrest,State_Department,Gusev,operation,russian,Russia,FBI,Moscow,office,place,secret,bug,service,next,conference,room,intelligence,government,war,nuclear,Washington,NATO,Clinton,building,espionage,listen,device,spy,diplomat,secretary,state,military,announce,world,charge,week,security,keep,former,obscure,outside,embassy,ever,molding,conversation,equipment,still,incident,inside,feed,disinformation,try,use,much,decide,make,issue,section,episode,cold,political,obtain,economic,detail,administration,tie,advice,grow,dominance,stage,cat,sell,force,wednesday,time,president,stop,new,point,think,OIESA,counter_intelligence,SVR,Kosovo,Yeltsin,China,America,hardly,seem,vital,national,namely,bureau,handle,republic
,9,9,8,7,7,7,7,6,6,6,6,6,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1
"March 17, 1999, Wednesday",24 of 26 DOCUMENTS,The New York Post,"WARM, FUZZY AND EFFECTIVE",Michael Kelly,All Editions; Pg. 027,,115 words,,,"March 17, 1999",ENGLISH,,,,,,,"Copyright 1999 N.Y.P. Holdings, Inc. All rights reserved."
,friendship,Carroll,peace,world,recall,Corps,1963,farm,country,swear,volunteer,old,officially,dedicated,promotion,send,northern,establish,pilot,program,educational,tv,sort,thing,place,great,faith,back,glorious,believe,leapfrog,deficiency,third,technology,alas,work,promoter,global,slightly,overshadowed,personal,ABSTRACT,Timothy_Carroll,Michigan,Peace_Corps,Nigeria
,3,3,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"May 11, 1999, Tuesday",25 of 26 DOCUMENTS,The New York Post,BLACK LIFTS STAKE IN E-FUNDER,Bloomberg,All Editions; Pg. 033,,221 words,,,"May 11, 1999",ENGLISH,,,,,,,"Copyright 1999 N.Y.P. Holdings, Inc. All rights reserved."
,company,Rare_Medium,million,investment,internet,stake,largest,Apollo,increase,software,private,equity,name,give,sell,new,raise,agree,make,firm,lead,financier,become,shareholder,percent,three,seven,director,country,boost,effort,expand,beyond,incubate,share,rise,13/16,1515,plan,find,money,service,exchange,similar,strategy,use,worth,billion,dollar,form,buy,inc.,last,transform,unit,change,march,Black,Rare_Medium_Group_Inc.,Apollo_Management_LP,venture_capital,New_York,Leon_Black,CMGI_Inc.,Lycos_Inc._Rare_Medium_Group,ICC_Technologies_Inc.,Internet_services,ICC,Fresh_Air_Solutions,air_conditioning,Rare_Medium_Group
,9,7,5,5,5,4,3,3,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"May 19, 1999, Wednesday",26 of 26 DOCUMENTS,The New York Post,A SLICE OF LOUISIANA IN THE EAST VILLAGE,CYNTHIA KILIAN,All Editions; Pg. 032,,462 words,,,"May 19, 1999",ENGLISH,,,"Chef/owner Rickey Lee Babineaux of La Gould Finch, also waits tables in his laid-back East Village restaurant.  Yechiam Gal",,,,"Copyright 1999 N.Y.P. Holdings, Inc. All rights reserved."
,finch,gould,sweet,inside,might,night,home,la,cajun,vegetarian,shrimp,rice,chicken,cooking,wine,French,Louisiana,avenue,212,thing,however,rare,bird,restaurant,serve,dish,parlor,set,go,beyond,shabby,chic,add,slice,scruffy,east,village,block,increasingly,global,aura,neighbor,mesopotamia,bistro,former,bodega,building,rickety,pink,exterior,feature,window,box,kitchen,open,onto,eyeful,find,oriental,rug,gild,deco,sconce,family,portrait,mismatch,upholster,chair,look,little,step,middle,room,send,unsuspecting,surprise,trip,huge,scarlet,feather,plume,kind,exotic,dancer,use,surround,ceiling,fan,almost,think,bordello,give,flock,velvet,wallpaper,red,tablecloth,food,anything
,4,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
