PUBLISHED_DATE,DOCUMENTS_INDEX,PUBLISHER,TOPIC,BYLINE,SECTION,SOURCE,LENGTH,DATELINE,SUMMARY,LOAD_DATE,LANGUAGE,CORRECTION_DATE,CORRECTION,GRAPHIC,TYPE,DOCUMENT_TYPE,PUBLISH_TYPE,COPYRIGHT
"June 12, 2001, Tuesday",1 of 48 DOCUMENTS,The New York Post,"THAT'S A DEPARTURE FOR BUSH ; OKS POLLUTION STUDY, THEN FLIES TO EUROPE",VINCENT MORRIS Post Correspondent,All Editions; Pg. 028,,399 words,,,"June 12, 2001",ENGLISH,,,"WARM GREETINGS: President Bush stresses his commitment to reducing global warming yesterday before catching a flight to Madrid, Spain. AP",,,,"Copyright 2001 N.Y.P. Holdings, Inc. All rights reserved."
,Bush,president,pollution,global,reduce,European,warming,catch,flight,tour,promise,treaty,country,world,nation,urge,percent,require,issue,missile,defense,face,Spain,U.S.,United_States,offer,limited,support,fight,bid,blunt,criticism,european,have,accuse,zilch,hour,study,invest,research,new,technology,scientist,charge,cause,atmosphere,heat,recognize,responsibility,emission,set,mandatory,level,reduction,crimp,economy,emit,greenhouse,gas,americans,take,bolder,step,push,follow,lead,cut,2012,politician,leery,go,road,without,curb,united,front,confront,climate,change,cite,clear,link,pollutant,increase,surface,temperature,challenge,100,effort,rest,afternoon,overnight,stop,trip,overseas,saturday,predict,leader,find
,3,3,3,3,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"October 11, 2001, Thursday",40 of 48 DOCUMENTS,The New York Post,CONDO CONVERTED TO OFFICES,STEVE CUOZZO,All Editions; Pg. 038,,252 words,,,"October 11, 2001",ENGLISH,,,,,,,"Copyright 2001 N.Y.P. Holdings, Inc. All rights reserved."
,sign,office,building,real,estate,tower,e.,55th,plan,project,de,resident,apartment,great,single,tenant,location,square,foot,latest,turmoil,world,developer,luxury,condo,go,st.,turn,boutique,instead,formerly,know,push,corporate,headquarters,address,accord,llc,broker,feel,current,climate,opportunity,accommodate,entire,niche,either,small,company,look,prime,firm,need,division,chess,game,become,sept,different,source,claim,change,really,trial,balloon,anybody,interested,use,standard,pipsqueak,"150,000",development,partner,complete,advertise,giant,sidewalk,promise,passersby,imminent,residential,brokerage,term,switch,move,obviously,take,advantage,loss,million,downtown,perfect,people,something,intimate,vulnerable,skyline,attack,post_terror
,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"October 15, 2001, Monday",41 of 48 DOCUMENTS,The New York Post,AD EXECS: IT'S TIME TO GET SERIOUS,Paul Tharp,Metro; Pg. 035,,784 words,,,"October 15, 2001",ENGLISH,,,,,,,"Copyright 2001 N.Y.P. Holdings, Inc. All rights reserved."
,anymore,ad,Ginsberg,work,creative,past,go,value,give,visual,word,many,patriotism,slogan,flag,true,device,humor,may,tv,spot,less,comedy,siad,direcotr,chairman,people,realize,safety,thing,look,sense,stability,security,joke,able,make,fun,traditional,sound,bite,support,honet,sincerity,frivloius,silly,well,big,powerful,speak,volume,might,inappropriate,time,climate,seem,correct,change,advertiser,week,step,back,wrapping,brand,product,client,aware,overuse,star,stripe,become,new,symbol,commercialism,tendancy,overboard,firm,use,sublte,patriotic,plug,procut,run,keep,america,roll,local,retail,emblazon,wesk,ago,remakr,empathy,return,ptich,sale,without,Tried,put_downs
,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"October 23, 2001, Tuesday",42 of 48 DOCUMENTS,The New York Post,AOL TRIES TO DUMP SOME MAGS,Keith J. Kelly,All Editions; Pg. 030,,571 words,,,"October 23, 2001",ENGLISH,,,,,,,"Copyright 2001 N.Y.P. Holdings, Inc. All rights reserved."
,time,title,Logan,magazine,inc.,million,last,deal,circulation,talk,reach,executive,president,industry,source,sell,ago,try,go,plan,group,1.4,field,people,run,move,far,look,media,decision,editor,AOL_Time_Warner,Time4Media,Media_Ink,AMC,Sports_Illustrated,Time,Klein,knowledgeable,quietly,division,pick,purchase,475,mirror,rename,march,auction,knowledge,private,transaction,without,fanfare,hurt,morale,ad,base,sale,pend,ceo,logan,deny,afoot,news,next,week,business,condition,might,change,include,big,1.7,1.6,traditional,formula,favor,large,dominate,seem,counter,tradition,enthusiast,yacht,original,october,brink,widely,expect,keenly,interested,golf,consolidate,other,slowly,front,today,shut,shuffle
,7,6,6,5,5,5,5,5,5,4,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"October 31, 2001, Wednesday",43 of 48 DOCUMENTS,The New York Post,WASSERSTEIN'S WOES MOUNT,Keith J. Kelly,All Editions; Pg. 040,,966 words,,,"October 31, 2001",ENGLISH,,,"BARELY LEGAL: American Lawyer Media, owned by Bruce Wasserstein, pictured with models Bridget Hall (left) and Christy Turlington (right), is facing financial pressure.  Marina Garnier",,,,"Copyright 2001 N.Y.P. Holdings, Inc. All rights reserved."
,company,million,man,bank,rescue,may,report,book,end,Wasserstein,june,go,quarter,money,file,attack,earlier,American_Lawyer,em,unrest,next,cash,debt,ratings,lower,lose,credit,union,sept,uncle,bid,financial,woe,default,own,observer,total,negative,fund,place,watch,six,world,trade,center,lot,willing,revolve,line,period,post,loss,vote,three,help,interesting,smartest,ray,downey,perish,write,life,special,operation,command,firefighter,back,Bruce,New_York_Law_Journal,ALM,Diamond,six_month,Tom_Downey,Downey,know,soon,change,nickname,bail,beset,labor,nearly,loan,new,reckon,fast,approach,quarterly,within,week,rapidly,disappearing,ad,market,worsen,host,smaller,regional,law
,12,9,7,6,6,5,5,5,5,5,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"November 2, 2001, Friday",44 of 48 DOCUMENTS,The New York Post,EARTH TO MIKE - WHY CAN'T BLOOMY CONFRONT THE CITY'S GRIM NEW REALITIES?,John Podhoretz,All Editions; Pg. 039,,651 words,,,"November 2, 2001",ENGLISH,,,"Hey, Mike - heard of any problems with the city economy besides the national slowdown?  N.Y. Post: Jim Alcorn",,,,"Copyright 2001 N.Y.P. Holdings, Inc. All rights reserved."
,city,economic,New_York_City,attack,make,business,major,Bloomberg,mayor,place,time,though,really,downturn,go,mean,home,sept,change,deal,lower,rate,almost,problem,uncertainty,measure,cost,likely,system,tunnel,heighten,alert,percent,people,travel,work,may,simply,American,Manhattan,might,appropriate,choice,call,appear,reside,judge,exchange,candidate,editorial,board,speak,nature,situation,happen,dynamic,much,solution,crisis,everything,bright,horrific,morning,union,plan,right,refinance,debt,interest,good,proper,notion,little,nothing,enormity,disaster,face,bring,bind,win,election,nobody,sure,serious,protract,national,far,beyond,cycle,level,civic,order,urban,center,experience,135,immediate,budgetary,yet
,8,6,6,5,4,4,4,4,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"November 4, 2001, Sunday",45 of 48 DOCUMENTS,The New York Post,"FAREWELL, MY SON, AND GIVE THE CAVEMEN HELL",Steve Dunleavy,All Editions; Pg. 008,,515 words,,,"November 7, 2001",ENGLISH,,,,,,,"Copyright 2001 N.Y.P. Holdings, Inc. All rights reserved."
,go,Pete,bin,never,tell,duty,brother,cave,civilization,pig,Laden,boy,fire,take,nobody,know,wish,special,thousand,young,man,woman,spirit,catch,bum,kid,treat,still,make,suspend,hostility,jihad,back,suggest,send,Sean,American,always,pray,hear,shot,anger,today,tad,closer,sound,morning,ga.,orientation,eventual,destination,lieutenant,train,intelligence,armor,overseas,ask,sure,hell,terrify,scared,proud,peacock,write,word,call,damn,younger,sibling,rivalry,little,bit,p.o,carrier,saber,clan,enough,beer,bubble,taliban,reduce,worry,extremely,angry,ok,cockroach,crack,farewell,dinner,last,night,refer,lade,mainstream,nineteen,child,millionaire,money,economy
,7,6,4,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"November 26, 2001, Monday",46 of 48 DOCUMENTS,The New York Post,DURABLE DVORAK PUT ON ICE: AILING KNEE SNAPS RADEK'S STREAK,LARRY BROOKS,Metro; Pg. 061,,521 words,,,"November 26, 2001",ENGLISH,,,RAD-ICAL CHANGE:Radek Dvorak (20) had his consecutive games streak broken at 293 last night when he sat out with ailing knee as Rangers battled Mighty Ducks.  AP,,,,"Copyright 2001 N.Y.P. Holdings, Inc. All rights reserved."
,game,match,straight,play,last,night,miss,record,mark,friday,season,return,team,Anaheim,Dvorak,consecutive,streak,ranger,among,knee,nov,goal,seven,make,think,lineup,franchise,nine,career,third_longest,NHL,Rangers,Garden,Mighty_Ducks,Washington,Malhotra,end,winger,293,overall,152,dec.,1999,trail,350,314,active,player,hold,964,establish,sprain,leave,aggravate,loss,initially,injure,week,ago,home,register,assist,reinjure,catch,skate,rut,ice,try,quick,turn,anything,serious,manny,malhotra,healthy,scratch,time,may,well,showcase,express,interest,former,draft,choice,ordinary,best,cap,step,room,alignment,defense,lower,back,problem,plan,lindro,right,side
,7,5,5,4,4,4,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"December 22, 2001, Saturday",47 of 48 DOCUMENTS,The New York Post,YOUR HOLIDAY FORECAST,JOE CUNNINGHAM,All Editions; Pg. 009,,169 words,,,"December 26, 2001",ENGLISH,,,,,,,"Copyright 2001 N.Y.P. Holdings, Inc. All rights reserved."
,expect,meteorologist,change,temperature,upper,40s,partly,warmest,sunny,high,dream,white,forget,seasonably,cool,warm,weather,recent,week,still,snow,monday,daytime,reach,chance,rain,later,dip,cloudy,christmas,low,fall,night,unusual,warmth,experience,november,record,december,pattern,show,sign,procrastinate,type,plan,shopping,weekend,climate,cooperative,today,mostly,forecaster,predict,tomorrow,slightly,warmer,usual,time,Christmas,Yule,Christmas_Eve,Tim_Morrin,National_Weather_Service,last_minute
,3,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"December 27, 2001, Thursday",48 of 48 DOCUMENTS,The New York Post,SHOPPERS CLICK UP A STORM ON THE 'NET,LISA MARSH,Late City Final; Pg. 018,,377 words,,,"December 27, 2001",ENGLISH,,,"BARGAINS GALORE: At Bloomingdale's in Midtown yesterday, Anne Mennealy eyes some hot cashmere sweaters marked down 40 percent. AP",,,,"Copyright 2001 N.Y.P. Holdings, Inc. All rights reserved."
,online,sale,percent,people,shopping,holiday,retailer,increase,internet,last,web,season,traditional,past,billion,track,analyst,consumer,time,spend,likely,shop,idea,faster,price,retail,rather,although,tough,receive,pleasant,surprise,nov,sunday,jump,6.32,4.7,accord,bizrate.com,inc.,reason,household,versus,director,chief,comfort,factor,grow,longer,take,less,comfortable,money,recent,warming,use,easy,comparison,benefite,change,climate,sept,heighten,airline,security,send,gift,ahead,via,carry,board,music,top,category,follow,travel,clothing,electronics,toy,meanwhile,slash,expert,intend,clear,space,spring,line,merchandise,make,disappointing,little,late,vice,president,expect,average,gain,1.5,store
,7,7,6,5,4,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
