PUBLISHED_DATE,DOCUMENTS_INDEX,PUBLISHER,TOPIC,BYLINE,SECTION,SOURCE,LENGTH,DATELINE,SUMMARY,LOAD_DATE,LANGUAGE,CORRECTION_DATE,CORRECTION,GRAPHIC,TYPE,DOCUMENT_TYPE,PUBLISH_TYPE,COPYRIGHT
"November 26, 2003, Wednesday",1 of 32 DOCUMENTS,The New York Post,THE SHEEP LOOK UP; BIPARTISAN ANTI-ALBANY REVOLT,Fredric U. Dicker,All Editions; Pg. 029,,841 words,,,"November 26, 2003",ENGLISH,,,Spartacus? Nassau County's Tom Suozzi.,,,,"Copyright 2003 N.Y.P. Holdings, Inc. All rights reserved."
,state,New_York,Business_Council,business,people,Suozzi,government,change,policy,union,executive,political,plan,other,tax,council,Citizens_Budget_Commission,Albany,event,week,culture,may,attack,leave,nov,hold,drop,democratic,unmistakable,local,county,around,proposal,course,go,announce,insider,time,receive,support,legislator,note,group,connect,high,indeed,right,number,member,worsen,climate,chairman,politically,practice,earn,together,sign,become,real,hemmerdinger,hopeful,future,Nassau_County,Pataki,stun,past,provide,glimmer,hope,call,populist,remarkable,meeting,dysfunctional,govern,process,thomas,suozzi,bomb,highly,ambitious,weigh,defeat,lawmaker,next,order,send,message,albany,cripple,nice,suggest,adopt,similar,proverbial,lead,balloon,spark,denunciation
,spirit,ad,network,company,television,advertising,brand,million,cable,however,plan,campaign,change,Smirnoff,Diageo,weather,backlash,quietly,pour,money,bacardi,expect,drop,commercial,twice,spend,last,accord,market,researcher,buy,local,affiliate,add,avoid,public,outcry,early,2002,follow,nbc,announcement,carry,liquor,break,voluntary,ban,exist,decade,call,member,torped,deal,whose,include,turn,attention,buyer,unveil,next,climate,possibly,attitude,consumer,vice,president,global,creative,director,vodka,launch,sept,lot,publicity,benefit,moderate,alcohol,consumption,part,healthy,lifestyle,biggest,revenue,face,soft,sale,channel,eager,high_profile,hard_liquor,Impact_Databank,Impact,British,Congress,Mothers_Against_Drunk_Driving,Jose_Cuervo,Captain_Morgan,Scott_Reid,Finlandia
,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"October 25, 2003, Saturday",20 of 32 DOCUMENTS,The New York Post,6-0 VIKES NO MINNY TEST ; JINTS GET READY FOR RAUCOUS RECEPTION,PAUL SCHWARTZ,All Editions; Pg. 076,,607 words,,,"October 27, 2003",ENGLISH,,,HOOKING UP: Mo Williams embraces Viking teammate Randy Moss after pair combined for hook-and-ladder TD play last week in 28-20 win over Denver that made Minnesota 6-0.AP,,,,"Copyright 2003 N.Y.P. Holdings, Inc. All rights reserved."
,game,team,go,season,play,Giants,field,pass,Vikings,week,news,think,inside,interception,cold,Vikes,Fassel,question,start,tice,good,have,viking,tomorrow,metrodome,back,last,right,yet,injury,offense,hum,along,2000,lead,league,player,straight,know,touchdown,practice,Culpepper,Moss,feeling,coach,tired,wonder,handle,sensational,oh,head,flat,hell,slightest,bit,serious,add,guy,understand,reason,work,extremely,hard,chance,upset,state,law,serendipity,riding,win,streak,dating,whatever,unbeaten,without,speed,runner,foot,culpepper,lobbing,thus,far,actually,stop,someone,meet,devastate,nfc,championship,froth,mouth,throw,inept,minnesota,secondary,linger,problem,longer,big
,6,5,5,5,5,5,4,4,4,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"December 4, 2003, Thursday",21 of 32 DOCUMENTS,The New York Post,ACTION HEATING UP - LITERALLY,Ken Moran,All Editions; Pg. 069,,503 words,,,"December 4, 2003",ENGLISH,,,,,,,"Copyright 2003 N.Y.P. Holdings, Inc. All rights reserved."
,ski,look,snow,good,area,resort,weekend,open,accord,season,may,last,big,run,many,country,already,news,warming,world,higher,tuesday,national,seven,member,pioneer,U.S.,Fame,Hall,embark,repeat,fabulous,schuss,steep,deep,weather,create,great,condition,scientist,tell,we,future,industry,let,positive,moment,northeast,jump,fall,importantly,cold,temperature,make,system,dictate,catskill,windham,offer,decent,saturday,skier,tomorrow,wait,next,best,place,head,form,almost,terrain,remarkable,consider,week,december,bad,threaten,melting,lower,altitude,force,sport,move,mountain,study,release,downhill,disappear,altogether,other,retreate,line,cut,base,village,soon,2030,warn,report
,17,4,4,4,4,4,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"December 15, 2003, Monday",22 of 32 DOCUMENTS,The New York Post,"YOU GOAT, GIRLS! 'TIS THE SEASON TO CASH IN ON BARGAIN CASHMERE",LIBBY CALLAWAY,All Editions; Pg. 048,,612 words,,,"December 17, 2003",ENGLISH,,,Model: Mary Henderson @Click Photos: Elizabeth Lippman,,,,"Copyright 2003 N.Y.P. Holdings, Inc. All rights reserved."
,cashmere,goat,make,price,sweater,hair,have,company,expensive,store,use,find,fiber,Spilhaus,fabric,100,percent,blend,roll,priced,thing,time,do,careful,grow,take,four,enough,woman,produce,quality,longer,last,less,belly,higher,side,soft,still,label,long,go,China,rich,enjoy,chance,stock,closet,gap,sell,clothes,accessory,suite,synthetic,discount,giant,action,19.99,scarve,hat,blame,economy,sudden,crush,reasonably,good,lousy,financial,climate,recession,raw,material,explain,president,demand,smaller,goods,available,reason,midprice,chain,"1,000",nationwide,decide,extensive,line,earlier,fall,trendy,hoody,drawstring,pants,fitted,tank,top,always,tay,p.r,spokeswoman
,22,10,6,5,5,5,4,4,4,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"December 22, 2003, Monday",24 of 32 DOCUMENTS,The New York Post,THERE'S A LOT RIDING ON BEN'S 'PAYCHECK',Cindy Adams,All Editions; Pg. 014,,725 words,,,"December 22, 2003",ENGLISH,,,CATHERINE ZETA-JONESWill cradle rock again? Jennifer Graylock/AP,,,,"Copyright 2003 N.Y.P. Holdings, Inc. All rights reserved."
,point,talk,another,New_York,100,everyone,back,term,open,star,movie,name,town,happy,kid,guy,holiday,else,wish,know,thing,show,rise,something,famous,psychic,replace,flood,state,Ashton,Wendy,wrapping,pay,attention,director,mil,flick,paycheck,committed,ben,affleck,really,player,poker,table,lady,friend,nervous,send,many,picture,major,nervousness,studio,executive,suite,need,hit,feast,usually,serve,three,have,surround,newie,glorious,uma,thurman,worry,follow,gigli,joke,industry,actually,multiple,career,riding,whatever,nice,hick,play,jack,downtown,pop,800,national,circuit,green,room,bagel,almost,taste,put,stop,tawkin,bout,amenity,paw,cell
,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"December 24, 2003, Wednesday",25 of 32 DOCUMENTS,The New York Post,U.S. ECONO-BOOM FINALLY REACHES NYC,ADAM MILLER,Sports+Late City Final; Pg. 002,,429 words,,,"December 24, 2003",ENGLISH,,,A shopper carries packages in Herald Square yesterday. Analysts say the economy's growth was boosted by consumer spending.  [Bloomberg News],,,,"Copyright 2003 N.Y.P. Holdings, Inc. All rights reserved."
,economy,rate,city,economic,grow,percent,report,expand,spend,quarter,seem,fastest,nearly,sign,result,look,business,growth,8.2,third,biggest,spurt,consumer,investment,department,New_York_City,GDP,big,apple,entire,boom,lag,behind,rest,catch,expert,government,nationwide,senior,regional,economist,dramatically,improve,past,already,definitive,emerge,protract,recession,quality,definitely,warming,surge,continue,decline,unemployment,former,state,comptroller,ned,regan,agree,turn,corner,productivity,phenomenal,long,last,pick,good,hire,have,half,head,development,corp,enthusiastic,great,position,economically,right,whose,organization,create,encourage,start,reap,benefit,nation,rebound,people,company,strong,momentum,country,whole,gross,domestic,product
,6,6,4,4,4,4,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"December 28, 2003, Sunday",26 of 32 DOCUMENTS,The New York Post,"KYOTO PROTOCOL, R.I.P.",,All Editions; Pg. 024,,538 words,,,"December 31, 2003",ENGLISH,,,,,,,"Copyright 2003 N.Y.P. Holdings, Inc. All rights reserved."
,treaty,Kyoto,country,United_States,emission,reject,president,economic,protocol,ratify,world,percent,Russia,form,ratification,dead,russian,1997,beyond,economy,without,can,among,take,effect,account,nation,greenhouse,though,sign,do,follow,doubt,exempt,huge,bad,idea,Kyoto_Protocol,greenhouse_gas,European,Russian,Putin,apparently,major,blow,hypocritical,proponent,chief,adviser,course,present,impossible,undertake,responsibility,place,serious,limit,growth,junior,minister,responsible,later,qualified,statement,decision,move,towards,truth,time,officially,accord,simply,put,utterly,resuscitation,fortunately,prosperity,billion,people,enter,force,signatory,provision,whose,combine,production,least,industrialize,already,withdraw,provisional,signature,plain,fact,participation,letter,constantly,pillory,opponent
,7,6,5,5,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"June 12, 2003, Thursday",27 of 32 DOCUMENTS,The New York Post,NBA STARTS CRACKDOWN ON ILLEGAL HOOPS DUPES,TIM ARANGO,Sport+Late City Final; Pg. 039,,393 words,,,"June 12, 2003",ENGLISH,,,A Chicago shopper checks out NBA retro apparel.  AP,,,,"Copyright 2003 N.Y.P. Holdings, Inc. All rights reserved."
,enforcement,custom,official,item,counterfeit,goods,NBA,merchandise,league,include,retro,jersey,law,seize,group,CAPS,hoop,street,knockoff,jacket,priced,200,300,amount,activity,"6,000",form,fake,million,warm_up,Asia,LaRocca,counterfeiters,go,upscale,long,contend,pesky,seller,bootleg,hat,outside,arenas,city,dramatic,rise,last,six,sale,executive,tell,post,show,retail,outlet,result,step,effort,work,closely,pretty,significant,increase,type,senior,vice,president,global,merchandising,have,ratchete,much,larger,week,ago,shipment,suspect,domestic,manufacturer,blame,agency,try,track,direct,reflection,strength,brand,resonate,consumer,investigation,counterfeiting,coordinate,1990,major,sport,coalition,advance,protection,actually
,6,5,5,5,5,4,4,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"September 17, 2003, Wednesday",28 of 32 DOCUMENTS,The New York Post,JOKE'S ON STAR-STRUCK COMIC,,All Editions; Pg. 010,,1748 words,,,"September 17, 2003",ENGLISH,,,"-Hollywood glam couple Ashton Kutcher and Demi Moore dance body-to-body on the stage of the trendy White Lotus nightclub in Los Angeles yesterday. Splash News -Paris Hilton, Luciana Curtis
-Brit beauty Kate Beckinsale arrives with big hair and a big ring at the premiere of her new film ""Underworld"" at Mann's Chinese Theatre in Hollywood. EPA Photo",,,,"Copyright 2003 N.Y.P. Holdings, Inc. All rights reserved."
,girl,movie,Caravello,make,star,we,name,magazine,Star,play,tell,daily,try,party,Kimmel,role,private,go,pink,fedora,cover,leave,Us,friend,caravello,starr,show,think,actor,know,last,director,set,former,hire,jump,street,lcf,take,battle,tent,model,still,switch,marry,report,work,cigar,video,court,sober,hold,night,new,people,sassoon,six,windy,city,heat,stone,fury,really,help,circuit,send,fake,audition,joke,back,war,newsstand,squad,distribute,panthers,trench,coat,black,fishnet,heel,upstage,wear,gal,aped,rain,fleed,grab,chic,umbrellas,worse,vain,poach,later,camp,refuse,circus,child,bodyguard,la
,11,9,9,7,7,7,6,6,6,5,5,5,5,5,5,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"January 19, 2003, Sunday",29 of 32 DOCUMENTS,The New York Post,GLOBAL SWARMING ; TOP TALENT SHINES OVER AWARD BASH,ALY SUJO and PAULA FROELICH,Sport+Late City Final; Pg. 007,,641 words,,,"January 22, 2003",ENGLISH,,,"LIP SERVICE:Best-actor winner Daniel Day-Lewis and Nicole Kidman warm up for the Golden Globes at the Critics' Choice Awards. AP
BABY, IT'S NICOLE OUTSIDE:Nicole Kidman slinks into Friday's Critics' Choice Awards in a barely there getup. Russ Einhorn/Splash News
JACK NICHOLSON Won critical award.",,,,"Copyright 2003 N.Y.P. Holdings, Inc. All rights reserved."
,best,THE,musical,comedy,include,performance,actor,bag,Hours,Globes,Chicago,drama,actress,nod,nomination,three,DRAMA,thing,prize,meanwhile,award,major,winner,usually,fill,spy,worth,boy,big,fat,greek,wedding,tv,Catherine,Julianne_Moore,New_York,ACTRESS,MUSICAL_OR,COMEDY,SERIES,gaggle,pushiest,queen,tonight,gleam,competition,fiercest,standout,prestigious,lineup,thespian,among,chatterbox,tirelessly,promote,poetic,weepie,hope,prosthetically,enhance,eight,number,history,choose,foreign,press,association,annual,week,announce,important,indication,biggest,talky,holly,wood,cognoscenti,believe,chicago,snare,least,film,describe,many,convolute,heavily,tip,walk,away,laureate,seven,third,place,adaptation,tale,neurotic,screenwriter,six,top
,15,7,6,5,4,4,4,4,4,4,4,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"February 25, 2003, Tuesday",30 of 32 DOCUMENTS,The New York Post,MING MAN HITS APPLE: ROCKET CENTER SET FOR GARDEN PARTY,MARK HALE,Sport+Late City Final; Pg. 076,,807 words,,,"February 25, 2003",ENGLISH,,,YAO MING.  AP,,,,"Copyright 2003 N.Y.P. Holdings, Inc. All rights reserved."
,yao,Yao,ming,o'neal,go,play,tim,duncan,New_York,nowitzki,Garden,Shaquille,Dirk,big,tonight,last,night,excited,Jermaine,thing,league,biggest,time,inch,ask,pizza,add,use,know,think,best,rocket,can,many,media,goal,hit,bring,fan,star,handle,celebrity,season,every,new,challenge,guy,deal,welcome,ben,wallace,NBA,Yao_Ming,Boston,Truth,VISA,China,Brad_Miller,next,stage,fabl,floor,seven,foot,six,rookie,sensation,fly,salivate,to,win,celtic,finally,mecca,flash,wide,grin,motion,translator,treat,playful,humor,describe,anticipation,teammate,mean,lot,amazing,everything,great,probably,far,guard,wait,legendary,former,sure,hear,story
,11,11,8,7,6,5,5,5,5,4,4,4,4,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"June 22, 2003, Sunday",31 of 32 DOCUMENTS,The New York Post,LATEST TOME'S DARKER TONE MAKES IT THE BEST YET,Bill Hoffmann,All Editions; Pg. 002,,341 words,,,"June 24, 2003",ENGLISH,,,,,,,"Copyright 2003 N.Y.P. Holdings, Inc. All rights reserved."
,order,book,Phoenix,Harry,`,turn,far,odd,j.k.,rowl,sentence,find,past,world,know,seem,plot,keep,best,boy,wizard,adventure,small,feat,spectacular,series,better,potter,fan,love,savor,magical,prose,slowly,hard,race,happen,exactly,early,session,power,pot,half,coffee,faithfully,begin,previous,four,yet,another,hysterical,humiliation,boorish,family,dumpy,big,taste,medicine,similarity,story,stop,lot,darker,much,less,whimsical,noticeably,faster,pace,effect,ok,show,time,transform,joke,adolescent,brooding,teenager,bitterly,sarcastic,quick,increasingly,worried,place,jolt,disturbing,new,revelation,parent,never,relatively,safe,confines,number,pal,angst,combination,impend,global
,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"August 20, 2003, Wednesday",32 of 32 DOCUMENTS,The New York Post,RED SOX HARBOR WILD-EST DREAMS,KEVIN KERNAN,Metro; Pg. 071,,540 words,,,"August 20, 2003",ENGLISH,,,"HOME COOKIN':Nomar Garciaparra is epitome of Red Sox's success at home, struggles on the road. He's batting .392 at Fenway, .254 elsewhere. AP",,,,"Copyright 2003 N.Y.P. Holdings, Inc. All rights reserved."
,Red_Sox,go,home,game,last,night,road,sox,Yankees,bit,think,wild,team,three,plan,yankee,talk,card,lead,consider,win,take,put,respond,play,fan,line,know,better,town,seat,hit,trip,Fenway,grand,slam,change,reality,summer,six,behind,loss,column,nation,global,show,amazing,little,league,kid,dominate,time,case,ballplayer,center,universe,make,showdown,important,warm,identical,record,tie,management,seem,happy,race,low,payroll,different,story,must,new,blueprint,erasing,curse,something,care,business,bad,action,expect,ease,recent,woe,catcher,reporter,guy,kind,character,intensity,hour,wait,inside,glorious,green,gate,bleep,bumper
,7,6,5,4,4,4,4,4,4,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
