PUBLISHED_DATE,DOCUMENTS_INDEX,PUBLISHER,TOPIC,BYLINE,SECTION,SOURCE,LENGTH,DATELINE,SUMMARY,LOAD_DATE,LANGUAGE,CORRECTION_DATE,CORRECTION,GRAPHIC,TYPE,DOCUMENT_TYPE,PUBLISH_TYPE,COPYRIGHT
"February 11, 2010 Thursday",2 of 169 DOCUMENTS,USA TODAY,Could chicken manure help curb climate change?; 'Biochar' is seen as cheap solution,Brian Winter,NEWS; Pg. 1A,,1498 words,,,"February 11, 2010",ENGLISH,,,"GRAPHIC, B/W, Julie Snider, USA TODAY, Source: Frye Poultry Cornell University USA TODAY research (Diagram) PHOTO, Color, Jack Gruber, USA TODAY PHOTO, B/W, Jack Gruber, USA TODAY",,COVER STORY,NEWSPAPER,"Copyright 2010 Gannett Company, Inc.                               All Rights Reserved"
,biochar,Frye,carbon,farm,chicken,scientist,produce,make,soil,much,emission,use,machine,atmosphere,greenhouse,gas,environmental,still,sell,technology,dioxide,help,example,may,environment,recent,include,need,organic,frye,LaSalle,global,manure,keep,advocate,call,change,long,think,best,good,green,turn,warm,take,initiative,impact,recently,company,people,excited,little,heat,result,way,process,low_cost,Lehmann,poultry,waste,large,substance,know,fertilizer,president,new,strategy,climate,worth,admit,"1,000",farmer,away,plan,venture,whether,represent,relatively,put,proposal,give,lead,cause,planet,positive,cap,trade,cut,pollution,have,promise,reduce,fall,widespread,research,source,plant,right,dollar
,5,5,5,5,4,4,4,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"March 2, 2010 Tuesday",69 of 169 DOCUMENTS,USA TODAY,"Best source for science on TV: Comedy Central?; Stewart and Colbert give it respect, make it fun",Dan Vergano,LIFE; Pg. 7D,,639 words,,,"March 2, 2010",ENGLISH,,,"PHOTO, B/W, Patrick Queen PHOTO, B/W, Charles Sykes, AP PHOTO, B/W, Jason DeCrow, AP",,,NEWSPAPER,"Copyright 2010 Gannett Company, Inc.                               All Rights Reserved"
,science,show,Tyson,scientist,Colbert_Report,visit,Comedy_Central,Colbert,Stewart,host,Daily_Show,look,think,far,go,physicist,schedule,promote,time,work,astronomer,many,researcher,guest,appearance,monday,recent,include,week,devote,evolution,find,intelligent,2008,call,documentary,mock,seem,real,thing,Science_Channel,Johnny_Carson,Tonight_Show,Late_Night,Carroll,head,cool,kid,sit,across,march,book,give,tremendous,credit,understanding,fascinating,fun,regularly,anthropologist,network,largely,eschew,neil,degrasse,hold,record,six,set,make,fourth,carry,torch,light,string,theorist,jana,levin,paleontologist,among,schmevolution,2005,biology,midst,federal,kitzmiller,v.,court,case,design,explain,partly,drive,intervention,animal,another,species,creationism,admit
,10,8,7,6,5,4,4,4,4,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"March 15, 2010 Monday",71 of 169 DOCUMENTS,USA TODAY,Allergy sufferers journey into season of symptoms,Mary Brophy Marcus,LIFE; Pg. 4D,,868 words,,,"March 15, 2010",ENGLISH,,,"GRAPHIC, Color, Frank Pompa, USA TODAY (Illustration)",,,NEWSPAPER,"Copyright 2010 Gannett Company, Inc.                               All Rights Reserved"
,allergy,eye,pollen,season,people,symptom,allergic,use,oral,vo,nose,effective,drop,tree,spring,many,immunology,increase,asthma,syndrome,certain,nasal,itch,option,prescription,medication,Allergy,Bronx,Tiehl,seasonal,watery,study,expert,change,warming,duration,time,seem,know,100,ever,red,apple,mouth,chief,mechanism,occur,eat,food,much,protein,itchy,usually,severe,reaction,lead,antihistamine,remove,redness,drug,spray,doctor,visit,USA,American_Academy,Asthma,Plaut,over_the_counter,Rosenstreich,kill,sure,knock,uncomfortable,sneeze,affect,mood,n.j.,grass,rhinitis,afflict,estimate,million,accord,usher,part,country,today,mary,brophy,marcus,sort,speak,share,helpful,plain,curious,news,notching,extend
,20,11,10,7,5,5,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"March 30, 2010 Tuesday",72 of 169 DOCUMENTS,USA TODAY,"Monarchs no longer rule; The butterflies, already losing habitat, are being battered by bad weather",Elizabeth Weise,LIFE; Pg. 8D,,485 words,,,"March 30, 2010",ENGLISH,,,"GRAPHIC, Color, Karl Gelles, USA TODAY, Source: Chip Taylor, Monarch Watch, University of Kansas (Maps) PHOTO, Color, Chip Taylor, Monarch Watch, via AP",,,NEWSPAPER,"Copyright 2010 Gannett Company, Inc.                               All Rights Reserved"
,monarch,butterfly,population,acre,habitat,Mexico,Taylor,tree,begin,area,way,milkwee,Brower,may,expert,inch,mean,number,pretty,take,severe,weather,die,thing,scientist,find,egg,migration,three,generation,fall,work,*,worst,record,beleaguer,massive,hailstorm,drop,ice,spend,winter,follow,rain,many,kill,fear,much,higher,professor,entomology,director,small,believe,several,recover,northwest,wing,creature,gather,hit,hard,fifty,people,zoologist,specialist,ago,bad,shape,typically,measure,pine,fill,smallest,overwintering,look,4.7,average,18.3,inspect,principal,colony,1.2,size,female,fly,"1,000",mile,north,deposit,along,leave,hatch,offspring,continue,four,reach,final,back
,9,8,4,4,4,4,4,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"April 2, 2010 Friday",74 of 169 DOCUMENTS,USA TODAY,"Yes, drill offshore for oil, and do many other things, too",,NEWS; Pg. 12A,,582 words,,,"April 2, 2010",ENGLISH,,,"PHOTO, B/W, Chris Carlson, AP",,,NEWSPAPER,"Copyright 2010 Gannett Company, Inc.                               All Rights Reserved"
,oil,energy,drilling,billion,U.S.,offshore,gas,make,plan,include,true,good,nation,fall,almost,Obama,put,need,something,support,robust,nuclear,announce,plant,alternative,economy,critic,fill,potential,everything,production,1970,world,market,supplies,barrel,spill,2008,candidate,dismiss,bad,idea,worsen,addiction,investment,clean,renewable,summer,though,americans,frantic,eventually,give,grudge,bipartisan,wednesday,shift,dramatically,propose,open,stretch,ocean,northern,alaska,maybe,practical,politics,crowd,easier,broader,legislation,proposal,democrat,environmentalist,charge,country,work,become,clear,pretty,quickly,foolish,reasonable,source,savings,limit,certainly,way,act,lately,campaign,cool,toward,february,loan,guarantee,build,stimulus,bill
,10,7,6,5,5,4,4,4,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"April 29, 2010 Thursday",76 of 169 DOCUMENTS,USA TODAY,1st offshore wind farm gets OK; Unleashes fresh fight over Cape Cod,Oren Dorell,NEWS; Pg. 3A,,446 words,,,"April 29, 2010",ENGLISH,,,"PHOTO, B/W, Charles Dharapak, AP PHOTO, B/W, Steven Senne, AP",,,NEWSPAPER,"Copyright 2010 Gannett Company, Inc.                               All Rights Reserved"
,project,turbine,wind,offshore,energy,protect,cape,area,bird,Cape_Cod,Cape_Wind,opponent,vow,decision,opposition,hold,tribe,power,ultimately,endangered,Nantucket_Sound,Nantucket_Island,Interior_Department,administration,wednesday,approve,fight,secretary,ken,salazar,announce,federal,review,pitted,environmentalist,another,draw,across,party,line,among,democrat,whose,family,estate,nearby,sen,scott,brown,seat,long,oppose,call,national,treasure,130,440,foot,tall,sit,water,mile,cod,nearest,point,land,jeopardize,tourism,fishing,vital,economy,threaten,aviation,safety,rights,desecrate,submerge,ancestral,burial,site,produce,demand,construction,begin,generate,2012,audra,parker,president,alliance,lead,go,litigation,defeat,approval,slap,face,rate,payer
,11,5,4,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"June 2, 2010 Wednesday",78 of 169 DOCUMENTS,USA TODAY,Capital shocker: Gores to split after 40 years; Friends are told of 'mutual' breakup via group e-mail,Mimi Hall,NEWS; Pg. 1A,,449 words,,,"June 2, 2010",ENGLISH,,,"PHOTO, Color, File photo by Mark Wilson, Getty Images PHOTO, Color, File photo by Tim Dillon, USA TODAY",,,NEWSPAPER,"Copyright 2010 Gannett Company, Inc.                               All Rights Reserved"
,couple,marriage,friend,Gores,separate,decade,family,privacy,president,detail,photo,public,2000,work,love,keep,time,Tipper_Gore,e_mail,word,rock,nation,capital,tuesday,storybook,romance,stand,contrast,turbulent,relationship,much,mutual,mutually,supportive,decision,make,together,follow,process,long,careful,consideration,week,40th,anniversary,ask,respect,intend,comment,spokeswoman,former,vice,confirm,contents,provide,decline,speak,record,cite,request,talker,issue,alert,shortly,noon,within,hour,post,video,gallery,display,affection,include,ardent,kiss,presidential,nominee,plant,wife,absolutely,stun,pop,culture,professor,appear,totally,functional,modern,cultivate,image,meet,fall,high,school,spark,alive,raising,four,kid
,5,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"October 20, 2010 Wednesday",83 of 169 DOCUMENTS,USA TODAY,Measure targets California green law,Wendy Koch,NEWS; Pg. 3A,,493 words,,,"October 20, 2010",ENGLISH,,,"PHOTO, B/W, AP",,,NEWSPAPER,"Copyright 2010 Gannett Company, Inc.                               All Rights Reserved"
,California,million,law,measure,state,proposition,company,environmental,oil,emission,group,*,in,park,whether,economy,ballot,industry,suspend,reduce,greenhouse,gas,unemployment,significant,campaign,donation,supporter,raise,include,health,fund,help,cost,job,non_partisan,long,trendsetter,protection,decide,november,pull,back,landmark,continue,struggle,advocate,rate,fall,5.5,four,consecutive,quarter,12.4,really,initiative,nation,whole,national,conference,affect,pass,legislation,tackle,climate,change,recent,poll,show,californian,evenly,split,draw,base,outside,accord,maplight.org,track,opponent,environmentalist,movie,director,hold,fundraiser,friday,feature,musician,nationwide,nov,301,transfer,money,general,plug,deficit,budget,maine,question,create,bond
,8,7,6,6,6,5,4,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"April 28, 2010 Wednesday",88 of 169 DOCUMENTS,USA TODAY,Immigration issue proves difficult for leaders to postpone,Kathy Kiely,NEWS; Pg. 5A,,479 words,,,"April 28, 2010",ENGLISH,,,"PHOTO, B/W, Harry Hamburg, AP",,,NEWSPAPER,"Copyright 2010 Gannett Company, Inc.                               All Rights Reserved"
,bill,immigration,law,party,push,tough,sen,bipartisan,immigrant,support,Senate,Arizona,Obama,tuesday,make,new,election,border,security,require,create,illegal,energy,climate,move,legislation,battle,former,governor,week,whether,face,promise,Reid,back,plan,next,item,agenda,controversial,rights,group,renew,debate,many,lawmaker,rather,time,right,dianne,feinstein,favor,comprehensive,author,beef,biometric,identity,card,employment,path,citizenship,million,consider,threaten,pull,another,president,priority,change,ready,give,acknowledge,pass,line,form,run,florida,criticize,fellow,sign,tell,politico,allow,police,demand,proof,legal,status,anyone,suspect,civil,liberty,issue,significant,democratic,senator,question,complicated,possible
,12,10,4,4,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"April 23, 2010 Friday",96 of 169 DOCUMENTS,USA TODAY,Optimism fills shopping carts; Consumers let loose of their 'pent-up demand',Jayne O'Donnell,MONEY; Pg. 1B,,1354 words,,,"April 23, 2010",ENGLISH,,,"GRAPHIC, Color, Karl Gelles, USA TODAY, Source: BIGresearch Consumer Intentions and Actions online survey of 8,197 adults conducted April 6-13 (Pie charts) GRAPHIC, B/W, Robert W. Ahrens, USA TODAY, Source: BIGresearch Consumer Intentions and Actions online survey of 8,197 adults conducted April 6-13 (Pie charts, bar graphs) PHOTO, Color, Colby E. Ware for USA TODAY",,COVER STORY,NEWSPAPER,"Copyright 2010 Gannett Company, Inc.                               All Rights Reserved"
,sale,consumer,spend,last,still,many,shopping,store,retail,make,people,increase,buy,march,april,ago,start,show,home,firm,go,time,Stewart,clothes,room,new,economist,shop,economy,husband,furniture,budget,back,feel,customer,thing,need,find,recession,think,2009,purchase,remain,almost,move,decline,consulting,predict,better,improve,market,department,Neiman_Marcus,laid,daughter,work,simply,tired,long,fall,attract,client,wardrobe,furnish,include,good,government,end,poll,country,optimism,compare,tend,toward,less,luxury,reason,point,unemployment,rate,much,week,bit,take,expert,release,demand,index,use,help,survey,shoe,past,among,view,investment,lot,number,quality
,12,11,10,10,9,9,8,8,8,8,7,7,6,6,6,5,5,5,5,5,5,5,5,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"August 18, 2010 Wednesday",98 of 169 DOCUMENTS,USA TODAY,"Mom's the word for 'Nanny McPhee'; Thompson, Gyllenhaal share magic of friendship, motherhood",Donna Freydkin,LIFE; Pg. 1D,,1461 words,,,"August 18, 2010",ENGLISH,,,"PHOTO, Color, Robert Hanashiro, USA TODAY PHOTO, Color, Universal Pictures PHOTO, B/W, Liam Daniel, Universal Pictures",,COVER STORY,NEWSPAPER,"Copyright 2010 Gannett Company, Inc.                               All Rights Reserved"
,Thompson,Gyllenhaal,time,green,take,Maggie,try,woman,mrs,gyllenhaal,make,think,really,movie,go,Ramona,Emma,parent,know,mother,together,kid,play,well,look,shoot,good,Nanny,London,Sarsgaard,love,daughter,motherhood,way,great,mom,wise,deal,write,absolutely,lunch,home,actor,keep,education,balance,spend,work,everything,recall,child,nearly,thank,away,aware,life,turn,start,sorry,quite,wrong,next,point,right,friend,kill,relationship,honest,god,three,tough,stay,thompson,screenplay,yes,laugh,process,kind,lot,script,exactly,husband,base,live,people,smile,tell,clever,game,proper,scene,end,sometimes,still,thing,behind,grant,set,can
,29,17,7,6,6,6,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"January 14, 2010 Thursday",99 of 169 DOCUMENTS,USA TODAY,"Economy ticks up a bit, but jobs still lagging",Christine Dugas,MONEY; Pg. 2B,,859 words,,,"January 14, 2010",ENGLISH,,,"PHOTO, B/W, Paul J. Richards, AFP/Getty Images PHOTO, B/W, Jacquelyn Martin, AP",,,NEWSPAPER,"Copyright 2010 Gannett Company, Inc.                               All Rights Reserved"
,sale,district,report,increase,home,southern,show,activity,northern,holiday,commercial,demand,improve,manufacturer,modest,improvement,december,slightly,2008,mix,business,pick,retail,retailer,real,estate,employment,eastern,construction,remain,western,weak,economy,continue,many,new,consumer,spend,condition,2010,little,store,tourism,soft,job,although,level,firm,experience,end,sluggish,region,hire,change,result,better,inventory,pennsylvania,auto,lend,expect,industry,uptick,tennessee,mississippi,discount,exist,illinois,wisconsin,missouri,market,bank,loan,winter,slight,New_Jersey,Kentucky,West_Virginia,Louisiana,Indiana,Michigan,New_Mexico,fail,spark,rise,still,2007,monthly,beige,book,name,color,cover,ten,federal,reserve,philadelphia,today,reporter
,22,14,12,11,11,9,8,8,8,7,7,7,6,6,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"February 2, 2010 Tuesday",100 of 169 DOCUMENTS,USA TODAY,Budget at a glance,"Ray Locker, Sandra Block, Kevin Johnson, Mimi Hall",NEWS; Pg. 8A,,892 words,,,"February 2, 2010",ENGLISH,,,,,,NEWSPAPER,"Copyright 2010 Gannett Company, Inc.                               All Rights Reserved"
,billion,budget,proposal,spend,include,increase,call,context,help,tax,health,request,Obama,last,obama,expand,nation,household,income,Afghanistan,war,2011,care,program,state,new,million,administration,"250,000",work,pay,top,rate,veterans,van,nuclear,power,plant,Iraq,overall,military,medical,propose,aircraft,use,poor,reduce,1.4,change,2010,federal,continue,facility,4.5,phase,develop,cut,credit,taxpayer,current,money,republican,mental,issue,loan,guarantee,energy,Medicaid,Pakistan,U.S.,Bush,192.3,next,159.3,rest,drop,205.5,3.4,530.8,548.9,5.8,30.9,drine,end,cargo,overwhelming,majority,911,830,go,mandatory,elderly,disable,25.5,cover,share,cost,july,1.7
,24,16,13,12,10,8,7,7,6,6,5,5,5,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"March 12, 2010 Friday",102 of 169 DOCUMENTS,USA TODAY,Water shortages may hit northern Rockies,John S. Adams,NEWS; Pg. 3A,,461 words,,,"March 12, 2010",ENGLISH,,,"GRAPHIC, B/W, Julie Snider, USA TODAY, Source: National Weather Service (Bar graph)",,,NEWSPAPER,"Copyright 2010 Gannett Company, Inc.                               All Rights Reserved"
,snowpack,much,winter,season,water,snow,region,hydrologist,accord,northern,rocky,dry,summer,snowfall,basin,mean,Idaho,Pattee,farmer,irrigation,unless,spring,condition,dring,report,mountain,march,monitor,near,many,wyoming,snowy,record,inch,time,make,river,eastern,seasonal,conservation,service,junior,holder,rights,typically,reach,peak,area,Washington,water_rights,nation,may,rancher,rely,grow,face,shortage,arrive,soon,wet,2008,2009,help,pull,throughout,early,level,location,northeastern,utah,northward,along,border,wash,least,mere,13.7,far,city,usually,expert,concerned,long,irrigator,experience,kind,bury,part,country,recent,week,abundant,unlikely,difference,late,montana,average,data,lower
,6,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"April 22, 2010 Thursday",104 of 169 DOCUMENTS,USA TODAY,Houses of 2020 will be all about energy; Smart technology in smaller quarters,Wendy Koch,LIFE; Pg. 7D,,484 words,,,"April 23, 2010",ENGLISH,,,"PHOTO, B/W, Reed Saxon, AP",,,NEWSPAPER,"Copyright 2010 Gannett Company, Inc.                               All Rights Reserved"
,house,home,window,*,technology,energy,build,builder,cost,new,solar,common,ductless,U.S.,2020,smaller,efficient,electric,survey,change,size,average,offer,panel,expect,improve,use,area,market,heat,pump,become,Wilson,likely,smarter,urban,might,look,set,revolutionize,personal,compute,boost,iq,meter,track,power,usage,program,appliance,run,rate,lowest,waste,less,better,insulation,future,significantly,tighter,green,building,council,already,include,basic,feature,programmable,thermostat,find,january,rocket,science,help,control,affordability,drive,decision,perhaps,obvious,plan,trend,begin,upscale,buyer,recession,intensify,"2,373",square,foot,last,"2,507",2007,accord,data,production,reduce,model,kb
,7,4,4,4,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"June 11, 2010 Friday",107 of 169 DOCUMENTS,USA TODAY,Gates: Triple energy funds,Oren Dorell,NEWS; Pg. 2A,,153 words,,,"June 11, 2010",ENGLISH,,,,,,NEWSPAPER,"Copyright 2010 Gannett Company, Inc.                               All Rights Reserved"
,clean,energy,research,*,new,industry,group,include,carbon,emission,billion,must,triple,investment,compete,global,business,executive,thursday,work,focus,education,health,initiative,world,poorest,people,lead,climate,impact,wholly,fall,measure,death,laid,plan,achieve,reduction,2050,target,previously,identify,president,obama,increase,development,spend,create,structure,model,establish,standard,regulation,set,price,WASHINGTON,U.S.,Bill_Gates,Gates,co_chairman,Bill,Melinda_Gates_Foundation,American_Energy_Innovation_Council,Congress,National_Institutes,Health
,3,3,3,3,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"June 11, 2010 Friday",108 of 169 DOCUMENTS,USA TODAY,Audi A5 gets the topless part right; What fun; but rest of car is far from perfect,James R. Healey,MONEY; Pg. 8B,,929 words,,,"June 11, 2010",ENGLISH,,,"PHOTO, Color, Audi PHOTO, Color",,,NEWSPAPER,"Copyright 2010 Gannett Company, Inc.                               All Rights Reserved"
,*,convertible,Audi,car,drive,cabriolet,top,test,automatic,CVT,FWD,belt,how,Quattro,coupe,inside,space,fold,seat,trunk,cabrio,well,rate,torque,mode,include,new,somewhat,disappointing,around,sporty,less,amplify,need,back,change,enough,look,sale,gas,lid,cloth,time,seem,lower,mile,per,give,frolic,low,available,turbocharge,engine,211,horsepower,258,shiver,balk,mention,continuously,variable,transmission,tiptronic,version,turn,mpg,use,make,typical,passenger,switch,control,ok,knob,neck,move,tall,might,rpm,lb,quattro,gallon,Cabriolet,four_cylinder,pounds_feet,six_speed,front_wheel,all_wheel,pleasant,line,couple,alternative,sedan,5s,bit,shorter,roomy,shortcoming,store
,14,10,9,8,6,5,5,5,5,5,5,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1
"November 5, 2010 Friday",118 of 169 DOCUMENTS,USA TODAY,"Watch out, Civic: Here comes Chevy Cruze; Classy little compact isn't perfect, but it's good enough to give rivals some trouble",James R. Healey,MONEY; Pg. 3B,,1147 words,,,"November 5, 2010",ENGLISH,,,"PHOTOS, B/W, General Motors via Wieck (2)",,,NEWSPAPER,"Copyright 2010 Gannett Company, Inc.                               All Rights Reserved"
,*,car,use,small,knob,Cruze,Chevy,how,cruze,compact,long,test,suspension,automatic,make,space,front,turbo,trunk,eco,rival,seem,lt,engine,transmission,change,show,truck,team,can,back,midsize,rear,sound,hard,big,least,avoid,enough,beam,cut,standard,manual,highway,old,story,automaker,really,time,maybe,2011,chevrolet,sale,september,replace,ok,feeling,mean,jerky,usually,often,slightly,deal,let,lately,unreadable,gm,similar,tight,folk,tall,new,design,pedal,available,base,push,much,turn,problem,buy,expect,perhaps,classy,easy,gearshift,include,door,well,handle,corner,axle,independent,style,version,premium,bit,drive,rate
,24,15,6,6,6,6,6,5,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"January 22, 2010 Friday",122 of 169 DOCUMENTS,USA TODAY,Brown win is message to Congress,,NEWS; Pg. 8A,,866 words,,,"January 22, 2010",ENGLISH,,,"PHOTO, B/W, Michael Dwyer, AP PHOTO, B/W, AP",,DEBATE,NEWSPAPER,"Copyright 2010 Gannett Company, Inc.                               All Rights Reserved"
,health,care,Massachusetts,work,people,use,Senate,break,election,americans,reform,make,take,problem,catholics,oppose,camera,law,record,player,Congress,Martha_Coakley,message,give,democrat,news,president,policy,show,never,unless,elect,know,rest,grow,many,several,state,frightening,schism,win,think,despite,political,overconfidence,late,fight,today,driver,ignore,red,light,ticket,religious,letter,jan,ask,extremist,view,blame,baseball,strike,Americans,America,Obama,Republican_Scott_Brown,Democratic,dynasty,send,important,member,upset,pause,wednesday,hope,rush,leftward,destroy,pay,attention,lesson,must,heed,contemplate,enact,agenda,embarrass,race,toilet,courage,change,representative,gravy,train,enjoy,possibly,enough,vote,good
,7,7,6,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"February 12, 2010 Friday",129 of 169 DOCUMENTS,USA TODAY,"Home sales take big fat leap; Prices are up in many places, too",Stephanie Armour,MONEY; Pg. 1B,,379 words,,,"February 12, 2010",ENGLISH,,,,,,NEWSPAPER,"Copyright 2010 Gannett Company, Inc.                               All Rights Reserved"
