PUBLISHED_DATE,DOCUMENTS_INDEX,PUBLISHER,TOPIC,BYLINE,SECTION,SOURCE,LENGTH,DATELINE,SUMMARY,LOAD_DATE,LANGUAGE,CORRECTION_DATE,CORRECTION,GRAPHIC,TYPE,DOCUMENT_TYPE,PUBLISH_TYPE,COPYRIGHT
"January 31, 2002, Thursday",5 of 141 DOCUMENTS,USA TODAY,Oscillating rhythm's got weather on the go,Jack Williams,LIFE; Pg. 9D,,469 words,,,"January 31, 2002",ENGLISH,,,,,,,"Copyright 2002 Gannett Company, Inc."
,air,pattern,change,stream,week,east,affect,phase,weather,winter,wave,thunderstorm,high,path,jet,pressure,Higgins,forecaster,next,warming,cold,forecast,much,season,particular,call,oscillation,early,huge,stretch,around,slowly,shower,rain,january,low,Weather_Service,Pacific,USA,look,far,time,western,usa,shove,aside,record,warmth,base,grow,ability,predict,understand,faraway,principal,climate,scientist,prediction,center,md,flip,back,december,bring,real,taste,among,thing,make,clearer,warmer,soon,olympic,start,feb,higgin,confident,shift,computer,model,really,situation,do,well,include,transition,sudden,slow,cool,global,closely,watch,detect,1970,atmospheric,least,halfway,globe,side
,conservatory,plant,garden,open,glass,tropical,lush,house,orchid,include,dome,complete,U.S.,today,city,place,education,research,ground,protect,architecture,support,plus,rare,collection,community,appeal,display,wwwiw,restoration,inside,serve,end,Longwood_Conservatory,Climatron,late,winter,chilly,gray,warm,provide,perfect,antidote,popular,time,believe,restorative,power,interest,back,good,reason,attendance,sept,author,palace,especially,need,green,peaceful,cunningham,share,favorite,public,pa,continue,du,pont,dream,extravagance,offer,consistently,gorgeous,presentation,"100,000",square,foot,theatrically,beautiful,possibility,www.longwoodgardens.org,chapman,fuqua,finish,touch,underway,march,lowland,formal,naturalistic,jungle,terrestrial,complex,pair,technology,conservation,www.atlantabotanicalgarden.org,sunk,mostly
,14,8,5,5,4,4,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"March 12, 2002, Tuesday",61 of 141 DOCUMENTS,USA TODAY,"Tech start-ups abandon hype, get back to basics",Jon Swartz,MONEY; Pg. 8B,,490 words,SAN FRANCISCO,,"March 12, 2002",ENGLISH,,,,,,,"Copyright 2002 Gannett Company, Inc."
,company,board,start_ups,tech,revenue,firm,executive,investor,business,venture,employee,pay,management,scrutiny,financial,result,director,conservative,base,hype,face,addition,product,potential,stock,option,heavily,top,attention,software,contract,prospect,member,Enron,francisco,tiptoe,minefield,avoid,repeat,fiasco,academics,rethink,basic,concept,issue,report,compose,age,time,clickability,level,play,field,rewarded,real,upstart,new,challenge,headach,raising,capital,develop,include,change,accounting,legislation,pen,end,tax,give,whose,exercise,use,industry,compensate,especially,important,often,lack,much,bigger,pass,law,damage,ability,recruit,retain,professor,book,ceos,finance,background,compare,fortune,500,recruiting,heidrick,go,unfamiliar
,7,5,5,4,4,4,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"March 20, 2002, Wednesday",62 of 141 DOCUMENTS,USA TODAY,Rates stay the same -- for now,Barbara Hagenbaugh,MONEY; Pg. 1B,,363 words,WASHINGTON,,"March 20, 2002",ENGLISH,,,,,,,"Copyright 2002 Gannett Company, Inc."
,rate,Fed,economist,economy,feed,interest,may,expect,end,leave,signale,increase,soon,analyst,low,cut,time,risk,weakness,inflation,change,chief,outlook,business,still,recovery,short_term,grow,significant,pace,federal,reserve,unchanged,tuesday,many,late,june,official,unanimously,vote,target,affect,borrowing,cost,everything,car,credit,card,1.75,last,boost,sign,building,mend,raise,take,away,stimulus,closely,watch,statement,drop,wording,biggest,economic,phrase,place,december,2000,instead,balance,appear,minor,big,shift,lingo,basically,set,public,tightening,banc,investment,advisor,announcement,investor,erase,gain,post,stock,earlier,industrial,average,0.5,"10,635",0.2,1881,express,cautious,optimism
,9,7,5,4,4,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"March 22, 2002, Friday",63 of 141 DOCUMENTS,USA TODAY,"Like your favorite shoes, redone Saab 9-5 fits",James R. Healey,LIFE; Pg. 6D,,1541 words,,,"March 22, 2002",ENGLISH,,,"PHOTOS, B/W, Saab (2); New 9-5: The serious money and sweat went into changes where they count, not where they can be seen. For instance, seats in the high-performance Aero have big side bolsters to keep you snug during quick turns.",,,,"Copyright 2002 Gannett Company, Inc."
,seat,Aero,less,Saab,car,sedan,wagon,model,arc,engine,Arc,saab,station,though,feel,control,automatic,front,turbocharge,work,rpm,four_cylinder,start,make,sport,still,steering,transmission,heat,aero,fan,good,feature,rate,rear,mirror,big,new,light,standard,instead,hp,without,test,tire,side,available,lag,crash,head,column,stereo,cup,sell,dealer,inch,mpg,online,Linear,fan_cooled,best,comfortable,sale,freshening,2002,set,rump,version,hair,leather,upholstery,air,bag,sense,passenger,deploy,accordingly,250,horsepower,258,torque,point,serious,money,go,quick,safety,floor,hard,handle,suspension,annoyingly,'02,keep,behind,wheel,machine,back,system
,17,10,9,8,7,7,7,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"April 5, 2002, Friday",64 of 141 DOCUMENTS,USA TODAY,Extremist voices drown out all others in Mideast,Kathy Kiely,NEWS; Pg. 1A,,2484 words,JERUSALEM,,"April 05, 2002",ENGLISH,,,"PHOTO, Color, Khalil Hamra, AP; PHOTO, B/W, Orel Cohen, Agence France-Presse; PHOTO, B/W, Awad Awad, Agence France-Presse; GRAPHIC, B/W, Dave Merrill, USA TODAY (MAP); Perpetual hostilities: Assault rifle in hand, a Palestinian woman participates in a demonstration Thursday in support of Palestinian leader Yasser Arafat in the Rafah refugee camp in the southern part of Gaza.<>Sharon: The prime minister does have critics within Israel, but in the current climate, they haven't found much political traction.<>Arafat: Even if Palestinian leader were replaced, there's little chance his successor would be any more moderate in dealing with Israel.",COVER STORY,,,"Copyright 2002 Gannett Company, Inc."
,Palestinian,Arafat,Israeli,Israel,peace,israelis,palestinians,territory,leader,people,suicide,Sharon,seem,side,Israelis,million,military,give,force,week,group,think,call,state,minister,feel,political,poll,war,ago,live,near,fight,kill,2000,hostility,back,conflict,moderate,time,civilian,support,insist,believe,build,prime,part,go,violence,member,2001,Baskin,West_Bank,drive,tank,center,headquarters,bomb,least,uprising,begin,end,include,refuse,promise,extremist,feeling,community,fundamentalist,homeland,tell,continue,hard,man,site,son,government,less,half,life,current,many,bomber,govern,other,right,culture,accord,negotiation,opposition,U.S.,Palestinians,Holy_Land,Jerusalem,airport,israel,palestine,research,plan
,25,21,17,15,13,12,10,9,8,8,8,8,7,7,7,6,6,6,6,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2
"June 7, 2002, Friday",70 of 141 DOCUMENTS,USA TODAY,"Big, bold Marauder: Drive it with passion",James R. Healey,LIFE; Pg. 4D,,1672 words,"SUMMIT POINT, W.Va.",,"June 07, 2002",ENGLISH,,,"PHOTO, B/W, Wieck; PHOTO, B/W, Ford Motor; Fancy stuff: AutoMeter gauges, favored by driving enthusiasts, provide extra information.",,,,"Copyright 2002 Gannett Company, Inc."
,car,big,Marauder,marauder,use,Mercury,sedan,ford,feel,wheel,Grand_Marquis,engine,brake,steering,torque,model,seat,brand,make,well,ride,rear,corner,dealer,vs.,call,sell,include,better,shock,change,instead,system,part,chassis,rate,302,horsepower,power,leather,autometer,gauge,exhaust,pipe,polish,foot,show,around,back,tight,gear,sacrifice,tire,front,give,though,trunk,organizer,without,muscle,accord,cost,inch,full_size,icon,past,roof,fastback,run,later,2003,modern,03,new,absorber,fact,improve,stop,alloy,318,available,almost,fog,light,drive,add,04,dual,tip,think,little,comfort,find,racetrack,handle,town,nicely,fit,solid
,15,14,12,7,7,7,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"June 19, 2002, Wednesday",71 of 141 DOCUMENTS,USA TODAY,Time fails to lessen Title IX furor,Erik Brady,SPORTS; Pg. 1C,,2470 words,,,"June 19, 2002",ENGLISH,,,"GRAPHIC, B/W, Karl Gelles, USA TODAY, Source: NCAA (BAR GRAPH)",COVER STORY,,,"Copyright 2002 Gannett Company, Inc."
,woman,school,man,law,Title_IX,sport,team,regulation,pass,ix,athletics,coach,part,make,title,college,scholarship,money,think,use,administration,much,wrestling,football,compliance,program,long,call,history,try,proportionality,quota,athlete,cut,..,Gavora,federal,director,take,time,office,test,complaint,athletic,can,drop,Bush,become,still,instead,proponent,point,new,coalition,court,side,interest,write,give,run,department,play,lose,issue,lawsuit,opportunity,Lopiano,Civil_Rights,Miami,NCAA,sex,discrimination,aid,controversy,challenging,enforcement,group,anger,ago,forum,help,need,rule,orlean,campaign,enrollment,file,show,add,fully,often,many,case,big,begin,lead,end,today,culture
,33,31,24,20,20,18,12,11,11,10,10,9,9,8,8,8,8,8,7,7,7,7,7,7,6,6,6,6,6,6,6,6,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2
"September 17, 2002, Tuesday",72 of 141 DOCUMENTS,USA TODAY,"United, unions dig in for deal to dodge Chapter 11",Marilyn Adams,MONEY; Pg. 1B,,1544 words,,,"September 17, 2002",ENGLISH,,,"GRAPHIC, Color, Sam Ward, USA TODAY (ILLUSTRATION); GRAPHIC, B/W, Marcy E. Mullins, USA TODAY, Source: United Airlines (BAR GRAPH)",COVER STORY,,,"Copyright 2002 Gannett Company, Inc."
,United,bankruptcy,airline,union,cut,company,billion,filing,plane,big,week,creditor,last,board,ago,fall,loan,route,take,stake,UAL,chapter,cash,worth,employee,ual,carrier,airlines,firm,share,parent,file,contract,concession,lose,guarantee,labor,prepare,largest,revenue,competitor,probably,fly,talk,court,passenger,boe,payment,capital,avoid,airplane,financing,recently,aircraft,president,disclose,work,hire,protection,2001,cost,federal,raise,monday,several,leader,many,watch,question,sign,ratify,time,base,nearly,flight,expert,worry,put,low,ticket,fuel,price,attack,november,keep,still,operate,though,likely,go,represent,problem,park,drop,change,rule,million,debt,market
,35,17,13,11,8,7,7,7,7,6,6,6,6,6,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"October 25, 2002, Friday",76 of 141 DOCUMENTS,USA TODAY,"Aviator a beauty to drive, but not to behold",James R. Healey,LIFE; Pg. 10D,,1401 words,"HOT SPRINGS, Va.",,"October 25, 2002",ENGLISH,,,"PHOTOS, B/W, Ford Motor (2); Ahhh factor: With its smooth-yet-quick handling, Aviator seems nicer to drive than the Mercedes-Benz M-class, BMW X5 and Acura MDX.",,,,"Copyright 2002 Gannett Company, Inc."
,drive,Lincoln,wheel,seat,aviator,luxury,truck,power,model,Aviator,feel,steering,lb,AWD,ford,good,go,interior,seem,suv,use,optional,way,highway,window,look,stereo,premium,inch,mpg,explorer,make,force,machine,along,vehicle,much,people,switch,trim,style,handle,gear,rate,automatic,mirror,online,give,option,change,sale,next,week,run,board,overdone,overall,resemble,big,lincoln,mark,stuff,standard,whether,latch,must,crawl,inside,nobody,complain,arrangement,driver,mind,money,handy,keep,better,chintzy,wear,panel,turn,side,wrong,mile,well,noise,something,special,system,rollover,safety,reference,brake,part,available,rpm,front,air,bag
,9,8,7,7,6,6,6,6,6,6,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"November 5, 2002, Tuesday",77 of 141 DOCUMENTS,USA TODAY,"Church sex-abuse policy praised, panned",Cathy Lynn Grossman,LIFE; Pg. 9D,,749 words,,,"November 05, 2002",ENGLISH,,,"PHOTO, B/W, Evan Vucci, AP; PHOTO, B/W, Ron Heflin, AP; PHOTO, B/W, Lee Pellegrini, Boston College",,,,"Copyright 2002 Gannett Company, Inc."
,bishop,priest,victim,Dallas,Vatican,policy,abuse,church,case,june,approval,revision,accept,do,child,survivor,action,accountability,ask,Catholic,Rome,public,last,zero,tolerance,change,committee,work,week,monday,version,many,set,line,still,reach,call,new,laypeople,process,keep,allegation,control,network,concern,may,matter,take,someone,chairman,department,theology,really,full,remain,violation,trust,David_Clohessy,Stephen_Pope,Boston_College,sear,glare,outrage,make,pledge,sexual,minor,hammer,deal,vague,specifics,hold,back,law,propose,implement,joint,official,acceptable,language,release,detail,meet,next,d.c.,final,assure,praise,welcome,path,clarity,procedure,authority,spell,bottom,serve,significantly,different,supercharge
,16,7,7,7,7,6,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"November 29, 2002, Friday",78 of 141 DOCUMENTS,USA TODAY,Nissan's Murano crosses over nicely,James R. Healey,LIFE; Pg. 8D,,1386 words,,,"November 29, 2002",ENGLISH,,,"PHOTOS, B/W, Nissan (2); Sporty vehicle: Nissan's Murano, at a base of $29,000, is a mean, lean machine. Extras can add thousands of dollars to the cost. Shiny new: Metallic-finish trim can't disguise the center pod's plastic feel, but the controls are fine and handy.",,,,"Copyright 2002 Gannett Company, Inc."
,Murano,drive,CVT,vehicle,wheel,engine,power,seat,rx,300,style,model,rate,Nissan,crossover,look,go,automatic,transmission,pulley,driver,seem,speed,use,price,rear,fwd,se,steering,SUVs,base,available,belt,keep,tire,machine,big,enough,trim,controls,front,sl,brake,control,inch,cubic,foot,pound,Lexus,biggest,car,handle,cargo,"37,000",sale,modify,continuously,variable,turn,diameter,change,gear,ratio,step,fuel,typical,gas,sluggish,nicely,longer,along,unusual,mdx,well,easy,past,fun,road,suppose,test,hard,work,245,horsepower,hp,powertrain,detail,color,panel,read,green,taller,shorter,inside,plastic,expensive,silver,stereo,climate
,13,10,9,7,7,6,6,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"December 23, 2002, Monday",79 of 141 DOCUMENTS,USA TODAY,Investors need federal help,,NEWS; Pg. 11A,,518 words,,,"December 23, 2002",ENGLISH,,,,DEBATE,,,"Copyright 2002 Gannett Company, Inc."
,stock,analyst,bank,investor,company,investment,issue,research,Congress,Wall_Street,industry,reform,business,Spitzer,federal,evidence,help,sec,often,action,let,whose,end,major,change,practice,friday,corporate,abuse,need,gain,report,try,make,pick,agree,client,fix,still,banking,new,Washington,half,ago,regulator,cross,hair,mount,suggest,behave,salesmen,eager,peddle,lemon,thoughtful,researcher,intent,choose,best,security,find,unload,tout,threaten,clean,act,result,nothing,bow,lobbying,matter,drop,collapse,promote,almost,successfully,fend,comprehensive,absence,attorney,general,wage,campaign,corrupt,announce,1.4,billion,settlement,improve,reliability,analysis,effort,serve,model,government,reluctant,crack,ensure,small
,10,9,8,6,4,4,4,4,4,4,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"January 11, 2002, Friday",81 of 141 DOCUMENTS,USA TODAY,Hyundai Sonata strikes a chord,James R. Healey,LIFE; Pg. 8D,,1434 words,,,"January 12, 2002",ENGLISH,,,"PHOTOS, B/W, Hyundai (2); PHOTO, B/W; Success in waiting: Hyundai hits a good note with its redesigned Sonata, which sells for about $18,000. Delightful surprises: The Sonata's interior offered the most unexpected grins, including comfortable seats.",,,,"Copyright 2002 Gannett Company, Inc."
,car,Sonata,model,Hyundai,test,automatic,wheel,rate,sonata,trunk,foot,air,best,good,shift,IIHS,hyundai,vehicle,enough,big,top,tire,bag,standard,crash,seat,power,base,dealer,cost,edmunds.com,inch,quiet,premium,02,light,grille,lid,seem,call,let,easy,cubic,brake,control,extra,upholstery,back,steering,transmission,auto,mile,accord,acceptable,Honda_Accord,brand,well,sale,example,success,sell,fast,can,sedan,inside,2002,feature,buyer,new,front,rear,fender,bumper,still,help,instead,free,headlight,use,right,nicely,luxury,14.1,previous,though,alloy,look,give,optional,pay,make,delightful,quite,comfortable,despite,wide,without,safety,pleasant
,12,11,8,8,7,7,6,6,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"February 4, 2002, Monday",84 of 141 DOCUMENTS,USA TODAY,Tagliabue optimistic,Tom Pedulla,SPORTS; Pg. 7C,,939 words,NEW ORLEANS,,"February 04, 2002",ENGLISH,,,"PHOTO, B/W, Win McNamee, Reuters; New territory: Commissioner Paul Tagliabue says the NFL is considering making the Super Bowl available to Northern cities with open-air stadiums, such as the New York/New Jersey and Washington, D.C. areas.",,,,"Copyright 2002 Gannett Company, Inc."
,Tagliabue,monday,night,NFL,league,television,concern,football,network,last,work,future,term,audience,Los_Angeles,think,need,much,schedule,area,interest,team,Super_Bowl,continue,current,well,able,deliver,value,player,game,key,programming,still,sport,size,deal,make,contract,call,season,nfl,viewer,place,bring,new,fan,another,although,try,help,flexible,include,suggest,go,issue,explosion,decade,choice,expansion,great,though,respond,million,city,training,camp,replay,robust,prosper,despite,present,national,economic,problem,reasonably,optimistic,recession,pretty,tremendous,tell,owner,media,weekend,annual,state,address,we,stand,far,away,pinnacle,diversity,strength,demographic,balance,good,optimism,confidence
,8,7,7,7,6,6,6,6,5,5,4,4,4,4,4,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"February 6, 2002, Wednesday",85 of 141 DOCUMENTS,USA TODAY,How go-along boards jam up firms,Jeffrey Sonnenfeld,NEWS; Pg. 13A,,1550 words,,,"February 06, 2002",ENGLISH,,,"GRAPHIC, B/W, Adrienne Lewis, USA TODAY (ILLUSTRATION)",,,,"Copyright 2002 Gannett Company, Inc."
,board,director,firm,Enron,financial,report,member,executive,former,enron,good,share,work,find,outside,business,governance,least,better,way,management,never,chairman,Home_Depot,admit,leadership,many,employee,regulator,investor,answer,include,top,national,professor,dean,generally,meeting,become,model,trust,tell,internal,warning,party,team,best,exchange,change,committee,conformity,seem,question,decision,president,contentious,individual,think,role,without,perspective,responsibility,learn,must,performance,part,CEOs,Yale,Board,mind_set,past,weekend,issue,fail,provide,oversight,tragedy,avoid,politician,supposedly,responsible,stakeholder,go,earlier,close,look,well,equip,acume,untangle,corporation,confusing,prestigious,global,financier,economist,stanford,accounting,school
,21,15,11,10,6,5,5,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"February 14, 2002, Thursday",87 of 141 DOCUMENTS,USA TODAY,Cupid combat rages on campus,Laura Vanderkam,NEWS; Pg. 17A,,676 words,,,"February 14, 2002",ENGLISH,,,"PHOTO, B/W, Danny Johnston, AP; Left by wayside? Road sign for Romance, Ark.",,,,"Copyright 2002 Gannett Company, Inc."
,woman,ad,Valentine,romance,sex,run,V_Day,respect,holiday,campus,urge,play,love,Collegian,controversial,either,give,reject,outside,turn,young,tell,inflammatory,war,name,campuse,show,combination,help,shelter,anyway,high,call,spend,perfect,instead,today,boy,life,monologuer,web,site,IWF,Vagina_Monologues,Ensler,pop,quiz,advocate,mutual,dash,know,reason,initially,message,independent,forum,feature,sad,cupid,performance,hit,cult,phenomenon,avoid,victimology,feminist,promoter,restore,genteel,relation,much,business,manager,might,promote,bet,welcome,latest,battle,pit,follower,feb,celebrate,perform,hundred,inane,prose,pay,homage,female,anatomy,horror,tale,repression,liberally,sprinkle,inflate,rape,statistic
,12,8,6,5,4,4,4,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"April 3, 2002, Wednesday",94 of 141 DOCUMENTS,USA TODAY,Risk-taking is not a crime,Merrill Matthews Jr.,NEWS; Pg. 12A,,400 words,,,"April 03, 2002",ENGLISH,,,,DEBATE,,,"Copyright 2002 Gannett Company, Inc."
,law,risk_takers,Enron,punish,make,million,americans,break,executive,country,reform,economic,profit,something,many,fail,fall,let,lawbreaker,national,sympathy,lose,pass,reflection,risk_taking,Ken_Lay,today,debate,criminal,oppose,view,must,careful,effort,drive,force,behind,boom,1990,willingness,go,limb,hope,ever,do,well,entrepreneurship,occasionally,bad,decision,catch,short,change,climate,may,either,consequence,failure,affect,market,deal,certainly,remain,unclear,whether,actually,clear,support,tarring,feather,enron,arise,feel,employee,job,retirement,savings,join,often,crisis,repent,democracy,thrive,emotion,rather,reasoned,push,result,anything,politician,think,press,threat,effectively,criminalize,economy,depend,collapse,send
,8,7,6,4,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"April 17, 2002, Wednesday",96 of 141 DOCUMENTS,USA TODAY,Sex between adults an children,Karen S. Peterson,LIFE; Pg. 1D,,1637 words,,,"April 17, 2002",ENGLISH,,,,COVER STORY,,,"Copyright 2002 Gannett Company, Inc."
,child,sex,sexual,researcher,book,adult,abuse,include,need,adult_child,harm,think,harmful,older,critic,issue,academics,make,activity,question,term,debate,boy,adolescent,talk,publish,University,APA,Levine,minor,whether,man,rape,law,woman,theme,show,respected,social,clear,good,consent,try,pedophilia,pedophile,negative,turn,author,publication,decision,society,call,1998,topic,expert,parent,other,may,priest,serious,review,coerce,provide,initiation,teenage,many,young,tv,movie,summer,girl,research,indicate,really,figure,time,always,partner,stop,justify,open,group,focus,battle,old,finkelhor,victimize,number,sexually,discussion,professional,journal,special,among,science,analyze,type,definition,wrong
,24,21,19,12,11,10,9,7,7,7,6,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"April 29, 2002, Monday",98 of 141 DOCUMENTS,USA TODAY,How to have a green campus,,LIFE; Pg. 6D,,240 words,,,"April 29, 2002",ENGLISH,,,"GRAPHICS, B/W (ILLUSTRATION) (5)",,,,"Copyright 2002 Gannett Company, Inc."
,student,local,campus,food,compost,n.c.,testing,project,emission,call,future,buy,demand,waste,dining,director,seek,farmer,supply,organic,college,several,area,hospital,join,form,buyer,group,create,4.1,million,residence,hall,four,ago,feature,green,material,countertop,make,soybean,hull,wind,tower,solar,panel,toilet,community,outreach,c.,smith,university,near,collaborate,environmental,justice,program,combine,chemical,policy,analysis,involved,lead,home,drink,water,minority,neighborhood,greenhouse,gas,government,ore,vote,spend,"17,000",fee,plant,tree,offset,carbon,dioxide,goal,bring,compliance,international,agreement,educate,require,take,course,sustainable,urge,apply,ecological,principle,field,Bates_College,Lewiston,Maine
,6,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"May 17, 2002, Friday",100 of 141 DOCUMENTS,USA TODAY,Asteroid blast called beginning and end for dinosaurs,Dan Vergano,NEWS; Pg. 1A,,369 words,,,"May 17, 2002",ENGLISH,,,"PHOTOS, Color, Paul Olsen (2); Growth spurt: Small print, left, is pre-impact. Large print is from after it. Scientists studied these prints to prove their theory.",,,,"Copyright 2002 Gannett Company, Inc."
