PUBLISHED_DATE,DOCUMENTS_INDEX,PUBLISHER,TOPIC,BYLINE,SECTION,SOURCE,LENGTH,DATELINE,SUMMARY,LOAD_DATE,LANGUAGE,CORRECTION_DATE,CORRECTION,GRAPHIC,TYPE,DOCUMENT_TYPE,PUBLISH_TYPE,COPYRIGHT
"April 14, 1998, Tuesday",1 of 109 DOCUMENTS,USA TODAY,'A window on the future' of weather,Jack Williams,LIFE; Pg. 7D,,474 words,,,"April 14, 1998",ENGLISH,,,"GRAPHIC, B/W, Dave Merrill, USA TODAY, Source: USA TODAY research by Jack Williams (Diagram)",SCIENCE,,,"Copyright 1998 Gannett Company, Inc."
,el,nino,weather,warming,climate,world,extreme,global,warmer,hurricane,future,model,may,bring,change,cause,computer,we,baker,can,forecast,NOAA,fall,give,pattern,scientist,strength,modeling,head,show,effect,center,stronger,big,predict,whether,forecaster,able,ahead,research,Karl,disrupt,offer,glimpse,seem,heavy,rain,many,area,name,central,eastern,pacific,occur,every,seven,measure,much,normal,water,become,tell,manifest,d.,jame,word,winter,taste,might,expect,warm,window,stress,strong,always,attribute,increase,indication,amplify,national,climatic,data,latest,similar,past,however,generally,detail,unanswer,question,affect,reduce,number,threaten,researcher,yet,fewer,either,globally
,16,9,8,6,6,5,5,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"March 27, 1998, Friday",37 of 109 DOCUMENTS,USA TODAY,"OPEC's big test Feuds, cheating may foil plan to raise prices",Beth Belton; David Lynch,MONEY; Pg. 1B,,1418 words,,,"September 12, 2000",ENGLISH,"March 31, 1998, Tuesday",The source for data in a graphic that appeared Friday on crude oil production by the Organization of Petroleum Exporting Countries was Petroleum Intelligence Weekly.,"GRAPHIC, color, Dave Merrill, USA TODAY, Source:USA TODAY research(Line graph); GRAPHIC, b/w, Sources:AP; Petroleum Intelligence World; International Energy Agency, Paris(Chart); PHOTO, b/w, AP",COVER STORY,,,"Copyright 1998 Gannett Company, Inc."
,oil,OPEC,price,produce,cut,production,world,barrel,company,country,decline,market,many,opec,figure,billion,1970,revenue,member,million,much,nation,cost,increase,people,source,drilling,expert,fall,week,promise,cheat,tanker,change,1973,make,today,consultant,industry,mean,network,deposit,Vienna,Saudi_Arabia,biggest,power,global,gas,line,crude,follow,pledge,regain,half,loss,total,thursday,consider,neither,supply,demand,rise,dock,rig,really,continue,quota,must,stop,result,embargo,impose,americans,group,painful,fuel,chief,influence,policy,trade,problem,cartel,actually,agree,last,statistic,help,course,reveal,try,rigs,job,move,count,look,news,report,system,economics
,43,26,14,12,11,11,10,10,7,6,6,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"June 15, 1998, Monday",38 of 109 DOCUMENTS,USA TODAY,Oil prices sag to 10-year lows,James Kim,MONEY; Pg. 1B,,275 words,,,"June 15, 1998",ENGLISH,,,,,,,"Copyright 1998 Gannett Company, Inc."
,price,oil,expect,demand,cut,major,might,recession,country,boost,global,yu,past,agreement,production,OPEC,rebound,soon,barrel,benchmark,crude,fall,cent,12.59,friday,lowest,october,1988,head,lower,give,last,week,news,officially,verge,result,thus,flag,factor,work,warm,winter,hurt,add,current,domestic,oversupply,stockpile,glut,delivery,point,cush,summer,drive,season,yet,begin,earnest,let,whose,output,strictly,regulate,sell,supply,consensus,seem,much,trader,victor,plunge,benefit,consumer,drag,gas,range,1.10,1.14,gallon,vs.,1.06,february,eye,organization,meet,june,try,hammer,slow,notoriously,fail,enforce,analyst,co.,take,root,effect,offset
,9,7,3,3,3,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"September 14, 1998, Monday",39 of 109 DOCUMENTS,USA TODAY,Ford's heir apparent joins next CEO in dynamic duo,Micheline Maynard; James R. Healey,MONEY; Pg. 1B,,1343 words,,,"September 15, 1998",ENGLISH,,,"PHOTO, Color, Carlos Osorio, AP; PHOTO, Color, John Freilich, AP",COVER STORY,,,"Copyright 1998 Gannett Company, Inc."
,ford,company,Ford,Trotman,Nasser,work,Bill_Ford,board,plan,member,car,executive,chairman,family,friday,operation,team,2000,dealer,become,give,take,past,auto,run,pair,rival,relation,good,strike,ceo,job,last,Detroit,1970,heart,motor,leadership,oversee,charge,ago,make,announcement,retire,decisive,head,product,labor,global,yet,set,cost,lead,man,office,free,continue,earn,reputation,1996,may,chief,begin,vehicle,brand,hope,neither,though,sign,contract,globalization,have,go,talk,event,sell,early,result,million,replacement,less,look,dealership,defect,Henry_Ford_II,high_profit,jr.,student,father,sit,ask,live,guess,younger,tell,dad,account,elder,reply
,32,15,14,11,9,8,8,6,6,5,5,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1
"September 22, 1998, Tuesday",40 of 109 DOCUMENTS,USA TODAY,Clinton's focus on foreign policy U.N. delegates cheer president,Susan Page,NEWS; Pg. 3A,,914 words,NEW YORK,,"September 22, 1998",ENGLISH,,,"PHOTO, B/W, Ray Stubblebine, Reuters; PHOTO, B/W, AFP",,,,"Copyright 1998 Gannett Company, Inc."
,Clinton,White_House,president,prime,minister,speech,tape,U.N.,U.S.,international,terrorism,videotape,tell,official,security,policy,terrorist,show,many,United_Nations,stand,threat,monday,much,world,open,session,general,acknowledge,broadcast,reception,global,reflect,foreign,economy,conference,nuclear,proliferation,meeting,embassy,bomb,last,provide,statement,contact,speak,prosecutor,afternoon,nation,sort,discussion,call,innocent,act,lose,aftermath,support,Pakistani,Sharif,Lewinsky,McCurry,Tokyo,Washington,man,eye,hurricane,urge,action,attention,focus,personal,presidency,address,assembly,simultaneous,grand,jury,testimony,affair,greet,unusually,warm,hundred,delegate,give,extend,ovation,arrive,later,aide,gratify,interpret,endorsement,leadership,love,respect,community,feel,meet
,16,6,5,5,5,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"July 15, 1998, Wednesday",47 of 109 DOCUMENTS,USA TODAY,Gore puts heat on Congress over global warming program,Traci Watson,NEWS; Pg. 2A,,368 words,WASHINGTON,,"July 15, 1998",ENGLISH,,,,,,,"Copyright 1998 Gannett Company, Inc."
,global,warming,temperature,administration,Gore,last,june,record,go,rise,gas,bill,White_House,slow,nation,degree,take,scientist,planet,greenhouse,program,require,Congress,Kyoto_Protocol,House,vice,president,announce,tuesday,warmest,ever,use,information,hammer,congress,block,effort,much,sweat,100,present,data,show,average,61.2,0.4,warmer,set,1997,likely,director,note,six,1998,eradicate,july,shape,odd,extremely,low,unchanging,climate,mean,ask,long,message,think,subtle,century,cause,large,part,emit,car,factory,power,plant,atmosphere,trap,heat,prevent,dissipating,space,continue,predict,flood,drought,natural,disaster,lead,push,agree,treaty,know,richest,cut,back,emission,many
,5,5,4,4,4,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"August 5, 1998, Wednesday",50 of 109 DOCUMENTS,USA TODAY,Showing crossover ability Ex-sports guy brings view to news,Michael Hiestand,SPORTS; Pg. 3C,,1000 words,,,"August 05, 1998",ENGLISH,,,"PHOTO, B/W; PHOTO, B/W, Steve Miller, AP",,,,"Copyright 1998 Gannett Company, Inc."
,sport,tv,news,show,ESPN,make,Olbermann,suggest,work,begin,career,sportscenter,anchor,today,leave,Gumbel,job,host,might,use,late,wrong,give,change,go,people,CBS,NBC,time,cable,tell,still,may,follow,careful,wish,type,beyond,fun,recall,many,become,network,night,wife,syndicate,talk,cite,around,idea,line,information,distinction,viewer,olbermann,dry,spinoff,household,attract,audience,catch,phrase,focus,can,honest,look,friend,avoid,speculation,chance,ask,watch,something,wait,humor,Keith_Olbermann,MSNBC,ABC,Fox,Bristol,Los_Angeles,longest,map,hour,much,timetable,trade,top,ago,key,relentlessly,probe,presidency,december,never,believe,take,grandchild,court
,13,12,10,9,9,8,7,6,5,5,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"December 31, 1998, Thursday",54 of 109 DOCUMENTS,USA TODAY,"Birth of a new order Year blurs world's lines of time, distance Economy embraces truly global workplace",Kevin Maney,MONEY; Pg. 1B,,2349 words,,,"December 31, 1998",ENGLISH,,,"GRAPHIC, Color, Photo illustration by Grant Jerding, USA TODAY; Photos by Photodisc",COVER STORY,,,"Copyright 1998 Gannett Company, Inc."
,billion,company,time,world,distance,merger,internet,plan,1998,market,announce,global,create,U.S.,economic,stock,computer,thing,aug,deal,buy,might,collapse,business,many,sell,economy,move,hit,nation,capital,merge,go,oil,big,point,faster,size,lead,little,amazon.com,government,become,every,small,drop,way,dollar,currency,web,agree,may,investment,financial,local,car,july,june,bank,giant,Microsoft,history,event,last,author,around,ago,increase,seem,tie,end,part,store,plant,result,investor,begin,help,people,money,national,back,react,job,rival,industrial,average,value,site,use,april,force,bigger,make,case,fund,largest,maker,attempt
,19,18,15,11,10,10,10,9,8,8,8,8,8,8,6,6,6,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
"May 21, 1998, Thursday",56 of 109 DOCUMENTS,USA TODAY,Africa's vision: Keep its top players home,Marco R. della Cava,SPORTS; Pg. 14C,,814 words,"RABAT, Morocco",,"May 22, 1998",ENGLISH,,,"PHOTO, B/W, Michael Steele, Empics Sports Photo Agency ; PHOTO, B/W, Abdeljalil Bounhar, USA TODAY",,,,"Copyright 1998 Gannett Company, Inc."
,soccer,team,Morocco,cup,world,national,player,African,play,coach,Nigeria,game,make,sport,squad,street,nation,league,win,Africa,turn,ball,dozen,use,mostly,city,vendor,newspaper,final,level,continent,star,case,struggle,offer,salary,help,editor,week,lose,take,progress,problem,many,foreign,general,France,Rabat,FIFA,every,fly,warm,north,air,beach,rage,field,outline,sand,hill,child,wall,12th,century,village,backboard,capital,policeman,schoolchild,alike,brave,blaze,sun,boot,around,obsessed,football,learn,love,father,teach,son,entire,consider,farm,surprising,glory,range,1970,join,elite,along,record,four,funny,thing,happen,way,risen
,14,11,9,6,6,6,6,6,5,5,5,4,4,4,4,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"June 16, 1998, Tuesday",57 of 109 DOCUMENTS,USA TODAY,Researching frosty part of the food chain,,LIFE; Pg. 5D,,300 words,,,"June 16, 1998",ENGLISH,,,,SCIENCE,,,"Copyright 1998 Gannett Company, Inc."
,ice,alga,carbon,sea,ocean,virus,air,study,feed,bloom,Antarctic,important,part,food,chain,winter,krill,creature,penguin,seal,whale,abundant,diverse,gow,organisms,recently,cycle,grow,climate,take,Santa_Cruz,biologist,aboard,b.,palmer,main,interest,ecosystem,function,early,midwinter,research,vessel,make,1986,cruise,scientist,assume,small,shrimplike,bird,eat,hibernate,floor,case,assemblage,micro,zooplankton,turn,animal,top,short,group,collect,core,brine,water,plankton,samples,upon,return,other,use,electron,microscope,form,may,autumn,focus,determine,fit,terminate,infect,big,picture,live,human,activity,add,suspect,cause,warm,probably,fewer,less,leave,affect,global,Nathaniel
,7,7,5,4,4,4,4,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"September 4, 1998, Friday",65 of 109 DOCUMENTS,USA TODAY,"Out of the darkness, sounds of disaster Workers scour bay for victims",Rick Hampson,NEWS; Pg. 3A,,2353 words,"PEGGY'S COVE, Nova Scotia",,"September 04, 1998",ENGLISH,,,"GRAPHIC, b/w, Bob Laird and Dave Merrill, USA TODAY, Sources:Swissair, McDonnellpDouglas, wire reports, USA TODAY research, reporting by Tammi Wark(Map, diagram); PHOTO, Adam Nadel, AP; PHOTO, b/w, AFP; PHOTO, b/w, Swissair; PHOTO, b/w, Newsday; PHOTO, b/w, Champaign News-Gazette; PHOTO, b/w, AP",,,,"Copyright 1998 Gannett Company, Inc."
,flight,crash,800,111,official,victim,U.S.,water,jet,American,board,know,hoel,New_York,Pereau,people,aboard,thursday,body,pilot,report,head,passenger,help,organization,fly,crew,world,executive,m.,depledge,garboud,Geneva,Canadian,Benjamin,noise,house,foot,hear,almost,kill,include,search,aircraft,recover,contain,minute,leave,airport,investigation,national,safety,go,wreckage,life,time,important,pan,air,agency,airlines,staff,operation,give,family,name,information,fla,wife,vacation,field,caripide,c.,a.,Nova_Scotia,Switzerland,Washington,U.N.,Karen,Robert,Peter,William,Julie,Miralai,sound,night,certainly,229,passport,mile,offshore,determine,cause,dozen,exactly,clue,bag,part,much
,18,10,9,8,8,7,7,6,6,6,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"October 9, 1998, Friday",66 of 109 DOCUMENTS,USA TODAY,"Weather, global crises dampen upscale sales",Lorrie Grant,MONEY; Pg. 6B,,406 words,,,"October 09, 1998",ENGLISH,,,,,,,"Copyright 1998 Gannett Company, Inc."
,sale,store,analyst,retailer,september,fall,department,weak,weather,foreign,gain,retail,thursday,goods,discount,chain,rise,12.3,6.1,october,executive,j.c.,penney,cent,dept,dollar,Neiman_Marcus,Goldman_Sach,Dayton_Hudson,post,revenue,unseasonably,warm,hurt,clothing,affect,drop,tourist,major,city,financial,crise,elsewhere,open,least,example,slump,7.1,compare,5.,ago,operator,ease,0.7,tourism,big,factor,softness,flagship,location,overall,accord,composite,index,weighted,average,base,release,hard,furniture,consumer,electronics,value,merchandise,last,sector,jump,support,home,rocket,wholesale,club,blame,conventional,summerlike,condition,dampen,demand,reprieve,final,however,turn,cooler,bode,well,business,make,strong,start
,12,7,4,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"October 12, 1998, Monday",67 of 109 DOCUMENTS,USA TODAY,Nasser assembles management team at Ford,Micheline Maynard,MONEY; Pg. 8B,,299 words,"DEARBORN, Mich.",,"October 12, 1998",ENGLISH,,,,,,,"Copyright 1998 Gannett Company, Inc."
,chief,ford,vice,president,executive,become,Ford,chairman,team,lead,appointment,name,company,new,credite,responsibility,group,Nasser,Visteon,China,though,take,charge,january,jacque,nasser,pick,street,savvy,global,outlook,pack,friday,longtime,labor,behind,pestillo,staff,position,unique,industry,help,craft,warm,relationship,count,close,friend,golf,pal,mentor,leave,head,region,guide,transition,outgoing,retire,cut,number,five,financial,officer,gain,part,plus,real,estate,arm,involve,series,international,among,product,development,add,quality,rescue,partner,mazda,replace,manufacturing,overhauling,sag,operation,motor,public,affair,succeed,join,Ford_Motor,CEO_to_be,Peter_Pestillo,United_Auto_Workers,UAW,Steve_Yokich,Pestillo,William_Clay_Ford_Jr,Wayne_Booker
,6,5,5,5,4,4,4,3,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"November 13, 1998, Friday",68 of 109 DOCUMENTS,USA TODAY,Dying for a happy ending Hollywood has discovered that audiences enjoy riding off into the afterlife,Elizabeth Snead,LIFE; Pg. 1E,,1952 words,,,"November 14, 1998",ENGLISH,,,"PHOTO, Color, Phillip V. Caruso, Universal City Studios; PHOTO, Color, Michael Courtney, Fox; PHOTO, Color, Ralph Nelson, Polygram Films; PHOTO, Color; PHOTO, B/W, Suzanne Hanover, Warner Bros.; PHOTO, B/W; 'Meet Joe Black': Claire Forlani embraces Death (Brad Pitt). 'Brimstone': Peter Horton has a pact beyond the grave. 'Dreams': Robin Williams, left, and Cuba Gooding Jr. Books, 2E 'Jack Frost': Joseph Cross, left, is reunited with his dead father, Michael Keaton, who returns to Earth as a snowman.",COVER STORY,,,"Copyright 1998 Gannett Company, Inc."
,death,die,life,heaven,film,book,tv,movie,new,afterlife,play,angel,wife,end,love,hell,crash,kill,boomer,people,Death,entertainment,world,back,reincarnation,daughter,car,deal,young,theme,turn,trend,dec.,generation,look,millennium,happy,take,buffy,title,grace,spiritually,open,kid,mortality,box,office,religion,think,show,cancer,grave,make,spiritual,find,many,believe,mean,reincarnate,Los_Angeles,Celente,beginning,former,vision,always,live,ever,analyst,romance,undead,hit,spirit,approach,hot,transform,meet,joe,black,dead,tycoon,fall,man,twist,million,family,success,rebirth,editor,increase,grief,continue,age,call,preview,parent,explain,fulfil,change,ending
,27,15,11,10,8,8,8,8,7,7,7,6,6,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"November 30, 1998, Monday",70 of 109 DOCUMENTS,USA TODAY,Registers ringing happy tune for retailers Shoppers ready to spend despite troubles abroad,Chris Woodyard; Lorrie Grant,NEWS; Pg. 5A,,770 words,,,"November 30, 1998",ENGLISH,,,"PHOTOS, color, Bob Riha Jr., USA TODAY(3)",,,,"Copyright 1998 Gannett Company, Inc."
,spend,shopping,toy,customer,store,calif,consumer,retailer,sale,hot,weekend,economy,nation,think,last,friday,offer,weather,make,price,lot,Seattle,New_York,Chicago,show,mall,fear,ready,good,sunday,discount,chain,wheel,"1,000",line,winnie,look,much,shopper,still,nice,talk,information,go,buy,set,money,pay,Bloomingdale,Pooh,renew,faith,job,security,gleefully,jam,fest,mark,traditional,start,holiday,season,catch,whole,nurse,la.,fla,careful,mom,blunt,damage,mother,wallet,welcome,relief,many,struggle,stay,clear,global,economic,crisis,prove,tougher,sell,hunker,stock,market,rebound,report,week,confidence,5.6,four,decline,review,data,saturday,know
,8,7,6,5,5,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"December 2, 1998, Wednesday",72 of 109 DOCUMENTS,USA TODAY,"Browsing pleasure, peril in virtual aisles",Elizabeth Weise,LIFE; Pg. 5D,,1498 words,,,"December 03, 1998",ENGLISH,,,"GRAPHIC, B/W, Illustration by Bob Laird, USA TODAY",,,,"Copyright 1998 Gannett Company, Inc."
,site,web,shopping,line,phone,thing,work,good,catalog,look,on_line,still,news,price,go,magazine,billion,big,create,another,let,well,know,make,store,sale,buy,sure,virtual,category,sell,always,best,find,list,history,call,time,phenomenon,estimate,2.3,spend,user,number,nothing,holiday,season,bad,lot,wait,wander,bargain,bet,wonder,use,end,model,wwwiw,plus,area,choose,image,hard,place,shipping,book,deal,popular,include,something,object,better,membership,haggle,cordless,accord,dot,offer,never,back,present,instead,take,exist,real,mail,every,suggest,feel,old,example,military,world,much,order,gift,new,mall,Haggle_Zone
,16,11,10,9,9,8,7,6,6,6,6,5,5,5,5,5,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"January 8, 1998, Thursday",75 of 109 DOCUMENTS,USA TODAY,Cleaning up cars to lower pollution is industry's job,,NEWS; Pg. 12A,,898 words,,,"January 09, 1998",ENGLISH,,,"PHOTO, b/w, Reuters",DEBATE,,,"Copyright 1998 Gannett Company, Inc."
,vehicle,fuel,make,car,emission,government,cell,industry,green,mile,utility,standard,automaker,much,auto,power,hydrogen,sport,greenhouse,time,consumer,electric,battery,show,gallon,global,warming,gas,produce,three,pollution,state,clean,technology,billion,gm,still,recharge,cost,tax,buy,run,eliminate,turn,week,introduce,hybrid,follow,meet,stringent,diesel,ready,environmentally,along,sale,tough,half,company,future,may,breakthrough,160,take,best,long,"30,000",new,cut,demand,credit,federal,fund,research,expensive,different,problem,electricity,range,gasoline,pollutant,California,low_emission,Japanese,alternative_fuel,fuel_cell,automobile,suddenly,seem,announcement,general,motor,begin,might,capable,2001,another,2004,ford,promise
,23,11,7,7,7,7,6,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"January 13, 1998, Tuesday",76 of 109 DOCUMENTS,USA TODAY,"Studying other shifts in the ocean, atmosphere",,LIFE; Pg. 4D,,309 words,,,"January 13, 1998",ENGLISH,,,,SCIENCE,,,"Copyright 1998 Gannett Company, Inc."
,NAO,Europe,el,nino,pattern,winter,ocean,air,mild,temperature,help,weather,forecast,prediction,pressure,wind,around,phase,mode,make,southern,affect,biggest,drive,world,grow,success,research,scientist,focus,effort,understanding,other,important,especially,have,aware,able,way,center,really,grasp,physical,mechanism,area,high,low,prominent,unlike,last,occur,every,three,seven,tend,stay,decade,switch,1980,1994,send,relatively,atlantic,across,season,wet,northern,part,dry,encourage,1995,shift,set,stage,snowy,bring,bitter,eas,dring,big,question,whether,atmosphere,involved,easier,change,slowly,lock,likely,long,time,turn,mostly,atmospheric,phenomenon,much,harder,best_understood,ocean_atmosphere
,6,6,5,5,4,4,4,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"January 16, 1998, Friday",77 of 109 DOCUMENTS,USA TODAY,"For women on death row, clock is ticking",Charisse Jones,NEWS; Pg. 7A,,1287 words,,,"January 16, 1998",ENGLISH,,,"PHOTO, B/W, ABC-TV; PHOTO, B/W, Ron Kuntz, Reuters; PHOTO, B/W, AP",,,,"Copyright 1998 Gannett Company, Inc."
,woman,death,sentence,execution,execute,Tucker,inmate,row,make,become,punishment,court,go,gender,capital,conviction,life,state,appeal,still,supporter,board,Texas,set,century,may,case,carry,commute,believe,man,past,law,future,way,recommend,penalty,decision,federal,die,end,march,number,rise,dozen,process,time,overturn,far,fewer,equal,traditionally,reverse,eight,decade,society,reluctant,kill,1984,politics,new,change,attitude,difficult,study,protect,call,last,three,december,gov,bush,commutation,play,public,significant,system,grant,clemency,1996,several,either,restriction,unconstitutional,deny,never,Florida,Jerry_Lynn_Dean,nation,watch,name,tucker,feb,another,schedule,judia,buenoano,take,murdering
,29,24,14,13,11,9,8,8,7,6,6,6,6,6,5,5,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1
"January 21, 1998, Wednesday",78 of 109 DOCUMENTS,USA TODAY,"Top tax writer to seek $200B cut With budget in balance, debate changes",William M. Welch,NEWS; Pg. 10A,,551 words,WASHINGTON,,"January 21, 1998",ENGLISH,,,"GRAPHIC, B/W, Jerry Mosemak, USA TODAY, Source: Joint Committee on Taxation, House Ways and Means Committee(Line graph); PHOTO, B/W, Richard Ellis, Meet the Press; PHOTO, B/W, Mark Wilson, AP",,,,"Copyright 1998 Gannett Company, Inc."
,tax,federal,Archer,cut,surplus,billion,rate,people,pay,plan,200,next,decade,propose,proposal,economy,democrat,committee,rep.,keep,exceed,republican,taxpayer,budget,balance,start,government,earn,nation,debt,include,idea,security,percentage,yet,program,americans,speech,simplify,favor,House,Social,Medicare,Social_Security,Gephardt,head,bill,archer,call,tuesday,new,limitation,current,level,democratic,leader,dick,gephardt,meanwhile,accuse,talk,action,reform,renew,exchange,prepare,reconvene,week,political,climate,alter,dramatically,essentially,show,believe,must,lead,smaller,let,era,projection,congressional,analyst,hold,660,allocate,least,amount,accumulate,stand,nearly,5.5,trillion,three,annual,deficit,panel,consider,various
