PUBLISHED_DATE,DOCUMENTS_INDEX,PUBLISHER,TOPIC,BYLINE,SECTION,SOURCE,LENGTH,DATELINE,SUMMARY,LOAD_DATE,LANGUAGE,CORRECTION_DATE,CORRECTION,GRAPHIC,TYPE,DOCUMENT_TYPE,PUBLISH_TYPE,COPYRIGHT
"September 29, 2005, Thursday",1 of 147 DOCUMENTS,USA TODAY,Debate churns over global warming,,NEWS; Pg. 12A,,696 words,,,"September 29, 2005",ENGLISH,,,"PHOTO, B/W, NASA",Debate,,,"Copyright 2005 Gannett Company, Inc."
,hurricane,global,warming,climate,change,Katrina,storm,water,nature,today,may,gulf,USA,Rita,activist,make,link,increase,frustration,world,lack,administration,due,compare,blame,natural,deserve,generate,gain,activity,shift,warm,strong,use,fossil,fuel,temperature,policy,fast,force,atmosphere,need,keep,take,sea,taxpayer,new,U.S.,European,United_States,Mexico,THC,New_Orleans,attitude,frustrate,editorial,turn,spin,accuse,official,among,other,exploit,tragedy,score,political,point,advance,agenda,view,cause,debate,monday,premature,individual,event,attribute,true,however,fair,action,attempt,stop,rest,move,ahead,slow,multilateral,agreement,mostly,choice,current,underlying,widespread,awareness,severity,problem,press,unsatisfactory
,oil,crude,profit,dependence,answer,new,go,fuel,price,car,move,cost,refinery,Bush,catch,people,add,gas,promote,dollar,national,development,source,job,big,gouging,another,cover,limited,much,nothing,explain,increase,cent,per,gallon,consumer,Rita,shed,reveal,elephant,cloakroom,policymaker,acknowledge,evacuee,gridlock,many,town,share,americans,mark,freedom,whenever,wherever,devotion,imprison,we,thickening,atmosphere,greenhouse,intensify,hurricane,administration,governor,billion,build,highway,next,evacuation,use,moment,toward,intercity,rail,system,link,small,large,city,spur,rural,generate,transportation,conservation,technology,energy,good,training,education,house,discourage,redirection,wealth,ingenuity,contribution,domestic,security,21st,century
,8,6,5,4,4,4,4,4,4,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"January 11, 2005, Tuesday",58 of 147 DOCUMENTS,USA TODAY,NCAA plans to rethink rules for I-A status,Steve Wieberg,SPORTS; Pg. 6C,,515 words,"GRAPEVINE, Texas",,"January 11, 2005",ENGLISH,,,"PHOTO FIRST, B/W, Dino Vournas, AP",,,,"Copyright 2005 Gannett Company, Inc."
,school,I_A,season,division,NCAA,board,attendance,change,minimum,Kent_State,I_AA,college,football,director,team,average,"15,000",home,monday,april,current,sport,status,series,conference,sort,president,guideline,bowl,number,game,last,five,failure,meet,fall,baseball,schedule,start,march,Ball_State,big_time,back,toughen,membership,criterion,threaten,bounce,handful,prominent,competitive,association,highest,body,revise,rescind,controversial,requirement,least,stay,chairman,chancellor,expect,weigh,alternative,option,erase,designation,classify,basketball,every,let,television,marketplace,influence,determine,unofficially,affiliation,championship,limited,nation,six,powerful,extend,league,still,sponsor,playoff,former,hold,limit,today,system,little,fact,beyond,title,think,combination
,8,8,6,5,4,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"February 7, 2005, Monday",59 of 147 DOCUMENTS,USA TODAY,Black actors' breakthrough year,Scott Bowles,LIFE; Pg. 1D,,1329 words,,,"February 07, 2005",ENGLISH,,,"PHOTO, Color, Barry Wetcher, Sony Pictures; PHOTO, B/W, Alfreo Dixon; Rapper to actor: Will Smith stars with Eva Mendes in Hitch, out Friday. Roles like Smith's often went to white actors in the past. <>Women take strides: Diary of a Mad Black Woman, with Kimberly Elise, opens Feb. 25.",COVER STORY,,,"Copyright 2005 Gannett Company, Inc."
,black,actor,film,movie,open,director,weekend,audience,Hollywood,star,studio,change,white,role,woman,yet,starr,make,industry,last,go,million,story,Smith,Barbershop,ice,cube,time,theater,better,turn,oscar,take,support,people,play,due,march,filmmaker,study,color,follow,2002,script,call,good,still,man,direct,inner_city,feb,trip,comedy,primarily,accord,have,lead,racial,hit,expert,new,adaptation,tv,classic,july,become,rapper,public,young,teens,force,door,success,recently,look,kid,gear,toward,racism,feel,actress,2003,lot,nominate,hood,discouraging,producer,way,struggle,performer,start,best_acting,Academy_Awards,African_American,black_led,Sherak,African_Americans,Jamie_Foxx,hip_hop
,24,15,12,10,8,7,6,6,6,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"July 1, 2005, Friday",60 of 147 DOCUMENTS,USA TODAY,Subaru brushes up on Forester,James R. Healey,LIFE; Pg. 8D,,1503 words,,,"July 01, 2005",ENGLISH,,,,TEST DRIVE,,,"Copyright 2005 Gannett Company, Inc."
,forester,2.5,*,model,Subaru,foot,engine,seat,car,power,test,automatic,front,rear,cubic,go,xt,traffic,drive,start,rpm,transmission,manual,how,rate,inch,good,make,turbocharge,turbo,enough,available,back,sunroof,what,small,much,change,2006,feature,look,premium,l.l,speed,wagon,automaker,handle,steering,feel,brake,tester,stop,regular,better,light,engines,lever,shift,pretty,behind,space,optional,online,list,pound,non_turbo,four_cylinder,score,top,pick,manners,business,sale,call,horsepower,kick,lower,useful,side,many,longer,sport,every,improve,seem,something,upgrade,week,result,merge,pass,stumble,rest,heavy,plus,acceleration,highway,low,keep
,14,13,13,12,9,8,7,7,6,6,6,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"February 10, 2005, Thursday",65 of 147 DOCUMENTS,USA TODAY,The value of book smarts,Harriet Rubin,NEWS; Pg. 13A,,968 words,,,"February 11, 2005",ENGLISH,,,"GRAPHIC, B/W, Marcy E. Mullins, USA TODAY (ILLUSTRATION)",,,,"Copyright 2005 Gannett Company, Inc."
,smart,book,idea,people,hire,apprentice,team,street,change,book_smart,show,world,company,business,young,war,man,challenge,last,big,ordinary,break,high,win,job,vision,new,bold,college,manager,customer,member,Brown,contestants,tv,make,season,player,life,kid,schooler,worth,really,cycle,product,perhaps,imagination,history,love,way,water,walk,fact,leader,industry,dominate,ii,fight,follow,party,little,bit,go,less,test,banker,global,today,College,Trump,Apple,Whiz_Kids,Washington,Apprentice,Citicorp,Wriston,popular,reality,week,instant,coffee,catch,trial,remain,vy,chance,newest,run,divide,diploma,university,education,battle,royal,joe,vs.,privileged,hand,twist
,12,11,6,6,6,5,5,5,5,5,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"February 25, 2005, Friday",68 of 147 DOCUMENTS,USA TODAY,Volvo's new V-8 adds excitement,James R. Healey,LIFE; Pg. 9D,,1460 words,,,"March 01, 2005",ENGLISH,,,"PHOTO, B/W, Volvo Cars of North America; Strong points: The automatic transmission's snappy, and XC90 has nice leather seats and restrained gadgetry.",,,,"Copyright 2005 Gannett Company, Inc."
,Volvo,XC90,engine,much,power,rate,include,xc90,brake,seat,rear,row,transmission,space,front,control,wheel,make,drive,price,standard,feature,system,safety,bag,handle,gas,inch,Yamaha,vehicle,manufacture,show,car,smooth,seem,fun,consider,second,better,shift,volvo,give,instead,traction,list,"10,000",town,pedal,door,wide,controls,trip,model,passenger,built_in,2005,onto,potential,buyer,go,elsewhere,begin,change,satisfy,new,different,provide,take,traffic,311,horsepower,325,torque,eventually,hp,remain,start,"46,090",additional,load,plus,air,sophisticated,design,child,booster,slide,center,automatic,mode,people,back,rival,require,heavy,rain,send,normally,lack
,16,14,10,7,7,7,7,6,6,6,6,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"April 1, 2005, Friday",69 of 147 DOCUMENTS,USA TODAY,What the report didn't say . . .,,NEWS; Pg. 12A,,487 words,,,"April 01, 2005",ENGLISH,,,,DEBATE,,,"Copyright 2005 Gannett Company, Inc."
,commission,find,agency,war,report,intelligence,need,Iraq,nation,spy,fact,change,leave,true,thursday,issue,lead,weapon,failure,lack,view,information,bad,many,know,little,9/11,last,new,encourage,political,refusal,president,U.S.,sometimes,intrigue,news,unsaid,certainly,presidential,blistering,unsurprising,indictment,other,dead,wrong,mass,destruction,cite,panoply,right,place,tendency,squash,dissent,describe,unwilling,admit,hard,instead,rely,worthless,assumption,key,source,lie,weakness,persist,today,disturbingly,nuclear,program,world,dangerous,actor,practical,level,finding,may,help,deter,backslide,already,underway,unify,splinter,system,reform,drive,equally,scathing,august,interesting,though,miss,attempt,connect,fateful,decision
,7,6,6,5,5,5,4,4,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"April 20, 2005, Wednesday",70 of 147 DOCUMENTS,USA TODAY,Picking apart the 'Big Bang' brings a big mystery,Dan Vergano,LIFE; Pg. 6D,,771 words,,,"April 20, 2005",ENGLISH,,,"PHOTOS, B/W, Brookhaven National Laboratory (2); From colliding atoms: Instead of a hot gas of independent particles, left, experiments generated a perfect"" liquid of linked particles.",SCIENCE,,,"Copyright 2005 Gannett Company, Inc."
,big,bang,collision,physicist,gas,liquid,experiment,theory,scientist,create,team,particle,fireball,researcher,atom,matter,rather,string,moment,charge,follow,instead,result,physics,finding,inside,proton,neutron,discovery,perfect,universe,gold,heavy,time,behaved,report,behavior,fundamental,separate,suggest,atomic,primordial,plasma,behave,move,major,success,quark,gluon,force,happen,tiny,intrigue,act,program,week,Energy_Department,Long_Island,Brookhaven,puzzling,exist,conduct,past,three,thousand,take,place,laboratory,relativistic,ion,collider,facility,goal,trillion,degree,"150,000",hotter,sun,core,climate,believe,infinitesimally,brief,existence,monday,puzzle,surprise,meeting,schedule,publication,journal,nuclear,hope,understanding,sometimes,unexpected,high,temperature,unravel
,9,7,7,6,6,6,5,5,5,5,5,5,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"June 20, 2005, Monday",73 of 147 DOCUMENTS,USA TODAY,U.S. nuclear power industry working on quiet comeback,Kathy Kiely,NEWS; Pg. 6A,,815 words,WASHINGTON,,"June 20, 2005",ENGLISH,,,,,,,"Copyright 2005 Gannett Company, Inc."
,nuclear,power,energy,plant,bill,industry,Senate,reactor,three,include,incentive,sen,company,*,go,do,gas,global,warming,produce,fuel,new,license,taxpayer,mile,island,call,week,environment,measure,plan,reduce,greenhouse,solve,state,electricity,issue,fossil,accident,interest,concern,nation,large,cause,federally,back,tax,credit,cost,potentially,costly,accord,waste,storage,job,contribute,Bush,Nuclear_Energy_Institute,consider,financial,construction,latest,sign,quiet,rehabilitation,pete,domenici,chief,architect,debate,long,advocate,president,repeat,boost,visit,md,unexpected,senate,leader,although,totally,oppose,past,willing,give,second,look,move,towards,predict,right,protect,offer,atmosphere,argue,help,green,entreat
,25,14,10,7,6,5,5,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"September 26, 2005, Monday",81 of 147 DOCUMENTS,USA TODAY,Our denial is at Category 5,Ross Gelbspan,NEWS; Pg. 16A,,405 words,,,"September 26, 2005",ENGLISH,,,,Debate,,,"Copyright 2005 Gannett Company, Inc."
,hurricane,storm,water,category,scientist,increase,temperature,million,global,warming,begin,wind,speed,per,event,heat,accord,world,level,greenhouse,gas,become,study,rise,find,Texas,Rita,Science,wrench,tragedy,kill,"1,000",people,uprooted,coast,heartbreaking,frightening,omen,destructive,consequence,relatively,small,mile,hour,move,superheate,gulf,intensify,exceed,160,mph,attribute,single,weather,heating,atmosphere,suffer,severe,flood,drought,wave,beginning,civilization,frequency,intensity,past,decade,meteorological,organization,take,energy,surface,hover,high,implication,seem,clear,government,top,environmental,declare,human,history,atmospheric,carbon,dioxide,chief,remain,280,part,late,19th,century,industrialize,jump,380,ppm,burn,coal
,4,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"September 30, 2005, Friday",82 of 147 DOCUMENTS,USA TODAY,Mega explores limits of space,James R. Healey,LIFE; Pg. 12D,,1435 words,,,"September 30, 2005",ENGLISH,,,"PHOTO, B/W, Daimler Chrysler; PHOTO, B/W",TEST DRIVE,,,"Copyright 2005 Gannett Company, Inc."
,*,1500,ram,cab,model,diesel,pickup,mega,truck,dodge,Mega_Cab,big,seat,2500,3500,pound,Cummins,crew,back,inch,foot,space,it,heavy_duty,optional,mpg,full_size,cargo,bed,without,much,standard,passenger,drive,window,what,how,rpm,Dodge,give,chassis,longer,past,fold,go,rate,payload,gas,quiet,size,less,take,automatic,transmission,need,gasoline,hemi,cubic,test,town,Hemi,approach,redesign,2006,true,really,long,otherwise,hear,sit,enough,safety,belt,people,behind,small,car,second,row,though,base,frame,suspension,offer,tow,"1,880","2,430",number,carry,capability,softer,ride,compare,engine,smooth,use,proper,overall,compartment
,17,11,10,10,10,10,9,9,9,8,8,7,7,7,7,7,7,6,6,6,6,6,6,6,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"January 11, 2005, Tuesday",86 of 147 DOCUMENTS,USA TODAY,Forecast for 2005: Mostly clear skies,Sue Kirchhoff and Barbara Hagenbaugh,MONEY; Pg. 1B,,1798 words,WASHINGTON,,"January 11, 2005",ENGLISH,,,"GRAPHIC, Color, Sam Ward, USA TODAY (ILLUSTRATION); GRAPHIC, Color, Adrienne Lewis, USA TODAY, Source: Labor Department (LINE GRAPH); GRAPHIC, B/W, Adrienne Lewis, USA TODAY, Source: Labor Department (BAR GRAPH); GRAPHICS, B/W, USA TODAY (ILLUSTRATION) (6); GRAPHIC, B/W, Adrienne Lewis, USA TODAY, Source: The Associated Press (LINE GRAPH); GRAPHIC, B/W, Adrienne Lewis, USA TODAY, Source: Commerce Department (LINE GRAPH); PHOTO, B/W, Stephen R. Cutri for USA TODAY",COVER STORY,,,"Copyright 2005 Gannett Company, Inc."
,expect,rate,price,economist,rise,economy,market,2004,continue,job,2005,U.S.,interest,growth,inflation,level,dollar,housing,business,worker,average,slow,higher,oil,firm,federal,reserve,economic,last,energy,go,still,decline,employment,much,fall,remain,trade,include,slightly,strong,keep,low,raise,chief,consumer,spend,likely,deficit,give,abroad,make,foreign,pace,many,company,hire,million,pay,end,construction,production,new,take,supplies,analyst,lead,demand,increase,home,sector,have,euro,better,look,lot,raising,return,creation,grow,export,accelerate,healthy,next,bank,president,outlook,high,strength,budget,profit,ease,predict,actually,despite,start,unemployment,create,stable
,24,21,14,13,13,11,11,10,10,10,10,10,9,9,8,8,8,7,7,7,7,7,7,7,6,6,6,6,6,6,6,6,6,5,5,5,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"February 25, 2005, Friday",89 of 147 DOCUMENTS,USA TODAY,Unfinished business lingers as Bush trip ends,Judy Keen,NEWS; Pg. 6A,,737 words,"BRATISLAVA, Slovakia",,"March 01, 2005",ENGLISH,,,"PHOTO, B/W, Kevin Lamarque, Reuters; Bush and Putin: The presidents clasp hands after a news conference at Bratislava Castle in Slovakia on Thursday. (Story, 1A)",,,,"Copyright 2005 Gannett Company, Inc."
,Bush,war,Europe,Germany,bush,Iraq,Putin,president,people,make,european,cause,move,concern,love,Slovakia,Brussels,France,Bratislava,thursday,freedom,work,applause,promise,crowd,student,several,relationship,something,world,leader,meet,trip,go,join,nuclear,stop,use,commitment,take,affair,still,friendly,need,United_States,NATO,Russian,Iran,Belgium,European,Germans,tell,thousand,ally,friend,brother,remark,sum,goal,set,leave,sure,understand,beyond,difference,past,lot,together,achieve,big,objective,loudest,boast,part,easier,visa,travel,word,mute,glove,mitten,hand,enough,drow,chant,protester,hear,speak,gaaloga,reflect,view,ask,feel,do,pay,attention,problem,message,attend
,21,7,6,6,5,5,5,4,4,4,4,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"June 17, 2005, Friday",90 of 147 DOCUMENTS,USA TODAY,Tennis' big stars get ready to pick up pace,Douglas Robson,SPORTS; Pg. 15C,,735 words,,,"June 17, 2005",ENGLISH,,,,,,,"Copyright 2005 Gannett Company, Inc."
,title,Wimbledon,win,last,grass,champ,no,French_Open,player,major,tournament,favorite,man,seed,time,week,little,woman,arrive,season,three,include,second,wimbledon,make,*,play,Grand_Slam,Sharapova,Federer,extra,third,tennis,surface,streak,go,lose,lot,club,top,contender,four,2004,round,look,safin,open,weekend,prove,commentator,final,impose,skill,miss,Germany,Russia,Serena_Williams,All_England,warm_up,Australian_Open,ESPN,Roddick,red,dust,barely,bleach,sock,washing,start,monday,annual,european,swing,cram,apart,transition,clay,common,ask,newly,crowned,kaput,contest,wild,card,everything,faster,point,shorter,reign,tough,beat,next,sharapova,among,shocked,global,brand,defend
,8,8,7,7,6,6,5,5,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"August 18, 2005, Thursday",91 of 147 DOCUMENTS,USA TODAY,Kodak ads build up its digital image,Theresa Howard,MONEY; Pg. 2B,,518 words,NEW YORK,,"August 18, 2005",ENGLISH,,,"PHOTO, B/W",,,,"Copyright 2005 Gannett Company, Inc."
,product,Kodak,digital,ad,consumer,camera,photo,kodak,new,still,image,design,make,effort,time,million,global,associate,technology,need,little,j.d,power,priced,market,keep,imagery,shoot,look,commercial,campaign,snap,sharpen,tonight,begin,blitz,company,open,shot,hard,miss,air,simultaneously,p.m,et,major,broadcast,network,select,cable,channel,internet,site,critical,restructuring,future,several,roll,2001,june,sale,outpaced,post,net,loss,143,second,quarter,revenue,film,1.8,billion,many,think,kind,snapshot,trademark,warm,fuzzy,order,sell,across,board,cool,hip,chief,marketing,officer,bit,emotion,can,live,puppy,dog,wedding,daddy,girl,date,earn
,13,9,8,7,5,5,4,4,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"December 7, 2005, Wednesday",92 of 147 DOCUMENTS,USA TODAY,Storm 'hindcast' sketches hurricane picture for 2006,Patrick O'Driscoll,NEWS; Pg. 3A,,412 words,,,"December 07, 2005",ENGLISH,,,"GRAPHIC, b/w, Sources:NOAA and Tropical Meteorology Project(Chart); PHOTO, B/W, AP",,,,"Copyright 2005 Gannett Company, Inc."
,hurricane,storm,season,predict,many,next,major,forecast,gray,active,team,2006,five,wind,ocean,december,USA,Atlantic,number,lead,tropical,record,shore,probability,strike,outlook,include,four,new,least,hit,reach,land,pattern,current,prediction,base,past,water,temperature,warm,time,never,U.S.,tuesday,unlike,assault,low,intense,accord,project,expect,name,normal,produce,blast,26th,still,churn,announce,scientist,professor,nine,become,category,intensity,111,mph,average,basin,six,three,coastal,region,batter,last,2004,early,might,depend,weather,factor,similarly,century,north,atlantic,warmer,likely,update,april,october,call,hindcast,mainly,statistic,certain,global,help,stratosphere
,7,7,6,5,5,4,4,4,4,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"December 16, 2005 Friday",93 of 147 DOCUMENTS,USA TODAY,Corvette Z06 makes you wanna gas it; High-performance stunner of a sports car just glorious fun,James R. Healey,LIFE; Pg. 13D,,1282 words,,,"December 16, 2005",ENGLISH,,,"PHOTO, Color, Wieck PHOTOS, B/W, General Motors (2)",,,NEWSPAPER,"Copyright 2005 Gannett Company, Inc.                               All Rights Reserved"
,car,*,Z06,z06,corvette,drive,town,make,space,how,Corvette,go,use,instead,around,start,rate,enough,wheel,what,sport,machine,acceleration,test,top,mph,leave,big,stability,corner,driver,much,avoid,cargo,cubic,foot,seat,yes,per,control,inch,high_performance,Chevy,best,weather,many,2006,breathtaking,fun,version,great,handle,steering,style,price,exotic,guy,can,lot,light,need,frame,mostly,fender,without,drivetrain,engine,505,horsepower,torque,gear,ford,gt,manual,transmission,keep,traffic,high,include,seem,feel,stiff,standard,system,turn,switch,useful,mode,pushbutton,key,long,family,area,tall,right,fuel,mile,gallon,highway
,18,18,11,8,7,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"December 23, 2005 Friday",95 of 147 DOCUMENTS,USA TODAY,Canadian PM gets unintended lift from critic; Martin draws on charges of U.S. meddling before election,Rebecca Cook Dube,NEWS; Pg. 17A,,900 words,,,"December 23, 2005",ENGLISH,,,"PHOTO, B/W, Paul Chiasson, AP PHOTO, B/W, Jonathan Hayward, AP PHOTO, B/W, Chris Wattle, Reuters",,,NEWSPAPER,"Copyright 2005 Gannett Company, Inc.                               All Rights Reserved"
,canadian,United_States,U.S.,Martin,Canadian,Harper,campaign,poll,liberal,partner,conservative,Canada,Wilkins,Washington,election,praise,bush,administration,issue,politics,war,trading,president,country,government,think,Toronto,Bush,Iraq,American,prime,minister,criticism,ally,ambassador,last,stop,theme,interest,friend,speech,look,firm,however,lumber,view,result,though,americans,dislike,director,newspaper,leave,piece,quickly,best,tank,relation,part,little,anti_American,Ottawa,Bricker,Stephen_Harper,Mr._Bush,Basham,Woolstencroft,national,bask,main,challenger,struggle,fend,unpopular,unwittingly,fan,sentiment,week,blunt,warning,use,comment,backfire,across,prompt,outrage,editorial,letter,editor,manna,read,headline,globe,force,deny,meddle,make,favorite,vow
,7,7,7,7,6,6,5,5,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"January 24, 2005, Monday",97 of 147 DOCUMENTS,USA TODAY,ABC's 'Housewives' promo remains a hot topic,Gary Levin and Robert Bianco,LIFE; Pg. 4D,,912 words,LOS ANGELES,,"January 24, 2005",ENGLISH,,,"PHOTO, B/W, Frederick M. Brown, Getty Images; PHOTO, B/W, Dan MacMedan, USA TODAY; Still apologizing: Housewives producer Marc Cherry is flanked by stars Teri Hatcher, left, and Felicity Huffman. <>Last days: Dennis Franz and NYPD Blue producer Steven Bochco are ready for the show's end on March 1.",,,,"Copyright 2005 Gannett Company, Inc."
,last,go,march,back,producer,role,show,think,time,end,Cherry,NBC,tv,air,new,hit,work,nbc,never,television,start,premiere,Sheridan,Zucker,suggestive,promo,tell,press,tour,fact,make,realize,family,design,find,actress,sell,star,deal,probably,today,launch,ago,p.m,network,programming,may,feel,episode,look,third,place,season,fall,friday,law,character,moment,contender,april,Nicollette_Sheridan,John_Madden,ABC,NYPD_Blue,Bochco,water_cooler,angeles,desperate,housewive,creator,apologize,ruckus,session,actor,late,sunday,absentee,reporter,gather,deliberate,attempt,steak,controversy,bit,nov,game,original,plan,jump,arm,beefy,commentator,joke,woman,throw,funny,script,towel,either
,6,6,5,5,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"February 25, 2005, Friday",101 of 147 DOCUMENTS,USA TODAY,Motown founder bridged racial divide,Lois Hatton,NEWS; Pg. 13A; Commentary,,432 words,,,"March 01, 2005",ENGLISH,,,,,,,"Copyright 2005 Gannett Company, Inc."
