PUBLISHED_DATE,DOCUMENTS_INDEX,PUBLISHER,TOPIC,BYLINE,SECTION,SOURCE,LENGTH,DATELINE,SUMMARY,LOAD_DATE,LANGUAGE,CORRECTION_DATE,CORRECTION,GRAPHIC,TYPE,DOCUMENT_TYPE,PUBLISH_TYPE,COPYRIGHT
"August 31, 2017 Thursday",2 of 252 DOCUMENTS,USA TODAY,Did climate change intensify Harvey?,,NEWS; Pg. 7A,,426 words,,,"August 31, 2017",ENGLISH,,,,,,NEWSPAPER,"Copyright 2017 Gannett Company, Inc.                               All Rights Reserved"
,climate,change,rainfall,storm,Harvey,week,extreme,event,increase,flooding,tropical,greenhouse,gas,question,effort,make,produce,history,warmer,water,nation,serious,cost,afford,Texas,Northeast,floodwater,rage,debate,possible,link,activist,point,historic,epic,exactly,type,forecast,occur,globe,warm,skeptic,cite,long,list,slam,buildup,atmosphere,right,way,premature,unseemly,search,rescue,continue,definitive,answer,scientist,conduct,attribution,study,likelihood,though,conclusion,cause,almost,surely,worse,total,leave,part,look,rival,snowfall,accumulation,blizzards,fact,continental,record,consistent,basic,science,normal,temperature,place,gulf,provide,heat,energy,fuel,formation,rapid,strengthen,air,hold,vapor,turn,rise,sea
,make,change,hurricane,etc,happen,affect,weather,ask,follower,premature,connection,climate,tornadoe,monsoon,likely,bigger,deadlier,destructive,occurrence,scottc_scottc,presumptuous,think,man,breathe,carbon,dioxide,heavier,air,dissolve,ocean,contribute,cause,alarmist,unsupport,papajack,452,literally,occur,dawn,rain,flood,car,cattle,blame,doubt,kenwalsh77,follow,usatopinion,tellusatoday,Hurricane_Harvey,man_made,Climate,ExtremeCynic_Man,Earth,NathanADull_India,Pakistan,Bangladesh
,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"February 20, 2017 Monday",117 of 252 DOCUMENTS,USA TODAY,Union leader: Minimal rule changes,"Bob Nightengale, @BNightengale, USA TODAY Sports",SPORTS; Pg. 3C,,489 words,,,"February 20, 2017",ENGLISH,,,"photo Carlos Osorio, AP",,,NEWSPAPER,"Copyright 2017 Gannett Company, Inc.                               All Rights Reserved"
,Clark,game,baseball,time,change,last,idea,guy,know,executive,need,rule,league,near,future,conversation,three,hour,much,make,public,clark,president,million,country,lot,concern,director,listen,step,buy,dramatic,assure,reporter,sunday,afternoon,news,conference,potential,possible,alter,intentional,walk,scoff,impose,level,start,10th,inning,runner,second,base,experiment,deep,minor,pitch,clock,elimination,low,strike,naturally,invoke,difference,opinion,hitter,pitcher,least,offense,less,period,mound,dictate,term,insist,fine,dialogue,adjustment,become,challenging,take,account,industry,whole,understand,innovation,vested,group,player,proposition,turn,something,love,respect,recognize,anymore,sure,season,dead,instead
,8,5,4,4,4,4,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"August 30, 2017 Wednesday",120 of 252 DOCUMENTS,USA TODAY,Colleges wary of athlete protests; Backlash could be great if it happens,"Dan Wolken, dwolken@usatoday.com, USA TODAY Sports",SPORTS; Pg. 1C,,1326 words,,,"August 30, 2017",ENGLISH,,,"photo Kelley L. Cox, USA TODAY Sports",,,NEWSPAPER,"Copyright 2017 Gannett Company, Inc.                               All Rights Reserved"
,college,football,protest,player,athlete,NFL,team,coach,athletics,issue,go,game,star,think,racial,police,mean,matter,sport,bring,light,guy,thing,make,different,level,anthem,happen,kneel,black,time,former,president,strike,way,current,climate,department,potential,life,feel,lot,director,though,give,talk,much,pro,look,fan,power,school,Alabama,Kaepernick,Missouri,Zirin,beginning,follow,inequality,become,louder,advocate,social,point,bear,stay,backlash,grow,help,ultimately,event,political,discussion,change,acknowledge,possible,several,try,toward,administrator,rather,kind,scholarship,money,kid,dynamic,big,higher,break,nobody,system,still,city,might,consequence,know,high_profile,Northwestern,Davis
,19,13,13,11,8,8,7,7,6,6,6,6,5,5,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"February 6, 2017 Monday",126 of 252 DOCUMENTS,USA TODAY,Petroleum Institute takes message to Super Bowl,", ,",MONEY; Pg. 2B,,536 words,,,"February 6, 2017",ENGLISH,,,photo,,,NEWSPAPER,"Copyright 2017 Gannett Company, Inc.                               All Rights Reserved"
,ad,oil,energy,gas,industry,think,API,life,ago,natural,use,power,U.S.,Gerard,`,oldsmobile,commercial,new,similar,line,lead,much,true,believe,today,production,world,make,people,environmental,add,carbon,emission,critic,fuel,message,campaign,public,cleaner,form,past,petroleum,pump,impossible,Super_Bowl,father,pitch,1988,iconic,brand,target,younger,motorist,bid,breathe,model,instead,sale,decline,shut,old,2002,sunday,air,open,daddy,parallel,draw,jack,gerard,president,trade,association,acknowledge,give,approach,mull,moment,opposite,short,decade,position,term,refer,breakthrough,drilling,technology,shale,reserve,accessible,direct,causation,degradation,have,demonstrate,cite,2016,thanks,largely
,6,6,6,5,4,4,4,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"June 5, 2017 Monday",127 of 252 DOCUMENTS,USA TODAY,"Learn from, don't bash, Germany's industrial policy",,NEWS; Pg. 7A,,437 words,,,"June 5, 2017",ENGLISH,,,,,,NEWSPAPER,"Copyright 2017 Gannett Company, Inc.                               All Rights Reserved"
,Germany,United_States,tax,key,job,Trump,German,manufacturing,make,corporate,longer,last,trade,surplus,defense,take,fight,support,maintain,economic,code,encourage,consumption,national,pay,worker,incentive,keep,European,seem,chief,villain,among,ally,honor,go,least,message,president,send,week,blast,perennial,reluctance,spend,prompt,declare,rely,other,really,must,fate,hand,pick,needless,partner,serious,downside,intelligence,important,terror,vital,contain,objective,alliance,back,play,role,peninsula,point,underspend,consistently,billion,gripe,follow,decision,pull,climate,change,accord,accomplish,little,particularly,true,arena,advanced,nation,much,base,fact,strong,case,learn,complain,success,component,savings,investment,contrast
,9,6,5,4,4,4,4,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"January 12, 2017 Thursday",135 of 252 DOCUMENTS,USA TODAY,"Tillerson: Russia is a 'danger,' but crushing ISIL comes first; Moscow and U.S. differ on 'values'","Oren Dorell, @orendorell, USA TODAY",NEWS; Pg. 4A,,657 words,,,"January 12, 2017",ENGLISH,,,"photo Jack Gruber, USA TODAY",,,NEWSPAPER,"Copyright 2017 Gannett Company, Inc.                               All Rights Reserved"
,Tillerson,Russia,ask,must,war,action,ExxonMobil,tell,foreign,hearing,answer,information,make,confirm,people,United_States,Islamic_State,American,Syria,U.S.,Trump,secretary,state,defeat,leadership,relation,priority,remove,relationship,today,leave,work,acknowledge,cautious,crime,intelligence,report,comment,senator,whether,agree,world,need,conclusion,sen,consider,criminal,another,ban,country,climate,kaine,longer,knowledge,clear_eyed,Ukraine,Russian,ceo,rex,tillerson,pick,testify,wednesday,focus,renew,assert,committee,confirmation,compete,address,distract,we,primary,caliphate,hurt,militant,group,credibility,threat,pose,danger,invade,include,violate,law,absence,door,open,many,business,dealing,2013,oil,executive,receive,order,award,give,national
,18,10,7,5,5,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"July 6, 2017 Thursday",140 of 252 DOCUMENTS,USA TODAY,Poll shows German leader inspires confidence,John Bacon,NEWS; Pg. 5A,,270 words,,,"July 6, 2017",ENGLISH,,,,,,NEWSPAPER,"Copyright 2017 Gannett Company, Inc.                               All Rights Reserved"
,country,Trump,survey,confidence,disapprove,leader,conduct,world,accord,include,people,issue,climate,take,decision,interview,Russia,resident,nation,whose,meet,week,president,affair,study,substantially,february,march,opinion,higher,end,presidency,key,discuss,summit,trade,change,member,dim,view,policy,proposal,center,formal,remove,expect,german,strong,disapproval,across,americans,leave,agreement,although,position,sharply,divide,democrat,republican,pew,typically,700,"1,500",per,common,sample,size,"1,000",group,make,representative,annual,meeting,draw,address,economic,event,open,friday,Germany,German_Chancellor_Angela_Merkel,Pew_Research_Center,India,China,Saudi_Arabia,Israel,Barack_Obama,USA,Merkel,United_States,Paris,Western_Europe,East_Asia,Latin_America,Two_thirds,European_Union,two_day,Hamburg
,6,6,5,3,3,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"September 15, 2017 Friday",143 of 252 DOCUMENTS,USA TODAY,Storms make case for extra bye; Schools would have more flexibility in rescheduling games,"Dan Wolken, dwolken@usatoday.com, USA TODAY Sports",SPORTS; Pg. 7C,,1309 words,,,"September 15, 2017",ENGLISH,,,photo,,,NEWSPAPER,"Copyright 2017 Gannett Company, Inc.                               All Rights Reserved"
,game,athletics,week,reschedule,move,football,conference,last,bye,season,weather,cancel,director,play,department,college,go,flexibility,though,make,memphis,announce,schedule,team,change,include,something,official,time,player,extreme,second,possible,really,issue,hurricane,take,give,impact,around,sept,work,act,another,school,happen,affect,situation,investigation,person,tell,apologize,AAC,UCF,top,idea,calendar,effect,put,every,potential,significant,unintended,consequence,might,push,july,many,coach,probably,recovery,event,bring,cause,date,several,meanwhile,open,full,local,case,without,significantly,friday,public,have,way,opponent,thursday,suppose,pay,speak,nov,good,university,exit,state,reporter,begin
,14,9,8,7,7,6,6,6,5,5,5,5,5,5,5,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"December 28, 2017 Thursday",146 of 252 DOCUMENTS,USA TODAY,"Trump makes mark on world stage; Global community sometimes reacted in shock, dismay","Oren Dorell, USA TODAY",NEWS; Pg. 4A,,705 words,,,"December 28, 2017",ENGLISH,,,photo Pool photo by RONEN ZVULUN,,,NEWSPAPER,"Copyright 2017 Gannett Company, Inc.                               All Rights Reserved"
,Trump,call,nation,United_States,U.S.,Iran,world,country,president,leader,agreement,accord,Taiwan,China,NATO,North_Korea,Israel,vow,pull,trade,continue,ban,capital,Jerusalem,way,international,take,diplomatic,anger,formal,fury,government,office,major,worker,renegotiate,stop,reduce,change,travel,week,six,refuse,june,climate,global,deal,draw,war,use,threat,fire,nuclear,sanction,resolution,future,American,put,affair,disrupt,operate,boy,snub,convention,provoke,outcry,break,tradition,congratulatory,phone,democratically,elect,consider,breakaway,province,tie,sooth,mainland,reaffirming,communist,regime,legitimate,partnership,jan,workday,pact,negotiate,obama,border,withdrawal,great,thing,push,ahead,scrap,nafta,1994,north,company
,19,6,6,6,6,6,5,5,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"April 10, 2017 Monday",149 of 252 DOCUMENTS,USA TODAY,What made Kendall's fizz go flat?; Jenners may carry some of the blame for Pepsi ad fiasco,"Maria Puente, @usatmpuente, USA TODAY",LIFE; Pg. 3D,,629 words,,,"April 11, 2017",ENGLISH,,,"photo Pascal Le Segretain, French Select/Getty Images",,,NEWSPAPER,"Copyright 2017 Gannett Company, Inc.                               All Rights Reserved"
,know,go,celebrity,media,ad,brand,social,people,thing,celeb,happen,Pepsi,Bernstein,put,position,make,marketing,kendall,soda,manager,agree,production,reputation,management,kardashian,audience,star,anything,show,shoot,kid,young,content,team,think,outrage,consider,Kendall_Jenner,Kris_Jenner,CEO,Schiffer,Jenner,blame,little,bit,participate,widely,mock,subsequently,dump,apologize,well,pepsi,advertising,honcho,conceive,rip,imagery,life,matter,protest,guileless,soothing,race,relation,powerfully,mother,storyboard,gig,jenner,ground,available,comment,fiasco,extent,either,involved,creation,expert,skeptical,clan,detail,member,generally,speak,bigger,ability,founder,firm,work,hundred,include,hot,huge,millennial,million,instagram,covet,wide
,5,5,5,5,4,4,4,4,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"May 1, 2017 Monday",150 of 252 DOCUMENTS,USA TODAY,Report will show whether job growth bounced back in April,"Paul Davidson, @Pdavidsonusat, USA TODAY",MONEY; Pg. 5B,,375 words,,,"May 1, 2017",ENGLISH,,,"photo Keith Srakocic, AP",,,NEWSPAPER,"Copyright 2017 Gannett Company, Inc.                               All Rights Reserved"
,job,growth,expect,economist,report,consumer,march,raise,economy,spend,manufacturing,sector,april,gain,March,week,economic,pace,health,friday,rate,meeting,wednesday,june,hike,activity,weather,retail,sale,expand,seven,improve,healthy,pickup,feed,labor,market,rebound,add,"98,000",question,news,answer,analyst,believe,resume,solid,another,disappointing,show,concern,anemic,meanwhile,federal,reserve,interest,conclude,give,clue,feature,data,sluggish,january,february,largely,unusually,warm,crimped,demand,utility,snowier,colder,sharp,recovery,heating,usage,time,core,measure,pick,smartly,receive,delay,tax,refund,auto,continue,drop,overall,monday,rise,modest,0.2,stage,nice,comeback,consecutive,back,oil
,5,5,5,5,4,4,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"January 12, 2017 Thursday",157 of 252 DOCUMENTS,USA TODAY,Difficult to grade a poliarizing president,,NEWS; Pg. 6A,,354 words,,,"January 12, 2017",ENGLISH,,,,,,NEWSPAPER,"Copyright 2017 Gannett Company, Inc.                               All Rights Reserved"
,president,Obama,go,love,increase,change,miss,eight,thing,much,great,ever,federal,nation,better,lose,agree,Trump,America,history,significant,transformative,look,back,upon,favorably,decade,future,access,health,care,rights,disaffect,combate,climate,right,side,issue,leader,sorely,thanks,n.j.,facebook,donald,trump,emerge,disenfranchise,large,swath,citizen,crowned,nominee,grant,deeply,flaw,individual,lesser,evil,way,good,disastrous,failure,finally,wake,have,enough,elite,politician,landry,legacy,worst,break,bloat,government,decimate,militia,racially,divide,largest,debt,hold,almost,half,workforce,without,meaningful,job,tr,hardenbergh,amazing,think,nothing,hope,world,longer,respects,greatest,country,somehow
,10,8,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"April 17, 2017 Monday",164 of 252 DOCUMENTS,USA TODAY,Arkansas stay reflects drop in executions nationwide; 2016 saw fewest put to death in 25 years,"Steve Reilly, @BySteveReilly, USA TODAY",NEWS; Pg. 1A,,574 words,,,"April 17, 2017",ENGLISH,,,graphic,,,NEWSPAPER,"Copyright 2017 Gannett Company, Inc.                               All Rights Reserved"
,death,execution,penalty,state,case,court,prisoner,challenge,use,capital,number,decline,evidence,drug,execute,think,become,system,method,federal,plan,DNA,halt,eight,punishment,decision,include,life,without,parole,sentencing,option,nationwide,decrease,1999,lead,fewer,law,sort,attorney,show,nation,inmate,saturday,judge,rule,condemned,risk,change,unprecedented,series,ruling,arkansas,reflect,national,trend,sharply,curtail,expert,keep,factor,prompt,base,litigation,increase,nearly,every,twenty,2016,fewest,1991,growth,many,well,high,cost,prosecute,prosecutor,push,senior,instructor,freeway,actually,country,lane,professor,closer,scrutiny,legal,general,public,have,precipitous,start,introduce,people,innocent,although,lethal
,12,11,11,7,6,5,5,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"April 28, 2017 Friday",165 of 252 DOCUMENTS,USA TODAY,President's tax overhaul would bring him a windfall; Advisers contend the proposal will spur economic growth,"Fredreka Schouten, @fschouten, USA TODAY",NEWS; Pg. 3A,,595 words,,,"April 28, 2017",ENGLISH,,,"photo Evan Vucci, AP",,,NEWSPAPER,"Copyright 2017 Gannett Company, Inc.                               All Rights Reserved"
,tax,Trump,rate,business,plan,president,benefit,lower,estate,corporate,income,taxpayer,push,limited,liability,abolish,federal,alternative,minimum,return,many,million,worth,Toder,company,make,empire,family,americans,potential,windfall,pay,owner,individual,top,show,partnership,people,hard,spur,economic,growth,law,help,increase,claim,U.S.,so_called,pass_through,pass_throughs,dramatically,overhaul,code,reap,big,particular,slash,hundred,license,billionaire,stand,wealthiest,biggest,instead,report,proposal,drop,current,39.6,umbrella,financial,disclosure,form,500,entity,qualify,large,cut,ownership,fit,category,someone,tell,exactly,change,affect,release,ask,thursday,spokesman,concerned,mean,bill,guess,applaud,job,creation,country,nearly
,34,11,9,9,6,5,5,5,5,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"May 30, 2017 Tuesday",170 of 252 DOCUMENTS,USA TODAY,"Saddled with post-election stress, more turning to yoga; Coaches seeing higher enrollment, fewer dropouts","Paul Singer, @singernews, USA TODAY",NEWS; Pg. 5A,,902 words,,,"May 30, 2017",ENGLISH,,,"photo John Locher, AP",,,NEWSPAPER,"Copyright 2017 Gannett Company, Inc.                               All Rights Reserved"
,yoga,people,political,meditation,part,election,stress,find,increase,new,time,feel,practitioner,Trump,U.S.,try,report,liberal,last,author,make,ask,many,app,user,world,work,studio,drive,wave,recharge,mediation,rise,battery,instructor,call,together,create,community,way,number,million,clearly,begin,client,around,usually,lot,think,choose,word,feeling,emotional,history,average,mostly,level,general,big,need,politics,survey,d.c.,das,change,activism,able,cup,American_Psychological_Association,president,cacophony,follow,seek,respite,ride,build,energy,pushback,coach,enrollment,fewer,dropout,annual,resolution,relief,nationwide,resistance,place,reflect,fight,outside,especially,tumultuous,divide,much,angst,anger,side,celebrity
,21,8,7,7,7,6,6,6,5,5,5,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"September 13, 2017 Wednesday",173 of 252 DOCUMENTS,USA TODAY,The top 9 Senate races we're watching,"Deirdre Shesgreen, Erin Kelly, Eliza Collins, Bart Sullivan, Maureen Groppe, Ledyard King, Craig Gilbert and Heidi M. Przybyla USA TODAY",NEWS; Pg. 8A,,2042 words,,,"September 13, 2017",ENGLISH,,,photo AP,,,NEWSPAPER,"Copyright 2017 Gannett Company, Inc.                               All Rights Reserved"
,Trump,election,state,democrat,republican,2016,result,incumbent,rating,presidential,trump,Clinton,vote,inside,support,GOP,seat,ratings,last,party,president,tossup,conservative,primary,campaign,McCaskill,senator,sen,tilt,voter,issue,point,announce,Senate,Nevada,Flake,Nelson,Donnelly,Heitkamp,gop,back,approval,indicate,race,bid,national,bill,run,include,democratic,face,moderate,general,Congress,Obamacare,West_Virginia,Manchin,Baldwin,next,may,end,almost,partisan,contest,need,pick,three,opponent,challenge,many,consider,elect,rise,poll,law,though,governor,despite,repeal,replace,take,liberal,hold,tester,percentage,rep.,manchin,recent,Arizona,re_election,Missouri,Heller,control,change,chamber,major,defend,target,lose
,25,23,19,16,15,15,10,10,10,10,10,10,9,8,8,8,7,7,7,6,6,6,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2
"November 16, 2017 Thursday",176 of 252 DOCUMENTS,USA TODAY,Eminem tests the waters in a new social climate,Patrick Ryan USA TODAY,LIFE; Pg. 3D,,810 words,,,"November 16, 2017",ENGLISH,,,photo Dave J Hogan/Getty Images for MTV,,,NEWSPAPER,"Copyright 2017 Gannett Company, Inc.                               All Rights Reserved"
,people,Eminem,sexual,thing,artist,think,lot,last,album,lyric,time,misogyny,violence,side,go,rap,release,new,political,return,walk,water,today,describe,verse,song,revenge,use,serious,silly,tell,fight,right,start,change,willing,able,suggest,freestyle,trump,national,seem,sure,hip_hop,Pink,music,world,different,place,leave,icon,solo,lp,november,2013,lead,feminist,charge,surprise,effort,file,lawsuit,producer,dr.,luke,alleging,assault,reignite,flame,war,derogatory,famous,fall,bring,another,wave,harassment,allegation,power,corner,entertainment,industry,megaproducer,actor,kevin,spacey,c.k,meanwhile,continue,navigate,increasingly,fraught,climate,certainly,questionable,single,week,whose,ninth
,12,10,6,6,4,4,4,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"March 13, 2017 Monday",198 of 252 DOCUMENTS,USA TODAY,Northeast steels itself for 'ferocious' snowstorm; Blizzard conditions could tie up travel,"John Bacon, @jmbacon, USA TODAY",NEWS; Pg. 1A,,698 words,,,"March 13, 2017",ENGLISH,,,"photo Matt Rourke, AP",,,NEWSPAPER,"Copyright 2017 Gannett Company, Inc.                               All Rights Reserved"
,storm,snow,system,monday,Kines,region,travel,place,across,wind,along,warn,big,week,issue,part,cold,Washington,New_York,Boston,people,winter,face,power,nor'easter,forecast,track,late,tuesday,blizzard,coastal,amount,fall,go,snowstorm,take,accord,1993,shut,heavy,mean,tree,road,hit,flight,much,nation,airlines,sunday,look,air,form,city,watch,southern,include,truck,happen,East_Coast,National_Weather_Service,March,Northeast,Baltimore,Philadelphia,ten,million,northeast,enjoy,warmest,record,ominous,prospect,massive,dangerous,blast,inch,capable,disrupt,close,school,create,chaos,powerful,strong,gust,mph,may,cause,condition,area,change,dramatically,alter,little,doubt,explode,senior,meteorologist,lot
,10,10,6,5,5,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"May 1, 2017 Monday",205 of 252 DOCUMENTS,USA TODAY,May Day protests target Trump policies; Immigration among the biggest subjects of demonstrations,"Rick Jervis, @mrRjervis, USA TODAY",NEWS; Pg. 3A,,396 words,,,"May 1, 2017",ENGLISH,,,"photo Sophia Tareen, AP",,,NEWSPAPER,"Copyright 2017 Gannett Company, Inc.                               All Rights Reserved"
,may,rights,protest,group,monday,event,president,worker,march,immigrant,Trump,awareness,movement,city,another,attack,declare,loyalty,holiday,critic,U.S.,Washington,hundred,thousand,demonstrator,expect,take,street,massive,across,mostly,policy,know,spawn,around,globe,past,highlight,impetus,span,police,misconduct,real,galvanization,lead,"10,000",people,downtown,presence,country,question,tired,demonize,scapegoated,have,enough,part,umbrella,promise,259,200,state,focus,widespread,effort,dub,beyond,feature,collection,include,ore,organizer,meld,different,previous,climate,change,culmination,gell,disparate,really,sense,together,release,statement,friday,way,recognize,reaffirm,allegiance,principle,upon,build,call,government,building,display,flag,school
,6,6,5,4,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"May 26, 2017 Friday",213 of 252 DOCUMENTS,USA TODAY,G-7 leaders to size up 'America First' president; Russia is likely to come up during group's discussions,"David Jackson, @djusatoday, USA TODAY",NEWS; Pg. 8A,,496 words,,,"May 26, 2017",ENGLISH,,,"photo Andrew Harnik, AP",,,NEWSPAPER,"Copyright 2017 Gannett Company, Inc.                               All Rights Reserved"
,Trump,Russia,member,group,president,country,foreign,seek,campaign,summit,mean,agenda,former,relation,terrorism,priority,trade,sure,cap,global,discussion,include,attempt,election,fight,investigation,common,USA,Syria,United_States,Italy,Islamic_State,frequent,refrain,trail,treat,unfairly,likely,multilateral,seven,mind,weekend,world,advanced,economy,chance,assess,policy,main,item,size,figure,stand,senior,fellow,council,wide,range,issue,address,concern,aggression,toward,nuclear,weapon,program,civil,war,threat,bigger,wake,monday,attack,concertgoer,manchester,high,best,deal,americans,shake,agreement,consider,whether,pull,2015,climate,accord,carbon,emission,move,many,almost,certain,condemn,attendance,island,trip,form,design
