PUBLISHED_DATE,DOCUMENTS_INDEX,PUBLISHER,TOPIC,BYLINE,SECTION,SOURCE,LENGTH,DATELINE,SUMMARY,LOAD_DATE,LANGUAGE,CORRECTION_DATE,CORRECTION,GRAPHIC,TYPE,DOCUMENT_TYPE,PUBLISH_TYPE,COPYRIGHT
"January 8, 2004, Thursday",2 of 132 DOCUMENTS,USA TODAY,Cost of global warming: 1 million species,Robert Davis,LIFE; Pg. 5D,,432 words,,,"January 08, 2004",ENGLISH,,,,,,,"Copyright 2004 Gannett Company, Inc."
,species,climate,change,study,plant,animal,extinction,million,must,move,Earth,region,world,2050,global,warming,international,report,analysis,predict,include,threat,conservation,life,future,degree,extinct,Hannah,University,several,risk,control,today,journal,nature,comprehensive,date,potential,loss,team,scientist,disappear,tree,lizard,know,forest,dragon,magpie,make,clear,significant,new,century,biologist,organization,have,start,think,editorial,agree,problem,part,air,pollution,cause,warm,mean,higher,cooler,ground,time,natural,migratory,path,often,block,development,trap,environment,longer,support,ask,place,researcher,examine,"1,103",six,use,widely,accept,model,temperature,increase,2.5,10.4,fahrenheit,2100,find,nearly
"September 3, 2004, Friday",43 of 132 DOCUMENTS,USA TODAY,NHL fisticuffs bring out fury,Kevin Allen,SPORTS; Pg. 3C,,1439 words,,,"September 03, 2004",ENGLISH,,,"GRAPHIC, B/W, Karl Gelles, USA TODAY, Source: NHL (BAR GRAPH); PHOTO, B/W, Wade Payne, AP; The hazards of putting up your dukes: Dan Hamhuis of the Predators, left, and Kirk Maltby of the Red Wings went at it during a playoff game last season. Fighting in the NHL isn't officially condoned, but teams are often in the hunt for tough players to keep order and protect their stars.",,,,"Copyright 2004 Gannett Company, Inc."
,fight,NHL,game,hockey,think,player,fan,sport,eliminate,fighter,league,guy,play,tough,penalty,general,manager,season,show,point,star,begin,role,give,penalize,instigator,level,hold,world,rule,part,misconduct,college,scorer,hat,change,call,protect,believe,predator,national,nhl,rate,minute,opportunity,early,playoff,simply,issue,often,attack,try,suspension,go,charge,ban,director,right,enter,eject,reduce,number,replace,international,good,power,image,goal,make,honest,back,take,trick,dirty,know,lose,tie,rid,completely,respect,Nashville,David_Poile,ingrain,culture,brother,mother,pleased,blink,staple,found,1917,policeman,job,1970,goon,today,scrutinize,ever,debate
,52,15,14,10,9,8,8,7,7,6,5,5,5,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"March 1, 2004, Monday",46 of 132 DOCUMENTS,USA TODAY,Dry spell of tornadoes could soon end in Okla.,Patrick O'Driscoll,NEWS; Pg. 3A,,780 words,"MOORE, Okla.",,"March 01, 2004",ENGLISH,,,"PHOTOS, B/W, Doug Hoke for USA TODAY (2); GRAPHIC, B/W, USA TODAY (MAP); Evidence of devastation: In contrast with the new homes on this street in Moore, Okla., trees still bear the damage from a tornado in May. Tornado season starts this month. <>In Oklahoma City: Clifford Hood cleans up Saturday after laying sod at his home. Hood narrowly escaped a tornado last May that destroyed dozens of houses.",,,,"Copyright 2004 Gannett Company, Inc."
,tornado,tornadoe,may,last,without,Oklahoma,air,Moore,season,storm,meteorologist,week,wind,start,severe,weather,include,winter,cold,fall,damage,Tornado_Alley,Norman,state,oklahoma,city,suburb,history,record,know,earthquake,absence,many,live,early,old,enough,north,moist,gulf,spell,spring,approach,hot,somebody,hit,uneasy,happen,people,mph,poster,Texas,Jones,Oklahoma_City,okla,rip,across,far,end,outbreak,nothing,289,count,1950,"3,254",second,nine,heart,seattle,rain,fog,name,give,broad,area,stretch,occur,often,folk,welcome,break,forever,march,official,contractor,finish,frame,house,replace,dozen,flatten,course,can,'em,least,sidestep,puzzle,scientist,work
,19,12,8,7,6,6,5,5,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"July 13, 2004, Tuesday",48 of 132 DOCUMENTS,USA TODAY,Take a taste: Refined dining with ethnic flavor,Jerry Shriver,LIFE; Pg. 6D,,2342 words,,,"July 13, 2004",ENGLISH,,,"PHOTOS, Color, Robert Deutsch, USA TODAY (4); PHOTOS, Color, Eileen Blass, USA TODAY (4); PHOTOS, Color, Jack Gruber, USA TODAY (2); PHOTOS, Color, Todd Rosenberg for USA TODAY (2); Matsuhisa: Creative cross-cultural menu creations."" <>At New York's Nobu: Broiled black cod with miso, front, and sashimi salad with Matsuhisa dressing.<>At New York's Tabla: Rice-flaked halibut is plated with wild watercress, watermelon, curry and lime for a familiar yet unique flavor. <>Cardoz: Uses American foods, Indian flavors.At Washington, D.C.'s Jaleo: Chef/co-owner Jose Andres presents a plate of tomato and watermelon with mint oil. At left is a mosaic of Catalonian spinach, made with pine nuts, apples and raisins.<>At Chicago's Salpico'n: Langostino con Salsa Cruda features a sauteed jumbo freshwater prawn wrapped in strands of sweet potato. <>Peruvian !Pasion! in Philadelphia: Malaspina oysters, Baja Bay scallops and Alaskan king salmon make up a colorful selection of ceviches served on ice. <>Pernot: King of ceviche also serves an ""awesome"" selection of dishes.<>At San Francisco's Slanted Door: Bo luc lac (shaking beef) is the signature dish, cubes of filet mignon, seared with garlic and organic red onions. <>Phan: Chef blends the traditional and modern.<><HR><>Satkoff: Grandmother's recipes are served at her restaurant.",,,,"Copyright 2004 Gannett Company, Inc."
,dish,restaurant,food,chef,ingredient,New_York,cuisine,flavor,seafood,meat,classic,top,sauce,ambassador,rice,make,hallmark,cooking,traditional,notable,outpost,people,chily,Chicago,know,culture,soup,grill,chicken,regional,country,Indian,eatery,today,dining,open,start,vegetable,fish,cook,garlic,shrimp,black,style,thing,creative,bread,cheese,native,diner,corn,pork,America,South_America,Philadelphia,Seattle,Spain,San_Francisco,americans,world,menus,lead,menu,beef,new,miso,raw,ginger,mint,spicy,understand,better,serve,still,fare,curry,city,modern,spice,every,offer,ago,go,oil,best,roast,tortilla,bean,among,stew,steam,Japanese,Atlanta,Tabla,Houston,Washington,global,table,ethnic
,19,15,14,12,12,12,10,9,8,8,8,8,8,7,7,6,6,6,6,6,6,6,6,6,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2
"September 3, 2004, Friday",50 of 132 DOCUMENTS,USA TODAY,Copper and pewter are the 'new' stainless steel,Maria Puente,LIFE; Pg. 7D,,1163 words,,,"September 03, 2004",ENGLISH,,,"PHOTOS, Color, Leslie Smith Jr., USA TODAY (2); PHOTO, Color, Sarah Susanska; PHOTO, Color, Crier Communications; The Osterizer: Blends copper with classic design. <>Toasty warm: Oster's two-slice beauty.<>No coins needed: Scentstories player spins scent discs.<> Away room"": This one has glass French doors.<>In recline: Zero Gravity ""Perfect Chair.""",,,,"Copyright 2004 Gannett Company, Inc."
,appliance,room,color,house,away,make,design,kitchen,copper,put,space,back,stainless,steel,look,different,finish,pewter,door,spend,scent,sell,NASA,manufacturer,major,small,call,nickel,consumer,really,grow,live,sit,bedroom,air,care,improve,relax,retailer,chair,recliner,discontent,scheme,feature,warmer,add,bronze,silver,countertop,need,real,instance,offer,without,vice,president,marketing,electric,metal,age,home,main,shut,concept,invent,firm,wall,bed,never,weapon,destruction,odor,candle,machine,nice,smell,another,gravity,mattress,pillow,promote,people,point,position,pressure,store,Sunbeam,French,Susanka,Zero_Gravity,Tempur_Pedic,sign,acre,suppose,chic,professional,cool,end,cold
,9,8,7,7,7,6,6,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1
"January 9, 2004, Friday",53 of 132 DOCUMENTS,USA TODAY,Tour business booming thanks in large part to Beman's efforts in two decades at helm,Jerry Potter,BONUS; Pg. 4F,,292 words,,,"January 09, 2004",ENGLISH,,,"PHOTO, B/W, H. Darr Beiser, USA TODAY; Mark made: Deane Beman helped the Tour become big time.",,,,"Copyright 2004 Gannett Company, Inc."
,player,tour,McCord,tournament,top,winner,idea,PGA_Tour,Beman,golf,sport,develop,set,business,gary,money,exempt,sell,lot,qualify,week,play,game,commissioner,take,organization,turn,segment,entertainment,industry,create,superstar,wealthy,man,along,way,club,network,championship,stage,we,climate,accumulate,asset,mccord,champion,commentator,build,basic,foundation,significant,contribution,125,previous,season,decision,adopt,watersh,moment,history,embraced,deserve,credit,convincing,guy,good,early,1980,struggle,member,every,monday,100,compete,spot,amaze,many,try,although,find,support,change,imagine,1983,become,reality,oppose,think,socialistic,system,allow,schedule,event,suite,aggressively,lower,score,thing,proud
,7,4,4,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"February 3, 2004, Tuesday",55 of 132 DOCUMENTS,USA TODAY,A cultural clash...In a nation a flutter,Ann Oldenburg,NEWS; Pg. 1A,,2094 words,,,"February 03, 2004",ENGLISH,,,"PHOTOS, Color, Main photo by Pierre Ducharme, Reuters; other photos by Getty Images (4); PHOTO, B/W, Getty Images; Wardrobe malfunction""? Justin Timberlake and Janet Jackson have said the exposure was accidental.<>""The decision to have a costume reveal at the end of my halftime show performance was made after final rehearsals. MTV was completely unaware of it. It was not my intention that it go as far as it did. I apologize to anyone offended -- including the audience, MTV, CBS and the NFL.""",COVER STORY,,,"Copyright 2004 Gannett Company, Inc."
,show,CBS,halftime,monday,Jackson,Super_Bowl,go,MTV,broadcast,costume,breast,television,entertainment,ad,NFL,watch,happen,next,incident,ever,FCC,become,game,include,moment,pop,reveal,million,executive,brand,air,affiliate,take,today,far,produce,something,network,better,know,PepsiCo,display,bustier,plan,suppose,event,family,culture,super,bowl,give,spokesman,viewer,talk,sunday,stunt,material,child,official,tell,think,people,cb,rehearsal,kind,shocked,seem,much,cable,part,issue,statement,completely,president,story,AOL,New_York,debate,lyric,flash,piece,right,star,nudity,cause,apology,late,red,bra,sport,advertiser,pull,assurance,disappointed,commercial,quality,work,overshadowed,look
,19,15,13,12,11,9,8,8,7,6,6,6,6,6,6,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"June 9, 2004, Wednesday",62 of 132 DOCUMENTS,USA TODAY,Military a model for execs,Del Jones,MONEY; Pg. 4B,,1377 words,"GETTYSBURG, Pa.",,"June 09, 2004",ENGLISH,,,"PHOTO, B/W, H. Darr Beiser, USA TODAY; PHOTO, B/W, Pauline Lubens, AFP; At attention: Sam Newland, a professor of military education at the U.S. Army War College, talks to a group of businessmen at the Gettysburg battlefield. More than 100 business executives a year attend the school to learn about military leadership.",,,,"Copyright 2004 Gannett Company, Inc."
,military,executive,war,leadership,know,decision,ethical,Abu_Ghraib,prison,lesson,think,make,act,guard,order,prisoner,company,college,business,often,soldier,may,right,Enron,U.S._Army,corporate,ceos,leader,among,learn,turn,student,officer,include,tell,employee,people,never,kill,career,moral,CEOs,Axelrod,long,look,expertise,humiliation,give,large,model,president,maker,boat,civil,point,send,colonel,book,history,stop,general,electric,respect,pressure,certain,life,shareholder,value,high,wartime,lai,study,director,strategy,must,yacht,world,problem,private,head,center,psychology,research,obey,violate,information,prepare,resign,experience,behavior,might,seem,choose,need,ask,refuse,former,action,balance
,11,8,8,7,7,7,6,6,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"August 25, 2004, Wednesday",66 of 132 DOCUMENTS,USA TODAY,Judging gets low marks,Vicki Michaelis,BONUS; Pg. 1D,,1124 words,ATHENS,,"August 25, 2004",ENGLISH,,,"PHOTO, Color, Kazuhiro Nogi, AFP; PHOTOS, B/W, Michael Chow, USA TODAY (2); PHOTO, B/W, Carmen Troesser, USA TODAY; Under fire: Judges talk after Alexei Nemov's effort. Public outcry: Fans show their displeasure with the score given to Russia's Alexei Nemov on Monday for his high bar routine. Judges adjusted the score. That's enough: Alexei Nemov tries to quiet the crowd, unhappy with Nemov's high bar score, before Paul Hamm's performance Monday. Delayed glory: Canadian figure skaters David Pelletier, top left, and Jamie Sale, bottom left, receive their golds in 2002.",COVER STORY,,,"Copyright 2004 Gannett Company, Inc."
,olympic,judge,IOC,gymnastic,figure,skate,gold,Hamm,medal,scoring,sport,score,international,case,gymnast,award,change,official,Athens,Salt_Lake_City,competition,enough,protest,eye,high,bar,give,federation,system,instant,replay,need,U.S.,Russian,Nemov,International_Gymnastics_Federation,box,duplicate,pair,ago,sure,monday,wait,nearly,fan,former,tuesday,decision,quiet,game,different,controversy,public,computerize,committee,meeting,quietly,take,result,event,win,rule,several,deal,always,subjective,back,all_around,French,Yang,Wilson,bedlam,feeling,fall,pommel,horse,onto,hard,sheet,ice,become,furor,discord,especially,observer,suggest,president,open,skater,pelletier,if,historian,fence,swim,equestrian,hand,wring,fly,cacophony
,14,13,13,10,9,8,8,7,6,6,6,5,5,5,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"January 8, 2004, Thursday",70 of 132 DOCUMENTS,USA TODAY,A long fall for Enron couple,Edward Iwata,MONEY; Pg. 3B,,728 words,,,"January 08, 2004",ENGLISH,,,"PHOTO, B/W, Steve Ueckert, Houston Chronicle via AP; PHOTO, B/W, Mark Wilson, Getty Images; Considering deals: Lea and Andrew Fastow, embracing outside a federal building in May, are considering plea bargains that could send both to prison -- Lea for a few months and Andrew for as much as 10 years. <>Invoking the Fifth: Former Enron CFO Andrew Fastow cited his right against self-incrimination when he refused to testify before Congress in 2002.",,,,"Copyright 2004 Gannett Company, Inc."
,Enron,former,friend,Andrew_Fastow,Houston,art,Fastows,work,executive,family,colleague,fastow,couple,son,deal,prosecutor,museum,contemporary,financial,Lea_Fastow,Texas,whose,take,late,accounting,scandal,face,prison,term,home,time,wednesday,much,charge,although,many,money,1990,spend,million,make,attend,good,go,early,chain,grow,mba,allege,husband,talk,Lea,tale,power,life,tragic,turn,finance,titan,crumble,2001,largest,history,possible,leave,without,parent,serve,simultaneously,reach,report,sentence,several,tax,evasion,use,roar,downtown,parking,garage,porsche,911,flaunt,wealth,rich,active,conservative,synagogue,donate,holocaust,lea,trustee,head,committee,jet,dollar,include,"575,000",sculpture
,10,8,7,7,6,5,5,4,4,4,4,4,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"January 21, 2004, Wednesday",71 of 132 DOCUMENTS,USA TODAY,"Esiason ready to double up again for Super Bowl duty on radio, TV",Rudy Martzke,SPORTS; Pg. 2C; Sports on TV,,626 words,,,"January 21, 2004",ENGLISH,,,,,,,"Copyright 2004 Gannett Company, Inc."
,Esiason,radio,NFL,game,set,tv,live,half,last,CBS,today,sunday,television,duty,go,time,fan,we,Super_Bowl,Westwood_One,championship,back,booth,work,tuesday,week,westwood,second,title,pick,provide,tell,president,new,scoring,system,rating,viewer,Gillette_Stadium,Oakland,Schanzer,TNT,spend,traver,forth,prepare,stuff,really,exhaust,player,need,join,reporter,perform,pregame,interview,tape,halftime,air,p.m.,et,11:30,night,football,100,chance,beer,mark,third,pull,double,feat,allow,cb,part,family,fill,hectic,role,production,executive,coordinate,security,arrangement,able,reach,destination,event,without,miss,raider,afc,black,hole,stadium,forget,catch,little,heat
,12,9,7,6,6,5,5,5,5,5,4,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"March 22, 2004, Monday",74 of 132 DOCUMENTS,USA TODAY,"Imported jobs building a new, middle-class India",David Lynch,NEWS; Pg. 6A,,1438 words,"BANGALORE, India",,"March 22, 2004",ENGLISH,,,"PHOTOS, B/W, Sherwin Crasto, Reuters, for USA TODAY (2); PHOTO, Color, Sherwin Crasto for USA TODAY (page 1A); GRAPHIC, B/W, USA TODAY (MAP); U.S.-inspired amenities: Employees at Infosys, a technology services provider in Bangalore, India, take a break on the company's 70-acre campus. A better life: Sheshadri Venkatadri commutes by bicycle to his job at Infosys. His $20,000 salary is triple his parents' peak combined income.",,,,"Copyright 2004 Gannett Company, Inc."
,India,job,USA,U.S.,worker,Infosys,people,outsource,million,work,today,company,billion,country,make,American,computer,help,customer,far,grow,government,industry,road,technology,do,cost,overseas,employee,lose,benefit,well,business,buy,last,export,parent,three,time,engineer,center,infosy,accord,city,Nilekani,Bangalore,main,scene,world,scooter,street,old,india,new,home,service,add,"9,000",double,payroll,productivity,improve,put,presidential,indian,complaint,indoor,toilet,less,build,change,increase,gain,still,sale,life,hire,earn,large,financial,report,1980,never,own,already,apartment,hear,school,painful,go,away,southern,village,1988,another,around,labor,attract,pay
,14,13,11,8,7,7,6,6,6,5,5,5,5,5,5,5,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"June 23, 2004, Wednesday",78 of 132 DOCUMENTS,USA TODAY,The 19th hole,,SPORTS; Pg. 8C,,552 words,,,"June 23, 2004",ENGLISH,,,"PHOTO, B/W, Gregory Bull, AP; PHOTO, B/W, Kathy Willens, AP; PHOTO, B/W, AP; Pate: Has gone from Pinto to BMW.",,,,"Copyright 2004 Gannett Company, Inc."
,course,tour,p.m.,put,golf,distance,tee,champion,player,favorite,club,site,schedule,yard,par,purse,million,share,tv,et,notable,week,victory,Winner,best,star,second,behind,every,round,play,three,four,foot,feel,quick,question,drive,book,have,read,five,major,never,next,p.m,make,haas,tie,country,career,LPGA,Annika_Sorenstam,Thursday_Sunday,Avenel,U.S._Open,Mass,Friday_Sunday,learn,2004,money,list,offer,advice,good,warm,practice,green,apart,hole,putt,comfortable,confident,know,trust,stroke,spotlight,world,cypress,point,northern,currently,primarily,sport,utility,vehicle,bmw,740,sedan,car,remember,1971,ford,pinto,athlete,probably,cartoon,character,recent
,5,5,5,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"August 4, 2004, Wednesday",81 of 132 DOCUMENTS,USA TODAY,Anxiety keeps oil prices elevated,James Cox,MONEY; Pg. 1B,,459 words,,,"August 04, 2004",ENGLISH,,,,,,,"Copyright 2004 Gannett Company, Inc."
,oil,price,U.S.,refinery,barrel,future,crude,world,demand,market,average,fear,supply,disruption,constraint,keep,gas,back,gallon,high,trading,tuesday,1983,supplies,current,key,go,drive,speculator,fund,position,Iraq,terror,factor,whip,perfect,storm,send,grow,number,energy,expert,soar,44.20,midday,retreate,44.15,intraday,record,highest,light,start,global,stubbornly,third,increase,output,estimate,exceed,fall,economist,predict,remain,spike,schenker,other,cite,geopolitics,spook,instability,sabotage,terrorism,threat,attack,radical,site,largest,reserve,yuko,pump,may,survive,3.4,billion,tax,plague,country,constant,clash,populist,leader,foe,worker,strike,national,company,civil,unrest,shut
,10,6,5,4,4,4,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"January 9, 2004, Friday",87 of 132 DOCUMENTS,USA TODAY,Children make defendants' plea/trial decisions tougher,Jayne O'Donnell and Greg Farrell,MONEY; Pg. 1B,,1276 words,,,"January 09, 2004",ENGLISH,,,"PHOTO, Color, Karl Stolleis, ; PHOTO, Color, James Nielsen, AFP; PHOTO, Color, Pat Sullivan, AP; PHOTO, Color, Mark Wilson, Getty Images; Ben Glisan Jr.<>Position: Former Enron treasurer.<>Charges: Pleaded guilty to one count of conspiracy to commit wire and securities fraud.<>Children: Two.<>Status: Currently serving a five-year prison term.<>Andrew and Lea Fastow<>Position: Former Enron CFO and wife.<>Charges: Andrew faces nearly 100 counts in accounting scandal. Lea is accused of running one of the company's special-purpose entities.<>Children: Two.<>Status: Lea got preliminary approval for a plea deal of five months in prison. Andrew may plead guilty in return for a 10-year term.<>Children: Two.<>Status: Currently serving a five-year prison term.<>Richard Causey<>Position: Former Enron chief accounting officer.<>Children: Three.<>Status: Criminal charges could be filed as early as today.",COVER STORY,,,"Copyright 2004 Gannett Company, Inc."
,child,time,white_collar,prison,sentence,former,criminal,sentencing,plead,guilty,charge,go,prosecutor,guideline,term,kid,know,crime,people,attorney,defendant,judge,federal,Enron,catch,defense,fight,decision,plea,bargain,five,father,jail,scandal,young,make,lawyer,away,whether,difficult,other,choice,fastow,sooner,give,government,today,deal,still,expect,begin,tell,policy,law,possible,good,justice,client,Houston,Causey,Litt,end,force,goal,least,age,fraud,executive,grow,never,tougher,involved,chief,financial,officer,treasurer,negotiation,keep,approval,count,accept,report,sign,return,agree,cooperate,enron,refuse,face,serve,old,concerned,far,pass,increase,actually,harm,do,general
,11,10,10,9,9,9,7,7,7,7,7,7,6,6,6,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"January 15, 2004, Thursday",88 of 132 DOCUMENTS,USA TODAY,Proposed airport design poses safety hazards,,NEWS; Pg. 11A,,619 words,,,"January 15, 2004",ENGLISH,,,,DEBATE,,,"Copyright 2004 Gannett Company, Inc."
,design,runway,landing,issue,Mars,airport,takeoff,people,human,great,money,monday,little,aviation,safety,problem,include,decrease,dangerous,point,potential,member,marriage,commentary,know,consider,need,go,end,help,put,send,humanity,something,perhaps,mankind,Starry,same_sex,certainly,revolutionary,may,create,cause,mirth,bemusement,provide,deal,fellow,airline,pilot,inventor,take,new,height,view,show,awareness,reality,modern,concern,example,sloping,pose,numerous,operational,danger,poor,brak,ability,abort,actually,increase,require,length,tail,strike,initial,climb,angles,steep,approach,path,potentially,abrupt,hard,visual,illusion,obstruction,clearance,fundamental,flaw,appear,directly,terminal,full,park,airplane,event,accident
,7,5,5,5,4,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"February 20, 2004, Friday",92 of 132 DOCUMENTS,USA TODAY,Skilling's fall from grace comes to this,Elliot Blair Smith and Edward Iwata,MONEY; Pg. 1B,,1687 words,,,"February 20, 2004",ENGLISH,,,"GRAPHIC, B/W, Marcy E. Mullins, USA TODAY, Source: Bridge Information; Securities and Exchange Commission (LINE GRAPH); GRAPHIC, B/W, Source: USA TODAY research (CHART); PHOTO, Color, Mark Wilson, Getty Images; PHOTO, Color, Larry Downing, Reuters; PHOTOS, Color, David J. Phillip, AP (2); PHOTO, B/W, Reuters; PHOTOS, B/W, AP (7); PHOTO, B/W, Tim Dillon, USA TODAY; PHOTO, Color, Tim Johnson, Reuters; Marching to court: Enron former chief Jeffrey Skilling is escorted to court Thursday in Houston. Charged on 35 counts, Skilling has long proclaimed his innocence. <>Richard Causey, chief accounting officer: He was originally indicted in January. A new indictment unsealed Thursday charges him with conspiracy to commit securities fraud, 20 counts of securities fraud, eight counts of wire fraud and two counts of illegal inside trading. <>Andrew Fastow, chief financial officer: He pleaded guilty last month to one charge of conspiracy to commit wire fraud and one charge of conspiracy to commit wire and securities fraud. He faces a 10-year sentence and is cooperating with prosecutors. <>Ben Glisan, corporate treasurer: He pleaded guilty to conspiracy to commit wire and securities fraud in September and is serving a five-year sentence. <>Michael Kopper, Enron finance executive: He helped create and manage some of the off-the-books partnerships that prosecutors say were used to manipulate Enron's finances. He pleaded guilty to fraud and money laundering in August 2002 and implicated his boss, Andrew Fastow. His sentencing is scheduled for October.",COVER STORY,,,"Copyright 2004 Gannett Company, Inc."
,Enron,skilling,former,company,indictment,stock,2001,Houston,defense,executive,accord,business,broadband,action,attorney,charge,million,energy,market,accounting,investor,sale,employee,great,enron,security,criminal,report,go,know,prosecutor,analyst,share,loss,hide,fail,industry,author,lawsuit,long,many,proof,financial,fraud,hard,show,legal,inflate,large,earning,official,well,court,SEC,ceo,collapse,face,personal,grand,jury,thursday,asset,innovation,ambition,new,around,three,abruptly,resign,behind,bank,greed,epitomize,watch,history,boom,bust,fit,failure,abandon,client,offer,special,unit,nine,pleaded,guilty,still,accuse,chief,officer,earlier,inside,statement,among,conference,call,file,1999
,40,23,17,11,10,9,9,9,8,7,6,6,6,6,6,6,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
