PUBLISHED_DATE,DOCUMENTS_INDEX,PUBLISHER,TOPIC,BYLINE,SECTION,SOURCE,LENGTH,DATELINE,SUMMARY,LOAD_DATE,LANGUAGE,CORRECTION_DATE,CORRECTION,GRAPHIC,TYPE,DOCUMENT_TYPE,PUBLISH_TYPE,COPYRIGHT
"January 20, 2014 Monday",2 of 231 DOCUMENTS,USA TODAY,"Warming warning: El Nios could get kicked into high gear; More extreme weather possible, new study says","Doyle Rice, USA TODAY",NEWS; Pg. 3A,,537 words,,,"January 22, 2014",ENGLISH,,,"GRAPHIC, Color, USA TODAY (Diagram)",,,NEWSPAPER,"Copyright 2014 Gannett Company, Inc.                               All Rights Reserved"
,el,nio,study,extreme,climate,global,warming,change,event,weather,occur,frequency,new,research,model,find,pattern,double,water,temperature,eastern,equatorial,extend,period,warm,powerful,every,author,past,however,mean,result,increase,solid,scientist,issue,convincing,appear,remain,last,Nature_Climate_Change,Australia,Climate,worst,infamous,shake,around,world,upcoming,decade,due,sunday,journal,central,tend,warmer,average,time,typically,least,three,five,bring,significant,forecast,throughout,rest,century,accord,lead,national,science,agency,100,fuel,drought,wildfire,flood,rainstorm,along,often,recent,end,2010,aggregation,use,report,episode,cause,surface,cai,acknowledge,finding,stand,contrast,previous,consensus,question,challenge
,greenhouse,gas,emission,law,case,industry,administration,government,source,environmental,Obama,EPA,issue,change,regulate,state,power,court,stationary,authority,victory,air,permit,hear,tell,opponent,effort,battle,plant,important,take,rule,pollutant,raise,threshold,ton,number,include,address,Supreme_Court,Clean_Air_Act,weigh,monday,intractable,time,global,warming,environmentalist,health,welfare,jeopardize,unless,continue,combat,climate,regulation,billion,dollar,thousand,job,threaten,result,grab,truth,side,may,exaggerating,question,danger,suppress,via,tailpipe,pit,president,agenda,fiercest,critic,limit,option,seek,reduce,literally,stop,ongoing,regulatory,thrust,track,expert,sequel,decide,high,2007,2011,affirm,motor,vehicle,1970,reason,narrow
,7,7,7,7,6,5,5,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"February 25, 2014 Tuesday",95 of 231 DOCUMENTS,USA TODAY,"Smog chokes China as public, experts demand change; Country hovers at second-highest alert for air pollution","Calum MacLeod, USA TODAY",NEWS; Pg. 2A,,442 words,,,"February 25, 2014",ENGLISH,,,,,,NEWSPAPER,"Copyright 2014 Gannett Company, Inc.                               All Rights Reserved"
,China,pollution,Beijing,smog,official,government,plant,problem,report,make,beijing,barely,suitable,live,alert,monday,level,warning,system,city,capital,need,director,reliance,coal,discharge,note,factory,province,pollute,Chinese,Hebei,ban,outdoor,school,sport,cookout,grapple,fourth,straight,thick,chok,recent,maintain,orange,response,introduce,nationwide,last,october,spraying,street,water,reduce,dust,severe,attack,time,consider,safe,world,health,organization,forceful,measure,take,jun,lead,voice,environmental,crisis,institute,area,north,central,blight,conclude,ever,announce,red,half,car,suppose,automatically,grounded,cheap,chief,energy,source,lack,technology,blame,extraordinary,plague,welcome,agreement,disclose,certain,tough
,8,6,6,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"June 23, 2014 Monday",98 of 231 DOCUMENTS,USA TODAY,"Eight major cases await Supreme Court rulings; Abortion, unions, cellphone privacy are among issues","Richard Wolf, USA TODAY",NEWS; Pg. 3A,,625 words,,,"June 23, 2014",ENGLISH,,,,,COURTS,NEWSPAPER,"Copyright 2014 Gannett Company, Inc.                               All Rights Reserved"
,case,law,court,whether,union,company,decide,change,issue,three,argue,government,eight,labor,rule,far,require,fee,religious,cellphone,search,Obama,week,today,major,meeting,important,january,hand,argument,hold,presidential,power,president,branch,challenge,abortion,clinic,buffer,zone,ago,rights,justice,go,crucial,public,employee,represent,worker,pay,due,private,challenging,greenhouse,gas,must,fraud,investor,business,health,tv,way,internet,customer,privacy,police,Senate,decision,seek,conclude,2013,term,last,fall,political,donation,affirmative,action,prayer,ruling,next,potential,blockbuster,order,oral,pit,republican,third,serve,arbiter,appointment,make,federal,board,without,confirmation,claim,lawmaker,recess
,7,5,5,5,5,5,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"August 11, 2014 Monday",100 of 231 DOCUMENTS,USA TODAY,Liberal Dems in a funk over Obama inaction,Ross K. Baker,NEWS; Pg. 6A,,508 words,,,"August 11, 2014",ENGLISH,,,,,,NEWSPAPER,"Copyright 2014 Gannett Company, Inc.                               All Rights Reserved"
,liberal,Obama,president,republican,avoid,discontent,price,progressive,immigration,sweeping,head,hispanic,recent,poll,strongly,approve,change,rule,especially,state,many,fear,pass,Democratic,democrat,enjoy,majority,ought,happy,muscular,approach,circumvent,obstruction,show,capable,toughness,seek,part,need,provoke,kind,dethroned,1968,1980,wary,earning,support,alienate,moderate,strife,establishment,movement,buoy,spirit,mount,insurgency,lack,outright,rebelliousness,mask,sullenness,party,wing,reform,seem,iridescent,dream,despite,defer,action,shield,dreamer,immediate,deportation,reluctance,offer,relief,result,brand,deporter,chief,largest,interest,group,indicate,moreover,twice,likely,disapprove,record,unclear,whether,enforcement,promise,later,enough,mollify,doubter,new
,6,4,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"February 6, 2014 Thursday",103 of 231 DOCUMENTS,USA TODAY,"Unions, liberals boost super PACs; Dems' Senate majority at stake in November","Fredreka Schouten, and Christopher Schnaars, USA TODAY",NEWS; Pg. 6A,,666 words,,,"February 6, 2014",ENGLISH,,,"GRAPHIC, Color, Janet Loehrke, USA TODAY (bar graph)",,,NEWSPAPER,"Copyright 2014 Gannett Company, Inc.                               All Rights Reserved"
,super,million,liberal,group,pac,political,republican,state,union,race,2013,among,donor,conservative,billionaire,new,nearly,pump,spend,democrat,big,labor,control,last,climate,PACs,Senate,fund,three,dozen,make,election,money,effort,november,seat,take,chamber,democratic,focus,outside,americans,prosperity,move,support,affiliate,ad,end,week,target,combine,level,director,governor,2010,legislative,seek,budget,top,list,issue,use,campaign_finance,AFL_CIO,re_election,promote,cause,flex,muscle,overtaken,today,analysis,report,show,individual,donation,"500,000",62.6,committee,unlimited,amount,influence,flow,back,pipeline,foe,organization,early,gush,underscore,high,stake,midterm,face,serious,threat,majority,need,net
,9,8,6,6,6,5,5,5,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"May 27, 2014 Tuesday",105 of 231 DOCUMENTS,USA TODAY,"Cheers, challenges for class of 2014",,NEWS; Pg. 9A,,1270 words,,,"June 6, 2014",ENGLISH,,,photo WireImage,,,NEWSPAPER,"Copyright 2014 Gannett Company, Inc.                               All Rights Reserved"
,make,people,time,work,love,without,human,change,life,thing,everybody,school,know,many,age,back,success,fear,risk,place,quality,key,together,remember,wear,movement,way,odd,University,every,parent,today,powerful,new,uncomfortable,conventional,wisdom,executive,n.c.,talk,job,receive,lose,something,remain,much,part,little,generation,woman,empowerment,take,corporate,rather,must,move,define,look,failure,great,think,struggle,anyway,special,power,mary,commencement,seem,keep,speech,moral,business,face,world,bit,well,still,yet,spend,do,happiness,relationship,college,family,"90,000",roughly,number,Pope_Francis,secretary,state,conn,mobile,device,represent,lot,ability,put,picture,facebook
,8,8,6,6,5,5,5,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1
"January 28, 2014 Tuesday",108 of 231 DOCUMENTS,USA TODAY,"Obama has opening in State of Union; With GOP blocking tactics, president should use address to launch 2014 midterm election campaign",Ross K. Baker,NEWS; Pg. 8A,,656 words,,,"January 28, 2014",ENGLISH,,,"photo Charles Dharapak, AP",,,NEWSPAPER,"Copyright 2014 Gannett Company, Inc.                               All Rights Reserved"
,president,Congress,last,state,expect,issue,bill,reform,Obama,address,party,republican,time,call,majority,every,we,put,nation,interest,ahead,far,barren,federal,program,plea,tax,congressional,go,obama,hope,likely,path,minimum,wage,help,income,cut,Union,Union_Address,House,Senate,deliver,tuesday,vision,final,three,office,serve,solidify,legacy,prove,mere,pipe,dream,ago,make,statement,seem,hopeful,realistic,people,government,solve,problem,chamber,agree,greatly,underestimate,rockiness,lay,optimistic,willingness,many,nonetheless,record,entirely,positive,action,sequester,indiscriminate,decapitation,think,draconian,never,implement,kick,thanks,budget,agreement,spend,pass,late,cloud,remove,let,cheer,loudly,something
,11,6,5,4,4,4,4,4,4,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"March 24, 2014 Monday",112 of 231 DOCUMENTS,USA TODAY,STATE-BY-STATE; News from across the USA,,NEWS; Pg. 7A,,2036 words,,,"March 24, 2014",ENGLISH,,,,,,NEWSPAPER,"Copyright 2014 Gannett Company, Inc.                               All Rights Reserved"
,report,state,police,official,department,million,student,budget,begin,fire,man,new,school,program,make,work,job,treat,schedule,charge,award,nearly,room,newborn,staff,sunday,shot,find,tell,scholarship,hold,week,director,open,change,city,area,community,number,airport,cost,public,authority,water,last,today,may,call,kill,hearing,University,U.S.,point,average,end,phoenix,shoot,face,little,war,revive,effort,visitor,zoo,well,care,name,investigate,hear,district,ricin,court,record,show,resident,billion,tuesday,native,friday,season,property,hope,attract,county,campus,remove,business,people,worker,better,live,solar,energy,include,roughly,tour,syrup,every,within
,14,10,7,7,7,7,6,6,6,6,5,5,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"June 9, 2014 Monday",116 of 231 DOCUMENTS,USA TODAY,Retiring coal plants won't do much to clear air; Slated closures account for little of carbon dioxide,"Wendy Koch and, John Kelly, USA TODAY",NEWS; Pg. 1A,,364 words,,,"June 10, 2014",ENGLISH,,,,,,NEWSPAPER,"Copyright 2014 Gannett Company, Inc.                               All Rights Reserved"
,power,coal,plant,carbon,job,U.S.,emission,retirement,unit,2030,facility,nation,EPA,industry,plan,analysis,old,account,co2,emit,last,among,top,accord,target,require,many,particular,major,close,produce,less,remain,impact,lose,coal_fired,electric,retire,generator,within,decade,almost,nothing,reduce,dioxide,today,find,140,slated,mostly,small,generating,fact,rank,100,475,comprise,emitter,review,2013,federal,data,finding,show,cut,enough,meet,national,probably,lock,energy,shift,toward,natural,gas,renewable,average,age,dirty,largest,source,pollution,proposal,unveiled,week,part,president,fight,climate,change,state,assume,2020,nationwide,biggest,likely,anytime,soon,replacement
,7,7,6,4,4,4,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"November 17, 2014 Monday",123 of 231 DOCUMENTS,USA TODAY,Actavis may acquire Botox-maker Allergan,,MONEY; Pg. 1B,,232 words,,,"November 17, 2014",ENGLISH,,,,,MONEYLINE,NEWSPAPER,"Copyright 2014 Gannett Company, Inc.                               All Rights Reserved"
,pipeline,make,today,economy,world,Allergan,Obama,manufactuer,try,stave,hostile,takeover,activist,investor,persh,square,capital,management,poise,deal,drugmaker,actavis,instead,accord,report,cite,source,aware,potential,transaction,agreement,announce,early,much,210,share,cash,stock,representative,reach,comment,number,1.6,rate,contract,three,end,sept,follow,7.1,contraction,quarter,officially,put,recession,unexpected,decline,likely,prime,minister,postpone,increase,word,major,determinant,whether,approve,shipping,oil,market,contribute,greenhouse,gas,cause,climate,change,president,news,conference,sunday,separately,state,union,expect,veto,bill,authorize,pass,vote,schedule,tuesday,Botox,Valeant_Pharmaceuticals,William_Ackman,Wall_Street_Journal,CNBC,Bloomberg,Actavis,Japan
,3,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"December 30, 2014 Tuesday",125 of 231 DOCUMENTS,USA TODAY,Another air tragedy leaves many baffled,,NEWS; Pg. 6A,,465 words,,,"December 30, 2014",ENGLISH,,,,,OPINION,NEWSPAPER,"Copyright 2014 Gannett Company, Inc.                               All Rights Reserved"
,weather,miss,plane,make,go,board,tracking,equipment,need,find,technology,must,take,air,cost,flight,catastrophe,better,AirAsia,Malaysia_Airlines,jet,age,install,way,family,wonder,keep,airplane,help,effective,region,third,airline,people,pilot,severe,Kuala_Lumpur,162,disappear,stormy,sunday,bound,can,believe,everyone,equip,smartphone,location,aircraft,surely,simple,enough,tamper,proof,exist,seem,use,anything,spying,official,bottom,sea,set,anyone,mind,rest,leave,acceptable,deep,ocean,send,back,picture,let,dead,account,julie,cooper,awhile,improvement,especially,remote,area,jon,leady,wreckage,body,sooner,sound,recovery,effort,look,much,spend,search,mention,emotional,tragedy,quality
,6,5,5,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"March 7, 2014 Friday",128 of 231 DOCUMENTS,USA TODAY,Commanders retain sex assault cases; Senate blocks military justice system changes,"Tom Vanden Brook, @tvandenbrook, USA TODAY",NEWS; Pg. 3A,,326 words,,,"March 7, 2014",ENGLISH,,,,,,NEWSPAPER,"Copyright 2014 Gannett Company, Inc.                               All Rights Reserved"
,sexual,assault,case,military,commander,victim,thursday,sen,vote,proposal,right,thing,justice,system,last,report,troops,prosecute,change,include,protect,Senate,McCaskill,bid,wrest,control,away,replace,career,prosecutor,die,kirsten,gillibrand,fail,gain,enough,strip,authority,decide,whether,go,trial,need,overcome,filibuster,receive,always,hope,deliver,free,bias,conflict,interest,worthy,brave,man,woman,fight,we,statement,today,turn,back,majority,member,attention,spike,show,estimate,"26,000",unwanted,contact,among,2012,increase,compare,2010,"3,000",300,revision,pretrial,process,know,article,hearing,allege,pry,question,require,civilian,review,decision,decline,automatically,assign,independent,counsel,lodge,complaint
,6,5,5,5,4,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"December 9, 2014 Tuesday",134 of 231 DOCUMENTS,USA TODAY,NFL abuse cases take marketing toll,"Lindsay H. Jones, @ByLindsayHJones, USA TODAY Sports",SPORTS; Pg. 1C,,1072 words,,,"December 9, 2014",ENGLISH,,,,,,NEWSPAPER,"Copyright 2014 Gannett Company, Inc.                               All Rights Reserved"
,player,NFL,company,marketing,brand,deal,sport,client,contract,partner,endorsement,right,athlete,case,today,thing,nfl,White,USA,NFL_Players_Inc.,never,sort,end,pull,domestic,violence,big,publicly,campaign,tell,definitely,next,season,sign,quarterback,defensive,part,include,might,league,hear,represent,fall,involve,lot,affiliation,national,better,climate,bad,major,still,game,spring,future,business,arm,advertising,individual,risk,commercial,understand,guy,issue,go,agent,several,lose,question,new,make,sure,building,trust,rice,sponsor,concern,sponsorship,spokesman,impact,way,information,relationship,off_field,Peyton_Manning,Delzell,Peterson,McCarthy,Atallah,set,list,word,phone,careful,chief,executive,officer,entertainment,pass
,16,11,10,8,8,7,7,5,5,5,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1
"January 14, 2014 Tuesday",140 of 231 DOCUMENTS,USA TODAY,"Ducks enjoying historic start; Anaheim, 19-0-2 at home this season, finds winning mix","Kevin Allen, @ByKevinAllen, USA TODAY Sports",SPORTS; Pg. 8C,,716 words,,,"January 14, 2014",ENGLISH,,,"photo Gary A. Vasquez, USA TODAY Sports",,,NEWSPAPER,"Copyright 2014 Gannett Company, Inc.                               All Rights Reserved"
,season,play,team,defenseman,goal,make,point,Lovejoy,last,game,duck,score,well,put,NHL,Getzlaf,talk,coach,home,lovejoy,best,good,league,average,know,offensive,Ducks,Perry,Cam,player,entertaining,win,tie,streak,depth,really,defense,top,time,step,getzlaf,fourth,pretty,enough,plus,another,change,together,little,start,think,everyone,position,Anaheim,Fowler,climate,weather,blend,veterans,younger,lovable,old,school,fact,nearly,invincible,fun,ben,arrive,trade,record,yet,lose,regulation,least,reach,overtime,wednesday,much,talent,front,incredible,forward,four,line,right,defensemen,job,three,five,life,easier,goalie,mistake,firepower,difficult,situation,every,soul
,13,10,8,7,7,7,6,6,5,5,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"February 12, 2014 Wednesday",145 of 231 DOCUMENTS,USA TODAY,El Niño can be predicted earlier,"Doyle Rice, @USATODAYWeather, USA TODAY",NEWS; Pg. 2A,,250 words,,,"February 12, 2014",ENGLISH,,,,,,NEWSPAPER,"Copyright 2014 Gannett Company, Inc.                               All Rights Reserved"
,el,niño,study,ahead,temperature,scientist,predict,event,forecast,develop,later,record,lead,part,Germany,normally,menace,climate,pattern,influence,weather,around,world,advance,new,group,researcher,usa,time,push,global,highest,level,next,surpass,previous,1998,set,strong,publish,monday,proceedings,institute,theoretical,physics,often,bring,heavy,rain,disastrous,flood,intense,dring,across,despite,importance,conventional,still,limited,six,write,recently,approach,allow,projection,find,complex,link,current,air,ocean,region,main,advantage,warning,long,sufficient,reliability,manage,water,farm,senior,U.S.,half_dozen,Russia,Israel,National_Academy,Sciences,Josef_Ludescher,Giessen,USA,South_America,Australia,Southeast_Asia,Pacific_Ocean,Kevin_Trenberth,National_Center,Atmospheric_Research
,7,7,3,3,3,3,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"February 25, 2014 Tuesday",147 of 231 DOCUMENTS,USA TODAY,Supreme Court skeptical of greenhouse gas permits; Justices may block requirement for emissions sources,"Richard Wolf, USA TODAY",NEWS; Pg. 3A,,478 words,,,"February 25, 2014",ENGLISH,,,"photo Photos by H. Darr Beiser, USA TODAY",,,NEWSPAPER,"Copyright 2014 Gannett Company, Inc.                               All Rights Reserved"
,emission,permit,greenhouse,gas,government,require,source,justice,air,EPA,call,rule,court,regulate,global,warming,decision,stationary,pollutant,program,opponent,law,authority,conservative,effort,threshold,power,plant,liberal,avoid,likely,problem,time,limited,impact,state,common,carbon,dioxide,local,industry,raise,level,ton,Clean_Air_Act,Congress,appear,head,monday,toward,restrict,federal,major,emitter,remain,close,wing,affect,administration,eliminate,method,issue,change,amount,refinery,reasonable,move,absurd,overregulation,go,far,find,single,precedent,strongly,support,position,anthony,kennedy,swing,vote,tell,general,donald,verrilli,majority,2007,motor,vehicle,switch,side,whether,extend,seal,fate,case,focus,urgent,environmental
,7,6,6,6,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"July 21, 2014 Monday",155 of 231 DOCUMENTS,USA TODAY,"Six Californias? Like, whatever dude",Chris Woodyard,NEWS; Pg. 2A,,604 words,,,"July 21, 2014",ENGLISH,,,"photo Rich Pedroncelli, AP",,,NEWSPAPER,"Copyright 2014 Gannett Company, Inc.                               All Rights Reserved"
,state,name,California,break,californian,become,proposition,voter,rather,never,call,measure,Silicon_Valley,much,take,six,serious,governor,dring,people,idea,feed,native,number,know,fate,nation,ballot,approve,big,valley,bling,washed_up,Kim_Kardashian,San_Francisco,Draper,Los_Angeles,pain,interrupt,tanning,surf,necessary,moment,respond,budd,movement,accomplish,previously,unthinkable,stuff,least,thing,ever,actor,single,nip,swimmer,juvenile,shark,pier,attract,attention,statewide,average,boast,sighting,venture,capitalist,accumulate,petition,enough,signature,put,breakup,think,tycoon,spend,4.9,million,money,flog,consider,harebrain,long,shot,use,dough,hungry,preserve,redwood,restock,wine,cellar,pretty,confirm,stereotype,bear,raise,qualify
,6,5,5,4,4,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"November 12, 2014 Wednesday",160 of 231 DOCUMENTS,USA TODAY,"China, U.S. set climate target; Obama looks to cut emissions up to 28% by 2025","Calum MacLeod, USA TODAY",NEWS; Pg. 5A,,260 words,,,"November 12, 2014",ENGLISH,,,"photo KIM KYUNG-HOON, AFP/Getty Images",,WORLD,NEWSPAPER,"Copyright 2014 Gannett Company, Inc.                               All Rights Reserved"
,China,set,leader,cut,goal,emission,country,United_States,Asia_Pacific,take,global,greenhouse,gas,president,level,news,summit,agree,study,deal,area,Obama,free_trade,APEC,joint,aim,warming,today,revealing,fresh,effort,put,faster,track,pollution,reduce,2025,compare,2005,current,2020,jinp,elect,target,peak,2030,without,specific,development,tell,tuesday,relation,new,comment,follow,pact,reveal,ambition,shape,commerce,push,rival,exclude,last,host,annual,forum,2001,past,gdp,almost,quadruple,trillion,seek,rule,world,trading,system,launch,historic,step,direction,xi,conference,typically,question,ask,prefer,partnership,include,china,obama,meet,monday,report,progress,toward,early,time
,6,4,4,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"November 19, 2014 Wednesday",161 of 231 DOCUMENTS,USA TODAY,Salt shortage puts cities in a crunch,"Eleanor Mueller, USA TODAY",NEWS; Pg. 6A,,414 words,,,"November 19, 2014",ENGLISH,,,"photo Carlos Osorio, AP",,,NEWSPAPER,"Copyright 2014 Gannett Company, Inc.                               All Rights Reserved"
,price,last,salt,road,winter,director,weather,cold,demand,season,extreme,back,use,municipality,supplier,shortage,higher,experience,chemical,supply,inventory,increase,ton,average,transportation,usage,communication,another,keep,go,customer,chloride,road_salt,turn,across,nation,face,punch,wake,much,low,temperature,drive,significantly,deplet,among,largest,mine,right,several,factor,collide,weak,larger,individual,order,change,thanks,contract,obtain,spring,state,lucky,county,pay,106,department,2013,base,considerably,simple,anticipate,let,curb,effort,safe,forecast,call,severe,cut,clear,safety,top,priority,start,essentially,zero,high,spokeswoman,work,diligently,safely,provide,require,alternative,way,treat,freeze,beet
,6,6,6,5,4,4,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"June 10, 2014 Tuesday",167 of 231 DOCUMENTS,USA TODAY,Some Brazilians choose protests over World Cup; Critics say social ills need money more than games,"Alan Gomez, @alangomez, USA TODAY",MONEY; Pg. 1B,,986 words,,,"June 10, 2014",ENGLISH,,,photo Lianne M Milton for USA TODAY,,,NEWSPAPER,"Copyright 2014 Gannett Company, Inc.                               All Rights Reserved"
,world,cup,brazilian,protest,de,go,country,spend,city,public,government,people,take,strike,Brazil,tournament,host,match,million,Brazilian,Rio,street,protester,much,teacher,police,money,Janeiro,São_Paulo,national,team,2014,plan,poor,force,live,cheer,good,soccer,lead,anger,billion,economy,traffic,hospital,june,transportation,recent,demonstration,grow,we,give,hour,military,outside,may,walk,source,income,inequality,economic,past,help,game,problem,involve,home,tiny,Rousseff,Oliveira,Rocinha,kick,thursday,time,mark,culmination,construction,nervous,anticipation,hope,claim,record,sixth,title,start,turn,television,sit,three,child,read,book,revolution,show,documentary,abandon,building,join,thousand
