PUBLISHED_DATE,DOCUMENTS_INDEX,PUBLISHER,TOPIC,BYLINE,SECTION,SOURCE,LENGTH,DATELINE,SUMMARY,LOAD_DATE,LANGUAGE,CORRECTION_DATE,CORRECTION,GRAPHIC,TYPE,DOCUMENT_TYPE,PUBLISH_TYPE,COPYRIGHT
"February 22, 2014 Saturday",2 of 454 DOCUMENTS,Pittsburgh Post-Gazette,THE NOTION OF 'SETTLED SCIENCE' IS IN ITSELF ANTI-SCIENTIFIC,,EDITORIAL; Pg. A-12,,770 words,,,"February 24, 2014",ENGLISH,,,,,,Newspaper,Copyright 2014 P.G. Publishing Co.
,settle,science,climate,hurricane,global,change,mammogram,model,last,California,warming,fact,breast,cancer,offer,prediction,make,hit,god,denier,have,long,believe,atmosphere,scientist,pretend,cause,propagandist,debate,nothing,death,every,less,effect,indeed,think,today,computer,weather,call,point,suggest,extreme,fewest,previous,land,new,burn,whoring,climate_change,United_States,half_century,repeat,believer,good,humanity,spew,ton,carbon,dioxide,know,exactly,assert,chief,latest,state,address,really,idea,static,impervious,challenge,take,example,assume,help,reduce,require,insurance,plan,free,learn,massive,randomize,study,"90,000",woman,follow,may,five,diagnose,receive,unnecessary,radiation,chemo,surgery,much,settledness,well
,people,state,thursday,kill,country,prize,Mali,India,Russia,least,president,last,peace,Ebola,bomb,bus,city,evening,second,blast,immediately,security,attack,tragedy,make,nation,deal,next,climate,change,time,run,we,rise,world,bombing,capital,earlier,five,remain,virus,recover,die,worst,putin,pledge,new,oil,mo,seek,castro,sponsor,Nigerian,Kerry,Kabul,West,Ukraine,Mr._Putin,China,Mr._Castro,explode,near,station,central,witness,casualty,ascertain,source,reach,comment,bore,hallmark,militant,118,area,jos,may,sunni,jihadist,movement,wage,insurgency,establish,islamist,northeast,declare,emergency,three,northeastern,number,risen,sharply,warn,lima,secretary,impassion,plea,wednesday,work
,6,6,5,5,4,4,4,4,4,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"September 24, 2014 Wednesday",156 of 454 DOCUMENTS,Pittsburgh Post-Gazette,TOMLIN ACKNOWLEDGES '08 DOMESTIC INCIDENT,"Gerry Dulac, Pittsburgh Post-Gazette",SPORTS; Pg. E-1,,293 words,,,"September 24, 2014",ENGLISH,,,"PHOTO: ""I've discussed the climate change with James. Over those years James has grown ... and I don't anticipate those being a problem going forward."" -- Mike Tomlin",,,Newspaper,Copyright 2014 P.G. Publishing Co.
,domestic,Harrison,dispute,league,2008,violence,involve,climate,Steelers,talk,tuesday,charge,assault,girlfriend,incident,handle,rice,Tibbott,NFL,Tomlin,James,bring,retirement,signing,contract,rejoin,former,team,coach,march,ohio,township,home,eventually,drop,complete,counseling,decline,prosecute,become,major,issue,recent,highly,publicize,commissioner,roger,goodell,fire,especially,president,owner,appoint,oversee,private,investigation,matter,regard,new,policy,apply,player,employee,everyone,aware,seriousness,hopeful,awareness,turn,positive,entire,possibly,society,general,current,seven,different,have,discuss,change,grow,anticipate,problem,go,forward,chairman,revolve,around,desire,son,baptize,something,apparently,James_Harrison,Mike_Tomlin,Beth_Tibbott,anger_management,Domestic,Ray_Rice
,5,5,4,4,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"November 17, 2014 Monday",168 of 454 DOCUMENTS,Pittsburgh Post-Gazette,THE OTHER ELECTORATE; THE PRESIDENT IS MINDFUL OF THE TENS OF MILLIONS WHO VOTED FOR HIM,,OPINION; Pg. B-7,,762 words,,,"November 17, 2014",ENGLISH,,,,,,Newspaper,Copyright 2014 P.G. Publishing Co.
,Mr._Obama,immigration,republican,action,executive,mo,show,voter,election,take,president,well,order,change,act,way,heart,pass,bill,matter,wait,happen,many,give,Washington,speaker,poison,reform,issue,partisan,climate,pay,attention,million,weak,passive,without,game,plan,make,bipartisan,right,boehner,nothing,candidate,anyone,least,try,help,victory,democrat,violate,border,Mr._Boehner,McConnell,legislative,unilaterally,already,fill,cyanide,obama,critic,forceful,approach,net,neutrality,midterm,truth,close,feeling,important,group,ten,support,ago,dispirite,stay,away,poll,nov,hope,political,engagement,worth,effort,brilliant,job,campaign,play,idea,mean,television,ad,clear,lose,credibility,claim,might,sure
,12,6,6,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"March 11, 2014 Tuesday",170 of 454 DOCUMENTS,Pittsburgh Post-Gazette,SECTION: NATIONAL; NATION; Pg. A-3,,,,972 words,,,"March 13, 2014",ENGLISH,,,,,,Newspaper,Copyright 2014 P.G. Publishing Co.
,judge,general,plea,case,gen,sinclair,try,charge,col,pohl,lawyer,decision,record,federal,assault,decide,bargain,military,official,political,issue,turn,monday,email,command,evidence,lawsuit,court,surveillance,climate,die,subpoena,Army,new,attorney,sexual,influence,send,jeffrey,announce,trial,tell,dismiss,find,reject,discuss,letter,warn,force,affair,deny,offer,oversee,stop,destruction,five,agency,order,hold,document,earlier,destroy,change,hour,fatal,vision,author,whether,mo,mcginniss,reporter,christie,seek,Senate,all_nighter,Democratic,McGinniss,deal,today,renegotiate,set,determine,may,improperly,concern,jame,jury,back,duty,station,around,world,defense,a.,side,enter,intense,negotiation,resolve
,8,6,6,6,5,5,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"August 1, 2014 Friday",173 of 454 DOCUMENTS,Pittsburgh Post-Gazette,DUELING RALLIES PIT JOBS AGAINST AIR \,"Anya Litvak and Don Hopey, Pittsburgh Post-Gazette",LOCAL; Pg. A-8,,663 words,,,"August 1, 2014",ENGLISH,,,,,,Newspaper,Copyright 2014 P.G. Publishing Co.
,coal,worker,union,job,energy,miner,economy,federal,supporter,rule,member,need,air,march,power,time,family,U.S.,EPA,mine,environmental,stand,resident,environmentalist,propose,rally,government,international,president,lose,clean,environment,quality,address,climate,convention,center,mo,allow,industry,percent,minority,live,child,production,Pittsburgh,meet,intersection,10th,street,sea,thousand,camouflage,hundred,protester,chant,compete,slogan,camp,labor,lifelong,hold,sign,long,blue,pitted,green,earth,health,doom,block,away,hour,public,testimony,regulation,electrical,boilermaker,attend,thursday,bus,state,united,theme,grave,danger,enact,affect,wrong,vice,community,suffer,executive,director,count,million,group,choose,good
,6,5,5,5,5,4,4,4,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"March 12, 2014 Wednesday",186 of 454 DOCUMENTS,Pittsburgh Post-Gazette,LIBERALS PUT OUT-OF-TOUCHNESS ON DISPLAY,,OPINION; Pg. B-7,,411 words,,,"March 12, 2014",ENGLISH,,,,,,Newspaper,Copyright 2014 P.G. Publishing Co.
,all_nighter,job,issue,campaign,go,hold,vote,energy,leadership,must,climate,change,lawmaker,carbon,pleased,republican,democrat,write,senator,liberal,join,spokesman,take,tax,stand,White_House,Obamacare,Senate,Mark_Warner,hermetically,seal,bubble,think,good,idea,stage,monday,tuesday,might,seem,odd,people,interested,government,trustworthiness,slew,choose,tactic,gravest,find,threat,imagine,move,ballot,2014,distinctly,include,red,state,provide,statement,wrap,ad,debate,zinger,primary,responsibility,speak,fellow,actively,work,constituent,best,interest,disappointing,muster,word,ally,pull,shut,coal,industry,leave,open,possibility,theme,embraced,rep,tom,cotton,quickly,email,show,voter,creation,fix,placate,donor,base
,4,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"August 5, 2014 Tuesday",199 of 454 DOCUMENTS,Pittsburgh Post-Gazette,EPISCOPAL DIOCESE OF PITTSBURGH:; SAME-SEX MARRIAGE CERTIFICATES OK'ED,"Wesley Yiin, Pittsburgh Post-Gazette",LOCAL; Pg. A-7,,667 words,,,"August 5, 2014",ENGLISH,,,,,,Newspaper,Copyright 2014 P.G. Publishing Co.
,same_sex,letter,marriage,rite,civil,diocese,clergy,couple,McConnell,Bishop,may,november,bless,within,certificate,recent,diocesan,law,state,use,parish,perform,statement,change,church,Bishop_McConnell,Pennsylvania,sign,decision,2013,allow,conduct,legal,general,convention,individual,bishop,leave,know,support,continue,another,point,view,help,mr.,group,issue,watson,ms,climate,much,member,Creehan,confirm,open,action,build,blessing,relationship,time,option,chancellor,review,canon,federal,court,rule,marry,determine,language,satisfy,requirement,therefore,conjunction,approve,provisionally,national,legislative,2012,subject,approval,authorize,leader,decide,whether,specific,community,treasure,theological,diversity,practice,matter,vary,write,need,faithful,conscience,choose
,11,10,8,8,7,6,6,5,5,5,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"January 19, 2014 Sunday",208 of 454 DOCUMENTS,Pittsburgh Post-Gazette,SPILL COULD ALTER W.VA. OUTLOOK; STATE'S OPPOSITION TO FEDERAL REGS TESTED AFTER LATEST CALAMITY,"Trip Gabriel, Michael Vines and Coral Davenport, The New York Times",NATIONAL; Pg. A-1,,1643 words,,,"January 21, 2014",ENGLISH,,,"PHOTO: John Raby/Associated Press: Demonstrators hold signs Saturday at the state capitol in Charleston, W.Va. Residents voiced their concerns about the quality of their tap water in the wake of a Jan. 9 chemical spill in the Elk River that tainted the water supply.",,,Newspaper,Copyright 2014 P.G. Publishing Co.
,state,chemical,coal,water,regulation,West_Virginia,industry,environmental,group,spill,people,tank,law,make,government,still,manchin,storage,mining,federal,bill,gas,sue,Mr._Manchin,PPG,many,whether,official,regulator,play,long,energy,issue,question,raise,close,plant,safety,citizen,grow,regulate,natural,facility,change,write,rule,legislation,Elk_River,Mr._Huffman,resident,unsure,drink,tap,wednesday,among,governor,feel,turn,protection,agency,mr.,go,stop,afraid,use,often,outsider,five,major,nation,well,beyond,incident,critic,inspect,status,accord,call,member,think,way,health,lead,brokerage,company,senate,2011,president,effort,record,deep,heavy,farm,store,mile,produce,department,executive,employ
,23,19,14,10,10,10,9,8,7,6,6,6,6,5,5,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"December 7, 2014 Sunday",253 of 454 DOCUMENTS,Pittsburgh Post-Gazette,HISTORY COMES IN ALL SIZES; BUT THERE'S A BIG DEBATE OVER 'BIG HISTORY' VS. THE HISTORY THAT HUMANS HAVE WRITTEN DOWN,David M. Shribman,EDITORIAL; MY POINT; Pg. D-3,,1067 words,,,"December 9, 2014",ENGLISH,,,,,,Newspaper,Copyright 2014 P.G. Publishing Co.
,history,big,teach,human,historian,American,historical,cause,academic,student,knowledge,United_States,whether,world,war,concentrate,happen,another,believe,notion,include,lecture,next,change,thing,much,science,approach,way,worthwhile,Mr._Christian,contentious,question,country,dispute,conflict,deep,origin,camp,scholar,may,disagree,past,scale,academics,put,context,appearance,listen,series,record,try,across,view,virtue,lead,conclude,animal,important,ago,among,farm,pretty,percent,document,information,era,argue,story,modern,education,yet,tell,think,know,expand,consider,Oxford,heart,revolutionary,conservative,force,affair,devotion,battle,cold,precisely,long,engine,economic,political,proof,imperialist,root,basically,agree,study,"2,000",grow
,36,14,6,6,6,5,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"November 17, 2014 Monday",264 of 454 DOCUMENTS,Pittsburgh Post-Gazette,G-20 LEADERS TARGET $2T IN GROWTH THROUGH PROJECTS,"Don Lee, Tribune Co. Washington Bureau",WORLD; Pg. A-1,,685 words,,,"November 17, 2014",ENGLISH,,,PHOTO: Vladimir Putin leaves the G-20 summit early after a tough reception over Ukraine.,,,Newspaper,Copyright 2014 P.G. Publishing Co.
,leader,economy,global,summit,group,economic,percent,world,new,country,statement,make,plan,growth,increase,call,committed,owner,major,target,project,policy,improve,commitment,keep,fire,still,boost,president,give,concern,recovery,word,though,prime,minister,tax,effort,focus,climate,nation,transparency,information,know,true,beneficial,U.S.,Mr._Obama,Brisbane,criticize,long,promise,short,delivery,set,lift,output,least,five,ambitious,goal,add,trillion,million,job,achieve,present,800,specific,reform,example,build,road,trade,bring,woman,workforce,monitor,hold,account,implement,joint,end,sunday,progress,analyze,organization,development,manage,director,review,process,sure,foot,expect,100,implementation,whether,infrastructure
,8,5,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"January 19, 2014 Sunday",272 of 454 DOCUMENTS,Pittsburgh Post-Gazette,"LAND ALONG THE EAST COAST IS SINKING. JUST ASK NORFOLK, VA.","Justin Gillis, The New York Times","HEALTH, SCIENCE, MEDICINE AND TECHNOLOGY; Pg. A-10",,1199 words,,,"January 21, 2014",ENGLISH,,,,,,Newspaper,Copyright 2014 P.G. Publishing Co.
,rise,scientist,much,inch,sea,ice,sink,Norfolk,tide,global,century,land,ago,water,record,already,go,factor,suggest,level,sheet,coastal,nearly,foot,sediment,Battery,East_Coast,sea_level,edge,though,become,ocean,spend,evidence,island,meteor,world,may,increase,cause,people,flooding,New_Jersey,little,coast,gear,age,gauge,decade,influence,lead,population,scientific,work,ancient,slam,earth,start,part,calculation,seawater,away,higher,storm,past,thus,town,billion,accelerate,still,continue,emission,gas,melt,official,number,reason,among,peak,northern,area,region,community,home,abandon,eventually,compress,time,bedrock,million,zone,fast,problem,make,know,pay,plain,United_States,Chesapeake_Bay
,15,10,9,7,6,6,6,6,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"June 5, 2014 Thursday",287 of 454 DOCUMENTS,Pittsburgh Post-Gazette,WYOMING TO WASHINGTON: PHOTOJOURNALIST FOLLOWS THE 'CHINA EXPRESS',"Mary Thomas, Pittsburgh Post-Gazette",ARTS & ENTERTAINMENT; COVER STORY; Pg. W-9,,848 words,,,"June 6, 2014",ENGLISH,,,"PHOTO: The largest open pit coal mines in the world are in the Powder River Basin in Wyoming. The mines cover an area 60 miles long by 10 miles wide. Early winter of 2013 photojournalist Carlan Tapp began a 1,200-mile motorcycle trip from Wyoming to Washington along the route of coal trains carrying the black gold from its point of extraction to its proposed port of departure for the Far East. His images make up the exhibition ""China Express,"" which is part of the Three Rivers Arts Festival. \ PHOTO: Jay Julius, Lummi tribal official: ""The salmon are our buffalo. We are walking on the stones our ancestors walked on 3,500 years ago."" The image by Carlan Tapp is part of the exhibition ""China Express.""",,,Newspaper,Copyright 2014 P.G. Publishing Co.
,coal,tapp,mo,photographer,work,create,China_Express,route,train,mr.,p.m.,way,use,four,reservation,story,people,community,site,begin,wyoming,along,black,propose,image,happen,give,back,photographic,experience,later,power,effect,family,document,change,environmentalist,adam,tell,question,raise,awareness,mine,waste,material,include,human,element,land,photograph,near,research,open,mile,deep,terminal,totem,pole,Washington,American,U.S.,Lummi_Nation,early,winter,2013,photojournalist,motorcycle,trip,carry,gold,point,extraction,port,departure,exhibition,journey,part,805,liberty,ave,attend,public,reception,friday,speak,saturday,successful,career,commercial,half,decade,9/11,previously,schedule,appointment,art,director,week,call
,9,9,7,5,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"July 25, 2014 Friday",291 of 454 DOCUMENTS,Pittsburgh Post-Gazette,SCIENTISTS UNLOCK SECRETS TO BOOST METABOLISM \ FINDINGS HIGHLIGHT BENEFITS OF EXERCISE AND LOWER TEMPERATURES,"Marni Jameson, Orlando Sentinel",HEALTH SCIENCE MEDICINE & TECHNOLOGY; Pg. A-2,,817 words,,,"July 26, 2014",ENGLISH,,,"PHOTO: Stephen M. Dowell/Orlando Sentinel: Dr. Sheila Collins, upper left, Dr. Zuzana Kovacova, upper right, and Dr. Denny Liu, bottom, analyze tissue samples at the Sanford Burnham Medical Research Institute in Lake Nona, Fla.",,,Newspaper,Copyright 2014 P.G. Publishing Co.
,fat,diet,brown,burn,ms,study,peptide,percent,metabolism,many,heart,body,dr.,collin,way,cooler,help,obesity,calory,smith,eat,cold,boost,increase,natriuretic,look,take,protein,go,try,room,Collins,researcher,scientist,promise,research,hormone,finding,dr,director,institute,may,make,high,blood,pressure,exercise,mechanism,lower,patient,level,activate,find,human,healthy,change,compare,show,people,understand,environment,four,carbohydrate,subject,nutrition,aim,center,carb,sleep,cool,warm,Orlando,TRI,American,low_carb,best,holy,grail,metabolic,americans,fla.,forefront,field,caveman,space,potentially,discovery,reverse,nation,twin,epidemics,diabete,consumer,person,determine,factor,affect,steve,scientific
,18,9,9,7,7,7,6,6,5,5,5,5,5,5,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"December 3, 2014 Wednesday",300 of 454 DOCUMENTS,Pittsburgh Post-Gazette,CURBING FOSSIL FUEL USE NOT THE WAY TO GO,Alex Epstein,EDITORIAL; Pg. A-8,,671 words,,,"December 4, 2014",ENGLISH,,,,,,Newspaper,Copyright 2014 P.G. Publishing Co.
,fossil,fuel,percent,energy,human,world,use,power,history,access,country,increase,better,life,advance,we,last,innovation,make,progress,affordable,America,generate,limit,usage,praiseworthy,take,source,oil,coal,natural,gas,economic,technological,less,trend,develop,improve,clean,water,population,seem,cheap,ultimately,point,death,depend,abundant,thus,China,well_being,fuel_generated,question,pennsylvanian,ponder,good,state,electricity,wager,many,politician,bureaucrat,direct,policy,full,display,earlier,president,announce,reach,agreement,carbon,dioxide,emission,primarily,effort,broad,support,general,public,recent,poll,show,voter,reduce,something,have,spend,part,research,pro,con,inescapable,conclusion,morally,ramp,understand,step,back
,16,14,8,8,7,7,6,5,4,4,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"January 18, 2014 Saturday",306 of 454 DOCUMENTS,Pittsburgh Post-Gazette,PUTIN: GAYS SAFE AT OLYMPICS IF THEY 'LEAVE KIDS ALONE'; HUMAN RIGHTS AN ISSUE AT WINTER GAMES BECAUSE RUSSIA PASSED 'PROPAGANDA' LAW,"Kathy Lally, The Washington Post",WORLD; Pg. A-14,,731 words,,,"January 22, 2014",ENGLISH,,,,,,Newspaper,Copyright 2014 P.G. Publishing Co.
,gay,law,Russia,child,rights,olympic,gays,president,putin,volunteer,mean,issue,propaganda,ban,homosexuality,people,fear,group,game,ask,might,human,among,country,relation,United_States,U.S.,friday,leave,alone,subject,provoke,activist,prohibiting,nontraditional,sexual,minor,away,lesbian,mr.,protest,think,thing,media,full,world,uniform,rainbow,Mr._Putin,Western,nothing,long,mo,meet,mountain,venue,wish,success,session,attitude,toward,worldwide,controversy,offer,apparently,reassure,answer,visitor,feel,calm,ease,kid,please,phrase,intimation,prey,hardly,seem,kind,guarantee,seek,government,become,contentious,begin,feb,pass,last,practice,use,parade,curb,discussion,television,newspaper,younger,hear,read,teacher
,15,8,8,7,7,6,5,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"March 6, 2014 Thursday",311 of 454 DOCUMENTS,Pittsburgh Post-Gazette,BYLINE: From staff and wire reports,,BUSINESS; BUSINESS BRIEFS; Pg. D-1,,528 words,,,"March 6, 2014",ENGLISH,,,,,,Newspaper,Copyright 2014 P.G. Publishing Co.
,million,write,check,percent,gm,car,derailment,facility,corporate,last,report,cent,per,share,company,ignition,recall,oil,rank,new,2013,fourth,1.5,quarter,sale,document,demand,know,problem,paper,never,survey,likely,time,resign,information,wednesday,fine,state,train,feb,involved,crude,index,fall,february,Pennsylvania,pa.,ga.,real,estate,publication,create,finish,nation,348,expand,ampco,lose,loss,cite,writedown,value,chinese,joint,venture,result,aftertax,charge,4.2,flat,77.1,industrial,product,earn,3.3,net,income,rise,12.4,despite,drop,safety,regulator,turn,data,show,dangerous,link,death,investigate,handle,trigger,global,1.6,compact,acknowledge,trouble,decade
,6,5,5,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"June 25, 2014 Wednesday",321 of 454 DOCUMENTS,Pittsburgh Post-Gazette,A BANG-UP JOB; TOWER AT PNC PLAZA WORKERS LAUDED AT CEREMONY FOR FINE WORK IN HARSH CONDITIONS,"Mark Belko, Pittsburgh Post-Gazette",BUSINESS; Pg. A-8,,893 words,,,"June 25, 2014",ENGLISH,,,PHOTO: Bob Donaldson/Post-Gazette photos: THE CHERRY ON TOP/The final steel beam for the 33-story Tower at PNC Plaza is lifted into place Tuesday during the topping off ceremony in Downtown Pittsburgh. PHOTO: Ironworker Kirk Galloway signs the final steel beam for the 33-story Tower at PNC Plaza during the topping off ceremony.,,,Newspaper,Copyright 2014 P.G. Publishing Co.
,building,PNC,winter,work,beam,skyscraper,wind,snow,tower,watch,job,employee,cold,sheet,steel,elevator,time,floor,last,move,place,new,project,air,have,think,percent,city,endure,tool,glove,turn,corrugate,sail,ironworker,street,moment,construction,worker,headquarters,world,greenest,special,build,nice,part,something,mr.,eye,solar,summer,office,sort,guy,create,feature,space,allow,bring,fresh,mo,saulson,change,PNC_Plaza,Wood,Downtown,Pittsburgh,froze,icy,barrel,shaft,brutal,carpenter,tradesmen,erect,tuesday,pause,warm,far,different,short,ago,celebrate,milestone,newest,hard,hat,cell,phone,recording,score,ground,trim,flag,traditional,evergreen,tree,broom,signify
,10,8,7,7,6,6,5,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"July 20, 2014 Sunday",323 of 454 DOCUMENTS,Pittsburgh Post-Gazette,"HERB DOUGLAS: AN AGELESS FORCE; AT 92, OLYMPIAN FROM HAZELWOOD STILL PROSELYTIZING FOR GREATNESS","J. Brady McCollough, Pittsburgh Post-Gazette",SPORTS; Pg. A-1,,2355 words,,,"July 21, 2014",ENGLISH,,,"PHOTO: Herb Douglas takes off during one of his jumps at the 1948 Olympics. At 92, Mr. Douglas is the oldest living black Olympic medalist. PHOTO: Herb Douglas, far right, waits at the podium to be awarded the bronze medal for his performance in the long jump. PHOTO: Nate Guidry/Post-Gazette: Herb Douglas looks on as University of Pittsburgh athletic director Steve Pederson talks about Mr. Douglas' athletic and professional accomplishments. PHOTO: Hazelwood native Herb Douglas talks about winning the bronze medal in the long jump at the 1948 Olympic Summer Games in London.",,,Newspaper,Copyright 2014 P.G. Publishing Co.
,mr.,Mr._Douglas,mo,douglas,Herb,know,go,man,make,back,talk,take,family,Pittsburgh,Pitt,meet,friend,many,live,olympic,world,father,son,people,always,pederson,jr.,have,something,great,mose,life,way,think,time,mother,plan,follow,still,home,start,never,thing,job,work,black,put,everybody,gold,daughter,child,sr,run,along,track,win,really,joy,Mr._Pederson,may,athlete,grow,legacy,can,film,herb,team,help,college,stop,medalist,jump,president,best,birthday,remember,drive,age,join,football,other,give,learn,garage,four,large,around,need,show,young,offer,find,swim,person,move,later,award,athletics,kingdom
,15,15,13,12,12,10,10,9,9,8,8,8,8,7,7,6,6,6,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
