PUBLISHED_DATE,DOCUMENTS_INDEX,PUBLISHER,TOPIC,BYLINE,SECTION,SOURCE,LENGTH,DATELINE,SUMMARY,LOAD_DATE,LANGUAGE,CORRECTION_DATE,CORRECTION,GRAPHIC,TYPE,DOCUMENT_TYPE,PUBLISH_TYPE,COPYRIGHT
"September 30, 2003 Tuesday",3 of 283 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),RUSSIA PLAYS COY ON BACKING KYOTO CLIMATE PACT;  PUTIN SOURING HOPES FOR RATIFICATION SOON,"SUSAN B. GLASSER, THE WASHINGTON POST","WORLD, Pg.A-5",,703 words,MOSCOW,,"September 30, 2003",ENGLISH,,,,,,,Copyright 2003 P.G. Publishing Co.
,Russia,emission,country,percent,ratification,gas,Putin,pact,agreement,ratify,give,benefit,conference,global,greenhouse,treaty,protocol,economic,deal,stand,level,billion,Kyoto,president,warming,hold,environmental,ago,final,world,believe,climate,change,approval,delay,guarantee,speech,term,express,pledge,might,sometimes,warm,1990,far,share,limit,quota,Japan,refuse,commit,brush,aside,entreaty,enactment,landmark,accord,administration,refusal,endorse,international,curb,essentially,veto,effect,enough,account,many,scientist,cause,harmful,little,hope,backer,long,anticipate,face,bureaucratic,report,demand,open,government,closely,study,warn,part,complex,difficult,unclear,problem,general,back,1997,actively,quickest,possible,indication,decide,spell
,tl,car,Type_S,control,system,drive,luxury,climate,balance,thing,classic,2003,acura,trendy,either,particular,model,performance,base,price,amount,handle,bring,line,"33,960",automatic,audio,sedan,navigation,problem,transmission,fuel,appreciation,everything,class,elegance,sophistication,exterior,timeless,simple,design,faddish,interior,equally,elegant,find,unusual,bend,swoops,dashboard,odd,inscrutable,switch,gear,fabric,color,love,better,hurry,generation,go,away,sometime,start,september,prototype,concept,next,dramatically,different,sea,change,term,appearance,current,emphasize,new,larger,faster,engine,silver,"33,480",add,destination,charge,bottom,thousand,less,pay,competitor,full,leather,trim,bose,changer,steering,wheel,controls,mirror
,9,6,6,4,4,4,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"March 1, 2003 Saturday",105 of 283 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),FESTIVAL REDESIGN JETTISONS PAVILIONS,"MARY THOMAS, POST-GAZETTE ART CRITIC","ARTS and ENTERTAINMENT, Pg.C-6",,772 words,,,"July 14, 2005",ENGLISH,,,"PHOTO: Eric Mencher: Patrick Dougherty's ""Abracadabra,"" 2000, at Swarthmore College, is made of crabapple, sassafras and dogwood saplings. He'll build a work in Point State Park for the arts festival.",,,,Copyright 2003 P.G. Publishing Co.
,artist,exhibition,make,art,pavilion,work,festival,jury,change,show,hold,may,form,Pittsburgh,Talcott,three,have,return,artwork,media,other,longer,regional,overall,last,call,process,major,public,resident,two_dimensional,Reiss,obvious,sign,summer,river,absence,bright,yellow,decade,worry,include,elimination,know,better,future,use,long,overdue,problematic,inclement,weather,cover,keep,become,damage,purchase,function,well,small,larger,format,variety,employ,many,contemporary,compatible,height,depth,background,limitation,beyond,shabby,executive,director,several,cannibalize,shore,serviceable,plan,cost,estimate,determine,feasible,refurbish,concurrent,discussion,traditional,result,consolidate,juror,per,se,although,applicant,screen,participation,limited,region
,13,11,7,6,6,6,6,5,4,4,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"March 31, 2003 Monday",132 of 283 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),DUO OUT TO COMPETE CROSS COUNTRY FEAT,"DAN GIGLER, POST-GAZETTE STAFF WRITER","SPORTS, Pg.C-2 ON THE FRINGE",,1271 words,,,"April 1, 2003",ENGLISH,,,"PHOTO: Scoott Sehon, left, and Dave Bronfenbrenner are on the run.",,,,Copyright 2003 P.G. Publishing Co.
,Sehon,run,Bronfenbrenner,cross,country,Bucknell,college,trip,make,time,idea,mile,take,track,plan,Klim,across,mt,journey,every,five,runner,team,spend,go,along,shoe,name,bad,series,sport,buddy,highway,"5,663,680",foot,hair,enough,behind,have,bottle,couple,second,sehon,graduate,meet,distance,though,love,basketball,coach,guy,list,freshman,know,nut,word,place,way,hit,goal,debt,route,desert,interstate,follow,help,do,read,prepare,change,per,allow,crew,America,American,Oregon,Lebanon,Atlantic_Ocean,United_States,frequent,criticism,game,page,nothing,comedy,fit,newspaper,high,journalistic,integrity,effort,appease,critic,continue,amuse,interest,reader,introduce,feature
,12,11,10,7,7,6,5,5,5,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"May 2, 2003 Friday",135 of 283 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),PACIFICA BLOWS PLEASANT WIND OF CHANGE THROUGH CHRYSLER,,"BUSINESS, Pg.D-2 WHEELS",,832 words,,,"May 2, 2003",ENGLISH,,,"PHOTO: Don Hammonds takes the Chrysler Pacifica out for a test drive. (Photo, Page D-1)  PHOTO: (No Caption)",,,,Copyright 2003 P.G. Publishing Co.
,seat,row,Pacifica,car,look,quality,big,side,system,door,easy,back,DaimlerChrysler,chrysler,control,front,take,piece,panel,use,lever,flat,floor,2004,pacifica,new,go,product,squarely,folk,can,style,issue,make,inside,wood,aluminum,line,run,family,right,safety,highest,air,bag,protect,passenger,knee,driver,navigation,beneath,road,open,controls,switch,window,need,include,second,third,last,handle,seem,rear,option,turn,signal,positive,lower,room,price,drive,Mercedes,Chrysler,rear_seat,wind,today,auto,giant,officially,begin,marketing,harbinger,thing,breeze,blow,fine,consumer,bill,sport,tourer,aim,tired,minivan,abide,conventional,know,flashy,glamorous
,13,6,6,5,5,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"February 28, 2003 Friday",142 of 283 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),U.S. UNVEILS 'GREEN' COAL-FIRED POWER PLANT PROJECT,"ANDREW C. REVKIN, THE NEW YORK TIMES","NATIONAL, Pg.A-13",,395 words,,,"March 1, 2003",ENGLISH,,,,,,,Copyright 2003 P.G. Publishing Co.
,plant,coal,gas,power,greenhouse,new,plan,carbon,dioxide,exist,official,technology,atmosphere,emission,United_States,run,emit,global,project,call,consider,cost,percent,many,develop,country,billion,environmental,unless,prototype,extract,generate,electricity,Energy_Department,coal_fueled,announce,build,experimental,within,make,major,contributor,warming,step,toward,create,generation,extra,department,essential,secretary,spencer,abraham,vast,reserve,without,add,burden,produce,total,ton,release,human,still,vital,underpinning,economic,development,overseas,pilot,next,share,private,company,although,partner,enlist,outline,describe,scientist,group,industry,generally,laud,result,probably,change,status,quo,standard,force,owner,buy,equipment,president,reject,mandatory,restriction,voluntary
,9,6,6,5,4,4,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"April 28, 2003 Monday",146 of 283 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),N. POLE'S SHIFTING SCENERY ALLURING,"ANDREW C. REVKIN, THE NEW YORK TIMES","WORLD, Pg.A-1",,1067 words,"CAMP BORNEO, in the Arctic Ocean",,"April 29, 2003",ENGLISH,,,,,,,Copyright 2003 P.G. Publishing Co.
,ice,camp,pole,scientist,polar,mile,several,Russian,Borneo,ocean,set,shift,station,rise,lead,go,white,cap,visitor,tent,helicopter,place,however,seal,pop,north,data,instrument,remain,research,four,away,become,cold,yet,surface,satellite,trekker,everyone,way,tourist,climate,red,spot,bear,skier,oceanographer,grow,skydiver,fly,new,drift,home,open,water,around,time,provide,late,gawk,contest,pose,string,last,operator,beneath,try,condition,call,leave,ago,radio,week,North_Pole,Russia,long_term,Arctic,miles_long,thing,top,world,age,frigid,realm,milling,floe,form,atop,deep,unlike,country,basis,hegemony,terra,firma,carousel,guarantee,grant,short
,16,10,8,8,6,5,5,5,5,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"October 2, 2003 Thursday",150 of 283 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),CELEBRATE U.N. DAY WITH FOOD,,"FOOD, Pg.D-5 VINTAGE COOKBOOKS",,639 words,,,"October 4, 2003",ENGLISH,,,,,,,Copyright 2003 P.G. Publishing Co.
,United_Nations,world,recipe,cup,member,nation,president,mrs,use,teaspoon,committee,around,oct,1956,hope,organization,basic,need,little,collection,charter,1945,state,improve,include,aim,book,add,country,flag,cover,back,chairman,sift,flour,baking,soda,salt,cinnamon,ginger,sugar,egg,beaten,buttermilk,melt,shortening,molass,pan,lightly,minute,whip,bake,center,cream,United_States,U.N.,Favorite_Recipes,food,elusive,answer,peace,nonprofit,promote,observance,compile,publish,favorite,170,authentic,dish,belief,similarity,unite,human,being,far,difference,divide,time,represent,paperback,edition,previous,1951,ratify,other,purpose,global,community,strengthen,tie,among,communication,expand,understanding,enhance,security,meet,draw
,10,7,5,5,4,4,4,4,4,4,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"February 27, 2003 Thursday",165 of 283 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),"PUZZLING OVER SPRING CHOICES;  CLASSES COOK UP GLOBAL MENU OF ETHNIC, SEASONAL DELIGHTS","NANCY ANDERSON, POST-GAZETTE STAFF WRITER","FOOD, Pg.F-1",,2370 words,,,"February 27, 2003",ENGLISH,,,DRAWING: Ted Crow/Post-Gazette,,,,Copyright 2003 P.G. Publishing Co.
,p.m.,april,march,may,chef,6:30,a.m.,class,june,cooking,noon,age,start,three,Penny_Lawrence,july,technique,Alyson_Sprague,tuesday,chocolate,pastry,note,lunch,food,beginning,big,375,couple,easter,dinner,easy,unless,otherwise,10:30,time,hands_on,Carol_Tabone,Steve_McDonald,school,bread,nutroll,phyllo,cake,show,child,author,101,150,knife,per,brunch,next,generation,party,pasta,bring,fat,greek,wine,cost,teach,meal,pizza,kid,tea,spring,data,available,press,series,art,sauce,Kitchen,Kevin_Slane,Tony_Battaglia,Cindy_Scott,Andrea_Schrenk,William_Hunt,Terri_Helfer,Rita_Venturino,Jason_Culp,Eileen_Gilson,culinary,new,area,local,side,make,sausage,flatbread,bagel,de,cannoli,cheesecake,pie,dough,cookie,classic,tarte
,75,64,60,45,35,31,30,29,20,14,10,10,9,8,8,7,7,7,6,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"June 6, 2003 Friday",171 of 283 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),MUNCH GOES TO RAY'S MARLIN GRILL,,"ARTS & ENTERTAINMENT, Pg.33 MUNCH",,627 words,,,"June 7, 2003",ENGLISH,,,,,,,Copyright 2003 P.G. Publishing Co.
,Munch,to,check,time,notice,chicken,table,crust,Ray,FOM,kind,sight,appear,dining,room,bar,cap,baby,read,water,plastic,theme,begin,head,many,fill,menu,try,conch,chowder,little,sour,cream,salad,homemade,sandwich,top,pie,chunk,Marlin_Grill,love,identify,place,vertical,turquoise,neon,sign,scene,film,noir,set,everyone,tilt,long,enough,waitress,snug,hottie,glitter,back,wall,mural,female,skier,wear,swim,texture,complete,chin,strap,daisy,line,trail,frothy,wake,arm,identically,raise,wave,smile,uniform,crimson,soaking,dull,idiomatic,thud,dun,imagine,huge,shark,rise,beneath,la,jaw,iii,sequel,joint,resonate,level
,12,4,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"August 31, 2003 Sunday",182 of 283 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),THE UNWINNABLE IMPEACHMENT,,"EDITORIAL, Pg.B-1",,1313 words,,,"September 3, 2003",ENGLISH,,,"PHOTO: Jim Genco, concerned citizen.  PHOTO: The mayor in the middle.",,,,Copyright 2003 P.G. Publishing Co.
,mayor,city,murphy,official,remove,Pittsburgh,citizen,state,office,time,public,impeachment,provision,budget,work,problem,court,crisis,tax,spend,impeach,create,elect,signature,removal,charter,constitution,high,serious,convict,take,place,make,Jim_Genco,Murphy,might,effort,almost,fail,across,financial,sit,worry,indeed,outrage,political,collect,thousand,pursuant,home,set,last,municipality,law,number,meet,way,criminality,present,misbehavior,criminal,due,hearing,define,positive,duty,fiscal,vote,cure,federal,police,decision,lay,money,government,institution,proud,pay,service,starve,base,recent,past,strong,begin,hear,special,Senate,two_thirds,Pennsylvania,California,Tom_Murphy,City_Council,think,hard,labor,weekend,jump,onto
,16,16,12,11,8,8,7,7,6,6,6,5,5,5,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1
"September 9, 2003 Tuesday",184 of 283 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),A GROWING TREND IN HELPING MOMS NURSE;  MORE DOCTORS BECOMING LACTATION CONSULTANTS TO BOOST BREAST-FEEDING,JOSEPH D. WILCOX,"HEALTH, Pg.D-1",,1764 words,,,"September 10, 2003",ENGLISH,,,"PHOTO: Darrell Sapp/Post-Gazette: Dr. Todd Wolynn, who became a certified lactation consultant in Squirrel Hill, with 9-month-old Joshua Rosenthal Pandey, the son of one of his patients.  PHOTO: Breast-feeding confers a host of benefits to both mother and child.",,,,Copyright 2003 P.G. Publishing Co.
,mother,breast_feeding,lactation,doctor,woman,baby,hospital,percent,center,medical,new,milk,consultant,training,help,la,leche,nursing,support,league,many,need,provide,continue,initiative,Wolynn,breast_feed,make,study,breast,may,offer,become,certified,although,still,brent,infant,region,receive,feed,chapter,issue,county,six,increase,formula,find,service,program,council,rate,thing,show,benefit,health,community,right,among,extra,volunteer,people,hour,education,go,nurse,child,national,refer,within,give,cover,well,goal,U.S.,Breast_feeding,know,reduce,allergy,often,lack,family,hill,open,physician,assistant,pediatrician,take,rare,grant,create,dr,gutowski,someone,normal,course,difficulty,can,advice
,21,19,16,13,13,11,10,10,9,8,7,7,7,7,7,7,7,7,6,6,6,6,6,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"September 13, 2003 Saturday",185 of 283 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),"SECTION: NATIONAL, Pg.A-8 NATIONAL BRIEFS",,,,613 words,,,"September 15, 2003",ENGLISH,,,,,,,Copyright 2003 P.G. Publishing Co.
,vote,state,mph,Texas,kill,lawsuit,federal,wind,robbery,man,fire,four,girlfriend,shot,arrest,dismiss,file,hope,congressional,redistricting,republican,effort,violate,keep,president,member,basketball,player,major,missouri,gun,military,investigate,regulation,leave,duty,sen,week,160,storm,nation,Senate,no_confidence,Guantanamo_Bay,Florida,Hurricane_Isabel,fail,mich,open,convenience,store,apparently,botch,business,people,wounding,other,lead,authority,chase,corvette,residential,back,yard,crash,car,fleeing,foot,minute,later,police,act,lookout,thursday,night,clerk,customer,detroit,suburb,appeal,panel,democrat,senate,derail,new,round,argue,rule,change,law,fight,several,thwart,redraw,map,hurt,minority,representation,board
,6,4,4,4,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"September 21, 2003 Sunday",186 of 283 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),"FALL'S COLOR STORIES;  BEFORE SCIENCE, ORIGINAL TALES EXPLAINED SUMMER'S LEAVING","LILLIAN THOMAS, POST-GAZETTE STAFF WRITER","SCIENCE, MEDICINE, TECHNOLOGY, Pg.C-1",,819 words,,,"September 23, 2003",ENGLISH,,,Drawing: Daniel Marsula/Post-Gazette:,,,,Copyright 2003 P.G. Publishing Co.
,leave,fall,color,tree,bear,winter,start,red,spring,part,week,chlorophyll,carotenoid,explain,summer,green,autumn,begin,gold,orange,turn,story,drop,frost,october,daughter,hunter,give,way,tuesday,look,appear,stop,produce,time,think,blood,sky,chase,night,kill,heaven,maple,indication,seasonal,demeter,version,despair,culture,northern,cold,study,temperature,early,thing,quite,wet,last,Earth,Abrams,human,use,draw,mother,grief,kidnap,persistence,group,account,spectacle,fiery,blaze,nature,irresistible,work,officially,take,long,weekend,drive,die,consult,web,site,devote,subject,attend,event,dedicated,read,article,regularly,substance,unmask,make,xanthophyll,anthocyanin,upon,people
,14,10,10,7,6,6,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"September 21, 2003 Sunday",188 of 283 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),"FALL'S COLOR STORIES BEFORE SCIENCE, ORIGINAL TALES EXPLAINED SUMMER'S LEAVING","LILLIAN THOMAS, POST-GAZETTE STAFF WRITER","MISCELLANEOUS, Pg.C-1",,819 words,,,"September 21, 2003",ENGLISH,,,,,,,Copyright 2003 P.G. Publishing Co.
,leave,fall,color,tree,bear,winter,start,red,spring,part,week,chlorophyll,carotenoid,explain,summer,green,autumn,begin,gold,orange,turn,story,drop,frost,october,daughter,hunter,give,way,tuesday,look,appear,stop,produce,time,think,blood,sky,chase,night,kill,heaven,maple,indication,seasonal,demeter,version,despair,culture,northern,cold,study,temperature,early,thing,quite,wet,last,Earth,Abrams,human,use,draw,mother,grief,kidnap,persistence,group,account,spectacle,fiery,blaze,nature,irresistible,work,officially,take,long,weekend,drive,die,consult,web,site,devote,subject,attend,event,dedicated,read,article,regularly,substance,unmask,make,xanthophyll,anthocyanin,upon,people
,14,10,10,7,6,6,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"October 10, 2003 Friday",191 of 283 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),"BYLINE: STEVE LEVIN, POST-GAZETTE STAFF WRITER",,"NATIONAL, Pg.A-1",,931 words,DALLAS,,"October 10, 2003",ENGLISH,,,,,,,Copyright 2003 P.G. Publishing Co.
,primate,Episcopal_Church,conference,action,current,leadership,conservative,church,leader,bishop,call,convention,leave,Anglican_Communion,summer,realignment,next,week,petition,take,support,place,read,general,percent,Anglican,Dallas,abuse,office,repent,reverse,confirmation,gay,priest,appeal,group,write,meeting,decision,majority,rev,v.,gene,robinson,blessing,present,attendee,faith,decide,part,new,extend,episcopal,mission,provide,intervention,longer,preside,statement,stand,participant,letter,tell,Archbishop,London,same_sex,American,Duncan,Robinson,Anderson,Florida,claim,worldwide,official,guide,anglicanism,small,key,clergy,laity,behind,hammer,deliver,emergency,discuss,episcopalian,triennial,confirm,allow,tacit,approval,lead,w.,duncan,jr.,"2,700",copy,sign,president
,11,10,6,6,5,5,5,5,5,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"October 29, 2003 Wednesday",195 of 283 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),"NO INTIMIDATING U.S., BUSH SAYS;  AMERICA WON'T LOSE 'WILL' AS ATTACKS IN IRAQ MOUNT","ANN MCFEATTERS, POST-GAZETTE NATIONAL BUREAU","NATIONAL, Pg.A-1",,1043 words,WASHINGTON,,"October 29, 2003",ENGLISH,,,PHOTO: Charles Dharapak/Associated Press: President Bush makes his way to yesterday's news conference in the Rose Garden at the White House.,,,,Copyright 2003 P.G. Publishing Co.
,Iraq,Bush,president,war,attack,United_States,America,americans,make,life,military,insist,defend,policy,percent,kill,effort,ask,terrorist,intelligence,condition,may,still,whether,U.S.,strategy,drive,remain,ready,debate,peaceful,free,secure,foreign,confident,another,despite,work,go,cross,around,support,occupation,force,repeat,sept,2001,show,state,permanent,strike,innocent,declare,administration,job,troops,know,ingenious,staff,way,decision,need,level,change,improve,woman,nearly,find,security,reporter,economy,bush,ban,abortion,Baghdad,Saddam,rise,garden,news,conference,parallel,mount,death,dangerous,place,presidential,candidate,issue,relish,record,appropriate,time,world,leadership,begin,describe,publish,survey,tell
,17,14,5,5,5,5,5,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"December 5, 2003 Friday",200 of 283 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),THIS TITAN MAY WELL BE KING OF TRUCKS,,"BUSINESS, Pg.C-3 WALLET WATCHERS",,827 words,,,"December 6, 2003",ENGLISH,,,"PHOTO: Nissan's Titan King Cab, a challenge to domestic trucks.",,,,Copyright 2003 P.G. Publishing Co.
,Titan,pound,model,new,pickup,put,price,system,Nissan,go,truck,2004,competitor,make,find,torque,power,well,able,xe,base,front,seat,`,awfully,way,product,feature,field,nissan,titan,larger,many,important,market,hard,thing,point,buyer,may,conclusion,full,look,towing,maximum,ford,figure,horsepower,push,consider,performance,edge,engine,available,might,bit,payload,quite,else,lot,storage,driver,rear,adjustable,rack,inside,full_size,Tundra,Chevy,Titan_King_Cab,road,less,travel,company,resolutely,successfully,design,unusual,try,approach,launch,genuinely,domestic,foreign,manufacturer,crack,import,stereotypical,think,small,ugly,underpower,lightweight,americans,overseas,hardly,sell,potential,change
,9,8,6,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"December 21, 2003 Sunday",204 of 283 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),"HOW THE STEEL CITY CAN BECOME THE 'INNER COAST' OF FILM MAKING;  IF WE WANT PEOPLE TO MAKE MOVIES HERE, STATE AND LOCAL GOVERNMENTS NEED TO PROVIDE TAX BENEFITS, TODD ECKERT SAYS.",,"EDITORIAL, Pg.E-3",,567 words,,,"January 3, 2004",ENGLISH,,,"PHOTO: In the beginning: George A. Romero, writer/director, filmed the cult film favorite ""Night of the Living Dead"" here in 1968.",,,,Copyright 2003 P.G. Publishing Co.
,industry,film,production,tax,create,business,way,location,country,state,make,commodity,cost,Pennsylvania,lawmaker,entice,region,best,benefit,part,remain,hub,much,value,initiative,elevate,product,boom,stimulate,ever,media,development,income,bring,pittsburgh,drive,city,dollar,Pittsburgh,Canada,push,economically,environment,crucial,ongoing,participation,whatsoever,enticement,directly,pennsylvania,general,specifically,source,funding,place,initiate,historical,foothold,financial,mean,wood,set,lighting,equipment,transportation,frequently,choose,provide,money,recently,pass,example,position,less,expensive,concept,runaway,particularly,suggest,certain,malevolence,irresponsibility,filmmaker,outlook,unfair,escalate,certainly,rise,steadily,major,company,case,producer,must,strive,cut,wherever,possible,embraced
,9,7,6,5,4,4,4,4,4,4,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"August 19, 2003 Tuesday",206 of 283 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),RATES VS. RISKS;  THURSDAY'S MASSIVE BLACKOUT SPARKS CALLS FOR RE-REGULATION TO ENCOURAGE POWER COMPANIES TO UPGRADE LINES. THE BOTTOM LINE? HIGHER RATES,"BRAD FOSS, THE ASSOCIATED PRESS","BUSINESS, Pg.C-9",,882 words,WASHINGTON,,"August 20, 2003",ENGLISH,,,"PHOTO: Gene J. Puskar/Associated Press: Pennsylvania Power and Light's electrical line towers stood proudly atop Bald Eagle Mountain in Williamsport on Friday afternoon, oblivious to the blackout that hit elsewhere a day earlier and stretched from New York City to Michigan. The massive power failure has anxious authorities examining how to prevent more and how to pay for it.",,,,Copyright 2003 P.G. Publishing Co.
