PUBLISHED_DATE,DOCUMENTS_INDEX,PUBLISHER,TOPIC,BYLINE,SECTION,SOURCE,LENGTH,DATELINE,SUMMARY,LOAD_DATE,LANGUAGE,CORRECTION_DATE,CORRECTION,GRAPHIC,TYPE,DOCUMENT_TYPE,PUBLISH_TYPE,COPYRIGHT
"January 17, 2004 Saturday",7 of 305 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),"SUN, WIND AND CORN CUT UTILITY BILLS",,"LIFESTYLE, Pg.X-2",,1034 words,,,"January 17, 2004",ENGLISH,,,,,,,Copyright 2004 P.G. Publishing Co.
,solar,power,electricity,Tidwell,system,panel,cost,use,stove,percent,buy,price,house,roof,light,water,live,room,install,energy,family,home,hot,back,utility,electric,outage,add,increase,lot,manager,md,help,make,wind,amount,need,turn,go,estimate,provide,point,burn,gas,natural,corn_burning,Lahn,Spiliadis,meter,backward,credit,contractor,business,really,drive,last,have,renewable,appliance,warm,certificate,grid,household,many,people,plan,january,source,become,much,refrigerator,bulb,fluorescent,alone,reduce,wife,"17,000",grant,well,corn,oil,fire,two_story,wind_generated,energy_efficient,homeowner,sell,surplus,generate,local,spin,accrue,august,huge,blackout,across,widespread,storm,impetus
,job,show,hate,tonight,tv,Branson,feel,tax,clutter,yet,another,effort,frontline,make,marketing,know,particularly,eat,bread,lonely,pretty,apprentice,reality,guy,dream,good,enough,viewer,attention,end,explore,persuader,product,placement,market,research,entire,may,program,segment,already,consumer,question,ask,lot,political,interesting,air,last,war,message,billionaire,obnoxious,competition,quest,best,chance,business,player,perform,stunt,across,charismatic,figure,genre,task,host,rev,al,sharpton,REBEL,Fox,Spike,Sharpton,surely,have,notice,ad,environment,promo,distract,watch,simple,interrupt,programming,way,grab,every,break,advertising,actually,add,leave,noncommercial,ok,less,commercial,pbs,world
,9,8,7,6,5,5,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"October 25, 2004 Monday",119 of 305 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),TURZAI IS TERRIFIC,,"EDITORIAL, Pg.A-14 LETTERS TO THE EDITOR",,241 words,,,"October 28, 2004",ENGLISH,,,,,,,Copyright 2004 P.G. Publishing Co.
,city,region,make,business,leader,endorse,respect,call,Pittsburgh,Mike_Turzai,often,require,individual,stand,crowd,tough,recommendation,decision,experience,discuss,climate,well,financial,difficulty,rep.,mike,turzai,wood,show,creative,thinker,decisive,help,solve,fiscal,crisis,surprised,skill,record,accomplishment,oct,editorial,cline,eye,toward,regional,reform,gain,boldly,change,paradigm,threaten,environment,job,example,privatization,various,service,consistently,request,asset,sell,put,back,property,tax,roll,reduce,massive,debt,bill,establish,oversight,board,pass,wide,margin,bipartisan,support,sign,law,gov,ed,rendell,stay,old,course,expect,vibrant,successful,need,leadership,representative,whose,effort,voter,upcoming,election,donahue
,9,3,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"November 6, 2004 Saturday",122 of 305 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),MAYOR'S; REVISED; BUDGET; OK'D SPENDING PLAN SEEN; AS KEY TO TAX REFORM,Timothy McNulty Pittsburgh Post-Gazette,"LOCAL, Pg.A-1",,986 words,,,"November 6, 2004",ENGLISH,,,,,,,Copyright 2004 P.G. Publishing Co.
,city,tax,budget,Murphy,plan,board,million,approve,new,cut,percent,spend,revenue,state,reform,recovery,act,increase,fiscal,oversight,forward,include,council,use,legislature,approval,present,contain,future,december,change,operating,next,package,gambling,Pittsburgh,long_term,help,problem,unanimously,expense,office,infrastructure,time,effort,agree,team,keep,economic,go,part,secretary,member,long,end,continue,department,business,contemplate,economically,425,clear,way,monday,must,support,issue,exist,worker,elimination,salary,property,add,drop,2007,slot,legislation,fee,deed,transfer,name,governor,state_appointed,City_Council,assign,revise,2005,2009,blueprint,seek,mayor,tom,murphy,several,request,largely,elect,improvement,mean
,22,19,18,14,12,11,11,9,9,9,8,7,6,6,5,5,5,5,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"February 2, 2004 Monday",131 of 305 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),BE OUR VALENTINE,,"LIFESTYLE, Pg.B-2 SEEN",,408 words,,,"February 2, 2004",ENGLISH,,,PHOTO: John Heller/Post-Gazette photos: Dennis Huber  PHOTO: Penny Holden  PHOTO: Co-chairs Mike and Debbie Barbarita  PHOTO: Co-chairs Steve and Bev Elliott  PHOTO: Kweilin Nassar and Denis Colwell  PHOTO: Connie and Gary Brandenberger,,,,Copyright 2004 P.G. Publishing Co.
,evening,director,orchestra,music,everyone,concert,valentine,board,turn,executive,Mike_Barbarita,Steve,Bill,Scott,mine,message,friday,go,woong,sweet,sound,horn,resist,gem,make,right,ton,place,road,tour,amazingly,hear,though,local,date,frequent,venue,geographically,diverse,enough,melt,harden,heart,excerpt,opera,rcbb,swing,style,substance,guest,invite,benefit,time,chair,wife,event,respective,company,underwrote,begin,cocktail,hor,dwoeuvre,silent,auction,continue,perfect,winter,dinner,dining,room,cream,mushroom,soup,filet,mignon,pretty,dessert,warm,toasty,heat,high,open,number,short,design,dazzle,perform,vocal,highlight,pluck,audience,hand,whistle,someone,play,remind,much,applaud
,3,3,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"February 15, 2004 Sunday",132 of 305 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),THE BEST AND BRIGHTEST ARE RIGHT HERE,,"EDITORIAL, Pg.E-3 OUT AND ABOUT",,369 words,,,"February 18, 2004",ENGLISH,,,,,,,Copyright 2004 P.G. Publishing Co.
,find,another,Pittsburgh,four,young,study,think,work,rural,third,fourth,media,service,world,school,other,creative,nonfiction,University,Africa,American,outstanding,graduate,student,summer,bring,sunshine,life,cold,uninspiring,pittsburgh,morning,chunk,dirty,slippery,ice,strew,street,systematically,suppress,go,warm,weather,orphanage,root,man,kenya,situation,examine,african,unfortunately,scholarship,grab,offer,program,member,panel,assign,task,choose,among,choice,make,enormously,difficult,array,candidate,inspiring,fact,show,resume,record,people,include,privilege,higher,education,spend,poorest,country,earth,teach,high,english,community,organization,ga,interview,discuss,relative,merit,least,vote,bury,dig,far,corner,corps,volunteer
,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"July 25, 2004 Sunday",139 of 305 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),"BEATING THE MOTIVATIONAL DRUM;  DRUMMER FOR CHER, OTHERS HOPE TO CRACK INTO THE ELITE RANKS OF MOTIVATIONAL SPEAKERS","ALANA SEMUELS, PITTSBURGH POST-GAZETTE","BUSINESS, Pg.C-1",,1389 words,,,"July 26, 2004",ENGLISH,,,"PHOTO: Mark Schulman -- ""I just want to change the world one by one.""
PHOTO: Cher drummer Mark Schulman bangs away at a recent motivational speaking seminar.",,,,Copyright 2004 P.G. Publishing Co.
,Schulman,people,speaker,drum,life,make,audience,motivational,corporate,world,speak,Cher,Wallace,company,level,woman,business,performance,band,another,show,drummer,let,lesson,help,success,story,tour,gig,break,experience,market,become,much,great,hear,man,go,goal,play,Goulet,chair,exist,shout,yell,succeed,use,music,recent,history,try,celebrity,mean,start,consider,expert,book,seminar,something,sign,big,everyone,next,add,topic,every,list,give,beginner,keynote,speech,money,bleier,image,change,realize,member,take,learn,talk,think,need,touch,time,know,ask,energy,hope,rock,star,set,scene,ultimately,marketing,hit,concept,Mark_Schulman,Bridgeville,Los_Angeles
,16,11,11,9,8,8,7,7,6,6,6,6,6,5,5,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"October 25, 2004 Monday",147 of 305 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),"FORGET FLORIDA,WE'RE GOING TO MEXICO GROWING NUMBER OF RETIREES HEADINGSOUTH OF THE BORDER TO LIVE",Seth Sutel The Associated Press,"BUSINESS, Pg.D-17",,930 words,,,"October 25, 2004",ENGLISH,,,"Associated Press Robert Fulton, a manufacturing and construction retiree, enjoys a walk in Ajijic on the shores of Lake Chapala in Mexico. He and his wife settled in a little village on the shores of Lake Chapala called Mirasol, where they found a thriving community of retirees, many from the United States.",,,,Copyright 2004 P.G. Publishing Co.
,country,go,people,retiree,move,Mexico,many,place,retirement,less,United_States,U.S.,retire,live,home,migration,americans,Fulton,little,comfortable,part,grow,become,lifestyle,town,area,resident,population,Lake_Chapala,never,wife,shore,find,community,native,life,back,another,demographer,trend,usually,migrant,seek,popular,weather,age,money,far,medical,care,city,nearby,certain,enjoy,past,communication,track,professor,better,consider,language,newcomer,can,tell,side,continue,American,University,travel,time,career,manufacturing,contractor,think,nonetheless,settle,village,call,thrive,wonderfully,ill,choose,spend,expensive,complicated,fulton,believe,magnet,young,opportunity,increasingly,destination,attractive,reason,beach,warm,economics,million,baby
,9,8,8,7,7,7,6,6,6,6,6,6,5,5,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"November 13, 2004 Saturday",148 of 305 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),BRACING FOR THE BILLS HOMEOWNERS TAKING PREVENTIVE MEASURES TO DEAL WITH EXPECTED HIGH WINTER HEATING COSTS,Brad Foss The Associated Press,"BUSINESS, Pg.C-10",,487 words,,,"November 13, 2004",ENGLISH,,,"Denver resident Barbara Vuletich, 78, right, shown with her 85-year-old friend, Lillian Callender, is concerned about rising natural gas prices but remains philosophical, too. ""It doesn't make sense, but it's not about what you want,"" she said ""It's what you get.""
David Zalubowski/Associated Press",,,,Copyright 2004 P.G. Publishing Co.
,oil,price,heating,winter,gallon,percent,home,fall,natural,gas,expect,pay,temperature,cost,ago,crude,future,Energy_Department,window,plastic,rather,thermostat,barrel,october,homeowner,higher,fuel,bill,week,lot,look,average,per,high,refine,due,Sadlowski,stay,warm,without,go,break,apology,decorate,maven,insulate,mass,sheet,similarly,motivate,r.j.,moore,mo,bundle,indoors,crank,although,nearly,peak,brace,sharply,estimate,customer,last,rely,predict,normal,state,condition,throughout,unless,warmer,next,five,reason,we,think,economist,statistical,wing,people,take,step,make,energy,efficient,know,good,around,flap,wind,ask,extra,100,cook,install,digital,accurate,control
,10,6,6,5,5,4,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"September 30, 2004 Thursday",150 of 305 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),GREEN TOMATOES ARE ESSENTIAL TO FAMILY'S MINCEMEAT TRADITION,"MARLENE PARRISH, PITTSBURGH POST-GAZETTE",FOOD; Pg. B-1,,1030 words,,,"August 2, 2008",ENGLISH,,,PHOTO: Lake Fong/Post-Gazette: Susan Barclay displays her green tomato mincemeat pie. PHOTO: Martha Rial/Post-Gazette: Green tomato mincemeat is jarred for holiday recipes.,,,Newspaper,Copyright 2004 P.G. Publishing Co.
,pie,make,mincemeat,mince,crust,use,jar,tomatoe,recipe,fill,kettle,meat,prepare,cup,green,mix,top,add,pound,Barclay,mother,cook,ground,can,pint,plate,dough,combine,minute,pastry,family,time,last,enough,suet,sugar,beef,right,edge,turn,freeze,large,brown,salt,teaspoon,water,place,stir,heat,kitchen,tomato,long,think,find,call,spice,bit,usually,need,balance,flavor,sweet,bake,crisp,way,finish,easy,bottom,pan,cut,around,leave,disk,store,sterilize,thanksgiving,chop,percent,core,apple,raisin,vinegar,tablespoon,cinnamon,clove,nutmeg,transfer,food,processor,drain,boil,mixture,ready,pot,thick,cool,together,metal,GREEN
,20,19,14,12,10,9,8,8,7,6,6,6,6,6,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"January 19, 2004 Monday",156 of 305 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),"RETREAT OWNER CALLS IT A NIGHT;  FAYETTE DESTINATION HOSTED SWINGERS, ENRAGED NEIGHBORS","CINDI LASH, PITTSBURGH POST-GAZETTE","LOCAL, Pg.A-1",,1329 words,,,"January 20, 2004",ENGLISH,,,,,,,Copyright 2004 P.G. Publishing Co.
,Wajda,zone,county,neighbor,place,bed,breakfast,property,permit,never,run,fight,group,go,other,use,allow,commissioner,Fayette_County,Mountain_Retreat,live,tired,call,warmer,owner,lodge,work,sell,swinger,have,social,couple,wajda,patron,board,legal,club,operating,operate,business,facility,revoke,former,pool,spend,close,still,air,seek,plan,move,buyer,take,official,community,old,early,adult,sex,village,web,site,advertise,newspaper,charge,party,room,dance,private,single,find,although,retreat,agricultural,change,kind,opposition,quietly,grow,nearby,people,might,interesting,area,recreational,status,oppose,court,public,service,state,certificate,inn,attorney,citizen,drop,later,make,happen
,18,11,10,6,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"July 8, 2004 Thursday",166 of 305 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),"COLORS, SPICES OF HER NATIVE AFRICA WARM HIGHLAND PARK WOMAN'S COOKBOOK","ERVIN DYER, PITTSBURGH POST-GAZETTE","FOOD, Pg.D-1",,2250 words,,,"July 10, 2004",ENGLISH,,,PHOTO: John Heller/Post-Gazette: Zainabu Kpaka Kallon arranges a platter of Green Check Rice.,,,,Copyright 2004 P.G. Publishing Co.
,rice,Kallon,make,cook,coconut,ngeh,add,cup,water,heat,school,boil,taste,mix,serve,hot,chicken,flour,okra,sauce,ginger,white,spinach,child,put,Sierra_Leone,story,akara,dish,milk,people,chop,Zainabu,village,woman,food,use,bring,African,African_Cookbook,home,lemon,tell,know,clove,sweet,pepper,fresh,remove,whole,medium,oil,bowl,mixture,pot,along,cover,peanut,recipe,culture,stew,vegetable,wheat,eat,way,little,cool,cold,speak,language,turn,mixing,well,pound,minute,Fresh,soft,country,long,brittle,bread,gingerbeer,dad,mushroom,garlic,pick,good,warm,world,batter,send,family,grain,son,better,baking,soda,sugar,ingredient
,21,18,17,16,15,14,14,14,13,12,11,11,11,11,10,10,9,9,9,9,8,8,8,8,8,8,7,7,7,7,7,7,7,6,6,6,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
"August 10, 2004 Tuesday",170 of 305 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),FAIR TELECOM PRICING NEEDED,,"BUSINESS, Pg.C-16 LETTERS TO THE EDITOR",,199 words,,,"August 10, 2004",ENGLISH,,,,,,,Copyright 2004 P.G. Publishing Co.
,telecommunication,change,real,need,competition,grow,industry,pricing,telephone,choice,Pennsylvania,piece,varied,fcc,engineering,july,miss,boat,status,concerned,snail,pace,face,complete,elimination,dissolution,1996,move,toward,policy,author,suggest,player,willing,initiate,fair,case,past,verizon,indication,anything,future,job,lose,suffer,hand,regulation,rather,mix,message,allow,monopoly,larger,expense,ratepayer,indeed,climate,surround,ripe,let,hope,regulator,serious,make,sure,pennsylvanian,able,benefit,competitive,access,technology,segregate,geographic,location,Industry,No,Telecommunications_Act,market_oriented,pro_competitive,ever_litigious,Washington
,4,3,3,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"September 2, 2004 Thursday",173 of 305 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),PITT TO OFFER SAME-SEX HEALTH BENEFITS,"BILL SCHACKNER, PITTSBURGH POST-GAZETTE","LOCAL, Pg.A-1",,1016 words,,,"September 2, 2004",ENGLISH,,,,,,,Copyright 2004 P.G. Publishing Co.
,benefit,Pitt,employee,university,partner,offer,domestic,gay,include,rights,Pittsburgh,Nordenberg,decision,lawsuit,state,plaintiff,move,group,write,change,file,employer,protest,sign,time,law,case,discriminate,Temple,january,policy,major,legal,announce,1996,seven,many,campuse,faculty,memo,afternoon,draw,student,support,spokesman,great,call,last,public,premium,private,allow,number,cost,view,must,principal,aau,period,pitt,coverage,way,choose,development,good,challenge,commission,find,University,Pennsylvania,health,heterosexual,start,hail,breakthrough,fight,influence,lesbian,claim,discrimination,rather,result,competitive,pressure,give,provide,elite,research,vie,staff,disclose,though,unclear,conservative,legislator,staunchly,oppose,may,react
,16,16,10,10,9,8,7,7,7,7,7,5,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"February 24, 2004 Tuesday",180 of 305 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),FREDERICK MORGAN;  POET AND EDITOR OF PRESTIGIOUS HUDSON REVIEW,"ROBERT D. MCFADDEN, THE NEW YORK TIMES","OBITUARY, Pg.B-4",,629 words,,,"February 24, 2004",ENGLISH,,,,,,,Copyright 2004 P.G. Publishing Co.
,Mr._Morgan,editor,poetry,review,literary,book,publish,hospital,wife,many,art,magazine,poet,appear,founder,dozen,die,continue,six,literature,music,found,writer,e.,begin,work,century,survive,leave,age,volume,poem,line,step,take,walk,Hudson_Review,Deitz,Change,nation,prestigious,journal,author,friday,live,cause,respiratory,failure,quarterly,suffer,blood,disease,four,contract,pneumonia,week,ago,edit,manuscript,bed,recent,1948,era,educated,people,know,classic,recited,memory,dine,graduate,establish,unknown,cover,news,theater,dance,visual,academic,affiliation,political,ideology,back,beyond,bank,account,partner,eclectic,taste,willing,experiment,issue,feature,essay,r.p,dostoyevsky,cumming,1950,dismay
,9,7,7,5,4,4,4,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"October 31, 2004 Sunday",199 of 305 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),MAUNA KEA HOTEL IS TOPS IN BIG ISLAND LUXURY,"Eric Noland, Los Angeles Daily News",TRAVEL; Pg. K-1,,1868 words,,,"February 21, 2008",ENGLISH,,,"PHOTO: Christopher Reynolds/Los Angeles Times: The Mauna Kea Beach Hotel, which set the standard for the many luxury resorts that would follow in Hawaii, will celebrate its 40th anniversary next year.",,,Newspaper,Copyright 2004 P.G. Publishing Co.
,hotel,room,Mauna_Kea_Beach_Hotel,resort,guest,Hawaii,water,lava,along,though,course,ocean,Rockefeller,Hawaiian,rockefeller,find,island,end,breeze,door,available,make,beach,orange,tennis,might,gentle,set,standard,point,big,terrace,art,much,morning,newer,small,little,towel,change,air,conditioning,music,sign,include,drive,view,luau,number,fish,highway,rate,360,ago,warm,rock,distance,die,many,luxury,follow,choose,well,crescent,sand,weather,per,next,string,south,wear,feel,away,specify,showcase,open,atrium,louver,dining,bar,ancient,work,display,grounds,tour,front,become,walk,afternoon,top,without,example,de,swim,good,allow,rough,food,edge
,14,11,9,6,6,6,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"October 13, 2004 Wednesday",200 of 305 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),SUBARU MODELS GET RAVE REVIEWS,,"BUSINESS, Pg.F-9",,582 words,,,"December 30, 2004",ENGLISH,,,,,,,Copyright 2004 P.G. Publishing Co.
,2.5,model,new,3.0,car,power,limited,include,outback,legacy,drive,gt,sedan,front,seat,air,bag,interior,l.l,leather,Outback,change,magazine,quite,great,ride,sporty,2005,several,wheel,fact,beautiful,corner,flat,system,better,control,automatic,side,standard,equipment,price,start,fuel,range,mile,per,gallon,city,highway,trim,clearance,inch,heat,moon,roof,Subaru,Legacy,Bean_Edition,know,thing,take,notice,good,contrary,always,durable,rug,reputation,winter,think,buff,rave,subaru,anxious,fuss,put,hour,behind,subarus,unlike,fast,handler,around,curve,test,250,horsepower,turbocharge,liter,boxer,engine,rocket,less,six,seconds,territory,response,instantaneous
,10,6,5,5,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"December 14, 2004 Tuesday",202 of 305 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),GROUP; HOPES; TO LASSO; BREEZES WINDMILLS MULLED; IN CAMBRIA COUNTY,Paula Reed Ward Pittsburgh Post-Gazette,"LOCAL, Pg.B-1",,876 words,,,"December 14, 2004",ENGLISH,,,,,,,Copyright 2004 P.G. Publishing Co.
,tower,wind,park,power,property,energy,developer,project,generate,plant,many,build,development,Cambria_County,Freedom_Wind_Energy,Rock_Run,purchase,site,windmill,director,company,though,three,least,state,200,electricity,400,use,go,recreation,may,clean,people,plan,install,several,enough,county,approval,megawatt,area,likely,along,initially,million,authority,another,executive,much,job,blade,potential,produce,know,way,Pennsylvania,New_York,Herbert,Somerset,Somerset_County,pa.,piece,earlier,rider,snowmobile,vehicle,horse,mountain,bike,play,host,dozen,generating,electrical,ride,trail,around,green,manage,select,develop,substitute,traditional,fossil,fuel,announce,early,stage,test,phase,begin,meteorological,next,week,data,collect,learn,plausible
,17,16,8,5,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"December 18, 2004 Saturday",204 of 305 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),RENDELL OPTIMISTIC; ABOUT TRANSIT HELP GOVERNOR EYES FEES; TO FUND AGENCIES,Timothy McNulty Pittsburgh Post-Gazette,"LOCAL, Pg.A-1",,748 words,,,"December 18, 2004",ENGLISH,,,"Steve Mellon/Post-Gazette Gov. Ed Rendell, right, laughs with Etna Borough Council President Peter Ramage, left, and Etna Mayor Tom Rengers shortly after the governor presented checks for nearly $2 million in disaster assistance yesterday.  Story, Page B-10",,,,Copyright 2004 P.G. Publishing Co.
,Rendell,tax,fund,state,help,budget,plan,next,transit,service,cut,use,city,mass,system,face,shortfall,increase,funding,agency,need,percent,work,highway,million,instead,money,business,call,relief,package,airline,bet,Port_Authority,Philadelphia,Pennsylvania,US_Airways,Pittsburgh,announce,week,fare,governor,power,long,solve,approve,warn,fee,hold,economic,development,enough,hurt,ultimately,talk,slot,machine,deliver,try,fiscal,revenue,start,receive,occupation,parking,annual,lower,utah,student,tired,Legislature,Harrisburg,Pitt,North_Carolina,gov,ed,guardedly,optimistic,little,available,bail,term,shortage,thursday,raise,base,cent,change,july,nothing,important,period,federal,legislature,new,obtain,driver,license,republican
,13,10,8,7,6,5,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"January 30, 2004 Friday",216 of 305 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),GUILTY PLEA ENTERED IN 'WRESTLING' DEATH,,"NATIONAL, Pg.A-8 NATIONAL BRIEFS",,586 words,,,"January 30, 2004",ENGLISH,,,,,,,Copyright 2004 P.G. Publishing Co.
,kill,fla,three,meet,air,company,virus,settlement,walk,mayor,teen,death,girl,put,help,authority,find,author,program,victim,web,site,clergy,abuse,case,child,woman,hero,wednesday,city,gunman,office,WASHINGTON,Microsoft,whose,life,sentence,playmate,stir,national,debate,treatment,juvenile,criminal,pleaded,guilty,murder,finalize,release,prison,beat,tiffany,eunick,almost,five,ago,decline,speak,offer,attorney,mother,claim,accidentally,imitate,professional,wrestling,move,television,pollution,report,despite,progress,clean,past,decade,federal,government,crack,group,pollutant,let,trade,rights,foul,sky,scientific,expert,quality,standard,take,account,climate,change,whenever,possible,sponsor,study,committee,cost
