PUBLISHED_DATE,DOCUMENTS_INDEX,PUBLISHER,TOPIC,BYLINE,SECTION,SOURCE,LENGTH,DATELINE,SUMMARY,LOAD_DATE,LANGUAGE,CORRECTION_DATE,CORRECTION,GRAPHIC,TYPE,DOCUMENT_TYPE,PUBLISH_TYPE,COPYRIGHT
"July 20, 2008 Sunday",1 of 396 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),BURY THE CARBON; IT WOULD COST EACH U.S. HOUSEHOLD ONLY A PENNY A DAY TO HELP SLOW THE PACE OF GLOBAL WARMING,EDWARD S. RUBIN,EDITORIAL; THE NEXT PAGE; Pg. G-6,,1531 words,,,"July 23, 2008",ENGLISH,,,INFORMATIONAL GRAPHIC: Stacy Innerst/Post-Gazette: STORING CARBON UNDERGROUND \ INFORMATIONAL GRAPHIC: James Hilston/Post-Gazette; U.S. Energy Information Administration: WHERE OUR ELECTRICITY COMES FROM,,,Newspaper,Copyright 2008 P.G. Publishing Co.
,CO2,capture,gas,plant,storage,climate,carbon,power,change,fuel,emission,greenhouse,fossil,use,electricity,technology,cost,percent,coal,bill,energy,formation,atmosphere,go,global,next,burn,run,way,three,project,need,add,measure,dioxide,make,less,include,important,thing,car,co2,mainly,keep,hour,shift,reduction,world,must,reduce,rock,large,however,industry,step,type,different,test,fund,radiation,approach,Climate,legislation,despite,support,major,link,warming,economy,many,policy,easy,meanwhile,atmospheric,level,continue,rise,future,much,bipartisan,billion,small,fee,require,really,generate,average,enjoy,another,nuclear,provide,source,account,renewable,electric,battery,scientist,serious,effect
"June 22, 2008 Sunday",153 of 396 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),"IOWA FLOODS: BAD LUCK OR BAD PLANNING?; CRITIC SAYS LANDSCAPE HAS BEEN RADICALLY CHANGED TO HELP AGRICULTURE,; MAKING IT MORE VULNERABLE TO FLOODING","JOEL ACHENBACH, THE WASHINGTON POST",NATIONAL; Pg. A-6,,1255 words,,,"June 24, 2008",ENGLISH,,,"PHOTO: Joe Raedle/Getty Images: Russ Veach carries a computer that he salvaged from his stepfather Keith Kuntz's flooded house yesterday in Oakville, Iowa. The Mississippi and Iowa rivers, overflowed their banks, inundating the town. \ \ PHOTO: Olson/Getty Images: Hogs with their snouts above flood water are trapped in a hog house Monday near Oakville, Iowa. Farmers along the Mississippi River in Iowa have been emptying their grain bins and evacuating their livestock as they prepare for record flooding. Oakville was forced to evacuate on short notice after a levee holding back the Iowa River gave way. (Photo, Five Star Edition) \ INFORMATIONAL GRAPHIC: FEMA; The Associated Press: (Large payments on flood loss)",,,Newspaper,Copyright 2008 P.G. Publishing Co.
,river,flood,flooding,foot,water,Iowa,rain,change,go,record,landscape,land,farmer,rise,levee,keep,thing,factor,state,farmland,Cedar,higher,field,fill,case,century,chance,move,surface,corn,stream,crop,may,plant,put,mr.,hit,iowa,town,force,system,happen,downtown,fall,downstream,enshayan,director,suspect,natural,really,point,plow,pipe,creek,wetland,floodplain,have,do,take,agriculture,still,bucket,end,use,profitable,vulnerable,iowan,environment,past,highly,sense,event,farm,closer,cover,2008,program,leave,deep,root,early,drainage,recent,effect,percent,sediment,deluge,june,previous,spring,small,meteorologist,lot,north,evacuation,wednesday,mile,mississippi,location
,11,11,9,8,8,7,6,6,5,5,5,5,5,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"January 21, 2008 Monday",167 of 396 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),SCHOOL PROGRESS; CITY TEACHERS HAVE A CONTRACT WORTH RATIFYING,,EDITORIAL; Pg. B-6,,358 words,,,"January 21, 2008",ENGLISH,,,,,,Newspaper,Copyright 2008 P.G. Publishing Co.
,teacher,school,contract,board,district,test,easy,student,learn,job,cut,change,agreement,top,salary,Pittsburgh_Public_Schools,usual,classroom,challenge,turn,onto,encourage,parental,involvement,save,energy,teach,smothered,bureaucracy,reform,program,push,superintendent,mark,roosevelt,majority,arrival,ago,building,close,reorganize,way,hard,system,fall,population,shift,demographic,climate,tolerate,tax,increase,necessary,amid,stress,pressure,pivotal,negotiation,conclude,tentatively,last,tuesday,negotiator,executive,vote,unanimously,recommend,ratification,saturday,union,member,informational,session,go,detail,good,operating,financial,straitjacket,professional,scale,annual,raise,"2,100",master,degree,end,"79,800",money,longevity,special,certification,extra,duty,coverage,continue,current,rate,employee
,7,5,5,3,3,3,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"March 4, 2008 Tuesday",177 of 396 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),PUNY PRIMATE QUITE A FIND FOR CARNEGIE PALEONTOLOGIST,"DAVID TEMPLETON, PITTSBURGH POST-GAZETTE",HEALTH SCIENCE MEDICINE AND TECHNOLOGY; Pg. A-1,,714 words,,,"March 4, 2008",ENGLISH,,,DRAWING: Mark A. Klinger/Carnegie Museum of Natural History,,,Newspaper,Copyright 2008 P.G. Publishing Co.
,fossil,dr,Beard,primate,North_America,Mississippi,study,find,provide,time,change,Europe,unearthed,migrate,tiny,land,bridge,make,research,sea,level,layer,sandstone,cause,Carnegie_Museum,Teilhardina,Asia,discover,discovery,career,triumph,live,gulf,coast,dig,older,insight,erosional,feature,reveal,eventually,tooth,collector,site,miss,involved,thin,long,teilhardinas,subtropical,mammal,Natural_History,Yale_University,smaller,mouse,little,character,leave,behind,oldest,ever,represent,paleontologist,arboreal,magnoliana,apparently,55.8,million,ago,major,episode,global,warming,way,later,version,turn,interior,rediscover,prove,fresh,earliest,appear,today,proceedings,science,bering,connect,different,type,inhabit,difficult,reconstruct,disperse,globally,climate,undergo,rapid,focus
,12,10,10,9,8,7,6,5,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"March 13, 2008 Thursday",179 of 396 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),"AMERICAN EAGLE MIMICS ECONOMY, GOING SLOW","Teresa F. Lindeman, Pittsburgh Post-Gazette",BUSINESS; Pg. E-1,,609 words,,,"March 14, 2008",ENGLISH,,,,,,Newspaper,Copyright 2008 P.G. Publishing Co.
,company,quarter,million,store,last,share,American_Eagle,retailer,per,business,line,sale,customer,new,fiscal,expect,cent,continue,percent,fashion,perform,economy,tough,value,jeans,key,president,chief,officer,plan,holiday,drop,earning,compare,style,slow,open,online,time,end,change,trend,approach,focus,item,ms,analyst,shift,think,take,current,investor,vs.,total,rise,billion,try,remind,find,pretty,good,quality,clothes,lot,markdown,moment,differentiator,merchandising,conference,call,discuss,difficult,fourth,manage,rough,start,profit,150.2,ago,140.5,reiterate,projection,slower,spring,teen,issue,exacerbate,consumer,spend,cautiously,many,growth,pull,back,way,reduce,inventory,level,exclude
,8,7,6,5,5,5,5,4,4,4,4,4,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"March 20, 2008 Thursday",181 of 396 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),OLYMPIC BOYCOTT WRONG TACTIC,Shelly Anderson,SPORTS; Pg. D-2,,753 words,,,"March 21, 2008",ENGLISH,,,,,,Newspaper,Copyright 2008 P.G. Publishing Co.
,olympic,China,boycott,Beijing,open,we,thing,good,sport,ceremony,chinese,maybe,political,game,might,look,reporter,Tibet,start,think,number,people,idea,force,protest,way,athlete,change,make,notion,rest,world,without,call,government,relation,press,freedom,let,hope,around,enough,end,need,lot,United_States,Chinese,Borders,Soviet_Union,less,five,8:08,p.m.,8/8/08,superstitious,eight,lucky,tiny,sliver,mountain,information,garner,mysterious,shroud,communist,country,billion,know,lead,paint,toy,taint,pet,food,vague,oppressive,climate,hear,abortion,infanticide,prisoner,dismal,human,rights,recent,uprising,seek,independence,spark,violent,clash,remind,rule,unrest,bring,surface,suggestion,least,sort
,11,9,5,5,4,4,4,4,4,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"April 16, 2008 Wednesday",184 of 396 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),SECTION: LOCAL; CITY; Pg. B-2,,,,695 words,,,"April 16, 2008",ENGLISH,,,,,,Newspaper,Copyright 2008 P.G. Publishing Co.
,million,pension,city,panel,mayor,president,ravenstahl,university,approve,fund,council,luke,work,include,expect,sentence,ms,trustee,new,Pittsburgh,Durham_Miller,propose,board,controller,three,employee,percent,child,fall,wife,erin,announce,pleased,aide,kickback,former,carlisle,speak,commencement,nobel,campus,lead,committed,honor,120,construction,engineering,wing,among,renovation,project,improvement,classroom,Carnegie_Mellon,Mr._Gore,change,unanimously,ordinance,mandate,sit,oversee,troubled,direct,relationship,pledge,sign,february,agree,together,joint,agenda,fuller,funding,write,legislation,currently,four,member,appoint,choose,police,firefighter,respectively,seat,replace,appointee,already,end,contain,386,862,cover,anticipate,payout,retiree,current,shortfall,compel,pay
,8,5,5,5,5,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"June 4, 2008 Wednesday",189 of 396 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),RETHINK BUSING,JON OLBUM Squirrel Hill,EDITORIAL; LETTERS TO THE EDITOR; Pg. B-4,,137 words,,,"June 5, 2008",ENGLISH,,,,,,Newspaper,Copyright 2008 P.G. Publishing Co.
,school,bus,cut,time,cost,back,neighborhood,problem,save,help,change,kid,local,perhaps,rethink,benefit,go,number,current,quickly,address,gas,diesel,fuel,pollution,thus,climate,issue,road,repair,commuter,wait,walk,attack,childhood,obesity,attend,bring,pride,involvement,money,plow,education,rate,nation,100,largest,district,percent,minority,student,worse,idea,good,happen,question,long,take,suit,admit,wrong,better,pass,word,drop_out
,5,3,3,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"August 10, 2008 Sunday",200 of 396 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),"THE ETHANOL DELUSION; ETHANOL IS GREAT IN BEER, BUT IT CANNOT REPLACE OIL",t KENNETH P. GREEN,EDITORIAL; PHOTO ILLUSTRATION; Pg. G-1,,1060 words,,,"August 12, 2008",ENGLISH,,,PHOTO ILLUSTRATION: Anita Dufalla/Post-Gazette:,,,Newspaper,Copyright 2008 P.G. Publishing Co.
,ethanol,corn,water,use,production,percent,require,gallon,gas,increase,land,million,price,oil,fuel,food,greenhouse,researcher,cellulosic,switch,emission,plant,grow,consumption,produce,make,grass,gasoline,tout,expand,local,air,pollution,energy,much,might,crop,billion,fertilizer,already,nitrogen,United_States,chemical,terrorist,farm,create,vastly,thing,fresh,solar,single,scale,point,square,either,recently,show,cellulose,barrel,per,couple,decade,clear,let,carbon,dioxide,kreider,february,calculate,estimate,meet,flow,science,policy,pesticide,runoff,hit,gulf,livestock,grain,economy,Ethanol,U.S.,America,Mexico,give,booze,kick,mankind,long,time,"8,000",stone,age,people,recognize,value,good,tipple
,26,13,11,9,9,9,8,8,7,7,7,6,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"September 11, 2008 Thursday",204 of 396 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),BYLINE: Scott Mervis; Adrian McCoy; Kate McCaffrey,,ARTS & ENTERTAINMENT; THE HOT LIST; Pg. W-2,,1166 words,,,"September 12, 2008",ENGLISH,"September 12, 2008",Robert Forster will perform his tribute to the Velvet Underground at the Andy Warhol Museum tonight. The date was incorrect in yesterday's Hot List.,"PHOTO: Autumn de Wilde: Sam Phillips will make a stop at Club Cafe Friday night. \ PHOTO: Franco Corso is part of the lineup at Festa Italiana at the Riverplex. \ PHOTO: ZZ Top was to headline a concert Friday at the Post-Gazette Pavilion with Brooks & Dunn, but the show has been postponed.",,,Newspaper,Copyright 2008 P.G. Publishing Co.
,p.m.,saturday,friday,child,cartoon,music,mayor,sunday,call,band,ticket,show,city,cartoonist,draw,ToonSeum,make,better,food,become,activity,three,a.m.,need,night,art,former,exhibit,political,include,documentary,gallery,benefit,go,underwater,Pittsburgh,Go_Betweens,weekend,little,question,last,home,feature,live,dance,stage,4:30,amici,7:30,gene,ferrari,8:30,1:30,man,postpone,back,travel,country,press,information,museum,event,editorial,hive,local,join,kid,take,rebel,army,soldier,force,center,screen,new,water,visitor,explore,learn,environment,effect,global,warming,way,tour,p.m,reef,talk,road,piano,play,Italian,Italian_Mass,Post_Gazette,McCoy,North_Uganda,International_Children,Invisible_Children,T_shirts
,22,10,8,7,7,6,6,5,5,5,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"September 14, 2008 Sunday",205 of 396 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),LIPSTICK ON A CROCODILE; THE ELECTION CAMPAIGN CONTINUES IN FULL FLIGHT FROM THE REAL ISSUES,Sally Kalson,EDITORIAL; Pg. G-3,,867 words,,,"September 17, 2008",ENGLISH,,,,,,Newspaper,Copyright 2008 P.G. Publishing Co.
,party,lipstick,pig,Mr._McCain,race,republican,put,state,begin,phrase,call,time,know,head,make,campaign,talk,we,turn,eye,charge,government,let,run,mate,people,never,reference,territory,change,mrs,anyone,another,beat,ask,primary,event,laugh,question,real,every,ms,life,claim,'em,community,nominee,thing,pregnant,unmarried,teens,symbolize,family,job,GOP,Sarah_Palin,Mr.,McCain,health_care,America,heat,back,forth,presidential,revolve,around,makeup,animal,idiotic,election,season,invent,movie,sheep,black,stocking,garter,belt,lot,answer,wonder,rather,creature,wear,spend,last,eight,tripling,deficit,hock,next,millennium,drive,dollar,sewer,invade,without,provocation,torture
,4,4,4,4,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"November 9, 2008 Sunday",214 of 396 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),Work; life balance suffers in downturn,Cindy Krischer Goodman,BUSINESS; WORKZONE; Pg. J-1,,532 words,,,"November 11, 2008",ENGLISH,,,,,,Newspaper,Copyright 2008 P.G. Publishing Co.
,work,firm,time,worker,thing,hour,many,put,important,life,balance,new,staff,workplace,dugow,manager,vacation,weekend,initiative,past,back,stay,job,right,change,head,longer,client,owner,whether,quickly,way,mr.,try,smart,instead,part_time,Challenger,Mr._Kobrin,downturn,quash,luxury,flexible,arrangement,wellness,telecommuting,become,parent,burner,possibility,cut,home,kid,hold,chief,executive,officer,christmas,global,outplacement,negotiate,sort,decade,embraced,launch,keep,talent,accounting,begin,offer,flex,appeal,law,promote,partner,schedule,company,adopt,policy,land,list,economy,course,determine,people,harder,turn,jack,trade,mo,already,resign,fla,week,theoretically,pressure,area,placement,manpower
,11,5,5,4,4,4,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"January 13, 2008 Sunday",230 of 396 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),"RENDELL VOWS; TO PRESS AHEAD; ON HEALTH CARE GOVERNOR'S NEW PLAN WOULD TAP PA. FUND; TO HELP NEARLY 800,000 UNINSURED ADULTS",Joe Fahy and Tom Barnes Pittsburgh Post-Gazette,LOCAL; Pg. B-1,,1400 words,,,"January 13, 2008",ENGLISH,,,Bob Donaldson/Post-Gazette Gov. Ed Rendell talks during an interview Thursday about his health care proposal.,,,Newspaper,Copyright 2008 P.G. Publishing Co.
,state,health,abatement,governor,insurance,program,MCare,plan,fund,doctor,coverage,cost,care,lawmaker,extend,Mr._Rendell,pay,malpractice,Cover_All_Pennsylvanians,Pennsylvania,legislator,uninsured,pennsylvanian,make,help,approve,many,tax,time,political,need,physician,official,Senate,offer,affordable,cover,new,million,last,medical,know,try,every,use,take,proposal,practice,hospital,estimate,improve,reduce,rendell,support,nearly,pass,available,little,interest,back,draw,week,willing,idea,action,agreement,reach,decline,march,bill,link,district,add,republican,turn,issue,"500,000",worth,concern,future,mo,suggest,continue,increase,pack,tobacco,billion,money,part,term,aim,progress,provision,nurse,infection,commission,acknowledge,believe,realize
,14,12,12,11,11,11,11,10,10,10,9,8,7,7,7,7,6,6,6,6,5,5,5,5,5,5,5,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"January 20, 2008 Sunday",237 of 396 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),"THE CHALLENGES AHEAD; PITTSBURGH HAS LAID A STRONG FOUNDATION FOR THE FUTURE, BUT WE MUST RESIST STATUS-QUO THINKING",JAMES E. ROHR,EDITORIAL; Pg. G-1,,1103 words,,,"January 22, 2008",ENGLISH,,,,,,Newspaper,Copyright 2008 P.G. Publishing Co.
,region,business,better,need,make,new,Pittsburgh,we,economy,opportunity,important,life,place,grow,service,growth,must,future,achieve,position,way,fact,many,country,resident,family,diverse,work,global,support,company,attract,economic,employer,government,less,provide,great,understand,pittsburgh,strength,forward,major,corporation,look,city,quality,world,income,rise,average,highest,last,metro,today,behind,housing,cost,enjoy,live,alone,much,high,put,market,100,five,number,home,base,include,advanced,leader,technology,among,expand,take,green,environmental,lead,development,nation,invest,transit,authority,hundred,force,competitiveness,ensure,continue,workforce,job,skill,child,idea,America,Pennsylvania,celebration,250th
,18,9,7,7,6,6,6,5,5,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1
"February 12, 2008 Tuesday",246 of 396 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),ONE ESTATE DIVIDED BY 20 EQUALS CONFUSION,Jan Warner and Jan Collins,LIFESTYLE; NEXT STEPS; Pg. D-2,,548 words,,,"February 16, 2008",ENGLISH,,,,,,Newspaper,Copyright 2008 P.G. Publishing Co.
,estate,tax,may,inheritance,state,beneficiary,uncle,leave,million,pay,die,levy,land,other,niece,nephew,equal,go,house,affect,asset,government,exceed,hand,benefit,require,receive,schedule,subject,federal,happen,2010,property,bring,undivided,interest,can,reason,U.S.,recently,name,executor,child,everything,share,surprised,learn,keep,drive,old,car,rarely,anywhere,small,farm,bank,account,worth,nearly,lawyer,help,handle,tell,understand,difference,easy,confused,talk,various,fact,death,often,use,interchangeably,although,quite,different,certain,level,personal,representative,depend,decease,person,live,enact,assess,favorite,example,effect,exemption,percentage,charge,though,vast,majority,special,attention,law
,21,15,8,7,5,5,4,4,4,4,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"March 6, 2008 Thursday",254 of 396 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),REPORTS OFFER EVIDENCE OF ECONOMIC SLUMP,"JEANNINE AVERSA, THE ASSOCIATED PRESS",BUSINESS; Pg. C-1,,669 words,WASHINGTON,,"March 6, 2008",ENGLISH,,,,,,Newspaper,Copyright 2008 P.G. Publishing Co.
,percent,quarter,report,economic,price,economy,last,demand,service,index,sharply,sector,new,january,increase,decline,business,oil,rise,billion,company,worker,labor,cost,drop,housing,credit,goods,fall,december,expect,three,show,second,weaken,manufacturer,final,pace,add,output,announcement,crude,bond,issue,tuesday,productivity,produce,every,rate,measure,efficiency,third,unit,pay,gain,U.S.,Commerce_Department,OPEC,factory,product,country,contract,fresh,evidence,hobble,crise,order,manufacture,2.5,deterioration,biggest,five,scale,back,spend,uncertain,environment,analyst,weakness,manufacturing,mostly,concentrate,costly,durable,merchandise,least,nondurable,food,clothing,edg,0.3,improvement,0.4,meanwhile,activity,nation,shrank,february,straight
,11,8,6,6,6,5,5,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"March 20, 2008 Thursday",258 of 396 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),MARKET PULLS BACK ON INVESTOR WORRIES,"TIM PARADIS, THE ASSOCIATED PRESS",BUSINESS; Pg. C-3,,643 words,NEW YORK,,"March 21, 2008",ENGLISH,,,,,,Newspaper,Copyright 2008 P.G. Publishing Co.
,fall,investor,percent,tuesday,credit,bank,billion,gain,point,market,price,stock,session,big,rise,decline,financial,economy,co.,move,late,rate,index,share,U.S.,Dow,back,sharply,previous,debt,expect,advance,world,system,company,transaction,investment,claim,news,government,dollar,help,time,sell,many,crisis,result,recent,cut,jump,earning,largest,trade,Morgan_Stanley,Lehman,Goldman,Fed,pull,erasing,grow,concerned,possibility,remain,vulnerable,problem,soured,industrial,average,nearly,300,420,retrenchment,huge,reflect,continue,uneasiness,talk,swirl,whether,off,file,lawsuit,involved,litigation,owed,3.1,plan,free,struggle,homeowner,quell,fear,stave,evaporate,course,decide,preserve,send,charge
,9,8,7,6,6,5,5,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"March 30, 2008 Sunday",259 of 396 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),12 MURDERED IN BRAZIL,,WORLD; WORLD BRIEFS; Pg. A-3,,526 words,,,"April 1, 2008",ENGLISH,,,,,,Newspaper,Copyright 2008 P.G. Publishing Co.
,kill,people,leader,seal,police,turn,hunt,friday,six,summit,Arab,tell,least,head,mr.,warn,gadhafi,open,look,rice,talk,peace,goods,world,light,hunter,fishing,vessel,Brazil,Israeli,West_Bank,Earth_Hour,boy,acknowledge,murdering,southern,accord,investigator,describe,chillingly,calm,confession,teenager,whose,identity,reveal,minor,allegedly,fit,rage,revenge,case,victim,date,sister,inspector,enough,evidence,prove,unemployed,high,school,dropout,initial,shot,riddling,body,bullet,authority,still,work,determine,interrogation,speak,frightening,someone,enjoy,plentz,pour,contempt,fellow,might,overthrown,former,president,mo,ramble,speech,bewilder,bring,reluctant,smile,face,next,stun,other,break,laughter,frankness
,6,5,5,5,4,4,4,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"April 17, 2008 Thursday",270 of 396 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),LIGHTNING DISCOVERED IN VENUS' ATMOSPHERE,"Dan Malerbo, Buhl Planetarium and Observatory",HEALTH SCIENCE MEDICINE AND TECHNOLOGY; LET'S TALK ABOUT:; Pg. F-7,,316 words,,,"April 18, 2008",ENGLISH,,,"MY GENERATION: For Kids, About Kids, By Kids",,,Newspaper,Copyright 2008 P.G. Publishing Co.
,Venus,lightning,planet,atmosphere,cloud,sun,sister,similarity,high,temperature,generate,discovery,planetary,scientist,know,venus,fragment,associate,water,sulfuric,acid,radar,carbon,dioxide,allow,Jupiter,Earth,second,often,refer,size,mass,density,volume,end,evil,twin,extremely,hostile,world,crush,air,pressure,mission,add,something,new,hellish,mix,confirmation,put,elite,company,currently,three,body,universe,earth,well,important,electrical,discharge,drive,chemistry,break,molecule,join,unexpected,way,unique,find,saturn,instead,blanket,keep,much,mystery,study,space,probe,explore,discover,heavy,toxic,100,time,greater,make,mostly,corrosive,surface,hottest,solar,system,scorch,900,degree,fahrenheit,cause
,10,6,5,5,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
