PUBLISHED_DATE,DOCUMENTS_INDEX,PUBLISHER,TOPIC,BYLINE,SECTION,SOURCE,LENGTH,DATELINE,SUMMARY,LOAD_DATE,LANGUAGE,CORRECTION_DATE,CORRECTION,GRAPHIC,TYPE,DOCUMENT_TYPE,PUBLISH_TYPE,COPYRIGHT
"April 2, 2006 Sunday",2 of 295 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),EXPECT LOW WATER FOR TROUT OPENER,DEBORAH WEISBERG,OUTDOORS; FISHING; Pg. D-15,,897 words,,,"April 8, 2006",ENGLISH,,,,,,Newspaper,Copyright 2006 P.G. Publishing Co.
,water,low,stream,rain,Swistock,spring,groundwater,precipitation,flow,open,good,weather,april,decade,toward,season,dry,accord,right,pattern,warm,earlier,global,warming,peak,move,temperature,tend,snow,quickly,especially,less,fall,go,ground,early,Pennsylvania,trout,clear,reflect,recent,expert,change,environment,storm,level,thing,march,climate,part,well,faster,rainfall,make,pack,fluctuating,normal,time,look,foot,far,system,creek,may,pretty,still,freestone,fracture,allow,recharge,consistent,pave,cold,presentation,bait,black,Western_Pennsylvania,likely,trend,tracking,climatic,impact,head,deficit,predict,resource,specialist,might,raise,temporary,take,last,driest,half,university,model,forecast,puzzle,1895
,10,7,7,6,5,5,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"September 19, 2006 Tuesday",93 of 295 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),"EXPERTS: LET MISSISSIPPI GO ITS WAY; RIVER SEDIMENT WOULD RESTORE MARSHES, BUT MAKING SHIPPING LANE IS A PROBLEM","CORNELIA DEAN ,THE NEW YORK TIMES",NATIONAL; Pg. A-7,,452 words,,,"September 19, 2006",ENGLISH,,,,,,Newspaper,Copyright 2006 P.G. Publishing Co.
,river,diversion,state,sediment,coast,way,marsh,idea,bring,delta,bird_foot,scientist,long,send,muddy,conven,far,grow,land,loss,need,meeting,mouth,coastal,carry,gulf,ms,reed,deep,water,square,mile,Louisiana,New_Orleans,restore,vanish,wetland,undo,elaborate,levee,system,controls,small,project,try,massive,flooding,wholesale,dismiss,impractical,unaffordable,lethal,region,economy,reconsidering,fact,group,researcher,april,consider,fate,recommendation,unanimous,divert,reject,official,embraced,motivate,lesson,fear,global,climate,change,rise,seas,accelerate,worse,weather,major,lower,part,something,do,deputy,secretary,respect,hanchey,plan,fall,well,downstream,tremendous,engineering,challenge,particularly,find,new,freighter,make
,7,5,5,5,4,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"October 1, 2006 Sunday",95 of 295 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),A NEW MIGRATION RECORD,Scott Shalaway,OUTDOORS; WILDLIFE; Pg. D-19,,697 words,,,"October 4, 2006",ENGLISH,,,,,,Newspaper,Copyright 2006 P.G. Publishing Co.
,shearwater,mile,sooty,bird,migration,area,wind,arctic,nest,south,record,average,distance,global,per,write,travel,across,head,north,annual,trip,journey,time,suggest,long,Shaffer,New_Zealand,figure_eight,tern,champion,migrant,along,coast,west,summer,complete,breeding,grounds,incredible,round,"22,000",shaffer,think,longest,geolocating,archival,tags,seabird,team,tag,pattern,span,fly,pacific,movement,productive,food,dive,migratory,make,species,oceanic,thanks,rate,hop,easterly,trade,move,winter,return,Antarctica,Pacific_Ocean,Pacific,stand,correct,week,ago,column,identify,grand,individual,eastern,wing,way,austral,weather,begin,deteriorate,circuit,total,length,measure,shortly,thereafter,receive,dr.,scott,research
,13,8,8,7,6,5,5,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"August 13, 2006 Sunday",108 of 295 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),STUDIES SHOW SEA LEVEL RISING FASTER THAN ASSUMED,The Washington Post,SCIENCE MEDICINE AND TECHNOLOGY; Pg. A-2,,167 words,WASHINGTON,,"August 14, 2006",ENGLISH,,,,,,Newspaper,Copyright 2006 P.G. Publishing Co.
,study,melting,ice,researcher,Greenland,rapidly,sheet,snowfall,sea,level,may,rise,faster,assume,global,increase,Antarctic,new,scientific,measure,pace,suggest,previously,papers,publish,thursday,journal,science,provide,latest,evidence,climate,change,transform,landscape,university,use,twin,satellite,determine,earth,second,largest,reservoir,fresh,water,rate,three,time,previous,five,separate,international,scientist,conclude,accumulation,remain,steady,past,might,mitigate,shelf,occur,take,together,report,indicate,though,base,data,Texas
,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"October 22, 2006 Sunday",111 of 295 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),WOULD INCUMBENTS' DEFEAT COST STATE DOLLARS?; REPUBLICANS ARGUE LOSS OF INFLUENCE WOULD BE SEVERE; DEMOCRATS SAY THAT'S A LOT OF HOOEY,James O'Toole Pittsburgh Post-Gazette,LOCAL; Pg. A-1,,1321 words,,,"October 23, 2006",ENGLISH,,,,,,Newspaper,Copyright 2006 P.G. Publishing Co.
,seat,committee,republican,state,member,spot,mr.,rep.,Pennsylvania,number,seniority,doyle,mean,House,democratic,hold,mo,region,powerful,go,majority,panel,Ways,Energy,tax,lose,help,hart,good,Commerce,take,clout,policy,fate,ability,bring,takeover,change,power,among,specter,key,project,democrat,congressional,loss,race,delegation,jeopardy,issue,district,new,position,Mr._Santorum,Medicare,ascend,line,check,big,deal,election,broad,bacon,many,outright,law,make,reimbursement,craft,major,consequence,caucus,senior,nov,really,argue,build,devastating,note,able,plant,sit,watch,think,five,pennsylvania,appear,survive,suffer,government,rep,way,murphy,appropriation,overall,vulnerable,prime,ms,fewer
,15,14,11,11,10,9,8,8,8,7,7,7,7,7,6,6,6,5,5,5,5,5,5,5,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"November 5, 2006 Sunday",113 of 295 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),CHANCE FOR CHANGE; THE VOTERS HOLD ALL THE POWER ON ELECTION DAY,,EDITORIAL; Pg. H-2,,764 words,,,"November 8, 2006",ENGLISH,,,,,,Newspaper,Copyright 2006 P.G. Publishing Co.
,district,policy,democrat,state,Iraq,americans,war,better,House,Pennsylvania,Bush,health,vote,republican,question,administration,senator,endorsement,view,tough,tax,unless,chance,president,put,change,make,raise,stay,course,send,pennsylvanian,senate,think,point,deficit,soar,deliver,government,minimum,wage,democratic,challenge,need,coverage,38th,pay,Republican,Washington,Rick_Santorum,White_House,angry,perturb,rise,cost,insurance,unsettled,job,economy,grouse,moan,call,radio,worth,nothing,tuesday,six,w.,bush,enabler,control,risky,path,keep,thing,ballot,show,independence,try,steer,away,failure,preach,realize,late,longer,member,unrelentingly,back,guarantee,nation,deserve,recap,plenty,twice,work,mother,teach,creationism
,21,5,5,5,5,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"June 6, 2006 Tuesday",123 of 295 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),"THE TOP 50: A DECADE OF EVENTS THAT ROCKED THE PITTSBURGH CULTURAL SCENE; FACED WITH A 10TH YEAR OF RANKING LOCAL ARTS AND ENTERTAINMENT FORCES, REBELLIOUS POST-GAZETTE CRITICS TAKE A LAST STAND, FOCUSING ON RESULTS RATHER THAN INDIVIDUALS","TIMOTHY MCNULTY, PITTSBURGH POST-GAZETTE",ARTS & ENTERTAINMENT; TOP 50; Pg. C-1,,5928 words,,,"June 8, 2006",ENGLISH,"June 7, 2006","A bond issue has generated $15 million for the Carnegie Library of Pittsburgh, whose $55 million capital campaign is ongoing. Those numbers were misstated in the Top 50 package yesterday.","PHOTO: Alyssa Cwanger/Post-Gazette: On a recent bustling Friday in the Downtown Cultural District, audience and cast members leave the Byham Theater after the Pittsburgh Youth Ballet's spring concert. \ PHOTO: Alyssa Cwanger/Post-Gazette: The Pittsburgh Youth Ballet performs ""Symphonia"" at the Byham Theater, at the edge of the Cultural District and one of the active venues within the Cultural Trust's purview. \ PHOTO: Alyssa Cwanger/Post-Gazette: Meghan and Kathy Austinson, center and right, enjoy a meal before ""Forbidden Broadway"" takes the stage at the Cabaret at Theater Square, part of Pittsburgh CLO's year-round local presence and one of the newest additions to the Cultural District. \ PHOTO: (For Nine Photos) (No Caption for any)",,,Newspaper,Copyright 2006 P.G. Publishing Co.
,art,Pittsburgh,new,cultural,theater,top,national,trust,become,group,music,list,last,make,million,building,continue,museum,past,city,play,local,force,decade,project,2004,director,three,take,district,radio,performance,include,move,2001,band,scene,bring,open,tour,programming,audience,festival,Trust,entertainment,artist,organization,world,lead,space,use,create,work,development,movie,help,expand,community,production,run,support,company,among,leader,people,1999,live,part,staff,event,way,town,plan,center,small,business,pittsburgh,summer,foundation,give,write,head,set,1998,premiere,back,put,gallery,five,president,across,housing,focus,real,renovation,turn,draw,neighborhood,night
,36,31,26,25,25,21,20,17,16,14,14,13,13,13,12,12,12,12,11,11,11,11,10,10,10,10,10,9,9,9,9,9,9,9,8,8,8,8,8,8,8,8,8,8,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
"June 11, 2006 Sunday",124 of 295 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),"WHEN DOING DECK, PAINTS BEST STAINS",Consumer Reports,BUSINESS; SHOP SMART; Pg. D-3,,604 words,,,"June 15, 2006",ENGLISH,,,,,,Newspaper,Copyright 2006 P.G. Publishing Co.
,paint,stain,normal,three,test,side,six,product,wood,weather,nine,appearance,semigloss,good,olympic,best,panel,exposure,testing,semitransparent,finish,flat,satin,mildew,dirt,color,change,cr,buy,Spred_Dura,go,house,coat,angle,wait,equivalent,surface,home,although,show,premium,fair,better,per,gallon,include,retain,resist,available,endurance,recommend,Glidden,True_Value,low_luster,exterior,multiple,pine,start,primed,untreated,place,coate,outside,yonker,n.y,headquarters,rack,face,south,watch,southern,vertical,thus,well,approximate,translate,reveal,generally,outlast,maintain,longer,latter,let,grain,provide,significantly,protection,grade,moreover,usually,worth,extra,cost,gloss,affect,performance,pick,prefer,match
,11,11,8,7,6,5,5,5,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"October 29, 2006 Sunday",129 of 295 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),WARM WEATHER KEEPS GLACIER FROM HOTEL DOOR,"John Tagliabue, The New York Times",SCIENCE MEDICINE AND TECHNOLOGY; Pg. A-2,,351 words,"GLETSCH, Switzerland",,"October 31, 2006",ENGLISH,,,,,,Newspaper,Copyright 2006 P.G. Publishing Co.
,glacier,expert,Mr._Carlen,village,summer,Gletsch,hurt,edge,hotel,hundred,surface,make,reach,century,little,mean,role,number,France,Switzerland,hear,local,tell,think,refer,love,family,member,decline,old,age,feeling,toward,vast,rhone,recede,several,yard,whose,soft,contour,dirty,gray,resemble,huge,sea,creature,whale,perhaps,rapidly,shrink,mild,autumn,weather,foot,eight,thousand,ago,largest,arm,way,indeed,remain,source,flow,westward,however,foresee,probably,six,mile,melt,away,nothing,shrinkage,consequence,owe,name,gletsch,existence,icy,behemoth,people,spend,winter,practice,law,nearby,town,begin,residence,spill,valley,almost,shrank,visitor,automobile,challenge,steam
,11,4,4,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"July 21, 2006 Friday",135 of 295 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),SECTION: LIFESTYLE; THE MORNING FILE; Pg. A-2,,,,1038 words,,,"July 21, 2006",ENGLISH,,,"PHOTO: Catherine Tozer/Pennywell Farm and Wildlife Centre: Pinky and Perky, 4-week-old piglets, cool off at Pennywell Farm and Wildlife center near Buckfastleigh in southwestern England with a cold-pack of carrots. Unlike many Britons overwhelmed by the heat wave, Pinky and Perky have no problem with the dress code.",,,Newspaper,Copyright 2006 P.G. Publishing Co.
,heat,wear,hot,go,people,sun,dress,Britain,long,leave,weather,week,London,1911,make,cope,wave,for,summer,water,must,old,keep,can,take,woman,mad,dog,englishman,time,bathing,rather,resort,country,however,suffer,scorch,railway,death,2003,baking,last,well,next,100,apoplexy,head,much,indoors,cold,seem,anything,extremely,short,stuffy,attitude,skirt,rule,protect,serve,pint,temperature,warm,stay,use,patch,really,think,vest,feel,put,look,know,midriff,tip,work,avoid,native,midday,twelve,Daily_Telegraph,flip_flop,British,hotter,endure,hottest,july,reminisc,languorous,prewar,skimpy,costume,sleeve,end,elbow,wrist,appearance,seaside,struggle
,12,7,7,7,6,6,5,5,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"September 12, 2006 Tuesday",139 of 295 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),"REPORT LINKS GLOBAL WARMING, HURRICANES","Martin Merzer, The Miami Herald",SCIENCE MEDICINE AND TECHNOLOGY; Pg. A-2,,363 words,MIAMI,,"September 13, 2006",ENGLISH,,,,,,Newspaper,Copyright 2006 P.G. Publishing Co.
,hurricane,temperature,study,report,increase,global,warming,scientist,sea,new,link,rise,ocean,key,factor,development,greenhouse,effect,intensity,human,activity,researcher,agree,maintain,group,evidence,human_induced,Atlantic,escalate,vigorous,scientific,debate,strong,growth,stop,short,assert,direct,relationship,recent,other,support,belief,industrial,pollution,vehicle,emission,impact,environment,largely,blame,have,learn,buildup,gas,atmosphere,appear,primary,driver,oceanographer,news,conference,promote,make,good,case,trend,surface,least,part,substantially,due,note,write,find,high,probability,account,water,region,last,century,total,quite,small,1.2,degree,fahrenheit,become,percent,stronger,every,addition,many,publish,tomorrow,proceedings,science,wide
,9,7,5,5,5,4,4,4,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"October 8, 2006 Sunday",142 of 295 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),"ALTMIRE TESTS HART; UNFAVORABLE POLITICAL CLIMATE MAY ALSO SPELL TROUBLE FOR REPUBLICAN INCUMBENT NEW OPPONENT, UNFAVORABLE POLITICAL CLIMATE MIGHT SPELL TROUBLE","Gary Rotstein, Pittsburgh Post-Gazette",LOCAL; Pg. B-1,,991 words,,,"October 10, 2006",ENGLISH,,,"PHOTO: Robin Rombach/Post-Gazette: Jason Altmire talks with supporters while campaigning in New Castle, Lawrence County, at a fund-raiser for Gov. Ed Rendell. PHOTO: Robin Rombach/Post-Gazette: U.S. Rep. Melissa Hart runs to a house while campaigning door-to-door in Shaler on Tuesday. A campaign worker found someone home who wanted to talk with the congresswoman.",,,Newspaper,Copyright 2006 P.G. Publishing Co.
,district,race,candidate,hart,Mr._Altmire,democrat,voter,think,go,ms,poll,Republican,congressional,show,many,million,Washington,conservative,4th,county,vote,issue,president,week,use,suggest,campaign,people,help,lead,incumbent,raise,Melissa_Hart,north,among,run,political,life,1990,much,win,view,voting,tendency,include,serve,percent,congresswoman,make,tell,last,mo,altmire,bank,office,job,work,chance,debate,feel,base,know,do,challenger,national,release,report,overall,goal,competitive,ad,begin,Democratic,Beaver,Lawrence,UPMC,U.S.,start,new,millennium,seize,republican,long,control,successive,energetic,sign,give,seat,ripe,retake,however,combination,sentiment,capable,aggressive,politically,moderate,predecessor
,13,9,7,6,6,5,5,5,5,5,5,5,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"December 26, 2006 Tuesday",151 of 295 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),"THE COLOR OF THE YEAR; THIS YEAR, AMERICANS REALIZED THAT 'GREEN IS THE NEW RED, WHITE AND BLUE'",Thomas L. Friedman,EDITORIAL; Pg. B-7,,767 words,,,"December 28, 2006",ENGLISH,,,DRAWING: By T. Brinton,,,Newspaper,Copyright 2006 P.G. Publishing Co.
,green,thing,energy,Wal_Mart,scale,store,winter,fact,time,run,think,tip,point,power,innovation,price,know,never,global,warming,tell,new,wardrobe,color,live,reach,design,gas,company,make,go,sign,last,alternative,anymore,world,customer,big,wind,solar,oil,heat,manager,start,people,stop,really,change,coal,species,generalize,weather,longtime,resident,d.c.,hard,consider,balmy,season,half,expect,cherry,blossom,christmas,wife,rummage,closet,emerge,need,whole,clothes,summer,weight,reason,editing,magazine,opt,although,clever,cover,headline,important,happen,past,mobilize,environmental,challenge,face,hit,many,term,trap,corner,opponent,define,liberal,unpatriotic,vaguely,act
,12,5,5,5,4,4,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"March 5, 2006 Sunday",155 of 295 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),TOUGH EXAM; MR. ROOSEVELT PASSES HIS FIRST MAJOR TEST,,EDITORIAL; Pg. H-2,,564 words,,,"March 21, 2006",ENGLISH,,,,,,Newspaper,Copyright 2006 P.G. Publishing Co.
,school,board,district,plan,take,Pittsburgh,roosevelt,close,hard,vote,member,Mr._Roosevelt,last,try,change,start,among,although,operating,achievement,student,adopt,medicine,remarkable,way,neighborhood,time,help,education,victory,mean,charge,racism,superintendent,mark,job,expect,easy,politics,raising,test,score,unfavorable,financial,climate,decline,enrollment,basically,doom,predecessor,surprisingly,region,wholly,embraced,mr.,champion,week,leadership,pay,tuesday,night,action,bold,necessary,thing,elementary,expand,other,include,turn,eight,accelerate,learn,academy,cut,"10,177","13,706",empty,seat,debate,pretty,argue,fact,face,deficit,million,next,must,dip,reserve,cover,worse,yet,academic,reason,exist,disheartening,shocking,especially
,8,8,6,5,4,4,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"September 7, 2006 Thursday",174 of 295 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),HEWLETT'S DUNN ON THE HOT SEAT OVER LEAK PROBE,Rachel Konrad The Associated Press,BUSINESS; Pg. D-2,,942 words,SAN FRANCISCO,,"September 8, 2006",ENGLISH,,,"PHOTO: Paul Sakuma/Associated Press: Hewlett-Packard Co. President and Chief Executive Officer Mark Hurd, right, speaks at a news conference with Patricia Dunn, HP's chairwoman, in this March 2005 file photo.",,,Newspaper,Copyright 2006 P.G. Publishing Co.
,hp,board,company,dunn,phone,member,ms,hire,filing,director,leak,source,Mr._Perkins,call,investigation,attorney,investigator,former,2005,resignation,ms.,HP,home,fiorina,may,professor,security,private,information,keyworth,mo,general,detail,ask,resign,ethical,Mr._Keyworth,chairwoman,business,ethic,oversaw,illegal,journalist,become,ouster,february,well,take,seek,telephone,record,determine,decline,acknowledge,later,lawyer,tactic,impersonate,log,state,early,refuse,whether,comment,january,statement,meeting,digit,account,send,performance,line,Mark_Hurd,Business,SEC,California,Tom_Perkins,Mr._Dinh,co,patricia,scrutiny,expert,invasive,possibly,effort,snoop,fellow,freelance,powerful,woman,corporate,ceo,carly,successor,analyst,next,leave,start,spying
,14,11,9,8,7,6,6,6,6,6,6,6,6,5,5,5,5,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"December 25, 2006 Monday",181 of 295 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),"BYLINE: Natalie Hill, Pittsburgh Post-Gazette",,BUSINESS; PEOPLE ON THE MOVE / DATELINE PITTSBURGH; Pg. C-10,,861 words,,,"January 20, 2007",ENGLISH,,,PHOTO: (no caption),,,Newspaper,Copyright 2006 P.G. Publishing Co.
,president,vice,director,hire,senior,group,officer,manager,join,elect,announce,Pittsburgh,retire,chief,name,board,jan,secretary,a.,treasurer,marketing,g.,partner,new,associate,commercial,post_gazette.com,design,principal,term,leader,2007,p.,fusco,llc,executive,co.,engineer,inc.,office,team,m.d.,serve,division,practice,account,supervisor,brown,information,service,send,170,dpi,photo,three_year,William,Colon,Rectal_Surgery,Post_Gazette,PPG_Industries,CEO,Dateline_Pittsburgh,e_mail,109,architect,follow,individual,association,business,investment,begin,referral,networking,election,ph.d.,l.,keller,hyatt,charitable,resource,k.,banner,barger,social,insurance,agency,society,chairman,susumu,sam,ishihara,ed,gerstenhaber,operating,counsel,author,colleen,dimitroff,llp
,18,12,7,6,6,6,6,6,6,5,5,5,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"September 15, 2006 Friday",205 of 295 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),"RUNWAY LOOKS REFLECT NEED FOR STABILITY, ROMANCE","LaMont Jones, Pittsburgh Post-Gazette",ARTS & ENTERTAINMENT; Pg. C-1,,976 words,NEW YORK CITY,,"September 16, 2006",ENGLISH,,,PHOTO: Mark Mainz/Getty Images for IMG: Bill Blass' spring line includes gowns that put forth the idea of romanticism. \ PHOTO: Stuart Ramson/Associated Press: Oscar de la Renta's spring collection includes the egg-shaped bubble skirt look.,,,Newspaper,Copyright 2006 P.G. Publishing Co.
,color,designer,spring,fashion,people,dress,shade,woman,trend,black,influence,green,toward,look,director,white,think,feel,brown,gown,mean,bubble,skirt,womenswear,shape,man,reflect,something,romance,take,risk,well,may,tend,ms.,menswear,ms,moment,back,send,silhouett,clothes,2007,world,loungewear,item,stylist,ponzo,sense,happen,terrorism,line,add,golden,sort,consumer,show,next,soft,classic,style,many,strong,fall,dark,season,time,neutral,gray,lot,clean,makeup,matte,especially,life,big_ticket,New_York,American,eBay,cocktail,evening,surprising,moss,forest,deeper,preference,glenplaid,chantilly,lace,embroidery,pintuck,score,runways,conclusion,today,pattern,create,reveal,significant
,11,10,9,7,6,5,5,5,5,5,5,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"September 21, 2006 Thursday",207 of 295 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),EARTH TONES WITH A TWIST ARE WINNING FAVOR,"Maggie Galehouse, Houston Chronicle",METRO; Pg. SG-5,,806 words,,,"May 7, 2009",ENGLISH,,,,,,Newspaper,Copyright 2006 P.G. Publishing Co.
,color,wall,space,room,paint,earth,green,go,palette,tone,design,pink,Arena,toward,interior,feel,new,offer,look,add,think,many,gallery,art,Zamore,Houston,Gite,box,eye,back,home,architect,national,may,make,company,designer,much,association,trend,today,brown,bly,softness,pattern,blue,popular,dining,people,use,kind,try,change,child,lime,bright,girl,hot,always,Hull,tall,orange,tug,bungalow,visual,anchor,core,functional,hold,closet,hide,fridge,help,stretch,critical,architecture,gain,attention,rehabs,small,white,pull,larger,guideline,never,style,fresh,other,conceive,advance,choice,creep,store,turn,consciousness,dictate,reason,know,representative
,27,9,6,6,5,5,5,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"October 1, 2006 Sunday",210 of 295 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),PROSPECTS FOR BLACK GOLD PUTTING CUBA IN SUITORS' SIGHTS,"Gary Marx, Chicago Tribune",WORLD; Pg. A-4,,913 words,,,"October 3, 2006",ENGLISH,,,,,,Newspaper,Copyright 2006 P.G. Publishing Co.
