PUBLISHED_DATE,DOCUMENTS_INDEX,PUBLISHER,TOPIC,BYLINE,SECTION,SOURCE,LENGTH,DATELINE,SUMMARY,LOAD_DATE,LANGUAGE,CORRECTION_DATE,CORRECTION,GRAPHIC,TYPE,DOCUMENT_TYPE,PUBLISH_TYPE,COPYRIGHT
"November 11, 2000, Saturday",1 of 302 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),NATIONS DISCUSS PROPOSALS ON KYOTO GREENHOUSE TREATY,"H. JOSEF HEBERT, THE ASSOCIATED PRESS","NATIONAL, Pg. A-10",,969 words,WASHINGTON --,,"November 12, 2000",ENGLISH,,,,,,,Copyright 2000 P.G. Publishing Co.
,treaty,U.S.,country,emission,reduction,greenhouse,target,carbon,kyoto,make,cut,credit,Kyoto,climate,may,gas,meet,week,percent,achieve,trading,land,administration,world,change,view,oppose,industrial,1990,economic,insist,proposal,*,pollution,already,use,half,environmental,negotiator,cost_effective,critical,cost,craft,discussion,next,become,nation,state,head,interview,take,additional,president,shift,accord,opposition,negotiate,fossil,fuel,level,many,require,energy,include,power,plant,buy,forest,agricultural,management,official,way,loophole,without,domestic,virtually,ton,european,strongly,deal,seek,go,free,Bush,heat_trapping,United_States,prepare,probably,contentious,global,warming,talk,warning,agree,three,ago,fall,apart,reduce
,U.S._Steel,million,U.S.,steel,steelmaker,mill,global,domestic,cash,VSZ,acquisition,expect,company,produce,worker,operation,analyst,Slovak,Wilhelm,producer,percent,pay,assume,well,invest,make,market,employee,ton,move,take,need,strategy,deal,stock,foreign,liability,plant,Kosice,talk,turn,point,boost,production,foothold,2003,depend,purchase,700,manufacturer,work,fund,without,ownership,management,change,"16,000","19,000",reduce,force,annually,kosice,president,benefit,advantage,run,joint,venture,opportunity,industry,consultant,involve,best,time,pounce,buy,last,buyer,likely,obstacle,environmental,pension,emission,U.S._Steel_Kosice,United_States,Mexico,LTV,unlike,competitor,poor,preoccupy,problem,homefront,player,pend,mark,history,nation,largest
,16,14,13,12,11,8,6,5,5,5,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1
"March 14, 2000, Tuesday",137 of 302 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),"REPORTS CRITICIZE NASA STRATEGY< SPACE AGENCY URGED TO ' SLOW DOWN,' PLAN","MATTHEW FORDAHL, THE ASSOCIATED PRESS","NATIONAL, Pg. A-6",,449 words,LOS ANGELES -,,"March 15, 2000",ENGLISH,,,,,,,Copyright 2000 P.G. Publishing Co.
,mission,review,management,report,faster,better,cheaper,space,much,cost,last,failure,board,NASA,little,money,oversight,program,need,project,implement,lose,probe,shuttle,flight,fail,issue,know,schedule,risk,million,balance,Mars,Jet_Propulsion_Laboratory,wake,botch,approach,exploration,suggest,agency,try,enough,publish,recommend,return,large,expensive,1970,1980,instead,must,hold,accountable,goal,clearly,set,available,downsize,slow,rush,quickly,important,plan,carefully,move,away,fixation,gain,lead,former,manager,especially,difficult,addition,mar,delay,temporarily,shut,either,miss,target,launch,regard,loss,call,respect,manage,deputy,director,order,include,release,spear,analysis,orbiter,week,another,make,recommendation
,5,5,5,4,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"July 21, 2000 Friday",141 of 302 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),POLITICIANS MEET THE MOB;  'WEST WING' AND 'SOPRANOS' LEAD EMMY NOMINATIONS WITH 18 EACH,"LYNN ELBER, THE ASSOCIATED PRESS","ARTS & ENTERTAINMENT, Pg.42 ON THE TUBE",,2914 words,LOS ANGELES,,"May 21, 2003",ENGLISH,,,"Photo: The late Nancy Marchand and James Gandolfini are both nominated for ""The Sopranos""  Photo: Martin Sheen is one of five cast members nominated for ""The West Wing.""",,,,Copyright 2000 P.G. Publishing Co.
,HBO,NBC,ABC,CBS,nbc,Fox,special,part,minisery,series,show,live,hbo,West_Wing,practice,movie,rko,281,program,night,discovery,Annie,introduce,love,`,Sopranos,Drama_Series,Comedy_Series,Movie,sex,everybody,showtime,Raymond,PBS,judge,dorothy,dandridge,law,cb,song,pilot,sopranos,support,actress,variety,rock,walk,star,Grace,Music,nomination,frasier,friend,er,saturday,city,cher,wing,direction,trek,voyager,Annual_Academy_Awards,Concert,Dinosaurs,TNT,West,UPN,emmy,award,direct,academy,72nd,raising,actor,malcolm,wb,title,City,Arabian_Nights,Mammoth,Middle,MGM_Grand,Las_Vegas,receive,drama,top,present,grace,wall,talk,late,chris,bigger,25th,anniversary,music,angel,order,write
,63,53,53,28,26,21,17,15,15,14,14,14,13,12,11,11,11,11,11,11,11,11,10,10,10,10,10,10,10,9,9,9,9,9,8,8,8,8,8,8,8,8,7,7,7,7,7,7,7,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
"December 26, 2000, Tuesday",151 of 302 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),WEARY WORLD STRUGGLES TO REJOICE; ISRAELI-ARAB VIOLENCE CASTS PALL OVER BETHLEHEM; INDONESIA MOURNS CHURCH; BOMBING VICTIMS.,"AUDREY WOODS, THE ASSOCIATED PRESS","WORLD, Pg. A-4",,753 words,LONDON,,"December 27, 2000",ENGLISH,,,,,,,Copyright 2000 P.G. Publishing Co.
,christmas,church,christians,world,king,Bosnia,Jesus,troops,violence,many,nation,people,time,message,leader,cathedral,peace,birthplace,bombing,eve,away,service,attack,country,kill,traditional,city,around,speak,three,concern,environment,climate,ii,other,treat,xenophobia,NATO,Mass,Istanbul,Indonesia,Belgian,U.S.,candlelit,splendor,keep,flame,hope,burn,much,season,joy,lose,sorrow,spate,fatal,stay,fear,renew,although,mostly,claim,responsibility,president,blame,force,intent,destabilize,try,ease,volatile,situation,nearly,100,injure,know,behind,urge,forgive,weary,pope,dismay,brother,sister,faith,undergo,tragic,trial,suffer,urbi,et,orbi,latin,pontiff,lament,endless,stream,refuge,conflict
,8,4,4,4,4,4,4,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"January 23, 2000, Sunday",158 of 302 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),FERRARI 330 GT ABOUT BEST OF THE BUNCH BUT BE READY TO WORK ON IT,TOM & RAY MAGLIOZZI,"BUSINESS, Pg. H-51, CLICK & CLACK",,893 words,,,"January 25, 2000",ENGLISH,,,,,,,Copyright 2000 P.G. Publishing Co.
,car,ray,tom,battery,Eugene,nut,gt,around,330,oil,good,burn,care,buy,ferrari,use,probably,back,run,call,go,part,time,winter,road,Ferraris,Glenn,Roy,new,trip,question,maintain,need,hear,kind,expensive,ferraris,thing,have,ever,know,lot,already,mention,interest,full,disclosure,actually,system,note,work,drive,either,join,club,watch,let,choice,long,think,sometimes,three,answer,patent,disconnect,reset,radio,right,something,home,charge,wait,service,clack,Tom,Columnist,Italian,Click,gazillion,dollar,testarossas,whatever,2+,1965,beach,local,daily,ride,average,guy,hire,luigi,change,horror,story,race,normal,upkeep,lousy
,15,9,8,7,6,5,5,5,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"January 29, 2000, Saturday",160 of 302 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),FCC RECANTS ON RELIGIOUS PROGRAMMING,"TIM MENEES; ROB OWEN, POST-GAZETTE TV EDITOR","ARTS & ENTERTAINMENT, Pg. B-14, TV NEWS",,1766 words,,,"February 2, 2000",ENGLISH,,,,,,,Copyright 2000 P.G. Publishing Co.
,FCC,educational,religious,programming,last,week,additional,guidance,snow,report,storm,license,channel,still,customer,guideline,statement,expect,ice,power,Dreistadt,noncommercial,deal,cornerstone,state,station,remove,language,line,clear,road,cancel,WPCB,broadcaster,tv,million,must,qualify,go,may,president,company,issue,subject,lose,without,commissioner,vote,order,people,home,inch,freezing,icy,tree,WQED,Paxson,Oxley,Georgia,federal,communication,commission,include,rule,approve,intend,way,pull,pay,program,devote,personally,church,service,executive,director,decision,great,plan,believe,inherent,bias,television,change,remain,create,feel,risk,unless,fcc,entertaining,toward,back,right,take,equipment,use,action,file
,16,11,10,9,8,8,8,8,8,7,7,6,6,6,6,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"May 15, 2000, Monday",181 of 302 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),"OF BEES, BEETLES, SEX AND SURVIVAL",FROM LOCAL AND WIRE REPORTS,"SCIENCE, TECHNOLOGY AND MEDICINE, Pg. A-10",,599 words,,,"May 17, 2000",ENGLISH,,,,,,,Copyright 2000 P.G. Publishing Co.
,coral,bee,home,larvae,scientist,find,stroke,receive,health,researcher,patient,species,nest,write,survivor,hospital,care,point,object,bleach,temperature,alga,mate,beetle,desert,franciscanus,female,onto,better,may,therapy,study,suggest,scale,four,week,journal,team,vote,observe,el,nino,Nature,Hubble_Heritage_Project,Hubble,Belize,stand,bad,news,human,eager,sex,sometimes,try,clump,blister,evolve,take,advantage,unsuspecting,habropoda,pallida,steal,pollen,store,arrange,cluster,resemble,oversex,male,land,crawl,stomach,hang,truly,lucky,real,grab,carry,back,play,voyeur,matings,conservationist,understand,interact,believe,mimicry,practise,m.,together,subsequent,venereal,transmission,enhance,chance,earlier,recovery,recuperate
,8,7,6,5,5,5,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"July 9, 2000, Sunday",192 of 302 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),UPSCALE ORLANDO; EMERIL LAGASSE IS AMONG THE CHEFS HEATING UP FLORIDA'S CULINARY CLIMATE,"WOODENE MERRIMAN, POST-GAZETTE DINING CRITIC","FOOD, Pg. G-13",,2135 words,"ORLANDO, Fla.",,"August 25, 2000",ENGLISH,,,"PHOTO 2, Photo: Emeril's: The dining room of Emeril's Restaurant in Orlando; has walls of glass looking out onto the Universal Studios CityWalk.; Photo: Now that Emeril Lagasse, left, has become a TV personality, he isn't; seen often in his six restaurants. His Banana Cream Pie with Banana Crust and; Caramel Drizzles, above, is one of the richest desserts imaginable.",,,,Copyright 2000 P.G. Publishing Co.
,cream,Emeril,cup,make,serve,pie,restaurant,tablespoon,sugar,heat,reservation,course,minute,recipe,wine,sauce,crust,pan,butter,stir,mixture,California_Grill,dinner,might,room,top,use,well,banana,contemporary,menu,cafe,bananas,pastry,teaspoon,combine,remain,remove,oven,go,lunch,show,do,glass,taste,roast,big,flatbread,vanilla,egg,saucepan,bowl,slice,buttermilk,best,call,we,time,cookbook,dish,chef,dining,look,open,good,often,sour,range,little,three,plus,water,ice,eat,whole,resort,people,list,sushi,smoke,salmon,order,main,bean,heavy,unsalted,cornstarch,large,ripe,allow,cool,thoroughly,smooth,boil,whisk,hour,flour,baking,loaf
,24,23,18,10,10,10,9,9,8,8,7,7,7,6,6,6,6,6,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
"August 7, 2000, Monday",196 of 302 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),TINY WOOLLY ADELGIDS THREATEN STATE'S MIGHTY HEMLOCKS,"DON HOPEY, POST-GAZETTE STAFF WRITER","SCIENCE, TECHNOLOGY AND MEDICINE, Pg. A-8",,1283 words,,,"August 9, 2000",ENGLISH,,,"INFORMATIONAL GRAPHIC, INFORMATIONAL GRAPHIC: James Hilston/Post-Gazette; Pennsylvania Dept.; of Convervation and Natural Resources, U.S. Dept of Agriculture: (Tree pest in; Pennsylvania)",,,,Copyright 2000 P.G. Publishing Co.
,hemlock,tree,forest,state,stand,adelgy,area,eastern,lose,major,insect,tiny,residential,important,branch,female,cover,Pennsylvania,Evans,look,needle,woolly,bug,percent,recreation,feed,population,along,adelgid,import,county,gamelands,pest,natural,wildlife,winter,animal,deer,stream,cotton,nothing,include,ecologically,kill,thousand,maybe,five,infestation,concern,use,think,ecological,young,number,enemy,entomologist,bad,adult,lay,egg,migrate,die,acre,report,southeastern,pennsylvania,affect,park,know,plant,nursery,problem,can,game,commission,particularly,yet,provide,food,timber,ornamental,hardwood,time,habitat,kind,trout,tend,control,success,work,effective,species,beetle,test,Appalachian_Mountains,North_Carolina,United_States,announce,presence
,29,17,13,12,9,8,6,5,5,5,5,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1
"September 22, 2000, Friday",203 of 302 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),OVER SADDAM'S BARREL?; NERVOUS NELLIE DEBATES ROSIE SCENARIO ON OIL AND IRAQ,,"EDITORIAL, Pg. A-19, WILLIAM SAFIRE",,666 words,WASHINGTON,,"September 27, 2000",ENGLISH,,,,,,,Copyright 2000 P.G. Publishing Co.
,price,oil,nellie,rosie,Saddam,take,barrel,last,time,shock,president,call,bluff,troops,Nervous_Nellie,buy,reply,million,higher,build,missile,mean,market,reserve,war,force,degrade,stop,whole,military,Nellie,Rosie_Scenario,OPEC,Rosie,Iraqi,Kuwait,U.S.,worried,strike,trucker,panic,petrol,driver,fear,compound,rise,gasoline,calm,tripling,soon,roll,back,increase,production,sensible,friend,press,cross,everybody,reduce,sale,almost,thereby,punish,push,foolish,turn,spigot,impoverish,people,never,bother,counter,keep,greatly,please,russian,whose,economy,save,high,main,export,technology,scientist,already,help,make,possible,weapon,mass,destruction,deliver,relax,little,testily,stay,cause,inflation
,9,9,7,7,7,5,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"September 24, 2000, Sunday",205 of 302 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),"BUCHANAN, NADER OPPOSITES ON ENVIRONMENT","ANN MCFEATTERS, POST-GAZETTE NATIONAL BUREAU","NATIONAL, Pg. A-12",,249 words,WASHINGTON --,,"September 26, 2000",ENGLISH,,,,,,,Copyright 2000 P.G. Publishing Co.
,environmental,give,call,international,treaty,public,land,end,national,spend,power,presidential,candidate,make,protection,major,focus,campaign,headach,battle,endorsement,support,environmentalist,pat,buchanan,represent,almost,antithesis,modern,movement,contends,globalist,use,regulate,industry,shut,production,center,violate,property,rights,convert,private,holding,habitat,biblically,base,obligation,good,steward,conced,everyone,interest,prevent,pollution,preserve,natural,beauty,abolish,u.,bureau,500,million,acre,oversee,back,state,vigorously,oppose,limit,emission,industrial,pollutant,nader,list,long,complicated,advocate,commercial,log,forest,billion,park,reliance,fossil,fuel,nuclear,plant,favor,solar,wind,put,new,curb,motor,vehicle,transportation,slow,scientific
,4,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"September 30, 2000, Saturday",207 of 302 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),ON THIS DATE,COMPILED BY EMILY L. BELL,"LOCAL, Pg. A-2, ALMANAC",,360 words,,,"October 3, 2000",ENGLISH,,,"PHOTO, PHOTO: 1991 photo; Doug Drabek",,,,Copyright 2000 P.G. Publishing Co.
,sept,ago,state,saturday,foot,pound,sunday,find,federal,sentence,law,motorist,accuse,try,woman,use,English,thursday,1999,embarrass,scientist,admit,125,million,spacecraft,lose,previous,week,approach,doom,start,construction,mistakenly,think,specification,meter,kilogram,instead,five,1995,many,briton,grumble,final,legally,measure,distance,inch,liquid,gallon,weight,ounce,metric,system,go,effect,ten,1990,clinch,national,league,east,championship,1979,beat,doug,drabek,pitch,tuesday,1975,former,sen,frank,mazzei,guilty,perjury,jury,lie,trial,late,1974,convict,extortion,prison,fifty,1950,refuse,review,rule,traffic,violation,must,magistrate,court,nearest,scene,offense,director,city
,7,6,4,3,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"October 23, 2000, Monday",212 of 302 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),NO HEADLINE,MARYLYNN URICCHIO,"LIFESTYLE, Pg. B-4, SCRIBBLES",,505 words,,,"October 24, 2000",ENGLISH,,,,,,,Copyright 2000 P.G. Publishing Co.
,award,president,Pittsburgh,2000,foundation,government,hunger,public,policy,center,director,400,reception,power,honor,friday,behalf,board,chair,emcee,Just_Harvest,St._Anthony,bring,positive,change,12th,draw,330,supporter,monday,night,benefit,action,feature,speaker,o'brien,research,second,harvest,national,network,food,bank,join,socialize,radio,p.s,tuesday,attract,nonprofit,civic,community,hear,lecture,lifestyle,editor,magazine,guest,listen,discuss,local,philanthropic,climate,receive,isabel,p.,kennedy,cocktail,attend,judge,cynthia,baldwin,salut,good,recipient,thursday,dinner,honoree,k.,leroy,irvis,academy,sr.,watch,wing,mayor,tom,murphy,forrester,hand,name,late,husband,greenmarketplace.com,work,presentation,speak,chairman,welcome
,6,5,5,4,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"November 16, 2000, Thursday",217 of 302 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),ELECTION OUTCOME A-OK WITH BUSINESSES,"FRANK REEVES, POST-GAZETTE STAFF WRITER","BUSINESS, Pg. F-1",,958 words,,,"November 16, 2000",ENGLISH,,,,,,,Copyright 2000 P.G. Publishing Co.
,state,biotech,control,many,democrat,company,politics,regain,drug,business,think,include,president,administration,tax,government,firm,money,settlement,prescription,ridge,capital,republican,new,industry,tobacco,executive,Pennsylvania,GOP,House,campaign,victory,high,voter,result,legislature,vice,race,chamber,independent,legislative,expect,seat,fear,representative,take,billion,lower,stock,attitude,environmental,oppose,affair,majority,often,concerned,struggle,pharmaceutical,benefit,plan,price,million,senior,time,investor,proposal,portion,fund,involved,lobbying,other,legislator,influence,Democrats,Senate,Melville,Microsoft,New_Economy,drive,issue,carry,public,anxiety,cost,disgust,manage,care,nov,election,fail,despite,massive,turnout,propel,al,gore,decisive,statewide,w.
,12,8,7,7,7,7,6,5,5,5,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"November 18, 2000, Saturday",218 of 302 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),NO HEADLINE,"SCOTT GIBSON, TODAY'S HOMEOWNER MAGAZINE","BUSINESS, Pg. H-1",,944 words,,,"November 18, 2000",ENGLISH,,,,,,,Copyright 2000 P.G. Publishing Co.
,water,house,appliance,long,last,system,life,percent,estimate,cost,maintenance,ghent,boiler,might,clean,repair,many,mechanical,period,example,still,thing,roofing,factor,roof,quality,longer,filter,building,expose,home,need,experience,average,replacement,give,accord,per,third,predict,span,exact,second,run,shape,longevity,important,location,well,job,rural,calculate,side,paint,flash,far,play,role,moderate,extreme,material,expensive,complicated,major,way,extend,make,mineral,equipment,refrigerator,work,household,trade,away,use,prolong,hose,air_conditioner,buy,beginning,fortunately,component,foundation,frame,plumb,wiring,surface,weather,nearly,best,circumstance,reality,stuff,happen,trumbull,conn,inspection,company,older
,9,8,8,7,7,6,6,5,5,5,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"November 29, 2000, Wednesday",223 of 302 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),GOOD NEWS FOR THE CITY . . .; STANDARD & POOR'S GIVES A SEAL OF APPROVAL,,"EDITORIAL, Pg. A-30",,431 words,,,"November 29, 2000",ENGLISH,,,,,,,Copyright 2000 P.G. Publishing Co.
,city,tax,approach,obligation,future,keep,need,cost,house,order,raise,bond,rating,money,take,administration,fiscal,reduce,number,pension,increase,revenue,business,policy,amount,current,able,meet,Pittsburgh,Murphy,struggle,put,financial,finally,beginning,pay,standard,municipal,finance,agency,dramatically,minus,upgrade,make,cheaper,borrow,clear,disciplined,steady,largely,responsible,good,fortune,though,disagree,instance,use,fee,reduction,special,fund,account,balance,budget,much,do,past,help,stabilize,sink,ship,step,include,employee,"3,891",percent,drop,1990,refinancing,avoid,recently,reliable,source,sale,amusement,parking,privilege,helpful,consistent,stuck,gun,property,wage,require,new,debt,unless,equal,retire
,14,4,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"December 30, 2000 Saturday",230 of 302 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),"RIGHT PLACE HELPS PLANTS GROW, THRIVE","LYNN OCONE, TODAY'S HOMEOWNER MAGAZINE","LIFESTYLE, Pg.B-1",,1148 words,,,"March 8, 2002",ENGLISH,,,"PHOTO: Ferns make ideal houseplants, but you must take into account light, temperature and humidity when deciding where to grow them.",,,,Copyright 2000 P.G. Publishing Co.
,plant,light,water,leave,humidity,house,home,need,level,use,soil,another,air,grow,temperature,condition,spot,winter,place,keep,saucer,fertilize,fertilizer,good,food,low,growth,foliage,fern,move,might,provide,surface,cold,tepid,dry,fall,make,insect,Gardner,problem,lot,manufacture,thrive,bright,higher,group,include,tolerate,show,sign,insufficient,lose,much,sun,window,spring,summer,glass,filter,curtain,moist,many,especially,common,room,way,raise,around,pebble,let,root,people,night,hot,thoroughly,collect,best,watering,category,inch,add,moisten,groom,dusting,dust,soft,insecticidal,soap,pest,Brown,news,trouble,lie,put,rather,short,couple,gardening
,55,15,14,11,8,7,6,6,6,6,6,5,5,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1
"April 4, 2000, Tuesday",236 of 302 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),HOUSE OKS STUDY OF UNDERSEA METHANE; HUGE BUT DANGEROUS SUPPLY RESEMBLES ICE,"JIM ABRAMS, THE ASSOCIATED PRESS","NATIONAL, Pg. A-7",,639 words,WASHINGTON --,,"April 6, 2000",ENGLISH,,,,,,,Copyright 2000 P.G. Publishing Co.
,hydrate,gas,methane,ocean,energy,potential,million,secretary,natural,study,percent,resource,last,scientist,ice_like,floor,permafrost,freeze,fossil,fuel,find,source,warming,approve,development,soar,bill,form,trillion,cubic,foot,time,reserve,worldwide,environment,may,support,sea,land,escape,cause,species,carbon,dioxide,Arctic,Congress,House,Energy,United_States,Doyle,deep_sea,deposit,equal,twice,combine,ready,put,nearly,develop,without,set,cataclysmic,globe,voice,vote,measure,direct,work,technology,need,safe,efficient,stake,high,age,price,nation,overly,dependent,foreign,oil,chief,sponsor,rep.,mike,doyle,make,recoverable,double,domestic,base,statement,substance,deep,sediment,contain,highly,concentrate,estimate
,13,10,9,4,4,4,4,4,4,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"September 17, 2000, Sunday",249 of 302 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),GEORGE CHRISTOPHER SAN FRANCISCO MAYOR WHO LURED GIANTS,"LOUIS SAHAGUN, LOS ANGELES TIMES","OBITUARY, Pg. E-6",,563 words,,,"September 17, 2000",ENGLISH,,,,,,,Copyright 2000 P.G. Publishing Co.
