PUBLISHED_DATE,DOCUMENTS_INDEX,PUBLISHER,TOPIC,BYLINE,SECTION,SOURCE,LENGTH,DATELINE,SUMMARY,LOAD_DATE,LANGUAGE,CORRECTION_DATE,CORRECTION,GRAPHIC,TYPE,DOCUMENT_TYPE,PUBLISH_TYPE,COPYRIGHT
"June 5, 2002 Wednesday",8 of 291 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),BUSH SPURNS REPORT ON CLIMATE CHANGE;  SAYS HE REMAINS OPPOSED TO KYOTO TREATY,"KATHARINE Q. SEELYE, THE NEW YORK TIMES","SCIENCE, MEDICINE, TECHNOLOGY, Pg.A-2",,637 words,WASHINGTON,,"June 8, 2002",ENGLISH,,,,,,,Copyright 2002 P.G. Publishing Co.
,report,Bush,change,conservative,global,president,administration,warming,call,spokesman,climate,environmental,United_States,distance,next,decade,response,put,still,treaty,greenhouse,gas,political,industry,view,uncertainty,science,prediction,go,accept,without,something,approach,United_Nations,Kyoto,Whitman,intense,criticism,conclude,human,blame,effect,environment,draft,review,several,agency,send,friday,substantially,although,rapid,reporter,ask,read,bureaucracy,oppose,ratify,mandatory,reduction,industrial,nation,critic,across,spectrum,try,appear,moderate,environmentalist,signal,promote,contain,emphasize,carry,numerous,caveat,exist,ari,fleischer,obviously,anticipate,question,daily,briefing,considerable,recent,relate,submit,recognize,definitive,potential,outcome,yet,feasible,weakest,link,knowledge,connection,regional
"August 17, 2002 Saturday",110 of 291 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),ORNAMENTAL GRASSES ARE TEAM PLAYERS IN THE GARDEN,"MARTY ROSS , UNIVERSAL PRESS SYNDICATE","LIFESTYLE, Pg.C-1",,993 words,,,"August 30, 2002",ENGLISH,,,"Photo: Darrell Sapp/Post-Gazette: The Western Pennsylvania Conservancy made use of ornamental grass in an arrangement along McKnight Road last year.  Photo: Saxon Holt/Ornamental grasses are shedding their domineering personalities and finding their way into the hearts of gardens, at home among the flowers.",,,,Copyright 2002 P.G. Publishing Co.
,grass,plant,garden,gardener,ornamental,*,use,Ondra,really,rose,new,people,tall,little,pot,strike,perennial,grow,combination,discover,look,change,make,way,red,color,need,fountain,shade,variety,capture,gardening,place,think,another,among,example,still,show,style,appreciate,grasslike,book,19.95,kind,go,lot,design,form,bright,foliage,foot,better,plus,fescue,experiment,without,spread,thrive,work,big,feather,reach,around,fence,give,size,three,have,try,road,catalog,companion,tropical,Nancy_Ondra,Storey,Japanese,Pennisetum,rnamental,world,drama,award,1990,flashy,marquee,never,common,touch,occupy,lonely,spotlight,set,apart,quiet,comfortable,circle,ordinary,flowerbed,start
,46,11,10,7,6,6,5,5,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"September 26, 2002 Thursday",115 of 291 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),URBAN HISTORIANS ON WAY;  GROUP'S FIRST CONFERENCE TO OPEN IN STRIP DISTRICT TOMORROW,"PATRICIA LOWRY, POST-GAZETTE ARCHITECTURE CRITIC","LOCAL, Pg.B-8",,823 words,,,"September 26, 2002",ENGLISH,,,,,,,Copyright 2002 P.G. Publishing Co.
,urban,history,Pittsburgh,city,historian,class,conference,place,professor,upper,remain,plan,politics,great,social,session,economic,attract,Borchert,East_End,field,young,book,present,papers,prostitution,interest,change,century,argue,renaissance,growth,control,focus,business,example,new,company,people,begin,area,drive,crime,population,number,shape,cultural,percent,complete,quantify,narrative,sexual,Gleeson,Conn,Italian,almost,old,dirt,association,launch,tomorrow,200,academics,gather,senator,network,buy,exchange,idea,111,vast,array,topic,always,organizer,teach,read,lot,pittsburgh,undergo,talk,group,urbanist,look,experience,theme,include,19th,gender,allow,participant,pick,coincide,pass,pittsburgher,revitalization,assistant,public,policy
,10,10,10,9,8,5,4,4,4,4,4,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"October 29, 2002 Tuesday",122 of 291 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),CANDIDATES FOR PENNSYLVANIA SENATE,,"TABS, Pg.B-4",,2002 words,,,"October 30, 2002",ENGLISH,,,MAP: (State Senate distiricts: Western Pennsylvania)  MAP: State Senate districts: Allegheny region and Pittsburgh),,,,Copyright 2002 P.G. Publishing Co.
,state,school,tax,district,education,judge,funding,property,public,occupation,qualification,answer,selection,reduce,fund,system,judicial,issue,Pennsylvania,government,senator,need,economic,job,must,legislative,merit,democratic,business,citizen,fair,prescription,development,increase,local,cost,general,elect,candidate,give,help,safety,senior,election,special,reduction,drug,process,equitable,real,position,child,taxpayer,support,reform,Senate,vote,representative,law,session,best,appellate,commonwealth,court,replace,republican,38th,b.s,experience,view,new,improve,create,believe,councilman,city,resident,plan,burden,insurance,b.a,attorney,resolution,responsible,work,president,management,estate,rule,way,provide,board,term,salary,assembly,house,necessary,pass,appointment
,20,19,19,16,16,14,13,11,9,9,9,9,8,8,7,7,7,7,7,6,6,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2
"November 3, 2002 Sunday",124 of 291 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),PERFECT CLIMATE OF ARUBA NURTURES PERFECT RELAXATION;  ISLANDS IN THE SUN,"MICHAEL A. FUOCO AND LINDA WILSON FUOCO, POST-GAZETTE STAFF","TRAVEL, Pg.G-1",,2210 words,ARUBA,,"December 11, 2002",ENGLISH,,,"PHOTO: Chris Welsch/Minneapolis Star Tribune: Shaped by the strong wind from the north, Aruba's divi-divi trees point southwest, making a compass unnecessary.  PHOTO: Michael A. Fuoco photos: Dante Fuoco is cast in silhouette by sunset as a sailboat drifts off the coast of Aruba.  PHOTO: Bustling, clean and picturesque, Aruba's capital city of Oranjestad is on the southwestern coast. Dutch Colonial architecture in pastel colors abounds. At the marina, cruise ships dock, merchants sell fresh fish right off the boats every morning, and deep-sea fishing boats depart for half-day or full-day excursions. With modern shopping malls and quaint stores, the city is the primary shopping area on the island.  MAP: Post-Gazette: (Aruba)  MAP: Associated Press: (Dominican Republic) (Ariba) (St. Kitts)",,,,Copyright 2002 P.G. Publishing Co.
,Aruba,island,water,resort,time,Caribbean,happy,find,mile,degree,beach,include,Dante,wave,vacationer,seem,beautiful,we,north,make,coast,snorkeling,provide,sign,indeed,vacation,many,take,sun,less,tour,native,visit,language,constant,average,trade,wind,never,swim,bus,scuba,diving,experience,dive,wreck,encounter,iguana,around,pool,part,aruba,safe,become,sand,helpful,travel,range,though,another,give,meet,trip,feel,along,realize,welcome,restaurant,fact,interior,southwest,line,shark,away,drink,raft,site,shop,Curacao,Dutch,Netherlands,Papiamento,Michael,U.S.,local,upon,arrive,large,use,really,smile,live,weeklong,modern,clean,august,tropical,internet,consider
,25,23,11,8,7,7,6,6,6,6,6,6,6,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"July 21, 2002 Sunday",136 of 291 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),CHECK WEB FOR FORECAST BEFORE TRAVEL,"BOB TEDESCHI, NEW YORK TIMES NEWS SERVICE","TRAVEL, Pg.G-8",,1207 words,,,"July 26, 2002",ENGLISH,,,,,,,Copyright 2002 P.G. Publishing Co.
,site,forecast,weather,service,weather.com,city,offer,information,travel,web,traveler,foreign,location,temperature,data,condition,delay,million,provide,page,storm,United_States,work,section,internet,accord,use,check,instance,give,rain,people,list,thing,premium,place,less,free,user,Keogh,recently,schedule,fly,every,hour,face,leave,risk,find,little,take,flight,make,time,surfer,roughly,far,good,reason,comprehensive,course,general,feature,plan,include,percentage,show,well,domestic,accuweather.com,hundred,thousand,extend,vacation,average,dozen,climate,similar,cover,link,display,expect,description,accuweather,access,might,window,taskbar,allow,view,probable,airport,www.noaa.gov,Weather_Channel,Accuweather,WeatherBug,direct,sen,hillary
,17,14,13,10,9,9,9,7,6,6,5,5,5,5,5,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1
"August 26, 2002 Monday",138 of 291 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),FARMERS' ALMANAC SEES A ROUGH WINTER AHEAD,"KEVIN WACK, THE ASSOCIATED PRESS","NATIONAL, Pg.A-2",,356 words,"LEWISTON, Maine",,"August 27, 2002",ENGLISH,,,,,,,Copyright 2002 P.G. Publishing Co.
,winter,almanac,weather,forecast,snow,use,editor,last,prediction,temperature,predict,people,mostly,date,back,seem,different,Farmers,Maine,mild,keep,shovel,bury,beneath,beach,towel,tanning,butter,recommend,dusting,fall,folk,expect,heavy,accord,edition,rough,severe,pattern,gradually,shift,eastward,progress,write,pseudonym,forecaster,go,sale,tomorrow,make,similar,prognostication,base,secret,model,know,take,account,sunspot,activity,planet,position,effect,moon,wrong,several,foot,region,toastiest,ever,record,vt.,dearth,perhaps,forgiven,la,ninas,el,nino,talk,climatic,change,weird,include,drought,flooding,become,signpost,fret,accuracy,almost,beside,point,insist,historically,accurate,percent,time,though
,7,6,5,5,4,4,4,3,3,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"September 11, 2002 Wednesday",140 of 291 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),"LOST SWAGGER;  ECONOMY SHRUGS OFF ATTACKS AND GROWS, BUT CONFIDENCE GIVES WAY TO UNCERTAINTY","WILLIAM NEIKIRK, CHICAGO TRIBUNE","BUSINESS, Pg.C-11",,1729 words,WASHINGTON,,"September 12, 2002",ENGLISH,,,"Photo: Joanne Carole/Bloomberg News: A sparse crowd gathers for teh start of the Main Street Parade at the Magic Kingdom theme park at Disney World nine days after the attacks. Business has picked up but is still down sharply at theme parks across the country.  Photo: Kevin P. Coughlin/Bloomberg News: A man leans on a planter near a n empy ticketing line for the US Airways shuttles to Boston and Washington, D.C., in the US Airways terminal at New York's LaGuardia Airport in May, months before teh carrier filed for bankruptcy.  Photo: Will Chandler/Anderson Independent-Mail: In the post-Sept. 11 retail economy, discount companies such as Wal-Mart and Target are outperforming their rivals. Here, Target employees Brain Carpenter, right, and Joseph Ader work at keeping the shelves stocked with back-to-school merchandise in Anderson, S.C.",,,,Copyright 2002 P.G. Publishing Co.
,attack,sept,economy,terrorism,business,company,go,insurance,fear,take,cost,consumer,people,major,America,travel,uncertainty,new,economist,another,spend,way,make,analyst,job,world,time,corporate,investment,economic,billion,percent,chief,americans,recent,may,airlines,rate,back,government,New_York,flight,future,remain,force,happen,million,country,market,federal,lender,stop,seem,president,many,still,hotel,city,hard,revenue,low,interest,discount,help,project,town,attendant,pay,little,point,whether,work,anxiety,financial,everyone,bank,live,room,family,buy,car,unease,old,scandal,budget,surplus,deficit,plunge,war,significant,terrorist,top,reluctant,invest,demand,insurer,able,threat,especially
,12,11,11,9,8,8,7,7,6,6,6,6,6,6,6,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"January 10, 2002 Thursday",149 of 291 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),CARNEGIE INTERNATIONAL CURATOR STARTS WORLDWIDE SEARCH,"MARY THOMAS, POST-GAZETTE ART CRITIC","ARTS & ENTERTAINMENT, Pg.F-1",,1144 words,,,"January 10, 2002",ENGLISH,,,"PHOTO: Lake Fong/Post-Gazette: Laura Hoptman, the curator of the 2004 Carnegie International, and husband, artist Verne Dawson, checked out an exhibition at the Carnegie Museum of Art last summer.",,,,Copyright 2002 P.G. Publishing Co.
,art,artist,Hoptman,contemporary,curator,exhibition,international,something,kind,lot,show,way,think,new,Pittsburgh,2004,already,look,live,city,interest,take,huge,talk,make,happen,history,travel,sept,New_York,leave,visual,second,world,large,assistant,love,bus,system,expect,challenge,bring,term,degree,feature,studio,change,colleague,advisory,board,start,together,prepare,work,last,1999,march,generation,know,many,certain,curatorial,handle,mean,we,to,enormously,important,go,Carnegie_International,Museum,New_York_City,International,Carnegie,far,today,leg,global,exploration,continue,another,54th,installation,prestigious,1896,survey,grow,near,d.c.,department,become,foremost,responsibility,less,upbeat,praising,ethnic,restaurant,remind
,14,13,11,10,9,8,8,5,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"February 10, 2002 Sunday",158 of 291 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),"BRIDAL GOWNS, TUXEDOS ADD PIZAZZ TO TRADITIONAL STYLES","LAMONT JONES, POST-GAZETTE FASHION EDITOR","METRO, Pg.N-7",,1124 words,,,"February 13, 2002",ENGLISH,,,"PHOTO: Franka Bruns/Post-Gazette: The ""candlelight""-colored satin gown with crocheted lace and bead detailing is by Bridal Manufacturing ($900); veil embellished with crystals ($350) and pearl and crystal tiara ( $250) by Malif Henderson; earrings by Mary's Creations ($25). All from Carlisle's at Big Day Wedding and Event Center, Penn Avenue at 26th Street, Strip District. Makeup by artist Marya Pendro-Thomson for Trish McEvoy at Saks Fifth Avenue, 513 Smithfield St., Downtown. Manicure by Shannon Smith of Hair Together, Highlands Mall, Natrona Heights.",,,,Copyright 2002 P.G. Publishing Co.
,black,look,white,style,tuxedo,dress,wedding,color,make,tuxedoes,shirt,tie,trend,gown,groom,jacket,collar,tux,bride,lot,lapel,vest,formal,tailcoat,gray,man,fashion,decision,note,choose,wear,bridal,spring,summer,appear,ivory,time,coat,work,option,`,try,right,beautiful,designer,go,director,pay,past,classic,fabric,girl,owner,season,lace,popular,sell,subtle,silk,gold,silver,platinum,always,princess,much,choice,dressier,regular,suit,feature,wearhouse,remain,traditional,appropriate,daytime,navy,best,give,de,la,president,whether,gain,trim,without,presence,input,guide,Patterson,Men,year_round,ultra_formal,Oscar,Six,Raffinati,feel,confident,elegant,extraordinarily
,14,10,9,8,8,7,7,7,6,6,6,6,5,5,5,5,5,5,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1
"February 15, 2002 Friday",160 of 291 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),ENVIRONMENTALISTS CRITICIZE BUSH'S PLAN TO CLEAR THE AIR,"ANN MCFEATTERS, POST-GAZETTE NATIONAL BUREAU","NATIONAL, Pg.A-11",,1064 words,WASHINGTON,,"February 15, 2002",ENGLISH,,,,,,,Copyright 2002 P.G. Publishing Co.
,emission,Bush,reduce,plan,president,dioxide,proposal,ton,pollution,global,warming,group,current,nation,million,sulfur,plant,gas,U.S.,air,environmental,carbon,use,tax,incentive,United_States,White_House,law,last,treaty,sign,develop,bush,percent,energy,cause,power,coal,2020,fuel,EPA,cost,job,instead,increase,mandate,unfair,several,pledge,help,make,sound,billion,2012,offer,nitrogen,oxide,mercury,believe,cut,cap,2010,almost,policy,massive,protection,administration,industry,interest,expect,regulation,generate,car,promote,manufacturer,business,natural,price,electricity,Kyoto_Protocol,anti_pollution,Kyoto,NAM,finish,outlining,legislation,fight,improve,without,counter,compare,refuse,participation,address,178,argue,level,devastate,economy
,14,13,11,9,8,8,8,8,7,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"February 18, 2002 Monday",163 of 291 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),"KEEP OUR TRAINS RUNNING, BY ALL MEANS",,"EDITORIAL, Pg.A-14 LETTER TO THE EDITOR",,112 words,,,"February 18, 2002",ENGLISH,,,,,,,Copyright 2002 P.G. Publishing Co.
,system,world,efficient,transit,spend,mode,subsidy,airlines,highway,builder,1945,destroy,u.,s.,rail,critic,bemoan,pittance,amtrak,acquiescing,billion,less,travel,compound,error,pundit,seem,assume,oil,cheap,plentiful,forever,supply,disruption,ever,occur,climate,change,expensive,dangerous,perfect,subsidize,2002,neglect,potential,railroad,form,suicide,anti_rail,Persian_Gulf,America
,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"May 7, 2002 Tuesday",181 of 291 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),POLITICS IS A LAUGHING MATTER WHEN CAPITOL STEPS PERFORM,ADRIAN MCCOY,"ARTS & ENTERTAINMENT, Pg.B-5 STAGE REVIEW",,580 words,,,"May 8, 2002",ENGLISH,,,PHOTO: The Capital Steps got its start when staffers of then-Sen.Charles Percy performed at an office Christmas party in 1981.,,,,Copyright 2002 P.G. Publishing Co.
,perform,Capitol_Steps,political,satire,have,Washington,Newport,tomorrow,show,office,we,thing,material,Family_House,bring,group,performance,provide,go,song,humor,change,start,christmas,party,think,happen,soon,comedy,time,become,work,five,later,problem,realize,sex,scandal,ridiculous,lot,smart,Capitol_Hill,wacky,world,sing,duet,flower,frighten,small,child,bedtime,story,call,attempt,funnier,irreverent,benefit,affordable,lodging,family,patient,illness,injury,extend,hospital,stay,need,money,parody,general,topical,issue,touring,frequently,timely,nature,usually,add,new,every,week,troupe,1981,staffer,put,satirical,skit,probably,fire,recall,found,member,weird,nobody,ask,stop,control,invite,function
,5,5,4,4,4,4,4,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"May 14, 2002 Tuesday",186 of 291 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),CANDIDATES FOR THE PENNSYLVANIA HOUSE OF REPRESENTATIVES,,"TABS, Pg.C-4",,10557 words,,,"May 15, 2002",ENGLISH,"May 15, 2002","Paul Snatchko of McDonald, the Republican candidate in state House District 46, is 25. His age was incorrect in yesterday's editions","MAP: State House districts: Allegheny districts  MAP: State House districts: Pittsburgh  PHOTO: Stevenson, LaGrotta, Ellis, Shoat, Glassman, Travaglio, Metcalfe, Schoettker, Veon, Camp, Biancucci  PHOTO: Leone, Scioscia, Laughlin, Robinson, Wheatley, Walko, Pistella, Nagy, Diven, Frankel, Preston, jDowd, Fero, Markosek, O'Donnell, Petrone, Turzai, Habay, DeLuca, McDonough, Dermody, Costa, Spando, Gergely, Terrick, Readshaw, Olasz  PHOTO: Baker, Ruffing, Douglas, Levdansky, Maher, Stevenson, Crossey, Pippy, Kotik, Parrilla, Snatchko, Lescovitz, Solobay, Daley, Spence, DeWeese, Miller, Roberts, Shaner, Pallone, Petrarca, Lisotto, Casorio, Tangretti, Harhai, Stairs, Coleman",,,,Copyright 2002 P.G. Publishing Co.
,tax,education,state,district,school,property,funding,qualification,answer,occupation,public,reform,local,democrat,republican,must,Pennsylvania,representative,development,percent,fund,business,system,serve,need,candidate,increase,reduce,file,work,provide,economic,health,special,government,graduate,eliminate,experience,member,care,legislator,program,community,b.a,burden,b.s,cost,job,income,mandate,high,basic,Pittsburgh,legislative,support,reply,senior,office,pennsylvania,service,prescription,No,University,obligation,pay,new,science,political,board,reduction,term,owner,money,degree,formula,base,child,make,former,student,law,commissioner,president,infrastructure,current,revenue,college,administration,pennsylvanian,legislature,general,assembly,meet,spend,a.,commonwealth,efficient,share,assistant
,158,140,126,105,98,95,77,64,63,62,61,54,53,42,39,36,36,35,34,30,28,28,28,28,26,25,25,22,22,21,21,21,21,21,20,20,19,19,19,19,18,17,17,16,16,16,16,16,16,15,15,15,15,14,14,14,14,14,14,14,14,14,14,13,13,13,13,13,13,12,11,11,11,11,11,11,11,11,11,11,10,10,10,10,10,10,10,10,10,10,9,9,9,9,9,9,9,9,9
"May 19, 2002 Sunday",188 of 291 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),"VIRTUAL HOUSE HUNT;  REAL ESTATE WEB SITES SAVE BUYERS AGGRAVATION, TIME AND GAS",GRETCHEN MCKAY,"BUSINESS, Pg.H-1",,1496 words,,,"May 22, 2002",ENGLISH,,,DRAWING: Stacy Innerst/Post-Gazette,,,,Copyright 2002 P.G. Publishing Co.
,site,house,search,home,property,http,allow,list,agent,web,buyer,picture,room,number,information,feature,know,real,lot,size,local,e_mail,estate,estimate,re/max,online,directly,user,look,internet,criterion,price,particular,whether,own,national,photo,find,link,offer,virtual,tour,update,addition,include,school,market,free,neighborhood,sign,type,street,tax,prefer,percent,use,accord,new,take,eight,city,code,map,every,provide,detailed,construction,interior,mortgage,calculator,browser,appointment,specific,service,set,listing,sell,move,Bethel_Park,Pittsburgh,ZIP,MSL,live,newspaper,classified,guide,instance,address,public,available,prudential,realty,contact,figure,consumer,realtor.com,plug,statistic,let
,31,14,14,12,12,12,11,11,10,9,8,7,7,7,7,7,6,6,6,6,6,6,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"June 2, 2002 Sunday",191 of 291 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),EUROPE RATIFIES PACT U.S. SPURNS,,"WORLD, Pg.A-4 WORLD BRIEFS",,593 words,,,"June 4, 2002",ENGLISH,,,,,,,Copyright 2002 P.G. Publishing Co.
,match,end,city,ratification,force,government,bond,mature,water,country,pollution,eu,friday,major,treaty,announce,expect,next,week,unity,former,three,decade,visit,ethnic,southern,make,plan,freeze,offer,depositor,polo,history,player,olympic,hungary,revolution,go,Afghanistan,Argentina,Hungary,Hungarian,Soviet,formally,sign,pact,aim,stem,global,warming,oppose,step,toward,put,1997,ceremony,headquarters,highlight,administration,isolation,opponent,accord,envoy,member,present,document,legal,adviser,hans,corell,boost,number,top,minimum,need,push,halfway,goal,percent,greenhouse,gas,level,enter,ratify,tour,king,exile,april,trip,promote,grand,council,choose,new,depose,taliban,militia,onetime,stronghold
,7,5,4,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"July 14, 2002 Sunday",196 of 291 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),ENJOY SMOOTH SAILING CLOSE TO HOME BY BETTE MCDEVITT,BETTE MCDEVITT,"TRAVEL, Pg.F-1",,2526 words,,,"July 16, 2002",ENGLISH,,,"Photo: Keith Srakocic/Associated Press: Two men paddle their canoe in front of a flotilla of sailboats at Lake Arthur at Moraine State Park. This year's Moraine State Park Regatta will be Aug. 24 and 25.  Photo: Joyce Mendelsohn/Post-Gazette: Lake Arthur is the closest sailing area for most Pittsburghers, especially those who live north of the city.",,,,Copyright 2002 P.G. Publishing Co.
,sailing,boat,state,lake,sail,route,club,park,program,water,take,sailor,sailboat,member,area,Moraine,north,Lake_Arthur,people,summer,422,Pittsburgh,Erie,wind,make,many,call,go,may,pymatune,rental,mile,learn,three,hour,along,use,help,isle,right,center,provide,phone,Lake_Erie,person,fishing,child,bay,office,camp,small,lesson,moraine,available,offer,presque,west,turn,east,information,259,Watts_Bay,Glendale_Lake,ago,line,think,city,shore,keep,week,community,less,rent,own,launch,sloop,never,building,waterspout,class,youth,exit,contact,marina,public,south,North_Shore,Butler,across,power,another,fancy,yacht,live,dock,farther,tell,spend,find
,43,27,22,18,18,18,17,17,16,12,12,12,10,10,9,9,8,8,7,7,7,7,7,6,6,6,6,6,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2
"August 8, 2002 Thursday",204 of 291 DOCUMENTS,Pittsburgh Post-Gazette (Pennsylvania),"THE ULTIMATE HOMEMAKER;  JANE CRICKS, PITTSBURGH'S OWN QUEEN OF THE KITCHEN, STILL HAS THE ANSWERS","SUZANNE MARTINSON, FOOD EDITOR, POST-GAZETTE","FOOD, Pg.F-1",,2943 words,,,"August 8, 2002",ENGLISH,,,"PHOTO: Martha Rial/Post-Gazette photos: Jane Cricks, former home services director for Duquesne Light's Utility Hall for 42 years, relaxes over lunch at the Hartwood Restaurant in Indiana Township.  PHOTO: These sticky buns are among the many treats to emerge from the kitchen of Jane Cricks, home service director for Duquesne Light's Utility Hall for 42 years.",,,,Copyright 2002 P.G. Publishing Co.
,roll,cup,make,Cricks,home,sugar,go,place,baking,crick,pan,dough,cook,know,cooking,work,use,heat,Utility_Hall,call,milk,electric,company,range,gas,woman,pastry,syrup,consumer,question,flour,appliance,hour,ask,time,never,oven,water,apple,remain,teaspoon,high,recipe,answer,egg,thing,new,help,today,cut,think,take,half,demonstration,microwave,brown,ball,square,bake,minute,powder,ham,nut,find,yeast,leave,kitchen,three,still,school,turn,though,we,way,good,hard,let,cream,wrap,grease,side,dumpling,inch,tablespoon,warm,salt,ground,pork,instruction,teacher,laugh,education,bread,rise,try,live,cool,may,start
